query	reference	enzyme	tag_len	body_len	n_miss	hist
NZ_RBII01000001.1	NZ_BMYV01000001.1	PpiI	28	21	1	0,0,0
NZ_RBII01000001.1	NZ_BMYV01000001.1	PsrI	27	20	4	2,0,0
NZ_AXWS01000007.1	NZ_MUHU01000001.1	AlfI	32	26	2139	282,266,267
NZ_AXWS01000007.1	NZ_MUHU01000001.1	AloI	27	20	289	62,48,31
NZ_AXWS01000007.1	NZ_MUHU01000001.1	BcgI	32	26	4911	575,525,546
NZ_AXWS01000007.1	NZ_MUHU01000001.1	BplI	27	21	357	45,44,21
NZ_AXWS01000007.1	NZ_MUHU01000001.1	BsaXI	27	21	532	70,37,30
NZ_AXWS01000007.1	NZ_MUHU01000001.1	Bsp24I	27	21	1097	187,126,132
NZ_AXWS01000007.1	NZ_MUHU01000001.1	CjeI	28	23	2669	486,323,277
NZ_AXWS01000007.1	NZ_MUHU01000001.1	CjePI	27	22	3107	489,355,401
NZ_AXWS01000007.1	NZ_MUHU01000001.1	FalI	27	21	456	95,89,78
NZ_AXWS01000007.1	NZ_MUHU01000001.1	PpiI	28	21	580	106,70,61
NZ_AXWS01000007.1	NZ_MUHU01000001.1	PsrI	27	20	144	41,28,15
CAIYSA010000001.1	CAITNS010000001.1	AlfI	32	26	3	2,0,1
CAIYSA010000001.1	CAITNS010000001.1	AloI	27	20	1	1,0,0
CAIYSA010000001.1	CAITNS010000001.1	BcgI	32	26	7	1,0,1
CAIYSA010000001.1	CAITNS010000001.1	BplI	27	21	1	0,0,0
CAIYSA010000001.1	CAITNS010000001.1	BsaXI	27	21	7	0,1,2
CAIYSA010000001.1	CAITNS010000001.1	Bsp24I	27	21	2	2,1,2
CAIYSA010000001.1	CAITNS010000001.1	CjeI	28	23	52	6,11,9
CAIYSA010000001.1	CAITNS010000001.1	CjePI	27	22	33	9,9,17
CAIYSA010000001.1	CAITNS010000001.1	FalI	27	21	8	0,0,1
CAIYSA010000001.1	CAITNS010000001.1	PpiI	28	21	2	2,0,0
CAIYSA010000001.1	CAITNS010000001.1	PsrI	27	20	6	0,2,1
NZ_KE332518.1	NZ_KI260551.1	AlfI	32	26	31	15,4,7
NZ_KE332518.1	NZ_KI260551.1	AloI	27	20	9	4,3,3
NZ_KE332518.1	NZ_KI260551.1	BcgI	32	26	81	25,20,13
NZ_KE332518.1	NZ_KI260551.1	BplI	27	21	4	1,5,0
NZ_KE332518.1	NZ_KI260551.1	BsaXI	27	21	21	6,3,1
NZ_KE332518.1	NZ_KI260551.1	Bsp24I	27	21	13	7,6,6
NZ_KE332518.1	NZ_KI260551.1	CjeI	28	23	46	36,26,12
NZ_KE332518.1	NZ_KI260551.1	CjePI	27	22	57	36,31,20
NZ_KE332518.1	NZ_KI260551.1	FalI	27	21	21	17,8,12
NZ_KE332518.1	NZ_KI260551.1	PpiI	28	21	6	1,2,1
NZ_KE332518.1	NZ_KI260551.1	PsrI	27	20	14	2,4,0
SYEI01000070.1	CAILKE010000001.1	AlfI	32	26	0	0,2,0
SYEI01000070.1	CAILKE010000001.1	AloI	27	20	1	0,0,0
SYEI01000070.1	CAILKE010000001.1	BcgI	32	26	3	0,0,0
SYEI01000070.1	CAILKE010000001.1	BplI	27	21	1	0,0,1
SYEI01000070.1	CAILKE010000001.1	BsaXI	27	21	1	1,1,0
SYEI01000070.1	CAILKE010000001.1	Bsp24I	27	21	1	1,1,0
SYEI01000070.1	CAILKE010000001.1	CjeI	28	23	20	3,5,6
SYEI01000070.1	CAILKE010000001.1	CjePI	27	22	15	3,10,1
SYEI01000070.1	CAILKE010000001.1	FalI	27	21	0	0,1,0
SYEI01000070.1	CAILKE010000001.1	PsrI	27	20	0	0,0,1
CAIYSA010000001.1	JADJSH010000001.1	AlfI	32	26	2	1,1,0
CAIYSA010000001.1	JADJSH010000001.1	AloI	27	20	1	1,0,0
CAIYSA010000001.1	JADJSH010000001.1	BcgI	32	26	7	0,0,0
CAIYSA010000001.1	JADJSH010000001.1	BplI	27	21	1	0,0,0
CAIYSA010000001.1	JADJSH010000001.1	BsaXI	27	21	6	0,0,3
CAIYSA010000001.1	JADJSH010000001.1	Bsp24I	27	21	1	1,2,0
CAIYSA010000001.1	JADJSH010000001.1	CjeI	28	23	45	4,11,11
CAIYSA010000001.1	JADJSH010000001.1	CjePI	27	22	34	7,9,11
CAIYSA010000001.1	JADJSH010000001.1	FalI	27	21	7	0,0,0
CAIYSA010000001.1	JADJSH010000001.1	PpiI	28	21	2	1,1,0
CAIYSA010000001.1	JADJSH010000001.1	PsrI	27	20	6	0,1,2
DIHL01000003.1	CAIYSA010000001.1	AlfI	32	26	4	2,0,0
DIHL01000003.1	CAIYSA010000001.1	AloI	27	20	1	1,0,0
DIHL01000003.1	CAIYSA010000001.1	BcgI	32	26	4	0,3,1
DIHL01000003.1	CAIYSA010000001.1	BsaXI	27	21	12	0,0,2
DIHL01000003.1	CAIYSA010000001.1	Bsp24I	27	21	2	0,1,0
DIHL01000003.1	CAIYSA010000001.1	CjeI	28	23	38	4,10,12
DIHL01000003.1	CAIYSA010000001.1	CjePI	27	22	27	5,8,8
DIHL01000003.1	CAIYSA010000001.1	FalI	27	21	4	0,0,2
DIHL01000003.1	CAIYSA010000001.1	PpiI	28	21	1	1,0,0
DIHL01000003.1	CAIYSA010000001.1	PsrI	27	20	6	0,1,2
DGQK01000065.1	CAIYSA010000001.1	AlfI	32	26	1	1,0,0
DGQK01000065.1	CAIYSA010000001.1	AloI	27	20	1	0,0,0
DGQK01000065.1	CAIYSA010000001.1	BcgI	32	26	4	0,0,0
DGQK01000065.1	CAIYSA010000001.1	BsaXI	27	21	2	0,0,0
DGQK01000065.1	CAIYSA010000001.1	Bsp24I	27	21	3	0,0,0
DGQK01000065.1	CAIYSA010000001.1	CjeI	28	23	15	0,0,2
DGQK01000065.1	CAIYSA010000001.1	CjePI	27	22	10	1,0,2
DGQK01000065.1	CAIYSA010000001.1	FalI	27	21	2	0,0,0
CAJPNP010000001.1	NZ_KE332518.1	AlfI	32	26	380	193,155,92
CAJPNP010000001.1	NZ_KE332518.1	AloI	27	20	102	75,54,26
CAJPNP010000001.1	NZ_KE332518.1	BcgI	32	26	898	544,483,277
CAJPNP010000001.1	NZ_KE332518.1	BplI	27	21	39	16,19,6
CAJPNP010000001.1	NZ_KE332518.1	BsaXI	27	21	196	99,89,34
CAJPNP010000001.1	NZ_KE332518.1	Bsp24I	27	21	87	85,54,39
CAJPNP010000001.1	NZ_KE332518.1	CjeI	28	23	480	353,252,145
CAJPNP010000001.1	NZ_KE332518.1	CjePI	27	22	434	445,319,200
CAJPNP010000001.1	NZ_KE332518.1	FalI	27	21	339	239,181,107
CAJPNP010000001.1	NZ_KE332518.1	PpiI	28	21	58	40,35,12
CAJPNP010000001.1	NZ_KE332518.1	PsrI	27	20	94	69,52,22
JAFXVU010000173.1	JAFWPH010000073.1	AlfI	32	26	312	50,36,46
JAFXVU010000173.1	JAFWPH010000073.1	AloI	27	20	170	29,22,26
JAFXVU010000173.1	JAFWPH010000073.1	BcgI	32	26	628	111,85,98
JAFXVU010000173.1	JAFWPH010000073.1	BplI	27	21	199	38,20,30
JAFXVU010000173.1	JAFWPH010000073.1	BsaXI	27	21	459	97,73,66
JAFXVU010000173.1	JAFWPH010000073.1	Bsp24I	27	21	499	119,110,86
JAFXVU010000173.1	JAFWPH010000073.1	CjeI	28	23	2061	437,411,361
JAFXVU010000173.1	JAFWPH010000073.1	CjePI	27	22	2035	413,351,345
JAFXVU010000173.1	JAFWPH010000073.1	FalI	27	21	306	56,55,51
JAFXVU010000173.1	JAFWPH010000073.1	PpiI	28	21	169	42,31,27
JAFXVU010000173.1	JAFWPH010000073.1	PsrI	27	20	113	37,25,21
JAFXVU010000173.1	CACYEC010000001.1	AlfI	32	26	334	55,53,59
JAFXVU010000173.1	CACYEC010000001.1	AloI	27	20	169	34,33,30
JAFXVU010000173.1	CACYEC010000001.1	BcgI	32	26	686	78,109,113
JAFXVU010000173.1	CACYEC010000001.1	BplI	27	21	224	28,27,40
JAFXVU010000173.1	CACYEC010000001.1	BsaXI	27	21	506	91,92,89
JAFXVU010000173.1	CACYEC010000001.1	Bsp24I	27	21	462	97,120,119
JAFXVU010000173.1	CACYEC010000001.1	CjeI	28	23	2140	368,442,500
JAFXVU010000173.1	CACYEC010000001.1	CjePI	27	22	2062	361,438,477
JAFXVU010000173.1	CACYEC010000001.1	FalI	27	21	336	71,64,49
JAFXVU010000173.1	CACYEC010000001.1	PpiI	28	21	177	32,41,38
JAFXVU010000173.1	CACYEC010000001.1	PsrI	27	20	130	27,29,19
JAFWPH010000073.1	CACYEC010000001.1	AlfI	32	26	283	13,25,43
JAFWPH010000073.1	CACYEC010000001.1	AloI	27	20	135	8,22,20
JAFWPH010000073.1	CACYEC010000001.1	BcgI	32	26	635	24,48,75
JAFWPH010000073.1	CACYEC010000001.1	BplI	27	21	227	10,23,21
JAFWPH010000073.1	CACYEC010000001.1	BsaXI	27	21	464	43,37,48
JAFWPH010000073.1	CACYEC010000001.1	Bsp24I	27	21	451	38,55,72
JAFWPH010000073.1	CACYEC010000001.1	CjeI	28	23	1756	119,253,282
JAFWPH010000073.1	CACYEC010000001.1	CjePI	27	22	1754	123,187,250
JAFWPH010000073.1	CACYEC010000001.1	FalI	27	21	276	22,40,37
JAFWPH010000073.1	CACYEC010000001.1	PpiI	28	21	172	13,25,29
JAFWPH010000073.1	CACYEC010000001.1	PsrI	27	20	121	8,13,23
JAGHSX010000159.1	ONOZ01000280.1	AlfI	32	26	2	0,0,0
JAGHSX010000159.1	ONOZ01000280.1	BcgI	32	26	1	0,0,0
JAGHSX010000159.1	ONOZ01000280.1	BplI	27	21	1	0,0,0
JAGHSX010000159.1	ONOZ01000280.1	BsaXI	27	21	3	0,0,0
JAGHSX010000159.1	ONOZ01000280.1	Bsp24I	27	21	3	0,0,0
JAGHSX010000159.1	ONOZ01000280.1	CjeI	28	23	15	0,0,1
JAGHSX010000159.1	ONOZ01000280.1	CjePI	27	22	12	2,0,1
JAGHSX010000159.1	ONOZ01000280.1	FalI	27	21	2	0,1,0
JAGHSX010000159.1	ONOZ01000280.1	PpiI	28	21	2	0,0,0
JAFUGA010000027.1	JAFUYA010000047.1	AloI	27	20	1	0,0,0
JAFUGA010000027.1	JAFUYA010000047.1	BcgI	32	26	2	0,1,0
JAFUGA010000027.1	JAFUYA010000047.1	BsaXI	27	21	2	0,1,0
JAFUGA010000027.1	JAFUYA010000047.1	Bsp24I	27	21	0	0,0,1
JAFUGA010000027.1	JAFUYA010000047.1	CjeI	28	23	4	0,2,1
JAFUGA010000027.1	JAFUYA010000047.1	CjePI	27	22	3	0,1,1
JAFUGA010000027.1	JAFUYA010000047.1	FalI	27	21	1	0,0,0
JAFUGA010000027.1	JAFUYA010000047.1	PpiI	28	21	2	0,0,0
JAGHSX010000159.1	NWBO01000001.1	AlfI	32	26	2	0,0,0
JAGHSX010000159.1	NWBO01000001.1	BcgI	32	26	1	0,0,0
JAGHSX010000159.1	NWBO01000001.1	BplI	27	21	1	0,0,0
JAGHSX010000159.1	NWBO01000001.1	BsaXI	27	21	2	0,0,1
JAGHSX010000159.1	NWBO01000001.1	Bsp24I	27	21	3	0,0,0
JAGHSX010000159.1	NWBO01000001.1	CjeI	28	23	13	0,0,3
JAGHSX010000159.1	NWBO01000001.1	CjePI	27	22	11	0,2,0
JAGHSX010000159.1	NWBO01000001.1	FalI	27	21	2	0,0,0
JAGHSX010000159.1	NWBO01000001.1	PpiI	28	21	1	0,0,1
JAAZNF010000076.1	DSXA01000055.1	AlfI	32	26	612	36,82,103
JAAZNF010000076.1	DSXA01000055.1	AloI	27	20	443	31,46,45
JAAZNF010000076.1	DSXA01000055.1	BcgI	32	26	1276	66,111,122
JAAZNF010000076.1	DSXA01000055.1	BplI	27	21	791	36,71,82
JAAZNF010000076.1	DSXA01000055.1	BsaXI	27	21	1354	72,119,90
JAAZNF010000076.1	DSXA01000055.1	Bsp24I	27	21	720	51,81,65
JAAZNF010000076.1	DSXA01000055.1	CjeI	28	23	2403	162,257,256
JAAZNF010000076.1	DSXA01000055.1	CjePI	27	22	2651	128,238,310
JAAZNF010000076.1	DSXA01000055.1	FalI	27	21	386	56,69,86
JAAZNF010000076.1	DSXA01000055.1	PpiI	28	21	502	45,54,59
JAAZNF010000076.1	DSXA01000055.1	PsrI	27	20	158	15,20,21
JAGCFW010000022.1	CADARG010000001.1	AlfI	32	26	68	3,3,4
JAGCFW010000022.1	CADARG010000001.1	AloI	27	20	52	2,4,5
JAGCFW010000022.1	CADARG010000001.1	BcgI	32	26	167	2,5,12
JAGCFW010000022.1	CADARG010000001.1	BplI	27	21	37	3,4,7
JAGCFW010000022.1	CADARG010000001.1	BsaXI	27	21	160	5,13,24
JAGCFW010000022.1	CADARG010000001.1	Bsp24I	27	21	62	4,4,4
JAGCFW010000022.1	CADARG010000001.1	CjeI	28	23	278	15,22,24
JAGCFW010000022.1	CADARG010000001.1	CjePI	27	22	448	28,41,53
JAGCFW010000022.1	CADARG010000001.1	FalI	27	21	92	6,7,9
JAGCFW010000022.1	CADARG010000001.1	PpiI	28	21	36	1,7,0
JAGCFW010000022.1	CADARG010000001.1	PsrI	27	20	22	2,1,4
JAGCFW010000022.1	CACXWU010000001.1	AlfI	32	26	101	21,26,13
JAGCFW010000022.1	CACXWU010000001.1	AloI	27	20	64	27,25,12
JAGCFW010000022.1	CACXWU010000001.1	BcgI	32	26	260	56,54,39
JAGCFW010000022.1	CACXWU010000001.1	BplI	27	21	61	18,20,12
JAGCFW010000022.1	CACXWU010000001.1	BsaXI	27	21	195	59,61,55
JAGCFW010000022.1	CACXWU010000001.1	Bsp24I	27	21	121	25,22,18
JAGCFW010000022.1	CACXWU010000001.1	CjeI	28	23	461	119,83,79
JAGCFW010000022.1	CACXWU010000001.1	CjePI	27	22	716	200,197,165
JAGCFW010000022.1	CACXWU010000001.1	FalI	27	21	152	39,29,24
JAGCFW010000022.1	CACXWU010000001.1	PpiI	28	21	55	16,15,3
JAGCFW010000022.1	CACXWU010000001.1	PsrI	27	20	39	8,7,6
JAGBOF010000002.1	JAFVBA010000001.1	AlfI	32	26	21	4,3,4
JAGBOF010000002.1	JAFVBA010000001.1	AloI	27	20	8	1,5,2
JAGBOF010000002.1	JAFVBA010000001.1	BcgI	32	26	34	4,2,3
JAGBOF010000002.1	JAFVBA010000001.1	BplI	27	21	4	0,1,0
JAGBOF010000002.1	JAFVBA010000001.1	BsaXI	27	21	28	5,10,5
JAGBOF010000002.1	JAFVBA010000001.1	Bsp24I	27	21	17	5,2,7
JAGBOF010000002.1	JAFVBA010000001.1	CjeI	28	23	95	16,16,25
JAGBOF010000002.1	JAFVBA010000001.1	CjePI	27	22	74	17,22,32
JAGBOF010000002.1	JAFVBA010000001.1	FalI	27	21	36	8,12,7
JAGBOF010000002.1	JAFVBA010000001.1	PpiI	28	21	8	0,2,1
JAGBOF010000002.1	JAFVBA010000001.1	PsrI	27	20	13	1,1,2
NZ_CP036423.1	DOVB01000105.1	AlfI	32	26	1	3,1,1
NZ_CP036423.1	DOVB01000105.1	BcgI	32	26	1	12,4,2
NZ_CP036423.1	DOVB01000105.1	BplI	27	21	0	1,0,0
NZ_CP036423.1	DOVB01000105.1	BsaXI	27	21	2	4,0,1
NZ_CP036423.1	DOVB01000105.1	Bsp24I	27	21	2	11,2,0
NZ_CP036423.1	DOVB01000105.1	CjeI	28	23	4	26,3,2
NZ_CP036423.1	DOVB01000105.1	CjePI	27	22	3	33,9,1
NZ_CP036423.1	DOVB01000105.1	FalI	27	21	2	9,1,0
NZ_CP036423.1	DOVB01000105.1	PpiI	28	21	1	2,1,0
DCUV01000056.1	DSXO01000134.1	AlfI	32	26	55	0,0,3
DCUV01000056.1	DSXO01000134.1	AloI	27	20	16	1,0,2
DCUV01000056.1	DSXO01000134.1	BcgI	32	26	43	0,1,0
DCUV01000056.1	DSXO01000134.1	BplI	27	21	10	0,1,0
DCUV01000056.1	DSXO01000134.1	BsaXI	27	21	49	2,1,2
DCUV01000056.1	DSXO01000134.1	Bsp24I	27	21	35	0,2,0
DCUV01000056.1	DSXO01000134.1	CjeI	28	23	339	3,2,18
DCUV01000056.1	DSXO01000134.1	CjePI	27	22	264	2,11,14
DCUV01000056.1	DSXO01000134.1	FalI	27	21	54	0,2,4
DCUV01000056.1	DSXO01000134.1	PpiI	28	21	10	1,0,1
DCUV01000056.1	DSXO01000134.1	PsrI	27	20	14	0,0,0
JAEUQR010000140.1	JAGNJW010000010.1	AlfI	32	26	1115	31,93,112
JAEUQR010000140.1	JAGNJW010000010.1	AloI	27	20	356	13,16,22
JAEUQR010000140.1	JAGNJW010000010.1	BcgI	32	26	3432	101,203,320
JAEUQR010000140.1	JAGNJW010000010.1	BplI	27	21	392	16,33,36
JAEUQR010000140.1	JAGNJW010000010.1	BsaXI	27	21	608	20,30,23
JAEUQR010000140.1	JAGNJW010000010.1	Bsp24I	27	21	1063	43,101,99
JAEUQR010000140.1	JAGNJW010000010.1	CjeI	28	23	2962	144,268,314
JAEUQR010000140.1	JAGNJW010000010.1	CjePI	27	22	2804	102,232,292
JAEUQR010000140.1	JAGNJW010000010.1	FalI	27	21	292	33,59,62
JAEUQR010000140.1	JAGNJW010000010.1	PpiI	28	21	594	22,47,54
JAEUQR010000140.1	JAGNJW010000010.1	PsrI	27	20	196	8,23,25
DKGM01000062.1	PAME01000011.1	AlfI	32	26	220	2,6,9
DKGM01000062.1	PAME01000011.1	AloI	27	20	137	6,3,8
DKGM01000062.1	PAME01000011.1	BcgI	32	26	383	1,5,9
DKGM01000062.1	PAME01000011.1	BplI	27	21	122	3,6,5
DKGM01000062.1	PAME01000011.1	BsaXI	27	21	508	7,9,28
DKGM01000062.1	PAME01000011.1	Bsp24I	27	21	295	2,10,6
DKGM01000062.1	PAME01000011.1	CjeI	28	23	2013	17,55,109
DKGM01000062.1	PAME01000011.1	CjePI	27	22	2116	28,71,122
DKGM01000062.1	PAME01000011.1	FalI	27	21	599	8,22,36
DKGM01000062.1	PAME01000011.1	PpiI	28	21	101	3,2,5
DKGM01000062.1	PAME01000011.1	PsrI	27	20	146	4,5,9
CAJIZH010000001.1	PAME01000011.1	AlfI	32	26	256	4,5,7
CAJIZH010000001.1	PAME01000011.1	AloI	27	20	145	7,8,7
CAJIZH010000001.1	PAME01000011.1	BcgI	32	26	437	4,5,7
CAJIZH010000001.1	PAME01000011.1	BplI	27	21	126	5,4,1
CAJIZH010000001.1	PAME01000011.1	BsaXI	27	21	577	11,14,22
CAJIZH010000001.1	PAME01000011.1	Bsp24I	27	21	338	5,8,13
CAJIZH010000001.1	PAME01000011.1	CjeI	28	23	2335	32,58,114
CAJIZH010000001.1	PAME01000011.1	CjePI	27	22	2413	42,78,121
CAJIZH010000001.1	PAME01000011.1	FalI	27	21	632	10,25,27
CAJIZH010000001.1	PAME01000011.1	PpiI	28	21	105	6,3,1
CAJIZH010000001.1	PAME01000011.1	PsrI	27	20	175	8,6,5
JAGNJW010000010.1	CADEFD010000001.1	AlfI	32	26	808	36,86,132
JAGNJW010000010.1	CADEFD010000001.1	AloI	27	20	252	6,16,32
JAGNJW010000010.1	CADEFD010000001.1	BcgI	32	26	2837	83,243,300
JAGNJW010000010.1	CADEFD010000001.1	BplI	27	21	398	25,28,31
JAGNJW010000010.1	CADEFD010000001.1	BsaXI	27	21	619	9,36,26
JAGNJW010000010.1	CADEFD010000001.1	Bsp24I	27	21	1125	39,87,82
JAGNJW010000010.1	CADEFD010000001.1	CjeI	28	23	2994	114,245,277
JAGNJW010000010.1	CADEFD010000001.1	CjePI	27	22	2954	89,199,263
JAGNJW010000010.1	CADEFD010000001.1	FalI	27	21	251	27,51,54
JAGNJW010000010.1	CADEFD010000001.1	PpiI	28	21	425	20,50,55
JAGNJW010000010.1	CADEFD010000001.1	PsrI	27	20	112	12,18,21
CADEDM010000001.1	JAEUQR010000140.1	AlfI	32	26	590	31,63,82
CADEDM010000001.1	JAEUQR010000140.1	AloI	27	20	202	11,15,19
CADEDM010000001.1	JAEUQR010000140.1	BcgI	32	26	1821	48,123,191
CADEDM010000001.1	JAEUQR010000140.1	BplI	27	21	237	10,18,14
CADEDM010000001.1	JAEUQR010000140.1	BsaXI	27	21	446	7,17,14
CADEDM010000001.1	JAEUQR010000140.1	Bsp24I	27	21	694	36,51,69
CADEDM010000001.1	JAEUQR010000140.1	CjeI	28	23	1720	93,157,218
CADEDM010000001.1	JAEUQR010000140.1	CjePI	27	22	1666	71,119,157
CADEDM010000001.1	JAEUQR010000140.1	FalI	27	21	116	20,38,33
CADEDM010000001.1	JAEUQR010000140.1	PpiI	28	21	364	23,30,33
CADEDM010000001.1	JAEUQR010000140.1	PsrI	27	20	102	14,18,20
JACPMB010000008.1	SICS01000021.1	AlfI	32	26	2	0,0,1
JACPMB010000008.1	SICS01000021.1	AloI	27	20	2	0,0,0
JACPMB010000008.1	SICS01000021.1	BcgI	32	26	6	0,0,1
JACPMB010000008.1	SICS01000021.1	BplI	27	21	2	0,0,0
JACPMB010000008.1	SICS01000021.1	BsaXI	27	21	11	0,0,2
JACPMB010000008.1	SICS01000021.1	Bsp24I	27	21	3	0,0,0
JACPMB010000008.1	SICS01000021.1	CjeI	28	23	13	0,2,1
JACPMB010000008.1	SICS01000021.1	CjePI	27	22	26	1,1,1
JACPMB010000008.1	SICS01000021.1	FalI	27	21	6	0,0,0
JACPMB010000008.1	SICS01000021.1	PpiI	28	21	2	0,0,0
NZ_JAEPES010000001.1	NZ_CP043653.1	AlfI	32	26	755	12,21,21
NZ_JAEPES010000001.1	NZ_CP043653.1	AloI	27	20	253	8,7,7
NZ_JAEPES010000001.1	NZ_CP043653.1	BcgI	32	26	2998	20,60,124
NZ_JAEPES010000001.1	NZ_CP043653.1	BplI	27	21	623	6,14,24
NZ_JAEPES010000001.1	NZ_CP043653.1	BsaXI	27	21	1044	17,25,31
NZ_JAEPES010000001.1	NZ_CP043653.1	Bsp24I	27	21	889	8,26,36
NZ_JAEPES010000001.1	NZ_CP043653.1	CjeI	28	23	2316	34,60,99
NZ_JAEPES010000001.1	NZ_CP043653.1	CjePI	27	22	2679	40,78,105
NZ_JAEPES010000001.1	NZ_CP043653.1	FalI	27	21	220	4,24,17
NZ_JAEPES010000001.1	NZ_CP043653.1	PpiI	28	21	428	6,15,12
NZ_JAEPES010000001.1	NZ_CP043653.1	PsrI	27	20	141	1,6,9
JACPMB010000008.1	JABFSS010000008.1	AlfI	32	26	6	0,0,0
JACPMB010000008.1	JABFSS010000008.1	AloI	27	20	4	0,0,0
JACPMB010000008.1	JABFSS010000008.1	BcgI	32	26	12	0,0,1
JACPMB010000008.1	JABFSS010000008.1	BplI	27	21	6	0,0,1
JACPMB010000008.1	JABFSS010000008.1	BsaXI	27	21	10	0,0,0
JACPMB010000008.1	JABFSS010000008.1	Bsp24I	27	21	7	0,0,1
JACPMB010000008.1	JABFSS010000008.1	CjeI	28	23	23	0,1,2
JACPMB010000008.1	JABFSS010000008.1	CjePI	27	22	27	0,0,2
JACPMB010000008.1	JABFSS010000008.1	FalI	27	21	2	0,0,0
