query	reference	ani	ani_uniform	af_query	af_reference	std_err
JAAZNF010000076.1	DSXA01000055.1	84.9988	87.9728	0.4608	0.6144	0.07884
JAGCFW010000022.1	CADARG010000001.1	84.4939	87.0669	0.3671	0.3683	0.24271
JAGCFW010000022.1	CACXWU010000001.1	89.6420	92.0507	0.7513	0.8408	0.11094
JAGBOF010000002.1	JAFVBA010000001.1	90.7297	91.2900	0.0579	0.0783	0.30026
NZ_CP036423.1	DOVB01000105.1	98.2379	98.5831	0.0072	0.0118	0.19819
JAGABS010000012.1	JAFQBQ010000026.1	NaN	NaN	0.0000	0.0000	NaN
DCUV01000056.1	DSXO01000134.1	82.4522	82.4522	0.0867	0.0745	0.48428
DGIE01000025.1	SUUU01000019.1	NaN	NaN	0.0000	0.0000	NaN
JAEUQR010000140.1	JAGNJW010000010.1	84.9166	87.1422	0.5611	0.5475	0.07790
DKGM01000062.1	PAME01000011.1	80.6419	82.9969	0.4881	0.5235	0.16776
CAJIZH010000001.1	PAME01000011.1	75.6996	82.9803	0.6745	0.5791	0.15882
JAGNJW010000010.1	CADEFD010000001.1	84.8062	87.1186	0.4662	0.4437	0.08083
CADEDM010000001.1	JAEUQR010000140.1	85.0418	87.4479	0.2842	0.3198	0.09926
JACPMB010000008.1	SICS01000021.1	84.6142	84.6142	0.0136	0.0124	1.35484
NZ_JAEPES010000001.1	NZ_CP043653.1	76.5751	82.9724	0.5397	0.4842	0.12768
JACPMB010000008.1	JABFSS010000008.1	82.0045	82.0045	0.0214	0.0131	1.49054
NZ_CP043653.1	DMKW01000003.1	84.8328	85.8697	0.1669	0.1903	0.17317
NZ_VRMG01000001.1	DMKW01000003.1	87.8302	88.7147	0.3888	0.5012	0.08473
NZ_NHYM01000010.1	JAFVZI010000003.1	83.6587	83.6587	0.0198	0.0457	1.16843
NZ_PGEZ01000001.1	NZ_CP059901.1	79.2654	84.5824	0.5992	0.6535	0.09809
NZ_PGEZ01000001.1	NZ_WJYO01000001.1	80.5689	85.0678	0.5738	0.5912	0.09596
NBLM01000003.1	QNBU01000001.1	89.3191	93.1666	0.2207	0.2921	0.13536
SKRJ01000249.1	DCTX01000018.1	87.2059	88.6670	0.0439	0.0354	0.31971
NBLM01000003.1	JAGPMT010000070.1	94.2975	94.2975	0.0014	0.0009	1.14718
JAFEDL010000100.1	JADJPT010000001.1	85.1537	86.7739	0.2373	0.2249	0.15022
DCTX01000018.1	SLPC01000086.1	86.5211	86.5211	0.0744	0.0723	0.27774
NZ_NIGF01000001.1	SDZD01000051.1	NaN	NaN	0.0000	0.0000	NaN
NC_006087.1	QKXI01000001.1	83.4701	86.4770	0.5021	0.3722	0.11829
NZ_LMIO01000001.1	NZ_JABFMV010000010.1	81.0811	85.8587	0.5815	0.5802	0.08762
NZ_VMSF01000001.1	MKVJ01000001.1	84.4617	87.1312	0.5748	0.5549	0.08788
JAFASD010000441.1	JAFAZU010000466.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JACCFL010000001.1	NC_006087.1	83.3819	86.5702	0.3679	0.5601	0.10780
JAFAMD010000057.1	PLRJ01000092.1	NaN	NaN	0.0000	0.0000	NaN
JAFAMD010000057.1	JAFAMM010000340.1	86.4217	86.4217	0.0066	0.0065	0.68375
NZ_CP014761.1	NZ_LT629696.1	87.6597	89.5168	0.7742	0.7360	0.06226
PLRJ01000092.1	PMQB01000157.1	99.6785	99.6785	0.0003	0.0002	0.32103
DVGF01000003.1	CAJFEV010000001.1	88.0896	88.0896	0.0156	0.0166	0.83545
CAJLEF010000001.1	CACXCK010000001.1	NaN	NaN	0.0000	0.0000	NaN
DVGF01000003.1	CACXCK010000001.1	NaN	NaN	0.0000	0.0000	NaN
SLHK01000034.1	PWVN01000110.1	89.5127	89.5127	0.0929	0.0611	0.34424
CAJLEF010000001.1	URPE01000001.1	91.0471	91.0471	0.0295	0.0270	0.62801
CP011212.1	DBRQ01000006.1	57.5794	80.5527	0.4622	0.5104	0.40176
DITI01000025.1	DBRQ01000006.1	84.6366	84.6366	0.0211	0.0227	1.05267
CAJFEV010000001.1	DVHP01000092.1	95.1408	95.1408	0.0178	0.0173	0.51089
NZ_LR701442.1	NZ_NWUC01000010.1	74.5353	81.8619	0.4152	0.4077	0.15542
PNLP01000001.1	HG799462.1	88.8455	88.8455	0.0114	0.0104	0.35191
LR594586.1	VGZJ01000001.1	88.8369	89.7739	0.0286	0.0324	0.21062
LR594586.1	PNKH01000001.1	88.6831	89.2565	0.0933	0.0985	0.12533
SXHE01000100.1	PNKH01000001.1	89.4662	89.4662	0.0127	0.0099	0.35011
DBRQ01000006.1	CAJBWJ010000001.1	80.7342	86.3582	0.0652	0.0561	0.67638
CAIMNJ010000001.1	CAITDX010000001.1	80.1184	80.1184	0.0381	0.0405	1.54292
DITI01000025.1	CP011212.1	83.6608	83.6608	0.0735	0.0698	0.66821
PEXK01000013.1	CAIWXP010000001.1	NaN	NaN	0.0000	0.0000	NaN
BEHV01000001.1	DTCJ01000065.1	90.1604	90.2926	0.8630	0.8162	0.08926
AWOA01000001.1	DTCJ01000065.1	93.6061	93.6061	0.0021	0.0025	1.12484
DCKW01000053.1	NVSI01000036.1	NaN	NaN	0.0000	0.0000	NaN
VGZJ01000001.1	NZ_LR593886.1	88.5240	89.1007	0.0685	0.0485	0.16361
NZ_FNQV01000029.1	NZ_MQVR01000001.1	80.4900	87.3297	0.5227	0.4959	0.10894
JAGLBD010000113.1	NZ_SNZP01000001.1	82.5638	84.4541	0.0484	0.0492	0.35628
NZ_CP069161.1	JAFAND010000100.1	81.6419	85.3448	0.0658	0.0614	0.29912
JAGLBD010000113.1	NZ_CP069163.1	80.6875	84.4811	0.0927	0.0974	0.25460
NZ_SNZP01000001.1	NZ_CP069163.1	79.7630	84.8764	0.5729	0.6456	0.10361
PLYL01000012.1	CAIKUK010000001.1	84.6198	84.6198	0.0464	0.0585	0.92386
PLYL01000012.1	JAGOSO010000002.1	99.4083	99.4083	0.0012	0.0014	0.58996
PLYL01000012.1	MGJA01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAGOSO010000002.1	MGJA01000001.1	79.5674	79.5674	0.0581	0.0587	1.20856
JAFXDO010000062.1	SVRD01000023.1	84.0152	85.2984	0.2433	0.2359	0.28380
QAKE01000069.1	UQZE01000001.1	86.2844	86.2844	0.0432	0.0568	0.54732
NZ_MVDI01000066.1	NC_019745.1	88.2201	91.0467	0.8663	0.8482	0.04843
JAGAAM010000084.1	JAGHTH010000147.1	NaN	NaN	0.0000	0.0000	NaN
JAFQII010000041.1	JAGACN010000030.1	NaN	NaN	0.0000	0.0000	NaN
JAFQII010000041.1	JAGBWF010000030.1	NaN	NaN	0.0000	0.0000	NaN
NZ_MVDI01000066.1	NZ_MRCC01000001.1	88.5750	89.8028	0.8117	0.8677	0.05481
USHI01000001.1	JAGAAM010000084.1	NaN	NaN	0.0000	0.0000	NaN
CAJOOI010000001.1	CACZRY010000001.1	NaN	NaN	0.0000	0.0000	NaN
CADBQV010000001.1	JAFTQR010000018.1	NaN	NaN	0.0000	0.0000	NaN
CABJAC010000001.1	NZ_MPSZ01000001.1	73.0502	83.7271	0.6917	0.6537	0.12407
NZ_JMKS01000001.1	NZ_MPSZ01000001.1	73.3739	83.3459	0.6604	0.6373	0.12507
CACZRY010000001.1	JAEELJ010000074.1	90.4443	91.9016	0.3133	0.2580	0.16878
JAFXXC010000052.1	CAAGJD010000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_KK211187.1	NZ_JMKS01000001.1	83.0387	89.1546	0.8495	0.8741	0.07004
NZ_QPKF01000001.1	NZ_JMKS01000001.1	82.8264	88.6300	0.8605	0.8622	0.07603
NZ_KK211190.1	NZ_JMKS01000001.1	82.2195	88.8052	0.9128	0.9195	0.07171
CACZRY010000001.1	JAFTDB010000010.1	NaN	NaN	0.0000	0.0000	NaN
BJGN01000001.1	JAFMBH010000219.1	93.1073	93.6292	0.7590	0.6415	0.04957
LSTF01000001.1	VBCP01000126.1	85.4847	88.3832	0.1679	0.0895	0.20159
VBCM01000127.1	VBCP01000126.1	88.4978	89.1056	0.2194	0.2312	0.11858
MERP01000001.1	SCTY01000050.1	85.9343	88.3340	0.3968	0.1125	0.15448
LSTF01000001.1	JAFAGU010000376.1	85.2503	87.1705	0.1036	0.0649	0.29117
DTLH01000192.1	DSVU01000060.1	86.9173	86.9173	0.1462	0.1608	0.22336
JAACPL010000044.1	JAFGUO010000037.1	87.9851	88.9086	0.2307	0.2736	0.31523
JAHITE010000065.1	JAHITY010000076.1	87.0392	88.3896	0.4802	0.4273	0.13123
SCTY01000050.1	VBCM01000127.1	84.9769	86.7506	0.1354	0.1951	0.15854
SFJE01000032.1	JAFXKZ010000001.1	95.5736	95.5736	0.0009	0.0013	0.95556
VBLD01000291.1	VBKF01000015.1	89.7219	90.5850	0.5380	0.4336	0.06832
VBLD01000291.1	VBKG01000040.1	88.6375	89.1649	0.2819	0.2255	0.10522
VBKF01000015.1	VBKG01000040.1	88.7546	90.1703	0.4015	0.4051	0.07263
JAGCML010000078.1	SFJE01000032.1	93.5285	93.5285	0.0006	0.0004	2.28515
DVOR01000058.1	JAFTHG010000046.1	NaN	NaN	0.0000	0.0000	NaN
JAFYWN010000001.1	DVOR01000058.1	84.9914	84.9914	0.0105	0.0118	1.04186
JAFYMU010000015.1	CAAGNN010000001.1	86.1014	86.1014	0.0061	0.0035	1.43059
NZ_CP072648.1	NKPT01000046.1	81.5394	84.2221	0.0911	0.0955	0.27639
NZ_CP072642.1	NKPT01000046.1	81.7469	83.3338	0.1497	0.1605	0.24329
WTCK01000188.1	JABCTJ010000208.1	91.7527	91.7527	0.5933	0.3585	0.08356
PMNP01000309.1	PMBF01000050.1	NaN	NaN	0.0000	0.0000	NaN
JABCTJ010000208.1	DXJO01000023.1	93.5296	93.6378	0.7510	0.5846	0.04810
CABXKH010000001.1	PBSX01000005.1	87.7655	88.6021	0.3099	0.3535	0.13471
CABZJG010000001.1	PBSX01000005.1	90.2469	90.8919	0.3635	0.3247	0.11672
NC_016024.1	NZ_CP072642.1	93.8613	95.9895	0.9204	0.9436	0.03040
NZ_CP072648.1	NZ_CP072642.1	76.8156	81.3922	0.3770	0.3739	0.17279
CABXKH010000001.1	CABZJG010000001.1	88.4651	90.0045	0.2626	0.3316	0.13228
SVRY01000008.1	SVRH01000109.1	85.7492	86.7847	0.1158	0.1513	0.26636
JADFXM010000100.1	JADFZL010000010.1	95.1616	95.1616	0.0009	0.0011	0.57523
PGYS01000052.1	PMDS01000062.1	83.7602	83.7602	0.0037	0.0027	1.60655
PMDS01000062.1	JACRFC010000084.1	84.1028	84.1028	0.0104	0.0211	0.90551
PMDS01000062.1	VEPI01000114.1	82.8279	82.8279	0.0071	0.0104	1.30981
NZ_SRXY01000001.1	NZ_QKMF01000001.1	83.2224	83.2224	0.0363	0.0354	0.45532
NZ_SOAP01000001.1	NZ_QKMF01000001.1	75.8082	82.3738	0.2877	0.2661	0.17011
MFPS01000001.1	MFQY01000001.1	87.4636	87.4636	0.0230	0.0258	1.03649
WQRV01000001.1	LIUJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFQUB010000019.1	CACXGE010000001.1	84.7709	87.4835	0.0594	0.0538	0.34057
JAFQUB010000019.1	JAFQCM010000018.1	81.0558	86.1652	0.2841	0.2590	0.17324
WQRV01000001.1	WQTH01000001.1	86.1323	89.3046	0.1676	0.1799	0.17873
NC_012590.1	CACZOO010000001.1	90.7517	90.7517	0.0006	0.0005	1.29487
NZ_CP004353.1	NZ_PTJO01000001.1	81.3592	87.5046	0.0518	0.0580	0.29461
NZ_LT706953.1	NZ_CP004350.1	52.4939	85.7505	0.0238	0.0212	0.60265
CAJLCI010000001.1	URAP01000001.1	87.2032	87.2032	0.0060	0.0064	1.31846
NZ_NFLH01000001.1	NZ_NFLJ01000001.1	85.7849	92.1125	0.5265	0.5114	0.09495
NZ_KV788368.1	NZ_CP004353.1	77.2941	83.0691	0.2584	0.2378	0.21985
NZ_CP068159.1	NZ_CP006842.1	70.7424	86.7356	0.0231	0.0164	0.51641
URDX01000001.1	CAJLCI010000001.1	85.7719	85.7719	0.0065	0.0060	1.33464
JAAVDE010000001.1	JAAVCG010000001.1	84.3509	87.5714	0.0173	0.0150	0.64545
CAAEWX010000001.1	SUXJ01000005.1	85.2282	89.9828	0.0069	0.0074	0.84816
BLLX01000001.1	DKUN01000022.1	88.3254	88.3254	0.0088	0.0123	0.78124
NZ_JACSDK010000001.1	WHTV01000100.1	84.7728	87.3382	0.5480	0.6260	0.07894
NZ_CP033465.1	NZ_CP032416.1	80.7924	86.1629	0.5099	0.5159	0.15618
CAIMAP010000001.1	CAIKLP010000001.1	93.5339	94.0347	0.7574	0.7758	0.06611
JAEDGN010000002.1	NZ_LR698973.1	79.4917	84.1382	0.1545	0.1159	0.28003
NZ_WQPI01000085.1	NZ_LR698973.1	91.7035	95.1121	0.5687	0.6401	0.04962
DRYH01000031.1	DTAJ01000019.1	NaN	NaN	0.0000	0.0000	NaN
DADP01000041.1	DTAJ01000019.1	NaN	NaN	0.0000	0.0000	NaN
DRYR01000058.1	DADP01000041.1	NaN	NaN	0.0000	0.0000	NaN
DRZS01000104.1	DADP01000041.1	NaN	NaN	0.0000	0.0000	NaN
DSCR01000129.1	DRYH01000031.1	NaN	NaN	0.0000	0.0000	NaN
NZ_LN898212.1	NZ_KB908018.1	71.7119	84.1636	0.3439	0.4321	0.14922
JAFXCH010000051.1	CADBPL010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFQRA010000005.1	JAFTEL010000048.1	NaN	NaN	0.0000	0.0000	NaN
DNXM01000215.1	JAFTEL010000048.1	86.9000	86.9000	0.0156	0.0111	0.82006
JAFXBF010000006.1	JAFQRA010000005.1	89.3071	92.0407	0.7011	0.7788	0.07302
RGUK01000001.1	CAIKAH010000001.1	NaN	NaN	0.0000	0.0000	NaN
PCAK01000001.1	DCWN01000006.1	90.2928	92.8461	0.8831	0.8744	0.04575
JAFXCT010000105.1	JAFXBF010000006.1	90.3185	91.7693	0.7751	0.5878	0.07947
PBKG01000001.1	PBCW01000063.1	92.0836	92.0836	0.0009	0.0016	1.57727
CAJUGR010000001.1	QZED01000100.1	90.0089	92.7897	0.0078	0.0069	0.91961
CAJTJP010000001.1	QZED01000100.1	90.0266	94.7007	0.1614	0.2011	0.13325
CAJTJP010000001.1	CAJTIT010000001.1	97.9666	98.4162	0.0295	0.0358	0.13127
NZ_CP023278.1	NZ_JACJSG010000001.1	84.7599	89.7461	0.0391	0.0342	0.22309
PARQ01000014.1	PBKG01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_LUHJ01000001.1	NC_019684.1	88.5767	89.1131	0.6130	0.5552	0.07296
NZ_JACJRF010000001.1	NC_019684.1	86.9041	87.7186	0.1424	0.1279	0.14759
NZ_CP040297.1	NZ_CP023278.1	86.9029	89.3803	0.0480	0.0476	0.19495
CAJTJP010000001.1	CAJUGR010000001.1	90.2733	93.2783	0.0041	0.0056	0.90629
CAJTIT010000001.1	CAJUGR010000001.1	80.5337	87.8788	0.0039	0.0060	1.17573
JAAXQN010000032.1	LXTG01000073.1	85.7672	88.9699	0.0523	0.1177	0.28133
LDXR01000001.1	JAAXQN010000032.1	84.1515	86.0232	0.0696	0.0651	0.32137
QHTP01000085.1	QHTX01000013.1	86.8630	86.8630	0.1547	0.1632	0.19518
DSKR01000051.1	BEIM01000001.1	91.6383	91.6383	0.0095	0.0116	0.39551
QHUS01000092.1	QHUK01000056.1	82.4903	85.5973	0.5500	0.5590	0.10470
QHTX01000013.1	QHUC01000095.1	86.5168	86.5168	0.1119	0.1142	0.24471
QHUD01000146.1	QHUC01000095.1	87.7393	87.7393	0.0868	0.0915	0.24377
NZ_CP047242.1	NC_003272.1	93.8979	94.7508	0.7596	0.7785	0.03280
NZ_JAGGMI010000001.1	NC_014816.1	82.4995	86.0008	0.0565	0.0683	0.28117
NZ_AWGF01000001.1	NC_014816.1	82.3843	85.7656	0.2612	0.2473	0.14965
NZ_BMZB01000001.1	NZ_AWGE01000001.1	76.6067	84.8466	0.0406	0.0335	0.41241
NZ_AWGF01000001.1	NZ_AWGE01000001.1	74.5737	85.9341	0.0543	0.0476	0.32520
NZ_AQWM01000001.1	NZ_QBKE01000001.1	80.5613	85.3525	0.0705	0.0827	0.25424
NZ_WQCF01000001.1	NZ_CP031946.1	76.1401	84.2942	0.5882	0.5882	0.10330
NZ_GG704596.1	NZ_WQCF01000001.1	77.1083	83.9369	0.6895	0.5681	0.11445
NZ_JWLK01000001.1	NZ_JWLJ01000001.1	75.9719	83.9864	0.5236	0.5236	0.11003
VHAX01000001.1	VGGT01000001.1	86.2982	87.7387	0.1035	0.1045	0.24798
SYHW01000003.1	VGGT01000001.1	95.0377	95.4603	0.7627	0.7006	0.04733
NZ_JWLK01000001.1	NZ_WQEG01000001.1	75.3760	83.5417	0.5167	0.5209	0.11549
CAIVQI010000001.1	VHAX01000001.1	86.1699	86.1699	0.0813	0.0910	0.31040
NZ_GG704596.1	NZ_WQDA01000001.1	90.7004	93.1878	0.7369	0.7050	0.05078
VGGT01000001.1	CAIVQI010000001.1	89.2577	89.2577	0.1126	0.1043	0.21640
NVRK02000001.1	NZ_CP019044.1	NaN	NaN	0.0000	0.0000	NaN
JAFMHL010000008.1	NZ_CP019044.1	NaN	NaN	0.0000	0.0000	NaN
WBXG01000001.1	CAIWMF010000001.1	80.0684	87.7721	0.0152	0.0153	0.70737
WBXG01000001.1	VHCR01000001.1	NaN	NaN	0.0000	0.0000	NaN
NVRK02000001.1	JAFMHL010000008.1	89.5312	89.5312	0.0004	0.0003	2.39079
NC_008261.1	NZ_LT594781.1	76.2361	83.7237	0.1242	0.1352	0.35527
NC_008261.1	NZ_LN879458.1	76.8441	84.4237	0.1737	0.1547	0.28770
NZ_LT594781.1	NZ_UAUL01000012.1	84.9447	84.9447	0.0431	0.0503	0.56623
NZ_LN879458.1	NZ_UAUL01000012.1	78.7624	82.5000	0.1000	0.1372	0.42849
NZ_LT594781.1	NZ_WHJC01000001.1	86.6157	86.6157	0.0226	0.0176	0.60700
SVTS01000103.1	JAEEYP010000088.1	89.0302	89.0302	0.0039	0.0041	1.03708
JAFUIQ010000001.1	JAFVVP010000005.1	90.7956	90.7956	0.0056	0.0110	0.73067
JAEEYP010000088.1	JAFVVP010000005.1	NaN	NaN	0.0000	0.0000	NaN
SVTS01000103.1	JAFTUH010000010.1	84.4222	84.4222	0.0125	0.0173	0.86681
JADCKQ010000001.1	NZ_PWAA01000001.1	94.3612	95.1221	0.8511	0.8574	0.03621
NZ_JWIF01000001.1	JADCKQ010000001.1	81.1148	85.5229	0.3104	0.3040	0.13835
NZ_PWAA01000001.1	NZ_JWIF01000001.1	83.4212	85.5169	0.3153	0.3298	0.13963
JADCKQ010000001.1	NZ_JAAOIE010000001.1	86.1577	88.4531	0.0169	0.0159	0.45576
CP048741.1	NZ_LT629846.1	90.0800	91.4910	0.6616	0.6014	0.10739
CAJFPU010000001.1	NZ_LN555523.1	93.4122	93.5965	0.5792	0.5636	0.09312
NZ_LT629846.1	NZ_LN555523.1	93.5960	94.4668	0.6731	0.7768	0.06979
PCVP01000020.1	MFYJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
PFDR01000073.1	MFYJ01000001.1	99.3336	99.3336	0.0019	0.0015	0.47202
CAJFPU010000001.1	CP048741.1	91.3082	91.8761	0.4313	0.4165	0.12728
NZ_JACSPN010000010.1	NZ_JOFV01000001.1	91.2217	92.8532	0.7734	0.8494	0.04402
NZ_JACSQF010000010.1	NZ_JAFBBV010000001.1	89.5694	92.0688	0.7808	0.8204	0.04541
NZ_MAQA01000001.1	NZ_JAFBBV010000001.1	90.1905	92.5574	0.7544	0.8303	0.04343
NZ_JAFBBV010000001.1	NZ_CP042174.1	94.2524	95.4274	0.8738	0.9304	0.03110
DUJH01000046.1	DAOJ01000015.1	NaN	NaN	0.0000	0.0000	NaN
NTJR01000001.1	PANM01000019.1	81.4184	81.4184	0.0134	0.0097	1.70223
DAOJ01000015.1	DAMG01000069.1	85.5927	86.7645	0.2671	0.2028	0.22421
NZ_CP042174.1	NZ_JAFBBO010000001.1	93.6556	94.9694	0.8877	0.9299	0.03257
PANM01000019.1	JAERST010000001.1	73.2555	82.4821	0.1095	0.0768	0.50813
DAIJ01000019.1	JAERST010000001.1	48.7128	82.0561	0.0089	0.0076	1.74898
USFO01000001.1	JAFUJP010000003.1	89.3214	89.3214	0.0181	0.0134	0.65968
JAFXBK010000009.1	USFO01000001.1	92.9287	92.9287	0.0013	0.0015	1.28900
USFO01000001.1	JAFOYK010000193.1	90.1243	90.1243	0.0113	0.0186	0.80518
JAEDJF010000072.1	JAGOPP010000010.1	NaN	NaN	0.0000	0.0000	NaN
NZ_BIMD01000001.1	NZ_CP011058.1	76.3310	82.7456	0.0692	0.0663	0.31573
NZ_NMUQ01000001.1	NZ_CP022655.2	59.9015	81.9881	0.3143	0.2957	0.15412
LT629764.1	NZ_CP022655.2	60.4311	83.1513	0.2788	0.2718	0.14742
LT629764.1	NZ_AULW01000001.1	75.4651	82.5084	0.3734	0.3479	0.13318
NZ_CP011058.1	LT629764.1	74.2588	88.6497	0.0169	0.0174	0.40603
CAAGBQ010000001.1	JAGASN010000014.1	88.1210	88.1210	0.0147	0.0130	0.77756
NZ_ATVB01000001.1	NZ_RXLP01000024.1	78.4532	84.8844	0.1726	0.1689	0.28089
DVOC01000026.1	JAFVYC010000012.1	NaN	NaN	0.0000	0.0000	NaN
NZ_MWWT01000001.1	NZ_AQXR01000001.1	77.7193	83.5800	0.1494	0.1509	0.30143
CAJUIZ010000001.1	HF998443.1	85.4115	85.4115	0.0090	0.0089	1.56654
NZ_ATVB01000001.1	NZ_MWWT01000001.1	80.0149	85.7318	0.0756	0.0761	0.37536
PNOJ01000001.1	JADJYS010000001.1	93.0024	94.5072	0.8992	0.6097	0.04866
CAJUIV010000001.1	CAJUNH010000001.1	72.2550	89.1571	0.0247	0.0255	0.72098
CACIJW010000001.1	PBAP01000003.1	92.3476	93.7521	0.8115	0.8478	0.08953
CACAMX010000001.1	PBAP01000003.1	89.4826	91.5985	0.7223	0.4050	0.16382
CACIJW010000001.1	CACAMX010000001.1	92.7490	93.9506	0.3826	0.7376	0.12623
PBAP01000003.1	CACJWV010000001.1	95.1891	95.3843	0.3884	0.7126	0.11797
DCDI01000078.1	NZ_JAFMNX010000001.1	86.4600	88.5000	0.5660	0.6031	0.07333
NZ_JAFMNX010000001.1	NZ_BMZQ01000001.1	84.9380	87.8731	0.7858	0.7464	0.06770
CAIXFH010000001.1	WGLY01000027.1	84.0753	84.0753	0.0336	0.0288	0.44548
WLRQ01000001.1	CAIKEU010000001.1	84.1855	84.1855	0.0261	0.0230	0.56240
WGLY01000027.1	CAIKEU010000001.1	85.1457	85.1457	0.0201	0.0252	0.54890
JAFMIZ010000105.1	DSYF01000118.1	90.4587	90.4587	0.0079	0.0060	0.58184
CAAFTZ010000001.1	URYO01000001.1	93.7826	95.3326	0.3553	0.6956	0.06943
LARN01000015.1	URYO01000001.1	93.8297	95.5147	0.4231	0.6821	0.06804
NZ_WSRP01000100.1	LARN01000015.1	79.0595	84.8074	0.0764	0.0947	0.38049
CAIKEU010000001.1	JADGOZ010000125.1	66.2557	84.6228	0.0039	0.0034	1.23180
JAFQDL010000002.1	JAGCSP010000039.1	NaN	NaN	0.0000	0.0000	NaN
USHK01000001.1	CAAFTZ010000001.1	91.3207	91.7008	0.2875	0.2090	0.12823
SVHX01000007.1	JAFZND010000030.1	NaN	NaN	0.0000	0.0000	NaN
CAJOPQ010000001.1	SVHV01000002.1	NaN	NaN	0.0000	0.0000	NaN
CP011216.1	METB01000001.1	85.1135	88.9034	0.0407	0.0378	0.70061
JAEDFU010000012.1	SVHM01000002.1	82.6623	82.6623	0.1437	0.1199	0.57551
SVHX01000007.1	DOEE01000001.1	83.4941	83.4941	0.0460	0.0520	0.91914
MNGO01000055.1	VBBR01000177.1	88.5972	89.0973	0.6001	0.3566	0.11082
VBBR01000177.1	VBBP01000072.1	88.8952	90.4338	0.5297	0.6134	0.08246
VBBR01000177.1	VBAY01000141.1	86.7813	87.4203	0.1036	0.1324	0.23458
VBAX01000086.1	VBBQ01000010.1	83.6957	85.3416	0.5149	0.5113	0.13874
VBBR01000177.1	VBBT01000070.1	85.6894	86.5959	0.3423	0.3803	0.13843
NZ_RBXN01000001.1	JTDA01000001.1	87.1817	90.3023	0.0113	0.0093	0.58678
URAV01000001.1	JTDA01000001.1	88.1629	88.1629	0.0096	0.0080	0.75580
DUVD01000171.1	LIUM01000001.1	95.5213	98.0065	0.0208	0.0133	0.21991
URAV01000001.1	NZ_RBXN01000001.1	93.8211	94.6690	0.8694	0.8779	0.04846
SLFV01000032.1	NZ_WIAD01000100.1	97.4107	97.4107	0.0003	0.0002	1.14689
NZ_CP042914.1	SLFV01000032.1	99.2958	99.2958	0.0001	0.0001	0.70174
CP036262.1	SLFV01000032.1	98.5075	98.5075	0.0003	0.0003	0.60476
CP036262.1	NZ_CP042914.1	88.0847	90.7416	0.0047	0.0036	0.45424
URCT01000001.1	QAKH01000010.1	89.5295	89.5295	0.0015	0.0014	1.99831
JAGDBE010000033.1	QAKH01000010.1	NaN	NaN	0.0000	0.0000	NaN
JAGDBE010000033.1	JAGADB010000017.1	93.9288	93.9288	0.3207	0.4184	0.12887
QAKH01000010.1	JAEESG010000109.1	89.4519	89.4519	0.0042	0.0071	1.09635
