query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags
GCF_003976565.1	GCF_001449325.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas	g__Pseudomonas	s__Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	0.994023	0.985165	3989
GCF_000271085.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.985032	0.971936	4163
GCF_000019305.1	GCF_001276985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Clostridium_F	g__Clostridium_F	s__Clostridium_F botulinum	s__Clostridium_F botulinum	0.988730	0.976152	61
GCF_015830935.1	GCF_001457455.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.978398	0.958969	745
GCF_003432975.1	GCF_003494925.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria meningitidis	s__Neisseria meningitidis	0.990957	0.980708	705
GCF_000309115.1	GCF_000215005.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.990197	0.979085	475
GCF_003976565.1	GCF_900148295.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas	g__Pseudomonas	s__Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	0.990181	0.980198	3014
GCA_017459665.1	GCA_002084765.1	low	d__Archaea	d__Bacteria	p__Methanobacteriota	p__4572-55	g__Methanobrevibacter_A	g__4572-55	s__Methanobrevibacter_A sp017459665	s__4572-55 sp002084765	0.000000	0.000000	0
GCA_016194335.1	GCF_014203025.1	low	d__Archaea	d__Bacteria	p__Micrarchaeota	p__Chrysiogenota	g__JACQBR01	g__Desulfurispira	s__JACQBR01 sp016194335	s__Desulfurispira natronophila	0.000000	0.000000	0
GCF_000174435.1	GCA_002069885.1	low	d__Bacteria	d__Bacteria	p__Desulfobacterota_I	p__UBP15	g__Desulfonatronospira	g__UBA6099	s__Desulfonatronospira thiodismutans	s__UBA6099 sp002069885	0.000000	0.000000	0
GCA_016190245.1	GCA_003105225.1	low	d__Bacteria	d__Bacteria	p__JACPQY01	p__Desulfobacterota_E	g__JACPQY01	g__FEB-35	s__JACPQY01 sp016190245	s__FEB-35 sp003105225	0.000000	0.000000	0
GCA_012729785.1	GCA_002748425.1	low	d__Bacteria	d__Bacteria	p__UBA1439	p__Moduliflexota	g__UBA1439	g__GCA-2748425	s__UBA1439 sp002329605	s__GCA-2748425 sp002748425	0.000000	0.000000	0
GCA_014730065.1	GCA_014238095.1	low	d__Bacteria	d__Archaea	p__Armatimonadota	p__Aenigmatarchaeota	g__UBA1398	g__JABABT01	s__UBA1398 sp014730065	s__JABABT01 sp014238095	0.000000	0.000000	0
GCA_013151555.1	GCF_000519125.1	low	d__Bacteria	d__Bacteria	p__NPL-UPA2	p__Desulfobacterota_I	g__JAADIA01	g__Desulfocurvus	s__JAADIA01 sp013151555	s__Desulfocurvus vexinensis	0.000000	0.000000	0
GCF_000020785.1	GCA_013152765.1	low	d__Bacteria	d__Bacteria	p__Aquificota	p__KSB1	g__Hydrogenobaculum	g__JADDFT01	s__Hydrogenobaculum sp000020785	s__JADDFT01 sp013152765	0.000000	0.000000	0
GCA_007132905.1	GCA_003696125.1	low	d__Bacteria	d__Bacteria	p__SLNR01	p__Tectomicrobia	g__SLNR01	g__J063	s__SLNR01 sp007132905	s__J063 sp003696125	0.000000	0.000000	0
GCA_018812485.1	GCF_900079095.1	low	d__Bacteria	d__Bacteria	p__JAHJDO01	p__Tectomicrobia	g__JAHJDO01	g__Entotheonella	s__JAHJDO01 sp018812485	s__Entotheonella palauensis	0.000000	0.000000	0
GCA_016202395.1	GCA_016845065.1	low	d__Bacteria	d__Bacteria	p__JACQOV01	p__Marinisomatota	g__JACQOV01	g__JABMPR01	s__JACQOV01 sp016202395	s__JABMPR01 sp016845065	0.000000	0.000000	0
GCA_002719695.1	GCA_017999075.1	low	d__Bacteria	d__Bacteria	p__Margulisbacteria	p__JAGOBX01	g__GCA-002719695	g__JAGOBX01	s__GCA-002719695 sp002719695	s__JAGOBX01 sp017999075	0.000000	0.000000	0
GCF_000212395.1	GCA_903910645.1	low	d__Bacteria	d__Bacteria	p__Thermodesulfobiota	p__Delongbacteria	g__Thermodesulfobium	g__CAIWAD01	s__Thermodesulfobium narugense	s__CAIWAD01 sp903910645	0.000000	0.000000	0
GCF_000284315.1	GCA_003554945.1	low	d__Bacteria	d__Bacteria	p__Nitrospirota_A	p__T1Sed10-126	g__Leptospirillum	g__T1Sed10-126	s__Leptospirillum ferrooxidans	s__T1Sed10-126 sp003554945	0.000000	0.000000	0
GCA_002404215.1	GCA_014728115.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_B	p__KSB1	g__Desulfosporosinus	g__WJME01	s__Desulfosporosinus sp002404215	s__WJME01 sp014728115	0.000000	0.000000	0
GCA_018816245.1	GCA_001443495.1	low	d__Archaea	d__Bacteria	p__Aenigmatarchaeota	p__Methylomirabilota	g__JAHIVW01	g__CSP1-5	s__JAHIVW01 sp018816245	s__CSP1-5 sp001443495	0.000000	0.000000	0
GCA_011388275.1	GCF_002240055.1	low	d__Bacteria	d__Bacteria	p__QNDG01	p__Fusobacteriota	g__DSAB01	g__Leptotrichia	s__DSAB01 sp011388275	s__Leptotrichia sp002240055	0.000000	0.000000	0
GCA_011049955.1	GCA_016176845.1	low	d__Bacteria	d__Bacteria	p__UBP18	p__Nitrospinota_B	g__DRGV01	g__JACOWJ01	s__DRGV01 sp011049955	s__JACOWJ01 sp016176845	0.000000	0.000000	0
GCA_001567115.1	GCA_002708105.2	low	d__Bacteria	d__Bacteria	p__OLB16	p__Desulfobacterota_D	g__OLB16	g__TMED58	s__OLB16 sp001567115	s__TMED58 sp002708105	0.000000	0.000000	0
GCA_002346625.1	GCA_016783505.1	low	d__Bacteria	d__Bacteria	p__Gemmatimonadota	p__BS750m-G25	g__UBA6934	g__BS750m-G25	s__UBA6934 sp002346625	s__BS750m-G25 sp016783505	0.000000	0.000000	0
GCA_002686955.1	GCF_001283065.1	low	d__Bacteria	d__Bacteria	p__Gemmatimonadota_A	p__Campylobacterota	g__GCA-2686955	g__Helicobacter_E	s__GCA-2686955 sp002686955	s__Helicobacter_E heilmannii	0.000000	0.000000	0
GCA_016867715.1	GCA_002424645.1	low	d__Bacteria	d__Bacteria	p__JABDJQ01	p__Desulfobacterota	g__VGIW01	g__Syntrophotalea	s__VGIW01 sp016867715	s__Syntrophotalea sp002424645	0.000000	0.000000	0
GCA_002869225.1	GCA_001515205.2	low	d__Bacteria	d__Archaea	p__Muirbacteria	p__Hadarchaeota	g__Muirbacterium	g__Hadarchaeum	s__Muirbacterium halophilum	s__Hadarchaeum yellowstonense	0.000000	0.000000	0
GCA_002402105.1	GCA_001730085.1	low	d__Bacteria	d__Bacteria	p__UBP17	p__GCA-001730085	g__GCA-2402105	g__GCA-001730085	s__GCA-2402105 sp002402105	s__GCA-001730085 sp001730085	0.000000	0.000000	0
GCA_002869015.1	GCA_011049465.1	low	d__Bacteria	d__Bacteria	p__Desulfobacterota_C	p__Goldbacteria	g__BM512	g__DSBP01	s__BM512 sp002869015	s__DSBP01 sp011049465	0.000000	0.000000	0
GCA_001794935.1	GCA_018239815.1	mid	d__Bacteria	d__Bacteria	p__Chlamydiota	p__Chlamydiota	g__O2-12-FULL-49-9	g__SZAS-3	s__O2-12-FULL-49-9 sp001794935	s__SZAS-3 sp018239815	0.000000	0.000000	0
GCA_002387725.1	GCF_000284315.1	mid	d__Bacteria	d__Bacteria	p__Nitrospirota_A	p__Nitrospirota_A	g__UBA4572	g__Leptospirillum	s__UBA4572 sp002387725	s__Leptospirillum ferrooxidans	0.000000	0.000000	0
GCA_003170595.1	GCA_016179045.1	mid	d__Bacteria	d__Bacteria	p__Armatimonadota	p__Armatimonadota	g__FEN-943	g__JACOSL01	s__FEN-943 sp003170595	s__JACOSL01 sp016179045	0.000000	0.000000	0
GCA_012727675.1	GCA_002305255.1	mid	d__Bacteria	d__Bacteria	p__Firmicutes_G	p__Firmicutes_G	g__DTU087	g__UBA1393	s__DTU087 sp012727675	s__UBA1393 sp002305255	0.000000	0.000000	0
GCA_012515535.1	GCF_000186385.1	mid	d__Bacteria	d__Bacteria	p__Deinococcota	p__Deinococcota	g__JAAYYF01	g__Deinococcus_B	s__JAAYYF01 sp012515535	s__Deinococcus_B maricopensis	0.000000	0.000000	0
GCA_004299085.1	GCA_018224645.1	mid	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__FW021-bin31	g__JAGTVG01	s__FW021-bin31 sp004299085	s__JAGTVG01 sp018224645	0.000000	0.000000	0
GCA_017610445.1	GCA_018221125.1	mid	d__Archaea	d__Archaea	p__Nanoarchaeota	p__Nanoarchaeota	g__JAFCCB01	g__JAAOYC01	s__JAFCCB01 sp017610445	s__JAAOYC01 sp018221125	0.000000	0.000000	0
GCA_007133465.1	GCA_012719335.1	mid	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__SLMP01	g__JAAYAO01	s__SLMP01 sp007133465	s__JAAYAO01 sp012719335	0.000000	0.000000	0
GCF_004087915.1	GCA_019116905.1	mid	d__Bacteria	d__Bacteria	p__Deferribacterota	p__Deferribacterota	g__Geovibrio	g__Mucispirillum	s__Geovibrio thiophilus	s__Mucispirillum faecigallinarum	0.000000	0.000000	0
GCA_001563995.1	GCA_003009815.1	mid	d__Archaea	d__Archaea	p__Nanohaloarchaeota	p__Nanohaloarchaeota	g__PL-Br10-U2g16	g__SW-4-43-9	s__PL-Br10-U2g16 sp001563995	s__SW-4-43-9 sp003009815	0.000000	0.000000	0
GCA_013152815.1	GCA_016211185.1	mid	d__Archaea	d__Archaea	p__Nanoarchaeota	p__Nanoarchaeota	g__JAADFO01	g__JACQST01	s__JAADFO01 sp013152815	s__JACQST01 sp016211185	0.000000	0.000000	0
GCA_013314795.1	GCA_018056825.1	mid	d__Bacteria	d__Bacteria	p__Atribacterota	p__Atribacterota	g__JABUEZ01	g__UBA3950	s__JABUEZ01 sp013314795	s__UBA3950 sp018056825	0.000000	0.000000	0
GCA_015232315.1	GCA_002683785.1	mid	d__Bacteria	d__Bacteria	p__SAR324	p__SAR324	g__JADFZZ01	g__UBA1014	s__JADFZZ01 sp015232315	s__UBA1014 sp002683785	0.000000	0.000000	0
GCA_016937135.1	GCA_002897695.1	mid	d__Bacteria	d__Bacteria	p__BMS3Abin14	p__BMS3Abin14	g__JAFGWO01	g__BMS3ABIN14	s__JAFGWO01 sp016937135	s__BMS3ABIN14 sp002897695	0.000000	0.000000	0
GCA_016125005.1	GCA_017161665.1	mid	d__Bacteria	d__Bacteria	p__Sumerlaeota	p__Sumerlaeota	g__WGMQ01	g__JADFCT01	s__WGMQ01 sp016125005	s__JADFCT01 sp017161665	0.000000	0.000000	0
GCA_016783825.1	GCA_012523655.1	mid	d__Bacteria	d__Bacteria	p__KSB1	p__KSB1	g__BS750m-G10	g__JAAYTV01	s__BS750m-G10 sp016783825	s__JAAYTV01 sp012523655	0.000000	0.000000	0
GCA_003695725.1	GCA_001790855.1	mid	d__Bacteria	d__Bacteria	p__Schekmanbacteria	p__Schekmanbacteria	g__J061	g__2-02-FULL-38-14-A	s__J061 sp003695725	s__2-02-FULL-38-14-A sp001790855	0.000000	0.000000	0
GCA_000991575.1	GCA_001468865.1	mid	d__Bacteria	d__Bacteria	p__Dependentiae	p__Dependentiae	g__UBA12409	g__SOIL31	s__UBA12409 sp000991575	s__SOIL31 sp001468865	0.000000	0.000000	0
GCA_017694875.1	GCA_012031335.1	mid	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Gallipaludibacter	g__JAAUTT01	s__Gallipaludibacter merdavium	s__JAAUTT01 sp012031335	0.000000	0.000000	0
GCA_012797915.1	GCA_900498245.1	mid	d__Bacteria	d__Bacteria	p__Zixibacteria	p__Zixibacteria	g__JAAZOE01	g__UNRQ01	s__JAAZOE01 sp012797915	s__UNRQ01 sp900498245	0.000000	0.000000	0
GCA_016934595.1	GCA_016235675.1	mid	d__Bacteria	d__Bacteria	p__SZUA-182	p__SZUA-182	g__JAFGSM01	g__JACRJN01	s__JAFGSM01 sp016934595	s__JACRJN01 sp016235675	0.000000	0.000000	0
GCA_016874795.1	GCA_016183145.1	mid	d__Bacteria	d__Bacteria	p__Desulfobacterota_B	p__Desulfobacterota_B	g__VGTG01	g__JACPFE01	s__VGTG01 sp016874795	s__JACPFE01 sp016183145	0.000000	0.000000	0
GCA_003697085.1	GCA_002780065.1	mid	d__Bacteria	d__Bacteria	p__UBA8481	p__UBA8481	g__J006	g__UBA8481	s__J006 sp003697085	s__UBA8481 sp002780065	0.000000	0.000000	0
GCA_012514975.1	GCA_003648225.1	mid	d__Bacteria	d__Bacteria	p__UBA3054	p__UBA3054	g__JAAYZF01	g__B51-G9	s__JAAYZF01 sp012514975	s__B51-G9 sp003648225	0.000000	0.000000	0
GCA_016930695.1	GCA_016867715.1	mid	d__Bacteria	d__Bacteria	p__JABDJQ01	p__JABDJQ01	g__JAFGGD01	g__VGIW01	s__JAFGGD01 sp016930695	s__VGIW01 sp016867715	0.960938	0.906698	12
GCA_903874575.1	GCA_013044195.1	mid_high	d__Bacteria	d__Bacteria	p__Elusimicrobiota	p__Elusimicrobiota	g__GWA2-66-18	g__GWA2-66-18	s__GWA2-66-18 sp903874575	s__GWA2-66-18 sp013044195	0.956597	0.938001	36
GCF_003966655.1	GCF_018853815.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus ferridurans	s__Acidithiobacillus sp018853815	0.961694	0.924773	31
GCA_017471765.1	GCA_017398485.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__UBA5905	g__UBA5905	s__UBA5905 sp017471765	s__UBA5905 sp017398485	0.950000	0.898021	10
GCF_009733735.1	GCF_000331225.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sandarakinorhabdus	g__Sandarakinorhabdus	s__Sandarakinorhabdus oryzae	s__Sandarakinorhabdus sp000331225	0.961677	0.910753	296
GCF_003952005.1	GCF_002860355.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Galliscardovia	g__Galliscardovia	s__Galliscardovia callimiconis	s__Galliscardovia margollesii	0.956473	0.958342	196
GCA_019116505.1	GCF_001885765.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_I	g__Enterococcus_I	s__Enterococcus_I avicola	s__Enterococcus_I aquimarinus	0.000000	0.000000	0
GCA_002841025.1	GCA_018829465.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UM-FILTER-40-17	g__UM-FILTER-40-17	s__UM-FILTER-40-17 sp002841025	s__UM-FILTER-40-17 sp018829465	0.000000	0.000000	0
GCA_009937085.1	GCA_002313325.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA7446	g__UBA7446	s__UBA7446 sp009937085	s__UBA7446 sp002313325	0.000000	0.000000	0
GCF_015100155.1	GCF_018854775.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus sp015100155	s__Acidithiobacillus ferriphilus	0.000000	0.000000	0
GCA_905480645.1	GCF_007995245.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Tateyamaria	g__Tateyamaria	s__Tateyamaria sp003445215	s__Tateyamaria sp007995245	0.000000	0.000000	0
GCA_013114705.1	GCF_007826885.1	mid_high	d__Archaea	d__Archaea	p__Thermoproteota	p__Thermoproteota	g__Nitrosocosmicus	g__Nitrosocosmicus	s__Nitrosocosmicus sp013114705	s__Nitrosocosmicus arcticus	0.000000	0.000000	0
GCF_900112595.1	GCF_014202225.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Algibacter_B	g__Algibacter_B	s__Algibacter_B pectinivorans	s__Algibacter_B amylolyticus	0.976273	0.948261	216
GCA_002727275.1	GCA_004195715.1	mid_high	d__Archaea	d__Archaea	p__Thermoplasmatota	p__Thermoplasmatota	g__Thalassarchaeum	g__Thalassarchaeum	s__Thalassarchaeum sp002727275	s__Thalassarchaeum sp004195715	0.000000	0.000000	0
GCA_002501885.1	GCA_002457605.1	mid_high	d__Archaea	d__Archaea	p__Thermoplasmatota	p__Thermoplasmatota	g__Thalassarchaeum	g__Thalassarchaeum	s__Thalassarchaeum sp002501885	s__Thalassarchaeum sp002457605	0.000000	0.000000	0
GCF_001832905.1	GCF_001832885.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Floricoccus	g__Floricoccus	s__Floricoccus tropicus	s__Floricoccus penangensis	0.981841	0.967149	74
GCA_900759475.1	GCA_017524665.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__UMGS1754	g__UMGS1754	s__UMGS1754 sp900759475	s__UMGS1754 sp017524665	0.000000	0.000000	0
GCA_009782495.1	GCA_009782955.1	mid_high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__WRIV01	g__WRIV01	s__WRIV01 sp009782495	s__WRIV01 sp009782955	0.964502	0.925975	103
GCF_000316645.1	GCF_014697105.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus sp000316645	s__Trichormus subtropica	0.959459	0.953731	37
GCA_017512465.1	GCA_017432485.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG714	g__RUG714	s__RUG714 sp017512465	s__RUG714 sp017432485	0.972842	0.903290	84
GCF_014041915.1	GCF_015354315.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium sp014041915	s__Planobacterium sp015354315	0.000000	0.000000	0
GCA_018711785.1	GCA_018715695.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Galloscillospira_A	g__Galloscillospira_A	s__Galloscillospira_A excrementavium	s__Galloscillospira_A stercoripullorum	0.965726	0.945140	31
GCF_009856605.1	GCF_000009705.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus variabilis	s__Trichormus sp000009705	0.976116	0.949223	420
GCA_016794035.1	GCA_016794425.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__JAEUHS01	g__JAEUHS01	s__JAEUHS01 sp016794035	s__JAEUHS01 sp016794425	0.963308	0.921312	712
GCA_016882345.1	GCA_016882555.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__RGUW01	g__RGUW01	s__RGUW01 sp016882345	s__RGUW01 sp016882555	0.964086	0.946762	134
GCA_900321665.1	GCA_902794945.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG714	g__RUG714	s__RUG714 sp900321665	s__RUG714 sp902794945	0.972128	0.936491	37
