query	reference	phylum	genus	q_species	r_species	skani_ani	skani_af_ref	skani_af_query	anim_ani
GCA_000484975.1	GCA_013390905.1	p__Thermoproteota	g__Nitrosopumilus	s__Nitrosopumilus sp000484975	s__Nitrosopumilus sp013390905	94.95	66.34	78.11	95.3200
GCA_000508865.1	GCF_000686665.1	p__Firmicutes	g__Erysipelatoclostridium	s__Erysipelatoclostridium sp000508865	s__Erysipelatoclostridium saccharogumia	94.59	68.95	69.1	95.1600
GCA_000634735.1	GCA_902618795.1	p__Cyanobacteria	g__Prochlorococcus_A	s__Prochlorococcus_A sp000634735	s__Prochlorococcus_A sp902618795	94.73	58.17	81.8	95.1100
GCA_000635495.1	GCA_003213375.1	p__Cyanobacteria	g__Prochlorococcus_A	s__Prochlorococcus_A sp000635495	s__Prochlorococcus_A sp003213375	94.85	88.43	60.53	95.1600
GCA_000635495.1	GCA_902525075.1	p__Cyanobacteria	g__Prochlorococcus_A	s__Prochlorococcus_A sp000635495	s__Prochlorococcus_A sp902525075	94.7	74.17	84.89	95.3700
GCA_000695745.1	GCF_900089835.1	p__Proteobacteria	g__Vibrio	s__Vibrio madracius	s__Vibrio thalassae	96.79	55.75	67.34	96.5300
GCA_000717735.1	GCF_000725545.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces griseoluteus_A	s__Streptomyces exfoliatus	96.51	81.34	79.09	96.1400
GCA_000747625.2	GCA_000753945.1	p__Desulfobacterota	g__Smithella	s__Smithella sp000747625	s__Smithella sp000753945	95.98	50.56	25.89	96.4200
GCA_000761495.1	GCA_002367455.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter idrijaensis	s__Acinetobacter sp002367455	95.87	57.43	77.77	95.7300
GCA_000761495.1	GCF_000487975.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter idrijaensis	s__Acinetobacter lwoffii	96.22	80.39	73.14	96.1200
GCA_000761495.1	GCF_011058205.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter idrijaensis	s__Acinetobacter fasciculus	96.11	78.26	71.92	96.0700
GCA_000761495.1	GCF_014769185.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter idrijaensis	s__Acinetobacter lwoffii_D	96.43	81.05	74.84	96.3600
GCA_000761495.1	GCF_015602705.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter idrijaensis	s__Acinetobacter lwoffii_E	96.04	85.35	68.67	95.8500
GCA_000814665.1	GCF_000238315.3	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas elyakovii	s__Pseudoalteromonas piscicida	96.17	81.24	81.74	96.3900
GCA_000814665.1	GCF_002289345.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas elyakovii	s__Pseudoalteromonas sp002289345	94.83	79.41	76.17	95.2700
GCA_000814665.1	GCF_002850255.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas elyakovii	s__Pseudoalteromonas sp002850255	95.34	79.19	78.09	95.7500
GCA_000814665.1	GCF_016695175.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas elyakovii	s__Pseudoalteromonas sp002591815	95.54	82.36	82.63	95.9400
GCA_000824845.1	GCF_003952425.1	p__Proteobacteria	g__Mesorhizobium	s__Mesorhizobium sp000824845	s__Mesorhizobium sp003952425	94.67	67.96	73.02	95.0200
GCA_001067655.1	GCF_000227275.1	p__Proteobacteria	g__Neisseria	s__Neisseria lactamica_B	s__Neisseria sp000227275	95.43	75.71	76.28	95.3900
GCA_001067655.1	GCF_000260655.1	p__Proteobacteria	g__Neisseria	s__Neisseria lactamica_B	s__Neisseria sicca_B	95.22	78.92	76.59	95.4000
GCA_001067655.1	GCF_001809325.1	p__Proteobacteria	g__Neisseria	s__Neisseria lactamica_B	s__Neisseria sp001809325	95.25	77.68	79.05	95.4800
GCA_001067655.1	GCF_001815675.1	p__Proteobacteria	g__Neisseria	s__Neisseria lactamica_B	s__Neisseria sp001815675	95.01	76.48	76.85	95.4200
GCA_001264245.1	GCA_002282935.1	p__Cyanobacteria	g__Microcystis	s__Microcystis panniformis_A	s__Microcystis sp002282935	94.88	65.26	49.08	95.3700
GCA_001264245.1	GCA_007095785.1	p__Cyanobacteria	g__Microcystis	s__Microcystis panniformis_A	s__Microcystis aeruginosa_E	94.99	64.08	53.76	95.6800
GCA_001264245.1	GCF_000010625.1	p__Cyanobacteria	g__Microcystis	s__Microcystis panniformis_A	s__Microcystis aeruginosa	95.1	60.74	62.41	96.1400
GCA_001264245.1	GCF_014696875.1	p__Cyanobacteria	g__Microcystis	s__Microcystis panniformis_A	s__Microcystis wesenbergii	95.21	62.37	55.3	96.0400
GCA_001264245.1	GCF_015206885.1	p__Cyanobacteria	g__Microcystis	s__Microcystis panniformis_A	s__Microcystis aeruginosa_H	95.18	65.72	51.83	95.9500
GCA_001411745.2	GCA_018448495.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_A	s__Psychrobacter sp018448495	96.37	81.61	81.6	95.8300
GCA_001411745.2	GCA_904846265.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_A	s__Psychrobacter immobilis_A	96.47	81.41	82.47	96.0400
GCA_001411745.2	GCF_000586475.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_A	s__Psychrobacter sp000586475	96.22	82.35	80.9	95.9700
GCA_001411745.2	GCF_001435295.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_A	s__Psychrobacter sp001435295	96.34	82.08	82.68	96.0400
GCA_001411745.2	GCF_003148585.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_A	s__Psychrobacter immobilis	96.34	86.14	80.06	96.0400
GCA_001512555.1	GCA_012518025.1	p__Firmicutes_A	g__Thermoclostridium_A	s__Thermoclostridium_A sp001512555	s__Thermoclostridium_A sp012518025	94.77	82.72	88.11	95.0300
GCA_001543015.1	GCA_002317795.1	p__Thermoproteota	g__Nitrosopumilus	s__Nitrosopumilus sp001543015	s__Nitrosopumilus sp002317795	95.2	64.54	63.92	95.6700
GCA_001610955.1	GCF_001908025.1	p__Firmicutes	g__Geobacillus	s__Geobacillus thermoleovorans	s__Geobacillus proteiniphilus	96.06	75.22	76.58	96.0000
GCA_001627925.1	GCA_002457055.1	p__Proteobacteria	g__MED-G52	s__MED-G52 sp001627925	s__MED-G52 sp002457055	94.84	82.54	75.52	95.1800
GCA_001704065.1	GCA_902609705.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp001704065	s__Pelagibacter sp902609705	94.52	58.05	75.93	95.0400
GCA_001704065.1	GCA_902618565.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp001704065	s__Pelagibacter sp902618565	94.73	61.38	77.46	95.0800
GCA_001704275.1	GCF_016917755.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces noursei	s__Streptomyces yunnanensis	96.71	75.05	75.37	96.4200
GCA_001770325.1	GCA_016199545.1	p__Proteobacteria	g__DSOT01	s__DSOT01 sp001770325	s__DSOT01 sp016199545	94.85	48.55	43.32	95.2400
GCA_001830835.1	GCA_018819165.1	p__Desulfobacterota	g__UBA5619	s__UBA5619 sp001830835	s__UBA5619 sp018819165	95.24	40.18	61.36	95.4600
GCA_001896545.1	GCF_000328765.2	p__Firmicutes_A	g__Tepidanaerobacter	s__Tepidanaerobacter sp001896545	s__Tepidanaerobacter acetatoxydans	94.95	64.97	75.01	95.1800
GCA_001919715.1	GCA_003225295.1	p__Acidobacteriota	g__Acidoferrum	s__Acidoferrum sp001919715	s__Acidoferrum sp003225295	94.89	35.75	75.29	95.2500
GCA_002067325.1	GCA_002495625.1	p__Methanobacteriota	g__Methanobacterium_A	s__Methanobacterium_A sp002067325	s__Methanobacterium_A sp002495625	95.37	74.61	66.16	95.1800
GCA_002082305.1	GCA_902513935.1	p__SAR324	g__Arctic96AD-7	s__Arctic96AD-7 sp002082305	s__Arctic96AD-7 sp902513935	94.6	37.57	57.0	95.0000
GCA_002083405.1	GCA_002083565.1	p__Nitrospirota	g__Nitrospira_F	s__Nitrospira_F sp002083405	s__Nitrospira_F sp002083565	94.73	67.98	54.55	95.1900
GCA_002169115.2	GCA_902510965.1	p__Actinobacteriota	g__Actinomarina	s__Actinomarina sp002169115	s__Actinomarina sp002683085	96.6	42.26	32.86	96.8400
GCA_002243605.1	GCA_900450595.1	p__Firmicutes	g__Geobacillus	s__Geobacillus lituanicus	s__Geobacillus thermophilus	97.15	69.62	74.28	97.0500
GCA_002243605.1	GCF_001277805.1	p__Firmicutes	g__Geobacillus	s__Geobacillus lituanicus	s__Geobacillus stearothermophilus	97.61	82.29	61.87	97.1800
GCA_002243605.1	GCF_002809955.1	p__Firmicutes	g__Geobacillus	s__Geobacillus lituanicus	s__Geobacillus sp002809955	97.3	77.72	70.87	97.0500
GCA_002254365.1	GCF_001458735.1	p__Nitrospirota	g__Nitrospira_F	s__Nitrospira_F sp002254365	s__Nitrospira_F nitrosa	94.86	67.26	76.08	95.0300
GCA_002256145.1	GCF_003063265.1	p__Proteobacteria	g__Limnohabitans_A	s__Limnohabitans_A sp002256145	s__Limnohabitans_A sp003063265	94.98	70.58	70.8	95.0500
GCA_002282935.1	GCA_007095785.1	p__Cyanobacteria	g__Microcystis	s__Microcystis sp002282935	s__Microcystis aeruginosa_E	94.98	58.58	65.35	95.6700
GCA_002282935.1	GCA_007096045.1	p__Cyanobacteria	g__Microcystis	s__Microcystis sp002282935	s__Microcystis novacekii	94.59	52.9	58.11	95.1600
GCA_002282935.1	GCF_000010625.1	p__Cyanobacteria	g__Microcystis	s__Microcystis sp002282935	s__Microcystis aeruginosa	95.46	48.42	66.15	95.9000
GCA_002282935.1	GCF_014696875.1	p__Cyanobacteria	g__Microcystis	s__Microcystis sp002282935	s__Microcystis wesenbergii	94.55	49.88	58.8	95.2900
GCA_002291465.1	GCF_009741445.1	p__Actinobacteriota	g__Mycobacterium	s__Mycobacterium lepraemurium	s__Mycobacterium avium	97.28	76.25	93.31	96.8400
GCA_002316805.1	GCA_002411365.1	p__Firmicutes_A	g__Caproicibacter	s__Caproicibacter sp002316805	s__Caproicibacter sp002411365	94.78	72.44	78.95	95.2500
GCA_002334985.1	GCA_003524565.1	p__Proteobacteria	g__UBA2020	s__UBA2020 sp002334985	s__UBA2020 sp003524565	94.93	73.45	66.01	95.2800
GCA_002339125.1	GCF_003731635.1	p__Proteobacteria	g__Alteromonas	s__Alteromonas sp002335925	s__Alteromonas oceani	94.82	70.83	80.87	95.0100
GCA_002342665.1	GCA_002371695.1	p__Bacteroidota	g__Prevotella	s__Prevotella sp002342665	s__Prevotella sp002371695	97.88	45.09	42.95	97.8500
GCA_002348425.1	GCA_002712335.1	p__Proteobacteria	g__UBA2964	s__UBA2964 sp002348425	s__UBA2964 sp002712335	94.65	52.44	71.72	95.1800
GCA_002355995.1	GCF_000091545.1	p__Deinococcota	g__Thermus	s__Thermus thermophilus_C	s__Thermus thermophilus	95.58	82.19	81.25	95.6300
GCA_002364755.1	GCA_003510825.1	p__Proteobacteria	g__Stenotrophomonas	s__Stenotrophomonas maltophilia_AX	s__Stenotrophomonas sp003086795	94.56	66.17	54.4	95.4900
GCA_002365025.1	GCA_900105215.1	p__Firmicutes_A	g__Lacrimispora	s__Lacrimispora sp002365025	s__Lacrimispora sphenoides_A	95.78	70.15	79.78	96.4200
GCA_002365025.1	GCF_900105615.1	p__Firmicutes_A	g__Lacrimispora	s__Lacrimispora sp002365025	s__Lacrimispora sphenoides	95.62	75.93	77.16	96.4300
GCA_002367455.1	GCF_000487975.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter sp002367455	s__Acinetobacter lwoffii	95.93	63.42	78.13	95.7000
GCA_002367455.1	GCF_011058205.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter sp002367455	s__Acinetobacter fasciculus	96.34	59.64	74.21	95.8100
GCA_002367455.1	GCF_014769185.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter sp002367455	s__Acinetobacter lwoffii_D	96.37	62.74	78.46	95.8900
GCA_002367455.1	GCF_015602705.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter sp002367455	s__Acinetobacter lwoffii_E	96.35	67.58	73.63	95.7300
GCA_002373205.1	GCA_002448445.1	p__Spirochaetota	g__Treponema_D	s__Treponema_D sp002373205	s__Treponema_D sp002448445	95.41	55.18	61.33	95.6200
GCA_002373505.1	GCA_017471285.1	p__Bacteroidota	g__RF16	s__RF16 sp002373505	s__RF16 sp017471285	94.98	62.41	38.26	95.1700
GCA_002378465.1	GCF_013488205.1	p__Bacteroidota	g__Empedobacter	s__Empedobacter sp002378465	s__Empedobacter falsenii_A	95.4	64.95	80.95	95.5800
GCA_002385225.1	GCF_900162825.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp002385225	s__Psychrobacter piechaudii	94.96	76.51	76.7	95.0500
GCA_002385485.1	GCA_002433005.1	p__Synergistota	g__Acetomicrobium	s__Acetomicrobium sp002385485	s__Acetomicrobium sp002433005	96.6	64.27	75.87	96.8300
GCA_002385485.1	GCF_000160455.2	p__Synergistota	g__Acetomicrobium	s__Acetomicrobium sp002385485	s__Acetomicrobium hydrogeniformans	96.12	64.76	81.89	96.1400
GCA_002410715.1	GCA_003519645.1	p__Firmicutes_A	g__Avimonas	s__Avimonas sp002410715	s__Avimonas sp003519645	99.39	41.42	40.49	98.8900
GCA_002433005.1	GCF_000160455.2	p__Synergistota	g__Acetomicrobium	s__Acetomicrobium sp002433005	s__Acetomicrobium hydrogeniformans	95.63	75.51	80.88	96.3500
GCA_002433005.1	GCF_900107215.1	p__Synergistota	g__Acetomicrobium	s__Acetomicrobium sp002433005	s__Acetomicrobium thermoterrenum	95.76	82.88	82.25	96.6500
GCA_002449695.1	GCA_017463935.1	p__Verrucomicrobiota	g__UBA1067	s__UBA1067 sp002449695	s__UBA1067 sp017463935	95.16	46.67	51.75	95.8100
GCA_002498985.1	GCA_002685315.1	p__Thermoplasmatota	g__MGIIb-O2	s__MGIIb-O2 sp002498985	s__MGIIb-O2 sp002685315	95.21	68.58	61.97	95.1200
GCA_002684115.1	GCF_001469895.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp002684115	s__Pseudoalteromonas sp001469895	96.86	16.7	76.16	96.8800
GCA_002684115.1	GCF_001550135.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp002684115	s__Pseudoalteromonas shioyasakiensis	97.02	15.97	77.3	97.1100
GCA_002684115.1	GCF_013349995.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp002684115	s__Pseudoalteromonas sp013349995	96.79	15.71	77.32	96.7900
GCA_002684115.1	GCF_019134595.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp002684115	s__Pseudoalteromonas shioyasakiensis_A	95.79	15.64	74.35	96.0100
GCA_002692475.1	GCA_014654065.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp002692475	s__Pelagibacter sp014654065	96.53	68.67	49.27	95.4800
GCA_002716165.1	GCA_902564345.1	p__SAR324	g__Arctic96AD-7	s__Arctic96AD-7 sp002716165	s__Arctic96AD-7 sp902564345	97.12	49.7	35.88	97.9300
GCA_002716645.1	GCA_009392775.1	p__Chloroflexota	g__UBA3495	s__UBA3495 sp002716645	s__UBA3495 sp009392775	98.42	36.34	52.0	98.6900
GCA_002719715.1	GCA_002725515.1	p__Chloroflexota	g__UBA2963	s__UBA2963 sp002719715	s__UBA2963 sp002725515	97.5	37.04	26.9	97.9700
GCA_002720285.1	GCA_002730735.1	p__Acidobacteriota	g__UBA11600	s__UBA11600 sp002720285	s__UBA11600 sp002730735	96.32	44.35	46.97	95.8800
GCA_002894685.1	GCF_002894665.1	p__Bacteroidota	g__Salinibacter	s__Salinibacter luteus	s__Salinibacter iranicus	96.72	81.87	78.53	96.6300
GCA_003021015.1	GCA_003022845.1	p__Halobacteriota	g__Halovenus	s__Halovenus sp003021015	s__Halovenus sp003022845	95.15	58.69	46.38	95.5400
GCA_003028315.1	GCF_000813705.1	p__Proteobacteria	g__Neisseria	s__Neisseria mucosa	s__Neisseria cerebrosa	96.88	82.36	75.11	96.8400
GCA_003028315.1	GCF_000952795.1	p__Proteobacteria	g__Neisseria	s__Neisseria mucosa	s__Neisseria sp000952795	96.93	83.49	75.5	96.8200
GCA_003028315.1	GCF_003044425.1	p__Proteobacteria	g__Neisseria	s__Neisseria mucosa	s__Neisseria sicca_C	96.32	77.56	70.46	96.3400
GCA_003028315.1	GCF_017753665.1	p__Proteobacteria	g__Neisseria	s__Neisseria mucosa	s__Neisseria sicca_D	95.08	75.89	72.45	95.2900
GCA_003052455.1	GCF_004519295.1	p__Actinobacteriota	g__Cellulosimicrobium	s__Cellulosimicrobium cinnabarinum	s__Cellulosimicrobium funkei	95.74	85.43	85.62	95.4400
GCA_003070825.1	GCF_003053565.1	p__Firmicutes_F	g__Halanaerobium	s__Halanaerobium sp003070825	s__Halanaerobium saccharolyticum_B	95.69	67.79	54.1	95.3500
GCA_003086435.1	GCF_009729015.1	p__Thermoproteota	g__Acidianus	s__Acidianus hospitalis	s__Acidianus ambivalens	95.52	69.94	49.12	95.8000
GCA_003139855.1	GCA_003158275.1	p__Halobacteriota	g__Bog-38	s__Bog-38 sp003139855	s__Bog-38 sp003158275	97.9	56.95	58.01	97.2300
GCA_003210795.1	GCA_003211235.1	p__Cyanobacteria	g__Synechococcus_E	s__Synechococcus_E sp003210795	s__Synechococcus_E sp003211235	95.14	43.65	58.39	96.0100
GCA_003211655.1	GCF_000011465.1	p__Cyanobacteria	g__Prochlorococcus_A	s__Prochlorococcus_A sp003211655	s__Prochlorococcus_A pastoris	95.03	76.41	51.02	95.5700
GCA_003278095.1	GCA_902517275.1	p__Proteobacteria	g__AAA536-G10	s__AAA536-G10 sp003278095	s__AAA536-G10 sp902517275	95.05	45.89	84.23	95.4300
GCA_003488145.1	GCA_007713455.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp003488145	s__Pseudomonas_A sp007713455	96.74	63.69	82.24	96.5800
GCA_003488145.1	GCF_000495915.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp003488145	s__Pseudomonas_A chloritidismutans	96.71	57.46	79.61	96.5700
GCA_003488145.1	GCF_000935215.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp003488145	s__Pseudomonas_A stutzeri_AD	96.58	60.14	80.15	96.4300
GCA_003488145.1	GCF_002929225.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp003488145	s__Pseudomonas_A stutzeri_U	97.18	60.81	81.62	96.6000
GCA_003488145.1	GCF_003935375.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp003488145	s__Pseudomonas_A xanthomarina_A	96.59	63.66	81.25	96.5400
GCA_003518755.1	GCA_902787685.1	p__Firmicutes_A	g__CAG-269	s__CAG-269 sp003518755	s__CAG-269 sp902787685	95.03	63.3	50.59	95.6800
GCA_003520315.1	GCA_018433265.1	p__Bacteroidota	g__Bact-08	s__Bact-08 sp003520315	s__Bact-08 sp018433265	97.58	41.84	50.55	97.9500
GCA_003556805.1	GCA_007695125.1	p__Deinococcota	g__CSSed10-48	s__CSSed10-48 sp003556805	s__CSSed10-48 sp007695125	95.11	61.11	64.34	95.4800
GCA_003585845.1	GCF_003293675.1	p__Actinobacteriota	g__Bifidobacterium	s__Bifidobacterium sp003585845	s__Bifidobacterium leopoldii	96.33	76.86	66.71	95.8800
GCA_003609755.1	GCF_900009275.2	p__Cyanobacteria	g__Planktothrix	s__Planktothrix agardhii	s__Planktothrix rubescens	97.3	69.41	76.83	96.9900
GCA_003663525.1	GCA_003663535.1	p__Methanobacteriota_B	g__Thermococcus_A	s__Thermococcus_A sp003663525	s__Thermococcus_A sp003663535	96.07	54.41	53.47	96.5600
GCA_003670825.1	GCA_903958265.1	p__Planctomycetota	g__QWPN01	s__QWPN01 sp003670825	s__QWPN01 sp903958265	95.77	71.39	40.43	96.1400
GCA_003722315.1	GCA_014896455.1	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter ethanolicus	s__Thermoanaerobacter sp014896455	96.56	70.13	53.59	96.7000
GCA_003722315.1	GCF_000019085.1	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter ethanolicus	s__Thermoanaerobacter pseudethanolicus	95.08	70.94	57.58	95.4200
GCA_003722315.1	GCF_000147695.2	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter ethanolicus	s__Thermoanaerobacter wiegelii	97.29	76.52	73.2	97.5200
GCA_004570955.1	GCF_003387165.1	p__Firmicutes	g__Jeotgalicoccus	s__Jeotgalicoccus nanhaiensis	s__Jeotgalicoccus halotolerans	96.16	82.32	82.74	96.3100
GCA_005788075.1	GCA_903928615.1	p__Actinobacteriota	g__SYFI01	s__SYFI01 sp005788075	s__SYFI01 sp903928615	95.94	72.44	60.76	95.9300
GCA_007713455.1	GCF_000495915.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp007713455	s__Pseudomonas_A chloritidismutans	97.08	82.79	77.15	97.0100
GCA_007713455.1	GCF_000935215.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp007713455	s__Pseudomonas_A stutzeri_AD	96.76	83.72	81.11	96.7800
GCA_007713455.1	GCF_003935375.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp007713455	s__Pseudomonas_A xanthomarina_A	97.11	81.99	82.94	96.8600
GCA_007713455.1	GCF_013409135.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp007713455	s__Pseudomonas_A kunmingensis_A	97.14	83.08	84.72	97.0600
GCA_007845355.1	GCA_905370345.1	p__Patescibacteria	g__Nanosynbacter	s__Nanosynbacter sp007845355	s__Nanosynbacter sp905370345	95.0	77.69	71.71	95.2800
GCA_009392075.1	GCA_009392095.1	p__Chloroflexota	g__UBA9611	s__UBA9611 sp009392075	s__UBA9611 sp009391975	95.62	75.06	68.45	96.0600
GCA_009705165.1	GCA_903852955.1	p__Actinobacteriota	g__Planktophila	s__Planktophila sp009705165	s__Planktophila sp903852955	95.2	80.2	56.75	95.5600
GCA_011009555.1	GCF_000316115.1	p__Cyanobacteria	g__Leptothoe	s__Leptothoe sp011009555	s__Leptothoe sp000316115	95.05	69.75	64.1	95.6400
GCA_011053655.1	GCA_011372935.1	p__Thermoproteota	g__DRZQ01	s__DRZQ01 sp011053655	s__DRZQ01 sp011372935	99.56	35.44	31.93	97.9600
GCA_011754095.1	GCF_000821185.2	p__Proteobacteria	g__Serratia	s__Serratia symbiotica_D	s__Serratia symbiotica	95.19	38.07	81.56	95.2000
