query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags
GCF_001633455.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.996131	0.997900	95.640000	0.999299	0.993115	669
GCF_014131735.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984214	0.987400	89.020000	0.993092	0.983360	579
GCA_902768155.1	GCA_902771995.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.991830	0.991800	92.670000	0.996150	0.987788	1047
GCA_902768155.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.989339	0.990700	92.920000	0.995523	0.987130	1082
GCA_902771995.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.989855	0.991800	92.670000	0.995938	0.987565	1031
GCF_015830935.1	GCF_001457455.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.951095	0.949600	83.770000	0.978398	0.958969	745
GCF_015830935.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.994840	0.996500	96.180000	0.998854	0.991504	1091
GCF_001457455.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.950830	0.949400	77.490000	0.979208	0.964901	750
GCF_000271085.1	GCF_000277775.2	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.986632	0.988100	95.000000	0.992766	0.958237	216
GCF_000271085.1	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970820	0.971500	82.880000	0.985687	0.965640	965
GCF_000271085.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970822	0.971400	86.110000	0.985032	0.971936	4163
GCF_000271085.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.969907	0.971500	88.130000	0.983766	0.965063	847
GCF_000277775.2	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970656	0.971500	82.510000	0.985176	0.971901	3550
GCF_000277775.2	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.971420	0.972800	86.570000	0.000000	0.000000	0
GCF_000277775.2	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970816	0.971500	87.820000	0.984991	0.971837	3527
GCF_001213885.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992436	0.993600	90.560000	0.996412	1.000000	932
GCF_001213885.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992503	0.993900	93.880000	0.996872	0.988482	3636
GCA_000069185.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992682	0.992700	95.230000	0.997049	1.000000	985
GCF_001531965.1	GCF_018148415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.992396	0.993900	91.360000	0.996673	0.987556	6499
GCF_001531965.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.990587	0.990300	86.160000	0.995772	0.987125	5883
GCF_018148415.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.988746	0.989700	85.020000	0.995366	0.987157	6797
GCF_900581095.1	GCF_900584965.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980653	0.981200	92.810000	0.990352	0.980456	2993
GCF_900581095.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980955	0.982000	92.810000	0.990195	0.980558	3235
GCF_900581095.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970636	0.971500	91.310000	0.985404	0.973096	2490
GCF_900581095.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.981844	0.982400	93.360000	0.990608	0.980589	2908
GCF_900584965.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.999988	1.000000	99.980000	0.999974	0.994465	4850
GCF_900584965.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.969977	0.970100	89.830000	0.984946	0.973189	3502
GCF_900584965.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980166	0.981200	92.090000	0.990637	0.980739	3134
GCF_900584575.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970020	0.971600	89.500000	0.985144	0.972837	2478
GCF_900584575.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980263	0.981200	92.120000	0.990505	0.980331	4183
GCF_019104025.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970427	0.971500	91.030000	0.984586	0.970374	2512
GCF_003626185.1	GCF_009379655.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.992317	0.992800	92.620000	0.996936	0.988486	357
GCF_003626185.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.992080	0.990800	96.430000	0.997270	0.989832	435
GCF_009379655.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.990904	0.990200	95.460000	0.996290	0.987900	438
GCA_900466725.1	GCF_009649785.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.985081	0.985800	88.550000	0.992179	0.983474	2753
GCA_900466725.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.983250	0.982600	88.750000	0.992280	0.981161	3704
GCF_009649785.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.983435	0.983300	89.920000	0.992040	0.982799	2968
GCF_000020105.1	GCF_900453795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.996165	0.996400	98.490000	0.998827	0.991372	1599
GCF_000020105.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.997668	0.998500	99.200000	0.999334	0.993003	1080
GCF_000020105.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994460	0.995600	97.880000	0.998105	0.990796	1006
GCF_000020105.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.997863	0.998500	99.540000	0.999466	0.993007	819
GCF_900453795.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995728	0.996000	98.020000	0.998772	0.991501	967
GCF_900453795.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994596	0.995600	97.790000	0.998385	0.991320	1103
GCF_900453795.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995531	0.996400	98.330000	0.998764	0.991504	986
GCF_001126045.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995198	0.994800	97.100000	0.998288	0.991080	1095
GCF_001126045.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.999431	0.999700	99.690000	0.999862	0.994306	903
GCF_003315235.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994419	0.995500	97.300000	0.998465	0.990742	1018
GCF_013106915.1	GCF_013107095.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Rhodophyticola	g__Rhodophyticola	s__Rhodophyticola sp007827395	s__Rhodophyticola sp007827395	0.999992	0.999900	99.900000	0.999992	0.994411	4123
GCF_001568935.1	GCF_900156205.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.986530	0.987400	92.180000	0.993852	0.984522	366
GCF_001568935.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.999399	0.999900	98.410000	0.999868	0.994324	473
GCF_900156205.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.986241	0.987100	93.740000	0.993988	0.984773	421
GCF_015751045.1	GCF_000321885.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.982722	0.981400	83.480000	0.995359	0.987016	404
GCF_015751045.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.984299	0.985600	87.980000	0.992615	0.983601	347
GCF_000321885.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.978630	0.979600	83.040000	0.989874	0.979633	358
GCF_000309115.1	GCF_000215005.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.976752	0.978200	86.870000	0.990197	0.979085	475
GCF_000309115.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977486	0.979200	84.540000	0.991039	0.981543	415
GCF_000309115.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.978080	0.977700	92.460000	0.989200	0.979172	544
GCF_000309115.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977873	0.980500	86.670000	0.988248	0.977074	476
GCF_000215005.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.979570	0.980000	84.330000	0.992101	0.983080	542
GCF_000215005.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.978133	0.979500	91.350000	0.989813	0.979664	816
GCF_000215005.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.976883	0.977600	86.230000	0.989953	0.980017	1042
GCF_000222285.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977843	0.978900	90.370000	0.989917	0.979504	406
GCF_000222285.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977846	0.977300	84.860000	0.990051	0.979631	534
GCA_900476825.2	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977864	0.979300	85.290000	0.990065	0.979892	821
GCF_002204955.1	GCF_001075365.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959733	0.959600	86.290000	0.980968	0.966891	1307
GCF_002204955.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.999856	0.999900	99.960000	0.999961	0.994593	1622
GCF_002204955.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959460	0.957000	86.910000	0.981186	0.967138	1078
GCF_002204955.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.990404	0.990600	90.720000	0.995067	0.986295	1248
GCF_001075365.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.960002	0.959700	86.120000	0.981423	0.964801	942
GCF_001075365.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.998567	0.998700	97.020000	0.999894	0.994481	1474
GCF_001075365.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.958922	0.958100	86.330000	0.979332	0.964898	1258
GCF_002204935.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959419	0.956700	86.780000	0.980038	0.965704	1207
GCF_002204935.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.990874	0.990600	90.700000	0.994753	0.985137	1197
GCF_900076845.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.958992	0.957400	86.150000	0.980245	0.963472	628
GCF_011316825.1	GCA_900637675.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.969981	0.972800	77.330000	0.989631	0.978252	217
GCF_011316825.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.972138	0.972600	85.720000	0.991373	0.981861	163
GCA_900637675.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.968292	0.971600	82.510000	0.987338	0.970546	116
GCF_017876815.1	GCF_000473405.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti	0.987107	0.987700	86.970000	0.992393	0.982770	2436
GCF_017876815.1	GCF_004001905.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti	0.989012	0.990700	88.210000	0.996691	0.988077	4476
GCF_000473405.1	GCF_004001905.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sinorhizobium	g__Sinorhizobium	s__Sinorhizobium meliloti	s__Sinorhizobium meliloti	0.989764	0.990100	88.370000	0.997278	0.990276	4237
GCF_002699855.1	GCF_001538045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali	0.984624	0.986500	82.750000	0.993412	0.984322	2443
GCF_002699855.1	GCF_001400605.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali	0.976259	0.977600	82.020000	0.990751	0.981195	2284
GCF_001538045.1	GCF_001400605.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E amygdali	s__Pseudomonas_E amygdali	0.976891	0.980000	85.080000	0.989813	0.979716	2267
GCF_000959525.1	GCF_002981755.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans	0.972196	0.972900	87.130000	0.986030	0.974131	6391
GCF_000959525.1	GCF_002980815.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans	0.970495	0.971600	87.910000	0.984798	0.971765	5618
GCF_002981755.1	GCF_002980815.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia multivorans	s__Burkholderia multivorans	0.979401	0.980800	93.370000	0.989382	0.980002	6628
GCF_000008985.1	GCF_014672895.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Francisella	g__Francisella	s__Francisella tularensis	s__Francisella tularensis	0.992227	0.994000	97.300000	0.996324	0.987950	102
