query	reference
GCF_018035235.1	GCF_002042885.1
GCA_002730655.1	GCA_002720745.1
GCF_000277545.1	GCF_000757825.1
GCA_009843505.1	GCA_009837885.1
GCA_014323675.1	GCA_005518205.2
GCA_905365145.1	GCA_015257605.1
GCA_009700815.1	GCA_001025035.1
GCA_018381425.1	GCA_905207935.1
GCA_900766265.1	GCF_005876855.1
GCA_017466865.1	GCA_017536405.1
GCF_002940685.1	GCF_000697965.2
GCF_001889405.1	GCF_002761295.1
GCF_001887355.1	GCF_000335475.2
GCA_016235775.1	GCA_001770235.1
GCA_005223095.1	GCA_009618505.1
GCF_003322085.1	GCF_003697165.2
GCA_001951135.2	GCF_001276985.1
GCF_002984185.1	GCF_002988375.1
GCF_900509255.1	GCF_900174425.1
GCF_000936735.1	GCF_000939015.1
GCF_016749025.1	GCF_002831995.1
GCF_016749025.1	GCF_011140665.1
GCA_900637675.1	GCF_015689415.1
GCF_003697165.2	GCF_003322065.1
GCF_900581095.1	GCF_019104025.1
GCA_018379485.1	GCF_010509575.1
GCF_002533455.1	GCF_002533365.1
GCF_000271085.1	GCF_001213885.1
GCF_018328425.1	GCF_009689765.1
GCF_000586235.1	GCF_000823405.1
GCF_001582305.1	GCF_000823405.1
GCF_000936735.1	GCF_000936535.1
GCF_002224265.1	GCF_002903325.1
GCF_002554975.1	GCF_001583695.1
GCF_002568285.1	GCF_000021305.1
GCF_013624115.1	GCF_011140665.1
GCF_001718695.1	GCF_001530495.1
GCF_000407565.1	GCF_012843815.1
GCF_000345485.2	GCF_003636965.1
GCF_011316825.1	GCA_900637675.1
GCF_000751755.1	GCF_009498255.1
GCF_900635635.1	GCF_003697165.2
GCF_003433865.1	GCA_018379485.1
GCF_001075365.1	GCF_001729745.1
GCA_015486915.1	GCA_015493575.1
GCF_000277775.2	GCF_001213885.1
GCF_900478295.1	GCF_011140665.1
GCF_000277775.2	GCA_000069185.1
GCF_002554975.1	GCF_002200215.1
GCF_000950675.1	GCF_000008485.1
GCF_002533455.1	GCF_000448485.1
GCF_001729805.1	GCF_001011955.1
GCF_013624115.1	GCF_900478295.1
GCF_001685175.1	GCF_018223745.1
GCF_002204955.1	GCF_001075365.1
GCF_000008485.1	GCF_001582305.1
GCF_900459225.1	GCF_009730735.1
GCA_001812235.1	GCF_003030305.1
GCF_002533365.1	GCF_000448485.1
GCF_003196635.1	GCF_009498255.1
GCF_019104025.1	GCF_001642795.1
GCF_000271085.1	GCA_000069185.1
GCF_018328425.1	GCF_000277405.1
GCF_016890425.1	GCF_002901825.1
GCF_000013285.1	GCA_000013845.2
GCF_001457655.1	GCF_002984185.1
GCF_013624115.1	GCF_002831995.1
GCF_001075365.1	GCF_002204935.1
GCF_002831995.1	GCF_900478295.1
GCA_001812235.1	GCF_000144795.1
GCF_000008485.1	GCF_000586235.1
GCF_009821575.1	GCF_001011955.1
GCF_900584965.1	GCF_019104025.1
GCF_015840335.1	GCA_013205255.1
GCF_000294495.1	GCF_000936735.1
GCF_000271085.1	GCF_001217125.1
GCF_000936735.1	GCF_000876695.1
GCF_000019305.1	GCA_001951135.2
GCF_002984505.1	GCF_002984185.1
GCF_000365305.1	GCF_014893095.1
GCF_001718695.1	GCF_000959245.1
GCF_013624115.1	GCF_016749025.1
GCF_000277775.2	GCF_001217125.1
GCF_002204955.1	GCF_900076845.1
GCA_902779635.1	GCA_902790295.1
GCF_001949325.1	GCA_000013845.2
GCF_000277405.1	GCF_009689765.1
GCF_003433865.1	GCF_010509575.1
GCF_900509255.1	GCF_009498255.1
GCF_000959525.1	GCF_002980815.1
GCF_900120335.1	GCF_003636965.1
GCF_016502645.1	GCF_002136575.1
GCF_002990535.1	GCF_002984185.1
GCF_000008485.1	GCF_000823405.1
GCF_900636965.1	GCF_001062955.1
GCF_000369045.1	GCF_002136575.1
GCF_011754395.1	GCF_002224265.1
GCF_011316825.1	GCF_015689415.1
GCF_000369045.1	GCF_016502645.1
GCF_000959525.1	GCF_002981755.1
GCF_000751755.1	GCF_900174425.1
GCF_003196635.1	GCF_900174425.1
GCF_001949325.1	GCF_000013285.1
GCF_002204935.1	GCF_900076845.1
GCF_002568285.1	GCF_002148065.1
GCF_002901825.1	GCF_016067395.1
GCF_002918325.1	GCF_003697165.2
GCF_016749025.1	GCF_900478295.1
GCF_900584575.1	GCF_019104025.1
GCF_001685175.1	GCF_013294385.1
GCF_002831995.1	GCF_011140665.1
GCF_900076845.1	GCF_001729745.1
GCF_900120335.1	GCF_000345485.2
GCA_005518205.2	GCA_014324065.1
GCF_904845155.1	GCF_004368335.1
GCF_000176155.1	GCF_019092555.1
GCF_000628105.1	GCF_002055535.1
GCF_000438685.2	GCF_000168815.1
GCF_900193375.1	GCA_012955565.1
GCF_001531965.1	GCF_900446215.1
GCA_902637285.1	GCA_902637325.1
GCA_905212305.1	GCF_000392875.1
GCF_008923385.1	GCF_002119445.1
GCA_905205605.1	GCF_000012825.1
GCF_001565755.1	GCF_001658165.1
GCF_900494855.1	GCF_000368085.1
GCA_015679705.1	GCF_000800415.1
GCF_000196555.1	GCF_002833015.1
GCF_008801575.1	GCF_000349225.1
GCF_000161295.1	GCF_000496285.1
GCF_018070705.1	GCF_018070845.1
GCF_001565755.1	GCF_001583395.1
GCF_904845155.1	GCF_008727315.1
GCF_000254135.1	GCF_004368335.1
GCF_000294495.1	GCF_000939015.1
GCF_002161435.1	GCF_000154205.1
GCF_001321425.1	GCF_001209505.1
GCA_905212305.1	GCA_000211255.2
GCF_003716515.1	GCF_006802705.1
GCF_900148285.1	GCF_900148295.1
GCF_000742135.1	GCA_902704165.1
GCF_000451245.2	GCA_002939365.1
GCF_000939015.1	GCF_000876695.1
GCF_000372485.1	GCF_000762105.1
GCA_000985735.1	GCF_000006945.2
GCA_903864235.1	GCA_903870935.1
GCF_900168345.1	GCA_019263785.1
GCF_012317185.1	GCF_002814255.1
GCF_002204955.1	GCF_002204935.1
GCA_900476825.2	GCF_009759685.1
GCF_011064845.1	GCF_000277565.1
GCF_900189865.1	GCF_900017275.1
GCF_000309115.1	GCA_900476825.2
GCF_000215745.1	GCF_014856475.1
GCF_900453795.1	GCF_001126045.1
GCF_000008025.1	GCA_902637205.1
GCA_900320325.1	GCA_902779635.1
GCF_014672895.1	GCA_009813475.1
GCA_015705565.1	GCF_018070855.1
GCF_018223745.1	GCF_013294385.1
GCF_000011705.1	GCF_000015905.1
GCF_900148295.1	GCF_001449325.1
GCF_000706825.2	GCF_900460535.1
GCF_013106915.1	GCF_013107095.1
GCF_002551965.1	GCF_000496285.1
GCF_000008025.1	GCA_902637155.1
GCF_001565755.1	GCF_900187225.1
GCF_000176155.1	GCF_019092425.1
GCF_001633455.1	GCF_003346235.1
GCF_003383635.1	GCF_003185385.1
GCF_001321425.1	GCF_000015905.1
GCF_002055535.1	GCF_000006785.2
GCF_002984505.1	GCF_002988375.1
GCF_000877425.1	GCF_000706825.2
GCF_003494925.1	GCF_900638555.1
GCF_000834775.1	GCF_016102585.1
GCF_000177135.1	GCF_014495905.1
GCF_008084125.1	GCF_001633455.1
GCF_006384875.1	GCF_002576345.1
GCF_001457695.1	GCF_001764765.1
GCF_000828055.2	GCF_902387895.1
GCF_000473405.1	GCF_004001905.1
GCF_001075365.1	GCF_900076845.1
GCF_000288535.1	GCF_000264975.1
GCF_904845155.1	GCF_000254135.1
GCF_000877425.1	GCF_900460535.1
GCF_002551965.1	GCF_000161295.1
GCF_000309115.1	GCF_009759685.1
GCF_018070705.1	GCF_018070855.1
GCF_002161435.1	GCF_003602795.1
GCF_000344475.3	GCF_000444135.1
GCF_003976565.1	GCF_900148295.1
GCA_902704365.1	GCF_000742135.1
GCF_001209505.1	GCF_000015905.1
GCF_000020105.1	GCF_900453795.1
GCA_003342795.1	GCF_002799145.1
GCF_002184575.2	GCF_014856475.1
GCF_900453795.1	GCF_001092465.1
GCF_009664915.1	GCF_014495905.1
GCF_005518035.1	GCF_009741445.1
GCF_018148415.1	GCF_900446215.1
GCF_016890425.1	GCF_016067395.1
GCF_900581095.1	GCF_900584575.1
GCA_902637285.1	GCF_000008025.1
GCF_002204955.1	GCF_001729745.1
GCA_900320325.1	GCA_902790295.1
GCF_000538055.1	GCF_001027105.1
GCA_900466725.1	GCF_001427205.1
GCF_002563145.1	GCF_008923385.1
GCF_000950675.1	GCF_000586235.1
GCF_900509255.1	GCF_003196635.1
GCF_000012825.1	GCF_003603775.1
GCF_000147455.1	GCA_000211255.2
GCF_008801575.1	GCF_001719145.1
