query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags	s2b_af_q	s2b_af_r	s2b_ref_gc
GCA_002906095.1	GCF_001633455.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.977926	0.979800	74.760000	0.992489	0.981837	545	0.364548	0.383533	0.444847
GCA_002906095.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984280	0.985500	76.400000	0.995890	0.988851	441	0.294983	0.297170	0.445004
GCA_002906095.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.978402	0.981100	78.330000	0.991499	0.979046	522	0.349164	0.378810	0.446893
GCF_001633455.1	GCF_014131735.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984624	0.984200	81.220000	0.992918	0.983298	706	0.496833	0.475741	0.445004
GCF_001633455.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.996131	0.997900	95.640000	0.999299	0.996586	669	0.470795	0.485486	0.446893
GCF_014131735.1	GCF_003346235.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Lactiplantibacillus	g__Lactiplantibacillus	s__Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	0.984214	0.987400	89.020000	0.993092	0.982963	579	0.390162	0.420174	0.446893
GCA_902768155.1	GCA_902771995.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.991830	0.991800	92.670000	0.996150	0.991285	1047	0.499761	0.495270	0.581049
GCA_902768155.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.989339	0.990700	92.920000	0.995523	0.989689	1082	0.516468	0.516221	0.583053
GCA_902771995.1	GCA_900317985.1	high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__RUG420	g__RUG420	s__RUG420 sp900317985	s__RUG420 sp900317985	0.989855	0.991800	92.670000	0.995938	0.990633	1031	0.487701	0.491889	0.583053
GCF_015830935.1	GCF_001457455.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.951095	0.949600	83.770000	0.978398	0.948718	745	0.294816	0.333333	0.535242
GCF_015830935.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.994840	0.996500	96.180000	0.998854	0.995589	1091	0.431737	0.461701	0.536207
GCF_001457455.1	GCF_900205605.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Corynebacterium	g__Corynebacterium	s__Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	0.950830	0.949400	77.490000	0.979208	0.952281	750	0.335570	0.317393	0.536207
GCF_000271085.1	GCF_000277775.2	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.986632	0.988100	95.000000	0.992766	0.976309	216	0.036078	0.040037	0.643237
GCF_000271085.1	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970820	0.971500	82.880000	0.985687	0.969297	965	0.161183	0.156809	0.641642
GCF_000271085.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970822	0.971400	86.110000	0.985032	0.969731	4163	0.695340	0.698607	0.641481
GCF_000271085.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.969907	0.971500	88.130000	0.983766	0.965306	847	0.141473	0.145583	0.641899
GCF_000277775.2	GCF_001213885.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970656	0.971500	82.510000	0.985176	0.970041	3550	0.658017	0.576861	0.641642
GCF_000277775.2	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.971420	0.972800	86.570000	0.000000	0.000000	0	0.001668	0.001510	0.641481
GCF_000277775.2	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.970816	0.971500	87.820000	0.984991	0.969856	3527	0.653753	0.606222	0.641899
GCF_001213885.1	GCA_000069185.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992436	0.993600	90.560000	0.996412	0.992063	932	0.151446	0.156402	0.641481
GCF_001213885.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992503	0.993900	93.880000	0.996872	0.992622	3636	0.590835	0.624957	0.641899
GCA_000069185.1	GCF_001217125.1	high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mycobacterium	g__Mycobacterium	s__Mycobacterium abscessus	s__Mycobacterium abscessus	0.992682	0.992700	95.230000	0.997049	0.992690	985	0.165296	0.169302	0.641899
GCF_001531965.1	GCF_018148415.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.992396	0.993900	91.360000	0.996673	0.991881	6499	0.413633	0.405858	0.672227
GCF_001531965.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.990587	0.990300	86.160000	0.995772	0.990961	5883	0.374427	0.365381	0.668820
GCF_018148415.1	GCF_900446215.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Burkholderia	g__Burkholderia	s__Burkholderia cenocepacia	s__Burkholderia cenocepacia	0.988746	0.989700	85.020000	0.995366	0.988651	6797	0.424468	0.422148	0.668820
GCF_900581095.1	GCF_900584965.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980653	0.981200	92.810000	0.990352	0.979805	2993	0.425686	0.428551	0.593118
GCF_900581095.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980955	0.982000	92.810000	0.990195	0.979797	3235	0.460105	0.463069	0.593090
GCF_900581095.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970636	0.971500	91.310000	0.985404	0.970243	2490	0.354146	0.349180	0.593322
GCF_900581095.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.981844	0.982400	93.360000	0.990608	0.980077	2908	0.413597	0.414127	0.593805
GCF_900584965.1	GCF_900584575.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.999988	1.000000	99.980000	0.999974	0.999323	4850	0.694444	0.694246	0.593090
GCF_900584965.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.969977	0.970100	89.830000	0.984946	0.969834	3502	0.501432	0.491095	0.593322
GCF_900584965.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980166	0.981200	92.090000	0.990637	0.980188	3134	0.448740	0.446312	0.593805
GCF_900584575.1	GCF_019104025.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970020	0.971600	89.500000	0.985144	0.969983	2478	0.354709	0.347497	0.593322
GCF_900584575.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.980263	0.981200	92.120000	0.990505	0.980108	4183	0.598769	0.595699	0.593805
GCF_019104025.1	GCF_001642795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pseudomonas_E	g__Pseudomonas_E	s__Pseudomonas_E viridiflava	s__Pseudomonas_E viridiflava	0.970427	0.971500	91.030000	0.984586	0.969350	2512	0.352265	0.357733	0.593805
GCF_003626185.1	GCF_009379655.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.992317	0.992800	92.620000	0.996936	0.991671	357	0.519651	0.509272	0.416085
GCF_003626185.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.992080	0.990800	96.430000	0.997270	0.992189	435	0.633188	0.651198	0.415095
GCF_009379655.1	GCF_001632285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Moraxella	g__Moraxella	s__Moraxella catarrhalis	s__Moraxella catarrhalis	0.990904	0.990200	95.460000	0.996290	0.991211	438	0.624822	0.655689	0.415095
GCA_900466725.1	GCF_009649785.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.985081	0.985800	88.550000	0.992179	0.983152	2753	0.379253	0.379777	0.585221
GCA_900466725.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.983250	0.982600	88.750000	0.992280	0.983427	3704	0.510263	0.516957	0.585659
GCF_009649785.1	GCF_001427205.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Agrobacterium	g__Agrobacterium	s__Agrobacterium fabacearum	s__Agrobacterium fabacearum	0.983436	0.983300	89.920000	0.992040	0.982633	2968	0.409436	0.414236	0.585659
GCF_000020105.1	GCF_900453795.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.996165	0.996400	98.490000	0.998827	0.996008	1599	0.806761	0.802308	0.524477
GCF_000020105.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.997668	0.998500	99.200000	0.999334	0.996812	1080	0.544904	0.557276	0.523858
GCF_000020105.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994460	0.995600	97.880000	0.998105	0.994291	1006	0.507568	0.521514	0.524172
GCF_000020105.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.997863	0.998500	99.540000	0.999466	0.996980	819	0.413219	0.423037	0.524001
GCF_900453795.1	GCF_001126045.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995728	0.996000	98.020000	0.998772	0.995610	967	0.485198	0.498968	0.523858
GCF_900453795.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994596	0.995600	97.790000	0.998385	0.994996	1103	0.553437	0.571799	0.524172
GCF_900453795.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995531	0.996400	98.330000	0.998764	0.995591	986	0.494732	0.509298	0.524001
GCF_001126045.1	GCF_003315235.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.995198	0.994800	97.100000	0.998288	0.994849	1095	0.565015	0.567652	0.524172
GCF_001126045.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.999431	0.999700	99.690000	0.999862	0.998882	903	0.465944	0.466426	0.524001
GCF_003315235.1	GCF_001092465.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Neisseria	g__Neisseria	s__Neisseria gonorrhoeae	s__Neisseria gonorrhoeae	0.994419	0.995500	97.300000	0.998465	0.995003	1018	0.527735	0.525826	0.524001
GCF_013106915.1	GCF_013107095.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Rhodophyticola	g__Rhodophyticola	s__Rhodophyticola sp007827395	s__Rhodophyticola sp007827395	0.999992	0.999900	99.900000	0.999992	0.999375	4123	0.932594	0.933439	0.602328
GCF_001568935.1	GCF_900156205.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.986530	0.987400	92.180000	0.993852	0.984019	366	0.388123	0.379668	0.349756
GCF_001568935.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.999399	0.999900	98.410000	0.999868	0.998441	473	0.501591	0.495288	0.349523
GCF_900156205.1	GCF_019173465.1	high	d__Bacteria	d__Bacteria	p__Spirochaetota	p__Spirochaetota	g__Leptospira	g__Leptospira	s__Leptospira interrogans	s__Leptospira interrogans	0.986241	0.987100	93.740000	0.993988	0.984228	421	0.436722	0.440838	0.349523
GCF_015751045.1	GCF_000321885.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.982722	0.981400	83.480000	0.995359	0.987063	404	0.426160	0.437703	0.375855
GCF_015751045.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.984299	0.985600	87.980000	0.992615	0.982227	347	0.366034	0.376356	0.379662
GCF_000321885.1	GCF_018397615.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Enterococcus_B	g__Enterococcus_B	s__Enterococcus_B lactis	s__Enterococcus_B lactis	0.978630	0.979600	83.040000	0.989874	0.977358	358	0.387866	0.388286	0.379662
GCF_000309115.1	GCF_000215005.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.976752	0.978200	86.870000	0.990197	0.977754	475	0.346969	0.358220	0.390418
GCF_000309115.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977486	0.979200	84.540000	0.991039	0.978172	415	0.303141	0.297278	0.391515
GCF_000309115.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.978080	0.977700	92.460000	0.989200	0.974920	544	0.397370	0.430380	0.389342
GCF_000309115.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977873	0.980500	86.670000	0.988248	0.971495	476	0.347699	0.348974	0.391609
GCF_000215005.1	GCF_000222285.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.979570	0.980000	84.330000	0.992101	0.981133	542	0.408748	0.388252	0.391515
GCF_000215005.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.978133	0.979500	91.350000	0.989813	0.978007	816	0.615385	0.645570	0.389342
GCF_000215005.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.976883	0.977600	86.230000	0.989953	0.978052	1042	0.785822	0.763930	0.391609
GCF_000222285.1	GCA_900476825.2	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977843	0.978900	90.370000	0.989917	0.976788	406	0.290831	0.321203	0.389342
GCF_000222285.1	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977846	0.977300	84.860000	0.990051	0.977489	534	0.382521	0.391496	0.391609
GCA_900476825.2	GCF_009759685.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acinetobacter	g__Acinetobacter	s__Acinetobacter baumannii	s__Acinetobacter baumannii	0.977864	0.979300	85.290000	0.990065	0.978269	821	0.649525	0.601906	0.391609
GCF_002204955.1	GCF_001075365.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959733	0.959600	86.290000	0.980968	0.956979	1307	0.406658	0.396541	0.555466
GCF_002204955.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.999856	0.999900	99.960000	0.999961	0.999142	1622	0.504667	0.504353	0.550882
GCF_002204955.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959460	0.957000	86.910000	0.981186	0.956033	1078	0.335408	0.329361	0.555943
GCF_002204955.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.990404	0.990600	90.720000	0.995067	0.987881	1248	0.388301	0.382940	0.553346
GCF_001075365.1	GCF_002204935.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.960002	0.959700	86.120000	0.981423	0.955803	942	0.285801	0.292910	0.550882
GCF_001075365.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.998567	0.998700	97.020000	0.999894	0.998796	1474	0.447209	0.450351	0.555943
GCF_001075365.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.958922	0.958100	86.330000	0.979332	0.955258	1258	0.381675	0.386008	0.553346
GCF_002204935.1	GCF_900076845.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.959419	0.956700	86.780000	0.980038	0.956336	1207	0.375311	0.368775	0.555943
GCF_002204935.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.990874	0.990600	90.700000	0.994753	0.987611	1197	0.372201	0.367291	0.553346
GCF_900076845.1	GCF_001729745.1	high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Enterobacter	g__Enterobacter	s__Enterobacter hormaechei_A	s__Enterobacter hormaechei_A	0.958992	0.957400	86.150000	0.980245	0.954055	628	0.191873	0.192697	0.553346
GCF_011316825.1	GCA_900637675.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.969981	0.972800	77.330000	0.989631	0.974261	217	0.422179	0.401109	0.412808
GCF_011316825.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.972138	0.972600	85.720000	0.991373	0.977069	163	0.317121	0.301852	0.415585
GCA_900637675.1	GCF_015689415.1	high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Streptococcus	g__Streptococcus	s__Streptococcus equi	s__Streptococcus equi	0.968292	0.971600	82.510000	0.987338	0.968681	116	0.214418	0.214815	0.415585
