query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	ani_gated	gate	flag
NZ_JAGGNW010000009.1	JAABPT010000113.1	89.8123	89.8123	0.0052	0.0083	0.82841	4	0.9545	1	89.8123	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	WYBH01000145.1	91.9886	91.9886	0.0010	0.0022	1.31897	2	1.0000	0	91.9886	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	WOZN01000330.1	89.9264	89.9264	0.0045	0.0096	0.87662	7	0.9000	3	89.9264	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	WVZN01000048.1	84.7580	87.5149	0.0363	0.0415	0.42343	11	0.9250	6	84.7580	gamma	BELOW_DETECTION
NZ_JAGGNW010000009.1	JAAOZX010000430.1	89.0369	89.0369	0.0076	0.0105	0.75727	4	0.9615	1	89.0369	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	DKSY01000006.1	88.6355	88.6355	0.0093	0.0106	0.68651	7	0.9355	2	88.6355	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JABBPF010000171.1	91.5643	91.5643	0.0007	0.0010	1.76629	1	1.0000	0	91.5643	uniform_fallback	INCONSISTENT
NZ_JAGGNW010000009.1	JABBPE010000001.1	98.7500	98.7500	0.0008	0.0010	0.87834	1	1.0000	0	98.7500	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	PASB01000002.1	98.7500	98.7500	0.0000	0.0000	0.87834	4	0.8235	3	98.7500	uniform	ok
NZ_JAGGNW010000009.1	JABCYW010000001.1	91.8193	91.8193	0.0048	0.0045	0.74726	5	0.9259	2	91.8193	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JABWBN010000166.1	88.9351	88.9351	0.0028	0.0037	1.15442	2	1.0000	0	88.9351	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JABFXW010000171.1	94.9166	94.9166	0.0003	0.0003	1.55972	1	1.0000	0	94.9166	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JAAFIP010000001.1	87.5708	87.5708	0.0029	0.0040	1.31634	2	1.0000	0	87.5708	uniform	BELOW_DETECTION
NZ_JAGGNW010000009.1	PFUG01000278.1	97.9167	97.9167	0.0000	0.0000	1.03076	7	0.8125	6	97.9167	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JACCVE010000120.1	98.7500	98.7500	0.0000	0.0000	0.87834	4	0.8235	3	98.7500	uniform	ok
NZ_JAGGNW010000009.1	JAAFKF010000001.1	91.1899	91.1899	0.0063	0.0083	0.65032	9	0.9048	4	91.1899	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	JACDCU010000452.1	89.1671	89.1671	0.0036	0.0044	1.02410	3	1.0000	0	89.1671	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	PNMN01000001.1	88.2480	88.2480	0.0039	0.0070	1.12820	2	1.0000	0	88.2480	uniform	INCONSISTENT
NZ_JAGGNW010000009.1	PHCI01000036.1	86.1428	86.1428	0.0446	0.0669	0.42899	11	0.9583	3	86.1428	uniform	BELOW_DETECTION
NZ_JAGGNW010000009.1	PNNC01000063.1	88.5515	88.5515	0.0067	0.0085	0.88233	3	0.9474	1	88.5515	uniform	INCONSISTENT
PFRF01000042.1	PFOB01000033.1	99.9999	99.9999	0.0075	0.0055	9.62249	1	1.0000	0	99.9999	uniform	ok
NZ_CP077604.1	SKKL01000235.1	88.1438	88.1438	0.0020	0.0032	1.92983	1	1.0000	0	88.1438	uniform_fallback	BELOW_DETECTION
NZ_CP077604.1	JADJDU010000001.1	90.3485	90.3485	0.0096	0.0108	0.75290	4	0.8966	3	90.3485	uniform	INCONSISTENT
NZ_CP077604.1	JAAZBK010000142.1	91.7986	91.7986	0.0075	0.0095	0.83941	4	0.8696	3	91.7986	uniform	INCONSISTENT
PHSQ01000003.1	JAHRCV010000001.1	91.3670	91.3670	0.0022	0.0023	1.88291	1	1.0000	0	91.3670	uniform	INCONSISTENT
PHSQ01000003.1	DTIX01000081.1	91.9358	91.9358	0.0017	0.0014	1.63099	1	1.0000	0	91.9358	uniform	ok
NZ_FMIZ01000007.1	QUKC01000001.1	99.9999	99.9999	0.0009	0.0008	7.62492	1	1.0000	0	99.9999	uniform	INCONSISTENT
NZ_FMIZ01000007.1	JAHAYH010000108.1	99.9999	99.9999	0.0014	0.0022	8.03219	1	1.0000	0	99.9999	uniform	ok
NZ_FMIZ01000007.1	JAAZHB010000164.1	99.9999	99.9999	0.0036	0.0076	6.57951	1	1.0000	0	99.9999	uniform	ok
NZ_FNUR01000023.1	SVFZ01000015.1	89.7261	89.7261	0.0071	0.0071	1.28812	2	1.0000	0	89.7261	uniform_fallback	INCONSISTENT
PMHU01000107.1	PMSW01000100.1	99.9999	99.9999	0.0011	0.0010	5.40738	1	1.0000	0	99.9999	uniform	ok
NZ_FOLJ01000034.1	JABFXA010000098.1	94.5313	94.5313	0.0002	0.0003	2.00968	1	1.0000	0	94.5313	uniform_fallback	INCONSISTENT
NZ_FOLJ01000034.1	WOTO01000001.1	87.7897	87.7897	0.0048	0.0040	1.26833	1	1.0000	0	87.7897	uniform	BELOW_DETECTION
NZ_FOLJ01000034.1	NYMS01000001.1	91.1428	91.1428	0.0010	0.0010	1.98506	1	1.0000	0	91.1428	uniform_fallback	INCONSISTENT
NZ_FOLJ01000034.1	JABFVK010000054.1	92.5689	92.5689	0.0013	0.0009	1.50358	1	1.0000	0	92.5689	uniform	INCONSISTENT
NZ_FOLJ01000034.1	JACDAB010000082.1	88.4239	88.4239	0.0023	0.0060	1.66737	1	1.0000	0	88.4239	uniform_fallback	INCONSISTENT
NZ_FOZV01000019.1	NZ_FUIE01000088.1	90.1696	90.1696	0.0431	0.0393	0.50802	8	0.9516	3	90.1696	uniform	INCONSISTENT
NZ_FOZV01000019.1	JACESE010000001.1	89.2588	89.2588	0.0084	0.0063	1.03948	2	1.0000	0	89.2588	uniform	INCONSISTENT
NZ_FOZV01000019.1	JADFAJ010000001.1	88.6161	88.6161	0.0021	0.0020	1.90179	1	1.0000	0	88.6161	uniform_fallback	INCONSISTENT
NZ_FOZV01000019.1	DEWY01000007.1	87.5940	87.5940	0.0040	0.0032	1.63652	1	1.0000	0	87.5940	uniform_fallback	BELOW_DETECTION
