query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	ani_gated	gate	flag
NZ_FUIE01000088.1	RXJK01000136.1	96.0896	96.0896	0.0017	0.0009	1.07109	1	1.0000	0	96.0896	uniform	ok
NZ_FUIE01000088.1	PNJO01000001.1	94.5128	94.5128	0.0002	0.0002	1.98507	1	1.0000	0	94.5128	uniform_fallback	INCONSISTENT
NZ_FUIE01000088.1	JACESE010000001.1	91.6041	91.6041	0.0034	0.0029	1.20601	2	1.0000	0	91.6041	uniform_fallback	INCONSISTENT
NZ_FXTE01000001.1	NZ_UNRA01000001.1	86.9526	86.9526	0.0167	0.0146	1.01363	2	1.0000	0	86.9526	uniform	BELOW_DETECTION
NZ_FXTE01000001.1	WKFI01000009.1	90.6117	90.6117	0.0059	0.0051	1.25804	2	1.0000	0	90.6117	uniform	INCONSISTENT
NZ_LT962688.1	PNLY01000001.1	94.8718	94.8718	0.0002	0.0002	1.33497	2	0.8750	1	94.8718	uniform_fallback	INCONSISTENT
NZ_UNRA01000001.1	WKFI01000009.1	84.7707	84.7707	0.0190	0.0185	1.09896	2	1.0000	0	84.7707	uniform	BELOW_DETECTION
NZ_CADFEN010000001.1	FCOD02000120.1	87.1303	87.9232	0.1687	0.1679	0.15907	51	0.9446	33	87.1303	gamma	BELOW_DETECTION
NZ_CADFEN010000001.1	JAAVLQ010000001.1	96.0938	96.0938	0.0000	0.0000	1.71247	1	1.0000	0	96.0938	uniform_fallback	INCONSISTENT
NZ_CADFEN010000001.1	CP050452.1	97.3958	97.3958	0.0000	0.0000	1.14935	4	0.8235	3	97.3958	uniform	INCONSISTENT
NZ_CADFEN010000001.1	SCMQ01000010.1	89.8734	89.8734	0.0020	0.0033	1.42154	1	1.0000	0	89.8734	uniform	INCONSISTENT
PWWL01000138.1	PXAU01000316.1	99.9999	99.9999	0.0009	0.0012	9.01669	1	1.0000	0	99.9999	uniform	ok
SCEJ01000099.1	SUXM01000016.1	96.5207	96.5207	0.0050	0.0034	0.77168	2	1.0000	0	96.5207	uniform	ok
SCQU01000006.1	CP050452.1	89.5973	89.5973	0.0029	0.0019	1.85236	1	1.0000	0	89.5973	uniform	INCONSISTENT
JODX01000001.1	RHDP01000001.1	83.5983	87.6186	0.2642	0.2692	0.17757	34	0.9741	12	87.6186	uniform_fallback	BELOW_DETECTION
JODX01000001.1	JACRAB010000177.1	91.6474	91.6474	0.0010	0.0011	2.01987	1	1.0000	0	91.6474	uniform_fallback	INCONSISTENT
SFMU01000087.1	JAEFAI010000009.1	87.1478	87.1478	0.0049	0.0048	1.94559	1	1.0000	0	87.1478	uniform_fallback	BELOW_DETECTION
VBFV01000122.1	VBGO01000248.1	96.1537	96.1537	0.0018	0.0013	0.98638	1	1.0000	0	96.1537	uniform	ok
VAZV01000046.1	VBMV01000074.1	99.2032	99.2032	0.0005	0.0008	0.56118	1	1.0000	0	99.2032	uniform	ok
SKOF01000344.1	SBFS01000297.1	94.2796	94.2796	0.0004	0.0005	1.95839	1	1.0000	0	94.2796	uniform	ok
SKOF01000344.1	JACPEG010000002.1	94.0034	94.0034	0.0004	0.0004	2.00830	1	1.0000	0	94.0034	uniform	ok
SKWO01000078.1	SLBZ01000078.1	91.5115	91.5115	0.0015	0.0008	1.99781	1	1.0000	0	91.5115	uniform	ok
SKWO01000078.1	JACRPA010000007.1	85.6596	85.6596	0.0134	0.0068	1.55942	1	1.0000	0	85.6596	uniform_fallback	BELOW_DETECTION
VBGO01000248.1	VBIS01000014.1	89.2219	89.2219	0.0213	0.0248	0.77126	5	1.0000	0	89.2219	uniform	ok
MGWS01000001.1	SCPW01000381.1	91.3029	91.3029	0.0196	0.0159	0.61638	7	0.9744	1	91.3029	uniform	INCONSISTENT
SBFS01000297.1	JACSRS010000125.1	91.9069	91.9069	0.0019	0.0017	1.82541	1	1.0000	0	91.9069	uniform	ok
SBFS01000297.1	SCMQ01000010.1	89.9530	89.9530	0.0320	0.0186	0.53250	10	1.0000	0	89.9530	uniform	ok
WHTV01000100.1	QOZR01000001.1	83.5125	83.5125	0.0112	0.0098	1.38604	1	1.0000	0	83.5125	uniform_fallback	BELOW_DETECTION
SHWB01000024.1	QOZR01000001.1	91.7606	91.7606	0.0010	0.0003	1.91888	1	1.0000	0	91.7606	uniform_fallback	INCONSISTENT
VSNG01000001.1	QXWV01000394.1	97.5482	97.5482	0.0032	0.0026	0.99223	1	1.0000	0	97.5482	uniform	ok
DSOZ01000180.1	PNJO01000001.1	94.2729	94.2729	0.0003	0.0002	2.03949	1	1.0000	0	94.2729	uniform_fallback	INCONSISTENT
JAABQH010000001.1	JACRMU010000057.1	91.7684	91.7684	0.0006	0.0005	2.37697	1	1.0000	0	91.7684	uniform_fallback	INCONSISTENT
BLMJ01000001.1	RAYB01000109.1	96.2610	96.2610	0.0051	0.0024	1.49027	1	1.0000	0	96.2610	uniform	ok
JAAVLQ010000001.1	CP050452.1	92.6685	92.6685	0.0000	0.0000	1.54440	5	0.8182	4	92.6685	uniform	INCONSISTENT
JAAVLQ010000001.1	JAATGD010000397.1	94.6668	94.6668	0.0009	0.0016	1.16877	2	1.0000	0	94.6668	uniform	INCONSISTENT
JAAYCV010000073.1	DULJ01000009.1	96.0938	96.0938	0.0004	0.0002	1.71247	1	1.0000	0	96.0938	uniform_fallback	INCONSISTENT
JAAYCV010000073.1	SCMQ01000010.1	88.2557	88.2557	0.0089	0.0042	1.27894	2	1.0000	0	88.2557	uniform	INCONSISTENT
PANX01000001.1	JADFAJ010000001.1	85.8296	88.7171	0.0805	0.0669	0.41147	11	1.0000	0	85.8296	gamma	ok
JAAFJF010000001.1	PKWM01000029.1	95.7405	95.7405	0.0003	0.0003	1.77670	1	1.0000	0	95.7405	uniform	ok
JAAFJF010000001.1	SCMQ01000010.1	95.8355	95.8355	0.0001	0.0001	1.78134	1	1.0000	0	95.8355	uniform	ok
JACMKJ010000435.1	JACSRS010000125.1	92.2478	92.2478	0.0006	0.0007	1.61737	1	1.0000	0	92.2478	uniform	ok
JACMKJ010000435.1	SCMQ01000010.1	92.6613	92.6613	0.0007	0.0006	1.29539	2	1.0000	0	92.6613	uniform	ok
QCQY01000001.1	QCBV01000001.1	94.2029	94.4864	0.6394	0.4738	0.20399	27	0.9895	4	94.2029	gamma	ok
JABURH010000009.1	QAZB01000031.1	92.7120	93.9646	0.7196	0.6915	0.08356	157	0.9844	32	92.7120	gamma	ok
JACSRS010000125.1	SCMQ01000010.1	88.7476	88.7476	0.0346	0.0271	0.49047	10	1.0000	0	88.7476	uniform	INCONSISTENT
QCBV01000001.1	QBZF01000001.1	99.9999	99.9999	0.0031	0.0057	8.03219	1	1.0000	0	99.9999	uniform	INCONSISTENT
JACPEG010000002.1	SCMQ01000010.1	92.9715	92.9715	0.0011	0.0008	1.96541	1	1.0000	0	92.9715	uniform_fallback	INCONSISTENT
JACPEG010000002.1	JACRPA010000007.1	95.6934	95.6934	0.0009	0.0012	1.47933	1	1.0000	0	95.6934	uniform	INCONSISTENT
QAZB01000031.1	CP026511.1	99.3715	99.3715	0.0004	0.0003	0.63327	1	1.0000	0	99.3715	uniform	ok
JACQYB010000001.1	JACRPA010000007.1	90.3713	90.3713	0.0214	0.0234	0.56047	8	1.0000	0	90.3713	uniform	INCONSISTENT
SCMQ01000010.1	JACRPA010000007.1	90.0646	90.0646	0.0015	0.0020	1.94162	1	1.0000	0	90.0646	uniform_fallback	INCONSISTENT
