nucleotide_acc	assembly_acc	assembly_name	organism	status	strain	country	isolation_source	collection_date	serotype	biosample	assigned_lineage	host_category
CP038402	GCF_013168055.1	ASM1316805v1	Escherichia coli O157:H7	current	BB24-1	USA:Louisiana	cattle feces	2002	O157:H7	SAMN05360196	II	bovine
CP038414	GCF_013168135.1	ASM1316813v1	Escherichia coli O157:H7	current	17B6-2	USA:Ohio	cattle feces	2002	O157:H7	SAMN05360191	I/II	bovine
CP038416	GCF_013168155.1	ASM1316815v1	Escherichia coli O157:H7	current	3-5-1	USA:Nebraska	cattle feces	1999	O157:H7	SAMN05360204	I/II	bovine
CP039834	GCF_013343595.1	ASM1334359v1	Escherichia coli O157:H7	current	MB41-1	USA:Louisiana	cattle feces	2002	O157:H7	SAMN05360216	Ia	bovine
CP062700	GCF_017164775.1	ASM1716477v1	Escherichia coli O157:H7	current	Z1835	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327615	II	bovine
CP062702	GCF_017164795.1	ASM1716479v1	Escherichia coli O157:H7	current	Z1834	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327614	II	bovine
CP062705	GCF_017164815.1	ASM1716481v1	Escherichia coli O157:H7	current	Z1833	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327613	II	bovine
CP062708	GCF_017164835.1	ASM1716483v1	Escherichia coli O157:H7	current	Z1832	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327612	II	bovine
CP062711	GCF_017164855.1	ASM1716485v1	Escherichia coli O157:H7	current	Z1831	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327611	II	bovine
CP062713	GCF_017164875.1	ASM1716487v1	Escherichia coli O157:H7	current	Z1830	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327610	II	bovine
CP062715	GCF_017164895.1	ASM1716489v1	Escherichia coli O157:H7	current	Z1826	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327609	II	bovine
CP062717	GCF_017164915.1	ASM1716491v1	Escherichia coli O157:H7	current	Z1825	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327608	II	bovine
CP062719	GCF_017164935.1	ASM1716493v1	Escherichia coli O157:H7	current	Z1816	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327607	II	bovine
CP062721	GCF_017164955.1	ASM1716495v1	Escherichia coli O157:H7	current	Z1815	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327606	II	bovine
CP062723	GCF_017164975.1	ASM1716497v1	Escherichia coli O157:H7	current	Z1814	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327605	Ic	bovine
CP062725	GCF_017164995.1	ASM1716499v1	Escherichia coli O157:H7	current	Z1813	United Kingdom	feces	2002	O157:H7	SAMN16327604	II	other/unknown
CP062727	GCF_017165015.1	ASM1716501v1	Escherichia coli O157:H7	current	Z1812	United Kingdom	feces	2002	O157:H7	SAMN16327603	II	other/unknown
CP062729	GCF_017165035.1	ASM1716503v1	Escherichia coli O157:H7	current	Z1811	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327602	II	bovine
CP062731	GCF_017165075.1	ASM1716507v1	Escherichia coli O157:H7	current	Z1768	United Kingdom	Bovine Faeces	2015	O157:H7	SAMN16327600	II	bovine
CP062733	GCF_017165095.1	ASM1716509v1	Escherichia coli O157:H7	current	Z1767	United Kingdom	Bovine Faeces	2015	O157:H7	SAMN16327599	II	bovine
CP062736	GCF_017165135.1	ASM1716513v1	Escherichia coli O157:H7	current	Z1766	United Kingdom	Bovine Faeces	2015	O157:H7	SAMN16327598	II	bovine
CP062739	GCF_017165115.1	ASM1716511v1	Escherichia coli O157:H7	current	Z1723	United Kingdom	Bovine Faeces	2015	O157:H7	SAMN16327597	II	bovine
CP062742	GCF_017165155.1	ASM1716515v1	Escherichia coli O157:H7	current	Z1626	United Kingdom	feces	2014	O157:H7	SAMN16327596	II	other/unknown
CP062744	GCF_017165215.1	ASM1716521v1	Escherichia coli O157:H7	current	Z1615	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327595	II	bovine
CP062746	GCF_017165235.1	ASM1716523v1	Escherichia coli O157:H7	current	Z1504	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327594	II	bovine
CP062749	GCF_017165255.1	ASM1716525v1	Escherichia coli O157:H7	current	Z1486	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327593	II	bovine
CP062752	GCF_017165275.1	ASM1716527v1	Escherichia coli O157:H7	current	Z910	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327592	II	bovine
CP062755	GCF_017165295.1	ASM1716529v1	Escherichia coli O157:H7	current	Z903	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327591	II	bovine
CP062758	GCF_017165335.1	ASM1716533v1	Escherichia coli O157:H7	current	Z892	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327590	II	bovine
CP062761	GCF_017165315.1	ASM1716531v1	Escherichia coli O157:H7	current	Z887	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327589	II	bovine
CP062763	GCF_017165355.1	ASM1716535v1	Escherichia coli O157:H7	current	Z885	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327588	II	bovine
CP062766	GCF_017165375.1	ASM1716537v1	Escherichia coli O157:H7	current	Z866	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327586	II	bovine
CP062769	GCF_017165415.1	ASM1716541v1	Escherichia coli O157:H7	current	Z852	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327585	II	bovine
CP062771	GCF_017165435.1	ASM1716543v1	Escherichia coli O157:H7	current	Z570	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327584	II	bovine
CP062774	GCF_017165455.1	ASM1716545v1	Escherichia coli O157:H7	current	Z563	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327583	II	bovine
CP062778	GCF_017164755.1	ASM1716475v1	Escherichia coli O157:H7	current	Z1836	United Kingdom	Bovine Faeces	2014	O157:H7	SAMN16327616	II	bovine
CP062780	GCF_017165055.1	ASM1716505v1	Escherichia coli O157:H7	current	Z1769	United Kingdom	Bovine Faeces	2015	O157:H7	SAMN16327601	II	bovine
CP062782	GCF_017165395.1	ASM1716539v1	Escherichia coli O157:H7	current	Z869	United Kingdom	Bovine Faeces	2002	O157:H7	SAMN16327587	II	bovine
NC_002695	GCF_000008865.2	ASM886v2	Escherichia coli O157:H7 str. Sakai	current	SAKAI (EHEC)	Japan: Sakai City, Osaka prefecture	Human intestinal microflora	1996	E. coli O157:H7	SAMN01911278	Ia	human
NC_011353	GCF_000021125.1	ASM2112v1	Escherichia coli O157:H7 str. EC4115	current	EC4115					SAMN02603441	I/II	other/unknown
NC_013008	GCF_000022225.1	ASM2222v1	Escherichia coli O157:H7 str. TW14359	current	TW14359				O157:H7	SAMN02604255	I/II	other/unknown
