query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	flag
CP007539.2	NZ_CP026962.1	99.9368	99.9466	0.9512	0.9618	0.01028	12	0.9936	29	0.070	0.9968	99.8383	99.9750	0.0793	1.56	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1823	12	1740	613	144.33333333333334	ok	99.9368	gamma	99.8969	ok
CP007539.2	NZ_JXZI01000001.1	99.9387	99.9473	0.9608	0.9666	0.01014	12	0.9937	15	0.070	0.9968	99.8499	99.9729	0.0597	2.41	AlfI:99.98,AloI:99.93,BcgI:99.97,FalI:99.92	1840	12	1764	607	145.66666666666666	ok	99.9387	gamma	99.9058	ok
CP007539.2	NZ_CP026076.1	99.9388	99.9473	0.9613	0.9672	0.01013	12	0.9937	15	0.070	0.9968	99.8500	99.9729	0.0596	2.40	AlfI:99.98,AloI:99.93,BcgI:99.97,FalI:99.92	1841	12	1765	607	145.75	ok	99.9388	gamma	99.9059	ok
CP007539.2	NZ_JXZO01000002.1	99.9397	99.9484	0.9423	0.9480	0.01012	17	0.9908	53	0.070	0.9969	99.8473	99.9750	0.0859	2.32	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1844	17	1734	499	102.3529411764706	ok	99.9397	gamma	99.9042	ok
CP007539.2	NZ_JXZO02000002.1	99.9397	99.9484	0.9423	0.9480	0.01012	17	0.9908	53	0.070	0.9969	99.8473	99.9750	0.0859	2.32	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1844	17	1734	499	102.3529411764706	ok	99.9397	gamma	99.9042	ok
CP007539.2	NZ_JXZN01000001.1	99.9349	99.9449	0.9543	0.9264	0.01041	15	0.9920	33	0.070	0.9967	99.8392	99.9727	0.0794	1.74	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1851	15	1750	518	116.26666666666667	ok	99.9349	gamma	99.8975	ok
CP007539.2	NZ_CP026961.1	99.9349	99.9449	0.9543	0.9355	0.01041	15	0.9920	33	0.070	0.9967	99.8392	99.9727	0.0794	1.74	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1845	15	1750	518	116.26666666666667	ok	99.9349	gamma	99.8975	ok
CP007539.2	NZ_JXZP01000001.1	99.9399	99.9486	0.9512	0.9737	0.01008	11	0.9942	28	0.070	0.9969	99.8478	99.9750	0.0859	2.31	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1824	11	1740	614	157.8181818181818	ok	99.9399	gamma	99.9045	ok
CP007539.2	NZ_CP026080.1	99.9399	99.9486	0.9512	0.9737	0.01008	11	0.9942	28	0.070	0.9969	99.8478	99.9750	0.0859	2.31	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1824	11	1740	614	157.8181818181818	ok	99.9399	gamma	99.9045	ok
CP007539.2	NZ_JXZR01000001.1	98.9664	99.3612	0.9315	0.9417	0.03714	13	0.9924	11	0.170	0.9615	98.7877	99.5350	0.3623	1.03	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1635	13	1706	550	121.23076923076923	ok	98.9664	gamma	98.9503	ok
CP007539.2	NZ_CP026063.1	98.9664	99.3612	0.9315	0.9417	0.03714	13	0.9924	11	0.170	0.9615	98.7877	99.5350	0.3623	1.03	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1635	13	1706	550	121.23076923076923	ok	98.9664	gamma	98.9503	ok
CP007539.2	NZ_JXZV01000001.1	99.9981	99.9981	0.9866	0.9572	0.00187	10	0.9951	44	inf	0.9999	99.9908	99.9999	0.0042	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1960	10	1803	715	182	ok	99.9981	uniform	99.9995	ok
CP007539.2	NZ_JXZV02000001.1	99.9981	99.9981	0.9866	0.9572	0.00187	10	0.9951	44	inf	0.9999	99.9908	99.9999	0.0042	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1960	10	1803	715	182	ok	99.9981	uniform	99.9995	ok
CP007539.2	NZ_CP026960.1	99.9398	99.9485	0.9497	0.9679	0.01009	13	0.9931	30	0.070	0.9969	99.8477	99.9750	0.0442	1.32	AlfI:99.95,AloI:99.93,BcgI:99.97,FalI:99.93	1829	13	1739	613	133.23076923076923	ok	99.9398	gamma	99.9044	ok
CP007539.2	NZ_JXZW01000001.1	98.0701	98.8096	0.9385	0.9242	0.05253	13	0.9918	11	0.294	0.9275	97.9001	99.1521	0.5727	1.94	AlfI:98.99,AloI:98.42,BcgI:98.86,FalI:98.75	1550	13	1714	309	113.3076923076923	ok	98.0701	gamma	98.0970	ok
CP007539.2	NZ_CP026064.1	98.0828	98.8136	0.9400	0.9257	0.05236	14	0.9912	12	0.294	0.9277	97.9132	99.1519	0.5543	1.80	AlfI:98.99,AloI:98.43,BcgI:98.85,FalI:98.76	1551	14	1718	309	105.57142857142857	ok	98.0828	gamma	98.1096	ok
CP007539.2	NZ_JXZY01000001.1	97.9492	98.5504	0.9313	0.9099	0.05823	12	0.9924	10	0.473	0.9111	97.7125	98.8964	0.3929	2.43	AlfI:98.65,AloI:98.35,BcgI:98.74,FalI:98.41	1533	12	1728	299	121.16666666666667	ok	97.9492	gamma	97.9136	ok
CP007539.2	NZ_CP026067.1	97.9492	98.5504	0.9313	0.9099	0.05823	12	0.9924	10	0.473	0.9111	97.7125	98.8964	0.3929	2.43	AlfI:98.65,AloI:98.35,BcgI:98.74,FalI:98.41	1533	12	1728	299	121.16666666666667	ok	97.9492	gamma	97.9136	ok
CP007539.2	NZ_JXZZ01000001.1	98.9524	99.3506	0.9362	0.9063	0.03738	16	0.9905	24	0.176	0.9608	98.7660	99.5284	0.4055	1.23	AlfI:99.42,AloI:99.01,BcgI:99.35,FalI:99.37	1659	16	1715	547	99.25	ok	98.9524	gamma	98.9294	ok
CP007539.2	NZ_JXZZ02000001.1	98.9524	99.3506	0.9362	0.9063	0.03738	16	0.9905	24	0.176	0.9608	98.7660	99.5284	0.4055	1.23	AlfI:99.42,AloI:99.01,BcgI:99.35,FalI:99.37	1659	16	1715	547	99.25	ok	98.9524	gamma	98.9294	ok
CP007539.2	NZ_JYAA01000001.1	99.9428	99.9505	0.9468	0.9341	0.00989	15	0.9919	32	0.070	0.9970	99.8573	99.9750	0.0508	2.04	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.93	1834	15	1739	517	115.6	ok	99.9428	gamma	99.9120	ok
CP007539.2	NZ_JYAA02000001.1	99.9428	99.9505	0.9468	0.9341	0.00989	15	0.9919	32	0.070	0.9970	99.8573	99.9750	0.0508	2.04	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.93	1834	15	1739	517	115.6	ok	99.9428	gamma	99.9120	ok
CP007539.2	NZ_JYAD01000001.1	98.9193	99.3494	0.9413	0.9332	0.03733	13	0.9925	26	0.166	0.9608	98.7461	99.5334	0.3463	1.03	AlfI:99.42,AloI:99.07,BcgI:99.33,FalI:99.37	1663	13	1726	331	122.92307692307692	ok	98.9193	gamma	98.9100	ok
CP007539.2	NZ_JYAD02000001.1	98.9193	99.3494	0.9413	0.9332	0.03733	13	0.9925	26	0.166	0.9608	98.7461	99.5334	0.3463	1.03	AlfI:99.42,AloI:99.07,BcgI:99.33,FalI:99.37	1663	13	1726	331	122.92307692307692	ok	98.9193	gamma	98.9100	ok
CP007539.2	NZ_JYAE01000001.1	99.9399	99.9486	0.9485	0.9656	0.01008	13	0.9931	30	0.070	0.9969	99.8478	99.9750	0.0859	2.31	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1825	13	1740	534	133.53846153846155	ok	99.9399	gamma	99.9045	ok
CP007539.2	NZ_CP026070.1	99.9399	99.9486	0.9485	0.9656	0.01008	13	0.9931	30	0.070	0.9969	99.8478	99.9750	0.0859	2.31	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1825	13	1740	534	133.53846153846155	ok	99.9399	gamma	99.9045	ok
CP007539.2	NZ_JYAF01000001.1	99.9428	99.9505	0.9468	0.9342	0.00989	15	0.9919	32	0.070	0.9970	99.8573	99.9750	0.0508	2.04	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.93	1837	15	1739	517	115.53333333333333	ok	99.9428	gamma	99.9120	ok
CP007539.2	NZ_JYAF02000001.1	99.9428	99.9505	0.9468	0.9342	0.00989	15	0.9919	32	0.070	0.9970	99.8573	99.9750	0.0508	2.04	AlfI:99.95,AloI:99.93,BcgI:99.98,FalI:99.93	1837	15	1739	517	115.53333333333333	ok	99.9428	gamma	99.9120	ok
CP007539.2	NZ_JYAG01000001.1	96.9796	98.0546	0.9349	0.8904	0.07027	11	0.9925	9	0.473	0.8786	96.9120	98.6520	0.2987	0.39	AlfI:98.18,AloI:97.88,BcgI:98.00,FalI:98.06	1408	11	1720	351	121.63636363636364	ok	96.9796	gamma	97.1294	ok
CP007539.2	NZ_JYAG02000001.1	96.9796	98.0546	0.9349	0.8904	0.07027	11	0.9925	9	0.473	0.8786	96.9120	98.6520	0.2987	0.39	AlfI:98.18,AloI:97.88,BcgI:98.00,FalI:98.06	1408	11	1720	351	121.63636363636364	ok	96.9796	gamma	97.1294	ok
CP007539.2	NZ_JYAH01000001.1	97.0367	98.2655	0.9266	0.9307	0.06640	10	0.9933	8	0.365	0.8926	97.0407	98.8573	0.8043	2.08	AlfI:98.33,AloI:97.63,BcgI:98.43,FalI:98.20	1413	10	1700	473	135	ok	97.0367	gamma	97.2572	ok
CP007539.2	NZ_CP026071.1	97.0367	98.2655	0.9266	0.9307	0.06640	10	0.9933	8	0.365	0.8926	97.0407	98.8573	0.8043	2.08	AlfI:98.33,AloI:97.63,BcgI:98.43,FalI:98.20	1413	10	1700	473	135	ok	97.0367	gamma	97.2572	ok
CP007539.2	NZ_JYAI01000002.1	99.9398	99.9485	0.9497	0.9634	0.01009	17	0.9909	75	0.070	0.9969	99.8477	99.9750	0.0442	1.32	AlfI:99.95,AloI:99.93,BcgI:99.97,FalI:99.93	1855	17	1739	390	103.52941176470588	ok	99.9398	gamma	99.9044	ok
CP007539.2	NZ_JYAI02000002.1	99.9398	99.9485	0.9497	0.9634	0.01009	17	0.9909	75	0.070	0.9969	99.8477	99.9750	0.0442	1.32	AlfI:99.95,AloI:99.93,BcgI:99.97,FalI:99.93	1855	17	1739	390	103.52941176470588	ok	99.9398	gamma	99.9044	ok
CP007539.2	NZ_JYAL01000001.1	98.8978	99.3935	0.9339	0.9273	0.03606	13	0.9924	12	0.124	0.9634	98.8117	99.5681	0.4391	1.39	AlfI:99.45,AloI:99.01,BcgI:99.42,FalI:99.40	1689	13	1714	546	122	ok	98.8978	gamma	98.9727	ok
CP007539.2	NZ_JYAL02000001.1	98.9073	99.3960	0.9339	0.9273	0.03597	13	0.9924	12	0.124	0.9636	98.8210	99.5684	0.4391	1.39	AlfI:99.45,AloI:99.01,BcgI:99.42,FalI:99.40	1690	13	1714	546	122.07692307692308	ok	98.9073	gamma	98.9815	ok
CP007539.2	NZ_JYAN01000001.1	98.7491	99.2634	0.9453	0.9353	0.03986	15	0.9912	23	0.176	0.9555	98.5895	99.4756	0.7443	2.80	AlfI:99.32,AloI:98.57,BcgI:99.31,FalI:99.29	1667	15	1736	357	105.73333333333333	ok	98.7491	gamma	98.7607	ok
CP007539.2	NZ_JYAN02000001.1	98.7491	99.2634	0.9453	0.9353	0.03986	15	0.9912	23	0.176	0.9555	98.5895	99.4756	0.7443	2.80	AlfI:99.32,AloI:98.57,BcgI:99.31,FalI:99.29	1667	15	1736	357	105.73333333333333	ok	98.7491	gamma	98.7607	ok
CP007539.2	NZ_JYAP01000001.1	98.9451	99.3585	0.9355	0.9437	0.03718	13	0.9924	11	0.166	0.9613	98.7734	99.5361	0.3443	0.97	AlfI:99.41,AloI:99.07,BcgI:99.35,FalI:99.38	1642	13	1712	364	121.61538461538461	ok	98.9451	gamma	98.9365	ok
CP007539.2	NZ_JYAP02000001.1	98.9451	99.3585	0.9355	0.9437	0.03718	13	0.9924	11	0.166	0.9613	98.7734	99.5361	0.3443	0.97	AlfI:99.41,AloI:99.07,BcgI:99.35,FalI:99.38	1642	13	1712	364	121.61538461538461	ok	98.9451	gamma	98.9365	ok
CP007539.2	NZ_JYAO01000001.1	98.9614	99.3539	0.9395	0.9001	0.03725	15	0.9912	38	0.176	0.9610	98.7767	99.5293	0.3541	0.98	AlfI:99.41,AloI:99.06,BcgI:99.36,FalI:99.36	1662	15	1717	324	106.6	ok	98.9614	gamma	98.9394	ok
CP007539.2	NZ_JYAO02000001.1	98.9614	99.3539	0.9395	0.9001	0.03725	15	0.9912	38	0.176	0.9610	98.7767	99.5293	0.3541	0.98	AlfI:99.41,AloI:99.06,BcgI:99.36,FalI:99.36	1662	15	1717	324	106.6	ok	98.9614	gamma	98.9394	ok
CP007539.2	NZ_JYAQ01000002.1	93.5944	93.5944	0.0044	0.0048	1.99949	1	1.0000	0	inf	0.5608	95.6965	87.7651	3.5495	0.31	AlfI:93.75,AloI:96.30,FalI:92.75	47	1	7	5	5	INCONSISTENT	93.5944	uniform_fallback	99.1251	INCONSISTENT
CP007539.2	NZ_JYAU01000001.1	98.9022	99.3558	0.9507	0.9421	0.03690	15	0.9913	23	0.152	0.9611	98.7608	99.5367	0.7972	3.51	AlfI:99.45,AloI:98.65,BcgI:99.36,FalI:99.39	1692	15	1747	359	107.8	ok	98.9022	gamma	98.9230	ok
CP007539.2	NZ_CP026957.1	98.9022	99.3558	0.9507	0.9466	0.03690	14	0.9919	12	0.152	0.9611	98.7608	99.5367	0.7972	3.51	AlfI:99.45,AloI:98.65,BcgI:99.36,FalI:99.39	1683	14	1747	359	115.07142857142857	ok	98.9022	gamma	98.9230	ok
CP007539.2	NZ_JYAS01000001.1	98.9388	99.3510	0.9377	0.8676	0.03736	16	0.9905	14	0.170	0.9609	98.7582	99.5315	0.3820	1.13	AlfI:99.39,AloI:99.01,BcgI:99.35,FalI:99.38	1660	16	1717	325	99	ok	98.9388	gamma	98.9219	ok
CP007539.2	NZ_JYAS02000001.1	98.9388	99.3510	0.9377	0.8676	0.03736	16	0.9905	14	0.170	0.9609	98.7582	99.5315	0.3820	1.13	AlfI:99.39,AloI:99.01,BcgI:99.35,FalI:99.38	1660	16	1717	325	99	ok	98.9388	gamma	98.9219	ok
CP007539.2	NZ_JYAW01000001.1	97.1757	98.2971	0.9137	0.8991	0.06568	19	0.9867	10	0.376	0.8946	97.1383	98.8468	0.8452	2.09	AlfI:98.37,AloI:97.60,BcgI:98.44,FalI:98.25	1430	19	1689	236	71.10526315789474	ok	97.1757	gamma	97.3538	ok
CP007539.2	NZ_JYAW02000001.1	97.1964	98.3047	0.9137	0.8991	0.06549	19	0.9867	10	0.376	0.8951	97.1548	98.8484	0.8452	2.03	AlfI:98.37,AloI:97.60,BcgI:98.44,FalI:98.27	1432	19	1689	236	71.21052631578948	ok	97.1964	gamma	97.3699	ok
CP007539.2	NZ_JYBA01000001.1	99.9610	99.9610	0.9605	0.9314	0.00871	16	0.9915	39	inf	0.9976	99.8874	99.9803	0.0823	0.90	AlfI:99.98,AloI:99.90,BcgI:99.96,FalI:99.96	1886	16	1763	366	110.4375	ok	99.9610	uniform	99.9350	ok
CP007539.2	NZ_JYBA02000001.1	99.9610	99.9610	0.9605	0.9314	0.00871	16	0.9915	39	inf	0.9976	99.8874	99.9803	0.0823	0.90	AlfI:99.98,AloI:99.90,BcgI:99.96,FalI:99.96	1886	16	1763	366	110.4375	ok	99.9610	uniform	99.9350	ok
CP007539.2	NZ_JYAZ01000001.1	98.9401	99.3508	0.9451	0.9254	0.03731	15	0.9912	30	0.170	0.9608	98.7617	99.5302	0.2388	0.54	AlfI:99.39,AloI:99.15,BcgI:99.33,FalI:99.37	1674	15	1722	356	106.53333333333333	ok	98.9401	gamma	98.9250	ok
CP007539.2	NZ_CP026953.1	98.9401	99.3508	0.9451	0.9260	0.03731	14	0.9918	12	0.170	0.9608	98.7617	99.5302	0.2388	0.54	AlfI:99.39,AloI:99.15,BcgI:99.33,FalI:99.37	1665	14	1722	356	113.5	ok	98.9401	gamma	98.9250	ok
CP007539.2	NZ_JYBB01000001.1	98.9201	99.3342	0.9421	0.9064	0.03783	16	0.9906	34	0.176	0.9598	98.7419	99.5153	0.4546	1.47	AlfI:99.40,AloI:98.94,BcgI:99.33,FalI:99.35	1671	16	1720	364	99.875	ok	98.9201	gamma	98.9063	ok
CP007539.2	NZ_JYBB02000001.1	98.9346	99.3350	0.9421	0.9064	0.03778	16	0.9906	34	0.178	0.9599	98.7603	99.5104	0.4546	1.47	AlfI:99.40,AloI:98.94,BcgI:99.33,FalI:99.36	1673	16	1720	364	100	ok	98.9346	gamma	98.9238	ok
CP007539.2	NZ_JXZF01000001.1	98.9392	99.3504	0.9441	0.9213	0.03734	14	0.9918	12	0.170	0.9608	98.7610	99.5299	0.2388	0.55	AlfI:99.39,AloI:99.15,BcgI:99.33,FalI:99.37	1667	14	1721	549	113.42857142857143	ok	98.9392	gamma	98.9244	ok
CP007539.2	NZ_CP026968.1	98.9472	99.3530	0.9441	0.9224	0.03725	14	0.9918	12	0.170	0.9610	98.7702	99.5302	0.2388	0.53	AlfI:99.39,AloI:99.15,BcgI:99.34,FalI:99.37	1665	14	1721	550	113.5	ok	98.9472	gamma	98.9331	ok
CP007539.2	NZ_JXZK01000001.1	99.9345	99.9446	0.9503	0.9714	0.01048	12	0.9936	29	0.070	0.9966	99.8382	99.9725	0.0727	1.06	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1822	12	1739	613	144.25	ok	99.9345	gamma	99.8968	ok
CP007539.2	NZ_CP026077.1	99.9345	99.9446	0.9503	0.9714	0.01048	12	0.9936	29	0.070	0.9966	99.8382	99.9725	0.0727	1.06	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1822	12	1739	613	144.25	ok	99.9345	gamma	99.8968	ok
CP007539.2	NZ_JXZL01000001.1	99.9628	99.9628	0.9567	0.9288	0.00852	17	0.9909	42	inf	0.9977	99.9152	99.9753	0.0757	0.65	AlfI:99.97,AloI:99.90,BcgI:99.97,FalI:99.96	1868	17	1754	619	103.70588235294117	ok	99.9628	uniform	99.9558	ok
CP007539.2	NZ_JXZL02000001.1	99.9628	99.9628	0.9567	0.9288	0.00852	17	0.9909	42	inf	0.9977	99.9152	99.9753	0.0757	0.65	AlfI:99.97,AloI:99.90,BcgI:99.97,FalI:99.96	1868	17	1754	619	103.70588235294117	ok	99.9628	uniform	99.9558	ok
CP007539.2	NZ_JXZM01000001.1	98.9989	99.3646	0.9261	0.9288	0.03713	12	0.9930	10	0.178	0.9617	98.8170	99.5300	0.3623	1.04	AlfI:99.41,AloI:99.05,BcgI:99.36,FalI:99.39	1640	12	1694	550	130.75	ok	98.9989	gamma	98.9786	ok
CP007539.2	NZ_CP026079.1	98.9989	99.3646	0.9261	0.9288	0.03713	12	0.9930	10	0.178	0.9617	98.8170	99.5300	0.3623	1.04	AlfI:99.41,AloI:99.05,BcgI:99.36,FalI:99.39	1640	12	1694	550	130.75	ok	98.9989	gamma	98.9786	ok
CP007539.2	NZ_JXZQ01000002.1	99.9318	99.9429	0.9542	0.9474	0.01060	14	0.9925	31	0.070	0.9965	99.8297	99.9727	0.0794	1.95	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.92	1839	14	1750	613	124.35714285714286	ok	99.9318	gamma	99.8899	ok
CP007539.2	NZ_JXZQ02000002.1	99.9349	99.9449	0.9542	0.9474	0.01041	14	0.9925	31	0.070	0.9967	99.8392	99.9727	0.0794	1.74	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1840	14	1750	613	124.42857142857143	ok	99.9349	gamma	99.8975	ok
CP007539.2	NZ_JXZT01000001.1	98.9533	99.3543	0.9341	0.9543	0.03736	14	0.9918	22	0.170	0.9611	98.7783	99.5292	0.3407	0.96	AlfI:99.39,AloI:99.05,BcgI:99.35,FalI:99.38	1642	14	1706	329	113.07142857142857	ok	98.9533	gamma	98.9415	ok
CP007539.2	NZ_JXZT02000001.1	98.9664	99.3612	0.9341	0.9543	0.03714	14	0.9918	22	0.170	0.9615	98.7877	99.5350	0.3623	1.03	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1643	14	1706	329	113.14285714285714	ok	98.9664	gamma	98.9503	ok
CP007539.2	NZ_JXZU01000001.1	98.9421	99.3533	0.9315	0.9373	0.03741	14	0.9918	26	0.170	0.9610	98.7597	99.5340	0.3892	1.19	AlfI:99.40,AloI:99.01,BcgI:99.34,FalI:99.38	1664	14	1706	548	113	ok	98.9421	gamma	98.9239	ok
CP007539.2	NZ_JXZU02000001.1	98.9421	99.3533	0.9315	0.9373	0.03741	14	0.9918	26	0.170	0.9610	98.7597	99.5340	0.3892	1.19	AlfI:99.40,AloI:99.01,BcgI:99.34,FalI:99.38	1664	14	1706	548	113	ok	98.9421	gamma	98.9239	ok
CP007539.2	NZ_JXZX01000001.1	96.9981	98.2557	0.9460	0.9472	0.06606	10	0.9934	8	0.365	0.8919	97.0046	98.8632	0.8098	2.13	AlfI:98.36,AloI:97.60,BcgI:98.40,FalI:98.20	1462	10	1734	310	137.3	ok	96.9981	gamma	97.2197	ok
CP007539.2	NZ_CP026066.1	97.0058	98.2570	0.9460	0.9472	0.06601	10	0.9934	8	0.365	0.8920	97.0125	98.8606	0.8098	2.12	AlfI:98.36,AloI:97.60,BcgI:98.40,FalI:98.20	1463	10	1734	310	137.4	ok	97.0058	gamma	97.2275	ok
CP007539.2	NZ_JYAB01000001.1	99.9505	99.9505	0.9512	0.9838	0.00989	11	0.9942	26	inf	0.9970	99.8383	99.9800	0.0859	2.09	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.94	1831	11	1740	612	157.36363636363637	ok	99.9505	uniform	99.8969	ok
CP007539.2	NZ_CP026068.1	99.9399	99.9486	0.9512	0.9839	0.01008	11	0.9942	26	0.070	0.9969	99.8478	99.9750	0.0859	2.31	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.93	1833	11	1740	613	157.45454545454547	ok	99.9399	gamma	99.9045	ok
CP007539.2	NZ_JYAC01000001.1	98.9868	99.3654	0.9261	0.9129	0.03708	15	0.9911	13	0.173	0.9617	98.8097	99.5333	0.3623	1.07	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.39	1644	15	1697	550	104.66666666666667	ok	98.9868	gamma	98.9715	ok
CP007539.2	NZ_CP026069.1	98.9868	99.3654	0.9261	0.9129	0.03708	15	0.9911	13	0.173	0.9617	98.8097	99.5333	0.3623	1.07	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.39	1644	15	1697	550	104.66666666666667	ok	98.9868	gamma	98.9715	ok
CP007539.2	NZ_JYAJ01000001.1	97.1288	98.2905	0.9310	0.9279	0.06565	9	0.9941	7	0.376	0.8942	97.0836	98.8667	0.8136	2.04	AlfI:98.36,AloI:97.63,BcgI:98.44,FalI:98.24	1441	9	1707	476	151.44444444444446	ok	97.1288	gamma	97.2989	ok
CP007539.2	NZ_JYAJ02000001.1	97.1288	98.2905	0.9310	0.9279	0.06565	9	0.9941	7	0.376	0.8942	97.0836	98.8667	0.8136	2.04	AlfI:98.36,AloI:97.63,BcgI:98.44,FalI:98.24	1441	9	1707	476	151.44444444444446	ok	97.1288	gamma	97.2989	ok
CP007539.2	NZ_JYAK01000001.1	99.9313	99.9426	0.9512	0.9820	0.01066	14	0.9926	62	0.070	0.9965	99.8287	99.9725	0.0793	1.97	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.92	1841	14	1740	613	125	ok	99.9313	gamma	99.8893	ok
CP007539.2	NZ_JYAK02000001.1	99.9344	99.9446	0.9512	0.9820	0.01047	14	0.9926	62	0.070	0.9966	99.8383	99.9725	0.0793	1.76	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1842	14	1740	613	125.07142857142857	ok	99.9344	gamma	99.8969	ok
