query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag_verbose	ani_gated	gate	ani_upper95	flag	q_acc	r_acc	ani_pct	q_country	r_country
NZ_CP007539.2	NZ_JYAW02000001.1	97.1986	98.2985	0.9143	0.8978	0.06577	19	0.9866	5	0.381	0.8947	97.1509	98.8423	0.8414	2.04	AlfI:98.37,AloI:97.60,BcgI:98.44,FalI:98.26	1424	19	1681	214	70.84210526315789	ok	97.1986	gamma	97.3666	ok	GCF_000626615.2	GCF_001019175.2	97.1986	USA	Denmark
NZ_CP007539.2	NZ_JYBA02000001.1	99.9628	99.9628	0.9593	0.9299	0.00854	16	0.9915	3	inf	0.9977	99.8962	99.9802	0.0823	0.84	AlfI:99.98,AloI:99.90,BcgI:99.96,FalI:99.96	1876	16	1752	298	109.8125	ok	99.9628	uniform	99.9418	ok	GCF_000626615.2	GCF_001019195.1	99.9628	USA	USA:New York
NZ_CP007539.2	NZ_CP026953.1	98.9498	99.3492	0.9442	0.9244	0.03747	14	0.9918	0	0.176	0.9607	98.764	99.5275	0.2388	0.57	AlfI:99.39,AloI:99.15,BcgI:99.33,FalI:99.37	1656	14	1712	377	112.85714285714286	ok	98.9498	gamma	98.9276	ok	GCF_000626615.2	GCF_001019205.1	98.9498	USA	Portugal:Lisbon
NZ_CP007539.2	NZ_JYBB02000001.1	98.9337	99.3333	0.9412	0.9049	0.03794	16	0.9906	0	0.178	0.9598	98.7627	99.5075	0.4546	1.49	AlfI:99.40,AloI:98.94,BcgI:99.33,FalI:99.36	1664	16	1710	385	99.4375	ok	98.9337	gamma	98.9265	ok	GCF_000626615.2	GCF_001019215.2	98.9337	USA	missing
NZ_CP007539.2	NZ_CP026968.1	98.9509	99.3514	0.9432	0.9208	0.0374	14	0.9918	0	0.173	0.9609	98.7726	99.5275	0.2388	0.55	AlfI:99.39,AloI:99.15,BcgI:99.33,FalI:99.37	1656	14	1711	571	112.85714285714286	ok	98.9509	gamma	98.9358	ok	GCF_000626615.2	GCF_001019255.2	98.9509	USA	Portugal:Lisbon
NZ_CP007539.2	NZ_CP026077.1	99.937	99.9462	0.9492	0.9698	0.01035	12	0.9936	0	0.07	0.9967	99.8468	99.9723	0.0724	0.9	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.94	1812	12	1728	645	143.41666666666666	ok	99.937	gamma	99.9038	ok	GCF_000626615.2	GCF_001019275.1	99.937	USA	missing
NZ_CP007539.2	NZ_JXZL02000001.1	99.9646	99.9646	0.9556	0.9273	0.00834	17	0.9909	0	inf	0.9979	99.9242	99.9752	0.0754	0.57	AlfI:99.97,AloI:99.90,BcgI:99.97,FalI:99.96	1858	17	1743	651	103.11764705882354	ok	99.9646	uniform	99.9623	ok	GCF_000626615.2	GCF_001019295.2	99.9646	USA	France
NZ_CP007539.2	NZ_CP026079.1	99.0076	99.363	0.9251	0.9273	0.03728	12	0.9929	0	0.183	0.9616	98.8198	99.5272	0.3623	1.06	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.39	1631	12	1684	579	130.0	ok	99.0076	gamma	98.9816	ok	GCF_000626615.2	GCF_001019305.2	99.0076	USA	Japan
NZ_CP007539.2	NZ_JXZQ02000002.1	99.9374	99.9465	0.9531	0.9458	0.01028	14	0.9925	0	0.07	0.9968	99.8477	99.9725	0.0791	1.53	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1830	14	1739	645	123.71428571428572	ok	99.9374	gamma	99.9045	ok	GCF_000626615.2	GCF_001019335.2	99.9374	USA	missing
NZ_CP007539.2	NZ_JXZT02000001.1	98.9658	99.3597	0.9332	0.9526	0.03729	14	0.9917	0	0.17	0.9614	98.7902	99.5323	0.3623	1.06	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1634	14	1696	329	112.5	ok	98.9658	gamma	98.9532	ok	GCF_000626615.2	GCF_001019355.1	98.9658	USA	missing
NZ_CP007539.2	NZ_JXZU02000001.1	98.9518	99.3517	0.9306	0.9358	0.03757	14	0.9917	0	0.176	0.9609	98.762	99.5313	0.3892	1.22	AlfI:99.40,AloI:99.01,BcgI:99.34,FalI:99.38	1655	14	1696	577	112.35714285714286	ok	98.9518	gamma	98.9266	ok	GCF_000626615.2	GCF_001019375.2	98.9518	USA	missing
NZ_CP007539.2	NZ_CP026066.1	96.9815	98.2468	0.949	0.9533	0.06634	9	0.9941	3	0.365	0.8913	96.9968	98.8556	0.8102	2.23	AlfI:98.36,AloI:97.60,BcgI:98.41,FalI:98.18	1455	9	1729	528	152.0	ok	96.9815	gamma	97.2124	ok	GCF_000626615.2	GCF_001019395.1	96.9815	USA	missing
NZ_CP007539.2	NZ_CP026068.1	99.9425	99.9503	0.9501	0.9822	0.00995	11	0.9942	0	0.07	0.997	99.8565	99.9749	0.0857	2.07	AlfI:99.95,AloI:99.89,BcgI:99.98,FalI:99.94	1823	11	1729	645	156.54545454545453	ok	99.9425	gamma	99.9115	ok	GCF_000626615.2	GCF_001019415.2	99.9425	USA	missing
NZ_CP007539.2	NZ_CP026069.1	98.9959	99.3639	0.9251	0.9114	0.03724	15	0.991	2	0.178	0.9616	98.8123	99.5306	0.3623	1.1	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.39	1635	15	1687	571	104.06666666666666	ok	98.9959	gamma	98.9745	ok	GCF_000626615.2	GCF_001019435.1	98.9959	USA	Japan
NZ_CP007539.2	NZ_JYAJ02000001.1	97.1186	98.2843	0.9316	0.9265	0.06593	9	0.9941	0	0.376	0.8938	97.0794	98.8607	0.8098	2.06	AlfI:98.36,AloI:97.63,BcgI:98.44,FalI:98.23	1433	9	1699	504	150.66666666666666	ok	97.1186	gamma	97.2954	ok	GCF_000626615.2	GCF_001019455.2	97.1186	USA	United Kingdom: London
NZ_CP007539.2	NZ_JYAK02000001.1	99.937	99.9462	0.9501	0.9804	0.01034	14	0.9925	0	0.07	0.9967	99.8469	99.9724	0.079	1.54	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.93	1832	14	1729	645	124.35714285714286	ok	99.937	gamma	99.9039	ok	GCF_000626615.2	GCF_001019475.1	99.937	USA	missing
NZ_CP007539.2	NZ_CP026072.1	99.9668	99.9668	0.9638	0.9544	0.00804	13	0.9932	3	inf	0.998	99.8967	99.9852	0.0387	0.2	AlfI:99.97,AloI:99.93,BcgI:99.97,FalI:99.97	1854	13	1760	650	135.0	ok	99.9668	uniform	99.942	ok	GCF_000626615.2	GCF_001019485.1	99.9668	USA	USA:Massachusetts
NZ_CP007539.2	NZ_CP026958.1	99.0025	99.366	0.9204	0.9036	0.03717	15	0.991	2	0.178	0.9618	98.821	99.5306	0.323	0.88	AlfI:99.41,AloI:99.09,BcgI:99.35,FalI:99.39	1635	15	1686	508	104.06666666666666	ok	99.0025	gamma	98.9827	ok	GCF_000626615.2	GCF_001019495.2	99.0025	USA	Japan
NZ_CP007539.2	NZ_CP026073.1	98.9123	99.3538	0.9465	0.9419	0.03707	14	0.9919	3	0.156	0.961	98.7624	99.5338	0.7972	3.54	AlfI:99.45,AloI:98.65,BcgI:99.36,FalI:99.39	1673	14	1736	391	114.35714285714286	ok	98.9123	gamma	98.9251	ok	GCF_000626615.2	GCF_001019535.2	98.9123	USA	USA:North Dakota
NZ_CP007539.2	NZ_JYAV02000001.1	99.9393	99.9481	0.9433	0.9776	0.01017	14	0.9924	0	0.07	0.9969	99.8466	99.9748	0.0799	1.36	AlfI:99.95,AloI:99.89,BcgI:99.97,FalI:99.94	1808	14	1726	535	122.92857142857144	ok	99.9393	gamma	99.9037	ok	GCF_000626615.2	GCF_001019555.1	99.9393	USA	missing
NZ_CP007539.2	NZ_JYAX02000001.1	99.9822	99.9827	0.9763	0.9538	0.00575	16	0.9917	0	0.07	0.999	99.963	99.9879	0.0614	0.93	AlfI:99.98,AloI:99.93,BcgI:99.99,FalI:99.98	1967	16	1784	517	113.6875	ok	99.9822	gamma	99.9874	ok	GCF_000626615.2	GCF_001019565.1	99.9822	USA	Denmark
NZ_CP007539.2	NZ_CP026074.1	98.9728	99.3629	0.9401	0.9096	0.03698	16	0.9905	3	0.17	0.9616	98.7947	99.535	0.3984	1.3	AlfI:99.42,AloI:99.02,BcgI:99.34,FalI:99.39	1649	16	1716	394	99.0625	ok	98.9728	gamma	98.9565	ok	GCF_000626615.2	GCF_001019575.2	98.9728	USA	Portugal
NZ_CP007539.2	NZ_LORT02000003.1	99.9309	99.9413	0.964	0.9436	0.01072	11	0.9943	0	0.07	0.9964	99.8402	99.9679	0.0458	1.19	AlfI:99.97,AloI:99.93,BcgI:99.95,FalI:99.93	1840	11	1760	882	158.45454545454547	ok	99.9309	gamma	99.8981	ok	GCF_000626615.2	GCF_001471675.2	99.9309	USA	USA: DC
NZ_CP007539.2	NZ_LOSC02000001.1	99.9268	99.9393	0.9618	0.9024	0.0109	14	0.9926	0	0.07	0.9963	99.8213	99.9703	0.0824	2.83	AlfI:99.98,AloI:99.90,BcgI:99.95,FalI:99.92	1868	14	1760	880	126.21428571428572	ok	99.9268	gamma	99.8829	ok	GCF_000626615.2	GCF_001471695.1	99.9268	USA	USA: DC
NZ_CP007539.2	NZ_CP027101.1	99.9587	99.9587	0.957	0.9335	0.00902	14	0.9925	0	inf	0.9975	99.8769	99.9801	0.0762	0.9	AlfI:99.97,AloI:99.90,BcgI:99.97,FalI:99.95	1826	14	1746	643	123.92857142857144	ok	99.9587	uniform	99.9271	ok	GCF_000626615.2	GCF_001471715.2	99.9587	USA	USA: DC
NZ_CP007539.2	NZ_CP014064.2	98.9441	99.3499	0.9297	0.9215	0.03761	14	0.9917	0	0.17	0.9608	98.7714	99.526	0.2965	0.8	AlfI:99.39,AloI:99.09,BcgI:99.33,FalI:99.38	1630	14	1696	571	111.78571428571428	ok	98.9441	gamma	98.9354	ok	GCF_000626615.2	GCF_001558795.2	98.9441	USA	USA:DC
NZ_CP007539.2	NZ_NJFS02000001.1	96.9185	98.163	0.9712	0.9428	0.06758	10	0.9936	0	0.392	0.8858	96.9263	98.7876	0.5632	0.95	AlfI:98.18,AloI:97.64,BcgI:98.19,FalI:98.20	1520	10	1759	715	140.3	ok	96.9185	gamma	97.1412	ok	GCF_000626615.2	GCF_002206395.1	96.9185	USA	missing
NZ_CP007539.2	NZ_CP023500.1	99.9744	99.9744	0.953	0.964	0.00709	12	0.9937	0	inf	0.9985	99.9241	99.9876	0.06	0.9	AlfI:99.99,AloI:99.93,BcgI:99.97,FalI:99.97	1836	12	1743	890	145.33333333333334	ok	99.9744	uniform	99.9623	ok	GCF_000626615.2	GCF_002386245.1	99.9744	USA	missing
NZ_CP007539.2	NZ_PDDS01000001.1	98.9578	99.3571	0.9306	0.9239	0.03738	15	0.9912	0	0.17	0.9612	98.7808	99.532	0.3623	1.04	AlfI:99.41,AloI:99.05,BcgI:99.35,FalI:99.38	1653	15	1696	571	105.86666666666666	ok	98.9578	gamma	98.9443	ok	GCF_000626615.2	GCF_002554295.1	98.9578	USA	USA: MD
NZ_CP007539.2	NZ_CP033865.1	97.0366	98.2563	0.9399	0.9308	0.06632	9	0.9941	0	0.376	0.892	97.0119	98.8599	0.6996	1.8	AlfI:98.38,AloI:97.69,BcgI:98.39,FalI:98.19	1450	9	1718	667	151.33333333333334	ok	97.0366	gamma	97.2279	ok	GCF_000626615.2	GCF_003827915.1	97.0366	USA	missing
NZ_CP007539.2	NZ_RKJB01000002.1	98.9565	99.352	0.9368	0.9051	0.03743	15	0.9911	3	0.176	0.9609	98.7698	99.529	0.3928	1.2	AlfI:99.40,AloI:99.01,BcgI:99.34,FalI:99.38	1646	15	1707	385	105.13333333333334	ok	98.9565	gamma	98.9334	ok	GCF_000626615.2	GCF_003937725.1	98.9565	USA	missing
NZ_CP007539.2	NZ_RKJC01000002.1	98.9562	99.3537	0.9357	0.9118	0.03739	14	0.9917	3	0.173	0.961	98.7777	99.5287	0.3434	0.94	AlfI:99.40,AloI:99.06,BcgI:99.35,FalI:99.37	1637	14	1705	575	112.28571428571428	ok	98.9562	gamma	98.941	ok	GCF_000626615.2	GCF_003938815.1	98.9562	USA	missing
NZ_CP007539.2	NZ_CP040998.1	99.962	99.9643	0.9492	0.9549	0.0084	13	0.9931	0	0.07	0.9978	99.9331	99.9725	0.0949	2.27	AlfI:99.99,AloI:99.90,BcgI:99.98,FalI:99.95	1839	13	1729	526	133.46153846153845	ok	99.962	gamma	99.9686	ok	GCF_000626615.2	GCF_006364675.1	99.962	USA	USA:VA
NZ_CP007539.2	NZ_CP041010.1	99.9383	99.9475	0.9691	0.9512	0.0101	10	0.9948	0	0.07	0.9968	99.841	99.9754	0.0733	0.92	AlfI:99.97,AloI:99.90,BcgI:99.95,FalI:99.94	1844	10	1770	653	174.1	ok	99.9383	gamma	99.8987	ok	GCF_000626615.2	GCF_006364775.1	99.9383	USA	USA:VA
NZ_CP007539.2	NZ_VFAE01000004.1	98.9393	99.3725	0.9315	0.9446	0.03699	11	0.9936	0	0.156	0.9622	98.7678	99.5555	0.5704	2.49	AlfI:99.31,AloI:98.89,BcgI:99.46,FalI:99.40	1612	11	1691	576	141.8181818181818	ok	98.9393	gamma	98.9323	ok	GCF_000626615.2	GCF_006370485.1	98.9393	USA	USA: Miami, FL
NZ_CP007539.2	NZ_CP044106.1	97.9291	98.5888	0.9492	0.9539	0.05761	10	0.9938	3	0.428	0.9135	97.6862	98.9602	0.4233	0.95	AlfI:98.75,AloI:98.32,BcgI:98.59,FalI:98.55	1548	10	1727	735	145.7	ok	97.9291	gamma	97.888	ok	GCF_000626615.2	GCF_008693765.1	97.9291	USA	USA: KY
NZ_CP007539.2	NZ_CP068143.1	98.8023	99.3289	0.9334	0.9475	0.0382	12	0.993	0	0.147	0.9595	98.6786	99.5293	0.5558	2.32	AlfI:99.45,AloI:98.90,BcgI:99.36,FalI:99.31	1640	12	1709	616	130.5	ok	98.8023	gamma	98.8468	ok	GCF_000626615.2	GCF_016727585.1	98.8023	USA	Germany:Langen
NZ_CP007539.2	NZ_CP069470.1	99.9406	99.949	0.9603	0.9435	0.01001	12	0.9937	0	0.07	0.9969	99.849	99.9752	0.0512	1.87	AlfI:99.98,AloI:99.93,BcgI:99.96,FalI:99.93	1835	12	1754	883	145.08333333333334	ok	99.9406	gamma	99.9053	ok	GCF_000626615.2	GCF_016889145.1	99.9406	USA	USA:MD
NZ_CP007539.2	NZ_CP069565.1	99.9406	99.949	0.9596	0.9439	0.01001	12	0.9937	0	0.07	0.9969	99.849	99.9752	0.0512	1.87	AlfI:99.98,AloI:99.93,BcgI:99.96,FalI:99.93	1835	12	1754	836	145.08333333333334	ok	99.9406	gamma	99.9053	ok	GCF_000626615.2	GCF_016889945.1	99.9406	USA	USA:MD
NZ_JXZH02000001.1	NZ_CP026964.1	98.7232	99.2244	0.8971	0.9274	0.04132	17	0.9928	2	0.194	0.9531	98.5491	99.44	0.6962	2.65	AlfI:99.23,AloI:98.60,BcgI:99.23,FalI:99.29	1614	17	1707	278	90.47058823529412	ok	98.7232	gamma	98.7235	ok	GCF_001018635.1	GCF_001018645.1	98.7232	USA:NY	United Kingdom
NZ_JXZH02000001.1	NZ_CP026962.1	99.3697	99.6746	0.891	0.945	0.02612	18	0.9926	2	0.07	0.9804	99.2771	99.7848	0.1251	1.12	AlfI:99.71,AloI:99.60,BcgI:99.73,FalI:99.63	1700	18	1695	255	89.83333333333333	ok	99.3697	gamma	99.4067	ok	GCF_001018635.1	GCF_001018655.2	99.3697	USA:NY	missing
NZ_JXZH02000001.1	NZ_CP026076.1	99.2543	99.6471	0.9206	0.9688	0.02691	17	0.9933	2	0.07	0.9787	99.1665	99.7819	0.0925	0.77	AlfI:99.70,AloI:99.61,BcgI:99.68,FalI:99.61	1732	17	1746	339	97.23529411764706	ok	99.2543	gamma	99.3031	ok	GCF_001018635.1	GCF_001018685.1	99.2543	USA:NY	USA:Texas
NZ_JXZH02000001.1	NZ_JXZO02000002.1	99.2308	99.642	0.9062	0.9482	0.0273	22	0.9902	2	0.07	0.9784	99.1461	99.7813	0.1287	1.14	AlfI:99.68,AloI:99.57,BcgI:99.70,FalI:99.59	1730	22	1723	339	74.5	ok	99.2308	gamma	99.2851	ok	GCF_001018635.1	GCF_001018715.1	99.2308	USA:NY	missing
NZ_JXZH02000001.1	NZ_CP026961.1	99.2641	99.6486	0.9139	0.9379	0.02695	21	0.9914	6	0.07	0.9788	99.1786	99.7802	0.1037	1.05	AlfI:99.69,AloI:99.68,BcgI:99.70,FalI:99.59	1735	21	1732	339	78.14285714285714	ok	99.2641	gamma	99.3148	ok	GCF_001018635.1	GCF_001018725.1	99.2641	USA:NY	French Guiana
NZ_JXZH02000001.1	NZ_CP026080.1	99.2844	99.6562	0.9042	0.9596	0.02676	18	0.9932	2	0.07	0.9793	99.1908	99.7864	0.1494	1.43	AlfI:99.70,AloI:99.57,BcgI:99.72,FalI:99.61	1705	18	1717	339	90.5	ok	99.2844	gamma	99.3266	ok	GCF_001018635.1	GCF_001018735.2	99.2844	USA:NY	missing
