pairid	anim_ani	band	n_syn2b	n_dnadiff	n_matched	n_syn2b_only	n_dnadiff_only	median_dist	max_dist	shared_tags	spacing_bp	observable_fraction	dists
GCA_902581925.1__GCA_902521615.1		unknown	0	1	0	0	1			88	51136	0.8261	
GCF_009689985.1__GCF_000476275.1		unknown	8	6	6	2	0	8044	626953	357	12605	0.9722	978,4517,4737,11351,358428,626953
GCF_013031245.1__GCF_000743705.1		unknown	2	8	2	0	6	847380	1655970	95	47368	0.7241	38789,1655970
GCA_015066175.1__GCA_017935325.1		unknown	28	25	25	3	0	27150	654380	197	22843	0.9737	153,442,1316,1494,2528,3595,4121,4690,7167,11785,16508,26178,27150,55324,62914,69827,72813,77949,83287,119873,135987,159508,319137,635163,654380
GCF_001875725.1__GCF_001767255.1		unknown	6	14	6	0	8	33410	294706	559	8050	0.9588	5838,17488,24664,42155,73767,294706
GCA_900319935.1__GCA_902761055.1		unknown	10	8	8	2	0	92328	257525	231	19481	0.5820	8635,56518,57067,72759,111897,179296,225804,257525
GCA_004020365.1__GCF_000359125.1		unknown	29	24	24	5	0	63532	510548	596	7550	0.8226	362,3193,6417,7120,11807,13872,21420,29382,34733,38838,44661,55359,71706,73251,90487,97583,107234,146186,167364,197875,222033,268340,441746,510548
GCF_014205895.1__GCF_000170955.2		unknown	0	9	0	0	9			124	36290	0.9658	
GCF_003943735.1__GCF_013343115.1		unknown	2	22	2	0	20	75514	150650	816	5515	0.9755	379,150650
GCA_018647405.1__GCA_902552015.1		unknown	0	5	0	0	5			19	236842	0.0000	
GCA_017642425.1__GCA_902782245.1		unknown	1	42	1	0	41	122369	122369	98	45918	0.5185	122369
GCA_012972825.1__GCA_903940125.1		unknown	6	13	6	0	7	39952	915078	282	15957	0.7964	865,18463,24334,55571,150983,915078
GCA_003149565.1__GCF_002115725.1		unknown	1	1	1	0	0	3317316	3317316	123	36585	0.5957	3317316
GCA_905221255.1__GCA_905221225.1		unknown	26	31	26	0	5	23232	707545	161	27950	0.9930	53,2087,3612,4631,4721,4735,5329,6764,8470,8660,12016,16707,19808,26655,26912,49549,51476,58784,75711,88497,89573,104562,147910,195554,700967,707545
GCA_003151875.1__GCA_003151335.1		unknown	22	19	19	3	0	82961	2148688	624	7212	0.5456	607,2111,3651,4241,4497,33580,51695,55903,67888,82961,163842,178248,317022,408702,648207,732345,954145,1936778,2148688
GCF_001045465.1__GCF_012927325.1		unknown	2	9	2	0	7	6402	12028	119	37815	0.9756	775,12028
GCF_004785665.1__GCF_002902565.1		unknown	7	18	7	0	11	75663	124206	252	17857	0.9894	5267,18287,46846,75663,79334,118016,124206
GCA_902623395.1__GCA_902596205.1		unknown	0	1	0	0	1			22	204545	0.6000	
GCA_900469965.1__GCF_014196765.1		unknown	15	18	15	0	3	121166	4014138	862	5220	0.9574	3499,6848,10455,25713,34653,68290,83908,121166,180148,675652,2708717,3087664,3245052,3646370,4014138
GCF_014252095.1__GCF_000022605.2		unknown	0	5	0	0	5			6	750000	1.0000	
GCA_902595515.1__GCA_902530325.1		unknown	1	9	1	0	8	675960	675960	128	35156	0.8969	675960
GCA_017555685.1__GCA_017387505.1		unknown	4	3	3	1	0	171967	398224	87	51724	0.4493	145570,171967,398224
GCA_900759015.1__GCA_900754085.1		unknown	0	3	0	0	3			18	250000	1.0000	
GCF_018882465.1__GCF_018687735.1		unknown	0	3	0	0	3			66	68182	0.9692	
GCF_008086045.1__GCF_005893125.1		unknown	36	92	36	0	56	130992	1273606	720	6250	0.9479	866,4282,4743,4776,6166,7927,11888,17303,31723,32618,37816,85843,99204,100512,101247,107407,119054,129274,132711,139491,150381,196238,197839,199122,224682,235066,291606,311411,322978,466085,642179,824306,850477,868852,1106168,1273606
GCA_902619675.1__GCA_902596205.1		unknown	0	1	0	0	1			18	250000	0.5385	
GCF_003634615.1__GCF_014486695.1		unknown	0	20	0	0	20			89	50562	0.9872	
GCF_000799375.1__GCF_002025665.1		unknown	6	37	6	0	31	9010	55720	590	7627	0.9881	2003,6674,7993,10027,49536,55720
GCF_018881655.1__GCF_000019745.1		unknown	1	0	0	1	0			49	91837	0.7708	
GCA_003281385.1__GCF_017696275.1		unknown	0	6	0	0	6			190	23684	0.8717	
GCA_900313795.1__GCA_902783835.1		unknown	4	11	4	0	7	207838	394268	222	20270	0.5380	6786,35166,380509,394268
GCF_003234855.1__GCF_003234795.1		unknown	2	12	2	0	10	180298	187739	450	10000	0.9641	172858,187739
GCF_002858865.1__GCA_002280275.1		unknown	10	24	10	0	14	68212	257035	706	6374	0.9951	985,7245,8970,44658,61109,75316,75537,79430,104970,257035
GCA_900553415.1__GCA_900545075.1		unknown	4	6	4	0	2	80026	430869	733	6139	0.7613	32912,40574,119477,430869
GCA_003212535.1__GCA_902617605.1		unknown	0	1	0	0	1			21	214286	0.5714	
GCF_003732485.1__GCF_017114915.1		unknown	14	6	6	8	0	463096	1925518	231	19481	0.9135	98876,236513,291864,634327,1841614,1925518
GCA_003279535.1__GCA_003278685.1		unknown	0	4	0	0	4			75	60000	0.7407	
GCA_018376905.1__GCA_905197665.1		unknown	9	11	9	0	2	71206	836447	989	4550	0.9580	300,14012,52540,56770,71206,153895,799352,831283,836447
GCF_001482285.1__GCF_000337795.1		unknown	12	12	12	0	0	752223	3115085	1037	4339	0.9657	30869,114837,119120,130993,192735,495328,1009118,1255928,1442649,1876770,2059001,3115085
GCF_014251255.1__GCF_000236405.1		unknown	0	1	0	0	1			11	409091	1.0000	
GCF_013393325.1__GCF_000730605.1		unknown	17	9	9	8	0	203477	3040332	1133	3972	0.9756	387,9297,48631,99659,203477,203501,541170,2645937,3040332
GCA_902621205.1__GCA_902617515.1		unknown	0	2	0	0	2			218	20642	0.9471	
GCF_001427145.1__GCF_012847295.1		unknown	4	13	4	0	9	10109	34984	114	39474	0.9815	4630,5366,14852,34984
GCA_003209755.1__GCA_003215895.1		unknown	0	2	0	0	2			85	52941	0.9189	
GCA_018816095.1__GCA_017886405.1		unknown	0	2	0	0	2			97	46392	0.6400	
GCA_902512655.1__GCA_902511425.1		unknown	0	5	0	0	5			18	250000	0.7500	
GCA_003213515.1__GCA_902564295.1		unknown	0	5	0	0	5			206	21845	0.9494	
GCA_902617025.1__GCA_902577575.1		unknown	0	2	0	0	2			29	155172	0.7778	
GCA_003278685.1__GCA_902536725.1		unknown	0	4	0	0	4			199	22613	0.8580	
GCF_002101295.1__GCA_902616205.1		unknown	0	4	0	0	4			114	39474	1.0000	
GCA_902629285.1__GCA_902589725.1		unknown	2	1	1	1	0	894847	894847	33	136364	0.7000	894847
GCF_002090175.1__GCF_002090055.1		unknown	3	1	1	2	0	75494	75494	140	32143	0.9836	75494
GCA_017619755.1__GCA_902792855.1		unknown	3	22	3	0	19	74593	123155	197	22843	0.8542	18770,74593,123155
GCF_014205895.1__GCF_014201705.1		unknown	0	5	0	0	5			103	43689	0.9794	
GCF_018882365.1__GCF_018687675.1		unknown	0	8	0	0	8			68	66176	0.9403	
GCF_012027555.1__GCF_012027395.1		unknown	9	18	9	0	9	11783	178703	307	14658	0.9834	1205,2293,5124,7247,11783,37440,113386,126535,178703
GCA_902610105.1__GCA_902535165.1		unknown	0	1	0	0	1			39	115385	0.3333	
GCF_001816145.1__GCF_000715495.1		unknown	11	13	11	0	2	361406	3916579	247	18219	0.8571	2732,40289,48942,66496,220910,361406,391138,461088,701504,3677194,3916579
GCF_009829325.1__GCF_000308435.1		unknown	29	19	19	10	0	212084	1307075	1383	3254	0.9760	594,1558,3490,5526,50311,50769,70881,73488,77543,212084,212590,219819,361550,387648,862967,885672,908172,1132800,1307075
GCF_000948395.1__GCF_902806485.1		unknown	7	13	7	0	6	77470	852513	1106	4069	0.9770	10555,45110,46918,77470,141162,372485,852513
GCA_012511245.1__GCA_002498065.1		unknown	0	6	0	0	6			57	78947	0.1579	
GCA_014058405.1__GCA_902500755.1		unknown	3	22	3	0	19	7445	137217	404	11139	1.0000	2634,7445,137217
GCA_003281085.1__GCA_902595195.1		unknown	0	6	0	0	6			174	25862	0.9470	
GCA_902630915.1__GCA_902624495.1		unknown	0	2	0	0	2			14	321429	0.2000	
GCA_003208885.1__GCA_003212005.1		unknown	0	3	0	0	3			16	281250	0.2857	
GCF_900445265.1__GCF_016798225.1		unknown	1	15	1	0	14	17087	17087	38	118421	1.0000	17087
GCA_902598315.1__GCA_902593905.1		unknown	0	1	0	0	1			17	264706	0.8000	
GCA_003279765.1__GCA_902596355.1		unknown	0	1	0	0	1			17	264706	1.0000	
GCA_900551885.1__GCF_018228705.1		unknown	10	10	10	0	0	136020	1269974	175	25714	0.4195	1153,16093,44170,48463,51605,220435,296514,373727,529083,1269974
GCA_003277985.1__GCA_003280445.1		unknown	0	2	0	0	2			90	50000	0.8361	
GCA_017964785.1__GCA_017618275.1		unknown	0	10	0	0	10			83	54217	0.3333	
GCF_900187225.1__GCF_014229245.1		unknown	0	17	0	0	17			283	15901	0.9962	
GCF_001619615.1__GCF_017833635.1		unknown	0	3	0	0	3			175	25714	0.8148	
GCF_018343815.1__GCF_002895085.1		unknown	0	1	0	0	1			32	140625	1.0000	
GCA_003170875.1__GCA_003134115.1		unknown	0	1	0	0	1			259	17375	0.5679	
GCF_003700275.1__GCF_015471405.1		unknown	9	18	9	0	9	140664	541543	697	6456	0.9250	1569,29117,57829,139063,140664,325817,353669,423813,541543
GCA_902635665.1__GCA_902566705.1		unknown	0	2	0	0	2			43	104651	0.4074	
GCA_016870675.1__GCA_016783995.1		unknown	0	2	0	0	2			141	31915	0.5152	
GCA_017505635.1__GCA_017442085.1		unknown	9	22	9	0	13	8337	138750	196	22959	0.9675	1980,2305,3115,4019,8337,14659,25428,68869,138750
GCA_003282965.1__GCA_902569735.1		unknown	0	4	0	0	4			7	642857	1.0000	
GCA_012511235.1__GCA_002432715.1		unknown	0	1	0	0	1			114	39474	0.1600	
GCA_003278165.1__GCA_902565325.1		unknown	0	3	0	0	3			14	321429	0.0000	
GCA_004293385.1__GCA_003569165.1		unknown	0	1	0	0	1			119	37815	0.3093	
GCA_902616675.1__GCA_902573835.1		unknown	0	1	0	0	1			49	91837	0.9143	
GCA_902610845.1__GCA_902517315.1		unknown	0	3	0	0	3			95	47368	0.9028	
GCA_005503215.1__GCF_001468285.1		unknown	43	23	23	20	0	62886	439622	380	11842	0.9837	2547,3382,4436,6016,15984,22498,22696,23080,24667,37980,60192,62886,66137,71525,82777,86566,100269,122519,129228,154908,211575,285480,439622
GCA_017477555.1__GCA_902781045.1		unknown	26	27	26	0	1	113863	3518720	431	10441	0.7473	937,1883,1902,2922,5449,5706,11311,12267,26796,32010,87025,100092,110899,116827,124858,152824,182287,449724,1696616,1841615,2437052,2923339,2978785,3260903,3488804,3518720
GCF_001485575.1__GCF_000011085.1		unknown	2	37	2	0	35	3132	4444	874	5149	0.9943	1819,4444
GCA_902599655.1__GCA_902538565.1		unknown	0	1	0	0	1			111	40541	0.8598	
GCF_003555505.1__GCA_015295825.1		unknown	20	35	20	0	15	4158	135388	394	11421	1.0000	251,982,1593,1733,1985,2178,2650,3030,3190,3801,4514,5780,6539,8294,8936,11526,26650,33354,38542,135388
GCA_003279765.1__GCA_902533445.1		unknown	0	2	0	0	2			58	77586	0.5957	
GCA_003212115.1__GCA_000634515.1		unknown	0	5	0	0	5			63	71429	0.5385	
GCA_902590535.1__GCA_902564785.1		unknown	0	3	0	0	3			55	81818	0.8649	
GCA_902615845.1__GCA_902580765.1		unknown	0	2	0	0	2			203	22167	0.9429	
GCA_902557605.1__GCA_902552345.1		unknown	0	1	0	0	1			20	225000	0.0909	
GCA_902559605.1__GCA_902538525.1		unknown	0	2	0	0	2			85	52941	0.8767	
GCF_002013375.1__GCF_014204435.1		unknown	4	3	3	1	0	1085964	1415421	191	23560	0.8701	860686,1085964,1415421
GCA_003222085.1__GCA_003221085.1		unknown	3	10	3	0	7	363635	512307	205	21951	0.8659	7072,363635,512307
GCF_005774735.1__GCF_003075375.1		unknown	0	2	0	0	2			193	23316	0.6327	
GCA_905620505.1__GCA_905618885.1		unknown	0	1	0	0	1			12	375000	0.8333	
GCF_003253005.1__GCF_900638025.1		unknown	20	22	20	0	2	44791	1688063	355	12676	0.9661	276,412,881,1030,1108,2794,2818,3326,11634,37233,52349,52573,78820,79001,93973,244799,727267,741242,1245394,1688063
GCF_012844365.1__GCF_004745485.1		unknown	7	20	7	0	13	2551	23500	586	7679	0.9982	110,325,327,2551,6591,22154,23500
GCF_001591585.1__GCA_900199695.1		unknown	2	17	2	0	15	178233	237771	136	33088	0.7619	118695,237771
GCA_902632275.1__GCA_902560565.1		unknown	0	2	0	0	2			49	91837	0.9189	
GCA_902600205.1__GCA_902526085.1		unknown	0	2	0	0	2			24	187500	0.9231	
GCF_900111995.1__GCF_900107095.1		unknown	14	9	9	5	0	171437	674912	1015	4433	0.9480	2283,2906,103646,127384,171437,174638,273878,569390,674912
GCA_017483575.1__GCA_002372855.1		unknown	4	10	4	0	6	96367	205614	194	23196	0.9688	123,68804,123930,205614
GCA_003278535.1__GCA_902534675.1		unknown	1	4	1	0	3	281	281	101	44554	0.8169	281
GCF_016901995.1__GCA_018884025.1		unknown	2	4	2	0	2	390925	733086	249	18072	0.8931	48764,733086
GCF_004769615.1__GCF_000244755.1		unknown	0	4	0	0	4			78	57692	0.6857	
GCF_004522235.1__GCF_000411975.1		unknown	47	20	20	27	0	137922	406169	3064	1469	0.9799	622,888,12387,14221,14346,74463,79765,98718,99419,99712,176131,189964,230685,254934,327483,346193,347895,352171,384793,406169
GCA_902611415.1__GCA_902542505.1		unknown	0	3	0	0	3			136	33088	0.9320	
GCF_001557115.1__GCA_903934325.1		unknown	5	0	0	5	0			181	24862	0.5972	
GCF_003943465.1__GCF_902460355.1		unknown	9	19	9	0	10	28624	99736	522	8621	0.9706	1244,3599,6044,17596,28624,40650,80774,91929,99736
GCF_002222055.1__GCF_902804475.1		unknown	1	14	1	0	13	3329	3329	195	23077	0.9316	3329
GCF_900604965.1__GCF_000814825.1		unknown	2	9	2	0	7	5274	5492	171	26316	1.0000	5055,5492
GCA_004307455.1__GCF_011090385.1		unknown	2	12	2	0	10	315498	612343	110	40909	0.9596	18653,612343
GCA_902623545.1__GCA_902580765.1		unknown	0	1	0	0	1			63	71429	0.8511	
GCF_000413935.1__GCF_000369525.1		unknown	7	22	7	0	15	85307	352123	357	12605	0.9886	11932,18830,57408,85307,112325,348637,352123
GCA_902635665.1__GCA_902528575.1		unknown	0	2	0	0	2			65	69231	0.6176	
GCA_014653775.1__GCA_902518595.1		unknown	0	1	0	0	1			14	321429	0.6667	
GCA_902602845.1__GCA_902574475.1		unknown	0	1	0	0	1			42	107143	0.7143	
GCA_902602515.1__GCA_902518985.1		unknown	0	1	0	0	1			16	281250	1.0000	
GCA_902628835.1__GCA_902577905.1		unknown	0	3	0	0	3			95	47368	0.8649	
GCF_003725545.1__GCF_016802865.1		unknown	4	5	4	0	1	148890	1073495	291	15464	0.8380	1661,128691,169090,1073495
GCA_017441705.1__GCA_902772625.1		unknown	1	0	0	1	0			81	55556	0.8095	
GCA_003513765.1__GCA_014635205.1		unknown	3	0	0	3	0			58	77586	0.9074	
GCA_902605605.1__GCA_902536575.1		unknown	0	2	0	0	2			51	88235	0.7879	
GCA_900547915.1__GCA_900539425.1		unknown	0	1	0	0	1			131	34351	0.2737	
GCA_902566945.1__GCA_902536385.1		unknown	0	2	0	0	2			11	409091	0.3333	
GCA_003212295.1__GCA_014654455.1		unknown	0	1	0	0	1			9	500000	0.5000	
GCF_001492295.1__GCA_014305285.1		unknown	4	26	4	0	22	15806	105903	53	84906	0.9762	7363,8573,23040,105903
GCF_000686565.1__GCF_900198365.1		unknown	218	43	43	175	0	3040	63997	849	5300	0.9592	27,229,277,328,484,628,653,725,776,981,987,1433,1438,1438,1534,1824,2065,2152,2268,2378,2380,3040,3927,4165,5063,6072,6351,6654,7320,7490,7807,7912,9962,10862,11350,13850,15021,17308,19615,22744,23755,46114,63997
GCF_009268075.1__GCF_009268105.1		unknown	0	4	0	0	4			4	1125000	1.0000	
GCF_001751255.1__GCF_001418285.1		unknown	4	9	4	0	5	76134	1301326	489	9202	0.4654	63427,72886,79383,1301326
GCA_003209055.1__GCA_003279855.1		unknown	3	8	3	0	5	41011	669165	54	83333	0.4889	252,41011,669165
GCA_900552015.1__GCA_900763705.1		unknown	14	7	7	7	0	9592	245516	412	10922	0.8774	361,6807,7012,9592,84831,190548,245516
GCA_014653665.1__GCA_902519455.1		unknown	0	2	0	0	2			42	107143	0.8571	
GCF_900239975.1__GCF_900634605.1		unknown	0	1	0	0	1			43	104651	0.9756	
GCA_017551215.1__GCA_017428325.1		unknown	0	15	0	0	15			69	65217	0.1587	
GCA_011682695.1__GCA_002897675.1		unknown	0	3	0	0	3			170	26471	0.5912	
GCA_900552705.1__GCA_900758845.1		unknown	5	7	5	0	2	244172	373623	819	5495	0.8000	3684,170768,244172,341904,373623
GCA_902604975.1__GCA_902599955.1		unknown	0	1	0	0	1			32	140625	0.8889	
GCA_017962175.1__GCA_016286055.1		unknown	14	32	14	0	18	38882	427119	523	8604	0.5931	634,3261,4666,4905,13034,13748,29156,48608,102003,169170,181394,186242,206596,427119
GCA_003553695.1__GCF_000174435.1		unknown	5	18	5	0	13	117026	209661	168	26786	0.4695	12121,24022,117026,197872,209661
GCA_018662715.1__GCA_002505405.1		unknown	0	1	0	0	1			49	91837	0.3077	
GCA_002720735.1__GCA_002691825.1		unknown	0	2	0	0	2			29	155172	0.8000	
GCA_902627045.1__GCA_902621345.1		unknown	1	3	1	0	2	102521	102521	62	72581	0.6949	102521
GCA_902578175.1__GCA_902537905.1		unknown	0	1	0	0	1			66	68182	0.8043	
GCF_004348595.1__GCF_002926165.1		unknown	4	8	4	0	4	200606	645805	301	14950	0.6368	10972,24276,376936,645805
GCF_019104765.1__GCF_000179235.2		unknown	7	9	7	0	2	135503	1697299	329	13678	0.9604	5874,20754,69406,135503,153455,719765,1697299
GCF_002156965.1__GCA_905612275.1		unknown	0	17	0	0	17			18	250000	1.0000	
GCF_001588645.1__GCF_000257905.1		unknown	11	23	11	0	12	26166	107980	127	35433	0.9213	2229,2753,4082,4735,5642,26166,30853,56180,70935,80741,107980
GCA_900541695.1__GCA_014846205.1		unknown	1	2	1	0	1	195361	195361	271	16605	1.0000	195361
GCF_011516935.1__GCF_000613905.1		unknown	1	8	1	0	7	7762	7762	89	50562	0.8293	7762
GCA_902622985.1__GCA_902617525.1		unknown	0	2	0	0	2			280	16071	0.9608	
GCF_016908695.1__GCA_905206915.1		unknown	0	8	0	0	8			214	21028	0.9655	
GCA_017551705.1__GCA_002391235.1		unknown	3	25	3	0	22	47367	169818	124	36290	0.6771	3190,47367,169818
GCA_002702385.1__GCA_902554655.1		unknown	0	1	0	0	1			25	180000	0.4000	
GCA_902595715.1__GCA_902514765.1		unknown	0	1	0	0	1			61	73770	0.8636	
GCA_003279535.1__GCA_902535175.1		unknown	0	2	0	0	2			75	60000	0.7759	
GCA_902629535.1__GCA_902520335.1		unknown	0	1	0	0	1			43	104651	0.6452	
GCA_902625125.1__GCA_902537845.1		unknown	0	1	0	0	1			13	346154	0.4000	
GCA_015478775.1__GCA_012841425.1		unknown	1	2	1	0	1	248860	248860	78	57692	0.9333	248860
GCA_013390785.1__GCA_902578515.1		unknown	0	6	0	0	6			16	281250	1.0000	
