query	reference	sv_type	q_contig	q_start	q_end	r_contig	r_start	r_end	size	support_left	support_right
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig5	187127	191695	FSHHK16M1_ctg_contig1	370022	377768	3178	3	69
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig5	191695	192030	FSHHK16M1_ctg_contig1	367867	370022	1820	4	68
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig6	117	9443	FSHHK16M1_ctg_contig1	340634	345899	9326	0	34
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig6	753	4299	FSHHK16M1_ctg_contig1	344146	345271	2421	2	8
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig6	4623	6870	FSHHK16M1_ctg_contig1	343204	343822	1629	4	6
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig6	20492	35078	FSHHK16M1_ctg_contig1	302779	317370	14586	10	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig7	3264	5277	FSHHK16M1_ctg_contig1	858178	858657	1534	2	15
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig7	9641	10343	FSHHK16M1_ctg_contig1	862807	864737	1228	8	9
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig7	13421	20092	FSHHK16M1_ctg_contig1	867815	872809	1677	17	181
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig7	108226	118058	FSHHK16M1_ctg_contig1	960982	962615	8199	181	46
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBO41M2_ctg_contig7	141029	142273	FSHHK16M1_ctg_contig3	122765	122765	1244	46	39
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig7	142038	166719	FSHHK16M1_ctg_contig3	99741	122998	24681	46	125
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig7	157829	160136	FSHHK16M1_ctg_contig3	106306	107211	1402	27	12
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig7	166484	184090	FSHHK16M1_ctg_contig3	85459	99974	3091	39	125
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig7	183931	247714	FSHHK16M1_ctg_contig3	16813	85616	63783	39	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig7	199760	200948	FSHHK16M1_ctg_contig3	65141	69987	3658	31	94
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig7	231943	233853	FSHHK16M1_ctg_contig3	30678	34107	1519	105	20
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig8	25234	26021	FSHHK16M1_ctg_contig11	66041	69391	2563	29	19
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBO41M2_ctg_contig8	36800	38799	FSHHK16M1_ctg_contig2	589	589	1999	48	329
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig8	162974	164304	FSHHK16M1_ctg_contig2	124385	143177	17462	249	80
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig8	164391	166781	FSHHK16M1_ctg_contig2	143264	144369	1285	251	78
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig12	60648	137919	FSHHK16M1_ctg_contig1	119613	195913	77271	0	27
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig12	137748	143927	FSHHK16M1_ctg_contig1	118297	119784	4692	139	27
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig12	143693	162153	FSHHK16M1_ctg_contig1	98861	118531	18460	139	4
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig12	158813	159684	FSHHK16M1_ctg_contig1	101325	103406	1210	19	8
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig15	71180	71668	FSHHK16M1_ctg_contig7	71292	82568	10788	75	79
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig15	93590	95836	FSHHK16M1_ctg_contig7	104546	107810	1018	117	37
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig15	97797	98823	FSHHK16M1_ctg_contig7	109772	117921	7123	122	32
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig16	57754	61807	FSHHK16M1_ctg_contig1	58135	63407	1219	107	71
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig16	65835	68231	FSHHK16M1_ctg_contig1	67448	68728	1116	5	66
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig17	17981	75602	FSHHK16M1_ctg_contig12	1820	61047	57621	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig17	42456	44191	FSHHK16M1_ctg_contig12	33298	36572	1539	62	63
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig19	442	69480	FSHHK16M1_ctg_contig10	1101	79448	69038	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig19	41881	44219	FSHHK16M1_ctg_contig10	36968	37730	1576	83	57
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig19	48257	50488	FSHHK16M1_ctg_contig10	20102	32930	10597	97	43
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig20	408	18059	FSHHK16M1_ctg_contig6	33929	51539	17651	0	69
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Insertion	FHNBO41M2_ctg_contig20	17943	25827	FSHHK16M1_ctg_contig6	32665	34045	6504	54	69
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig20	25670	57855	FSHHK16M1_ctg_contig6	744	32819	32185	54	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Translocation	FHNBO41M2_ctg_contig21	30820	31373	FSHHK16M1_ctg_contig3	436	436	553	65	24
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig23	442	6778	FSHHK16M1_ctg_contig11	35572	41845	6336	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig24	240	14371	FSHHK16M1_ctg_contig11	18801	32830	14131	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig26	307	27255	FSHHK16M1_ctg_contig13	3089	32649	26948	0	0
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Deletion	FHNBO41M2_ctg_contig26	21207	21692	FSHHK16M1_ctg_contig13	8659	11105	1961	51	13
FHNBO41M2_ctg_contig1	FSHHK16M1_ctg_contig1	Inversion	FHNBO41M2_ctg_contig27	2134	18955	FSHHK16M1_ctg_contig10	80727	97088	16821	0	0
