query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	flag
del	inv	99.9999	99.9999	0.9986	0.9986	0.49943	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	3	1381	1381	466.3333333333333	ok	99.9999	uniform	100.0000	ok
del	transloc	99.9999	99.9999	0.9986	0.9986	0.49943	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	3	1381	1381	466.3333333333333	ok	99.9999	uniform	100.0000	ok
del	mut1	99.0300	99.0300	0.9986	0.9987	0.05053	3	0.9985	2	inf	0.9416	99.0976	99.0087	0.5393	1.55	AlfI:99.01,AloI:99.43,BcgI:98.89,FalI:99.07	1405	3	1381	1305	440.3333333333333	ok	99.0300	uniform	99.2568	ok
del	mut1_del	98.9507	98.9507	0.9986	0.9986	0.05290	3	0.9985	2	inf	0.9367	98.9091	98.9643	0.5106	0.88	AlfI:98.85,AloI:98.50,BcgI:99.01,FalI:98.99	1395	3	1381	1289	435	ok	98.9507	uniform	99.0823	ok
del	mut1_inv	98.9325	98.9325	0.9987	0.9987	0.05349	3	0.9985	2	inf	0.9356	98.8390	98.9633	0.2039	0.80	AlfI:99.01,AloI:98.84,BcgI:99.04,FalI:98.86	1389	3	1381	1283	432.6666666666667	ok	98.9325	uniform	99.0169	ok
del	mut1_transloc	99.0034	99.0034	0.9974	0.9974	0.05144	3	0.9985	2	inf	0.9399	98.9898	99.0077	0.1712	0.56	AlfI:98.89,AloI:99.03,BcgI:98.99,FalI:99.06	1405	3	1379	1294	437	ok	99.0034	uniform	99.1575	ok
inv	wt	99.9999	99.9999	0.9979	0.9978	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	925	286.8	ok	99.9999	uniform	100.0000	ok
inv	del	99.9999	99.9999	0.9768	0.9985	0.49943	4	0.9979	3	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	4	1381	925	349.75	ok	99.9999	uniform	100.0000	ok
inv	inv	99.9999	99.9999	0.9986	0.9986	0.49328	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	3	1416	1416	478	ok	99.9999	uniform	100.0000	ok
inv	transloc	99.9999	99.9999	0.9979	0.9985	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	925	286.8	ok	99.9999	uniform	100.0000	ok
inv	mut1	99.0178	99.0178	0.9980	0.9979	0.05029	5	0.9970	4	inf	0.9408	99.0618	99.0039	0.5652	1.76	AlfI:99.00,AloI:99.45,BcgI:98.88,FalI:99.06	1437	5	1416	873	270.2	ok	99.0178	uniform	99.2219	ok
inv	mut1_del	98.9507	98.9507	0.9769	0.9985	0.05290	4	0.9977	3	inf	0.9367	98.9091	98.9643	0.5106	0.88	AlfI:98.85,AloI:98.50,BcgI:99.01,FalI:98.99	1395	4	1381	861	326.25	ok	98.9507	uniform	99.0823	ok
inv	mut1_inv	98.9344	98.9344	0.9987	0.9987	0.05273	3	0.9985	2	inf	0.9357	98.8669	98.9565	0.1688	0.75	AlfI:99.01,AloI:98.87,BcgI:99.03,FalI:98.86	1426	3	1416	1318	444.3333333333333	ok	98.9344	uniform	99.0408	ok
inv	mut1_transloc	99.0183	99.0183	0.9965	0.9973	0.05040	5	0.9970	4	inf	0.9408	99.0136	99.0197	0.1890	0.72	AlfI:98.89,AloI:99.06,BcgI:99.00,FalI:99.08	1441	5	1413	869	269	ok	99.0183	uniform	99.1776	ok
transloc	wt	99.9999	99.9999	0.9979	0.9986	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	974	286.8	ok	99.9999	uniform	100.0000	ok
transloc	del	99.9999	99.9999	0.9770	0.9986	0.49943	4	0.9979	3	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1501	4	1381	974	349.75	ok	99.9999	uniform	100.0000	ok
transloc	inv	99.9999	99.9999	0.9979	0.9986	0.49328	5	0.9972	4	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	5	1416	974	286.8	ok	99.9999	uniform	100.0000	ok
transloc	transloc	99.9999	99.9999	0.9986	0.9986	0.49328	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1538	3	1416	1416	478	ok	99.9999	uniform	100.0000	ok
transloc	mut1	99.0178	99.0178	0.9980	0.9987	0.05029	5	0.9970	4	inf	0.9408	99.0618	99.0039	0.5652	1.76	AlfI:99.00,AloI:99.45,BcgI:98.88,FalI:99.06	1437	5	1416	926	270.2	ok	99.0178	uniform	99.2219	ok
transloc	mut1_del	98.9507	98.9507	0.9771	0.9986	0.05290	4	0.9977	3	inf	0.9367	98.9091	98.9643	0.5106	0.88	AlfI:98.85,AloI:98.50,BcgI:99.01,FalI:98.99	1395	4	1381	905	326.25	ok	98.9507	uniform	99.0823	ok
transloc	mut1_inv	98.9344	98.9344	0.9980	0.9987	0.05273	5	0.9970	4	inf	0.9357	98.8669	98.9565	0.1688	0.75	AlfI:99.01,AloI:98.87,BcgI:99.03,FalI:98.86	1426	5	1416	899	266.6	ok	98.9344	uniform	99.0408	ok
transloc	mut1_transloc	99.0156	99.0156	0.9974	0.9974	0.05047	3	0.9985	2	inf	0.9407	99.0028	99.0197	0.1890	0.74	AlfI:98.89,AloI:99.06,BcgI:98.99,FalI:99.08	1441	3	1414	1328	448.3333333333333	ok	99.0156	uniform	99.1675	ok
mut1	wt	98.9556	98.9556	0.9987	0.9987	0.05196	3	0.9985	2	inf	0.9370	98.8372	98.9963	0.9701	8.47	AlfI:98.88,AloI:99.72,BcgI:98.75,FalI:99.03	1437	3	1436	1335	450.3333333333333	ok	98.9556	uniform	99.0118	ok
mut1	del	98.9612	98.9612	0.9769	0.9985	0.05241	4	0.9977	3	inf	0.9373	98.8343	99.0045	0.9811	7.92	AlfI:98.92,AloI:99.72,BcgI:98.73,FalI:99.03	1405	4	1404	873	330.25	ok	98.9612	uniform	99.0110	ok
mut1	inv	98.9556	98.9556	0.9979	0.9980	0.05196	5	0.9970	4	inf	0.9370	98.8372	98.9963	0.9701	8.47	AlfI:98.88,AloI:99.72,BcgI:98.75,FalI:99.03	1437	5	1436	873	270.2	ok	98.9556	uniform	99.0118	ok
mut1	transloc	98.9556	98.9556	0.9979	0.9986	0.05196	5	0.9970	4	inf	0.9370	98.8372	98.9963	0.9701	8.47	AlfI:98.88,AloI:99.72,BcgI:98.75,FalI:99.03	1437	5	1436	873	270.2	ok	98.9556	uniform	99.0118	ok
mut1	mut1	99.9999	99.9999	0.9986	0.9986	0.48948	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1520	3	1436	1436	482.6666666666667	ok	99.9999	uniform	100.0000	ok
mut1	mut1_del	97.9344	97.9344	0.9770	0.9986	0.07688	4	0.9975	3	inf	0.8714	97.7828	98.0156	0.5981	0.98	AlfI:97.91,AloI:98.31,BcgI:97.71,FalI:98.01	1298	4	1404	805	305	ok	97.9344	uniform	98.0049	ok
mut1	mut1_inv	97.8733	97.8733	0.9980	0.9981	0.07729	5	0.9968	4	inf	0.8673	97.7056	97.9615	0.9762	1.94	AlfI:97.93,AloI:98.67,BcgI:97.69,FalI:97.88	1322	5	1436	803	248.4	ok	97.8733	uniform	97.9274	ok
mut1	mut1_transloc	97.9692	97.9692	0.9967	0.9974	0.07524	5	0.9968	4	inf	0.8737	97.8446	98.0343	1.0717	3.38	AlfI:97.81,AloI:98.77,BcgI:97.70,FalI:98.10	1333	5	1433	811	250.8	ok	97.9692	uniform	98.0627	ok
mut1_del	wt	98.9084	98.9084	0.9986	0.9987	0.05403	3	0.9985	2	inf	0.9340	98.7684	98.9564	0.6830	1.30	AlfI:98.87,AloI:98.30,BcgI:98.83,FalI:98.99	1395	3	1393	1289	435	ok	98.9084	uniform	98.9499	ok
mut1_del	del	98.9084	98.9084	0.9986	0.9986	0.05403	3	0.9985	2	inf	0.9340	98.7684	98.9564	0.6830	1.30	AlfI:98.87,AloI:98.30,BcgI:98.83,FalI:98.99	1395	3	1393	1289	435	ok	98.9084	uniform	98.9499	ok
mut1_del	inv	98.9084	98.9084	0.9986	0.9987	0.05403	3	0.9985	2	inf	0.9340	98.7684	98.9564	0.6830	1.30	AlfI:98.87,AloI:98.30,BcgI:98.83,FalI:98.99	1395	3	1393	1289	435	ok	98.9084	uniform	98.9499	ok
mut1_del	transloc	98.9084	98.9084	0.9986	0.9987	0.05403	3	0.9985	2	inf	0.9340	98.7684	98.9564	0.6830	1.30	AlfI:98.87,AloI:98.30,BcgI:98.83,FalI:98.99	1395	3	1393	1289	435	ok	98.9084	uniform	98.9499	ok
mut1_del	mut1	97.9676	97.9676	0.9987	0.9987	0.07625	3	0.9984	2	inf	0.8735	97.8733	98.0182	0.3773	1.22	AlfI:98.03,AloI:97.78,BcgI:97.68,FalI:98.06	1298	3	1393	1207	406.6666666666667	ok	97.9676	uniform	98.0936	ok
mut1_del	mut1_del	99.9999	99.9999	0.9986	0.9986	0.49702	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1485	3	1393	1393	469	ok	99.9999	uniform	100.0000	ok
mut1_del	mut1_inv	97.8475	97.8475	0.9987	0.9987	0.07901	3	0.9983	2	inf	0.8655	97.6625	97.9422	1.0541	1.02	AlfI:97.85,AloI:96.86,BcgI:97.91,FalI:97.87	1283	3	1393	1188	400.3333333333333	ok	97.8475	uniform	97.8889	ok
mut1_del	mut1_transloc	97.9475	97.9475	0.9974	0.9975	0.07701	3	0.9983	2	inf	0.8722	97.7540	98.0448	0.3979	0.66	AlfI:97.82,AloI:97.65,BcgI:97.88,FalI:98.04	1292	3	1391	1194	402.6666666666667	ok	97.9475	uniform	97.9779	ok
mut1_inv	wt	98.9149	98.9149	0.9980	0.9979	0.05324	5	0.9970	4	inf	0.9344	98.8035	98.9523	0.6505	1.16	AlfI:99.04,AloI:98.39,BcgI:98.92,FalI:98.88	1426	5	1421	862	266.6	ok	98.9149	uniform	98.9811	ok
mut1_inv	del	98.9179	98.9179	0.9769	0.9986	0.05388	4	0.9977	3	inf	0.9346	98.7957	98.9589	0.7026	1.29	AlfI:99.05,AloI:98.35,BcgI:98.92,FalI:98.88	1389	4	1384	862	324.5	ok	98.9179	uniform	98.9761	ok
mut1_inv	inv	98.9149	98.9149	0.9987	0.9987	0.05324	3	0.9985	2	inf	0.9344	98.8035	98.9523	0.6505	1.16	AlfI:99.04,AloI:98.39,BcgI:98.92,FalI:98.88	1426	3	1421	1318	444.3333333333333	ok	98.9149	uniform	98.9811	ok
mut1_inv	transloc	98.9149	98.9149	0.9980	0.9986	0.05324	5	0.9970	4	inf	0.9344	98.8035	98.9523	0.6505	1.16	AlfI:99.04,AloI:98.39,BcgI:98.92,FalI:98.88	1426	5	1421	862	266.6	ok	98.9149	uniform	98.9811	ok
mut1_inv	mut1	97.9239	97.9239	0.9981	0.9980	0.07630	5	0.9968	4	inf	0.8706	97.8393	97.9658	0.3971	1.00	AlfI:98.10,AloI:97.84,BcgI:97.71,FalI:97.94	1322	5	1421	803	248.4	ok	97.9239	uniform	98.0585	ok
mut1_inv	mut1_del	97.8799	97.8799	0.9770	0.9987	0.07838	4	0.9975	3	inf	0.8676	97.7438	97.9466	1.4640	1.79	AlfI:97.89,AloI:96.52,BcgI:97.98,FalI:97.90	1283	4	1384	793	300.25	ok	97.8799	uniform	97.9687	ok
mut1_inv	mut1_inv	99.9999	99.9999	0.9993	0.9993	0.49210	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1516	3	1422	1422	478	ok	99.9999	uniform	100.0000	ok
mut1_inv	mut1_transloc	97.9428	97.9428	0.9966	0.9975	0.07593	5	0.9968	4	inf	0.8719	97.8663	97.9793	0.8367	0.78	AlfI:97.92,AloI:97.14,BcgI:97.97,FalI:97.98	1330	5	1418	805	248.6	ok	97.9428	uniform	98.0849	ok
mut1_transloc	wt	98.9541	98.9541	0.9965	0.9974	0.05210	5	0.9970	4	inf	0.9369	98.7593	99.0190	0.1833	0.67	AlfI:98.91,AloI:98.96,BcgI:98.84,FalI:99.02	1441	5	1436	909	269	ok	98.9541	uniform	98.9387	ok
mut1_transloc	del	98.9402	98.9402	0.9759	0.9974	0.05313	4	0.9977	3	inf	0.9360	98.7408	99.0070	0.1714	0.54	AlfI:98.91,AloI:98.94,BcgI:98.83,FalI:99.00	1405	4	1401	909	327.75	ok	98.9402	uniform	98.9234	ok
mut1_transloc	inv	98.9541	98.9541	0.9965	0.9974	0.05210	5	0.9970	4	inf	0.9369	98.7593	99.0190	0.1833	0.67	AlfI:98.91,AloI:98.96,BcgI:98.84,FalI:99.02	1441	5	1436	909	269	ok	98.9541	uniform	98.9387	ok
mut1_transloc	transloc	98.9541	98.9541	0.9974	0.9974	0.05210	3	0.9985	2	inf	0.9369	98.7593	99.0190	0.1833	0.67	AlfI:98.91,AloI:98.96,BcgI:98.84,FalI:99.02	1441	3	1436	1328	448.3333333333333	ok	98.9541	uniform	98.9387	ok
mut1_transloc	mut1	97.9681	97.9681	0.9968	0.9975	0.07523	5	0.9968	4	inf	0.8736	97.8179	98.0426	0.7077	1.69	AlfI:97.97,AloI:98.36,BcgI:97.65,FalI:98.07	1333	5	1436	855	250.8	ok	97.9681	uniform	98.0367	ok
mut1_transloc	mut1_del	97.9221	97.9221	0.9760	0.9974	0.07746	4	0.9975	3	inf	0.8705	97.6740	98.0465	0.2192	0.24	AlfI:97.83,AloI:97.76,BcgI:97.90,FalI:97.98	1292	4	1401	838	302	ok	97.9221	uniform	97.8995	ok
mut1_transloc	mut1_inv	97.8033	97.8912	0.9966	0.9975	0.07692	5	0.9968	4	4.046	0.8685	97.7054	97.9835	0.3500	0.15	AlfI:97.91,AloI:97.57,BcgI:97.92,FalI:97.89	1330	5	1436	832	248.6	ok	97.8033	gamma	97.9274	ok
mut1_transloc	mut1_transloc	99.9999	99.9999	0.9980	0.9980	0.48962	3	0.9986	2	inf	1.0000	99.9999	99.9999	0.0000	0.00	AlfI:100.00,AloI:100.00,BcgI:100.00,FalI:100.00	1539	3	1437	1437	484.3333333333333	ok	99.9999	uniform	100.0000	ok
