assembly_acc	strain	biosample	organism	assembly_level	genome_file	epi_type	serovar_pd	serotype_biosample	geo	host	isolation_source	collection_date	host_disease	amrfinderplus_applied	n_amr_genes	AMR_genotypes	AMR_genotypes_core	AST_phenotypes	n_virulence_genes	virulence_genotypes	stress_genotypes
GCA_019048005.1	FDAARGOS_1385	SAMN16357527	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048005.1.fna	clinical			USA:MT	Seth Lab strain	Seth Lab Isolate	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			11	astA=MISTRANSLATION,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,mchF=COMPLETE,sigA=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019048145.1	FDAARGOS 1386	SAMN16357528	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048145.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	5	acrF=COMPLETE,aph(3')-Ia=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,marR_S3N=POINT	aph(3')-Ia=COMPLETE,marR_S3N=POINT		16	clbB=MISTRANSLATION,clbN=COMPLETE,fdeC=COMPLETE,ibeA=COMPLETE,ireA=COMPLETE,iss=COMPLETE,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,senB=COMPLETE,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019048285.1	FDAARGOS 1389	SAMN16357531	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048285.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	5	acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE	blaCTX-M-15=COMPLETE,gyrA_S83L=POINT		10	fdeC=COMPLETE,iss=COMPLETE,iucA=PARTIAL,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,silE=COMPLETE
GCA_019048345.1	FDAARGOS 1377	SAMN16357519	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048345.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	10	acrF=PARTIAL,aph(3'')-Ib=COMPLETE,aph(6)-Id=PARTIAL,blaEC=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,cirA_I229YfsTer1=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,sul2=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=PARTIAL,blaTEM-1=COMPLETE,catA1=COMPLETE,cirA_I229YfsTer1=POINT,gyrA_S83L=POINT,sul2=COMPLETE		15	espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papF=COMPLETE,sat=COMPLETE,senB=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE
GCA_019048425.1	FDAARGOS 1380	SAMN16357522	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048425.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	9	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_S80I=POINT,parE_S458A=POINT	cyaA_S352T=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT		14	eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,papA=PARTIAL,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019048445.1	FDAARGOS 1382	SAMN16357524	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048445.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,parC_S57T=POINT,uhpT_E350Q=POINT	cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT		4	eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,lpfA-O113=COMPLETE	ariR=COMPLETE
GCA_019048505.1	FDAARGOS 1387	SAMN16357529	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048505.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	4	acrF=COMPLETE,blaEC=COMPLETE,cirA_I130AfsTer24=POINT,mdtM=COMPLETE	cirA_I130AfsTer24=POINT		16	afaC=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,nfaE=COMPLETE,papA=COMPLETE,sat=COMPLETE,senB=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019048605.1	FDAARGOS 1375	SAMN16357517	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019048605.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cirA_I51IRTer=POINT,emrD=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT	cirA_I51IRTer=POINT,gyrA_S83L=POINT,uhpT_E350Q=POINT		21	fdeC=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,ireA=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,sat=COMPLETE,senB=COMPLETE,sslE=COMPLETE,traT=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019056115.1	FDAARGOS 1383	SAMN16357525	Escherichia coli	Complete Genome	genomes/ecoli/GCA_019056115.1.fna	clinical			USA:MT	missing	missing	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,parC_S57T=POINT,uhpT_E350Q=POINT	cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT		4	eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,lpfA-O113=COMPLETE	ariR=COMPLETE
GCA_019397165.1	FDAARGOS_1391	SAMN16357533	Escherichia coli	Scaffold	genomes/ecoli/GCA_019397165.1.fna	clinical			USA:MT	not applicable	Seth Lab Isolate	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,parE_I355T=POINT,uhpT_E350Q=POINT	cyaA_S352T=POINT,parE_I355T=POINT,uhpT_E350Q=POINT		11	eilA=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iutA=PARTIAL,lpfA-O113=COMPLETE,papC=COMPLETE,papF=COMPLETE,papH=COMPLETE,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCA_019397185.1	FDAARGOS_1390	SAMN16357532	Escherichia coli	Scaffold	genomes/ecoli/GCA_019397185.1.fna	clinical			USA:MT	not applicable	Seth Lab Isolate	missing	missing	1	7	acrF=COMPLETE,blaEC=COMPLETE,cyaA_S352T=POINT,emrD=COMPLETE,mdtM=COMPLETE,parE_I355T=POINT,uhpT_E350Q=POINT	cyaA_S352T=POINT,parE_I355T=POINT,uhpT_E350Q=POINT		11	eilA=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iutA=PARTIAL,lpfA-O113=COMPLETE,papC=COMPLETE,papF=COMPLETE,papH=COMPLETE,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_001188105.2	FDAARGOS_56	SAMN03255436	Escherichia coli	Contig	genomes/ecoli/GCF_001188105.2.fna	environmental/other		111	USA:CA	Cow	environmental	missing	not applicable	1	4	acrF=COMPLETE,blaEC=COMPLETE,cirA_S234IfsTer44=POINT,mdtM=COMPLETE	cirA_S234IfsTer44=POINT		14	astA=COMPLETE,espI=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,mchB=COMPLETE,mchF=MISTRANSLATION,stx2b_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,subA=COMPLETE,subB=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_001471755.2	FDAARGOS_170	SAMN03996315	Escherichia coli	Contig	genomes/ecoli/GCF_001471755.2.fna	clinical			USA: DC	Homo sapiens	urine cathether	2014-06-24	Urinary tract infection	1	10	aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC-5=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE,sul2=COMPLETE	aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA1=COMPLETE,sat2=COMPLETE,sul2=COMPLETE		35	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,focG=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,ireA=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,mchB=COMPLETE,mchF=MISTRANSLATION,papA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,pic=COMPLETE,sat=COMPLETE,sfaF=COMPLETE,sinH=HMM,sslE=HMM,vactox=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	emrE=COMPLETE
GCF_001471815.2	FDAARGOS_142	SAMN03996286	Escherichia coli	Contig	genomes/ecoli/GCF_001471815.2.fna	clinical			USA: DC	Homo sapiens	sputum	2014-03-05	Pneumonia	1	26	aac(3)-IIe=COMPLETE,aac(3)-IIe=PARTIAL,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL,aadA5=COMPLETE,aadA5=PARTIAL,acrF=COMPLETE,acrR_E67Ter=POINT,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaOXA=PARTIAL,catB3=PARTIAL,dfrA17=COMPLETE,dfrA=PARTIAL,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=PARTIAL,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	aac(3)-IIe=COMPLETE,aac(3)-IIe=PARTIAL,aac(6')-Ib-cr5=COMPLETE,aac(6')-Ib-cr=PARTIAL,aadA5=COMPLETE,aadA5=PARTIAL,acrR_E67Ter=POINT,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaOXA=PARTIAL,catB3=PARTIAL,dfrA17=COMPLETE,dfrA=PARTIAL,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=PARTIAL,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT		19	fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucC=PARTIAL,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papA=PARTIAL,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,sat=COMPLETE,senB=COMPLETE,sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacE=PARTIAL,qacEdelta1=COMPLETE
GCF_001563715.2	FDAARGOS_95	SAMN03996336	Escherichia coli	Chromosome	genomes/ecoli/GCF_001563715.2.fna	environmental/other		not applicable	USA	Environment	environmental	missing	not applicable	1	6	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(B)=COMPLETE		30	cif=COMPLETE,eae=COMPLETE,efa1=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espJ=COMPLETE,espK=COMPLETE,espX1=PARTIAL,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,nleA=COMPLETE,nleB=COMPLETE,nleC=MISTRANSLATION,sslE=HMM,stx1a_operon=COMPLETE,stx2a_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002206405.2	FDAARGOS_292	SAMN06173305	Escherichia coli O157	Contig	genomes/ecoli/GCF_002206405.2.fna	clinical			USA:DC	Homo sapiens	stool	2014-02-11	missing	1	3	acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE			28	eae=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espJ=COMPLETE,espK=COMPLETE,espP=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,katP=COMPLETE,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,stx1a_operon=COMPLETE,stx2a_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE,toxB=COMPLETE	emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002208865.2	FDAARGOS_293	SAMN06173306	Escherichia coli O157	Complete Genome	genomes/ecoli/GCF_002208865.2.fna	clinical			USA:DC	Homo sapiens	clinical isolate	2014-02-26	missing	1	3	acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE			29	eae=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espJ=COMPLETE,espK=COMPLETE,espP=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,katP=COMPLETE,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,nleC=MISTRANSLATION,stx1a_operon=COMPLETE,stx2c_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE,toxB=COMPLETE	emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002209105.2	FDAARGOS_348	SAMN06173361	Escherichia coli O104:H4	Complete Genome	genomes/ecoli/GCF_002209105.2.fna	clinical		O104:H4	USA: Georgia	Homo sapiens	stool	2009	Bloody diarrhea complicated hemolytic uremic syndrome (HUS)	1	11	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=PARTIAL,sepA=COMPLETE,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
