assembly_acc	assembly_name	organism	strain	biosample	seq_rel_date	submission	assembly_level
GCF_020736005.1	ASM2073600v1	Mycobacterium intracellulare (high G+C Gram-positive bacteria)	FDAARGOS_1564	SAMN22091661	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735985.1	ASM2073598v1	Bordetella holmesii (b-proteobacteria)	FDAARGOS_1539	SAMN22091636	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735965.1	ASM2073596v1	Bordetella parapertussis (b-proteobacteria)	FDAARGOS_1540	SAMN22091637	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735945.1	ASM2073594v1	Parabacteroides distasonis (CFB group bacteria)	FDAARGOS_1565	SAMN22091662	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735925.1	ASM2073592v1	Bordetella parapertussis (b-proteobacteria)	FDAARGOS_1541	SAMN22091638	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735905.1	ASM2073590v1	Prevotella melaninogenica (CFB group bacteria)	FDAARGOS_1567	SAMN22091664	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735885.1	ASM2073588v1	Bordetella pertussis (b-proteobacteria)	FDAARGOS_1542	SAMN22091639	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735865.1	ASM2073586v1	Parabacteroides johnsonii (CFB group bacteria)	FDAARGOS_1580	SAMN22091677	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735845.1	ASM2073584v1	Tsukamurella paurometabola (high G+C Gram-positive bacteria)	FDAARGOS_1558	SAMN22091655	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735825.1	ASM2073582v1	Haemophilus influenzae (g-proteobacteria)	FDAARGOS_1562	SAMN22091659	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735805.1	ASM2073580v1	Helicobacter pylori (e-proteobacteria)	FDAARGOS_1563	SAMN22091660	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735785.1	ASM2073578v1	Prevotella melaninogenica (CFB group bacteria)	FDAARGOS_1566	SAMN22091663	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735765.1	ASM2073576v1	Streptococcus anginosus subsp. anginosus (firmicutes)	FDAARGOS_1569	SAMN22091666	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735745.1	ASM2073574v1	Lachnospira eligens (firmicutes)	FDAARGOS_1570	SAMN22091667	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735725.1	ASM2073572v1	Alistipes senegalensis (CFB group bacteria)	FDAARGOS_1578	SAMN22091675	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735705.1	ASM2073570v1	Coprococcus eutactus ATCC 27759 (firmicutes)	FDAARGOS_1581	SAMN22091678	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCA_020735685.1	ASM2073568v1	Lachnospiraceae bacterium GAM79 (firmicutes)	FDAARGOS_1582	SAMN22091679	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCA_020735665.1	ASM2073566v1	Lachnospiraceae bacterium GAM79 (firmicutes)	FDAARGOS_1585	SAMN22091682	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735645.1	ASM2073564v1	Acidaminococcus fermentans DSM 20731 (firmicutes)	FDAARGOS_1571	SAMN22091668	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735625.1	ASM2073562v1	Finegoldia magna (firmicutes)	FDAARGOS_1557	SAMN22091654	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735605.1	ASM2073560v1	Parabacteroides merdae (CFB group bacteria)	FDAARGOS_1586	SAMN22091683	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735585.1	ASM2073558v1	Campylobacter fetus subsp. testudinum (e-proteobacteria)	FDAARGOS_1591	SAMN22365120	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735565.1	ASM2073556v1	Hoylesella buccalis (CFB group bacteria)	FDAARGOS_1588	SAMN22091685	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735545.1	ASM2073554v1	Gordonia otitidis (high G+C Gram-positive bacteria)	FDAARGOS_1600	SAMN22365129	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735525.1	ASM2073552v1	Helicobacter pylori (e-proteobacteria)	FDAARGOS_1601	SAMN22365130	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735505.1	ASM2073550v1	Mycobacteroides abscessus (high G+C Gram-positive bacteria)	FDAARGOS_1602	SAMN22365131	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735485.1	ASM2073548v1	Mycobacteroides abscessus subsp. abscessus (high G+C Gram-positive bacteria)	FDAARGOS_1603	SAMN22365132	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735465.1	ASM2073546v1	Collinsella stercoris DSM 13279 (actinobacteria)	FDAARGOS_1572	SAMN22091669	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735445.1	ASM2073544v1	Segatella copri DSM 18205 (CFB group bacteria)	FDAARGOS_1573	SAMN22091670	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735425.1	ASM2073542v1	Mycobacteroides abscessus subsp. abscessus (high G+C Gram-positive bacteria)	FDAARGOS_1604	SAMN22365133	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735405.1	ASM2073540v1	Mycobacterium avium subsp. avium (high G+C Gram-positive bacteria)	FDAARGOS_1606	SAMN22365135	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735385.1	ASM2073538v1	Granulicatella elegans (firmicutes)	FDAARGOS_1559	SAMN22091656	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735365.1	ASM2073536v1	Blautia massiliensis (ex Durand et al. 2017) (firmicutes)	FDAARGOS_1576	SAMN22091673	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735345.1	ASM2073534v1	Mycobacteroides abscessus subsp. abscessus (high G+C Gram-positive bacteria)	FDAARGOS_1605	SAMN22365134	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020735285.1	ASM2073528v1	Mycobacterium avium subsp. avium (high G+C Gram-positive bacteria)	FDAARGOS_1607	SAMN22365136	2021/11/03 00:00	2021/11/03 00:00	Complete Genome
GCF_020731585.1	ASM2073158v1	Mycolicibacterium smegmatis (high G+C Gram-positive bacteria)	FDAARGOS_1595	SAMN22365124	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731565.1	ASM2073156v1	Nocardia africana (high G+C Gram-positive bacteria)	FDAARGOS_1597	SAMN22365126	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731525.1	ASM2073152v1	Roseburia inulinivorans DSM 16841 (firmicutes)	FDAARGOS_1587	SAMN22091684	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731505.1	ASM2073150v1	Psychrobacter sanguinis (g-proteobacteria)	FDAARGOS_1599	SAMN22365128	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731325.1	ASM2073132v1	Finegoldia magna (firmicutes)	FDAARGOS_1593	SAMN22365122	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731305.1	ASM2073130v1	Nocardia abscessus (high G+C Gram-positive bacteria)	FDAARGOS_1596	SAMN22365125	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731235.1	ASM2073123v1	Phocaeicola coprocola DSM 17136 (CFB group bacteria)	FDAARGOS_1577	SAMN22091674	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731255.1	ASM2073125v1	Gordonia bronchialis (high G+C Gram-positive bacteria)	FDAARGOS_1594	SAMN22365123	2021/11/02 00:00	2021/11/02 00:00	Scaffold
GCF_020731205.1	ASM2073120v1	Psychrobacter sanguinis (g-proteobacteria)	FDAARGOS_1568	SAMN22091665	2021/11/02 00:00	2021/11/02 00:00	Scaffold
GCF_020731185.1	ASM2073118v1	Hominimerdicola alba 8 (firmicutes)	FDAARGOS_1575	SAMN22091672	2021/11/02 00:00	2021/11/02 00:00	Contig
GCF_020731165.1	ASM2073116v1	[Clostridium] innocuum (firmicutes)	FDAARGOS_1584	SAMN22091681	2021/11/02 00:00	2021/11/02 00:00	Contig
GCA_020509375.1	ASM2050937v1	Burkholderia vietnamiensis (b-proteobacteria)	FDAARGOS_1517	SAMN21218873	2021/10/15 00:00	2021/10/15 00:00	Chromosome
GCF_020450285.1	ASM2045028v1	Hafnia paralvei (enterobacteria)	FDAARGOS_1502	SAMN21218858	2021/10/13 00:00	2021/10/13 00:00	Complete Genome
GCF_020450145.1	ASM2045014v1	Clostridium sporogenes (firmicutes)	FDAARGOS_1532	SAMN21402699	2021/10/13 00:00	2021/10/13 00:00	Chromosome
GCF_020341555.1	ASM2034155v1	Clostridium sporogenes (firmicutes)	FDAARGOS_1531	SAMN21402698	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341535.1	ASM2034153v1	Aeromonas jandaei (g-proteobacteria)	FDAARGOS_1523	SAMN21402690	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341515.1	ASM2034151v1	Clostridioides difficile (firmicutes)	FDAARGOS_1525	SAMN21402692	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341495.1	ASM2034149v1	Citrobacter werkmanii (enterobacteria)	FDAARGOS_1524	SAMN21402691	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341475.1	ASM2034147v1	Mycobacterium kansasii (high G+C Gram-positive bacteria)	FDAARGOS_1534	SAMN21402701	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341455.1	ASM2034145v1	Ralstonia pickettii (b-proteobacteria)	FDAARGOS_1535	SAMN21402702	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020341435.1	ASM2034143v1	Aeromonas enteropelogenes (g-proteobacteria)	FDAARGOS_1537	SAMN21402704	2021/10/07 00:00	2021/10/07 00:00	Chromosome
GCF_020297605.1	ASM2029760v1	Campylobacter upsaliensis (e-proteobacteria)	FDAARGOS_1518	SAMN21218874	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297585.1	ASM2029758v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1515	SAMN21218871	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297545.1	ASM2029754v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1513	SAMN21218869	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297555.1	ASM2029755v1	Finegoldia magna (firmicutes)	FDAARGOS_1521	SAMN21218877	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297525.1	ASM2029752v1	Clostridioides difficile (firmicutes)	FDAARGOS_1526	SAMN21402693	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297505.1	ASM2029750v1	Clostridioides difficile (firmicutes)	FDAARGOS_1527	SAMN21402694	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297485.1	ASM2029748v1	Enterocloster clostridioformis (firmicutes)	FDAARGOS_1529	SAMN21402696	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297465.1	ASM2029746v1	Parabacteroides gordonii (CFB group bacteria)	FDAARGOS_1522	SAMN21218878	2021/10/05 00:00	2021/10/05 00:00	Scaffold
GCF_020297435.1	ASM2029743v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1514	SAMN21218870	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020297425.1	ASM2029742v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1511	SAMN21218867	2021/10/05 00:00	2021/10/05 00:00	Contig
GCF_020221755.1	ASM2022175v1	Lactococcus lactis (firmicutes)	FDAARGOS_867	SAMN13450397	2021/10/04 00:00	2021/10/04 00:00	Complete Genome
GCF_020215685.1	ASM2021568v1	Anaerococcus degeneri (firmicutes)	FDAARGOS_1538	SAMN21460642	2021/10/02 00:00	2021/10/02 00:00	Scaffold
GCF_020149745.1	ASM2014974v1	Bacteroides ovatus (CFB group bacteria)	FDAARGOS_1516	SAMN21218872	2021/09/27 00:00	2021/09/27 00:00	Chromosome
GCF_020149725.1	ASM2014972v1	Campylobacter jejuni (e-proteobacteria)	FDAARGOS_1464	SAMN20888881	2021/09/27 00:00	2021/09/27 00:00	Complete Genome
GCF_020099375.1	ASM2009937v1	Acinetobacter variabilis (g-proteobacteria)	FDAARGOS_1487	SAMN21218843	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099355.1	ASM2009935v1	Burkholderia vietnamiensis (b-proteobacteria)	FDAARGOS_1488	SAMN21218844	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099335.1	ASM2009933v1	Citrobacter amalonaticus (enterobacteria)	FDAARGOS_1489	SAMN21218845	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCA_020099315.1	ASM2009931v1	Citrobacter europaeus (enterobacteria)	FDAARGOS_1490	SAMN21218846	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099295.1	ASM2009929v1	Clostridium sporogenes (firmicutes)	FDAARGOS_1491	SAMN21218847	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099275.1	ASM2009927v1	Corynebacterium falsenii (high G+C Gram-positive bacteria)	FDAARGOS_1494	SAMN21218850	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099255.1	ASM2009925v1	Enterobacter bugandensis (enterobacteria)	FDAARGOS_1496	SAMN21218852	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099235.1	ASM2009923v1	Enterobacter bugandensis (enterobacteria)	FDAARGOS_1497	SAMN21218853	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099215.1	ASM2009921v1	Enterobacter ludwigii (enterobacteria)	FDAARGOS_1498	SAMN21218854	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020099175.1	ASM2009917v1	Klebsiella quasipneumoniae (enterobacteria)	FDAARGOS_1503	SAMN21218859	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097655.1	ASM2009765v1	Corynebacterium coyleae (high G+C Gram-positive bacteria)	FDAARGOS_1492	SAMN21218848	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097615.1	ASM2009761v1	Corynebacterium falsenii (high G+C Gram-positive bacteria)	FDAARGOS_1493	SAMN21218849	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097495.1	ASM2009749v1	Corynebacterium freneyi (high G+C Gram-positive bacteria)	FDAARGOS_1495	SAMN21218851	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097475.1	ASM2009747v1	Escherichia fergusonii (enterobacteria)	FDAARGOS_1499	SAMN21218855	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097455.1	ASM2009745v1	Gemella haemolysans (firmicutes)	FDAARGOS_1500	SAMN21218856	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097435.1	ASM2009743v1	Gemella morbillorum (firmicutes)	FDAARGOS_1501	SAMN21218857	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097415.1	ASM2009741v1	Klebsiella quasipneumoniae (enterobacteria)	FDAARGOS_1504	SAMN21218860	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097395.1	ASM2009739v1	Leclercia adecarboxylata (enterobacteria)	FDAARGOS_1505	SAMN21218861	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097375.1	ASM2009737v1	Porphyromonas endodontalis (CFB group bacteria)	FDAARGOS_1506	SAMN21218862	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097355.1	ASM2009735v1	Proteus vulgaris (enterobacteria)	FDAARGOS_1507	SAMN21218863	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097335.1	ASM2009733v1	Streptococcus pneumoniae (firmicutes)	FDAARGOS_1508	SAMN21218864	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097315.1	ASM2009731v1	Aeromonas enteropelogenes (g-proteobacteria)	FDAARGOS_1509	SAMN21218865	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097295.1	ASM2009729v1	Aeromonas enteropelogenes (g-proteobacteria)	FDAARGOS_1510	SAMN21218866	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097275.1	ASM2009727v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1512	SAMN21218868	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097255.1	ASM2009725v1	Thomasclavelia ramosa (firmicutes)	FDAARGOS_1519	SAMN21218875	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097235.1	ASM2009723v1	Enterobacter bugandensis (enterobacteria)	FDAARGOS_1520	SAMN21218876	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097215.1	ASM2009721v1	Clostridioides difficile (firmicutes)	FDAARGOS_1528	SAMN21402695	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097195.1	ASM2009719v1	Enterobacter hormaechei subsp. oharae (CDC Enteric Group 75)	FDAARGOS_1533	SAMN21402700	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_020097175.1	ASM2009717v1	Aeromonas enteropelogenes (g-proteobacteria)	FDAARGOS_1536	SAMN21402703	2021/09/23 00:00	2021/09/23 00:00	Complete Genome
GCF_019957155.1	ASM1995715v1	Anaerococcus murdochii (firmicutes)	FDAARGOS_1460	SAMN20888877	2021/09/13 00:00	2021/09/13 00:00	Contig
GCF_019933215.1	ASM1993321v1	Clostridium sporogenes (firmicutes)	FDAARGOS_1470	SAMN20888887	2021/09/13 00:00	2021/09/13 00:00	Chromosome
GCF_019933195.1	ASM1993319v1	Clostridium sporogenes (firmicutes)	FDAARGOS_1471	SAMN20888888	2021/09/13 00:00	2021/09/13 00:00	Chromosome
GCF_019933175.1	ASM1993317v1	Edwardsiella tarda (enterobacteria)	FDAARGOS_1473	SAMN20888890	2021/09/13 00:00	2021/09/13 00:00	Chromosome
GCF_019931045.1	ASM1993104v1	Cupriavidus pauculus (b-proteobacteria)	FDAARGOS_1472	SAMN20888889	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019931025.1	ASM1993102v1	Clostridioides difficile (firmicutes)	FDAARGOS_1469	SAMN20888886	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019931005.1	ASM1993100v1	Granulicatella adiacens (firmicutes)	FDAARGOS_1477	SAMN20888894	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930985.1	ASM1993098v1	Campylobacter coli (e-proteobacteria)	FDAARGOS_1465	SAMN20888882	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930965.1	ASM1993096v1	Enterobacter ludwigii (enterobacteria)	FDAARGOS_1475	SAMN20888892	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930945.1	ASM1993094v1	Campylobacter hominis (e-proteobacteria)	FDAARGOS_1467	SAMN20888884	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930925.1	ASM1993092v1	Bartonella henselae (a-proteobacteria)	FDAARGOS_1462	SAMN20888879	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930905.1	ASM1993090v1	Haemophilus aegyptius (Koch-Weeks bacillus)	FDAARGOS_1478	SAMN20888895	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930885.1	ASM1993088v1	Legionella anisa (g-proteobacteria)	FDAARGOS_1480	SAMN20888897	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
GCF_019930865.1	ASM1993086v1	Campylobacter coli (e-proteobacteria)	FDAARGOS_1466	SAMN20888883	2021/09/12 00:00	2021/09/12 00:00	Complete Genome
