ani	strain1	strain2	acc1	acc2	only_in_1	only_in_2	acquired_only_in_1	acquired_only_in_2
99.9300	FDAARGOS_1297	FDAARGOS_1295	GCF_016904535.1	GCF_016903335.1	aadA5,aph(3'')-Ib,aph(6)-Id,blaTEM-1,dfrA17,sul1,sul2		aadA5,aph(3'')-Ib,aph(6)-Id,blaTEM-1,dfrA17,sul1,sul2	
99.9300	FDAARGOS_1296	FDAARGOS_1295	GCF_016904195.1	GCF_016903335.1	aadA2,dfrA12,mph(A),mrx(A),ompC_Q76Ter,sul1		aadA2,dfrA12,mph(A),mrx(A),ompC_Q76Ter,sul1	
99.9300	FDAARGOS_1265	FDAARGOS_1264	GCF_016890045.1	GCF_016889265.1	aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,catB3,nfsB_Q101Ter,tet(A)		aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,catB3,nfsB_Q101Ter,tet(A)	
99.9200	FDAARGOS_1351	FDAARGOS_1352	GCF_017081375.1	GCF_017081175.1		rpsL_K43T		rpsL_K43T
99.9200	FDAARGOS_1351	FDAARGOS_1238	GCF_017081375.1	GCF_017081115.1		catA1		catA1
99.9200	FDAARGOS_1355	FDAARGOS_1352	GCF_017081335.1	GCF_017081175.1	catA1	rpsL_K43T	catA1	rpsL_K43T
99.9200	FDAARGOS_1353	FDAARGOS_1352	GCF_017081315.1	GCF_017081175.1		rpsL_K43T		rpsL_K43T
99.9200	FDAARGOS_1240	FDAARGOS_1238	GCF_017081185.1	GCF_017081115.1		catA1		catA1
99.9200	FDAARGOS_1352	FDAARGOS_1239	GCF_017081175.1	GCF_017081125.1	rpsL_K43T	catA1	rpsL_K43T	catA1
99.9200	FDAARGOS_1352	FDAARGOS_1238	GCF_017081175.1	GCF_017081115.1	rpsL_K43T	catA1	rpsL_K43T	catA1
99.9200	FDAARGOS_1352	FDAARGOS_293	GCF_017081175.1	GCF_002208865.2	rpsL_K43T		rpsL_K43T	
99.9200	FDAARGOS_1239	FDAARGOS_293	GCF_017081125.1	GCF_002208865.2	catA1		catA1	
99.9200	FDAARGOS_1238	FDAARGOS_293	GCF_017081115.1	GCF_002208865.2	catA1		catA1	
99.9200	FDAARGOS_1264	FDAARGOS_539	GCF_016889265.1	GCF_003938635.1		aac(3)-IIe,aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,blaTEM-1,catB3,dfrB4,mph(A),mrx(A),qepA7,sul1,tet(B)		aac(3)-IIe,aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,blaTEM-1,catB3,dfrB4,mph(A),mrx(A),qepA7,sul1,tet(B)
99.9200	FDAARGOS_1264	FDAARGOS_441	GCF_016889265.1	GCF_002588125.1		aac(6')-Ib-cr5,aadA5,blaDHA,blaNDM-1,blaOXA-1,ble,catB3,dfrA17,mph(A),mph(E),mrx(A),msr(E),ompF_D135EfsTer10,sul1		aac(6')-Ib-cr5,aadA5,blaDHA,blaNDM-1,blaOXA-1,ble,catB3,dfrA17,mph(A),mph(E),mrx(A),msr(E),ompF_D135EfsTer10,sul1
99.9200	FDAARGOS_1264	FDAARGOS_142	GCF_016889265.1	GCF_001471815.2		aac(3)-IIe,aac(6')-Ib-cr,aac(6')-Ib-cr5,aadA5,acrR_E67Ter,blaCTX-M-15,blaOXA,blaOXA-1,catB3,dfrA,dfrA17,mph(A),mrx(A),sul1		aac(3)-IIe,aac(6')-Ib-cr,aac(6')-Ib-cr5,aadA5,acrR_E67Ter,blaCTX-M-15,blaOXA,blaOXA-1,catB3,dfrA,dfrA17,mph(A),mrx(A),sul1
99.9200	FDAARGOS_349	FDAARGOS_401	GCF_002983645.1	GCF_002393465.1	blaCTX-M-15,tet(A)		blaCTX-M-15,tet(A)	
99.9200	FDAARGOS_402	FDAARGOS_401	GCF_002554485.1	GCF_002393465.1	blaCTX-M-15,blaTEM,tet(A)		blaCTX-M-15,blaTEM,tet(A)	
99.9200	FDAARGOS_401	FDAARGOS_403	GCF_002393465.1	GCF_002393365.1		blaCTX-M-15,tet(A)		blaCTX-M-15,tet(A)
99.9100	FDAARGOS_1356	FDAARGOS_1352	GCF_017081285.1	GCF_017081175.1		rpsL_K43T		rpsL_K43T
99.9100	FDAARGOS_1281	FDAARGOS_1278	GCF_016904495.1	GCA_017136555.1		aac(3)-IId,aph(6)-Id,blaTEM-1,tet(A)		aac(3)-IId,aph(6)-Id,blaTEM-1,tet(A)
99.9100	FDAARGOS_1266	FDAARGOS_1264	GCF_016890105.1	GCF_016889265.1	aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,blaTEM-1,catB3,tet(A)		aac(6')-Ib-cr5,blaCTX-M-15,blaOXA-1,blaTEM-1,catB3,tet(A)	
99.9000	FDAARGOS_1355	FDAARGOS_1356	GCF_017081335.1	GCF_017081285.1	catA1		catA1	
99.9000	FDAARGOS_1356	FDAARGOS_1239	GCF_017081285.1	GCF_017081125.1		catA1		catA1
99.9000	FDAARGOS_1356	FDAARGOS_1238	GCF_017081285.1	GCF_017081115.1		catA1		catA1
99.9000	FDAARGOS_1238	FDAARGOS_292	GCF_017081115.1	GCF_002206405.2	catA1		catA1	
99.9000	FDAARGOS_772	FDAARGOS_349	GCF_006364695.1	GCF_002983645.1	tet(K)	blaCTX-M-15,tet(A)	tet(K)	blaCTX-M-15,tet(A)
99.9000	FDAARGOS_772	FDAARGOS_403	GCF_006364695.1	GCF_002393365.1	tet(K)	blaCTX-M-15,tet(A)	tet(K)	blaCTX-M-15,tet(A)
