ref	query	strain_ref	strain_query	ani_skani	ani_struct	n_sv	event_types	total_affected_bp
GCF_017081115.1	GCF_017081185.1	FDAARGOS_1238	FDAARGOS_1240	99.92	99.9612	43	DEL:11;INS:13;INV:13;TRA:6	4379811
GCF_017081125.1	GCF_017081175.1	FDAARGOS_1239	FDAARGOS_1352	99.92	99.9795	41	DEL:9;INS:5;INV:16;TRA:11	3923872
GCF_017081115.1	GCF_017081175.1	FDAARGOS_1238	FDAARGOS_1352	99.92	99.9778	28	DEL:11;INS:9;INV:4;TRA:4	786474
GCF_002208865.2	GCF_017081175.1	FDAARGOS_293	FDAARGOS_1352	99.92	99.9559	41	DEL:15;INS:13;INV:10;TRA:3	960130
GCF_002208865.2	GCF_017081125.1	FDAARGOS_293	FDAARGOS_1239	99.92	99.9465	57	DEL:19;INS:20;INV:16;TRA:2	4383634
GCF_002208865.2	GCF_017081115.1	FDAARGOS_293	FDAARGOS_1238	99.92	99.9428	46	DEL:18;INS:14;INV:13;TRA:1	930463
GCF_016889865.1	GCF_016904175.1	FDAARGOS_1253	FDAARGOS_1372	99.92	99.9410	8	DEL:1;INS:4;INV:3	2152318
GCF_016889105.1	GCF_016889865.1	FDAARGOS_1254	FDAARGOS_1253	99.92	99.9365	7	DEL:4;INS:1;INV:2	468880
GCF_003938635.1	GCF_016889265.1	FDAARGOS_539	FDAARGOS_1264	99.92	99.9863	27	DEL:7;INS:13;INV:5;TRA:2	5263715
GCF_002588125.1	GCF_016889265.1	FDAARGOS_441	FDAARGOS_1264	99.92	99.9866	22	DEL:6;INS:11;INV:2;TRA:3	1738922
GCF_001471815.2	GCF_016889265.1	FDAARGOS_142	FDAARGOS_1264	99.92	99.9779	43	DEL:14;INS:15;INV:9;TRA:5	5115173
GCF_002393465.1	GCF_002983645.1	FDAARGOS_401	FDAARGOS_349	99.92	99.9838	24	DEL:10;INS:5;INV:8;TRA:1	5282506
GCF_002393465.1	GCF_002554485.1	FDAARGOS_401	FDAARGOS_402	99.92	99.9823	20	DEL:11;INS:5;INV:3;TRA:1	144469
GCF_002393365.1	GCF_002393465.1	FDAARGOS_403	FDAARGOS_401	99.92	99.9679	25	DEL:7;INS:10;INV:7;TRA:1	5495582
GCF_002206405.2	GCF_002208865.2	FDAARGOS_292	FDAARGOS_293	99.92	99.9322	45	DEL:7;INS:18;INV:16;TRA:4	4717434
GCF_017081285.1	GCF_017081375.1	FDAARGOS_1356	FDAARGOS_1351	99.91	99.9835	23	DEL:5;INS:8;INV:4;TRA:6	109323
GCF_002208865.2	GCF_017081375.1	FDAARGOS_293	FDAARGOS_1351	99.91	99.9543	59	DEL:18;INS:20;INV:20;TRA:1	4681298
GCF_017081175.1	GCF_017081285.1	FDAARGOS_1352	FDAARGOS_1356	99.91	99.9748	22	INV:18;TRA:4	5191060
GCA_017136555.1	GCF_016904495.1	FDAARGOS_1278	FDAARGOS_1281	99.91	99.9170	26	DEL:2;INS:8;INV:12;TRA:4	4782990
GCF_016889265.1	GCF_016890105.1	FDAARGOS_1264	FDAARGOS_1266	99.91	99.9927	27	DEL:13;INS:6;INV:7;TRA:1	5070321
GCF_002554325.1	GCF_002554675.1	FDAARGOS_400	FDAARGOS_399	99.91	99.9878	27	DEL:6;INS:2;INV:7;TRA:12	431710
GCF_002208865.2	GCF_002554675.1	FDAARGOS_293	FDAARGOS_399	99.91	99.9466	49	DEL:21;INS:6;INV:20;TRA:2	5407497
GCF_017081285.1	GCF_017081345.1	FDAARGOS_1356	FDAARGOS_1354	99.9	99.9642	33	DEL:6;INS:10;INV:8;TRA:9	211434
GCF_017081285.1	GCF_017081335.1	FDAARGOS_1356	FDAARGOS_1355	99.9	99.9685	38	DEL:7;INS:10;INV:11;TRA:10	2341453
GCF_017081285.1	GCF_017081315.1	FDAARGOS_1356	FDAARGOS_1353	99.9	99.9683	36	DEL:6;INS:9;INV:10;TRA:11	617168
GCF_017081125.1	GCF_017081285.1	FDAARGOS_1239	FDAARGOS_1356	99.9	99.9731	31	DEL:9;INS:7;INV:7;TRA:8	273996
GCF_017081115.1	GCF_017081285.1	FDAARGOS_1238	FDAARGOS_1356	99.9	99.9680	47	DEL:14;INS:9;INV:16;TRA:8	4328623
GCF_002206405.2	GCF_017081115.1	FDAARGOS_292	FDAARGOS_1238	99.9	99.9310	58	DEL:10;INS:21;INV:23;TRA:4	5783348
GCF_016903335.1	GCF_016903835.1	FDAARGOS_1295	FDAARGOS_1299	99.9	99.9734	26	DEL:4;INS:14;INV:8	5118732
GCF_002983645.1	GCF_006364695.1	FDAARGOS_349	FDAARGOS_772	99.9	99.9678	20	DEL:8;INS:10;INV:2	106727
GCF_002393365.1	GCF_006364695.1	FDAARGOS_403	FDAARGOS_772	99.9	99.9678	21	DEL:8;INS:10;INV:2;TRA:1	255582
GCF_002208865.2	GCF_002554475.1	FDAARGOS_293	FDAARGOS_398	99.9	99.9477	47	DEL:23;INS:8;INV:15;TRA:1	4675809
