acc1	strain1	acc2	strain2	ani
GCF_017081375.1	FDAARGOS_1351	GCF_017081225.1	FDAARGOS_1346	99.95
GCF_017081345.1	FDAARGOS_1354	GCF_017081225.1	FDAARGOS_1346	99.95
GCF_017081345.1	FDAARGOS_1354	GCF_017081175.1	FDAARGOS_1352	99.95
GCF_017081335.1	FDAARGOS_1355	GCF_017081185.1	FDAARGOS_1240	99.95
GCF_017081225.1	FDAARGOS_1346	GCF_017081185.1	FDAARGOS_1240	99.95
GCF_016904075.1	FDAARGOS_1303	GCF_016903835.1	FDAARGOS_1299	99.95
GCF_016904055.1	FDAARGOS_1293	GCF_016889045.1	FDAARGOS_1255	99.95
GCF_016890105.1	FDAARGOS_1266	GCF_002588125.1	FDAARGOS_441	99.95
GCF_002983645.1	FDAARGOS_349	GCF_002209105.2	FDAARGOS_348	99.95
GCF_002554675.1	FDAARGOS_399	GCF_002206405.2	FDAARGOS_292	99.95
GCF_002554325.1	FDAARGOS_400	GCF_002206405.2	FDAARGOS_292	99.95
GCF_017081385.1	FDAARGOS_1350	GCF_017081235.1	FDAARGOS_1349	99.94
GCF_017081345.1	FDAARGOS_1354	GCF_017081115.1	FDAARGOS_1238	99.94
GCF_017081335.1	FDAARGOS_1355	GCF_017081115.1	FDAARGOS_1238	99.94
GCF_017081225.1	FDAARGOS_1346	GCF_017081125.1	FDAARGOS_1239	99.94
GCF_016904535.1	FDAARGOS_1297	GCF_016904195.1	FDAARGOS_1296	99.94
GCF_017081335.1	FDAARGOS_1355	GCF_002208865.2	FDAARGOS_293	99.93
GCF_017081315.1	FDAARGOS_1353	GCF_017081115.1	FDAARGOS_1238	99.93
GCF_017081185.1	FDAARGOS_1240	GCF_002208865.2	FDAARGOS_293	99.93
GCF_017081125.1	FDAARGOS_1239	GCF_017081115.1	FDAARGOS_1238	99.93
GCF_016904535.1	FDAARGOS_1297	GCF_016903335.1	FDAARGOS_1295	99.93
GCF_016904195.1	FDAARGOS_1296	GCF_016903335.1	FDAARGOS_1295	99.93
GCF_016890045.1	FDAARGOS_1265	GCF_016889265.1	FDAARGOS_1264	99.93
GCF_017081375.1	FDAARGOS_1351	GCF_017081175.1	FDAARGOS_1352	99.92
GCF_017081375.1	FDAARGOS_1351	GCF_017081115.1	FDAARGOS_1238	99.92
GCF_017081335.1	FDAARGOS_1355	GCF_017081175.1	FDAARGOS_1352	99.92
GCF_017081315.1	FDAARGOS_1353	GCF_017081225.1	FDAARGOS_1346	99.92
GCF_017081315.1	FDAARGOS_1353	GCF_017081175.1	FDAARGOS_1352	99.92
GCF_017081185.1	FDAARGOS_1240	GCF_017081115.1	FDAARGOS_1238	99.92
GCF_017081175.1	FDAARGOS_1352	GCF_017081125.1	FDAARGOS_1239	99.92
GCF_017081175.1	FDAARGOS_1352	GCF_017081115.1	FDAARGOS_1238	99.92
GCF_017081175.1	FDAARGOS_1352	GCF_002208865.2	FDAARGOS_293	99.92
GCF_017081125.1	FDAARGOS_1239	GCF_002208865.2	FDAARGOS_293	99.92
GCF_017081115.1	FDAARGOS_1238	GCF_002208865.2	FDAARGOS_293	99.92
GCF_016904175.1	FDAARGOS_1372	GCF_016889865.1	FDAARGOS_1253	99.92
GCF_016889865.1	FDAARGOS_1253	GCF_016889105.1	FDAARGOS_1254	99.92
GCF_016889265.1	FDAARGOS_1264	GCF_003938635.1	FDAARGOS_539	99.92
GCF_016889265.1	FDAARGOS_1264	GCF_002588125.1	FDAARGOS_441	99.92
GCF_016889265.1	FDAARGOS_1264	GCF_001471815.2	FDAARGOS_142	99.92
GCF_002983645.1	FDAARGOS_349	GCF_002393465.1	FDAARGOS_401	99.92
GCF_002554485.1	FDAARGOS_402	GCF_002393465.1	FDAARGOS_401	99.92
GCF_002393465.1	FDAARGOS_401	GCF_002393365.1	FDAARGOS_403	99.92
GCF_002208865.2	FDAARGOS_293	GCF_002206405.2	FDAARGOS_292	99.92
GCF_017081375.1	FDAARGOS_1351	GCF_017081285.1	FDAARGOS_1356	99.91
GCF_017081375.1	FDAARGOS_1351	GCF_002208865.2	FDAARGOS_293	99.91
GCF_017081285.1	FDAARGOS_1356	GCF_017081175.1	FDAARGOS_1352	99.91
GCF_016904495.1	FDAARGOS_1281	GCA_017136555.1	FDAARGOS_1278	99.91
GCF_016890105.1	FDAARGOS_1266	GCF_016889265.1	FDAARGOS_1264	99.91
GCF_002554675.1	FDAARGOS_399	GCF_002554325.1	FDAARGOS_400	99.91
GCF_002554675.1	FDAARGOS_399	GCF_002208865.2	FDAARGOS_293	99.91
GCF_017081345.1	FDAARGOS_1354	GCF_017081285.1	FDAARGOS_1356	99.9
GCF_017081335.1	FDAARGOS_1355	GCF_017081285.1	FDAARGOS_1356	99.9
GCF_017081315.1	FDAARGOS_1353	GCF_017081285.1	FDAARGOS_1356	99.9
GCF_017081285.1	FDAARGOS_1356	GCF_017081125.1	FDAARGOS_1239	99.9
GCF_017081285.1	FDAARGOS_1356	GCF_017081115.1	FDAARGOS_1238	99.9
GCF_017081115.1	FDAARGOS_1238	GCF_002206405.2	FDAARGOS_292	99.9
GCF_016903835.1	FDAARGOS_1299	GCF_016903335.1	FDAARGOS_1295	99.9
GCF_006364695.1	FDAARGOS_772	GCF_002983645.1	FDAARGOS_349	99.9
GCF_006364695.1	FDAARGOS_772	GCF_002393365.1	FDAARGOS_403	99.9
GCF_002554475.1	FDAARGOS_398	GCF_002208865.2	FDAARGOS_293	99.9
