pairid	band	phylum	dd_breakpoints_ref	dd_breakpoints_qry	dd_relocations_ref	dd_relocations_qry	dd_translocations_ref	dd_translocations_qry	dd_inversions_ref	dd_inversions_qry	dd_insertions_ref	dd_insertions_qry	dd_insertionsum_ref	dd_insertionsum_qry	dd_tandemins_ref	dd_tandemins_qry	dd_tandeminssum_ref	dd_tandeminssum_qry
GCF_001068775.1__GCA_905221345.1	80-85	Firmicutes	925.0	891.0	11.0	13.0	173.0	87.0	2.0	10.0	423.0	521.0	966847.0	1088751.0	0.0	0.0	0.0	0.0
GCF_001180165.1__GCA_902571955.1	90-95	Proteobacteria	179.0	164.0	0.0	0.0	34.0	16.0	1.0	1.0	90.0	103.0	418068.0	171270.0	0.0	0.0	0.0	0.0
GCF_000960475.2__GCF_014648255.1	85-90	Actinobacteriota	2489.0	2465.0	18.0	19.0	118.0	57.0	10.0	10.0	1255.0	1240.0	1678958.0	1845895.0	0.0	0.0	0.0	0.0
GCA_017963805.1__GCA_017539325.1	90-95	UBA3054	597.0	716.0	1.0	1.0	58.0	156.0	4.0	4.0	335.0	292.0	288777.0	387579.0	0.0	0.0	0.0	0.0
GCF_001693515.2__GCF_009930815.1	90-95	Proteobacteria	4364.0	4362.0	432.0	385.0	0.0	0.0	156.0	164.0	1949.0	1957.0	2882378.0	2184497.0	0.0	0.0	0.0	0.0
GCF_002082245.2__GCF_003600645.1	80-85	Proteobacteria	2415.0	2415.0	135.0	133.0	0.0	0.0	48.0	55.0	1136.0	1116.0	1771876.0	2172055.0	1.0	0.0	123.0	0.0
GCF_014298075.1__GCF_001598695.1	80-85	Proteobacteria	1973.0	2046.0	30.0	29.0	0.0	79.0	26.0	4.0	965.0	1029.0	2613529.0	2143997.0	0.0	0.0	0.0	0.0
GCA_005789325.1__GCA_000428345.2	80-85	Actinobacteriota	195.0	176.0	0.0	0.0	36.0	9.0	5.0	7.0	109.0	109.0	475513.0	163171.0	0.0	0.0	0.0	0.0
GCA_900552015.1__GCF_000765235.1	90-95	Firmicutes_A	1225.0	1212.0	3.0	3.0	127.0	128.0	7.0	9.0	705.0	541.0	1136345.0	577245.0	0.0	0.0	0.0	0.0
GCA_902582155.1__GCA_902553555.1	85-90	Proteobacteria	162.0	164.0	0.0	0.0	10.0	15.0	0.0	0.0	96.0	90.0	393920.0	604794.0	0.0	0.0	0.0	0.0
GCA_000831085.1__GCA_905373305.1	90-95	Firmicutes	568.0	784.0	3.0	1.0	41.0	167.0	0.0	0.0	284.0	376.0	302764.0	785992.0	1.0	0.0	447.0	0.0
GCF_014222285.1__GCF_013343235.1	90-95	Cyanobacteria	5169.0	4934.0	134.0	136.0	667.0	0.0	7.0	148.0	2234.0	2428.0	2312378.0	2357964.0	4.0	0.0	1180.0	0.0
GCA_902634305.1__GCA_902587435.1	90-95	Proteobacteria	206.0	199.0	0.0	0.0	24.0	28.0	6.0	6.0	117.0	108.0	224025.0	371206.0	0.0	0.0	0.0	0.0
GCA_003282205.1__GCA_902617895.1	90-95	Proteobacteria	208.0	208.0	0.0	0.0	17.0	19.0	0.0	0.0	111.0	114.0	248672.0	374423.0	0.0	0.0	0.0	0.0
GCF_000421725.1__GCF_000166355.1	90-95	Firmicutes_A	868.0	807.0	24.0	39.0	84.0	0.0	1.0	18.0	385.0	334.0	785664.0	587483.0	1.0	0.0	63.0	0.0
GCA_900321605.1__GCA_017542915.1	95-100	Bacteroidota	831.0	877.0	6.0	4.0	103.0	129.0	5.0	2.0	400.0	415.0	453175.0	1038032.0	0.0	0.0	0.0	0.0
GCA_900765185.1__GCA_900765115.1	90-95	Actinobacteriota	1105.0	850.0	2.0	1.0	246.0	78.0	2.0	2.0	511.0	478.0	561743.0	206543.0	0.0	0.0	0.0	0.0
GCA_902628525.1__GCA_902591695.1	85-90	Proteobacteria	180.0	190.0	1.0	1.0	11.0	19.0	2.0	3.0	111.0	117.0	373457.0	431106.0	0.0	0.0	0.0	0.0
GCA_902609285.1__GCA_902604835.1	90-95	Actinobacteriota	154.0	139.0	0.0	0.0	27.0	18.0	3.0	3.0	88.0	78.0	237865.0	266534.0	0.0	0.0	0.0	0.0
GCF_004320525.1__GCF_001663775.1	85-90	Actinobacteriota	1727.0	1680.0	36.0	39.0	91.0	21.0	3.0	26.0	838.0	831.0	1564762.0	1896716.0	0.0	0.0	0.0	0.0
GCF_000966285.1__GCF_016786355.1	85-90	Actinobacteriota	4430.0	4484.0	100.0	53.0	0.0	431.0	127.0	14.0	2378.0	2093.0	4815032.0	2341656.0	0.0	0.0	0.0	0.0
GCF_900234795.1__GCF_014199985.1	85-90	Proteobacteria	3062.0	3116.0	80.0	31.0	0.0	191.0	85.0	18.0	1497.0	1513.0	1895149.0	1777889.0	1.0	3.0	351.0	1587.0
GCF_000717645.1__GCF_003610995.1	85-90	Actinobacteriota	4498.0	4381.0	41.0	51.0	193.0	0.0	3.0	60.0	2211.0	2224.0	2693481.0	3200122.0	1.0	0.0	101.0	0.0
GCF_014323405.1__GCA_902362365.1	90-95	Firmicutes_A	1130.0	1126.0	11.0	11.0	37.0	132.0	5.0	2.0	576.0	477.0	567051.0	818538.0	2.0	1.0	236.0	225.0
GCF_001667185.1__GCF_002101815.1	90-95	Actinobacteriota	1556.0	1478.0	7.0	5.0	130.0	49.0	2.0	3.0	753.0	793.0	816540.0	694537.0	1.0	0.0	42.0	0.0
GCF_001952855.1__GCF_000346755.1	85-90	Proteobacteria	3337.0	3355.0	12.0	17.0	149.0	297.0	5.0	2.0	1681.0	1728.0	2318801.0	2898103.0	0.0	0.0	0.0	0.0
GCF_003584685.1__GCA_910589175.1	85-90	Firmicutes	452.0	465.0	2.0	1.0	0.0	43.0	1.0	0.0	247.0	231.0	652590.0	654742.0	0.0	0.0	0.0	0.0
GCF_002259745.1__GCF_018555355.1	85-90	Actinobacteriota	2131.0	2136.0	5.0	1.0	66.0	58.0	23.0	24.0	1058.0	1108.0	1528861.0	1561167.0	0.0	1.0	0.0	142.0
GCF_018207095.1__GCF_900143625.1	85-90	Actinobacteriota	3400.0	3342.0	5.0	5.0	278.0	126.0	0.0	0.0	1773.0	1913.0	2823366.0	2422434.0	0.0	0.0	0.0	0.0
GCF_009749465.1__GCF_003384855.1	85-90	Actinobacteriota	2230.0	2229.0	18.0	19.0	41.0	23.0	11.0	11.0	1113.0	1131.0	1901739.0	1444806.0	0.0	0.0	0.0	0.0
GCA_017557665.1__GCA_017405965.1	80-85	Bacteroidota	1928.0	1867.0	24.0	21.0	205.0	179.0	38.0	31.0	961.0	956.0	2132066.0	2009943.0	0.0	0.0	0.0	0.0
GCF_003046425.1__GCF_000306675.2	90-95	Spirochaetota	2928.0	2847.0	86.0	61.0	190.0	13.0	5.0	63.0	1407.0	1210.0	1034587.0	654063.0	1.0	0.0	108.0	0.0
GCF_002155975.1__GCF_017308975.1	90-95	Actinobacteriota	4901.0	4172.0	19.0	20.0	953.0	205.0	34.0	36.0	2238.0	2326.0	3142835.0	2484782.0	0.0	0.0	0.0	0.0
GCA_900316525.1__GCA_902778105.1	80-85	Bacteroidota	1217.0	1235.0	12.0	7.0	108.0	97.0	66.0	63.0	616.0	662.0	1316140.0	1676749.0	1.0	0.0	69.0	0.0
GCF_000716535.1__GCF_014650035.1	85-90	Actinobacteriota	4083.0	4068.0	14.0	16.0	233.0	165.0	28.0	30.0	1961.0	2127.0	2825147.0	5057661.0	0.0	1.0	0.0	276.0
GCA_015062085.1__GCA_017939795.1	85-90	Planctomycetota	3662.0	3486.0	17.0	30.0	422.0	273.0	16.0	43.0	1756.0	1717.0	2072709.0	1482386.0	2.0	3.0	183.0	359.0
GCF_009858265.1__GCF_900101045.1	90-95	Actinobacteriota	2031.0	2064.0	64.0	113.0	0.0	56.0	35.0	8.0	974.0	900.0	1299897.0	1144423.0	0.0	0.0	0.0	0.0
GCF_003002955.1__GCF_900102815.1	85-90	Actinobacteriota	2563.0	2560.0	33.0	26.0	145.0	131.0	16.0	26.0	1263.0	1291.0	1634204.0	1803321.0	0.0	0.0	0.0	0.0
GCF_011039175.1__GCA_017945865.1	90-95	Actinobacteriota	1342.0	1296.0	21.0	41.0	94.0	0.0	2.0	26.0	578.0	636.0	461670.0	941510.0	0.0	0.0	0.0	0.0
GCA_000634515.1__GCA_902537445.1	85-90	Cyanobacteria	313.0	260.0	5.0	3.0	88.0	53.0	5.0	4.0	150.0	163.0	180718.0	470709.0	0.0	0.0	0.0	0.0
GCF_018383905.1__GCF_014844035.1	80-85	Bacteroidota	2124.0	2076.0	29.0	32.0	68.0	0.0	9.0	31.0	1020.0	1056.0	3358009.0	3144741.0	1.0	0.0	13.0	0.0
GCF_014779655.1__GCF_014653115.1	85-90	Actinobacteriota	1805.0	1794.0	17.0	20.0	69.0	64.0	0.0	0.0	904.0	887.0	1061824.0	1420581.0	0.0	0.0	0.0	0.0
GCA_017526585.1__GCA_902756345.1	85-90	Fibrobacterota	1668.0	1599.0	18.0	39.0	231.0	149.0	7.0	12.0	821.0	819.0	2117069.0	1603706.0	0.0	0.0	0.0	0.0
GCA_002394865.1__GCA_902776765.1	80-85	Fibrobacterota	2490.0	2608.0	25.0	23.0	119.0	214.0	5.0	0.0	1248.0	1233.0	2012723.0	1872853.0	1.0	1.0	55.0	225.0
GCF_014490035.1__GCF_002966795.1	85-90	Proteobacteria	2454.0	2454.0	102.0	99.0	0.0	0.0	64.0	72.0	1225.0	1204.0	2897847.0	3324208.0	0.0	1.0	0.0	393.0
GCF_004000745.1__GCA_900766135.1	80-85	Firmicutes	2125.0	2091.0	6.0	6.0	133.0	66.0	3.0	3.0	1131.0	1097.0	2774821.0	1776996.0	0.0	0.0	0.0	0.0
GCF_017114865.1__GCF_900114215.1	90-95	Actinobacteriota	1682.0	1665.0	23.0	23.0	105.0	82.0	2.0	3.0	823.0	740.0	1449043.0	1043232.0	0.0	1.0	0.0	153.0
GCA_018060215.1__GCA_017302035.1	85-90	Proteobacteria	1677.0	1566.0	5.0	4.0	207.0	114.0	5.0	5.0	894.0	917.0	1292954.0	660744.0	0.0	0.0	0.0	0.0
GCA_016870675.1__GCA_016783995.1	95-100	Actinobacteriota	509.0	441.0	2.0	3.0	114.0	36.0	0.0	0.0	221.0	298.0	319891.0	515410.0	0.0	0.0	0.0	0.0
GCF_900198625.1__GCF_900198365.1	95-100	Campylobacterota	1914.0	1959.0	20.0	14.0	479.0	516.0	13.0	14.0	829.0	981.0	457736.0	585708.0	1.0	0.0	185.0	0.0
GCF_002210435.1__GCF_000145235.1	80-85	Actinobacteriota	3624.0	3601.0	64.0	101.0	284.0	0.0	4.0	83.0	1800.0	1860.0	4066388.0	4195004.0	0.0	0.0	0.0	0.0
GCA_017505635.1__GCA_017442085.1	85-90	Firmicutes_A	1061.0	1136.0	7.0	6.0	71.0	161.0	15.0	11.0	587.0	552.0	611162.0	683371.0	0.0	0.0	0.0	0.0
GCF_004364585.1__GCF_014874065.1	80-85	Actinobacteriota	1430.0	1426.0	7.0	8.0	25.0	7.0	0.0	0.0	717.0	724.0	1562589.0	1514762.0	0.0	0.0	0.0	0.0
GCF_016894385.1__GCF_003402535.1	90-95	Proteobacteria	2192.0	2342.0	49.0	36.0	62.0	219.0	37.0	14.0	1154.0	967.0	3591733.0	1522996.0	3.0	0.0	669.0	0.0
GCF_004028635.1__GCF_003963535.1	90-95	Actinobacteriota	4866.0	4825.0	158.0	185.0	288.0	0.0	42.0	171.0	2292.0	2279.0	3824089.0	2955703.0	1.0	1.0	92.0	237.0
GCA_905612295.1__GCA_905612275.1	85-90	Thermoproteota	206.0	215.0	0.0	1.0	32.0	29.0	3.0	4.0	122.0	135.0	309359.0	390613.0	0.0	0.0	0.0	0.0
GCF_002531905.1__GCF_001664485.1	90-95	Proteobacteria	2564.0	2449.0	66.0	70.0	205.0	42.0	8.0	31.0	1230.0	1030.0	1410114.0	1475952.0	1.0	2.0	132.0	453.0
GCF_001189365.1__GCF_018408855.1	85-90	Proteobacteria	3201.0	3170.0	3.0	18.0	399.0	78.0	6.0	25.0	1638.0	1793.0	6137404.0	2306775.0	0.0	0.0	0.0	0.0
GCF_000382345.1__GCF_018119395.1	85-90	Proteobacteria	3074.0	3034.0	20.0	20.0	184.0	160.0	1.0	2.0	1568.0	1591.0	2100437.0	2876386.0	1.0	0.0	110.0	0.0
GCF_000332515.2__GCF_000332455.1	90-95	Spirochaetota	1685.0	1692.0	16.0	7.0	56.0	115.0	2.0	1.0	791.0	659.0	676381.0	550627.0	0.0	0.0	0.0	0.0
GCA_004379115.1__GCA_903848435.1	85-90	Actinobacteriota	1267.0	1394.0	1.0	1.0	139.0	344.0	0.0	0.0	850.0	775.0	643367.0	1022988.0	0.0	1.0	0.0	2.0
GCA_902799355.1__GCA_902798425.1	85-90	Bacteroidota	1277.0	1293.0	6.0	3.0	143.0	145.0	10.0	9.0	658.0	671.0	1818173.0	1539712.0	0.0	0.0	0.0	0.0
GCF_003044645.1__GCF_001618085.1	95-100	Proteobacteria	580.0	648.0	6.0	8.0	25.0	58.0	3.0	0.0	294.0	238.0	350715.0	340924.0	0.0	0.0	0.0	0.0
GCF_001570405.1__GCA_001570385.1	85-90	Actinobacteriota	4882.0	4866.0	29.0	29.0	516.0	479.0	13.0	13.0	2426.0	2416.0	3948183.0	3029924.0	0.0	0.0	0.0	0.0
GCF_001424645.1__GCF_000878135.1	90-95	Actinobacteriota	818.0	945.0	17.0	10.0	1.0	153.0	11.0	1.0	449.0	413.0	361160.0	376372.0	1.0	0.0	85.0	0.0
GCA_902799965.1__GCA_902799665.1	85-90	Spirochaetota	1741.0	1636.0	0.0	1.0	243.0	148.0	17.0	17.0	882.0	907.0	1385792.0	1320858.0	0.0	0.0	0.0	0.0
GCA_902591415.1__GCA_902572345.1	85-90	Proteobacteria	193.0	176.0	0.0	0.0	32.0	12.0	0.0	0.0	111.0	113.0	392826.0	269654.0	1.0	0.0	42.0	0.0
GCF_004346385.1__GCF_001008345.1	90-95	Actinobacteriota	3077.0	3135.0	11.0	9.0	160.0	289.0	10.0	4.0	1613.0	1529.0	2075783.0	1783751.0	1.0	0.0	36.0	0.0
GCF_002096815.1__GCF_002087075.1	90-95	Firmicutes	1404.0	1420.0	29.0	16.0	97.0	191.0	11.0	3.0	725.0	487.0	769156.0	576936.0	0.0	0.0	0.0	0.0
GCF_009377195.2__GCF_002927275.1	80-85	Actinobacteriota	1659.0	1660.0	16.0	18.0	40.0	42.0	11.0	11.0	838.0	837.0	1941906.0	1948401.0	0.0	0.0	0.0	0.0
GCA_902621725.1__GCA_902514875.1	85-90	Proteobacteria	230.0	232.0	0.0	0.0	30.0	30.0	1.0	1.0	139.0	140.0	454385.0	518129.0	0.0	0.0	0.0	0.0
GCF_001691565.1__GCF_014204835.1	80-85	Actinobacteriota	1224.0	1222.0	32.0	30.0	10.0	0.0	1.0	10.0	606.0	606.0	1985237.0	1723695.0	0.0	0.0	0.0	0.0
GCF_003696305.1__GCF_902506505.1	80-85	Proteobacteria	3075.0	3057.0	117.0	189.0	311.0	1.0	17.0	175.0	1506.0	1539.0	2070850.0	2664021.0	0.0	0.0	0.0	0.0
GCA_902629695.1__GCA_902565935.1	90-95	Proteobacteria	159.0	156.0	0.0	0.0	23.0	24.0	0.0	0.0	89.0	82.0	316251.0	190130.0	0.0	0.0	0.0	0.0
GCA_003282965.1__GCA_902569735.1	80-85	Proteobacteria	198.0	202.0	1.0	1.0	12.0	18.0	3.0	3.0	118.0	113.0	395186.0	503879.0	0.0	0.0	0.0	0.0
GCA_014156375.1__GCA_002470465.1	80-85	Proteobacteria	1692.0	1736.0	17.0	11.0	29.0	76.0	4.0	4.0	843.0	858.0	1641600.0	1983084.0	0.0	1.0	0.0	117.0
GCF_001425905.1__GCA_902826655.1	80-85	Proteobacteria	2340.0	2475.0	17.0	13.0	128.0	259.0	13.0	8.0	1220.0	1205.0	2398984.0	2474379.0	0.0	0.0	0.0	0.0
GCF_003857035.1__GCF_015751785.1	90-95	Actinobacteriota	2554.0	2298.0	48.0	51.0	422.0	0.0	3.0	50.0	1148.0	1277.0	1498659.0	1236009.0	1.0	2.0	120.0	330.0
GCF_018531375.1__GCF_000218545.1	80-85	Actinobacteriota	2134.0	2127.0	46.0	63.0	9.0	0.0	34.0	28.0	1070.0	1046.0	1744222.0	1955074.0	0.0	1.0	0.0	288.0
GCF_003942865.1__GCF_001072375.1	80-85	Firmicutes	894.0	935.0	20.0	9.0	104.0	192.0	5.0	2.0	478.0	479.0	959158.0	1081085.0	0.0	0.0	0.0	0.0
GCF_003185805.1__GCF_001449105.1	90-95	Proteobacteria	4507.0	4126.0	7.0	7.0	747.0	322.0	4.0	8.0	2197.0	2185.0	1563411.0	1391081.0	0.0	0.0	0.0	0.0
GCA_900555465.1__GCA_019113065.1	90-95	Firmicutes_A	1324.0	1130.0	0.0	1.0	333.0	158.0	5.0	8.0	720.0	723.0	816287.0	439254.0	0.0	0.0	0.0	0.0
GCF_002155915.1__GCF_001906585.1	90-95	Actinobacteriota	3903.0	3679.0	10.0	13.0	514.0	121.0	10.0	13.0	2019.0	2121.0	3719431.0	1601913.0	1.0	0.0	552.0	0.0
GCA_003210015.1__GCA_902592325.1	80-85	Proteobacteria	259.0	247.0	0.0	0.0	35.0	29.0	1.0	2.0	159.0	152.0	440019.0	366531.0	0.0	0.0	0.0	0.0
GCF_000876655.1__GCF_018613755.1	85-90	Actinobacteriota	1870.0	1873.0	18.0	15.0	68.0	87.0	1.0	1.0	935.0	963.0	1967678.0	1895229.0	0.0	0.0	0.0	0.0
GCA_001629235.1__GCA_902601345.1	90-95	Thermoplasmatota	335.0	257.0	0.0	0.0	70.0	15.0	4.0	3.0	167.0	131.0	365437.0	186730.0	1.0	0.0	120.0	0.0
GCA_012511235.1__GCA_002432715.1	85-90	Spirochaetota	1221.0	929.0	1.0	1.0	405.0	20.0	0.0	0.0	578.0	764.0	1176560.0	593547.0	0.0	0.0	0.0	0.0
GCF_018343775.1__GCF_000452705.1	80-85	Proteobacteria	2022.0	2021.0	92.0	77.0	0.0	0.0	52.0	70.0	1001.0	1001.0	3490303.0	3729576.0	0.0	0.0	0.0	0.0
GCF_009696315.1__GCF_001642025.1	80-85	Actinobacteriota	909.0	916.0	10.0	11.0	3.0	15.0	3.0	2.0	460.0	457.0	952038.0	1178473.0	0.0	0.0	0.0	0.0
GCF_014467235.1__GCF_002632465.1	90-95	Proteobacteria	1693.0	1743.0	7.0	8.0	152.0	171.0	11.0	16.0	814.0	741.0	984450.0	1121632.0	1.0	4.0	143.0	564.0
GCA_004020365.1__GCF_002284575.1	90-95	Proteobacteria	3865.0	3648.0	39.0	38.0	421.0	315.0	10.0	22.0	1730.0	1758.0	2033986.0	1973323.0	1.0	2.0	228.0	133.0
GCA_003278165.1__GCA_902565325.1	85-90	Proteobacteria	199.0	195.0	0.0	0.0	26.0	21.0	3.0	3.0	126.0	129.0	297568.0	579173.0	0.0	0.0	0.0	0.0
GCF_900114115.1__GCA_002412965.1	80-85	Desulfobacterota_I	1686.0	1679.0	20.0	24.0	102.0	70.0	5.0	8.0	809.0	854.0	2421498.0	2496716.0	0.0	0.0	0.0	0.0
GCA_902626065.1__GCA_902587025.1	85-90	Actinobacteriota	163.0	166.0	0.0	0.0	8.0	10.0	0.0	0.0	91.0	92.0	383209.0	495516.0	0.0	0.0	0.0	0.0
GCF_000876655.1__GCF_005280255.1	85-90	Actinobacteriota	2126.0	2093.0	46.0	66.0	109.0	0.0	7.0	43.0	1050.0	1028.0	2613672.0	1742343.0	0.0	0.0	0.0	0.0
GCF_013181195.1__GCA_017744445.1	85-90	Proteobacteria	3222.0	3240.0	38.0	27.0	191.0	217.0	23.0	27.0	1641.0	1542.0	2256932.0	2607608.0	0.0	0.0	0.0	0.0
GCA_903857495.1__GCA_903840385.1	85-90	Acidobacteriota	2053.0	2221.0	14.0	9.0	128.0	255.0	6.0	4.0	1092.0	1085.0	1273259.0	1926599.0	0.0	0.0	0.0	0.0
