acc	species	genus	contig_count	n50_contigs	genome_size	checkm_completeness	checkm_contamination	ncbi_assembly_level	ncbi_genbank_assembly_accession	ncbi_strain_identifiers
GCF_002286075.1	Bordetella pertussis	Bordetella	1	4103239	4103239	100.0	0.47	Complete Genome	GCA_002286075.1	E898
GCF_002286155.1	Bordetella pertussis	Bordetella	1	4101132	4101132	100.0	0.47	Complete Genome	GCA_002286155.1	E025
GCF_002442775.1	Bordetella pertussis	Bordetella	1	4105315	4105315	100.0	0.47	Complete Genome	GCA_002442775.1	J170
GCF_002859685.1	Bordetella pertussis	Bordetella	1	4104273	4104273	100.0	0.47	Complete Genome	GCA_002859685.1	J203
GCF_002859705.1	Bordetella pertussis	Bordetella	1	4106384	4106384	100.0	0.47	Complete Genome	GCA_002859705.1	J230
GCF_002859725.1	Bordetella pertussis	Bordetella	1	4105292	4105292	100.0	0.47	Complete Genome	GCA_002859725.1	J295
GCF_003991035.1	Bordetella pertussis	Bordetella	1	4110595	4110595	100.0	0.47	Complete Genome	GCA_003991035.1	J358
GCF_004008655.1	Bordetella pertussis	Bordetella	1	4097016	4097016	100.0	0.47	Complete Genome	GCA_004008655.1	F578
GCF_004009215.1	Bordetella pertussis	Bordetella	1	4106670	4106670	100.0	0.47	Complete Genome	GCA_004009215.1	H920
GCF_004634925.1	Bordetella pertussis	Bordetella	1	4110548	4110548	100.0	0.47	Complete Genome	GCA_004634925.1	J274
GCF_004635185.1	Bordetella pertussis	Bordetella	1	4110577	4110577	100.0	0.47	Complete Genome	GCA_004635185.1	J260
GCF_004635285.1	Bordetella pertussis	Bordetella	1	4110577	4110577	100.0	0.47	Complete Genome	GCA_004635285.1	J254
GCF_004635705.1	Bordetella pertussis	Bordetella	1	4105341	4105341	100.0	0.47	Complete Genome	GCA_004635705.1	J695
GCF_004635945.1	Bordetella pertussis	Bordetella	1	4104267	4104267	100.0	0.47	Complete Genome	GCA_004635945.1	J616
GCF_004636165.1	Bordetella pertussis	Bordetella	1	4111643	4111643	100.0	0.47	Complete Genome	GCA_004636165.1	J374
GCF_004636245.1	Bordetella pertussis	Bordetella	1	4109501	4109501	100.0	0.47	Complete Genome	GCA_004636245.1	J424
GCF_004636325.1	Bordetella pertussis	Bordetella	1	4106379	4106379	100.0	0.47	Complete Genome	GCA_004636325.1	J390
GCF_004636925.1	Bordetella pertussis	Bordetella	1	4106572	4106572	100.0	0.47	Complete Genome	GCA_004636925.1	J549
GCF_004637045.1	Bordetella pertussis	Bordetella	1	4104389	4104389	100.0	0.47	Complete Genome	GCA_004637045.1	J233
GCF_009625935.1	Bordetella pertussis	Bordetella	1	4773877	4773877	100.0	0.0	Complete Genome	GCA_009625935.1	J599
GCF_001307525.1	Bordetella pertussis	Bordetella	1	4101147	4101147	100.0	0.47	Complete Genome	GCA_001307525.1	B3629
GCF_001307705.1	Bordetella pertussis	Bordetella	1	4103254	4103254	100.0	0.47	Complete Genome	GCA_001307705.1	B3658
GCF_001605365.1	Bordetella pertussis	Bordetella	1	4106823	4106823	100.0	0.0	Complete Genome	GCA_001605365.1	H788
GCF_001985465.1	Bordetella pertussis	Bordetella	1	4102311	4102311	100.0	0.47	Complete Genome	GCA_001985465.1	H800
GCF_001985485.1	Bordetella pertussis	Bordetella	1	4103534	4103534	100.0	0.47	Complete Genome	GCA_001985485.1	H806
GCF_001985625.1	Bordetella pertussis	Bordetella	1	4108484	4108484	100.0	0.47	Complete Genome	GCA_001985625.1	I602
GCF_001985645.1	Bordetella pertussis	Bordetella	1	4106407	4106407	100.0	0.47	Complete Genome	GCA_001985645.1	I730
GCF_001985725.1	Bordetella pertussis	Bordetella	1	4112738	4112738	100.0	0.47	Complete Genome	GCA_001985725.1	I944
GCF_001985825.1	Bordetella pertussis	Bordetella	1	4108752	4108752	100.0	0.47	Complete Genome	GCA_001985825.1	I351
GCF_001985945.1	Bordetella pertussis	Bordetella	1	4107443	4107443	100.0	0.47	Complete Genome	GCA_001985945.1	J038
GCF_001986105.1	Bordetella pertussis	Bordetella	1	4107433	4107433	100.0	0.47	Complete Genome	GCA_001986105.1	I464
GCF_001986515.1	Bordetella pertussis	Bordetella	1	4106392	4106392	100.0	0.47	Complete Genome	GCA_001986515.1	E530
GCF_001986695.1	Bordetella pertussis	Bordetella	1	4106491	4106491	100.0	0.47	Complete Genome	GCA_001986695.1	H775
GCF_001986975.1	Bordetella pertussis	Bordetella	1	4112692	4112692	100.0	0.47	Complete Genome	GCA_001986975.1	I088
GCF_001987095.1	Bordetella pertussis	Bordetella	1	4109544	4109544	100.0	0.47	Complete Genome	GCA_001987095.1	I135
GCF_001988075.1	Bordetella pertussis	Bordetella	1	4106401	4106401	100.0	0.47	Complete Genome	GCA_001988075.1	C549
GCF_001988355.1	Bordetella pertussis	Bordetella	1	4112694	4112694	100.0	0.47	Complete Genome	GCA_001988355.1	J192
GCF_001988475.1	Bordetella pertussis	Bordetella	1	4107428	4107428	100.0	0.47	Complete Genome	GCA_001988475.1	J296
GCF_001989035.1	Bordetella pertussis	Bordetella	1	4109522	4109522	100.0	0.47	Complete Genome	GCA_001989035.1	J120
GCF_002285955.1	Bordetella pertussis	Bordetella	1	4127835	4127835	100.0	0.47	Complete Genome	GCA_002285955.1	E945
GCF_002286035.1	Bordetella pertussis	Bordetella	1	4106298	4106298	100.0	0.47	Complete Genome	GCA_002286035.1	D735
GCF_002286115.1	Bordetella pertussis	Bordetella	1	4102255	4102255	100.0	0.47	Complete Genome	GCA_002286115.1	D717
GCF_002442795.1	Bordetella pertussis	Bordetella	1	4103236	4103236	100.0	0.47	Complete Genome	GCA_002442795.1	J308
GCF_002859825.1	Bordetella pertussis	Bordetella	1	4109385	4109385	100.0	0.47	Complete Genome	GCA_002859825.1	J313
GCF_003186595.1	Bordetella pertussis	Bordetella	1	5242373	5242373	100.0	0.12	Complete Genome	GCA_003186595.1	I943
GCF_004008215.1	Bordetella pertussis	Bordetella	1	4775493	4775493	100.0	0.0	Complete Genome	GCA_004008215.1	B160
GCF_004008295.1	Bordetella pertussis	Bordetella	1	4773835	4773835	100.0	0.0	Complete Genome	GCA_004008295.1	A005
GCF_004008475.1	Bordetella pertussis	Bordetella	1	4106548	4106548	100.0	0.47	Complete Genome	GCA_004008475.1	J024
GCF_004009135.1	Bordetella pertussis	Bordetella	1	4105345	4105345	100.0	0.47	Complete Genome	GCA_004009135.1	H877
GCF_004009775.1	Bordetella pertussis	Bordetella	1	4111618	4111618	100.0	0.47	Complete Genome	GCA_004009775.1	I420
GCF_004635465.1	Bordetella pertussis	Bordetella	1	4107550	4107550	100.0	0.47	Complete Genome	GCA_004635465.1	J402
GCF_004635585.1	Bordetella pertussis	Bordetella	1	4108483	4108483	100.0	0.47	Complete Genome	GCA_004635585.1	J367
GCF_004636005.1	Bordetella pertussis	Bordetella	1	4107723	4107723	100.0	0.47	Complete Genome	GCA_004636005.1	J632
GCF_004637025.1	Bordetella pertussis	Bordetella	1	4106373	4106373	100.0	0.47	Complete Genome	GCA_004637025.1	J586
GCF_009625775.1	Bordetella pertussis	Bordetella	1	4773959	4773959	100.0	0.0	Complete Genome	GCA_009625775.1	J792
GCF_009626595.1	Bordetella pertussis	Bordetella	1	4773916	4773916	100.0	0.0	Complete Genome	GCA_009626595.1	J069
GCF_009626635.1	Bordetella pertussis	Bordetella	1	4773834	4773834	100.0	0.0	Complete Genome	GCA_009626635.1	I768
GCF_009627255.1	Bordetella pertussis	Bordetella	1	4773924	4773924	100.0	0.0	Complete Genome	GCA_009627255.1	H580
GCF_017357125.1	Bordetella pertussis	Bordetella	1	4093865	4093865	100.0	0.47	Complete Genome	GCA_017357125.1	CIDM-BP3
GCF_017357205.1	Bordetella pertussis	Bordetella	1	4109518	4109518	100.0	0.47	Complete Genome	GCA_017357205.1	CIDM-BP2
GCF_900327845.1	Bordetella pertussis	Bordetella	1	4160081	4160081	100.0	0.0	Complete Genome	GCA_900327845.1	VS393;Bordetella pertussis
GCF_001307745.1	Bordetella pertussis	Bordetella	1	4111557	4111557	100.0	0.47	Complete Genome	GCA_001307745.1	B3921
GCF_001509915.1	Bordetella pertussis	Bordetella	1	4082551	4082551	100.0	0.47	Complete Genome	GCA_001509915.1	I979
GCF_001605175.1	Bordetella pertussis	Bordetella	1	4106364	4106364	100.0	0.47	Complete Genome	GCA_001605175.1	H489
GCF_001605505.1	Bordetella pertussis	Bordetella	1	4096713	4096713	100.0	0.47	Complete Genome	GCA_001605505.1	I496
GCF_001686505.1	Bordetella pertussis	Bordetella	1	4113052	4113052	100.0	0.47	Complete Genome	GCA_001686505.1	VA-09
GCF_001686625.1	Bordetella pertussis	Bordetella	1	4124767	4124767	100.0	0.47	Complete Genome	GCA_001686625.1	UT25Sm1
GCF_001985165.1	Bordetella pertussis	Bordetella	1	4103215	4103215	100.0	0.47	Complete Genome	GCA_001985165.1	F670
GCF_001985245.1	Bordetella pertussis	Bordetella	1	4102661	4102661	100.0	0.0	Complete Genome	GCA_001985245.1	H520
GCF_001985365.1	Bordetella pertussis	Bordetella	1	4108484	4108484	100.0	0.47	Complete Genome	GCA_001985365.1	H729
GCF_001986255.1	Bordetella pertussis	Bordetella	1	4104277	4104277	100.0	0.47	Complete Genome	GCA_001986255.1	H915
GCF_001986315.1	Bordetella pertussis	Bordetella	1	4106497	4106497	100.0	0.47	Complete Genome	GCA_001986315.1	I975
GCF_001986355.1	Bordetella pertussis	Bordetella	1	4106504	4106504	100.0	0.47	Complete Genome	GCA_001986355.1	J022
GCF_001986535.1	Bordetella pertussis	Bordetella	1	4110608	4110608	100.0	0.47	Complete Genome	GCA_001986535.1	H346
GCF_001987215.1	Bordetella pertussis	Bordetella	1	4110433	4110433	100.0	0.47	Complete Genome	GCA_001987215.1	I273
GCF_001987375.1	Bordetella pertussis	Bordetella	1	4091930	4091930	100.0	0.47	Complete Genome	GCA_001987375.1	I380
GCF_001987675.1	Bordetella pertussis	Bordetella	1	4110595	4110595	100.0	0.47	Complete Genome	GCA_001987675.1	J012
GCF_001988495.1	Bordetella pertussis	Bordetella	1	4105330	4105330	100.0	0.47	Complete Genome	GCA_001988495.1	J300
GCF_001989235.1	Bordetella pertussis	Bordetella	1	4113756	4113756	100.0	0.47	Complete Genome	GCA_001989235.1	J198
GCF_001989275.1	Bordetella pertussis	Bordetella	1	4108471	4108471	100.0	0.47	Complete Genome	GCA_001989275.1	J208
GCF_002018515.1	Bordetella pertussis	Bordetella	1	4106364	4106364	100.0	0.47	Complete Genome	GCA_002018515.1	J105
GCF_002240515.1	Bordetella pertussis	Bordetella	1	4110338	4110338	100.0	0.47	Complete Genome	GCA_002240515.1	J625
GCF_002286015.1	Bordetella pertussis	Bordetella	1	4107441	4107441	100.0	0.47	Complete Genome	GCA_002286015.1	D422
GCF_004006815.1	Bordetella pertussis	Bordetella	1	5303666	5303666	100.0	0.12	Complete Genome	GCA_004006815.1	A345
GCF_004008155.1	Bordetella pertussis	Bordetella	1	4773899	4773899	100.0	0.0	Complete Genome	GCA_004008155.1	B144
GCF_004009015.1	Bordetella pertussis	Bordetella	1	4105351	4105351	100.0	0.47	Complete Genome	GCA_004009015.1	H814
GCF_004009235.1	Bordetella pertussis	Bordetella	1	4106497	4106497	100.0	0.47	Complete Genome	GCA_004009235.1	H813
GCF_004009415.1	Bordetella pertussis	Bordetella	1	4104306	4104306	100.0	0.47	Complete Genome	GCA_004009415.1	H541
GCF_004635525.1	Bordetella pertussis	Bordetella	1	4107431	4107431	100.0	0.47	Complete Genome	GCA_004635525.1	J391
GCF_004635905.1	Bordetella pertussis	Bordetella	1	4112699	4112699	100.0	0.47	Complete Genome	GCA_004635905.1	J603
GCF_004636285.1	Bordetella pertussis	Bordetella	1	4131102	4131102	100.0	0.47	Complete Genome	GCA_004636285.1	A339
GCF_009626075.1	Bordetella pertussis	Bordetella	1	4773886	4773886	100.0	0.0	Complete Genome	GCA_009626075.1	J324
GCF_009626115.1	Bordetella pertussis	Bordetella	1	4773851	4773851	100.0	0.0	Complete Genome	GCA_009626115.1	J307
GCF_009626195.1	Bordetella pertussis	Bordetella	1	4773925	4773925	100.0	0.0	Complete Genome	GCA_009626195.1	J291
GCF_016903095.1	Bordetella pertussis	Bordetella	1	4105067	4105067	100.0	0.0	Complete Genome	GCA_016903095.1	FDAARGOS_1368
GCF_017357185.1	Bordetella pertussis	Bordetella	1	4775256	4775256	100.0	0.0	Complete Genome	GCA_017357185.1	CIDM-BPP2
GCF_001307725.1	Bordetella pertussis	Bordetella	1	4109548	4109548	100.0	0.47	Complete Genome	GCA_001307725.1	B3913
GCF_001605155.1	Bordetella pertussis	Bordetella	1	4107408	4107408	100.0	0.47	Complete Genome	GCA_001605155.1	H627
GCF_001605345.1	Bordetella pertussis	Bordetella	1	4109554	4109554	100.0	0.47	Complete Genome	GCA_001605345.1	H564
GCF_001605665.1	Bordetella pertussis	Bordetella	1	4103417	4103417	100.0	0.47	Complete Genome	GCA_001605665.1	I669
GCF_001985005.1	Bordetella pertussis	Bordetella	1	4104313	4104313	100.0	0.47	Complete Genome	GCA_001985005.1	E150
GCF_001985065.1	Bordetella pertussis	Bordetella	1	4103251	4103251	100.0	0.47	Complete Genome	GCA_001985065.1	E809
GCF_001985105.1	Bordetella pertussis	Bordetella	1	4102201	4102201	100.0	0.47	Complete Genome	GCA_001985105.1	F011
GCF_001985705.1	Bordetella pertussis	Bordetella	1	4106386	4106386	100.0	0.47	Complete Genome	GCA_001985705.1	I915
GCF_001985805.1	Bordetella pertussis	Bordetella	1	4102205	4102205	100.0	0.47	Complete Genome	GCA_001985805.1	I106
GCF_001985925.1	Bordetella pertussis	Bordetella	1	4105333	4105333	100.0	0.47	Complete Genome	GCA_001985925.1	J013
GCF_001985985.1	Bordetella pertussis	Bordetella	1	4102567	4102567	100.0	0.0	Complete Genome	GCA_001985985.1	J169
GCF_001986085.1	Bordetella pertussis	Bordetella	1	4105353	4105353	100.0	0.47	Complete Genome	GCA_001986085.1	I259
GCF_001986375.1	Bordetella pertussis	Bordetella	1	4103277	4103277	100.0	0.47	Complete Genome	GCA_001986375.1	C505
GCF_001986475.1	Bordetella pertussis	Bordetella	1	4101167	4101167	100.0	0.47	Complete Genome	GCA_001986475.1	D502
GCF_001986875.1	Bordetella pertussis	Bordetella	1	4106327	4106327	100.0	0.47	Complete Genome	GCA_001986875.1	H878
GCF_001987035.1	Bordetella pertussis	Bordetella	1	4106381	4106381	100.0	0.47	Complete Genome	GCA_001987035.1	I111
GCF_001987495.1	Bordetella pertussis	Bordetella	1	4105343	4105343	100.0	0.47	Complete Genome	GCA_001987495.1	I735
GCF_001987575.1	Bordetella pertussis	Bordetella	1	4104353	4104353	100.0	0.47	Complete Genome	GCA_001987575.1	I959
GCF_001987815.1	Bordetella pertussis	Bordetella	1	4107448	4107448	100.0	0.47	Complete Genome	GCA_001987815.1	J039
GCF_001988015.1	Bordetella pertussis	Bordetella	1	4106397	4106397	100.0	0.47	Complete Genome	GCA_001988015.1	J115
GCF_001988175.1	Bordetella pertussis	Bordetella	1	4106392	4106392	100.0	0.47	Complete Genome	GCA_001988175.1	H382
GCF_001988215.1	Bordetella pertussis	Bordetella	1	4104135	4104135	100.0	0.47	Complete Genome	GCA_001988215.1	H698
GCF_001988635.1	Bordetella pertussis	Bordetella	1	4090785	4090785	100.0	0.47	Complete Genome	GCA_001988635.1	F778
GCF_001989255.1	Bordetella pertussis	Bordetella	1	4110604	4110604	100.0	0.47	Complete Genome	GCA_001989255.1	J206
GCF_001989315.1	Bordetella pertussis	Bordetella	1	4108658	4108658	100.0	0.47	Complete Genome	GCA_001989315.1	J277
GCF_002068675.1	Bordetella pertussis	Bordetella	1	4110587	4110587	100.0	0.47	Complete Genome	GCA_002068675.1	J152
GCF_002068975.1	Bordetella pertussis	Bordetella	1	4106390	4106390	100.0	0.47	Complete Genome	GCA_002068975.1	J175
GCF_002286135.1	Bordetella pertussis	Bordetella	1	4105336	4105336	100.0	0.47	Complete Genome	GCA_002286135.1	E541
GCF_002859625.1	Bordetella pertussis	Bordetella	1	4107548	4107548	100.0	0.47	Complete Genome	GCA_002859625.1	J081
GCF_002859765.1	Bordetella pertussis	Bordetella	1	4108318	4108318	100.0	0.47	Complete Genome	GCA_002859765.1	J207
GCF_003186305.1	Bordetella pertussis	Bordetella	1	4773977	4773977	100.0	0.0	Complete Genome	GCA_003186305.1	E738
GCF_003355065.1	Bordetella pertussis	Bordetella	1	4108152	4108152	100.0	0.47	Complete Genome	GCA_003355065.1	UK39
GCF_003991095.1	Bordetella pertussis	Bordetella	1	4095467	4095467	100.0	0.0	Complete Genome	GCA_003991095.1	C927
GCF_004008035.1	Bordetella pertussis	Bordetella	1	4773897	4773897	100.0	0.0	Complete Genome	GCA_004008035.1	B271
GCF_004008595.1	Bordetella pertussis	Bordetella	1	4106395	4106395	100.0	0.47	Complete Genome	GCA_004008595.1	D919
GCF_004009355.1	Bordetella pertussis	Bordetella	1	4103241	4103241	100.0	0.47	Complete Genome	GCA_004009355.1	H709
GCF_004009675.1	Bordetella pertussis	Bordetella	1	4103262	4103262	100.0	0.47	Complete Genome	GCA_004009675.1	F569
GCF_004634685.1	Bordetella pertussis	Bordetella	1	4106370	4106370	100.0	0.47	Complete Genome	GCA_004634685.1	J354
GCF_004634725.1	Bordetella pertussis	Bordetella	1	4110578	4110578	100.0	0.47	Complete Genome	GCA_004634725.1	J334
GCF_004635805.1	Bordetella pertussis	Bordetella	1	4104279	4104279	100.0	0.47	Complete Genome	GCA_004635805.1	J617
GCF_004635925.1	Bordetella pertussis	Bordetella	1	4108772	4108772	100.0	0.47	Complete Genome	GCA_004635925.1	J656
GCF_004636045.1	Bordetella pertussis	Bordetella	1	4104297	4104297	100.0	0.47	Complete Genome	GCA_004636045.1	J528
GCF_004636145.1	Bordetella pertussis	Bordetella	1	4106635	4106635	100.0	0.47	Complete Genome	GCA_004636145.1	J378
GCF_004637065.1	Bordetella pertussis	Bordetella	1	4107579	4107579	100.0	0.47	Complete Genome	GCA_004637065.1	J129
GCF_004637205.1	Bordetella pertussis	Bordetella	1	4104386	4104386	100.0	0.47	Complete Genome	GCA_004637205.1	J171
GCF_009626155.1	Bordetella pertussis	Bordetella	1	4773805	4773805	100.0	0.0	Complete Genome	GCA_009626155.1	J293
GCF_009626235.1	Bordetella pertussis	Bordetella	1	4773902	4773902	100.0	0.0	Complete Genome	GCA_009626235.1	J289
GCF_009626455.1	Bordetella pertussis	Bordetella	1	4773518	4773518	100.0	0.0	Complete Genome	GCA_009626455.1	J217
GCF_009626495.1	Bordetella pertussis	Bordetella	1	4773877	4773877	100.0	0.0	Complete Genome	GCA_009626495.1	J166
GCF_009626655.1	Bordetella pertussis	Bordetella	1	4773807	4773807	100.0	0.0	Complete Genome	GCA_009626655.1	I458
GCF_009626855.1	Bordetella pertussis	Bordetella	1	4773878	4773878	100.0	0.0	Complete Genome	GCA_009626855.1	I139
GCF_009627735.1	Bordetella pertussis	Bordetella	1	4773865	4773865	100.0	0.0	Complete Genome	GCA_009627735.1	H101
GCF_001307585.1	Bordetella pertussis	Bordetella	1	4108472	4108472	100.0	0.47	Complete Genome	GCA_001307585.1	B1838
GCF_001605585.1	Bordetella pertussis	Bordetella	1	4107716	4107716	100.0	0.47	Complete Genome	GCA_001605585.1	I538
GCF_001605605.1	Bordetella pertussis	Bordetella	1	4106666	4106666	100.0	0.47	Complete Genome	GCA_001605605.1	I539
GCF_001984965.1	Bordetella pertussis	Bordetella	1	4101097	4101097	100.0	0.47	Complete Genome	GCA_001984965.1	D521
GCF_001985085.1	Bordetella pertussis	Bordetella	1	4116415	4116415	100.0	0.47	Complete Genome	GCA_001985085.1	E976
GCF_001985325.1	Bordetella pertussis	Bordetella	1	4107439	4107439	100.0	0.47	Complete Genome	GCA_001985325.1	H703
GCF_001985505.1	Bordetella pertussis	Bordetella	1	4106384	4106384	100.0	0.47	Complete Genome	GCA_001985505.1	H810
GCF_001985845.1	Bordetella pertussis	Bordetella	1	4107480	4107480	100.0	0.47	Complete Genome	GCA_001985845.1	I743
GCF_001986065.1	Bordetella pertussis	Bordetella	1	4106507	4106507	100.0	0.47	Complete Genome	GCA_001986065.1	I187
GCF_001986275.1	Bordetella pertussis	Bordetella	1	4106355	4106355	100.0	0.47	Complete Genome	GCA_001986275.1	I075
GCF_001986335.1	Bordetella pertussis	Bordetella	1	4109711	4109711	100.0	0.47	Complete Genome	GCA_001986335.1	I998
GCF_001986495.1	Bordetella pertussis	Bordetella	1	4101131	4101131	100.0	0.47	Complete Genome	GCA_001986495.1	E024
GCF_001986795.1	Bordetella pertussis	Bordetella	1	4103204	4103204	100.0	0.47	Complete Genome	GCA_001986795.1	H849
GCF_001987135.1	Bordetella pertussis	Bordetella	1	4104251	4104251	100.0	0.47	Complete Genome	GCA_001987135.1	I257
GCF_001987395.1	Bordetella pertussis	Bordetella	1	4110505	4110505	100.0	0.47	Complete Genome	GCA_001987395.1	I382
GCF_001987415.1	Bordetella pertussis	Bordetella	1	4104275	4104275	100.0	0.47	Complete Genome	GCA_001987415.1	I386
GCF_001987775.1	Bordetella pertussis	Bordetella	1	4109543	4109543	100.0	0.47	Complete Genome	GCA_001987775.1	J027
GCF_001987835.1	Bordetella pertussis	Bordetella	1	4107434	4107434	100.0	0.47	Complete Genome	GCA_001987835.1	J068
GCF_001987935.1	Bordetella pertussis	Bordetella	1	4106381	4106381	100.0	0.47	Complete Genome	GCA_001987935.1	J091
GCF_001988835.1	Bordetella pertussis	Bordetella	1	4105347	4105347	100.0	0.47	Complete Genome	GCA_001988835.1	H876
GCF_002286055.1	Bordetella pertussis	Bordetella	1	4104297	4104297	100.0	0.47	Complete Genome	GCA_002286055.1	C934
GCF_002442715.1	Bordetella pertussis	Bordetella	1	4106326	4106326	100.0	0.47	Complete Genome	GCA_002442715.1	J108
GCF_002859225.1	Bordetella pertussis	Bordetella	1	5109505	5109505	100.0	0.12	Complete Genome	GCA_002859225.1	A310
GCF_002859565.1	Bordetella pertussis	Bordetella	1	4108491	4108491	100.0	0.47	Complete Genome	GCA_002859565.1	I384
GCF_002892665.1	Bordetella pertussis	Bordetella	1	4109686	4109686	100.0	0.47	Complete Genome	GCA_002892665.1	J199
GCF_002892685.1	Bordetella pertussis	Bordetella	1	4107409	4107409	100.0	0.47	Complete Genome	GCA_002892685.1	J014
GCF_003991055.1	Bordetella pertussis	Bordetella	1	4106512	4106512	100.0	0.47	Complete Genome	GCA_003991055.1	J377
GCF_004008415.1	Bordetella pertussis	Bordetella	1	4110543	4110543	100.0	0.47	Complete Genome	GCA_004008415.1	J384
GCF_004008795.1	Bordetella pertussis	Bordetella	1	4085512	4085512	100.0	0.47	Complete Genome	GCA_004008795.1	H642
GCF_004009575.1	Bordetella pertussis	Bordetella	1	4107433	4107433	100.0	0.47	Complete Genome	GCA_004009575.1	I859
GCF_004634665.1	Bordetella pertussis	Bordetella	1	4107267	4107267	100.0	0.47	Complete Genome	GCA_004634665.1	J359
GCF_004634765.1	Bordetella pertussis	Bordetella	1	4106368	4106368	100.0	0.47	Complete Genome	GCA_004634765.1	J322
GCF_004634885.1	Bordetella pertussis	Bordetella	1	4109535	4109535	100.0	0.47	Complete Genome	GCA_004634885.1	J332
GCF_004635105.1	Bordetella pertussis	Bordetella	1	4110579	4110579	100.0	0.47	Complete Genome	GCA_004635105.1	J267
GCF_004635125.1	Bordetella pertussis	Bordetella	1	4110579	4110579	100.0	0.47	Complete Genome	GCA_004635125.1	J266
GCF_004635365.1	Bordetella pertussis	Bordetella	1	4110576	4110576	100.0	0.47	Complete Genome	GCA_004635365.1	J249
GCF_004635385.1	Bordetella pertussis	Bordetella	1	4133306	4133306	100.0	0.47	Complete Genome	GCA_004635385.1	B228
GCF_004635445.1	Bordetella pertussis	Bordetella	1	4110579	4110579	100.0	0.47	Complete Genome	GCA_004635445.1	J250
GCF_013343355.1	Pseudomonas aeruginosa	Pseudomonas	1	6414921	6414921	100.0	0.11	Complete Genome	GCA_013343355.1	DVT427
GCF_003193645.1	Pseudomonas aeruginosa	Pseudomonas	1	6475581	6475581	100.0	0.35	Complete Genome	GCA_003193645.1	AR_0446
GCF_001516265.1	Pseudomonas aeruginosa	Pseudomonas	1	7273258	7273258	99.8	0.43	Complete Genome	GCA_001516265.1	F30658
GCF_001077475.1	Pseudomonas aeruginosa	Pseudomonas	1	6368008	6368008	99.68	0.32	Complete Genome	GCA_001077475.1	F9676
GCF_003369775.1	Pseudomonas aeruginosa	Pseudomonas	1	6831076	6831076	99.68	0.19	Complete Genome	GCA_003369775.1	Y31
GCF_003812905.1	Pseudomonas aeruginosa	Pseudomonas	1	6865838	6865838	99.68	0.58	Complete Genome	GCA_003812905.1	FDAARGOS_501
GCF_007559105.1	Pseudomonas aeruginosa	Pseudomonas	1	6714255	6714255	99.68	0.25	Complete Genome	GCA_007559105.1	519119
GCF_012935295.1	Pseudomonas aeruginosa	Pseudomonas	1	6288195	6288195	99.68	0.11	Complete Genome	GCA_012935295.1	AA2
GCF_013201015.1	Pseudomonas aeruginosa	Pseudomonas	1	6815677	6815777	99.68	0.24	Chromosome	GCA_013201015.1	K19PSE24
GCF_013343395.1	Pseudomonas aeruginosa	Pseudomonas	1	6716245	6716245	99.68	0.11	Complete Genome	GCA_013343395.1	DVT423
GCF_013467585.1	Pseudomonas aeruginosa	Pseudomonas	1	6490020	6490020	99.68	0.14	Complete Genome	GCA_013467585.1	ACR20
GCF_016105505.1	Pseudomonas aeruginosa	Pseudomonas	1	7157191	7157191	99.68	1.46	Complete Genome	GCA_016105505.1	TJ2019-022
GCF_018141625.1	Pseudomonas aeruginosa	Pseudomonas	1	6742928	6742928	99.68	0.43	Complete Genome	GCA_018141625.1	PAS6
