pairid	q_acc	r_acc	band	split	anim_ani	af_tier	stratum
GCA_003446955.1__GCA_017528775.1	GCA_003446955.1	GCA_017528775.1	95-97	train	95.4300	verylow-AF	
GCA_003455175.1__GCA_902773985.1	GCA_003455175.1	GCA_902773985.1	95-97	train	96.4900	strict	
GCA_003483435.1__GCA_018265295.1	GCA_003483435.1	GCA_018265295.1	95-97	test	96.7600	strict	
GCA_003526165.1__GCF_900104195.1	GCA_003526165.1	GCF_900104195.1	95-97	train	95.4900	strict	
GCA_003535915.1__GCF_018618775.1	GCA_003535915.1	GCF_018618775.1	95-97	train	95.4400	strict	
GCA_003535915.1__GCF_018618835.1	GCA_003535915.1	GCF_018618835.1	95-97	train	95.3200	strict	
GCA_003537795.1__GCA_900544035.1	GCA_003537795.1	GCA_900544035.1	95-97	train	95.1400	strict	
GCA_004213165.1__GCF_001632025.1	GCA_004213165.1	GCF_001632025.1	95-97	train	96.9900	strict	
GCA_004214085.1__GCA_018647415.1	GCA_004214085.1	GCA_018647415.1	95-97	train	96.9600	strict	
GCA_004214085.1__GCA_018655425.1	GCA_004214085.1	GCA_018655425.1	95-97	train	96.9800	strict	
GCA_004376705.1__GCA_019057855.1	GCA_004376705.1	GCA_019057855.1	95-97	test	96.5300	low-AF	
GCA_004553245.1__GCA_905211025.1	GCA_004553245.1	GCA_905211025.1	95-97	train	95.9400	low-AF	
GCA_004557765.1__GCA_905203325.1	GCA_004557765.1	GCA_905203325.1	95-97	train	95.5500	strict	
GCA_004560015.1__GCA_015655785.1	GCA_004560015.1	GCA_015655785.1	95-97	train	96.1000	strict	
GCA_004563465.1__GCA_018916745.1	GCA_004563465.1	GCA_018916745.1	95-97	train	95.6200	strict	
GCA_007096815.1__GCF_014218765.1	GCA_007096815.1	GCF_014218765.1	95-97	train	95.9400	strict	
GCA_007122115.1__GCF_000337715.1	GCA_007122115.1	GCF_000337715.1	95-97	train	95.5500	strict	
GCA_007845265.1__GCA_015257495.1	GCA_007845265.1	GCA_015257495.1	95-97	train	95.7100	strict	
GCA_007845345.1__GCA_015257495.1	GCA_007845345.1	GCA_015257495.1	95-97	train	95.7300	strict	
GCA_008033035.1__GCF_009740305.1	GCA_008033035.1	GCF_009740305.1	95-97	train	95.0500	strict	
GCA_008662055.1__GCF_003428235.1	GCA_008662055.1	GCF_003428235.1	95-97	test	95.4500	strict	
GCA_009711595.1__GCA_017751145.1	GCA_009711595.1	GCA_017751145.1	95-97	train	96.2100	strict	
GCA_009835815.1__GCA_011523455.1	GCA_009835815.1	GCA_011523455.1	95-97	train	95.5200	strict	
GCA_009837505.1__GCA_009839875.1	GCA_009837505.1	GCA_009839875.1	95-97	train	95.4400	strict	
GCA_009838445.1__GCA_009840025.1	GCA_009838445.1	GCA_009840025.1	95-97	test	95.0500	strict	
GCA_009842195.1__GCA_009844335.1	GCA_009842195.1	GCA_009844335.1	95-97	train	95.8500	strict	
GCA_009996505.1__GCF_018403535.1	GCA_009996505.1	GCF_018403535.1	95-97	train	96.8800	strict	
GCA_012843005.1__GCA_018432545.1	GCA_012843005.1	GCA_018432545.1	95-97	train	96.9800	strict	
GCA_013139715.1__GCA_013374455.1	GCA_013139715.1	GCA_013374455.1	95-97	train	96.5300	strict	
GCA_013139715.1__GCA_013374465.1	GCA_013139715.1	GCA_013374465.1	95-97	train	96.5900	low-AF	
GCA_013333095.2__GCA_015263645.1	GCA_013333095.2	GCA_015263645.1	95-97	test	96.8100	strict	
GCA_014803995.1__GCA_014804015.1	GCA_014803995.1	GCA_014804015.1	95-97	train	95.8100	strict	
GCA_014847535.1__GCA_900066535.1	GCA_014847535.1	GCA_900066535.1	95-97	train	96.7700	strict	
GCA_014865025.1__GCA_905215165.1	GCA_014865025.1	GCA_905215165.1	95-97	train	96.3500	strict	
GCA_014872635.1__GCA_018370735.1	GCA_014872635.1	GCA_018370735.1	95-97	train	96.0500	strict	
GCA_015259595.1__GCA_905372995.1	GCA_015259595.1	GCA_905372995.1	95-97	test	96.7100	strict	
GCA_015295965.1__GCF_016919485.1	GCA_015295965.1	GCF_016919485.1	95-97	train	95.1300	strict	
GCA_015659075.1__GCA_910595815.1	GCA_015659075.1	GCA_910595815.1	95-97	test	96.6200	strict	
GCA_015661595.1__GCF_004209405.1	GCA_015661595.1	GCF_004209405.1	95-97	train	96.5500	strict	
GCA_015762695.1__GCA_015762725.1	GCA_015762695.1	GCA_015762725.1	95-97	test	96.4200	strict	
GCA_015999485.1__GCF_014269035.2	GCA_015999485.1	GCF_014269035.2	95-97	train	96.0900	strict	
GCA_016284805.1__GCA_902778395.1	GCA_016284805.1	GCA_902778395.1	95-97	train	96.1000	strict	
GCA_016285435.1__GCA_017475125.1	GCA_016285435.1	GCA_017475125.1	95-97	train	96.7900	strict	
GCA_016287345.1__GCA_017527275.1	GCA_016287345.1	GCA_017527275.1	95-97	train	96.0800	strict	
GCA_016702805.1__GCA_016705825.1	GCA_016702805.1	GCA_016705825.1	95-97	train	96.0200	strict	
GCA_016780855.1__GCA_902539465.1	GCA_016780855.1	GCA_902539465.1	95-97	train	96.3200	strict	
GCA_016887665.1__GCF_007679725.1	GCA_016887665.1	GCF_007679725.1	95-97	train	95.3300	strict	
GCA_016887665.1__GCF_015143645.1	GCA_016887665.1	GCF_015143645.1	95-97	train	95.4800	strict	
GCA_017388425.1__GCA_902773315.1	GCA_017388425.1	GCA_902773315.1	95-97	test	96.2900	strict	
GCA_017394725.1__GCA_902778865.1	GCA_017394725.1	GCA_902778865.1	95-97	test	95.8700	strict	
GCA_017400085.1__GCA_017452065.1	GCA_017400085.1	GCA_017452065.1	95-97	train	96.5100	strict	
GCA_017413135.1__GCA_902756035.1	GCA_017413135.1	GCA_902756035.1	95-97	test	96.7800	strict	
GCA_017427085.1__GCA_017429405.1	GCA_017427085.1	GCA_017429405.1	95-97	test	96.9900	strict	
GCA_017437245.1__GCA_017505835.1	GCA_017437245.1	GCA_017505835.1	95-97	train	95.8200	strict	
GCA_017445735.1__GCA_902762425.1	GCA_017445735.1	GCA_902762425.1	95-97	train	96.3600	strict	
GCA_017452065.1__GCA_017517885.1	GCA_017452065.1	GCA_017517885.1	95-97	train	96.5600	strict	
GCA_017460465.1__GCA_017470205.1	GCA_017460465.1	GCA_017470205.1	95-97	train	96.9900	strict	
GCA_017480725.1__GCA_017635005.1	GCA_017480725.1	GCA_017635005.1	95-97	train	96.8300	low-AF	
GCA_017518545.1__GCA_902803705.1	GCA_017518545.1	GCA_902803705.1	95-97	train	95.8300	strict	
GCA_017531355.1__GCA_902774955.1	GCA_017531355.1	GCA_902774955.1	95-97	train	95.8800	strict	
GCA_017540405.1__GCA_902780895.1	GCA_017540405.1	GCA_902780895.1	95-97	train	95.8600	strict	
GCA_017743455.1__GCA_017743655.1	GCA_017743455.1	GCA_017743655.1	95-97	train	95.4600	strict	
GCA_017854185.1__GCA_018667975.1	GCA_017854185.1	GCA_018667975.1	95-97	train	96.2800	strict	
GCA_017854335.1__GCA_018667975.1	GCA_017854335.1	GCA_018667975.1	95-97	train	96.2500	strict	
GCA_017958655.1__GCA_900321615.1	GCA_017958655.1	GCA_900321615.1	95-97	train	95.5000	strict	
GCA_017960495.1__GCA_017963185.1	GCA_017960495.1	GCA_017963185.1	95-97	test	95.2100	strict	
GCA_017983885.1__GCA_018241285.1	GCA_017983885.1	GCA_018241285.1	95-97	train	96.6400	strict	
GCA_018056875.1__GCA_018434395.1	GCA_018056875.1	GCA_018434395.1	95-97	test	96.4300	strict	
GCA_018265115.1__GCA_905209055.1	GCA_018265115.1	GCA_905209055.1	95-97	test	95.7200	strict	
GCA_018370735.1__GCA_905212425.1	GCA_018370735.1	GCA_905212425.1	95-97	train	96.0400	strict	
GCA_018374455.1__GCF_001053035.1	GCA_018374455.1	GCF_001053035.1	95-97	test	95.7300	strict	
GCA_018374935.1__GCA_018379525.1	GCA_018374935.1	GCA_018379525.1	95-97	train	96.0900	strict	
GCA_018378165.1__GCF_003992235.1	GCA_018378165.1	GCF_003992235.1	95-97	train	96.6600	strict	
GCA_018381885.1__GCF_001055885.1	GCA_018381885.1	GCF_001055885.1	95-97	train	95.0100	strict	
GCA_018433115.1__GCF_000213235.1	GCA_018433115.1	GCF_000213235.1	95-97	train	96.0400	strict	
GCA_018802285.1__GCF_015555385.1	GCA_018802285.1	GCF_015555385.1	95-97	train	96.7300	strict	
GCA_018970745.1__GCA_903885105.1	GCA_018970745.1	GCA_903885105.1	95-97	train	96.3200	strict	
GCA_019104985.1__GCF_001747495.1	GCA_019104985.1	GCF_001747495.1	95-97	test	95.3400	strict	
GCA_019113725.1__GCA_900554045.1	GCA_019113725.1	GCA_900554045.1	95-97	train	96.2900	strict	
GCA_019113725.1__GCA_900753105.1	GCA_019113725.1	GCA_900753105.1	95-97	train	95.9500	strict	
GCA_019115645.1__GCA_900754825.1	GCA_019115645.1	GCA_900754825.1	95-97	test	95.6100	strict	
GCA_019115645.1__GCA_905204375.1	GCA_019115645.1	GCA_905204375.1	95-97	test	95.5100	strict	
GCA_900299445.1__GCF_000350125.1	GCA_900299445.1	GCF_000350125.1	95-97	train	95.9700	strict	
GCA_900321465.1__GCA_902760985.1	GCA_900321465.1	GCA_902760985.1	95-97	train	95.4400	strict	
GCA_900467455.1__GCA_900470735.1	GCA_900467455.1	GCA_900470735.1	95-97	test	96.6400	strict	
GCA_900471525.1__GCA_900473675.1	GCA_900471525.1	GCA_900473675.1	95-97	train	95.2300	strict	
GCA_900472885.1__GCF_001424085.1	GCA_900472885.1	GCF_001424085.1	95-97	train	95.9100	strict	
GCA_900539085.1__GCA_900756475.1	GCA_900539085.1	GCA_900756475.1	95-97	train	96.2900	strict	
GCA_900539085.1__GCA_905198335.1	GCA_900539085.1	GCA_905198335.1	95-97	train	96.1700	strict	
GCA_900540325.1__GCA_905211165.1	GCA_900540325.1	GCA_905211165.1	95-97	train	96.4500	strict	
GCA_900540445.1__GCA_905201945.1	GCA_900540445.1	GCA_905201945.1	95-97	train	96.7600	strict	
GCA_900541005.1__GCA_900763105.1	GCA_900541005.1	GCA_900763105.1	95-97	test	95.2500	strict	
GCA_900550655.1__GCA_905206645.1	GCA_900550655.1	GCA_905206645.1	95-97	train	95.0700	strict	
GCA_900554055.1__GCA_905211945.1	GCA_900554055.1	GCA_905211945.1	95-97	train	96.7200	strict	
GCA_900557325.1__GCF_015560245.1	GCA_900557325.1	GCF_015560245.1	95-97	train	96.3800	strict	
GCA_900557325.1__GCF_016642415.1	GCA_900557325.1	GCF_016642415.1	95-97	train	96.6100	strict	
GCA_900600405.1__GCF_014841705.1	GCA_900600405.1	GCF_014841705.1	95-97	train	96.1300	strict	
GCA_900758725.1__GCA_905204055.1	GCA_900758725.1	GCA_905204055.1	95-97	train	95.4900	strict	
GCA_900760895.1__GCA_905204055.1	GCA_900760895.1	GCA_905204055.1	95-97	train	95.8800	strict	
GCA_900762545.1__GCA_905207685.1	GCA_900762545.1	GCA_905207685.1	95-97	test	95.0300	strict	
GCA_900766445.1__GCA_905213715.1	GCA_900766445.1	GCA_905213715.1	95-97	train	96.8300	strict	
GCA_900767575.1__GCA_905211815.1	GCA_900767575.1	GCA_905211815.1	95-97	train	96.1800	strict	
GCA_900770465.1__GCA_905195055.1	GCA_900770465.1	GCA_905195055.1	95-97	test	96.3400	low-AF	
GCA_900772515.1__GCA_905209655.1	GCA_900772515.1	GCA_905209655.1	95-97	train	96.0300	low-AF	
GCA_902515425.1__GCA_902521885.1	GCA_902515425.1	GCA_902521885.1	95-97	train	96.3700	strict	
GCA_902515425.1__GCA_902555725.1	GCA_902515425.1	GCA_902555725.1	95-97	train	95.6500	strict	
GCA_902515955.1__GCA_902603005.1	GCA_902515955.1	GCA_902603005.1	95-97	train	96.6100	strict	
GCA_902515955.1__GCA_902604595.1	GCA_902515955.1	GCA_902604595.1	95-97	train	96.6100	strict	
GCA_902518535.1__GCA_902521885.1	GCA_902518535.1	GCA_902521885.1	95-97	train	96.0400	strict	
GCA_902533225.1__GCA_902548635.1	GCA_902533225.1	GCA_902548635.1	95-97	test	96.0700	strict	
GCA_902541505.1__GCA_902579505.1	GCA_902541505.1	GCA_902579505.1	95-97	train	96.7200	strict	
GCA_902547785.1__GCA_902612225.1	GCA_902547785.1	GCA_902612225.1	95-97	train	95.1100	strict	
GCA_902550055.1__GCA_902556295.1	GCA_902550055.1	GCA_902556295.1	95-97	train	96.0200	low-AF	
GCA_902561665.1__GCA_902577125.1	GCA_902561665.1	GCA_902577125.1	95-97	train	95.4900	low-AF	
GCA_902564545.1__GCA_902613265.1	GCA_902564545.1	GCA_902613265.1	95-97	test	96.5100	strict	
GCA_902566515.1__GCA_902593595.1	GCA_902566515.1	GCA_902593595.1	95-97	train	95.5100	strict	
GCA_902568715.1__GCA_902614175.1	GCA_902568715.1	GCA_902614175.1	95-97	train	96.2500	strict	
GCA_902572765.1__GCA_902588785.1	GCA_902572765.1	GCA_902588785.1	95-97	train	95.6500	strict	
GCA_902582915.1__GCA_902602995.1	GCA_902582915.1	GCA_902602995.1	95-97	train	95.7100	strict	
GCA_902588785.1__GCA_902597835.1	GCA_902588785.1	GCA_902597835.1	95-97	train	95.8800	strict	
GCA_902597955.1__GCA_902622465.1	GCA_902597955.1	GCA_902622465.1	95-97	test	96.4100	strict	
GCA_902623315.1__GCA_902624565.1	GCA_902623315.1	GCA_902624565.1	95-97	train	96.3800	strict	
GCA_902758795.1__GCA_902767815.1	GCA_902758795.1	GCA_902767815.1	95-97	train	95.7200	strict	
GCA_902759045.1__GCA_902768775.1	GCA_902759045.1	GCA_902768775.1	95-97	test	96.0500	strict	
GCA_902763715.1__GCA_902779435.1	GCA_902763715.1	GCA_902779435.1	95-97	train	95.8800	strict	
GCA_902767675.1__GCA_902770695.1	GCA_902767675.1	GCA_902770695.1	95-97	train	96.1900	strict	
GCA_902770275.1__GCA_902784825.1	GCA_902770275.1	GCA_902784825.1	95-97	test	96.6500	strict	
GCA_902771175.1__GCA_902798345.1	GCA_902771175.1	GCA_902798345.1	95-97	test	96.2200	strict	
GCA_902776575.1__GCA_902790225.1	GCA_902776575.1	GCA_902790225.1	95-97	test	95.9900	strict	
GCA_902777565.1__GCA_902786375.1	GCA_902777565.1	GCA_902786375.1	95-97	train	96.0600	strict	
GCA_902778955.1__GCA_902800865.1	GCA_902778955.1	GCA_902800865.1	95-97	train	96.2400	strict	
GCA_902781695.1__GCA_902794995.1	GCA_902781695.1	GCA_902794995.1	95-97	train	95.7500	strict	
GCA_902784185.1__GCA_902784825.1	GCA_902784185.1	GCA_902784825.1	95-97	test	96.6100	strict	
GCA_902785195.1__GCA_902799115.1	GCA_902785195.1	GCA_902799115.1	95-97	train	96.8000	strict	
GCA_902786495.1__GCA_902787845.1	GCA_902786495.1	GCA_902787845.1	95-97	train	95.7400	strict	
GCA_902790455.1__GCA_902794255.1	GCA_902790455.1	GCA_902794255.1	95-97	train	96.8100	strict	
GCA_902793085.1__GCA_902793625.1	GCA_902793085.1	GCA_902793625.1	95-97	test	96.6500	strict	
GCA_903833345.1__GCA_903921545.1	GCA_903833345.1	GCA_903921545.1	95-97	test	96.8300	strict	
GCA_903833775.1__GCA_903922205.1	GCA_903833775.1	GCA_903922205.1	95-97	test	95.8500	verylow-AF	
GCA_903873665.1__GCA_903900245.1	GCA_903873665.1	GCA_903900245.1	95-97	train	96.4600	strict	
GCA_904373315.1__GCA_905207275.1	GCA_904373315.1	GCA_905207275.1	95-97	train	96.6700	strict	
GCA_905187715.1__GCF_002860845.1	GCA_905187715.1	GCF_002860845.1	95-97	test	96.8100	strict	
GCA_905199465.1__GCF_008831385.1	GCA_905199465.1	GCF_008831385.1	95-97	train	96.1100	strict	
GCA_905200075.1__GCF_015549175.1	GCA_905200075.1	GCF_015549175.1	95-97	train	95.6800	strict	
GCA_905207275.1__GCA_905214395.1	GCA_905207275.1	GCA_905214395.1	95-97	train	96.8800	strict	
GCA_905215445.1__GCF_003467795.1	GCA_905215445.1	GCF_003467795.1	95-97	train	95.0100	strict	
GCA_905372675.1__GCF_000318195.2	GCA_905372675.1	GCF_000318195.2	95-97	train	96.7300	strict	
GCA_910575095.1__GCA_910576525.1	GCA_910575095.1	GCA_910576525.1	95-97	train	96.6700	strict	
GCF_000010045.1__GCF_000378805.1	GCF_000010045.1	GCF_000378805.1	95-97	test	96.8100	strict	
GCF_000093165.1__GCF_014252515.1	GCF_000093165.1	GCF_014252515.1	95-97	train	96.5400	strict	
GCF_000162055.1__GCF_003350215.1	GCF_000162055.1	GCF_003350215.1	95-97	train	96.5400	strict	
GCF_000167395.1__GCF_016458385.1	GCF_000167395.1	GCF_016458385.1	95-97	test	96.6200	strict	
GCF_000235975.1__GCF_017312445.1	GCF_000235975.1	GCF_017312445.1	95-97	train	96.0200	low-AF	
GCF_000252835.1__GCF_016865275.1	GCF_000252835.1	GCF_016865275.1	95-97	test	95.4100	strict	
GCF_000264075.1__GCF_017897585.1	GCF_000264075.1	GCF_017897585.1	95-97	train	96.2100	strict	
GCF_000312185.1__GCF_015207115.1	GCF_000312185.1	GCF_015207115.1	95-97	train	95.7000	strict	
GCF_000314615.1__GCF_000369785.1	GCF_000314615.1	GCF_000369785.1	95-97	train	96.6500	strict	
GCF_000345605.2__GCF_004014595.1	GCF_000345605.2	GCF_004014595.1	95-97	test	96.1200	strict	
GCF_000348585.1__GCF_000775195.1	GCF_000348585.1	GCF_000775195.1	95-97	train	96.2700	strict	
GCF_000364285.1__GCF_900198355.1	GCF_000364285.1	GCF_900198355.1	95-97	test	96.1900	strict	
GCF_000367805.1__GCF_002356075.1	GCF_000367805.1	GCF_002356075.1	95-97	train	95.7800	strict	
GCF_000368645.1__GCF_000964015.1	GCF_000368645.1	GCF_000964015.1	95-97	test	96.0500	strict	
GCF_000369145.1__GCF_013417805.1	GCF_000369145.1	GCF_013417805.1	95-97	train	96.3100	strict	
GCF_000369485.1__GCF_000369545.1	GCF_000369485.1	GCF_000369545.1	95-97	train	95.6400	strict	
GCF_000406205.1__GCF_009873225.1	GCF_000406205.1	GCF_009873225.1	95-97	test	96.3500	strict	
GCF_000413375.1__GCF_002847685.1	GCF_000413375.1	GCF_002847685.1	95-97	train	96.9100	strict	
GCF_000452225.2__GCF_015668845.1	GCF_000452225.2	GCF_015668845.1	95-97	test	96.6400	strict	
GCF_000505765.1__GCF_007989265.1	GCF_000505765.1	GCF_007989265.1	95-97	test	95.8200	strict	
GCF_000506745.1__GCF_003599935.1	GCF_000506745.1	GCF_003599935.1	95-97	train	96.6300	strict	
GCF_000519025.1__GCF_000526975.1	GCF_000519025.1	GCF_000526975.1	95-97	test	96.9300	strict	
GCF_000597925.1__GCF_002901665.1	GCF_000597925.1	GCF_002901665.1	95-97	train	95.8800	strict	
GCF_000613325.1__GCF_018127765.1	GCF_000613325.1	GCF_018127765.1	95-97	train	96.8500	strict	
GCF_000692275.1__GCF_001022525.2	GCF_000692275.1	GCF_001022525.2	95-97	train	95.8300	strict	
GCF_000719575.1__GCF_000721715.1	GCF_000719575.1	GCF_000721715.1	95-97	test	95.3200	strict	
GCF_000721345.1__GCF_000721625.1	GCF_000721345.1	GCF_000721625.1	95-97	train	95.9500	strict	
GCF_000738695.1__GCF_000988945.1	GCF_000738695.1	GCF_000988945.1	95-97	test	96.6200	strict	
GCF_000761335.1__GCF_008121555.1	GCF_000761335.1	GCF_008121555.1	95-97	train	96.4300	strict	
GCF_000803285.1__GCF_904887615.1	GCF_000803285.1	GCF_904887615.1	95-97	train	96.4600	strict	
GCF_000819905.1__GCF_013359465.2	GCF_000819905.1	GCF_013359465.2	95-97	train	96.1600	strict	
GCF_000819905.1__GCF_014634945.1	GCF_000819905.1	GCF_014634945.1	95-97	train	96.7600	strict	
GCF_000834105.1__GCF_014836545.1	GCF_000834105.1	GCF_014836545.1	95-97	test	95.4900	strict	
GCF_000877055.1__GCF_000937035.1	GCF_000877055.1	GCF_000937035.1	95-97	train	95.4500	strict	
GCF_001070785.1__GCF_003244735.1	GCF_001070785.1	GCF_003244735.1	95-97	test	95.0200	strict	
GCF_001263145.1__GCF_009902355.1	GCF_001263145.1	GCF_009902355.1	95-97	train	95.1500	strict	
GCF_001281205.1__GCF_006493415.1	GCF_001281205.1	GCF_006493415.1	95-97	train	95.0200	strict	
GCF_001282805.1__GCF_001461995.1	GCF_001282805.1	GCF_001461995.1	95-97	train	95.7400	strict	
GCF_001404815.1__GCF_015549285.1	GCF_001404815.1	GCF_015549285.1	95-97	train	95.3800	strict	
GCF_001425805.1__GCF_001514045.1	GCF_001425805.1	GCF_001514045.1	95-97	train	96.8300	strict	
GCF_001476555.1__GCF_003580695.1	GCF_001476555.1	GCF_003580695.1	95-97	test	96.3200	strict	
GCF_001510805.1__GCF_904887615.1	GCF_001510805.1	GCF_904887615.1	95-97	train	96.4700	strict	
GCF_001522845.1__GCF_900446275.1	GCF_001522845.1	GCF_900446275.1	95-97	train	95.0400	strict	
GCF_001528995.1__GCF_001636095.1	GCF_001528995.1	GCF_001636095.1	95-97	test	96.6900	strict	
GCF_001562845.1__GCF_016026575.1	GCF_001562845.1	GCF_016026575.1	95-97	train	95.3600	strict	
GCF_001573875.1__GCF_018916625.1	GCF_001573875.1	GCF_018916625.1	95-97	test	95.1800	strict	
GCF_001597285.1__GCF_900455475.1	GCF_001597285.1	GCF_900455475.1	95-97	train	96.9000	strict	
GCF_001675095.1__GCF_003400125.1	GCF_001675095.1	GCF_003400125.1	95-97	test	96.9100	strict	
GCF_001678995.1__GCF_002027585.1	GCF_001678995.1	GCF_002027585.1	95-97	train	96.9100	strict	
GCF_001681635.1__GCF_001682005.1	GCF_001681635.1	GCF_001682005.1	95-97	train	96.6200	strict	
GCF_001704385.2__GCF_900168155.1	GCF_001704385.2	GCF_900168155.1	95-97	test	95.7600	strict	
GCF_001758545.1__GCF_009380165.1	GCF_001758545.1	GCF_009380165.1	95-97	train	95.6700	strict	
GCF_001758795.1__GCF_009380165.1	GCF_001758795.1	GCF_009380165.1	95-97	train	95.6300	strict	
GCF_001810345.1__GCF_014931375.1	GCF_001810345.1	GCF_014931375.1	95-97	train	95.8600	strict	
GCF_001878775.1__GCF_018438165.1	GCF_001878775.1	GCF_018438165.1	95-97	train	95.9300	strict	
GCF_002112905.1__GCF_004153525.1	GCF_002112905.1	GCF_004153525.1	95-97	train	95.5800	strict	
GCF_002216165.1__GCF_002286955.1	GCF_002216165.1	GCF_002286955.1	95-97	test	95.4600	strict	
GCF_002258385.1__GCF_002259335.1	GCF_002258385.1	GCF_002259335.1	95-97	train	96.9500	strict	
GCF_002269425.1__GCF_013387095.1	GCF_002269425.1	GCF_013387095.1	95-97	test	96.6000	strict	
GCF_002313185.2__GCF_018917625.1	GCF_002313185.2	GCF_018917625.1	95-97	train	95.9000	strict	
GCF_002368135.1__GCF_002893155.1	GCF_002368135.1	GCF_002893155.1	95-97	train	95.6600	strict	
GCF_002368135.1__GCF_002893245.1	GCF_002368135.1	GCF_002893245.1	95-97	train	95.7000	strict	
GCF_002553705.1__GCF_007876425.1	GCF_002553705.1	GCF_007876425.1	95-97	test	96.5900	strict	
GCF_002555415.1__GCF_002557285.1	GCF_002555415.1	GCF_002557285.1	95-97	test	96.3900	strict	
