method	subset	band	n	mae	bias	r
FastANI + linear(ani), band-holdout	common 39,903	80-85	8823	0.4564	-0.3403	0.8087
FastANI + linear(ani), band-holdout	common 39,903	85-90	15918	0.5313	0.2545	0.8754
FastANI + linear(ani), band-holdout	common 39,903	90-95	14758	0.6210	-0.5110	0.9311
FastANI + linear(ani), band-holdout	common 39,903	95-100	404	0.5447	-0.5228	0.6780
FastANI + linear(ani, mapped, total), band-holdout	all 43,334	all	43334	0.4823	-0.1460	0.9803
FastANI + linear(ani, mapped, total), band-holdout	all 43,334	80-85	12172	0.4345	-0.3087	0.8356
FastANI + linear(ani, mapped, total), band-holdout	all 43,334	85-90	16000	0.4725	0.2347	0.8945
FastANI + linear(ani, mapped, total), band-holdout	all 43,334	90-95	14758	0.5312	-0.4153	0.9429
FastANI + linear(ani, mapped, total), band-holdout	all 43,334	95-100	404	0.5292	-0.4799	0.6076
FastANI + linear(ani, mapped, total), band-holdout	common 39,903	all	39903	0.4872	-0.1344	0.9786
FastANI + linear(ani, mapped, total), band-holdout	common 39,903	80-85	8823	0.4389	-0.3132	0.8147
FastANI + linear(ani, mapped, total), band-holdout	common 39,903	85-90	15918	0.4720	0.2340	0.8937
FastANI + linear(ani, mapped, total), band-holdout	common 39,903	90-95	14758	0.5312	-0.4153	0.9429
FastANI + linear(ani, mapped, total), band-holdout	common 39,903	95-100	404	0.5292	-0.4799	0.6076
