pairid	fastani_ani	fastani_mapped	fastani_total
GCF_000369625.1__GCF_002688565.1	83.9508	718	1163
GCF_900156735.1__GCF_000829375.1	84.925	1199	1712
GCF_000814845.2__GCF_902459655.1	86.2721	1477	1914
GCF_001650405.1__GCF_003367705.1	84.4015	800	1153
GCF_001605885.1__GCF_000369045.1	93.43	1120	1285
GCF_002150735.1__GCF_001905725.1	86.1387	1638	2695
GCF_003943395.1__GCF_002096335.1	91.5115	505	627
GCA_001627235.1__GCA_018691945.1	82.5582	155	293
GCA_902615445.1__GCA_902573465.1	81.9548	198	358
GCA_900544525.1__GCA_018710905.1	94.3476	714	914
GCF_009866585.1__GCF_004011095.1	89.1553	818	1149
GCF_007829855.1__GCF_001700505.1	88.5349	1701	2632
GCF_900104135.1__GCF_000265245.1	84.4988	750	1167
GCF_000380145.1__GCF_001598035.1	85.7419	557	768
GCF_003331145.1__GCF_000714435.1	84.2025	721	927
GCF_009193325.2__GCA_902362375.1	85.6753	971	1773
GCF_000720805.1__GCF_014649375.1	85.8674	2050	3379
GCA_001508595.1__GCA_016841525.1	89.8182	348	375
GCF_001891085.1__GCA_002092835.1	94.3057	572	635
GCF_014650275.1__GCF_000009765.2	86.6155	2122	3719
GCA_018670435.1__GCA_905479195.1	81.8759	242	305
GCF_002846495.1__GCF_000720925.1	84.1453	848	1166
GCA_003023405.1__GCF_000337035.1	87.6125	649	789
GCF_000473265.1__GCF_013410405.1	87.6128	1815	2897
GCF_000725285.1__GCF_001310895.1	91.043	1030	1279
GCF_000163935.1__GCF_008633215.1	84.5566	488	816
GCF_015071065.1__GCF_000496285.1	90.2008	1371	1891
GCA_902619485.1__GCA_902542765.1	93.4227	239	518
GCF_002914005.1__GCF_003048375.1	88.4714	489	590
GCA_900542635.1__GCA_900540895.1	94.2726	554	636
GCF_000159955.1__GCA_900766135.1	85.3099	1191	1662
GCF_000518765.1__GCF_900143025.1	86.2746	869	1184
GCA_013215915.1__GCA_013215985.1	94.0754	605	779
GCF_000830885.1__GCF_000011905.1	86.8458	370	454
GCF_900177795.1__GCF_002024505.1	95.0893	1192	1368
GCA_900553515.1__GCA_900551465.1	90.396	427	905
GCF_003331055.1__GCF_013523165.1	83.9064	941	1672
GCF_000424325.1__GCF_900113155.1	93.6039	1137	1577
GCA_900552375.1__GCA_002437735.1	87.2555	315	547
GCF_900497695.1__GCF_000800615.1	93.0884	1703	1982
GCA_902594405.1__GCA_902529645.1	90.1519	310	404
GCF_003261175.1__GCF_001969265.1	88.4153	1195	1594
GCF_016518545.1__GCA_002434265.1	83.8214	1029	1796
GCF_017313265.1__GCF_000420705.1	86.9728	1584	1984
GCF_004138455.1__GCA_013333515.2	94.0544	206	230
GCA_009840575.1__GCA_002238485.1	84.5868	937	1061
GCF_009711185.1__GCF_016446475.1	84.5423	811	1264
GCA_003021705.1__GCA_003021725.1	87.6052	688	911
GCF_003719295.1__GCA_002414665.1	81.5724	854	1315
GCF_003943655.1__GCF_000212815.1	93.8357	625	732
GCF_001645125.1__GCF_905220975.1	86.0966	1759	2736
GCA_014379805.1__GCA_014380005.1	88.0202	712	995
GCF_000948285.1__GCF_014679505.1	85.1233	901	1227
GCA_000435335.1__GCA_902789345.1	93.5359	541	678
GCF_001541925.1__GCA_018263505.1	82.1723	298	447
GCF_900103225.1__GCF_018968705.1	82.9249	1185	1900
GCF_003943815.1__GCF_902460355.1	94.011	569	666
GCF_015223105.1__GCA_003497625.1	87.6888	678	935
GCA_017938695.1__GCA_017463245.1	85.9403	539	804
GCA_002729275.1__GCA_002686085.1	83.3853	897	1155
GCA_903863015.1__GCA_903844855.1	82.803	355	615
GCF_000807775.2__GCF_902459775.1	84.8427	1356	1864
GCF_002245535.1__GCF_001570485.1	91.2999	1519	1793
GCA_016870935.1__GCA_016871295.1	86.1715	368	446
GCA_002839545.1__GCA_014859785.1	84.5351	339	599
GCF_001667145.1__GCF_010731655.1	83.3888	1244	1624
GCF_004025965.2__GCF_016887965.1	84.172	868	1340
GCA_017521825.1__GCA_017424665.1	87.5156	212	576
GCF_002214805.1__GCA_910578695.1	83.9914	687	1063
GCF_002749725.1__GCF_008329435.1	83.612	813	1254
GCF_014451325.1__GCF_005517195.1	86.0667	1249	1898
GCF_013408745.1__GCF_900114565.1	84.8623	780	1305
GCF_003389455.1__GCF_008704855.1	89.1202	1966	2927
GCF_004366075.1__GCF_004217145.1	86.8567	2107	2791
GCA_900547615.1__GCA_900541345.1	90.0399	584	813
GCF_002929275.1__GCF_018613795.1	83.7277	1035	1527
GCF_009017495.1__GCF_014647055.1	85.1805	928	1327
GCF_001921865.1__GCF_003945765.1	91.451	1832	2240
GCF_001549985.1__GCF_014145635.1	83.2619	791	1337
GCF_000382065.1__GCF_013004645.1	92.7374	1269	1467
GCF_007858275.1__GCF_001902145.1	86.1067	1381	2068
GCA_018433835.1__GCA_002503885.1	88.7341	619	945
GCA_902546085.1__GCA_902541745.1	90.5091	224	331
GCF_003236715.1__GCF_004792415.1	88.1364	1205	1379
GCF_001269885.1__GCF_018325905.1	93.6007	1795	2105
GCF_000497575.1__GCA_017308595.1	84.7346	1129	1675
GCF_002949795.1__GCA_017115165.1	93.5959	1970	2444
GCF_000383615.1__GCF_003443735.1	95.0387	2557	3433
GCF_902833145.1__GCF_902830275.1	89.1049	1686	2414
GCF_001425205.1__GCA_001899795.1	89.2965	1483	2009
GCF_900089765.1__GCF_013394185.1	89.5723	1263	1497
GCF_000259195.1__GCA_017744435.1	84.5911	1187	1853
GCF_002959895.1__GCF_002959755.1	93.1514	610	666
GCF_017875955.1__GCF_001636055.1	84.8604	1255	2001
GCA_900548495.1__GCA_900758885.1	94.5081	463	612
GCF_002159535.1__GCF_900119385.1	85.3346	488	698
GCA_004791255.1__GCF_004791025.1	86.6543	1596	2247
GCF_009208735.1__GCF_002735705.1	93.3099	1795	2092
GCF_900607225.1__GCA_013333945.2	87.8415	763	1156
GCF_014252295.1__GCF_014251815.1	82.3369	186	208
GCF_007667275.1__GCF_002803515.1	84.605	958	1378
GCF_005503015.1__GCF_016401385.1	90.2621	1178	1386
GCF_002155975.1__GCF_000695625.1	91.9225	2249	2941
GCA_902605215.1__GCA_902521655.1	93.6232	185	272
GCF_014199535.1__GCF_006352025.1	90.2842	1405	1670
GCF_001274725.1__GCF_000294775.2	88.7191	1324	1882
GCF_004362665.1__GCF_012911605.1	84.7066	666	1061
GCF_016458305.1__GCF_016458235.1	88.6046	1328	1671
GCF_001953985.1__GCF_010731775.1	89.8014	1547	1830
GCA_005877535.1__GCA_003135435.1	87.5057	432	512
GCF_900117395.1__GCF_018308945.1	85.1108	683	1006
GCF_013168275.1__GCA_903878125.1	86.886	534	1002
GCF_001953875.1__GCF_000720115.1	89.4282	1887	2497
GCF_014287615.1__GCA_002270465.1	85.0532	1261	2041
GCA_017535785.1__GCA_016291375.1	84.7361	647	947
GCF_013410015.1__GCF_900188025.1	84.7811	1064	1751
GCF_001560895.1__GCA_905221375.1	92.5116	542	722
GCF_003063665.1__GCA_017986605.1	84.3206	521	984
GCF_003610405.1__GCF_013389665.1	84.7947	809	1124
GCF_000215385.1__GCA_000831085.1	83.1781	369	567
GCF_003248355.1__GCA_002154345.1	84.7584	1253	2547
GCA_900549715.1__GCA_900544645.1	93.3464	451	631
GCF_003600685.1__GCF_902859695.1	84.999	1401	2078
GCF_003129905.1__GCF_018555355.1	93.9908	764	1010
GCF_002564465.1__GCF_002577195.1	87.6231	1167	1622
GCF_000737715.1__GCF_000737765.1	85.4623	1296	1737
GCF_013155275.1__GCF_002291445.1	83.8605	1004	1499
GCF_017303375.1__GCF_001591825.1	84.8022	1039	1370
GCA_013390745.1__GCA_000402075.1	94.7757	276	348
GCA_003133325.1__GCA_017883075.1	93.0066	744	1275
GCF_003053605.1__GCF_016650635.1	85.3634	1369	2217
GCF_014534645.1__GCF_000349325.1	85.1907	1786	2866
GCF_008119785.1__GCF_013694245.1	86.297	1533	2907
GCF_900090305.1__GCF_900091545.1	85.7947	1348	2083
GCA_004962245.1__GCF_014207355.1	85.3506	1372	2245
GCA_903994525.1__GCA_903859055.1	89.1643	521	805
GCF_002741105.1__GCF_001567565.1	89.2335	1354	1619
GCF_001017125.1__GCF_000015825.1	92.9722	723	823
GCF_000194945.1__GCF_001078705.1	94.1443	687	757
GCA_018261895.1__GCA_016790815.1	83.6018	542	1054
GCF_002252755.1__GCF_001261915.1	89.1668	708	1213
GCA_016716605.1__GCA_016712535.1	87.1931	1014	1355
GCF_003688345.1__GCF_000708595.2	83.6361	1118	1806
GCA_004557315.1__GCA_016293065.1	87.3397	444	721
GCF_000742895.1__GCF_000021305.1	91.5273	1485	1834
GCF_016056375.1__GCF_012275535.1	87.5435	1323	1708
GCF_002966795.1__GCF_902859735.1	85.6783	1400	2113
GCF_000732605.1__GCA_900105215.1	91.5399	1412	1642
GCA_902615045.1__GCA_902542975.1	93.7492	249	347
GCA_015060045.1__GCA_017624955.1	88.8066	546	646
GCA_900547765.1__GCA_902835305.1	93.9733	550	653
GCF_004295125.1__GCA_000509125.1	94.8026	800	1219
GCA_003212295.1__GCA_902540275.1	82.8004	183	249
GCA_014239555.1__GCA_002331465.1	89.9781	619	874
GCF_001418285.1__GCF_012726265.1	86.2109	1668	2181
GCF_014843845.1__GCF_003952425.1	85.3065	1499	2401
GCF_002960625.1__GCF_002960425.1	91.6282	542	692
GCF_003315795.1__GCF_003236385.1	92.9944	2022	3232
GCA_900545555.1__GCA_902835305.1	94.8722	530	653
GCF_003721515.1__GCF_014269285.1	83.3615	1292	1879
GCA_004017535.1__GCF_003952485.1	87.9083	1670	2260
GCF_000245055.1__GCF_000177215.2	94.6724	1230	1529
GCF_003206155.1__GCF_003206645.1	86.3083	988	1198
GCF_018881975.1__GCF_018881965.1	88.5105	561	857
GCF_003096815.1__GCF_000758925.1	94.3667	717	948
GCF_001426585.1__GCF_014654895.1	87.1534	1645	2160
GCF_000968685.2__GCA_005405945.1	93.4769	2362	2926
GCF_003234185.1__GCF_000333375.1	85.5166	614	1068
GCF_002096815.1__GCA_001579015.1	86.5416	474	651
GCF_000091545.1__GCA_001311585.1	88.6122	376	704
GCF_004364415.1__GCF_902497895.1	84.7598	1292	2267
GCA_017550655.1__GCA_017548505.1	91.964	517	728
GCF_000661915.1__GCF_000219605.1	87.6379	1247	1610
GCF_000720835.1__GCF_016860525.1	94.7913	2219	2654
GCF_002564105.1__GCF_900113705.1	83.7825	1157	1981
GCA_018268415.1__GCA_018268675.1	86.1477	822	1499
GCF_008124835.1__GCF_900109665.1	86.1996	1093	1518
GCF_001730285.1__GCF_000633635.1	85.2387	854	1186
GCA_019118865.1__GCA_018712275.1	88.9305	399	606
GCF_004362215.1__GCF_014204895.1	87.7585	2291	3249
GCF_007655005.1__GCF_000717995.1	85.2543	1680	2968
GCF_016907955.1__GCF_900111005.1	87.1466	2075	3093
GCA_015062615.1__GCF_001643775.1	94.4885	696	786
GCA_902539825.1__GCA_902518705.1	92.3721	175	292
GCF_004331995.1__GCF_016907845.1	85.0725	500	663
GCF_001866665.1__GCF_000720765.1	84.6218	1976	3328
GCF_003626595.1__GCF_003264365.1	84.544	1419	2304
GCF_003331145.1__GCF_005960665.1	91.9567	753	927
GCF_003944205.1__GCF_000959945.1	91.4395	494	644
GCF_010682065.1__GCF_000284015.1	85.4194	921	1330
GCF_013141775.1__GCF_017874765.1	83.9468	1644	2776
GCA_902556505.1__GCA_902522385.1	90.4742	222	327
GCF_001673535.1__GCF_001667185.1	87.664	1476	1798
GCF_003651185.1__GCA_014171555.1	84.4366	1002	1476
GCF_008831075.1__GCF_014191305.1	87.2768	943	1298
GCF_003989515.1__GCF_001806325.1	86.353	803	1014
GCF_001553345.1__GCA_900766245.1	93.8133	506	541
GCF_000377905.1__GCF_000025545.1	83.5455	616	1005
GCA_003213255.1__GCA_902617605.1	93.6124	237	384
GCF_003665435.1__GCF_000225525.1	84.7773	1495	2554
GCF_900156315.1__GCF_016863095.1	92.8306	2255	2913
GCF_007829075.1__GCF_011759365.1	83.6915	931	1581
GCF_902825325.1__GCA_012103035.1	90.3712	1230	1546
GCF_013004375.1__GCF_016599715.1	83.9359	776	1069
GCF_000213975.1__GCF_014250475.1	84.9116	611	917
GCF_018682675.1__GCF_014873485.1	85.0347	815	1156
GCF_009184545.1__GCF_001950595.1	91.6091	696	882
GCF_009928425.1__GCF_000427315.1	94.224	925	1465
GCF_002584535.1__GCA_018966865.1	83.4645	1037	1674
GCF_018070465.1__GCF_016863515.1	85.9142	1421	2083
GCF_014695295.1__GCF_000214075.1	93.3224	1881	2167
GCA_902622955.1__GCA_902558835.1	87.4782	191	261
GCF_004116625.1__GCF_003346815.1	82.9621	616	932
GCF_007858365.1__GCF_001043025.1	83.5026	1088	1752
GCA_016871595.1__GCA_005786775.1	86.826	534	971
GCA_902635685.1__GCA_902514605.1	84.081	162	311
GCF_002258315.1__GCF_000954115.1	93.575	1545	1892
GCF_900107395.1__GCF_003850345.1	92.8671	1870	2222
GCF_003182195.1__GCF_900116405.1	84.411	730	1080
GCA_002371155.1__GCA_902788485.1	82.2933	208	280
GCF_902825235.1__GCF_000046705.1	84.0768	490	616
GCF_003048405.1__GCF_000466745.1	94.3366	547	649
GCF_002564555.1__GCA_018966865.1	90.4149	1328	1577
GCF_900177805.1__GCA_902779965.1	85.8746	846	1265
GCA_902511425.1__GCA_000307935.1	88.1987	202	344
GCF_000718135.1__GCF_003610995.1	93.5786	2009	2597
GCF_001619615.1__GCF_000202635.1	84.2142	792	1140
GCF_000425565.1__GCF_012911495.1	91.5642	598	730
GCA_902791475.1__GCA_902779055.1	86.1179	833	1237
GCF_000211815.1__GCA_010692395.1	92.6522	1865	2746
GCA_003209675.1__GCA_003281285.1	94.1149	212	464
GCA_003216755.1__GCF_002025865.1	90.5641	286	481
GCA_902570155.1__GCA_902518705.1	92.5093	280	471
GCF_002964705.1__GCF_002964785.1	93.0107	1096	1201
GCA_002720745.1__GCA_002348545.1	90.1895	488	713
GCF_007858285.1__GCF_016651105.1	83.5992	1224	1982
GCF_001613935.1__GCF_014873915.1	89.8586	2158	2729
GCF_002091755.1__GCF_000349845.1	89.5926	1508	2022
GCA_018222805.1__GCA_018223135.1	94.2246	1139	1409
GCF_002875945.1__GCF_005144905.1	88.8353	1351	1812
GCF_000813345.1__GCF_001548035.1	82.1462	611	870
GCF_001650725.1__GCF_012927105.1	84.597	974	1694
GCA_902591315.1__GCA_902542505.1	93.7136	133	309
GCA_902609855.1__GCA_902590465.1	86.2861	169	337
GCA_902552755.1__GCA_902527215.1	91.3639	256	307
GCF_000725545.1__GCF_014451325.1	89.8244	1379	2577
GCA_017557085.1__GCA_002308515.1	92.6823	367	451
GCF_000349845.1__GCF_000017205.1	84.351	1275	1898
GCF_000725805.1__GCF_000725555.1	88.083	1831	2820
GCA_902603555.1__GCA_902555655.1	87.1224	202	292
GCF_000337115.1__GCA_000690595.2	92.6226	1044	1273
GCA_017530735.1__GCA_902802285.1	84.6413	407	689
GCF_015999245.1__GCF_014253015.1	85.939	1563	2449
GCF_006715175.1__GCF_007680845.1	85.8992	888	1204
GCA_019038815.1__GCA_014237455.1	88.5633	585	725
GCF_001073155.1__GCF_000448565.1	94.7329	588	679
GCF_003324185.1__GCA_905215595.1	94.5736	487	976
GCF_002931175.1__GCF_002240565.1	92.902	927	1093
GCA_003213855.1__GCA_902538515.1	91.8323	244	398
GCF_001279005.1__GCF_003369795.1	85.6953	1649	2781
GCF_018449725.1__GCF_000292795.1	86.2063	1588	2430
GCF_000620705.1__GCF_013778305.1	83.9971	1042	1556
GCF_904846705.1__GCF_904846625.1	94.353	922	1058
GCF_013408335.1__GCF_011045035.1	89.4843	1412	2101
GCA_000437435.1__GCA_905212085.1	89.9667	506	642
GCF_001636945.1__GCF_016860525.1	87.3176	1785	2966
GCA_902610755.1__GCA_902514805.1	91.0127	184	267
GCF_003353015.1__GCF_002939945.1	92.9896	1324	1572
GCF_003951285.1__GCF_003053685.1	87.6681	1499	2212
GCF_018881905.1__GCF_018688235.1	82.5864	419	664
GCF_003385895.1__GCA_900107365.1	83.2147	1059	1626
GCF_000799235.1__GCF_900182655.1	90.4067	1373	1648
GCF_014649035.1__GCF_013167895.1	84.9895	1434	2478
GCF_017874475.1__GCF_000156575.1	85.7605	520	708
GCA_017962865.1__GCA_017470995.1	87.0204	298	361
GCF_008011665.1__GCF_013201605.1	82.8348	387	495
GCF_012933655.1__GCF_900101905.1	84.3049	2041	4121
GCF_003269295.1__GCF_014648475.1	90.7947	2323	3086
GCA_002496905.1__GCA_902560445.1	84.4025	235	391
GCF_007858435.1__GCF_001575205.1	85.9288	1076	1351
GCF_014651155.1__GCF_014650655.1	84.8564	1651	2702
GCF_900188245.1__GCF_900156785.1	89.1789	1013	1267
GCA_900548815.1__GCA_900541715.1	94.2356	505	636
GCA_017620015.1__GCA_902800045.1	86.6894	714	1140
GCA_003279005.1__GCA_902539115.1	82.7161	222	453
GCF_900115475.1__GCF_014109765.1	88.2432	1497	1786
GCA_002505455.1__GCA_002504845.1	86.0679	324	446
GCF_014192285.1__GCF_900104135.1	84.1645	845	1188
GCA_002713585.1__GCA_002712285.1	81.4298	382	551
GCA_902602595.1__GCA_902511425.1	82.6239	231	439
GCF_005222695.1__GCA_014841595.1	84.9306	1293	1892
GCF_001660005.1__GCF_001936255.1	87.5336	320	458
GCA_016872175.1__GCA_016868535.1	82.7461	439	702
GCA_009691785.1__GCA_903938205.1	85.842	368	688
GCF_008729015.1__GCF_014647415.1	88.3097	1057	1347
GCF_001807485.1__GCF_000738265.1	87.6597	622	724
GCF_003044275.1__GCF_001995175.1	94.6779	1063	1372
GCF_001870465.1__GCF_013385825.1	90.487	1727	2087
GCA_902578385.1__GCA_902538565.1	83.2857	241	308
GCF_900091455.1__GCF_000718555.1	88.8895	1585	2309
GCF_010994375.1__GCF_003254665.1	83.9246	872	1300
GCF_002843175.1__GCF_002806995.1	86.252	883	1351
GCF_900446215.1__GCF_014211915.1	95.0768	2100	2671
GCF_900129555.1__GCF_000016645.1	86.2248	1249	1612
GCF_002095485.1__GCF_900068835.1	84.024	1105	1485
GCF_902196125.1__GCF_902196135.1	91.2158	467	513
GCA_013329355.1__GCA_013329865.1	91.2579	300	421
GCF_008704715.1__GCF_014655715.1	90.387	2519	3304
GCF_009659645.1__GCF_000265465.1	91.7164	614	765
GCF_002155905.1__GCF_014649115.1	89.5423	1688	2436
GCF_003797185.1__GCF_017654315.1	91.7758	1313	1492
GCA_014654455.1__GCA_902624185.1	82.2553	188	379
GCA_900321255.1__GCA_902801025.1	87.0335	528	850
GCA_902551865.1__GCA_902519635.1	84.8721	66	181
GCF_000420065.1__GCA_000508625.1	87.5489	578	670
GCA_905182775.1__GCA_905182495.1	82.7157	424	565
GCF_003852535.1__GCF_900130075.1	82.8511	808	1207
GCF_003859805.1__GCF_003932785.1	83.97	776	1101
GCF_004571065.1__GCF_900103785.1	87.7675	993	1380
GCF_000522505.1__GCF_001042595.1	89.4915	687	833
GCA_001704065.1__GCA_902519325.1	93.7824	216	406
GCA_902564295.1__GCA_902526005.1	92.171	270	346
GCF_008042155.1__GCF_016909575.1	90.1225	1965	2698
GCA_003987695.1__GCF_014636095.1	87.8715	789	1139
GCF_000186465.1__GCF_901875555.1	85.4257	411	708
GCF_003797775.2__GCA_017309275.1	84.4266	933	1558
GCF_001641085.1__GCA_002364215.1	83.107	699	1043
GCF_017876595.1__GCF_013283745.1	84.9081	885	1308
GCF_014851865.1__GCF_014164785.1	84.4563	1003	1681
GCA_900473795.1__GCF_001426685.1	83.8072	1174	2082
GCA_903925725.1__GCA_903894475.1	85.0428	621	985
GCF_900104625.1__GCF_007990525.1	92.9753	676	843
GCA_900320095.1__GCA_017541665.1	87.2313	606	871
GCA_012522035.1__GCA_012838385.1	89.6066	562	720
GCA_002255985.1__GCA_002282385.1	92.1419	646	1008
GCA_000154325.1__GCA_003512525.1	88.1521	590	877
GCA_011620845.1__GCA_002067325.1	93.2222	411	525
GCA_002298075.1__GCA_910585445.1	94.8048	543	602
GCA_005063415.1__GCF_016836705.1	84.7999	1238	1870
GCF_009862265.1__GCF_003369795.1	85.4501	1479	2533
GCF_000952685.1__GCA_002476945.1	82.279	1070	1613
GCF_002920635.1__GCF_014905555.1	94.4715	2195	2715
GCF_001514125.1__GCF_002019855.1	85.7352	1796	2771
GCF_001425665.1__GCF_014137945.1	89.908	704	876
GCF_008329565.1__GCF_000559085.1	85.768	1412	1782
GCA_016780365.1__GCA_905181675.1	83.692	384	606
GCF_016009175.1__GCF_002753995.1	83.2523	1066	1912
GCF_002113125.1__GCF_004006335.1	94.3459	1862	2031
GCA_001898145.1__GCA_017744695.1	83.805	1667	2551
GCF_002284565.1__GCF_000502955.1	84.6858	1414	2372
GCF_006546835.1__GCF_900323545.1	89.6901	865	1096
GCA_003213155.1__GCA_902589765.1	94.4176	219	330
