pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_raw_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_mismatches_raw	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCA_004293365.1__GCA_013299165.1	GCA_004293365.1	GCA_013299165.1	ok	30	171	0.09091	0.47576	0.52424	157	173	0	0.6079	169	0.4834	330	27	273	false
GCF_000425985.1__GCF_000455825.1	GCF_000425985.1	GCF_000455825.1	ok	2	52	0.00557	0.43454	0.56546	156	203	0	0.9619	303	0.8535	359	44	880	false
GCF_003031675.1__GCF_001647715.1	GCF_003031675.1	GCF_001647715.1	ok	10	69	0.02907	0.44767	0.44767	154	154	0	0.8309	285	0.8040	344	36	478	false
GCF_002549775.1__GCA_003449675.1	GCF_002549775.1	GCA_003449675.1	ok	6	40	0.10345	0.31034	0.31034	18	18	0	0.9444	17	0.2157	58	20	123	false
GCA_003209755.1__GCA_003280445.1	GCA_003209755.1	GCA_003280445.1	ok	0	9	0.00000	0.47826	0.47826	11	11	0	0.8000	8	0.4706	23	1	2	false
GCA_902625035.1__GCA_902624635.1	GCA_902625035.1	GCA_902624635.1	ok	0	2	0.00000	0.50000	0.50000	5	5	0	0.5000	3	0.6667	10	0	0	false
GCA_011523395.1__GCA_011523635.1	GCA_011523395.1	GCA_011523635.1	ok	1	54	0.00541	0.44865	0.55135	83	102	0	0.5000	59	0.5909	185	11	152	false
GCF_001672755.1__GCF_001667925.1	GCF_001672755.1	GCF_001667925.1	ok	1	94	0.00267	0.45455	0.54545	170	204	0	0.7492	221	0.7177	374	55	577	false
GCF_900119365.1__GCF_014649535.1	GCF_900119365.1	GCF_014649535.1	ok	37	118	0.01998	0.35799	0.64201	663	1189	0	0.9883	1775	0.9365	1852	66	687	false
GCF_001424165.1__GCA_003520365.1	GCF_001424165.1	GCA_003520365.1	ok	0	124	0.00000	0.41414	0.58586	82	116	0	1.0000	60	0.3261	198	18	706	false
GCF_001885215.1__GCA_013203655.1	GCF_001885215.1	GCA_013203655.1	ok	0	87	0.00000	0.44681	0.44681	126	126	0	1.0000	194	0.6904	282	31	163	false
GCA_900547475.1__GCF_004353185.1	GCA_900547475.1	GCF_004353185.1	ok	0	2	0.00000	0.37500	0.62500	6	10	0	0.0000	0	0.3333	16	5	0	false
GCF_000938265.1__GCF_900177685.1	GCF_000938265.1	GCF_900177685.1	ok	2	17	0.00800	0.44000	0.56000	110	140	0	0.9585	231	0.9312	250	8	795	false
GCF_000402035.1__GCA_001189345.1	GCF_000402035.1	GCA_001189345.1	ok	69	177	0.19274	0.47765	0.47765	171	171	0	0.9968	316	0.5825	358	137	1353	false
GCA_017961175.1__GCA_017962375.1	GCA_017961175.1	GCA_017962375.1	ok	0	18	0.00000	0.46512	0.53488	20	23	0	0.2581	8	0.4194	43	4	26	false
GCF_000377565.1__GCF_017741815.1	GCF_000377565.1	GCF_017741815.1	ok	47	133	0.02651	0.48900	0.51100	867	906	0	0.9879	1720	0.9264	1773	23	1074	false
GCA_001604135.1__GCA_016292145.1	GCA_001604135.1	GCA_016292145.1	ok	0	62	0.00000	0.46386	0.53614	77	89	0	0.9655	84	0.5811	166	7	109	false
GCA_900553135.1__GCA_905205085.1	GCA_900553135.1	GCA_905205085.1	ok	0	3	0.00000	0.48276	0.51724	14	15	0	0.0000	0	0.4000	29	2	27	false
GCF_900112625.1__GCF_000364445.2	GCF_900112625.1	GCF_000364445.2	ok	92	201	0.18548	0.48992	0.51008	243	253	0	0.9354	463	0.6504	496	71	640	false
GCA_902576125.1__GCA_902512325.1	GCA_902576125.1	GCA_902512325.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCA_902576905.1__GCA_902537235.1	GCA_902576905.1	GCA_902537235.1	ok	0	12	0.00000	0.34375	0.65625	11	21	0	0.7500	12	0.5000	32	0	4	false
GCA_902536925.1__GCA_902518165.1	GCA_902536925.1	GCA_902518165.1	ok	0	4	0.00000	0.46667	0.46667	7	7	0	0.6000	6	0.6364	15	0	2	false
GCF_001426905.1__GCA_017745235.1	GCF_001426905.1	GCA_017745235.1	ok	26	79	0.20968	0.37097	0.37097	46	46	0	0.9186	79	0.4148	124	11	192	false
GCA_000383735.1__GCA_002323895.1	GCA_000383735.1	GCA_002323895.1	ok	3	47	0.02206	0.45588	0.45588	62	62	0	0.7703	57	0.5566	136	30	99	false
GCF_000691165.1__GCF_000691145.1	GCF_000691165.1	GCF_000691145.1	ok	0	9	0.00000	0.42222	0.42222	38	38	0	0.8451	60	0.8816	90	1	38	false
GCF_004137255.1__GCF_013155335.1	GCF_004137255.1	GCF_013155335.1	ok	8	26	0.04494	0.38764	0.61236	69	109	0	0.9763	165	0.8587	178	438	598	false
GCF_001068775.1__GCA_905221345.1	GCF_001068775.1	GCA_905221345.1	ok	0	6	0.00000	0.40000	0.60000	6	9	0	0.0000	0	0.3333	15	9	14	false
GCF_001180165.1__GCA_902571955.1	GCF_001180165.1	GCA_902571955.1	ok	0	1	0.00000	0.16667	0.16667	1	1	0	0.0000	0	0.0000	6	0	1	false
GCF_000960475.2__GCF_014648255.1	GCF_000960475.2	GCF_014648255.1	ok	6	80	0.01068	0.43060	0.43060	242	242	0	0.8911	483	0.8569	562	18	661	false
GCA_017963805.1__GCA_017539325.1	GCA_017963805.1	GCA_017539325.1	ok	0	78	0.00000	0.44231	0.55769	115	145	0	0.8734	138	0.6471	260	11	62	false
GCF_001693515.2__GCF_009930815.1	GCF_001693515.2	GCF_009930815.1	ok	56	112	0.03551	0.03424	0.03424	54	54	0	1.0000	1577	0.9314	1577	150	1244	true
GCF_002082245.2__GCF_003600645.1	GCF_002082245.2	GCF_003600645.1	ok	15	30	0.22059	0.38235	0.61765	26	42	0	1.0000	68	0.6386	68	46	94	true
GCF_014298075.1__GCF_001598695.1	GCF_014298075.1	GCF_001598695.1	ok	2	22	0.03077	0.44615	0.44615	29	29	0	1.0000	46	0.6667	65	12	234	false
GCA_005789325.1__GCA_000428345.2	GCA_005789325.1	GCA_000428345.2	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCA_900552015.1__GCF_000765235.1	GCA_900552015.1	GCF_000765235.1	ok	13	96	0.03846	0.44379	0.55621	150	188	0	0.8401	226	0.6972	338	7	257	false
GCA_902582155.1__GCA_902553555.1	GCA_902582155.1	GCA_902553555.1	ok	0	1	0.00000	0.25000	0.75000	1	3	0	0.0000	0	0.0000	4	0	2	false
GCA_000831085.1__GCA_905373305.1	GCA_000831085.1	GCA_905373305.1	ok	0	22	0.00000	0.38889	0.38889	21	21	0	0.6667	8	0.3125	54	2	14	false
GCF_014222285.1__GCF_013343235.1	GCF_014222285.1	GCF_013343235.1	ok	38	262	0.07646	0.42455	0.57545	211	286	0	0.5343	265	0.5084	497	36	102	false
GCA_902634305.1__GCA_902587435.1	GCA_902634305.1	GCA_902587435.1	ok	0	1	0.00000	0.00000	0.00000	0	0	0	0.0000	0	0.5000	6	0	2	false
GCA_003282205.1__GCA_902617895.1	GCA_003282205.1	GCA_902617895.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_000421725.1__GCF_000166355.1	GCF_000421725.1	GCF_000166355.1	ok	2	20	0.02985	0.41791	0.58209	28	39	0	0.7121	47	0.7015	67	8	9	false
GCA_900321605.1__GCA_017542915.1	GCA_900321605.1	GCA_017542915.1	ok	8	80	0.02556	0.48562	0.51438	152	161	0	0.9020	221	0.7279	313	8	63	false
GCA_900765185.1__GCA_900765115.1	GCA_900765185.1	GCA_900765115.1	ok	1	172	0.00127	0.47649	0.52351	375	412	0	0.7464	521	0.7628	787	8	303	false
GCA_902628525.1__GCA_902591695.1	GCA_902628525.1	GCA_902591695.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCA_902609285.1__GCA_902604835.1	GCA_902609285.1	GCA_902604835.1	ok	0	5	0.00000	0.42857	0.42857	6	6	0	0.0000	0	0.3750	14	0	2	false
GCF_004320525.1__GCF_001663775.1	GCF_004320525.1	GCF_001663775.1	ok	13	42	0.08333	0.43590	0.56410	68	88	0	0.8896	137	0.7485	156	29	271	false
GCF_000966285.1__GCF_016786355.1	GCF_000966285.1	GCF_016786355.1	ok	21	188	0.03035	0.40751	0.59249	282	410	0	1.0000	545	0.7360	692	92	690	false
GCF_900234795.1__GCF_014199985.1	GCF_900234795.1	GCF_014199985.1	ok	40	111	0.07576	0.49242	0.50758	260	268	0	0.9980	497	0.8046	528	92	788	false
GCF_000717645.1__GCF_003610995.1	GCF_000717645.1	GCF_003610995.1	ok	28	98	0.05109	0.49635	0.49635	272	272	0	0.9068	496	0.8284	548	46	485	false
GCF_014323405.1__GCA_902362365.1	GCF_014323405.1	GCA_902362365.1	ok	0	7	0.00000	0.44444	0.55556	8	10	0	0.6667	2	0.3000	18	1	1	false
GCF_001667185.1__GCF_002101815.1	GCF_001667185.1	GCF_002101815.1	ok	5	112	0.00597	0.49642	0.49642	416	416	0	0.8889	704	0.8634	838	20	480	false
GCF_001952855.1__GCF_000346755.1	GCF_001952855.1	GCF_000346755.1	ok	13	95	0.04610	0.40780	0.40780	115	115	0	0.9447	188	0.6494	282	18	490	false
GCF_003584685.1__GCA_910589175.1	GCF_003584685.1	GCA_910589175.1	ok	0	13	0.00000	0.33333	0.33333	6	6	0	1.0000	4	0.2353	18	1	9	false
GCF_002259745.1__GCF_018555355.1	GCF_002259745.1	GCF_018555355.1	ok	9	39	0.07627	0.41525	0.41525	49	49	0	0.8404	79	0.6549	118	26	313	false
GCF_018207095.1__GCF_900143625.1	GCF_018207095.1	GCF_900143625.1	ok	0	65	0.00000	0.47907	0.52093	103	112	0	0.4178	61	0.5833	215	23	333	false
GCF_009749465.1__GCF_003384855.1	GCF_009749465.1	GCF_003384855.1	ok	5	31	0.01736	0.22569	0.22569	65	65	0	0.9288	261	0.8931	288	13	1074	false
GCA_017557665.1__GCA_017405965.1	GCA_017557665.1	GCA_017405965.1	ok	11	54	0.10784	0.38235	0.61765	39	63	0	0.6400	48	0.4255	102	23	267	false
GCF_003046425.1__GCF_000306675.2	GCF_003046425.1	GCF_000306675.2	ok	6	51	0.06061	0.38384	0.61616	38	61	0	0.5258	51	0.5096	99	39	39	false
GCF_002155975.1__GCF_017308975.1	GCF_002155975.1	GCF_017308975.1	ok	12	509	0.00655	0.47434	0.52566	869	963	0	0.6792	1207	0.7175	1832	401	1148	false
GCA_900316525.1__GCA_902778105.1	GCA_900316525.1	GCA_902778105.1	ok	1	17	0.01754	0.45614	0.54386	26	31	0	0.5000	16	0.5526	57	4	149	false
GCF_000716535.1__GCF_014650035.1	GCF_000716535.1	GCF_014650035.1	ok	16	75	0.02952	0.44649	0.44649	242	242	0	0.9316	477	0.8614	542	48	602	false
GCA_015062085.1__GCA_017939795.1	GCA_015062085.1	GCA_017939795.1	ok	5	95	0.01832	0.48718	0.48718	133	133	0	0.5602	107	0.5602	273	47	210	false
GCF_009858265.1__GCF_900101045.1	GCF_009858265.1	GCF_900101045.1	ok	13	44	0.00989	0.32648	0.32648	429	429	0	0.9992	1296	0.9668	1314	24	754	false
GCF_003002955.1__GCF_900102815.1	GCF_003002955.1	GCF_900102815.1	ok	18	53	0.03214	0.43750	0.43750	245	245	0	0.9745	534	0.9072	560	27	546	false
GCF_011039175.1__GCA_017945865.1	GCF_011039175.1	GCA_017945865.1	ok	4	32	0.00729	0.45173	0.45173	248	248	0	0.9562	524	0.9420	549	42	352	false
GCA_000634515.1__GCA_902537445.1	GCA_000634515.1	GCA_902537445.1	ok	0	4	0.00000	0.20000	0.80000	3	12	0	1.0000	6	0.6000	15	0	2	false
GCF_018383905.1__GCF_014844035.1	GCF_018383905.1	GCF_014844035.1	ok	0	8	0.00000	0.27273	0.27273	3	3	0	0.2000	2	0.2727	11	14	30	false
GCF_014779655.1__GCF_014653115.1	GCF_014779655.1	GCF_014653115.1	ok	5	47	0.01232	0.27340	0.72660	111	295	0	0.9450	361	0.8837	406	29	538	false
GCA_017526585.1__GCA_902756345.1	GCA_017526585.1	GCA_902756345.1	ok	33	97	0.21711	0.49342	0.49342	75	75	0	0.7287	94	0.4049	152	7	291	false
GCA_002394865.1__GCA_902776765.1	GCA_002394865.1	GCA_902776765.1	ok	10	74	0.06329	0.46835	0.46835	74	74	0	0.9560	87	0.5099	158	10	203	false
GCF_014490035.1__GCF_002966795.1	GCF_014490035.1	GCF_002966795.1	ok	14	28	0.07035	0.36181	0.63819	72	127	0	1.0000	199	0.8685	199	39	524	true
GCF_004000745.1__GCA_900766135.1	GCF_004000745.1	GCA_900766135.1	ok	0	21	0.00000	0.35577	0.35577	37	37	0	0.6351	47	0.7273	104	3	316	false
GCF_017114865.1__GCF_900114215.1	GCF_017114865.1	GCF_900114215.1	ok	16	80	0.01147	0.48961	0.51039	683	712	0	0.9757	1324	0.9424	1395	17	282	false
GCA_018060215.1__GCA_017302035.1	GCA_018060215.1	GCA_017302035.1	ok	1	37	0.00870	0.41739	0.58261	48	67	0	0.4035	23	0.4478	115	16	244	false
GCA_016870675.1__GCA_016783995.1	GCA_016870675.1	GCA_016783995.1	ok	0	1	0.00000	0.31250	0.31250	5	5	0	0.5000	2	0.7500	16	0	3	false
GCF_900198625.1__GCF_900198365.1	GCF_900198625.1	GCF_900198365.1	ok	39	128	0.23780	0.48780	0.48780	80	80	0	0.8137	83	0.2644	164	5	10	false
GCF_002210435.1__GCF_000145235.1	GCF_002210435.1	GCF_000145235.1	ok	8	70	0.05031	0.41509	0.41509	66	66	0	0.5633	89	0.5758	159	57	535	false
GCA_017505635.1__GCA_017442085.1	GCA_017505635.1	GCA_017442085.1	ok	1	25	0.01667	0.46667	0.53333	28	32	0	0.8571	18	0.4186	60	6	53	false
GCF_004364585.1__GCF_014874065.1	GCF_004364585.1	GCF_014874065.1	ok	0	12	0.00000	0.26316	0.26316	15	15	0	0.7818	43	0.7818	57	9	210	false
GCF_016894385.1__GCF_003402535.1	GCF_016894385.1	GCF_003402535.1	ok	40	129	0.02933	0.40176	0.40176	548	548	0	0.9985	1315	0.9081	1364	90	971	false
GCF_004028635.1__GCF_003963535.1	GCF_004028635.1	GCF_003963535.1	ok	77	171	0.07103	0.15867	0.15867	172	172	0	0.9788	1060	0.8519	1084	168	857	false
GCA_905612295.1__GCA_905612275.1	GCA_905612295.1	GCA_905612275.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_002531905.1__GCF_001664485.1	GCF_002531905.1	GCF_001664485.1	ok	17	99	0.00990	0.45693	0.45693	785	785	0	0.9638	1650	0.9429	1718	102	1317	false
GCF_001189365.1__GCF_018408855.1	GCF_001189365.1	GCF_018408855.1	ok	9	151	0.03061	0.48299	0.48299	142	142	0	0.4530	130	0.4933	294	369	1666	false
GCF_000382345.1__GCF_018119395.1	GCF_000382345.1	GCF_018119395.1	ok	11	95	0.03014	0.42740	0.42740	156	156	0	0.8675	262	0.7278	365	60	733	false
GCF_000332515.2__GCF_000332455.1	GCF_000332515.2	GCF_000332455.1	ok	0	18	0.00000	0.31944	0.68056	23	49	0	1.0000	48	0.7273	72	9	34	false
GCA_004379115.1__GCA_903848435.1	GCA_004379115.1	GCA_903848435.1	ok	0	17	0.00000	0.50000	0.50000	51	51	0	0.5500	11	0.5143	102	75	492	false
GCA_902799355.1__GCA_902798425.1	GCA_902799355.1	GCA_902798425.1	ok	5	30	0.06173	0.44444	0.44444	36	36	0	0.6863	35	0.5385	81	5	139	false
GCF_003044645.1__GCF_001618085.1	GCF_003044645.1	GCF_001618085.1	ok	3	32	0.00596	0.43738	0.43738	220	220	0	0.9872	464	0.9354	503	15	109	false
GCF_001570405.1__GCA_001570385.1	GCF_001570405.1	GCA_001570385.1	ok	60	180	0.11236	0.47940	0.47940	256	256	0	0.9139	446	0.6848	534	64	676	false
GCF_001424645.1__GCF_000878135.1	GCF_001424645.1	GCF_000878135.1	ok	6	124	0.00355	0.46450	0.46450	785	785	0	1.0000	1575	0.9268	1690	8	680	false
GCA_902799965.1__GCA_902799665.1	GCA_902799965.1	GCA_902799665.1	ok	0	16	0.00000	0.39024	0.60976	16	25	0	0.0667	1	0.1579	41	6	30	false
GCA_902591415.1__GCA_902572345.1	GCA_902591415.1	GCA_902572345.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_004346385.1__GCF_001008345.1	GCF_004346385.1	GCF_001008345.1	ok	21	172	0.01369	0.43937	0.56063	674	860	0	0.9879	1385	0.8880	1534	18	641	false
GCF_002096815.1__GCF_002087075.1	GCF_002096815.1	GCF_002087075.1	ok	8	41	0.14035	0.43860	0.43860	25	25	0	0.9286	26	0.3051	57	12	12	false
GCF_009377195.2__GCF_002927275.1	GCF_009377195.2	GCF_002927275.1	ok	3	12	0.04412	0.32353	0.32353	22	22	0	0.9322	55	0.8154	68	24	353	false
GCA_902621725.1__GCA_902514875.1	GCA_902621725.1	GCA_902514875.1	ok	0	1	0.00000	0.40000	0.40000	4	4	0	0.0000	0	0.5000	10	0	3	false
GCF_001691565.1__GCF_014204835.1	GCF_001691565.1	GCF_014204835.1	ok	9	19	0.10112	0.31461	0.31461	28	28	0	0.9886	87	0.8041	89	12	500	false
GCF_003696305.1__GCF_902506505.1	GCF_003696305.1	GCF_902506505.1	ok	71	145	0.44654	0.38365	0.61635	61	98	0	0.9114	144	0.3379	159	11	425	false
GCA_902629695.1__GCA_902565935.1	GCA_902629695.1	GCA_902565935.1	ok	0	4	0.00000	0.30769	0.30769	4	4	0	0.2000	1	0.4286	13	0	0	false
GCA_003282965.1__GCA_902569735.1	GCA_003282965.1	GCA_902569735.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCA_014156375.1__GCA_002470465.1	GCA_014156375.1	GCA_002470465.1	ok	3	24	0.05000	0.46667	0.53333	28	32	0	1.0000	38	0.5932	60	3	198	false
GCF_001425905.1__GCA_902826655.1	GCF_001425905.1	GCA_902826655.1	ok	13	81	0.09701	0.44776	0.55224	60	74	0	0.9571	67	0.4000	134	31	870	false
GCF_003857035.1__GCF_015751785.1	GCF_003857035.1	GCF_015751785.1	ok	19	316	0.01155	0.46565	0.53435	766	879	0	0.8072	1327	0.8100	1645	33	610	false
GCF_018531375.1__GCF_000218545.1	GCF_018531375.1	GCF_000218545.1	ok	2	7	0.01600	0.49600	0.50400	62	63	0	0.9839	122	0.9449	125	15	459	false
GCF_003942865.1__GCF_001072375.1	GCF_003942865.1	GCF_001072375.1	ok	0	3	0.00000	0.42857	0.42857	6	6	0	0.0000	0	0.4000	14	10	14	false
GCF_003185805.1__GCF_001449105.1	GCF_003185805.1	GCF_001449105.1	ok	4	207	0.00772	0.44015	0.44015	228	228	0	0.4680	190	0.5219	518	18	283	false
GCA_900555465.1__GCA_019113065.1	GCA_900555465.1	GCA_019113065.1	ok	0	49	0.00000	0.46746	0.53254	79	90	0	0.3553	27	0.4556	169	5	207	false
GCF_002155915.1__GCF_001906585.1	GCF_002155915.1	GCF_001906585.1	ok	3	193	0.00474	0.43760	0.56240	277	356	0	0.5821	319	0.6578	633	97	510	false
GCA_003210015.1__GCA_902592325.1	GCA_003210015.1	GCA_902592325.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_000876655.1__GCF_018613755.1	GCF_000876655.1	GCF_018613755.1	ok	5	34	0.03676	0.47059	0.52941	64	72	0	0.8532	93	0.7302	136	25	255	false
GCA_001629235.1__GCA_902601345.1	GCA_001629235.1	GCA_902601345.1	ok	0	31	0.00000	0.43750	0.56250	42	54	0	0.5616	41	0.6026	96	1	25	false
GCA_012511235.1__GCA_002432715.1	GCA_012511235.1	GCA_002432715.1	ok	0	16	0.00000	0.46667	0.53333	21	24	0	0.1250	3	0.3333	45	12	186	false
GCF_018343775.1__GCF_000452705.1	GCF_018343775.1	GCF_000452705.1	ok	25	50	0.35714	0.30000	0.70000	21	49	0	1.0000	70	0.4737	70	118	554	true
GCF_009696315.1__GCF_001642025.1	GCF_009696315.1	GCF_001642025.1	ok	0	5	0.00000	0.26471	0.26471	9	9	0	0.9200	23	0.8276	34	7	205	false
GCF_014467235.1__GCF_002632465.1	GCF_014467235.1	GCF_002632465.1	ok	11	47	0.04490	0.38367	0.61633	94	151	0	0.9202	196	0.8000	245	73	47	false
GCA_004020365.1__GCF_002284575.1	GCA_004020365.1	GCF_002284575.1	ok	69	253	0.04362	0.45891	0.54109	726	856	0	0.9385	1434	0.8441	1582	58	1181	false
GCA_003278165.1__GCA_902565325.1	GCA_003278165.1	GCA_902565325.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_900114115.1__GCA_002412965.1	GCF_900114115.1	GCA_002412965.1	ok	3	31	0.05660	0.39623	0.60377	21	32	0	0.4884	21	0.4151	53	16	179	false
GCA_902626065.1__GCA_902587025.1	GCA_902626065.1	GCA_902587025.1	ok	0	0	0.00000	0.33333	0.66667	1	2	0	0.0000	0	1.0000	3	1	0	false
GCF_000876655.1__GCF_005280255.1	GCF_000876655.1	GCF_005280255.1	ok	9	38	0.05732	0.03185	0.03185	5	5	0	0.8397	131	0.7669	157	71	263	false
GCF_013181195.1__GCA_017744445.1	GCF_013181195.1	GCA_017744445.1	ok	32	90	0.13169	0.37037	0.62963	90	153	0	0.9677	210	0.6654	243	12	310	false
GCA_903857495.1__GCA_903840385.1	GCA_903857495.1	GCA_903840385.1	ok	0	34	0.00000	0.47500	0.47500	38	38	0	0.6500	13	0.3333	80	19	143	false
GCF_001045465.1__GCF_012927325.1	GCF_001045465.1	GCF_012927325.1	ok	0	7	0.00000	0.50000	0.50000	6	6	0	0.0000	0	0.0000	12	5	20	false
GCF_012641395.1__GCF_000816845.1	GCF_012641395.1	GCF_000816845.1	ok	14	36	0.10448	0.46269	0.46269	62	62	0	0.9084	119	0.7483	134	111	1131	false
GCF_001746415.1__GCF_000429085.1	GCF_001746415.1	GCF_000429085.1	ok	29	92	0.03567	0.40590	0.40590	330	330	0	1.0000	777	0.8905	813	128	637	false
GCA_900318885.1__GCA_902800245.1	GCA_900318885.1	GCA_902800245.1	ok	17	129	0.03434	0.48485	0.48485	240	240	0	0.9121	332	0.7152	495	16	214	false
GCF_003052555.1__GCF_001043555.1	GCF_003052555.1	GCF_001043555.1	ok	27	113	0.04982	0.48708	0.48708	264	264	0	1.0000	482	0.8011	542	15	144	false
GCF_014648555.1__GCF_000269985.1	GCF_014648555.1	GCF_000269985.1	ok	20	82	0.03670	0.39450	0.39450	215	215	0	0.9118	496	0.8538	545	175	535	false
GCA_902554745.1__GCA_902527415.1	GCA_902554745.1	GCA_902527415.1	ok	0	2	0.00000	0.50000	0.50000	6	6	0	0.0000	0	0.3333	12	0	0	false
GCF_900176865.1__GCF_000577555.1	GCF_900176865.1	GCF_000577555.1	ok	2	55	0.02740	0.43836	0.43836	32	32	0	1.0000	20	0.2466	73	85	280	false
GCF_013072695.1__GCF_000374425.1	GCF_013072695.1	GCF_000374425.1	ok	2	13	0.05882	0.38235	0.38235	13	13	0	0.8750	14	0.5000	34	14	59	false
GCF_001293125.1__GCA_018376445.1	GCF_001293125.1	GCA_018376445.1	ok	3	20	0.02273	0.37121	0.37121	49	49	0	0.9916	118	0.8519	132	4	97	false
GCA_009704285.1__GCA_000383815.1	GCA_009704285.1	GCA_000383815.1	ok	0	13	0.00000	0.36667	0.36667	11	11	0	0.2222	4	0.3158	30	1	4	false
GCF_900637185.1__GCF_001612825.1	GCF_900637185.1	GCF_001612825.1	ok	13	72	0.05200	0.10800	0.89200	27	223	0	0.9951	204	0.7262	250	30	956	false
GCF_014252255.1__GCF_014252055.1	GCF_014252255.1	GCF_014252055.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCF_009696325.1__GCF_901212495.1	GCF_009696325.1	GCF_901212495.1	ok	4	52	0.01533	0.43295	0.43295	113	113	0	0.9621	203	0.7928	261	24	319	false
GCF_011682075.1__GCF_000021385.1	GCF_011682075.1	GCF_000021385.1	ok	0	298	0.00000	0.45089	0.45089	280	280	0	0.3968	246	0.5194	621	16	198	false
GCA_900319225.1__GCA_902774335.1	GCA_900319225.1	GCA_902774335.1	ok	1	12	0.03846	0.42308	0.42308	11	11	0	0.7500	9	0.4286	26	5	50	false
GCF_012676905.1__GCF_000422485.1	GCF_012676905.1	GCF_000422485.1	ok	7	53	0.00654	0.48037	0.48037	514	514	0	0.9990	1031	0.9508	1070	17	923	false
GCF_009905735.1__GCF_002952215.1	GCF_009905735.1	GCF_002952215.1	ok	1	29	0.01471	0.48529	0.48529	33	33	0	0.4776	32	0.5735	68	148	475	false
GCF_003999415.1__GCF_900636825.1	GCF_003999415.1	GCF_900636825.1	ok	11	50	0.03188	0.44058	0.44058	152	152	0	0.8983	309	0.8580	345	25	647	false
GCF_008824185.1__GCF_003285265.1	GCF_008824185.1	GCF_003285265.1	ok	46	92	0.52273	0.32955	0.32955	29	29	0	0.9885	86	0.3030	88	156	432	false
GCA_015523185.1__GCF_012027635.1	GCA_015523185.1	GCF_012027635.1	ok	0	4	0.00000	0.20000	0.20000	1	1	0	0.0000	0	0.0000	5	4	31	false
