pairid	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCA_902803615.1__GCF_900167315.1	200	97	1658940	795237	0.4793645339795291
GCF_900108495.1__GCF_900167315.1	29	16	2038934	985192	0.4831897452296151
GCA_902529525.1__GCA_902587425.1	110	59	968089	537641	0.5553631949128645
GCF_900103075.1__GCF_900107955.1	19	5	4055969	1099134	0.2709917161595663
GCF_900103075.1__GCF_900108235.1	16	4	3991491	639145	0.1601268799052785
GCF_900108235.1__GCF_900114965.1	270	33	3535077	313792	0.0887652517894235
GCA_903825545.1__GCA_903864035.1	62	17	5311377	1020616	0.1921565725799543
GCF_011751965.1__GCF_011751985.1	110	64	2902666	1499148	0.5164727874305897
GCA_902520675.1__GCA_902542605.1	29	8	943083	433062	0.4591981829807132
GCA_902520675.1__GCA_902547435.1	27	20	831615	699573	0.8412222001767645
GCA_902542605.1__GCA_902547435.1	39	21	762176	367986	0.4828097447308758
GCA_018971295.1__GCA_018971885.1	336	147	3634119	1491991	0.4105509478363257
GCA_900768895.1__GCA_905199185.1	191	91	2169759	960647	0.4427436411140592
GCA_002313955.1__GCA_002716545.1	142	76	2167141	1277934	0.5896865963036092
GCA_002313955.1__GCA_003450615.1	403	220	1800800	973616	0.5406574855619725
GCA_002716545.1__GCA_003450615.1	347	182	1882106	951459	0.5055289128242512
GCA_002501495.1__GCA_009392525.1	262	128	1149951	518828	0.4511740065446267
GCA_002448635.1__GCA_002450545.1	443	236	1079714	550038	0.5094293488831302
GCA_002448635.1__GCA_009392805.1	242	120	1302703	642910	0.4935200118522794
GCA_000997995.1__GCA_001772745.1	54	18	491738	138091	0.2808223078143239
GCA_000997995.1__GCA_001773305.1	36	14	575913	159306	0.2766146970115278
GCA_001772745.1__GCA_001773305.1	64	29	682401	253430	0.3713798778137781
GCA_018380225.1__GCA_900759405.1	164	93	1960744	979842	0.4997296944425177
GCA_008667525.1__GCA_018380225.1	338	186	1810126	989310	0.546542063922622
GCA_008667695.1__GCA_014864055.1	389	215	1729743	863847	0.4994077154814328
GCA_900538315.1__GCF_004405045.1	136	44	4108242	868594	0.2114271749327327
GCA_905202305.1__GCF_004405045.1	137	45	4108417	868769	0.2114607645718533
GCA_900538315.1__GCA_905202305.1	20	0	4510901	0	0.0
GCA_003445655.1__GCA_012521605.1	363	189	1170603	625530	0.5343656218205489
GCA_018381885.1__GCF_001055885.1	185	73	1779503	585924	0.3292627211080847
GCA_015255105.1__GCF_014982385.1	322	163	1558525	842454	0.5405457082818691
GCA_018366855.1__GCF_014931455.1	218	108	1719090	1040176	0.6050736145286169
GCF_002236815.1__GCF_012396065.1	178	79	7626868	3895329	0.5107376973090396
GCA_003963195.1__GCF_001051035.1	498	246	2813878	1378852	0.4900184016506757
GCA_002200935.1__GCF_001908615.1	433	197	5579384	2874126	0.5151332118384395
GCA_903882135.1__GCA_903929605.1	461	205	4191390	1973510	0.4708485729077943
GCA_018711985.1__GCA_900758145.1	392	186	1942259	949845	0.4890413688390683
GCA_018711985.1__GCA_905200175.1	542	262	2111146	1037201	0.4912976175025318
GCA_900758145.1__GCA_905200175.1	542	254	2040683	919526	0.4505971775136069
GCF_003467365.1__GCF_015548795.1	349	178	4866076	2641477	0.5428351304007583
GCF_015548795.1__GCF_015559975.1	392	181	4624526	2146004	0.4640484235573548
GCF_000382465.1__GCF_015548795.1	444	213	4427780	2187167	0.4939646956262506
GCA_012275145.1__GCF_018310535.1	926	820	7524663	7393463	0.9825640031985484
GCA_002373315.1__GCA_002394445.1	205	108	1434665	712010	0.496290074686425
GCA_002394115.1__GCA_002394445.1	281	165	1330965	783199	0.5884444744978268
GCA_002372295.1__GCA_002394115.1	240	108	1584372	756191	0.4772812193096066
GCA_903834125.1__GCA_903897835.1	1059	520	2790140	1338014	0.4795508469109077
GCA_903834125.1__GCA_903913455.1	1021	495	3026002	1458108	0.4818595625515118
GCA_903897835.1__GCA_903913455.1	901	464	3071187	1606363	0.5230430449204168
GCF_001282985.1__GCF_900197695.1	182	95	1438861	661608	0.4598136998639896
GCF_900197675.1__GCF_900197695.1	188	98	1432911	722536	0.5042434596426435
GCF_001283025.1__GCF_900197675.1	151	67	1457080	377642	0.2591772586268427
GCA_905200075.1__GCF_015549175.1	349	192	1693348	957922	0.5656970687655462
GCA_018374675.1__GCA_905212535.1	369	179	2096422	1100453	0.524919601110845
GCA_018374675.1__GCF_900169665.1	397	215	2140822	1082566	0.5056777256586489
GCA_900540215.1__GCF_900169665.1	179	83	2609584	1180873	0.4525138872709213
GCA_902756805.1__GCA_902791195.1	487	231	1311241	646167	0.4927904176272706
GCA_903828015.1__GCA_903894925.1	775	363	2385583	1115482	0.4675930370060484
GCA_903894925.1__GCA_903915765.1	725	341	2313342	1131984	0.4893284261471066
GCA_903828015.1__GCA_903915765.1	609	269	2458150	1046722	0.4258169761812745
GCF_001702115.1__GCF_002907065.1	26	15	1369140	1122930	0.8201717866690039
GCF_001438685.1__GCF_002907065.1	57	29	1383278	707446	0.5114272040761149
GCF_001702115.1__GCF_001702135.1	7	0	1378391	0	0.0
GCA_018653115.1__GCA_018671435.1	81	35	2040669	724444	0.3550031876801186
GCA_018663445.1__GCA_018694655.1	150	76	1889409	899910	0.4762917928304565
GCA_018653115.1__GCA_018694335.1	100	39	2105605	938992	0.4459487890653755
GCA_003459985.1__GCA_014864285.1	185	102	2563290	1386002	0.5407121316745277
GCA_003459985.1__GCA_905196935.1	189	88	2356679	1094923	0.4646042163570006
GCA_016712215.1__GCA_016722365.1	172	102	2686648	1694901	0.630860834765105
GCA_016705395.1__GCA_016721485.1	161	105	3017808	2297428	0.7612903140292556
GCA_016703235.1__GCA_016721485.1	159	120	3139495	2598706	0.827746500631471
GCA_003483435.1__GCA_018265295.1	799	419	1416005	729617	0.5152644235013294
GCA_014869405.1__GCA_014869425.1	433	249	1616022	946538	0.5857209864717188
GCA_003483435.1__GCA_902399795.1	786	400	1604733	840363	0.5236777706945641
GCF_001304545.1__GCF_003605455.1	445	204	2046260	910377	0.4448980090506583
GCF_000506745.1__GCF_003599935.1	410	206	2001708	970365	0.484768507694429
GCF_005890265.1__GCF_015700305.1	368	169	2065358	948332	0.4591610752227943
GCA_900754685.1__GCA_905198715.1	470	252	2012121	1078689	0.5360954932630791
GCF_000721515.1__GCF_014905535.1	905	481	7518844	4114550	0.5472317287072321
GCA_003537795.1__GCA_900544035.1	199	116	1061950	646530	0.608813974292575
GCA_003537795.1__GCA_905210325.1	299	150	1013363	526646	0.5197012324310242
GCA_900544035.1__GCA_905210325.1	236	105	1056564	468924	0.4438197780730746
GCF_001043875.1__GCF_001476215.1	887	450	5781876	2817299	0.4872638223303301
GCF_001476215.1__GCF_001477085.1	527	262	6211535	3443276	0.5543357640261224
GCF_001043875.1__GCF_017347565.1	854	454	5904689	2995593	0.507324433175058
GCA_902779115.1__GCA_902784485.1	258	138	1703930	926374	0.5436690474373947
GCA_902515425.1__GCA_902521885.1	74	34	709726	318433	0.4486703319309141
GCA_902518535.1__GCA_902521885.1	78	37	582831	257618	0.4420114921821248
GCA_902515425.1__GCA_902555725.1	80	35	872556	258958	0.2967809515950839
GCA_903825745.1__GCA_903830245.1	25	6	2811190	243217	0.0865174534627684
GCA_903838635.1__GCA_903840855.1	534	262	2340508	1204734	0.5147318445397324
GCA_903820865.1__GCA_903867635.1	31	10	2813074	927641	0.3297606106344874
GCA_002168805.2__GCA_002502485.1	244	125	1557105	798486	0.5128016415077982
GCA_018365685.1__GCF_018785425.1	286	182	2554763	1643104	0.6431532005121414
GCA_000435795.1__GCA_905197825.1	270	137	2455408	1322185	0.538478737545858
GCA_016778355.1__GCA_016778375.1	174	93	927907	483460	0.5210220420796481
GCA_017994995.1__GCA_018056865.1	233	102	1774089	750348	0.4229483413740799
GCA_018815275.1__GCA_018815865.1	413	189	3804146	1595761	0.4194794311259347
GCA_018815275.1__GCA_018824105.1	392	209	3740861	1978098	0.5287814757083997
GCA_018815865.1__GCA_018824105.1	372	176	3644555	1788573	0.4907520945629851
GCA_015059695.1__GCA_017507635.1	454	223	1758224	884288	0.5029438797331853
GCA_015059695.1__GCA_017531965.1	455	235	1852318	970671	0.5240304310598936
GCA_017507635.1__GCA_017531965.1	601	300	1707926	915166	0.5358346907301604
GCA_902755195.1__GCA_902782455.1	704	380	2522041	1360697	0.5395221568562922
GCA_900759295.1__GCA_905205245.1	355	175	1660090	875714	0.5275099542795872
GCA_002010295.1__GCA_004366995.1	114	65	2247022	1314672	0.5850730433435899
GCA_002010295.1__GCA_002494665.1	191	91	2166085	1149912	0.5308711338659379
GCA_002494665.1__GCA_004366995.1	171	86	2180971	1054110	0.4833214196795831
GCA_018814905.1__GCA_018824685.1	919	452	3199012	1547348	0.4836955910137255
GCA_016776415.1__GCA_016782905.1	286	145	1576290	799286	0.5070678618782077
GCA_016776415.1__GCA_018814905.1	548	241	1680443	780133	0.4642424646358133
GCA_002071555.1__GCA_017993015.1	394	220	1536236	898342	0.5847682257153198
GCA_002071555.1__GCA_018436145.1	396	204	1438798	737710	0.512726595394211
GCA_017993015.1__GCA_018436145.1	162	84	1466214	734481	0.5009371074072407
GCF_000519025.1__GCF_000526975.1	275	135	3043407	1519990	0.4994369796744241
GCF_007954305.1__GCF_007954345.1	151	41	4417763	1074932	0.2433204316302164
GCF_000337295.1__GCF_000685635.1	38	6	3888041	7627	0.0019616562685424
GCF_000337295.1__GCF_005406325.1	20	16	3894500	3383266	0.8687292335344717
GCF_000685635.1__GCF_005406325.1	40	29	3889128	3385933	0.8706149553318893
GCA_016869095.1__GCA_017302665.1	129	70	1205487	697839	0.5788855458416391
GCA_903872275.1__GCA_903889345.1	1304	632	5489197	2664921	0.4854846710730185
GCA_903863355.1__GCA_903872275.1	1324	669	5474286	2789209	0.5095110120296966
GCA_903863355.1__GCA_903889345.1	903	442	5967445	2815275	0.4717722576412518
GCF_014841625.1__GCF_014842095.1	308	150	4249908	2110403	0.4965761611780773
GCA_900600405.1__GCF_014842095.1	343	153	4174514	1727657	0.4138582359527361
GCA_900600405.1__GCF_014841705.1	337	240	4150758	3009729	0.7251034630301261
GCA_001805945.1__GCA_001805995.1	215	75	2156677	676546	0.3136983424036144
GCA_001805945.1__GCA_003500255.1	231	119	2014548	1255993	0.6234614414747129
GCA_001804475.1__GCA_003500255.1	147	81	2217832	1181356	0.5326625280904956
GCA_017886555.1__GCA_905201965.1	424	201	1839586	880653	0.4787234736511367
GCA_017544355.1__GCA_905233155.1	526	251	1538437	727727	0.4730300948300125
GCA_017544355.1__GCA_905234335.1	595	293	1402861	662906	0.4725386192930019
GCA_905233155.1__GCA_905234335.1	615	283	2216291	939448	0.4238829648272722
GCA_015490595.1__GCA_015492235.1	305	152	1896334	920743	0.485538412537032
GCA_015490595.1__GCF_013761125.1	66	31	2168237	1042513	0.4808113688678866
GCA_015492235.1__GCF_013761125.1	297	146	1893163	854304	0.4512574986939846
GCA_002712965.1__GCA_009391645.1	76	41	1284740	696171	0.5418769556486137
GCA_018814585.1__GCA_018817105.1	39	15	1723608	422220	0.2449628917944219
GCA_018814585.1__GCA_018825025.1	29	10	1777428	403121	0.2268001854364846
GCA_018817105.1__GCA_018825025.1	36	14	1707722	667731	0.3910068500610755
GCF_002049255.1__GCF_002049395.1	330	164	2413721	1199072	0.4967732393263347
GCF_002049395.1__GCF_900167165.1	274	167	2373122	1302217	0.5487358003507615
