pairid	band	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCA_003455175.1__GCA_902773985.1	95-97	463	218	1346431	596189	0.44279209257659696
GCA_003483435.1__GCA_018265295.1	95-97	799	419	1416005	729617	0.5152644235013294
GCA_003526165.1__GCF_900104195.1	95-97	692	399	1663406	929440	0.5587571524931376
GCA_003535915.1__GCF_018618775.1	95-97	187	38	2753059	904543	0.32855924991073565
GCA_003535915.1__GCF_018618835.1	95-97	224	129	2692850	1731869	0.6431360825890785
GCA_003537795.1__GCA_900544035.1	95-97	199	116	1061950	646530	0.608813974292575
GCA_004213165.1__GCF_001632025.1	95-97	131	76	1481087	824558	0.5567248919205962
GCA_004214085.1__GCA_018647415.1	95-97	49	26	739401	278044	0.3760395238848744
GCA_004214085.1__GCA_018655425.1	95-97	56	25	748925	281504	0.37587742430817506
GCA_004376705.1__GCA_019057855.1	95-97	465	227	1425449	668759	0.4691567358776077
GCA_004553245.1__GCA_905211025.1	95-97	484	232	1772388	785025	0.4429193833404424
GCA_004557765.1__GCA_905203325.1	95-97	417	229	1438285	737517	0.5127752844533594
GCA_004560015.1__GCA_015655785.1	95-97	303	163	1350822	801697	0.5934882612216857
GCA_004563465.1__GCA_018916745.1	95-97	617	341	1501932	832634	0.5543752979495743
GCA_007096815.1__GCF_014218765.1	95-97	2129	1048	3488223	1632262	0.4679351062131062
GCA_007122115.1__GCF_000337715.1	95-97	667	332	2373973	1141489	0.48083487048926
GCA_007845265.1__GCA_015257495.1	95-97	92	62	644025	444331	0.6899281860176235
GCA_007845345.1__GCA_015257495.1	95-97	113	65	491353	319150	0.649533024119116
GCA_008033035.1__GCF_009740305.1	95-97	171	101	1469453	930954	0.6335377858291487
GCA_008662055.1__GCF_003428235.1	95-97	560	249	1854436	865026	0.4664631187056334
GCA_009711595.1__GCA_017751145.1	95-97	743	267	3019569	880392	0.291562140159738
GCA_009835815.1__GCA_011523455.1	95-97	1196	596	4452114	2254089	0.5062963347299733
GCA_009837505.1__GCA_009839875.1	95-97	618	313	1637638	824227	0.5033023171177025
GCA_009838445.1__GCA_009840025.1	95-97	765	364	2800306	1356335	0.4843524243421969
GCA_009842195.1__GCA_009844335.1	95-97	476	225	2859899	1444400	0.5050528008156931
GCA_009996505.1__GCF_018403535.1	95-97	410	224	3479124	1826989	0.5251290267320164
GCA_012843005.1__GCA_018432545.1	95-97	243	124	1605350	794213	0.49472887532313825
GCA_013139715.1__GCA_013374455.1	95-97	514	257	984376	513825	0.5219804221151267
GCA_013139715.1__GCA_013374465.1	95-97	421	215	749338	379005	0.5057864408317742
GCA_013333095.2__GCA_015263645.1	95-97	223	107	1322802	620504	0.469083052490093
GCA_014803995.1__GCA_014804015.1	95-97	314	142	1962702	794011	0.4045499520558903
GCA_014847535.1__GCA_900066535.1	95-97	506	262	1855443	971261	0.5234658246036121
GCA_014865025.1__GCA_905215165.1	95-97	486	236	2237770	1108320	0.4952787820017249
GCA_014872635.1__GCA_018370735.1	95-97	310	147	1787103	863939	0.48342988624606414
GCA_015259595.1__GCA_905372995.1	95-97	245	133	1707077	830583	0.4865527448381063
GCA_015295965.1__GCF_016919485.1	95-97	1165	628	4638793	2608277	0.5622749279823437
GCA_015659075.1__GCA_910595815.1	95-97	144	69	901473	414868	0.4602112320613041
GCA_015661595.1__GCF_004209405.1	95-97	275	109	2922332	1338648	0.4580752631802273
GCA_015762695.1__GCA_015762725.1	95-97	645	123	2721681	347794	0.12778646726049084
GCA_015999485.1__GCF_014269035.2	95-97	663	479	4823760	3448718	0.714943944143158
GCA_016284805.1__GCA_902778395.1	95-97	568	255	1501276	675767	0.45012842408724313
GCA_016285435.1__GCA_017475125.1	95-97	993	485	3063013	1493703	0.4876580673996486
GCA_016287345.1__GCA_017527275.1	95-97	354	156	2003113	896513	0.4475598730575859
GCA_016702805.1__GCA_016705825.1	95-97	580	237	3931056	1625782	0.4135738590343155
GCA_016780855.1__GCA_902539465.1	95-97	164	74	1532374	782282	0.5105033105495134
GCA_016887665.1__GCF_007679725.1	95-97	477	273	5125615	2790106	0.5443456053566255
GCA_016887665.1__GCF_015143645.1	95-97	470	150	5028592	2138996	0.42536678259043487
GCA_017388425.1__GCA_902773315.1	95-97	654	337	1551124	797566	0.5141858420087627
GCA_017394725.1__GCA_902778865.1	95-97	574	288	2075838	983586	0.4738259922017036
GCA_017400085.1__GCA_017452065.1	95-97	411	217	1725086	907744	0.5262021719496883
GCA_017413135.1__GCA_902756035.1	95-97	301	173	1809027	1024506	0.5663298557732969
GCA_017427085.1__GCA_017429405.1	95-97	313	154	1819828	895663	0.49216904015104723
GCA_017437245.1__GCA_017505835.1	95-97	419	190	1820346	853957	0.46911795889352903
GCA_017445735.1__GCA_902762425.1	95-97	437	199	1289845	593081	0.4598079614217212
GCA_017452065.1__GCA_017517885.1	95-97	472	242	1503368	757329	0.5037549023259774
GCA_017460465.1__GCA_017470205.1	95-97	228	110	1363714	670892	0.49195945777487066
GCA_017480725.1__GCA_017635005.1	95-97	410	217	1971061	1136018	0.5763484742481334
GCA_017518545.1__GCA_902803705.1	95-97	617	278	1570925	730714	0.46514887725384724
GCA_017531355.1__GCA_902774955.1	95-97	583	288	2070815	1091199	0.5269418079355229
GCA_017540405.1__GCA_902780895.1	95-97	227	102	1845323	729749	0.3954586812173262
GCA_017743455.1__GCA_017743655.1	95-97	844	406	2951944	1397270	0.473338925128661
GCA_017854185.1__GCA_018667975.1	95-97	415	212	1539774	797232	0.5177590997120357
GCA_017854335.1__GCA_018667975.1	95-97	457	239	1519071	802760	0.5284545620316627
GCA_017958655.1__GCA_900321615.1	95-97	357	170	1195073	624525	0.5225831392726636
GCA_017960495.1__GCA_017963185.1	95-97	574	280	2021217	994216	0.49188978719256765
GCA_017983885.1__GCA_018241285.1	95-97	479	240	3688215	1869513	0.5068882914905991
GCA_018056875.1__GCA_018434395.1	95-97	170	95	1421374	730809	0.514156724408917
GCA_018265115.1__GCA_905209055.1	95-97	272	145	1613313	932592	0.5780601780311694
GCA_018370735.1__GCA_905212425.1	95-97	199	108	1896276	1058195	0.5580384922869878
GCA_018374455.1__GCF_001053035.1	95-97	170	93	1798720	1024599	0.569626734566803
GCA_018374935.1__GCA_018379525.1	95-97	237	141	2190771	1181310	0.5392211235222668
GCA_018378165.1__GCF_003992235.1	95-97	170	83	1501164	635966	0.4236485820336752
GCA_018381885.1__GCF_001055885.1	95-97	185	73	1779503	585924	0.3292627211080847
GCA_018433115.1__GCF_000213235.1	95-97	418	193	2043002	861264	0.42156786924339773
GCA_018802285.1__GCF_015555385.1	95-97	256	154	1882159	1272613	0.676145320347537
GCA_018970745.1__GCA_903885105.1	95-97	662	329	2008934	989526	0.49256272231939924
GCA_019104985.1__GCF_001747495.1	95-97	587	307	1578438	814071	0.5157446792335207
GCA_019113725.1__GCA_900554045.1	95-97	499	275	1717589	890045	0.5181943992421936
GCA_019113725.1__GCA_900753105.1	95-97	694	346	2116271	1082883	0.5116939182174683
GCA_019115645.1__GCA_900754825.1	95-97	325	166	1738037	887748	0.5107762377901046
GCA_019115645.1__GCA_905204375.1	95-97	276	152	1603964	941002	0.586672768216743
GCA_900299445.1__GCF_000350125.1	95-97	1063	513	2187043	941442	0.4304634156712968
GCA_900321465.1__GCA_902760985.1	95-97	564	322	2475224	1342199	0.5422535495777352
GCA_900467455.1__GCA_900470735.1	95-97	266	143	3886731	2124697	0.5466539876312511
GCA_900471525.1__GCA_900473675.1	95-97	522	209	5185867	2203068	0.42482153900206077
GCA_900472885.1__GCF_001424085.1	95-97	440	214	5716710	3196549	0.5591588518570996
GCA_900539085.1__GCA_900756475.1	95-97	228	107	1511618	582598	0.3854135105562384
GCA_900539085.1__GCA_905198335.1	95-97	193	30	1568321	195910	0.12491702910309815
GCA_900540325.1__GCA_905211165.1	95-97	219	113	1559882	839914	0.538447138950254
GCA_900540445.1__GCA_905201945.1	95-97	239	126	1550749	850175	0.5482350786619885
GCA_900541005.1__GCA_900763105.1	95-97	321	173	1752488	883920	0.504380058522512
GCA_900550655.1__GCA_905206645.1	95-97	236	72	1064607	358800	0.33702577570878267
GCA_900554055.1__GCA_905211945.1	95-97	382	221	1036261	578608	0.5583612622688685
GCA_900557325.1__GCF_015560245.1	95-97	273	125	979912	464115	0.4736292646686641
GCA_900557325.1__GCF_016642415.1	95-97	262	132	989369	508971	0.5144400117650745
GCA_900600405.1__GCF_014841705.1	95-97	337	240	4150758	3009729	0.7251034630301261
GCA_900758725.1__GCA_905204055.1	95-97	384	205	1543622	798352	0.5171939762454798
GCA_900760895.1__GCA_905204055.1	95-97	440	224	1361363	693241	0.5092256804393832
GCA_900762545.1__GCA_905207685.1	95-97	314	161	1656042	836191	0.5049334497555014
GCA_900766445.1__GCA_905213715.1	95-97	227	124	762462	418274	0.5485834048123054
GCA_900767575.1__GCA_905211815.1	95-97	173	95	884771	540324	0.6106936145059004
GCA_900770465.1__GCA_905195055.1	95-97	433	202	1341520	646094	0.4816133937622995
GCA_900772515.1__GCA_905209655.1	95-97	631	328	1947245	953075	0.48944791230687457
GCA_902515425.1__GCA_902521885.1	95-97	74	34	709726	318433	0.44867033193091416
GCA_902515425.1__GCA_902555725.1	95-97	80	35	872556	258958	0.2967809515950839
GCA_902515955.1__GCA_902603005.1	95-97	63	31	817572	339609	0.4153872686442295
GCA_902515955.1__GCA_902604595.1	95-97	81	31	828869	290222	0.35014218169578065
GCA_902518535.1__GCA_902521885.1	95-97	78	37	582831	257618	0.4420114921821248
GCA_902533225.1__GCA_902548635.1	95-97	136	60	1271102	556959	0.438170186184901
GCA_902541505.1__GCA_902579505.1	95-97	85	35	695109	235703	0.3390878265135396
GCA_902547785.1__GCA_902612225.1	95-97	58	29	548933	180815	0.32939356897836347
GCA_902550055.1__GCA_902556295.1	95-97	66	36	475962	201215	0.42275433753114744
GCA_902561665.1__GCA_902577125.1	95-97	72	40	607081	396009	0.652316577194806
GCA_902564545.1__GCA_902613265.1	95-97	66	40	968382	683031	0.7053321932873597
GCA_902566515.1__GCA_902593595.1	95-97	46	24	505435	281276	0.5565028144073917
GCA_902568715.1__GCA_902614175.1	95-97	60	43	799851	610919	0.7637910060748815
GCA_902572765.1__GCA_902588785.1	95-97	73	31	700996	342659	0.4888173398992291
GCA_902582915.1__GCA_902602995.1	95-97	73	37	608834	251888	0.4137219669072358
GCA_902588785.1__GCA_902597835.1	95-97	78	38	884294	365865	0.4137368341298256
GCA_902597955.1__GCA_902622465.1	95-97	53	19	706226	323158	0.45758439932826034
GCA_902623315.1__GCA_902624565.1	95-97	78	30	606167	236004	0.38933825166991937
GCA_902758795.1__GCA_902767815.1	95-97	416	126	1930026	453335	0.2348854367764994
GCA_902759045.1__GCA_902768775.1	95-97	545	274	1659527	861268	0.5189840237609873
GCA_902763715.1__GCA_902779435.1	95-97	467	251	2353633	1182418	0.5023799377388063
GCA_902767675.1__GCA_902770695.1	95-97	331	197	2079977	1233429	0.5930012687640296
GCA_902770275.1__GCA_902784825.1	95-97	578	255	2410105	1108700	0.4600214513475554
GCA_902771175.1__GCA_902798345.1	95-97	315	162	1626027	784559	0.48250059808354967
GCA_902776575.1__GCA_902790225.1	95-97	456	236	1511305	775533	0.5131545253936167
GCA_902777565.1__GCA_902786375.1	95-97	209	102	1733017	726345	0.41912168201466
GCA_902778955.1__GCA_902800865.1	95-97	333	141	1957156	775155	0.39606193885413327
GCA_902781695.1__GCA_902794995.1	95-97	832	414	2257257	1041431	0.4613701496993918
GCA_902784185.1__GCA_902784825.1	95-97	600	289	2620695	1238122	0.4724403259440721
GCA_902785195.1__GCA_902799115.1	95-97	657	314	2881739	1446669	0.5020125000910909
GCA_902786495.1__GCA_902787845.1	95-97	630	300	2577977	1300687	0.5045378605006949
GCA_902790455.1__GCA_902794255.1	95-97	1263	623	4118695	2124794	0.5158901059680311
GCA_902793085.1__GCA_902793625.1	95-97	342	153	1573804	789908	0.5019100218324518
GCA_903833345.1__GCA_903921545.1	95-97	1058	502	2443053	1134887	0.46453638132287756
GCA_903833775.1__GCA_903922205.1	95-97	4	1	358	75	0.20949720670391062
GCA_903873665.1__GCA_903900245.1	95-97	452	231	2443613	1333272	0.5456150380604458
GCA_904373315.1__GCA_905207275.1	95-97	180	104	1333293	815367	0.6115437491984133
GCA_905187715.1__GCF_002860845.1	95-97	277	123	1553604	638801	0.41117363240568383
GCA_905199465.1__GCF_008831385.1	95-97	141	114	1473072	1106398	0.7510820923892383
GCA_905200075.1__GCF_015549175.1	95-97	349	192	1693348	957922	0.5656970687655462
GCA_905207275.1__GCA_905214395.1	95-97	184	97	1344105	700262	0.5209875716554883
GCA_905215445.1__GCF_003467795.1	95-97	312	164	1858375	1009136	0.5430206497612161
GCA_905372675.1__GCF_000318195.2	95-97	300	121	2100055	790971	0.37664299268352497
GCA_910575095.1__GCA_910576525.1	95-97	558	268	2084543	1103017	0.529140919616434
GCF_000010045.1__GCF_000378805.1	95-97	574	402	4049550	2976660	0.7350594510501167
GCF_000093165.1__GCF_014252515.1	95-97	10	0	635908	0	0.0
GCF_000162055.1__GCF_003350215.1	95-97	387	182	2840816	1325417	0.46656207230598534
GCF_000167395.1__GCF_016458385.1	95-97	195	89	1488462	556040	0.37356680922992996
GCF_000235975.1__GCF_017312445.1	95-97	322	118	2916937	1052210	0.36072428029813464
GCF_000252835.1__GCF_016865275.1	95-97	285	26	1692563	80948	0.047825693932810776
GCF_000264075.1__GCF_017897585.1	95-97	489	239	3733620	1937494	0.5189317605969541
GCF_000312185.1__GCF_015207115.1	95-97	2362	1194	3448488	1709393	0.49569347493742183
GCF_000314615.1__GCF_000369785.1	95-97	276	159	3271198	1731965	0.5294589321710272
GCF_000345605.2__GCF_004014595.1	95-97	165	81	1545687	783934	0.5071751266588902
GCF_000348585.1__GCF_000775195.1	95-97	517	277	4498402	2317818	0.5152536389589014
GCF_000364285.1__GCF_900198355.1	95-97	414	226	2023160	1177523	0.5820216888431958
GCF_000367805.1__GCF_002356075.1	95-97	99	52	777181	327022	0.42077971540735043
GCF_000368645.1__GCF_000964015.1	95-97	180	101	2668105	1594095	0.5974633681957794
GCF_000369145.1__GCF_013417805.1	95-97	202	135	2786758	1698972	0.6096589657228938
GCF_000369485.1__GCF_000369545.1	95-97	303	161	3418286	1882234	0.5506367811236391
GCF_000406205.1__GCF_009873225.1	95-97	537	283	4458531	2461083	0.5519941433624662
GCF_000413375.1__GCF_002847685.1	95-97	146	92	2066256	1478327	0.7154616852897221
GCF_000452225.2__GCF_015668845.1	95-97	397	173	3058924	1428901	0.46712536826675
GCF_000505765.1__GCF_007989265.1	95-97	340	209	3057821	1641348	0.5367704649814361
GCF_000506745.1__GCF_003599935.1	95-97	410	206	2001708	970365	0.484768507694429
GCF_000519025.1__GCF_000526975.1	95-97	275	135	3043407	1519990	0.4994369796744241
GCF_000597925.1__GCF_002901665.1	95-97	721	308	5937127	2296096	0.38673520037553516
GCF_000613325.1__GCF_018127765.1	95-97	391	209	2404663	1414583	0.5882666302928934
GCF_000692275.1__GCF_001022525.2	95-97	395	241	4177422	2639722	0.631902163583186
GCF_000719575.1__GCF_000721715.1	95-97	1129	614	7089865	3563795	0.502660487893634
GCF_000721345.1__GCF_000721625.1	95-97	1404	632	6806971	3393008	0.4984607691144857
GCF_000738695.1__GCF_000988945.1	95-97	1968	986	7853823	3992517	0.508353320414784
GCF_000761335.1__GCF_008121555.1	95-97	385	158	4594314	1751401	0.3812105572235594
GCF_000803285.1__GCF_904887615.1	95-97	218	61	3368479	730015	0.21671947487278384
GCF_000819905.1__GCF_013359465.2	95-97	179	66	2152874	838256	0.38936602885259425
GCF_000819905.1__GCF_014634945.1	95-97	160	100	2175027	1538927	0.7075438603750666
GCF_000834105.1__GCF_014836545.1	95-97	437	250	3501896	1916420	0.5472521171388299
GCF_000877055.1__GCF_000937035.1	95-97	631	323	1663686	872072	0.5241806446649188
GCF_001070785.1__GCF_003244735.1	95-97	789	419	4017206	2098398	0.5223526002898532
GCF_001263145.1__GCF_009902355.1	95-97	221	123	1877177	1191854	0.6349182842108123
GCF_001281205.1__GCF_006493415.1	95-97	135	81	1361395	665817	0.48906966751016423
GCF_001282805.1__GCF_001461995.1	95-97	679	311	4013376	1886304	0.4700043056020667
GCF_001404815.1__GCF_015549285.1	95-97	455	257	2304589	1264236	0.5485733030922216
GCF_001425805.1__GCF_001514045.1	95-97	1087	481	8329791	3442011	0.41321697026972226
GCF_001476555.1__GCF_003580695.1	95-97	439	242	2363166	1439101	0.608971608427
GCF_001510805.1__GCF_904887615.1	95-97	222	91	3363451	1359291	0.4041358117005421
GCF_001522845.1__GCF_900446275.1	95-97	784	372	5423574	2817643	0.5195177571099795
GCF_001528995.1__GCF_001636095.1	95-97	401	199	5944526	3130672	0.5266478773917382
GCF_001562845.1__GCF_016026575.1	95-97	108	55	1323605	631521	0.47712195103524085
GCF_001573875.1__GCF_018916625.1	95-97	710	310	3464697	1268389	0.36608944447378805
GCF_001597285.1__GCF_900455475.1	95-97	293	35	3848903	348948	0.09066167684662357
GCF_001675095.1__GCF_003400125.1	95-97	537	81	5835673	501290	0.08590097491754593
GCF_001678995.1__GCF_002027585.1	95-97	295	128	1996820	933241	0.4673636081369377
GCF_001681635.1__GCF_001682005.1	95-97	237	102	4228402	2005730	0.47434704647287557
GCF_001704385.2__GCF_900168155.1	95-97	328	167	3273086	1347692	0.41174964544164133
GCF_001758545.1__GCF_009380165.1	95-97	629	289	5937558	2315065	0.38990187548483735
GCF_001758795.1__GCF_009380165.1	95-97	611	320	6002555	3444358	0.5738153169775204
GCF_001810345.1__GCF_014931375.1	95-97	151	82	1793549	1090598	0.6080670224231398
GCF_001878775.1__GCF_018438165.1	95-97	243	104	2819558	997534	0.3537909133275499
GCF_002112905.1__GCF_004153525.1	95-97	682	385	5626658	3331078	0.5920171441022362
GCF_002216165.1__GCF_002286955.1	95-97	367	129	3420159	1232462	0.36035225262919063
GCF_002258385.1__GCF_002259335.1	95-97	322	224	5169189	3350916	0.6482479166461121
GCF_002269425.1__GCF_013387095.1	95-97	620	280	6013346	2686276	0.4467190146716986
GCF_002313185.2__GCF_018917625.1	95-97	307	159	4042094	2195268	0.543101669580173
GCF_002368135.1__GCF_002893155.1	95-97	823	423	2947911	1590699	0.5396021114613025
GCF_002368135.1__GCF_002893245.1	95-97	837	401	2972685	1347345	0.4532417662819976
GCF_002553705.1__GCF_007876425.1	95-97	216	112	1458135	882847	0.6054631429874463
GCF_002555415.1__GCF_002557285.1	95-97	1163	578	4700996	2180934	0.46393019691997184
GCF_002739945.1__GCF_013184205.1	95-97	544	279	3908122	1877259	0.4803481058165533
GCF_002759075.1__GCF_014269035.2	95-97	666	298	4860325	2019625	0.41553291189375197
GCF_002763625.1__GCF_002763815.1	95-97	405	309	1942846	1516281	0.7804432260714437
GCF_002836675.1__GCF_014841975.1	95-97	452	213	3469536	1730760	0.49884480230209455
GCF_002843095.1__GCF_003935455.1	95-97	483	264	4287988	2281807	0.5321393156883835
GCF_002860585.1__GCF_004564745.1	95-97	286	101	2898612	1008040	0.3477664482172847
GCF_002871495.1__GCF_003944325.1	95-97	430	218	1831266	995964	0.5438663744098345
GCF_002877155.1__GCF_005146585.1	95-97	497	281	4264946	2301018	0.5395186715142466
GCF_002894505.1__GCF_008274755.1	95-97	321	53	4325204	784729	0.18143167351181586
GCF_002938985.1__GCF_009756075.1	95-97	526	276	2817700	1520985	0.5397966426518083
GCF_003015035.1__GCF_010607825.1	95-97	626	320	4044421	2028703	0.5016052977669733
GCF_003024475.1__GCF_017579825.1	95-97	232	145	3290838	2089963	0.6350853490812979
GCF_003044485.1__GCF_003493325.1	95-97	412	240	1956601	1178855	0.6025014808844522
GCF_003151025.1__GCF_014324215.1	95-97	137	115	1849833	1590642	0.8598841084573581
GCF_003173275.1__GCF_011290345.1	95-97	1068	992	7656656	7399369	0.9663969492687147
GCF_003352995.1__GCF_009831195.1	95-97	223	53	1627053	216830	0.13326548059589946
GCF_003382655.2__GCF_014946905.1	95-97	587	287	3779616	1814813	0.48015803721859573
GCF_003416965.1__GCF_009857635.1	95-97	829	394	6092340	2794322	0.45866153235045976
GCF_003434755.1__GCF_003480365.1	95-97	571	277	2307404	1048812	0.45454198744563157
GCF_003434765.1__GCF_003480945.1	95-97	581	269	2280769	1079727	0.47340480337991264
GCF_003437565.1__GCF_003472325.1	95-97	239	97	2016513	836179	0.4146658117254885
GCF_003493125.1__GCF_013401795.1	95-97	220	95	1757833	843491	0.47984706169471164
GCF_003637375.1__GCF_004013925.1	95-97	166	119	1452797	1132883	0.7797944241349617
GCF_003814635.1__GCF_015350875.1	95-97	317	234	3100696	2128093	0.6863275213048942
GCF_003992185.1__GCF_003992195.1	95-97	211	106	1548857	665419	0.4296193902987816
GCF_004054145.1__GCF_004303365.1	95-97	580	380	6097394	4223096	0.692606710342156
GCF_004352805.1__GCF_005774755.1	95-97	1863	929	8198534	4042721	0.4931029132769346
GCF_004684015.1__GCF_013337225.1	95-97	432	114	4739442	1345356	0.28386379662415956
GCF_005153965.1__GCF_900095345.1	95-97	200	122	3757696	1773870	0.4720632004291992
GCF_007002765.1__GCF_900012565.1	95-97	332	249	4240583	2964711	0.6991281623305098
GCF_007682295.1__GCF_017579825.1	95-97	210	45	3361250	880289	0.2618933432502789
GCF_007989785.1__GCF_014856535.1	95-97	205	148	3756028	2402656	0.6396800023854987
GCF_008326825.1__GCF_014931035.1	95-97	345	211	4586969	3041069	0.6629800637414379
GCF_008756925.1__GCF_008756975.1	95-97	358	262	4595365	3495113	0.760573534420008
GCF_008756925.1__GCF_009363355.1	95-97	299	117	4954339	1294012	0.2611876175610914
GCF_008756975.1__GCF_009363355.1	95-97	380	185	4646158	2611516	0.5620807557556157
GCF_008764415.1__GCF_904886855.1	95-97	284	156	3342335	1606543	0.48066486453332774
GCF_009600045.1__GCF_009600205.1	95-97	995	498	4773370	2410488	0.5049866237061028
GCF_009600285.1__GCF_009600525.1	95-97	733	351	5007035	2620483	0.5233602321533602
GCF_009678265.1__GCF_009678295.1	95-97	162	52	1560456	556428	0.35658038419538907
GCF_012933495.1__GCF_015864505.1	95-97	456	231	4031826	1947867	0.4831227835725054
GCF_013283495.1__GCF_900116725.1	95-97	332	119	2873787	856497	0.29803774601249156
GCF_013283525.1__GCF_900116725.1	95-97	330	151	2873525	1237549	0.4306727799479733
GCF_014076795.1__GCF_014076955.1	95-97	425	231	3517627	1728161	0.4912860289052819
GCF_014145525.1__GCF_014397075.1	95-97	159	82	1886941	783008	0.4149615700755879
GCF_014251295.1__GCF_014251355.1	95-97	17	0	634452	0	0.0
GCF_014696495.1__GCF_014696555.1	95-97	2641	1427	6984911	3861007	0.5527639507504104
GCF_014696555.1__GCF_014696565.1	95-97	2647	1292	6992775	3379083	0.48322489998605705
GCF_015477435.1__GCF_015478245.1	95-97	803	339	5626413	2117604	0.37636838959386737
GCF_016503485.1__GCF_018919525.1	95-97	533	254	4563960	2080396	0.45583133945082777
GCF_016861485.1__GCF_900455475.1	95-97	305	243	3829095	3223520	0.8418490531052376
GCF_016919345.1__GCF_900113075.1	95-97	387	58	5924567	1027363	0.17340727178880752
GCF_017312765.1__GCF_018729305.1	95-97	410	265	3563752	2347516	0.6587203598903627
GCF_017917325.1__GCF_017917955.1	95-97	423	231	4429755	2304537	0.5202402841692148
GCF_018130125.1__GCF_018130205.1	95-97	1174	617	6666551	3822928	0.573449149342741
GCF_018328665.1__GCF_018328885.1	95-97	144	62	1536668	664923	0.4327043967857728
GCF_018617985.1__GCF_018618075.1	95-97	232	94	2543221	1449637	0.5700004049982286
GCF_900108235.1__GCF_900114965.1	95-97	270	33	3535077	313792	0.08876525178942354
GCF_900108885.1__GCF_900114395.1	95-97	753	372	4156922	2294162	0.551889595234166
GCF_900169325.1__GCF_900451365.1	95-97	274	96	1848530	562309	0.30419252054335066
GCF_900773955.1__GCF_900774285.1	95-97	228	124	1907873	831732	0.4359472564473631
