pairid	dd_breakpoints_ref	dd_breakpoints_qry	dd_relocations_ref	dd_relocations_qry	dd_translocations_ref	dd_translocations_qry	dd_inversions_ref	dd_inversions_qry	dd_insertions_ref	dd_insertions_qry	dd_insertionsum_ref	dd_insertionsum_qry	dd_tandemins_ref	dd_tandemins_qry	dd_tandeminssum_ref	dd_tandeminssum_qry
GCA_900764255.1__GCA_905212875.1	239.0	230.0	0.0	0.0	47.0	34.0	0.0	0.0	80.0	111.0	395143.0	163095.0	0.0	1.0	0.0	72.0
GCA_001724095.1__GCA_017307975.1	440.0	141.0	0.0	0.0	132.0	4.0	0.0	0.0	144.0	60.0	354917.0	120467.0	3.0	3.0	38.0	68.0
GCA_903831755.1__GCA_903919265.1	662.0	953.0	1.0	1.0	86.0	224.0	0.0	0.0	238.0	336.0	128272.0	186409.0	2.0	1.0	261.0	96.0
GCA_903821195.1__GCA_903919265.1	602.0	975.0	1.0	1.0	51.0	227.0	0.0	0.0	193.0	367.0	131847.0	269252.0	1.0	0.0	96.0	0.0
GCA_903899075.1__GCA_903919265.1	599.0	937.0	1.0	1.0	65.0	228.0	0.0	0.0	226.0	322.0	228715.0	223457.0	1.0	1.0	90.0	10.0
GCA_002693265.1__GCA_002710305.1	424.0	383.0	0.0	1.0	110.0	67.0	2.0	2.0	209.0	221.0	597701.0	521487.0	0.0	0.0	0.0	0.0
GCA_900103895.1__GCA_900105365.1	3231.0	3233.0	151.0	168.0	177.0	174.0	49.0	52.0	1129.0	1214.0	1686357.0	1935491.0	5.0	6.0	414.0	1725.0
GCA_903838455.1__GCA_903868265.1	332.0	348.0	2.0	2.0	77.0	97.0	0.0	0.0	148.0	135.0	142015.0	140395.0	0.0	0.0	0.0	0.0
GCA_903838455.1__GCA_903852975.1	317.0	316.0	0.0	0.0	78.0	90.0	0.0	0.0	142.0	135.0	85116.0	111063.0	1.0	0.0	78.0	0.0
GCA_903852975.1__GCA_903868265.1	342.0	362.0	1.0	0.0	90.0	95.0	0.0	0.0	151.0	160.0	165848.0	134383.0	0.0	0.0	0.0	0.0
GCA_018656145.1__GCA_018698755.1	225.0	301.0	0.0	0.0	70.0	99.0	0.0	0.0	76.0	140.0	44262.0	194321.0	0.0	0.0	0.0	0.0
GCA_000436595.1__GCA_900551685.1	999.0	647.0	3.0	1.0	230.0	62.0	4.0	4.0	399.0	346.0	438708.0	440962.0	2.0	10.0	89.0	1354.0
GCA_900551685.1__GCA_905212685.1	724.0	707.0	1.0	5.0	66.0	67.0	8.0	8.0	370.0	298.0	823737.0	450750.0	4.0	0.0	351.0	0.0
GCA_900553745.1__GCA_905212685.1	844.0	509.0	0.0	1.0	218.0	46.0	5.0	6.0	424.0	213.0	1085934.0	146878.0	1.0	1.0	88.0	44.0
GCA_001772855.1__GCA_003485585.1	227.0	181.0	0.0	0.0	27.0	16.0	0.0	0.0	120.0	90.0	198933.0	32890.0	0.0	0.0	0.0	0.0
GCA_002328705.1__GCA_002403185.1	203.0	242.0	0.0	0.0	8.0	31.0	0.0	0.0	115.0	130.0	101080.0	70608.0	0.0	0.0	0.0	0.0
GCA_002328705.1__GCA_017999775.1	212.0	193.0	0.0	0.0	23.0	14.0	0.0	0.0	111.0	90.0	322119.0	49280.0	0.0	0.0	0.0	0.0
GCA_002403185.1__GCA_017999775.1	387.0	318.0	0.0	1.0	57.0	14.0	0.0	0.0	196.0	163.0	175841.0	87012.0	0.0	0.0	0.0	0.0
GCF_001524825.1__GCF_001532915.1	769.0	838.0	9.0	3.0	52.0	58.0	0.0	0.0	266.0	352.0	569971.0	851341.0	1.0	6.0	336.0	692.0
GCF_001527555.1__GCF_002223285.1	497.0	335.0	6.0	6.0	68.0	7.0	0.0	0.0	155.0	107.0	256251.0	292497.0	4.0	5.0	249.0	895.0
GCF_001524825.1__GCF_002925705.1	465.0	581.0	1.0	1.0	45.0	66.0	0.0	0.0	151.0	199.0	480101.0	350561.0	7.0	4.0	1262.0	882.0
GCF_001466915.1__GCF_013392005.1	778.0	1537.0	3.0	3.0	51.0	460.0	5.0	5.0	370.0	556.0	532194.0	438666.0	1.0	2.0	144.0	138.0
GCF_001466915.1__GCF_900624915.1	1767.0	1636.0	13.0	11.0	119.0	45.0	3.0	6.0	767.0	732.0	806541.0	701265.0	0.0	2.0	0.0	143.0
GCF_002091515.1__GCF_003700185.1	1620.0	2234.0	6.0	5.0	55.0	465.0	5.0	4.0	808.0	989.0	677045.0	838971.0	0.0	0.0	0.0	0.0
GCF_002151265.1__GCF_900108215.1	1066.0	853.0	9.0	7.0	173.0	47.0	0.0	0.0	429.0	382.0	615264.0	600103.0	2.0	1.0	198.0	40.0
GCA_018063715.1__GCF_003478795.1	977.0	696.0	2.0	0.0	143.0	13.0	0.0	0.0	536.0	158.0	1636840.0	35286.0	0.0	0.0	0.0	0.0
GCF_003480955.1__GCF_003481065.1	886.0	892.0	20.0	19.0	69.0	56.0	2.0	3.0	279.0	351.0	656527.0	697584.0	2.0	0.0	470.0	0.0
GCA_018054245.1__GCA_902387235.1	1168.0	805.0	11.0	2.0	202.0	15.0	0.0	4.0	511.0	216.0	1566347.0	67534.0	0.0	0.0	0.0	0.0
GCF_003203815.1__GCF_009362875.1	2925.0	2628.0	2.0	2.0	262.0	174.0	0.0	0.0	734.0	1159.0	611816.0	447304.0	0.0	1.0	0.0	47.0
GCF_015698085.1__GCF_018967085.1	2469.0	3033.0	1.0	2.0	197.0	167.0	2.0	1.0	680.0	1377.0	498679.0	582204.0	2.0	0.0	677.0	0.0
GCF_000015385.1__GCF_003203895.1	1404.0	2244.0	24.0	4.0	0.0	259.0	31.0	2.0	449.0	635.0	250293.0	464231.0	1.0	0.0	51.0	0.0
GCA_018896145.1__GCA_018900785.1	304.0	91.0	0.0	0.0	113.0	7.0	0.0	0.0	67.0	23.0	72575.0	11705.0	2.0	3.0	90.0	250.0
GCA_018895735.1__GCA_018897705.1	100.0	121.0	0.0	0.0	25.0	28.0	0.0	0.0	21.0	57.0	39935.0	57387.0	1.0	3.0	52.0	160.0
GCA_018896145.1__GCA_018896555.1	220.0	91.0	0.0	1.0	80.0	14.0	0.0	0.0	41.0	37.0	50658.0	40308.0	2.0	0.0	135.0	0.0
GCA_004553245.1__GCA_900752965.1	1214.0	1300.0	8.0	10.0	94.0	136.0	1.0	0.0	609.0	478.0	827275.0	530956.0	1.0	5.0	66.0	367.0
GCA_004553245.1__GCA_905211025.1	1249.0	1210.0	5.0	3.0	110.0	90.0	0.0	0.0	602.0	469.0	918948.0	430982.0	2.0	5.0	154.0	396.0
GCA_900752965.1__GCA_905211025.1	426.0	316.0	0.0	0.0	90.0	25.0	0.0	0.0	110.0	134.0	269296.0	91321.0	3.0	1.0	284.0	44.0
GCA_007859155.1__GCF_001618265.1	505.0	884.0	1.0	1.0	62.0	132.0	0.0	0.0	205.0	288.0	109233.0	145894.0	0.0	0.0	0.0	0.0
GCF_000394035.1__GCF_001886115.1	169.0	363.0	0.0	3.0	3.0	71.0	0.0	0.0	36.0	141.0	15199.0	76225.0	2.0	7.0	125.0	644.0
GCA_002282115.1__GCA_018819845.1	722.0	798.0	6.0	6.0	49.0	109.0	0.0	0.0	322.0	267.0	286321.0	374105.0	1.0	2.0	51.0	107.0
GCA_016783025.1__GCA_016785045.1	460.0	586.0	0.0	0.0	24.0	61.0	0.0	0.0	226.0	374.0	976794.0	1294147.0	0.0	0.0	0.0	0.0
GCA_002450435.1__GCA_002500965.1	514.0	459.0	0.0	1.0	59.0	28.0	0.0	0.0	259.0	250.0	127552.0	168177.0	0.0	0.0	0.0	0.0
GCA_001508735.1__GCF_000175295.2	1042.0	771.0	7.0	21.0	153.0	0.0	2.0	25.0	494.0	233.0	539344.0	297204.0	0.0	0.0	0.0	0.0
GCA_900768985.1__GCA_905212115.1	219.0	236.0	0.0	0.0	32.0	44.0	0.0	0.0	107.0	109.0	225778.0	243471.0	0.0	0.0	0.0	0.0
GCA_001788055.1__GCA_001789895.1	256.0	326.0	0.0	0.0	26.0	54.0	0.0	0.0	136.0	175.0	67065.0	229207.0	0.0	0.0	0.0	0.0
GCA_001788055.1__GCA_001789405.1	175.0	176.0	0.0	1.0	32.0	24.0	0.0	0.0	91.0	93.0	55420.0	134302.0	0.0	0.0	0.0	0.0
GCA_001787885.1__GCA_001789895.1	191.0	258.0	0.0	0.0	18.0	49.0	0.0	0.0	109.0	148.0	80021.0	171433.0	0.0	2.0	0.0	100.0
GCA_903898075.1__GCA_903914015.1	511.0	285.0	0.0	0.0	152.0	78.0	0.0	0.0	273.0	113.0	149838.0	36319.0	0.0	0.0	0.0	0.0
GCF_014696495.1__GCF_014696555.1	9564.0	9595.0	71.0	59.0	741.0	802.0	20.0	13.0	3447.0	3586.0	2226786.0	2450794.0	12.0	9.0	2445.0	1333.0
GCF_014696495.1__GCF_014696565.1	173.0	155.0	3.0	1.0	26.0	14.0	0.0	0.0	32.0	58.0	25878.0	32488.0	1.0	13.0	204.0	3101.0
GCF_014696555.1__GCF_014696565.1	9563.0	9521.0	58.0	65.0	814.0	741.0	13.0	21.0	3571.0	3449.0	2455254.0	2215921.0	10.0	12.0	1459.0	4123.0
GCF_004800995.1__GCF_004801005.1	39.0	44.0	0.0	0.0	1.0	2.0	0.0	0.0	16.0	19.0	2294.0	2178.0	0.0	1.0	0.0	34.0
GCF_000183825.1__GCF_009933595.1	312.0	292.0	12.0	17.0	17.0	0.0	0.0	0.0	121.0	93.0	163864.0	139923.0	4.0	0.0	1098.0	0.0
GCA_018678535.1__GCA_018679365.1	570.0	378.0	0.0	0.0	227.0	126.0	0.0	0.0	194.0	126.0	220166.0	131753.0	0.0	0.0	0.0	0.0
GCA_013041895.1__GCA_018679365.1	355.0	279.0	0.0	0.0	108.0	83.0	0.0	0.0	149.0	100.0	286352.0	141697.0	0.0	0.0	0.0	0.0
GCA_018678765.1__GCA_018679365.1	302.0	384.0	0.0	0.0	106.0	133.0	0.0	0.0	88.0	116.0	70545.0	144784.0	0.0	0.0	0.0	0.0
GCA_017518495.1__GCA_902803045.1	981.0	1384.0	2.0	4.0	173.0	292.0	4.0	3.0	301.0	748.0	116617.0	600355.0	2.0	1.0	123.0	35.0
GCA_017392285.1__GCA_017413565.1	1056.0	850.0	0.0	0.0	268.0	159.0	1.0	1.0	473.0	314.0	317710.0	168754.0	4.0	1.0	218.0	51.0
GCA_017413565.1__GCA_017518495.1	1336.0	1262.0	1.0	0.0	220.0	221.0	1.0	1.0	582.0	451.0	399672.0	217185.0	1.0	2.0	106.0	143.0
GCA_014872635.1__GCA_018370735.1	576.0	368.0	1.0	2.0	182.0	46.0	1.0	2.0	236.0	201.0	455362.0	170078.0	0.0	0.0	0.0	0.0
GCA_014872635.1__GCA_905212425.1	477.0	254.0	2.0	1.0	171.0	39.0	0.0	0.0	189.0	157.0	234485.0	143774.0	0.0	0.0	0.0	0.0
GCA_018370735.1__GCA_905212425.1	353.0	351.0	3.0	4.0	48.0	51.0	3.0	3.0	171.0	180.0	167964.0	344931.0	0.0	0.0	0.0	0.0
GCA_003516265.1__GCA_013373735.1	1736.0	1172.0	1.0	0.0	363.0	132.0	0.0	0.0	503.0	488.0	1244229.0	105960.0	0.0	0.0	0.0	0.0
GCA_013373705.1__GCF_018972145.1	218.0	58.0	0.0	2.0	72.0	0.0	0.0	0.0	63.0	28.0	59145.0	486723.0	0.0	0.0	0.0	0.0
GCA_003516265.1__GCA_013373705.1	1748.0	1024.0	1.0	0.0	394.0	49.0	0.0	0.0	444.0	473.0	1264614.0	58740.0	0.0	0.0	0.0	0.0
GCA_012964395.1__GCA_015663735.1	364.0	404.0	1.0	2.0	112.0	104.0	11.0	12.0	173.0	201.0	101588.0	240863.0	1.0	0.0	72.0	0.0
GCA_012964395.1__GCA_015664595.1	360.0	299.0	0.0	0.0	119.0	65.0	7.0	7.0	165.0	161.0	108617.0	164030.0	1.0	0.0	72.0	0.0
GCA_015663735.1__GCA_015664595.1	305.0	199.0	0.0	0.0	101.0	56.0	3.0	3.0	136.0	98.0	206939.0	94149.0	0.0	0.0	0.0	0.0
GCF_001974575.1__GCF_002875905.1	706.0	383.0	9.0	9.0	109.0	33.0	0.0	0.0	345.0	150.0	267886.0	170785.0	0.0	0.0	0.0	0.0
GCF_002875885.1__GCF_002875905.1	359.0	361.0	2.0	2.0	28.0	28.0	0.0	0.0	139.0	151.0	266341.0	143439.0	2.0	0.0	14.0	0.0
GCF_002875555.1__GCF_002876915.1	355.0	662.0	6.0	4.0	32.0	89.0	0.0	0.0	124.0	347.0	33435.0	91602.0	1.0	1.0	7.0	7.0
GCA_903950175.1__GCA_903953075.1	1504.0	737.0	2.0	2.0	565.0	214.0	0.0	1.0	826.0	372.0	1001696.0	131832.0	0.0	0.0	0.0	0.0
GCA_903950175.1__GCA_903951805.1	1595.0	474.0	2.0	1.0	623.0	99.0	0.0	0.0	850.0	222.0	1153823.0	71311.0	0.0	0.0	0.0	0.0
GCA_903949315.1__GCA_903951805.1	711.0	579.0	0.0	1.0	221.0	161.0	0.0	0.0	322.0	240.0	228041.0	116379.0	2.0	0.0	360.0	0.0
GCF_016837165.1__GCF_016837225.1	585.0	573.0	1.0	1.0	60.0	56.0	1.0	2.0	207.0	188.0	182575.0	212863.0	4.0	2.0	255.0	21.0
GCF_016837205.1__GCF_016837235.1	577.0	592.0	2.0	2.0	59.0	53.0	2.0	2.0	206.0	190.0	180409.0	216334.0	2.0	4.0	18.0	71.0
GCF_016837225.1__GCF_016837255.1	529.0	510.0	2.0	2.0	55.0	48.0	1.0	1.0	160.0	204.0	104363.0	262001.0	5.0	3.0	1455.0	451.0
GCA_018652825.1__GCA_018674535.1	309.0	217.0	0.0	0.0	87.0	52.0	0.0	0.0	148.0	95.0	217613.0	95527.0	0.0	0.0	0.0	0.0
GCA_018646725.1__GCA_018659035.1	229.0	357.0	0.0	0.0	63.0	102.0	0.0	0.0	105.0	191.0	116487.0	263570.0	0.0	0.0	0.0	0.0
GCA_018652825.1__GCA_018666015.1	222.0	353.0	0.0	0.0	71.0	112.0	0.0	0.0	84.0	171.0	100820.0	203157.0	0.0	0.0	0.0	0.0
GCA_900538285.1__GCA_905202535.1	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7822.0	0.0	0.0	0.0	0.0
GCF_009862415.1__GCF_900090075.1	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3845.0	3845.0	0.0	0.0	0.0	0.0
GCF_000010605.1__GCF_009862415.1	607.0	704.0	14.0	13.0	0.0	62.0	11.0	4.0	229.0	250.0	656719.0	617331.0	5.0	3.0	174.0	333.0
GCF_000010605.1__GCF_000717795.1	841.0	1234.0	22.0	18.0	0.0	151.0	11.0	1.0	290.0	424.0	607094.0	877745.0	5.0	7.0	190.0	653.0
GCA_017412285.1__GCA_017964845.1	1057.0	1075.0	8.0	8.0	183.0	233.0	0.0	0.0	480.0	510.0	606422.0	417464.0	0.0	0.0	0.0	0.0
GCA_017412285.1__GCA_017535565.1	1030.0	794.0	7.0	7.0	209.0	83.0	0.0	0.0	399.0	386.0	668300.0	316882.0	1.0	0.0	53.0	0.0
GCA_017563205.1__GCA_017964845.1	743.0	1011.0	8.0	8.0	56.0	255.0	6.0	2.0	411.0	400.0	544127.0	465785.0	1.0	0.0	102.0	0.0
GCA_016756895.1__GCA_016756955.1	1437.0	1325.0	5.0	4.0	188.0	159.0	2.0	2.0	505.0	539.0	327933.0	373784.0	1.0	3.0	90.0	767.0
GCA_903871835.1__GCA_903873465.1	488.0	413.0	0.0	0.0	81.0	48.0	0.0	0.0	265.0	238.0	202307.0	80193.0	1.0	1.0	86.0	171.0
GCA_001782635.1__GCA_001783815.1	80.0	78.0	1.0	1.0	12.0	9.0	0.0	0.0	34.0	29.0	35581.0	19075.0	2.0	0.0	76.0	0.0
GCA_001782345.1__GCA_001782715.1	31.0	53.0	1.0	0.0	5.0	14.0	0.0	0.0	10.0	23.0	2551.0	31008.0	1.0	2.0	14.0	72.0
GCA_001783815.1__GCA_001784035.1	35.0	34.0	0.0	0.0	6.0	6.0	0.0	0.0	14.0	14.0	4932.0	3030.0	2.0	2.0	1511.0	45.0
GCA_018820225.1__GCA_018820785.1	477.0	396.0	0.0	0.0	49.0	36.0	1.0	1.0	276.0	200.0	120780.0	126839.0	1.0	0.0	105.0	0.0
GCF_001044155.1__GCF_900447205.1	112.0	79.0	1.0	9.0	33.0	0.0	1.0	5.0	21.0	2.0	45050.0	1409.0	0.0	0.0	0.0	0.0
GCA_002304695.1__GCA_002425115.1	318.0	242.0	0.0	0.0	54.0	11.0	0.0	0.0	75.0	119.0	104954.0	35324.0	0.0	0.0	0.0	0.0
GCA_002425115.1__GCA_002433925.1	94.0	90.0	0.0	0.0	13.0	9.0	0.0	0.0	31.0	26.0	12688.0	7124.0	0.0	1.0	0.0	93.0
GCA_002344735.1__GCA_002433925.1	112.0	102.0	0.0	0.0	10.0	7.0	0.0	0.0	38.0	33.0	73941.0	7969.0	0.0	1.0	0.0	93.0
GCA_002337535.1__GCA_002379435.1	1479.0	1573.0	6.0	4.0	85.0	131.0	0.0	0.0	483.0	702.0	258492.0	294688.0	0.0	3.0	0.0	370.0
GCA_002337535.1__GCA_002384965.1	994.0	912.0	1.0	1.0	80.0	28.0	0.0	0.0	226.0	422.0	204265.0	313483.0	0.0	0.0	0.0	0.0
GCA_002379435.1__GCA_002384965.1	1048.0	856.0	9.0	7.0	134.0	33.0	0.0	0.0	413.0	379.0	182857.0	335023.0	4.0	0.0	377.0	0.0
GCF_000526615.1__GCF_003722135.1	626.0	495.0	1.0	0.0	109.0	45.0	0.0	2.0	282.0	205.0	569419.0	501340.0	1.0	0.0	27.0	0.0
GCF_003633525.1__GCF_900115335.1	476.0	706.0	9.0	1.0	17.0	135.0	9.0	2.0	205.0	270.0	428713.0	714363.0	0.0	1.0	0.0	174.0
GCF_013414285.1__GCF_900115335.1	554.0	854.0	8.0	2.0	16.0	131.0	6.0	1.0	206.0	378.0	372114.0	855947.0	3.0	3.0	346.0	81.0
GCA_003701925.1__GCF_002939285.1	1713.0	1213.0	7.0	12.0	400.0	96.0	1.0	1.0	771.0	471.0	683669.0	511689.0	0.0	1.0	0.0	39.0
GCA_002905835.1__GCF_000452525.3	1104.0	910.0	45.0	33.0	76.0	0.0	1.0	10.0	322.0	305.0	561714.0	630013.0	11.0	4.0	1543.0	721.0
GCF_001400655.1__GCF_003412715.1	1726.0	1087.0	1.0	3.0	549.0	133.0	0.0	0.0	563.0	648.0	448814.0	694111.0	0.0	0.0	0.0	0.0
GCF_002269425.1__GCF_013387095.1	1629.0	1683.0	36.0	84.0	0.0	109.0	41.0	4.0	754.0	727.0	937320.0	695128.0	0.0	1.0	0.0	240.0
GCF_013386305.1__GCF_013387025.1	846.0	684.0	0.0	2.0	110.0	47.0	0.0	0.0	346.0	299.0	260845.0	583568.0	0.0	0.0	0.0	0.0
GCF_013386305.1__GCF_013387095.1	748.0	605.0	1.0	0.0	98.0	30.0	0.0	0.0	284.0	287.0	319607.0	410137.0	0.0	1.0	0.0	6.0
GCF_002739945.1__GCF_013184205.1	1455.0	1401.0	10.0	10.0	118.0	55.0	8.0	11.0	639.0	602.0	488943.0	470949.0	0.0	0.0	0.0	0.0
GCF_003244795.1__GCF_017581785.1	1398.0	1320.0	7.0	12.0	120.0	52.0	5.0	5.0	613.0	528.0	613208.0	423049.0	5.0	1.0	1323.0	203.0
GCF_000346445.1__GCF_014581725.1	828.0	637.0	9.0	12.0	126.0	21.0	4.0	4.0	348.0	257.0	265704.0	362875.0	1.0	0.0	82.0	0.0
GCA_002378165.1__GCA_002453105.1	659.0	1081.0	0.0	0.0	54.0	292.0	0.0	0.0	282.0	313.0	243371.0	365282.0	0.0	0.0	0.0	0.0
GCA_003447935.1__GCA_017643205.1	1793.0	1254.0	2.0	0.0	314.0	13.0	0.0	0.0	670.0	759.0	648530.0	395532.0	0.0	0.0	0.0	0.0
GCA_002700265.1__GCA_017643205.1	261.0	275.0	1.0	3.0	16.0	27.0	0.0	0.0	121.0	120.0	285363.0	427836.0	0.0	0.0	0.0	0.0
GCA_003577345.1__GCA_013360835.1	1314.0	1153.0	1.0	0.0	289.0	153.0	1.0	1.0	398.0	552.0	200813.0	295499.0	1.0	4.0	24.0	397.0
GCA_003577345.1__GCA_019187555.1	2035.0	1630.0	4.0	2.0	363.0	60.0	1.0	7.0	786.0	754.0	697528.0	360393.0	2.0	1.0	121.0	74.0
GCA_013360835.1__GCA_019187555.1	1808.0	1551.0	6.0	9.0	211.0	56.0	2.0	6.0	754.0	553.0	801001.0	221977.0	6.0	3.0	740.0	217.0
GCA_001822295.1__GCA_001822375.1	95.0	76.0	0.0	0.0	22.0	16.0	0.0	0.0	48.0	35.0	78935.0	29429.0	0.0	0.0	0.0	0.0
GCA_001822295.1__GCA_001822455.1	174.0	169.0	2.0	3.0	23.0	24.0	0.0	0.0	75.0	86.0	99024.0	64501.0	0.0	0.0	0.0	0.0
GCA_001822375.1__GCA_001822455.1	156.0	173.0	0.0	0.0	25.0	30.0	0.0	0.0	67.0	92.0	49530.0	71544.0	0.0	0.0	0.0	0.0
GCA_900757365.1__GCA_905205845.1	764.0	513.0	0.0	0.0	161.0	43.0	1.0	1.0	298.0	235.0	539713.0	382902.0	0.0	0.0	0.0	0.0
GCA_000340945.1__GCA_001552695.1	3596.0	3428.0	14.0	13.0	371.0	240.0	2.0	2.0	1645.0	1673.0	1537864.0	1693952.0	0.0	1.0	0.0	199.0
GCA_000340945.1__GCF_008638355.1	3796.0	3507.0	23.0	25.0	426.0	143.0	4.0	4.0	1609.0	1686.0	1521655.0	1641251.0	0.0	2.0	0.0	273.0
GCA_001552695.1__GCF_008638355.1	2830.0	2740.0	29.0	25.0	269.0	140.0	0.0	0.0	1237.0	1211.0	1377489.0	1309159.0	2.0	0.0	624.0	0.0
GCA_003140725.1__GCA_003153175.1	1909.0	2062.0	2.0	4.0	365.0	430.0	1.0	1.0	916.0	969.0	565953.0	961418.0	2.0	0.0	534.0	0.0
GCA_002170155.1__GCA_902538015.1	22.0	90.0	0.0	0.0	2.0	34.0	2.0	2.0	10.0	48.0	100542.0	299225.0	0.0	0.0	0.0	0.0
GCA_002170155.1__GCA_902615335.1	20.0	74.0	0.0	0.0	4.0	30.0	0.0	0.0	10.0	41.0	192828.0	216232.0	0.0	0.0	0.0	0.0
GCA_902538015.1__GCA_902615335.1	98.0	80.0	1.0	1.0	27.0	15.0	4.0	4.0	54.0	42.0	357807.0	204521.0	1.0	0.0	60.0	0.0
GCF_014269235.1__GCF_900177505.1	1635.0	1564.0	19.0	21.0	90.0	67.0	7.0	4.0	625.0	646.0	651011.0	712145.0	3.0	1.0	416.0	210.0
GCF_014269205.2__GCF_014269235.1	181.0	359.0	3.0	2.0	10.0	62.0	0.0	0.0	86.0	81.0	75133.0	61154.0	1.0	3.0	75.0	472.0
GCF_002736045.1__GCF_014269205.2	1716.0	1788.0	149.0	106.0	0.0	24.0	22.0	16.0	490.0	829.0	761085.0	804504.0	0.0	7.0	0.0	2173.0
GCA_903831435.1__GCA_903929145.1	175.0	198.0	0.0	0.0	15.0	26.0	0.0	0.0	97.0	112.0	46044.0	35778.0	0.0	0.0	0.0	0.0
GCF_003346865.1__GCF_004745775.1	21.0	141.0	0.0	0.0	0.0	56.0	0.0	0.0	5.0	49.0	122.0	11862.0	0.0	0.0	0.0	0.0
GCF_003206515.1__GCF_009687825.1	510.0	507.0	16.0	19.0	13.0	25.0	15.0	2.0	221.0	207.0	819377.0	444031.0	0.0	0.0	0.0	0.0
GCF_003206515.1__GCF_014647995.1	290.0	476.0	5.0	1.0	2.0	56.0	7.0	2.0	127.0	168.0	493032.0	299809.0	4.0	3.0	43.0	20.0
