pairid	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	band	phylum	skani_ani	anim_ani	discordance
GCA_004562915.1__GCA_004556655.1	SFQZ01000187.1	SFGF01000005.1	95.7379	96.7392	0.5056	0.5326	0.08536	94.5741	105	0.9765	31	1.014	0.7834	95.8782	97.4944	0.4302	1.29	AlfI:97.04,AloI:96.72,BcgI:96.61,FalI:96.66	1596	105	2079	69	13.285714285714286	ok	95.7379	gamma	96.0897	90-95	Firmicutes_A	94.69	95.0	-2.6500000000000057
GCF_009727955.1__GCF_016464335.1	NZ_WOBR01000001.1	NZ_JADCNP010000100.1	95.4116	96.2425	0.7749	0.7717	0.07264	95.1653	76	0.9741	59	1.476	0.7473	95.4814	97.0652	0.7872	7.6	AlfI:96.34,AloI:95.87,BcgI:95.79,FalI:96.58	2445	76	3352	104	30.25	ok	95.4116	gamma	95.651	90-95	Proteobacteria	94.93	95.08	-2.3299999999999983
GCF_016127315.1__GCF_902859645.1	NZ_CP065997.1	NZ_CADIJR010000001.1	96.7116	97.1405	0.8411	0.8704	0.03187	96.0607	210	0.9767	209	1.781	0.8092	96.5727	97.5699	0.3248	1.69	AlfI:97.10,AloI:97.05,BcgI:97.15,FalI:97.38	9385	210	11719	393	42.766666666666666	ok	96.7116	gamma	96.6541	95-100	Proteobacteria	95.48	95.28	-2.3900000000000006
GCA_004558865.1__GCA_900770845.1	SFCY01000029.1	CAAGLS010000001.1	96.649	96.7966	0.6331	0.5151	0.06913	95.0858	190	0.9718	55	5.089	0.7855	96.5854	96.9816	0.3731	0.95	AlfI:96.62,AloI:96.99,BcgI:96.84,FalI:96.86	2496	190	2813	47	10.963157894736842	ok	96.649	gamma	96.7552	90-95	Bacteroidota	94.91	95.08	-2.1000000000000085
GCF_000159695.1__GCA_018371055.1	NZ_CM000955.1	JAGYZD010000123.1	97.2228	97.7444	0.2437	0.2369	0.13924	94.399	59	0.8582	58	0.892	0.8573	97.2074	98.0576	1.5184	2.44	AlfI:96.48,AloI:97.81,BcgI:97.58,FalI:98.00	873	59	500	18	6.9491525423728815	INCONSISTENT	97.2228	gamma	97.6056	90-95	Firmicutes_A	94.88	95.18	9.360000000000014
GCF_009717815.1__GCF_001073155.1	NZ_WMZH01000010.1	NZ_JVEE01000003.1	95.3256	96.0517	0.7908	0.789	0.09509	95.1211	48	0.971	41	1.781	0.7348	95.3773	96.7981	0.5247	1.12	AlfI:96.31,AloI:96.05,BcgI:95.79,FalI:96.12	1495	48	2085	143	29.625	ok	95.3256	gamma	95.5971	90-95	Firmicutes	94.61	95.05	-2.049999999999997
GCA_902571005.1__GCA_902519835.1	CACGAG010000001.1	CABYLU010000001.1	96.1523	96.7588	0.58	0.6591	0.15575	95.1148	33	0.9531	20	1.565	0.7885	96.0581	97.3514	0.5716	0.52	AlfI:96.33,AloI:96.40,BcgI:96.90,FalI:96.84	505	33	619	30	13.303030303030305	ok	96.1523	gamma	96.4484	90-95	Proteobacteria	94.8	95.22	-0.0899999999999892
GCF_004793765.1__GCF_000012845.1	NZ_SRYM01000100.1	NC_009615.1	94.8269	95.9953	0.6246	0.6139	0.07693	94.1094	112	0.9784	44	1.26	0.7266	95.0444	97.1106	0.5905	2.57	AlfI:95.75,AloI:96.34,BcgI:95.81,FalI:96.14	2340	112	3301	79	18.8125	ok	94.8269	gamma	95.22	90-95	Bacteroidota	94.33	95.18	-2.6599999999999966
GCA_902594815.1__GCA_902589095.1	CACJNL010000001.1	CACIRR010000001.1	96.2246	96.2246	0.3605	0.3665	0.22121	93.3159	26	0.9517	10	inf	0.7503	96.369	96.1294	1.7358	1.54	AlfI:95.52,AloI:97.25,BcgI:96.09,FalI:96.24	308	26	343	20	8.576923076923077	ok	96.2246	uniform	96.8868	90-95	Proteobacteria	93.85	95.03	-0.14000000000000057
GCF_011927845.1__GCF_014647335.1	NZ_JAATLI010000001.1	NZ_BMOZ01000001.1	94.8877	96.4219	0.6391	0.7387	0.07184	94.8133	75	0.9776	50	0.866	0.7585	95.2562	97.5826	0.4575	1.19	AlfI:96.18,AloI:96.64,BcgI:96.45,FalI:96.36	2402	75	3396	223	30.14666666666667	ok	94.8877	gamma	95.4278	90-95	Bacteroidota	94.77	95.58	-2.180000000000007
GCA_015057705.1__GCA_015057715.1	SVDU01000006.1	SVDS01000280.1	96.0575	96.3898	0.6358	0.533	0.07536	94.6375	153	0.9417	120	3.074	0.7584	95.9658	96.8128	0.7183	2.87	AlfI:96.46,AloI:96.69,BcgI:95.97,FalI:96.46	2415	153	2894	49	13.673202614379084	ok	96.0575	gamma	96.1452	90-95	Firmicutes_A	94.63	95.21	1.039999999999992
GCF_001956215.1__GCF_001038755.1	NZ_MRTQ01000010.1	NZ_LDWQ01000001.1	95.8161	96.324	0.7549	0.7762	0.0605	95.3482	121	0.9764	75	2.239	0.7532	95.721	96.9278	0.5091	3.12	AlfI:96.59,AloI:96.30,BcgI:96.08,FalI:96.37	4712	121	4621	182	26.694214876033055	ok	95.8161	gamma	95.8638	90-95	Firmicutes	94.34	95.33	-2.3100000000000023
GCA_007095785.1__GCF_014698335.1	SFBL01000001.1	NZ_JACJSV010000001.1	94.544	96.0317	0.4384	0.4525	0.09515	93.4258	128	0.9645	34	1.075	0.7273	94.8967	97.3209	1.3318	13.56	AlfI:95.21,AloI:95.50,BcgI:96.55,FalI:95.25	2483	128	2124	25	8.2109375	INCONSISTENT	94.544	gamma	95.1138	90-95	Cyanobacteria	94.53	95.59	-0.8599999999999994
GCA_902599405.1__GCA_902555695.1	CACKFO010000001.1	CACDTV010000001.1	96.8034	97.3007	0.5007	0.5839	0.16396	95.3177	27	0.9652	11	1.392	0.8275	96.6423	97.7506	0.3935	0.28	AlfI:97.22,AloI:97.22,BcgI:97.02,FalI:97.42	400	27	451	32	12.296296296296296	ok	96.8034	gamma	97.0841	90-95	Proteobacteria	94.77	95.35	-1.1700000000000017
GCF_900290235.1__GCF_001418475.1	NZ_OLMK01000189.1	NZ_LIQX01000001.1	97.3582	97.518	0.5766	0.6225	0.03025	95.9711	622	0.9391	527	3.258	0.837	97.2639	97.6793	0.8042	15.91	AlfI:97.31,AloI:97.36,BcgI:97.55,FalI:98.11	9965	622	10741	84	14.054662379421222	ok	97.3582	gamma	97.3455	95-100	Actinobacteriota	95.44	95.4	1.4899999999999949
GCA_902633125.1__GCA_902517745.1	CACPEZ010000001.1	CABYDS010000001.1	95.986	96.682	0.6435	0.5242	0.1886	94.7648	23	0.9696	9	1.297	0.7826	96.1209	97.1903	0.8194	0.94	AlfI:96.13,AloI:96.38,BcgI:96.42,FalI:96.95	344	23	433	46	13.478260869565217	ok	95.986	gamma	96.5886	90-95	Proteobacteria	94.76	95.33	-1.6300000000000097
GCF_000426925.1__GCF_005402965.1	NZ_KE384663.1	NZ_BJCF01000001.1	95.4267	96.5743	0.412	0.3871	0.12494	93.8536	71	0.9506	31	1.014	0.7736	95.5549	97.5046	0.6647	0.98	AlfI:96.27,AloI:96.94,BcgI:96.74,FalI:96.41	1376	71	1059	33	9.394366197183098	INCONSISTENT	95.4267	gamma	95.8612	90-95	Cyanobacteria	94.79	95.12	0.060000000000002274
GCA_003213155.1__GCA_003281045.1	QCNQ01000001.1	QCDD01000001.1	96.553	96.9578	0.4449	0.5147	0.20359	94.6245	27	0.9614	9	1.781	0.8038	96.5672	97.267	1.4576	2.2	AlfI:96.54,AloI:96.74,BcgI:95.89,FalI:97.35	292	27	330	34	9.296296296296296	ok	96.553	gamma	97.0888	90-95	Proteobacteria	94.27	95.31	-0.8299999999999983
GCF_013300825.1__GCF_000484655.1	NZ_JAAIMY010000096.1	NZ_AXVN01000001.1	96.2762	97.2907	0.561	0.4595	0.0747	95.1204	98	0.9661	53	0.783	0.8238	96.3054	97.9901	0.2576	0.46	AlfI:97.43,AloI:97.17,BcgI:97.27,FalI:97.25	1979	98	2201	79	16.408163265306122	ok	96.2762	gamma	96.5051	90-95	Firmicutes_A	94.62	95.3	-1.3100000000000023
GCA_902563555.1__GCA_902541315.1	CACEXM010000001.1	CACBQF010000001.1	95.534	96.3669	0.6125	0.5495	0.21474	94.3795	21	0.9667	8	1.392	0.7613	95.5843	97.1065	1.1645	0.84	AlfI:95.71,AloI:95.93,BcgI:96.88,FalI:96.45	289	21	381	41	12.047619047619047	ok	95.534	gamma	96.1036	90-95	Proteobacteria	94.55	95.02	-1.6500000000000057
GCF_900114065.1__GCA_003488145.1	NZ_FORS01000031.1	DNMQ01000251.1	97.8615	98.1422	0.5836	0.7401	0.03146	96.9337	433	0.932	414	1.26	0.8824	97.6996	98.3532	0.2213	0.67	AlfI:98.17,AloI:98.03,BcgI:98.12,FalI:98.26	6315	433	7145	70	14.108545034642033	ok	97.8615	gamma	97.7951	95-100	Proteobacteria	96.77	96.59	3.3900000000000006
GCF_015206885.1__GCF_000297435.1	NZ_JADEXY010000274.1	NZ_CAIP01000449.1	95.4411	96.2778	0.3582	0.3444	0.0974	93.3829	122	0.9582	34	1.52	0.7458	95.4904	97.0788	1.7951	10.16	AlfI:95.77,AloI:94.90,BcgI:96.70,FalI:95.76	2535	122	1795	17	7.39344262295082	INCONSISTENT	95.4411	gamma	95.7177	90-95	Cyanobacteria	94.51	95.28	-0.5400000000000063
GCF_014698335.1__GCF_008974145.1	NZ_JACJSV010000001.1	NZ_BJKP01000001.1	95.0886	96.1488	0.4095	0.4656	0.09644	93.6089	133	0.9453	58	1.336	0.7363	95.2252	97.1416	1.4021	12.87	AlfI:95.63,AloI:95.26,BcgI:96.66,FalI:95.39	2357	133	1945	26	8.541353383458647	INCONSISTENT	95.0886	gamma	95.4478	90-95	Cyanobacteria	94.59	95.33	0.7999999999999972
GCA_902597895.1__GCA_902521005.1	CACJZM010000001.1	CABYPZ010000001.1	95.756	96.2601	0.6499	0.6436	0.20616	94.665	22	0.9714	8	2.239	0.7542	95.6662	96.8757	1.4265	1.79	AlfI:95.54,AloI:95.98,BcgI:95.15,FalI:96.57	320	22	425	41	13.363636363636363	ok	95.756	gamma	96.1582	90-95	Proteobacteria	94.55	95.36	-1.7800000000000011
GCF_014698335.1__GCA_001264245.1	NZ_JACJSV010000001.1	CP011339.1	96.5253	97.1419	0.3992	0.3546	0.07886	94.607	158	0.9432	75	1.297	0.8122	96.424	97.6592	0.6941	4.86	AlfI:96.80,AloI:97.02,BcgI:97.39,FalI:96.70	3361	158	1990	32	8.886075949367088	INCONSISTENT	96.5253	gamma	96.629	90-95	Cyanobacteria	94.99	95.97	1.6499999999999915
GCF_900120195.1__GCA_900066355.1	NZ_LT635537.1	FMEL01000037.1	94.9778	96.5319	0.7417	0.7191	0.07432	95.1238	46	0.9781	45	0.807	0.7677	95.3665	97.6582	0.3176	1.0	AlfI:96.61,AloI:96.67,BcgI:96.35,FalI:96.62	2158	46	3031	247	44.630434782608695	ok	94.9778	gamma	95.5456	90-95	Firmicutes_A	94.87	95.12	-2.6899999999999977
