query_asm	ref_asm
GCF_005047595.1	GCF_011777505.1
GCF_000023465.1	GCF_900112105.1
GCA_002715445.1	GCA_002170235.1
GCA_002440975.1	GCA_015709215.1
GCA_903907915.1	GCA_002479785.1
GCF_007197735.1	GCF_001439665.1
GCA_017464285.1	GCA_017446025.1
GCF_000943555.1	GCF_000943565.1
GCA_016868875.1	GCA_005799025.1
GCA_002381125.1	GCA_002305015.1
GCA_009926405.1	GCA_903856555.1
GCA_002389465.1	GCA_003648625.1
GCA_002366675.1	GCF_003148645.1
GCA_002171975.2	GCA_002696965.1
GCF_004115975.1	GCF_014062315.1
GCA_014376445.1	GCA_014378525.1
GCA_001770015.1	GCA_001769975.1
GCA_002715375.1	GCA_002474345.1
GCA_903871855.1	GCF_003570935.1
GCA_004116455.1	GCF_004116625.1
GCF_000277405.1	GCF_000259275.1
GCF_000024885.1	GCF_000265295.1
GCF_000259275.1	GCF_900461455.1
GCF_003544935.1	GCF_003544855.1
GCF_002272925.1	GCF_002272875.1
GCF_013177675.1	GCF_013201935.1
GCF_004006315.1	GCF_000021725.1
GCA_002869535.1	GCF_000092245.1
GCA_015488995.1	GCA_015485845.1
GCA_004116725.1	GCF_003346775.1
GCA_011065175.1	GCA_011064875.1
GCA_011065175.1	GCA_011065045.1
GCF_000012125.1	GCF_900169085.1
GCA_003577245.1	GCA_015075555.1
GCA_002719675.1	GCA_009392295.1
GCA_002898215.1	GCA_011048275.1
GCA_013112725.1	GCA_014584575.1
GCA_003130875.1	GCA_011362805.1
GCA_002412595.1	GCF_003966975.1
GCA_011191975.1	GCA_016932435.1
GCA_008373165.1	GCA_002725925.1
GCA_002718395.1	GCA_002710905.1
GCA_905614375.1	GCA_018649665.1
GCA_014874475.1	GCA_014360895.1
GCA_005880575.1	GCA_005883775.1
GCA_016875875.1	GCA_001795315.1
GCA_002712125.1	GCA_002708145.1
GCA_016930185.1	GCA_016926705.1
GCA_001567485.1	GCA_016716525.1
GCA_012728875.1	GCA_012522635.1
GCF_016807185.1	GCA_003249025.1
GCF_014697425.1	GCF_014697475.1
GCA_003212515.1	GCA_003279445.1
GCF_003007785.1	GCF_017312365.1
GCF_001637315.1	GCF_009846485.1
GCF_000317225.1	GCF_000317245.1
GCF_000025125.1	GCA_000737945.1
GCA_003216835.1	GCA_003279015.1
GCA_002168155.1	GCA_002470305.1
GCF_003846445.1	GCF_000010065.1
GCF_001548435.1	GCF_001485215.1
GCF_015840335.1	GCA_016882385.1
GCA_003215795.1	GCA_003212515.1
GCF_004323185.1	GCF_000317225.1
GCF_012912105.1	GCF_000828085.3
GCA_003277985.1	GCA_902564695.1
GCF_900009275.2	GCA_903893625.1
GCF_001597745.1	GCF_000316645.1
GCA_019116905.1	GCA_910586745.1
GCA_001603805.1	GCF_004087915.1
GCF_003426945.1	GCA_002355995.1
GCA_015488545.1	GCA_015490435.1
GCF_000091545.1	GCF_004307015.1
GCF_000794385.1	GCF_002964845.1
GCF_013389365.1	GCF_000745975.1
GCF_008330225.1	GCA_003151775.1
GCA_903869265.1	GCA_002841785.1
GCF_004917065.1	GCF_016458305.1
GCA_002747145.1	GCF_000373985.1
GCA_903869265.1	GCA_001799285.1
GCA_012728915.1	GCA_013177795.1
GCF_004917065.1	GCF_018986915.1
GCF_000175115.2	GCF_016458305.1
GCF_013389365.1	GCF_000373985.1
GCA_005774545.1	GCA_012026975.1
GCA_002419215.1	GCA_018053845.1
GCA_003574885.1	GCF_018476905.1
GCA_011046855.1	GCA_003712145.1
GCA_001797465.1	GCA_016182655.1
GCA_002869015.1	GCA_002869005.1
GCA_003105225.1	GCA_001798885.1
GCA_002067165.1	GCA_002067475.1
GCF_009914765.1	GCF_900129975.1
GCF_001936595.1	GCA_000307955.1
GCF_013376475.1	GCF_013376455.1
GCF_000020965.1	GCF_000021645.1
GCA_003135895.1	GCA_003162415.1
GCA_003132805.1	GCA_003131685.1
GCA_001799715.1	GCA_001799845.1
GCA_002311025.1	GCA_017417005.1
GCA_009773155.1	GCA_019135865.1
GCA_002402375.1	GCA_016218625.1
GCA_003151115.1	GCA_013036095.1
GCF_002797675.1	GCA_017959225.1
GCA_903861835.1	GCA_903915125.1
GCF_000739975.1	GCF_016027715.1
GCA_002493865.1	GCA_910584255.1
GCF_000380245.2	GCF_016908835.1
GCF_001274945.1	GCF_002813185.1
GCF_900168685.1	GCF_014836905.1
GCF_001570745.1	GCF_900156755.1
GCF_000238995.1	GCF_000200735.1
GCF_000407445.1	GCF_002141365.1
GCA_019119225.1	GCF_001696685.1
GCF_002804245.1	GCF_002804105.1
GCF_002441885.1	GCF_002260845.1
GCA_904501845.1	GCF_001183965.1
GCA_001641225.1	GCA_001641205.1
GCF_001730295.1	GCF_017377505.1
GCF_900120005.1	GCF_000327285.1
GCF_004005475.1	GCA_011524565.1
GCF_006740705.1	GCF_003336365.1
GCA_017612805.1	GCA_016282415.1
GCA_900554305.1	GCA_900554315.1
GCA_900754115.1	GCA_000433015.1
GCF_907165215.1	GCA_002159085.1
GCF_001886495.1	GCF_001886855.1
GCF_000017425.1	GCF_000742895.1
GCF_002290085.1	GCF_000701525.1
GCA_000517385.1	GCF_012163115.1
GCF_000014445.1	GCF_008107645.1
GCF_002813185.1	GCF_001955655.1
GCF_008764245.1	GCF_017355205.1
GCA_017633835.1	GCA_017394375.1
GCA_002383695.1	GCA_002383285.1
GCA_016297695.1	GCA_902795845.1
GCF_016722965.1	GCF_000714935.1
GCF_014202595.1	GCF_001696685.1
GCA_017941235.1	GCA_002477275.1
GCA_001695645.1	GCF_004365815.1
GCF_010882125.1	GCF_003073175.1
GCA_003481775.1	GCA_017161075.1
GCF_000744285.1	GCF_000745125.1
GCF_014635565.1	GCF_903994035.1
GCF_000518725.1	GCF_002843565.1
GCF_001553085.1	GCA_015257355.1
GCF_002266425.1	GCF_900128955.1
GCA_904397895.1	GCF_015140235.1
GCF_009696605.1	GCA_000751555.1
GCF_014333445.1	GCA_902363255.1
GCA_012838125.1	GCA_012521555.1
GCF_002161085.1	GCF_900626285.1
GCA_002376545.1	GCF_900095305.1
GCF_008281175.1	GCF_017566055.1
GCF_001655775.1	GCA_017889345.1
GCA_012730095.1	GCA_001512485.1
GCA_017397955.1	GCA_015064945.1
GCA_015064255.1	GCA_017532425.1
GCF_904420205.1	GCA_900542005.1
GCA_015055975.1	GCA_016287155.1
GCF_014323405.1	GCF_012317385.1
GCA_015065865.1	GCA_015065885.1
GCF_001006285.1	GCF_015668515.1
GCA_012728365.1	GCA_012735405.1
GCA_017547245.1	GCA_017847995.1
GCA_017510725.1	GCA_017432075.1
GCA_017397765.1	GCA_015056325.1
GCA_017461985.1	GCA_017500745.1
GCF_014323405.1	GCA_900604495.1
GCA_910579155.1	GCA_910577525.1
GCA_902772845.1	GCA_002310055.1
GCF_018917235.1	GCF_000498755.1
GCA_900604495.1	GCF_012317385.1
GCA_910583695.1	GCA_910584465.1
GCF_004345005.1	GCF_008281175.1
GCA_910584395.1	GCA_910579775.1
GCA_012735245.1	GCA_012728125.1
GCA_017428635.1	GCA_017518975.1
GCA_017394605.1	GCA_017556125.1
GCF_000189775.2	GCF_000145615.1
GCA_017613735.1	GCA_015066565.1
GCA_002308615.1	GCA_017443595.1
GCF_900176615.1	GCF_017100085.1
GCF_000312025.1	GCF_900454685.1
GCA_019120515.1	GCF_002161285.1
GCF_000243155.2	GCF_900143285.1
GCF_009877435.1	GCF_009877425.1
GCA_016841725.1	GCA_016841325.1
GCF_000430885.1	GCF_900113335.1
GCF_900129285.1	GCF_003627965.1
GCF_900129285.1	GCF_900142025.1
GCF_001950325.1	GCF_001950255.1
GCA_018436095.1	GCA_018434325.1
GCF_900106585.1	GCF_009696675.1
GCA_000436095.1	GCA_003150755.1
GCF_003269275.1	GCA_900544795.1
GCA_900544795.1	GCA_900545535.1
GCA_002337925.1	GCF_004339805.1
GCA_902364065.1	GCF_000155955.1
GCA_900544795.1	GCA_900551745.1
GCA_012521405.1	GCA_012523945.1
GCA_012800855.1	GCA_012510625.1
GCF_000183545.2	GCF_000184705.1
GCF_003053565.1	GCF_900156285.1
GCA_012727675.1	GCA_012510855.1
GCA_012518595.1	GCA_002398515.1
GCA_012837705.1	GCF_013664685.1
GCA_017578085.1	GCA_002159155.1
GCA_000007325.1	GCF_000163935.1
GCA_900542625.1	GCA_900545035.1
GCF_000024565.1	GCF_009733925.1
GCA_002428805.1	GCA_905216205.1
GCF_001891165.1	GCF_009733925.1
GCF_001559775.1	GCF_001891165.1
GCF_004006635.1	GCF_003019695.1
GCA_001919865.1	GCA_003222135.1
GCA_001919865.1	GCA_001917665.1
GCA_001917665.1	GCA_003220795.1
GCA_003220935.1	GCA_003222135.1
GCF_005576615.1	GCF_000337175.1
GCF_009831625.1	GCA_003020945.1
GCF_002844335.1	GCF_010119195.1
GCF_003697815.1	GCF_000196895.1
GCF_017874235.1	GCF_001307315.1
GCF_000376445.1	GCF_001625445.1
GCF_000970325.1	GCF_900774055.1
GCF_014647455.2	GCF_017874335.1
GCF_900107665.1	GCF_003342675.1
GCA_002508425.1	GCA_002067275.1
GCF_000230715.2	GCF_900104065.1
GCF_004944975.1	GCF_900880625.1
GCF_003856835.1	GCF_003336245.1
GCF_002844195.1	GCA_004116405.1
GCA_017094465.1	GCA_017094525.1
GCF_900110535.1	GCF_008124605.1
GCF_900110865.1	GCF_000337615.1
GCF_900115785.1	GCF_000337095.1
GCF_000337815.1	GCF_001469875.2
GCF_900112175.1	GCF_900115785.1
GCF_003856835.1	GCF_000427685.1
GCA_013152685.1	GCA_015521615.1
GCA_016703265.1	GCA_903912525.1
GCA_016867395.1	GCA_009691525.1
GCA_016867395.1	GCA_016187725.1
GCA_001771575.1	GCA_018822365.1
GCA_002707645.1	GCA_002705605.1
GCA_014381415.1	GCA_004124405.1
GCA_018658715.1	GCA_016784605.1
GCA_011370395.1	GCF_003264935.1
GCA_016217785.1	GCF_000302455.1
GCF_000006175.1	GCF_017875625.1
GCF_000739065.1	GCF_000023985.1
GCA_001788495.1	GCA_016179875.1
GCA_001465015.1	GCA_016793325.1
GCA_016930215.1	GCA_011367485.1
GCA_016926755.1	GCF_000737315.1
GCA_012798435.1	GCA_011368045.1
GCA_012797735.1	GCA_016930215.1
GCF_012933655.1	GCF_014656495.1
GCA_903857665.1	GCA_903847405.1
GCA_017881345.1	GCA_003818285.1
GCA_903874275.1	GCA_903855945.1
GCF_013116825.1	GCF_010894405.1
GCA_014879945.1	GCA_016879935.1
GCA_014240455.1	GCA_018698915.1
GCA_002731115.1	GCA_002689985.1
GCA_018302205.1	GCA_018302165.1
GCA_018830225.1	GCA_016929255.1
GCA_017610275.1	GCA_018819345.1
GCA_018302605.1	GCA_016203205.1
GCA_014382285.1	GCA_905612265.1
GCA_009840285.1	GCA_002238765.1
GCA_011523385.1	GCA_002238765.1
GCA_002083555.1	GCA_900299245.1
GCA_002328825.1	GCA_002726235.1
GCA_009692155.1	GCA_001805245.1
GCA_011051565.1	GCA_013152485.1
GCA_018812705.1	GCA_001805965.1
GCA_002421805.1	GCF_004102945.1
GCA_000503835.1	GCA_001773385.1
GCA_000998805.1	GCA_000998045.1
GCA_001872945.1	GCA_000993275.1
GCA_016214465.1	GCA_003514455.1
GCA_016432645.1	GCA_019248265.1
GCA_001001925.1	GCA_016212585.1
GCA_903945435.1	GCA_903857815.1
GCA_018656065.1	GCA_018656655.1
GCA_000996895.1	GCA_001773135.1
GCA_903855135.1	GCA_000991205.1
GCA_014238205.1	GCA_002722935.1
GCA_009691785.1	GCA_005787685.1
GCA_011525805.1	GCA_900696685.1
GCA_016188675.1	GCA_016235875.1
GCA_016794425.1	GCA_016794035.1
GCA_002683135.1	GCA_013213915.1
GCA_017347445.1	GCA_002009475.1
GCA_016793015.1	GCA_017303555.1
GCA_005798445.1	GCA_003669125.1
GCA_002724245.1	GCA_002709225.1
GCA_903857265.1	GCA_003170415.1
GCA_015709575.1	GCA_016710275.1
GCA_016872795.1	GCA_903928115.1
GCA_009691815.1	GCA_005808665.1
GCF_013618625.1	GCF_007748115.1
GCA_016872645.1	GCA_005798445.1
GCF_000735345.1	GCF_006438725.1
GCF_900109745.1	GCF_003387155.1
GCF_900116015.1	GCF_001888805.2
GCF_000526275.1	GCF_900142185.1
GCA_903909015.1	GCA_903953055.1
GCF_001468395.1	GCF_014595975.1
GCF_000312485.1	GCF_001155565.1
GCA_002320455.1	GCF_003788585.1
GCF_004115925.1	GCF_001652505.2
GCA_016704435.1	GCA_018058035.1
GCF_005222785.1	GCF_002900975.1
GCF_000175255.2	GCF_006715975.1
GCF_900111105.1	GCF_018494085.1
GCF_015234305.1	GCA_002421005.1
GCF_013283195.1	GCF_016919405.1
GCF_900109145.1	GCA_006226775.1
GCF_002002905.1	GCF_003201855.1
GCF_001676055.1	GCF_003996855.1
GCA_018670435.1	GCA_018667355.1
GCA_016794005.1	GCA_016794025.1
GCA_003695905.1	GCA_015488115.1
GCA_902518075.1	GCA_016778085.1
GCA_009776435.1	GCA_009782565.1
GCF_000319385.1	GCF_000510265.1
GCF_900107095.1	GCF_002564105.1
GCF_004296575.1	GCF_014297575.1
GCA_002709005.1	GCF_004354915.1
GCA_900455085.1	GCF_001874625.1
GCA_016869285.1	GCA_016792585.1
GCF_000186705.1	GCA_002729695.1
GCF_003260095.1	GCF_901764975.1
GCA_903832735.1	GCA_903904605.1
GCF_000474945.1	GCF_000382285.1
GCF_010131535.1	GCA_015654925.1
GCF_004362405.1	GCF_015624425.1
GCF_011302915.1	GCF_014396975.1
GCF_000378405.1	GCA_902776415.1
GCF_900454865.1	GCF_002850605.1
GCA_902624425.1	GCA_902605165.1
GCA_009668205.1	GCF_900215375.1
GCF_003076595.1	GCF_001660005.1
GCF_000445425.4	GCF_000500065.1
GCF_000445425.4	GCF_000500045.1
GCF_000332455.1	GCF_004769235.1
GCF_011812965.1	GCF_011812995.1
GCA_009908925.1	GCA_009908735.1
GCF_001701045.1	GCF_000585335.1
GCA_018398915.1	GCA_016756725.1
GCA_002504905.1	GCA_902593945.1
GCA_905202485.1	GCF_000404225.1
GCA_002502095.1	GCA_002506825.1
GCA_002498205.1	GCA_002692465.1
GCA_001421175.1	GCA_012522645.1
GCA_003135935.1	GCA_003153895.1
GCA_015520565.1	GCF_000025665.1
GCA_012729095.1	GCA_013329565.1
GCA_002504525.1	GCA_001421185.1
GCA_902563095.1	GCA_002709705.1
GCA_002696315.1	GCA_002720275.1
GCA_002722135.1	GCA_003602635.1
GCA_014361245.1	GCA_014361195.1
GCA_011369655.1	GCA_018396815.1
GCF_000092185.1	GCA_011053855.1
GCA_002495905.1	GCA_013306035.1
GCA_002737445.1	GCA_005798405.1
GCA_002506595.1	GCF_000317795.1
GCA_016927895.1	GCA_001273335.1
GCA_016927015.1	GCA_001273335.1
GCA_013288545.1	GCF_900167955.1
GCA_001717025.1	GCA_001717035.1
GCA_005798405.1	GCA_000204585.1
GCA_011338225.1	GCA_018396775.1
GCA_016784625.1	GCA_013215285.1
GCA_004322465.1	GCA_016844685.1
GCA_011362045.1	GCA_017601345.1
GCA_011605775.1	GCA_011355215.1
GCA_018396815.1	GCA_018396775.1
GCA_011605825.1	GCA_011372955.1
GCA_009889515.1	GCA_002898395.1
GCA_001316125.1	GCA_001316285.1
GCA_017557885.1	GCA_017650925.1
GCA_016933315.1	GCA_002440765.1
GCA_017645765.1	GCA_002310035.1
GCA_905479975.1	GCF_902728235.1
GCA_005777315.1	GCA_009695275.1
GCA_016871755.1	GCA_903862595.1
GCA_019243005.1	GCA_019247695.1
GCF_011044495.1	GCF_003315205.1
GCA_903831825.1	GCA_903863035.1
GCA_002708885.1	GCA_902591645.1
GCA_003532555.1	GCA_002338345.1
GCA_017450695.1	GCA_017544725.1
GCA_009697455.1	GCA_005808865.1
GCA_013822245.1	GCA_014860455.1
GCA_009694745.1	GCA_016716905.1
GCA_011053445.1	GCA_011056055.1
GCA_009845425.1	GCA_012270995.1
GCA_012719455.1	GCA_016934555.1
GCA_004377005.1	GCA_011773465.1
GCA_902505605.1	GCA_005223145.1
GCA_003132145.1	GCA_003142215.1
GCA_011049425.1	GCA_016926835.1
GCA_003170915.1	GCA_003142355.1
GCA_009861545.1	GCA_011523845.1
GCA_017998715.1	GCA_018057705.1
GCA_003151335.1	GCA_003152695.1
GCA_019239425.1	GCA_019242475.1
GCA_002731215.1	GCA_002722645.1
GCA_011523845.1	GCA_011523485.1
GCA_003152325.1	GCA_003167255.1
GCA_016716705.1	GCA_016714815.1
GCA_903937385.1	GCA_903880675.1
GCA_009837085.1	GCA_012270995.1
GCA_012270995.1	GCA_009843505.1
GCA_016719485.1	GCA_002414905.1
GCF_003344865.1	GCF_003073135.1
GCF_018324685.1	GCF_016865425.1
GCA_018896525.1	GCA_018894655.1
GCF_001423185.1	GCF_900177795.1
GCF_900106035.1	GCF_003236295.1
GCF_002159915.1	GCF_002899695.1
GCF_900103975.1	GCA_014218215.1
GCF_006715515.1	GCF_014648255.1
GCA_003158895.1	GCA_003153855.1
GCA_905182565.1	GCA_905477545.1
GCA_019247305.1	GCA_019240665.1
GCF_900108585.1	GCA_001594145.1
GCF_003387475.1	GCF_018263855.1
GCF_016862555.1	GCF_003387075.1
GCA_013698135.1	GCA_013812395.1
GCA_003170375.1	GCA_003166375.1
GCF_007991735.1	GCF_001429185.1
GCF_011250635.1	GCF_011250645.1
GCA_003170375.1	GCA_003139355.1
GCA_902373435.1	GCF_000411415.1
GCF_003550025.1	GCF_000515355.1
GCA_001767575.1	GCA_018333515.1
GCF_006517435.1	GCF_006517535.1
GCA_003132645.1	GCA_003157715.1
GCF_018139695.1	GCF_000504285.1
GCF_002263495.1	GCF_014201195.1
GCF_009834925.2	GCF_003339815.1
GCF_000768675.1	GCF_007992835.1
GCF_002871995.1	GCF_000411155.1
GCF_014126825.1	GCF_007559025.1
GCA_009837815.1	GCA_012270885.1
GCF_002259645.1	GCF_003952005.1
GCF_009708005.2	GCF_010287905.1
GCA_009844405.1	GCA_009843735.1
GCF_000341185.1	GCF_000341245.1
GCF_016862515.1	GCF_900107455.1
GCA_900544245.1	GCA_900556425.1
GCF_011764565.1	GCF_011764545.1
GCF_016918015.1	GCF_003265355.1
GCA_002346305.1	GCA_009694285.1
GCA_016198685.1	GCA_018304585.1
GCF_004339575.1	GCA_003978805.1
GCA_015490195.1	GCA_015488335.1
GCF_000213785.1	GCA_002878215.1
GCA_903951425.1	GCA_903885605.1
GCA_018056145.1	GCA_013314775.1
GCA_018335335.1	GCA_014730275.1
GCA_013375355.1	GCA_019058315.1
GCA_001563335.1	GCA_002825515.1
GCA_013138615.1	GCA_018238375.1
GCA_003451675.1	GCA_002849045.2
GCA_012517635.1	GCA_012517485.1
GCA_002084865.1	GCA_003451675.1
GCF_015775515.1	GCA_012517485.1
GCA_003542295.1	GCA_012517485.1
GCA_002849045.2	GCA_014894735.1
GCF_000382125.1	GCA_013042925.1
GCA_013334855.1	GCF_001747405.1
GCA_002786785.1	GCA_018818165.1
GCA_012798745.1	GCA_002305015.1
GCA_002440745.1	GCA_016937295.1
GCA_013298805.1	GCF_003148625.1
GCA_902519955.1	GCA_902629505.1
GCA_003331875.1	GCA_902609185.1
GCA_002728855.1	GCA_002702405.1
GCA_009937085.1	GCA_003331305.1
GCA_002842575.1	GCA_001873105.1
GCA_002451695.1	GCA_002437495.1
GCF_003574965.1	GCF_001483135.1
GCA_018608485.1	GCA_905479435.1
GCA_003447535.1	GCA_002862745.1
GCA_001487125.1	GCA_900543425.1
GCA_903958625.1	GCA_903861125.1
GCA_902635965.1	GCA_902595825.1
GCA_002709185.1	GCA_002690085.1
GCA_902533655.1	GCA_002716345.1
GCA_002364085.1	GCA_017643645.1
GCF_003730015.1	GCA_002345565.1
GCA_017409345.1	GCA_015060975.1
GCF_003201775.1	GCF_018860365.1
GCF_000426725.1	GCA_017745095.1
GCF_011090385.1	GCF_011250515.1
GCA_018335795.1	GCA_002839825.1
GCA_905233625.1	GCA_017964255.1
GCA_011049175.1	GCA_011042635.1
GCA_002898675.1	GCA_003695605.1
GCA_905181835.1	GCA_004213605.1
GCF_003860135.1	GCF_001006485.1
GCA_016716225.1	GCA_016708125.1
GCA_017534705.1	GCA_017509605.1
GCA_018674025.1	GCA_004213995.1
GCF_014518315.1	GCA_002409405.1
GCA_019117165.1	GCF_000519105.1
GCF_008271695.1	GCF_017916365.1
GCF_004785645.1	GCF_013116755.1
GCA_007129985.1	GCA_007695365.1
GCA_002711995.1	GCA_002718735.1
GCA_016791465.1	GCA_016713885.1
GCA_016714165.1	GCA_016716765.1
GCA_003552425.1	GCA_003551325.1
GCA_008933615.1	GCA_016787925.1
GCA_013824685.1	GCF_003570935.1
GCA_012517765.1	GCA_017992475.1
GCA_012517765.1	GCA_002070635.1
GCA_903871855.1	GCF_003570925.1
GCA_013824685.1	GCF_003570925.1
GCA_002898315.1	GCA_011364105.1
GCF_018861145.1	GCF_009208075.1
GCF_016629565.1	GCF_000010325.1
GCF_002139915.1	GCF_002139875.1
GCA_017502485.1	GCF_008693005.1
GCA_016744805.1	GCA_016744315.1
GCF_001602095.1	GCF_003364115.1
GCA_014799985.1	GCA_910578285.1
GCA_018816105.1	GCF_013177675.1
GCF_003544855.1	GCF_002837275.1
GCF_013372105.1	GCF_004357905.1
GCF_900197855.1	GCF_000200595.1
GCF_000024885.1	GCA_009930355.1
GCF_001457695.1	GCF_000254135.1
GCF_013201725.1	GCF_013177635.1
GCF_016937535.1	GCA_014859645.1
GCF_018642185.1	GCF_901000775.1
GCF_018642185.1	GCA_003176115.1
GCF_015356815.1	GCF_901000775.1
GCA_011064875.1	GCA_011064905.1
GCF_015356815.1	GCF_018642185.1
GCA_002696685.1	GCA_009391195.1
GCA_017998555.1	GCA_016714465.1
GCA_011523785.1	GCA_009839425.1
GCA_009692725.1	GCA_016875695.1
GCA_009838625.1	GCA_009840225.1
GCA_005889405.1	GCA_005882255.1
GCA_016932435.1	GCA_001796415.1
GCA_002238425.1	GCA_009838965.1
GCA_002419135.1	GCA_012719115.1
GCA_002716645.1	GCA_002724585.1
GCA_003142375.1	GCA_002311135.1
GCA_005882985.1	GCA_005880075.1
GCA_002500485.1	GCA_003228105.1
GCA_003599735.1	GCA_016875635.1
GCA_903924005.1	GCA_903925955.1
GCA_002687335.1	GCA_009392215.1
GCA_009838625.1	GCA_011523365.1
GCA_002450515.1	GCA_009392515.1
GCA_000018565.1	GCF_003205875.1
GCF_001748285.1	GCF_003268475.1
GCA_014874455.1	GCA_011054265.1
GCA_011047455.1	GCA_011380505.1
GCA_002687335.1	GCA_002725925.1
GCA_011388675.1	GCA_011192125.1
GCA_014860845.1	GCA_002842045.1
GCA_003670425.1	GCA_003569365.1
GCA_015494815.1	GCA_013153375.1
GCA_002898875.1	GCA_011054265.1
GCF_003268475.1	GCF_000702505.1
GCA_002421585.1	GCA_002419135.1
GCA_002721615.1	GCA_002708085.1
GCA_011380505.1	GCA_002898715.1
GCA_014874485.1	GCA_011333425.1
GCA_019243675.1	GCA_019240835.1
GCA_011328975.1	GCA_011389395.1
GCA_011366485.1	GCA_011333005.1
GCA_012798455.1	GCA_012797815.1
GCA_012270665.1	GCA_009838465.1
GCA_002721445.1	GCA_002723415.1
GCA_017882065.1	GCA_903873975.1
GCA_003456035.1	GCA_003609755.1
GCA_009836025.1	GCA_001007665.1
GCF_000238775.1	GCF_018336915.1
GCF_014696105.1	GCA_012031475.1
GCA_017115095.1	GCF_014698505.1
GCF_003013815.1	GCF_000169335.1
GCF_002939305.1	GCF_001904655.1
GCA_017114995.1	GCF_002949735.1
GCF_003555505.1	GCA_015296025.1
GCA_002018045.1	GCF_000586015.1
GCF_014695775.1	GCF_014695395.1
GCF_015841355.1	GCF_002252625.1
GCA_003326215.1	GCF_016056275.1
GCF_014696825.1	GCA_004293145.1
GCF_000317575.1	GCF_002355455.1
GCA_903893625.1	GCF_014697575.1
GCA_003499955.1	GCA_001784535.1
GCA_003209755.1	GCA_003216295.1
GCF_003555505.1	GCF_000505665.1
GCF_001904725.1	GCF_015207735.1
GCF_015207755.1	GCF_002218065.1
GCF_002368335.1	GCF_017164015.1
GCA_004292745.1	GCA_004294385.1
GCA_017472545.1	GCA_017536545.1
GCA_011331985.1	GCF_016446395.1
GCA_016882385.1	GCF_014697415.1
GCF_000346485.2	GCF_009725235.1
GCA_017396695.1	GCA_017505585.1
GCF_018282115.1	GCF_000284455.1
GCF_003003845.1	GCF_000317145.1
GCF_000340565.2	GCF_015207755.1
GCF_000169335.1	GCF_000017845.1
GCF_009725235.1	GCF_000760695.4
