q_acc	r_acc	skani_ani	skani_af_min	band	phylum
GCF_014779655.1	GCF_014653115.1	89.25	47.78	85-90	Actinobacteriota
GCA_017526585.1	GCA_902756345.1	86.29	16.26	85-90	Fibrobacterota
GCA_002394865.1	GCA_902776765.1	84.94	20.77	80-85	Fibrobacterota
GCF_014490035.1	GCF_002966795.1	86.01	28.55	85-90	Proteobacteria
GCF_004000745.1	GCA_900766135.1	84.15	22.02	80-85	Firmicutes
GCF_017114865.1	GCF_900114215.1	94.98	71.57	90-95	Actinobacteriota
GCA_018060215.1	GCA_017302035.1	87.75	28.46	85-90	Proteobacteria
GCA_016870675.1	GCA_016783995.1	95.04	22.19	95-100	Actinobacteriota
GCF_900198625.1	GCF_900198365.1	95.09	67.82	95-100	Campylobacterota
GCF_002210435.1	GCF_000145235.1	84.50	15.00	80-85	Actinobacteriota
GCA_017505635.1	GCA_017442085.1	87.58	37.70	85-90	Firmicutes_A
GCF_004364585.1	GCF_014874065.1	83.13	19.17	80-85	Actinobacteriota
GCF_016894385.1	GCF_003402535.1	93.02	51.27	90-95	Proteobacteria
GCF_004028635.1	GCF_003963535.1	90.33	48.65	90-95	Actinobacteriota
GCA_905612295.1	GCA_905612275.1	89.14	28.86	85-90	Thermoproteota
GCF_002531905.1	GCF_001664485.1	92.51	67.30	90-95	Proteobacteria
GCF_001189365.1	GCF_018408855.1	85.77	18.19	85-90	Proteobacteria
GCF_000382345.1	GCF_018119395.1	86.76	30.45	85-90	Proteobacteria
GCF_000332515.2	GCF_000332455.1	90.58	70.32	90-95	Spirochaetota
GCA_004379115.1	GCA_903848435.1	87.61	16.63	85-90	Actinobacteriota
GCA_902799355.1	GCA_902798425.1	85.27	20.19	85-90	Bacteroidota
GCF_003044645.1	GCF_001618085.1	95.42	81.60	95-100	Proteobacteria
GCF_001570405.1	GCA_001570385.1	87.67	33.48	85-90	Actinobacteriota
GCF_001424645.1	GCF_000878135.1	94.72	83.16	90-95	Actinobacteriota
GCA_902799965.1	GCA_902799665.1	85.79	21.36	85-90	Spirochaetota
GCA_902591415.1	GCA_902572345.1	87.75	35.39	85-90	Proteobacteria
GCF_004346385.1	GCF_001008345.1	92.36	63.16	90-95	Actinobacteriota
GCF_002096815.1	GCF_002087075.1	91.27	51.18	90-95	Firmicutes
GCF_009377195.2	GCF_002927275.1	83.05	16.67	80-85	Actinobacteriota
GCA_902621725.1	GCA_902514875.1	89.05	43.20	85-90	Proteobacteria
GCF_001691565.1	GCF_014204835.1	83.04	15.34	80-85	Actinobacteriota
GCF_003696305.1	GCF_902506505.1	84.53	21.49	80-85	Proteobacteria
GCA_902629695.1	GCA_902565935.1	92.43	61.87	90-95	Proteobacteria
GCA_003282965.1	GCA_902569735.1	82.78	16.33	80-85	Proteobacteria
GCA_014156375.1	GCA_002470465.1	84.75	28.99	80-85	Proteobacteria
GCF_001425905.1	GCA_902826655.1	84.29	16.93	80-85	Proteobacteria
GCF_003857035.1	GCF_015751785.1	94.01	71.83	90-95	Actinobacteriota
GCF_018531375.1	GCF_000218545.1	83.64	17.65	80-85	Actinobacteriota
GCF_003942865.1	GCF_001072375.1	84.25	15.90	80-85	Firmicutes
GCF_003185805.1	GCF_001449105.1	90.31	50.42	90-95	Proteobacteria
GCA_900555465.1	GCA_019113065.1	90.45	32.61	90-95	Firmicutes_A
GCF_002155915.1	GCF_001906585.1	90.60	35.09	90-95	Actinobacteriota
GCA_003210015.1	GCA_902592325.1	82.72	17.58	80-85	Proteobacteria
GCF_000876655.1	GCF_018613755.1	85.81	29.65	85-90	Actinobacteriota
GCA_001629235.1	GCA_902601345.1	93.06	58.91	90-95	Thermoplasmatota
GCA_012511235.1	GCA_002432715.1	86.53	19.42	85-90	Spirochaetota
GCF_018343775.1	GCF_000452705.1	83.05	15.42	80-85	Proteobacteria
GCF_009696315.1	GCF_001642025.1	82.37	15.57	80-85	Actinobacteriota
GCF_014467235.1	GCF_002632465.1	93.03	65.84	90-95	Proteobacteria
GCA_004020365.1	GCF_002284575.1	92.50	59.53	90-95	Proteobacteria
GCA_003278165.1	GCA_902565325.1	85.50	16.11	85-90	Proteobacteria
GCF_900114115.1	GCA_002412965.1	82.83	16.92	80-85	Desulfobacterota_I
GCA_902626065.1	GCA_902587025.1	86.50	24.52	85-90	Actinobacteriota
GCF_000876655.1	GCF_005280255.1	86.02	28.56	85-90	Actinobacteriota
GCF_013181195.1	GCA_017744445.1	86.78	31.55	85-90	Proteobacteria
GCA_903857495.1	GCA_903840385.1	85.03	23.29	85-90	Acidobacteriota
GCF_001045465.1	GCF_012927325.1	84.02	21.80	80-85	Bacteroidota
GCF_012641395.1	GCF_000816845.1	83.79	18.43	80-85	Proteobacteria
GCF_001746415.1	GCF_000429085.1	90.63	40.54	90-95	Actinobacteriota
GCA_900318885.1	GCA_902800245.1	92.83	55.32	90-95	Bacteroidota
GCF_003052555.1	GCF_001043555.1	91.31	64.73	90-95	Proteobacteria
GCF_014648555.1	GCF_000269985.1	88.44	28.57	85-90	Actinobacteriota
GCA_902554745.1	GCA_902527415.1	92.29	48.18	90-95	Proteobacteria
GCF_900176865.1	GCF_000577555.1	84.73	16.85	80-85	Actinobacteriota
GCF_013072695.1	GCF_000374425.1	83.76	15.82	80-85	Proteobacteria
GCF_001293125.1	GCA_018376445.1	90.37	64.02	90-95	Actinobacteriota
GCA_009704285.1	GCA_000383815.1	94.63	42.83	90-95	Actinobacteriota
GCF_900637185.1	GCF_001612825.1	85.26	21.80	85-90	Actinobacteriota
GCF_014252255.1	GCF_014252055.1	81.84	22.14	80-85	Bacteroidota
GCF_009696325.1	GCF_901212495.1	89.62	46.48	85-90	Actinobacteriota
GCF_011682075.1	GCF_000021385.1	93.89	64.10	90-95	Desulfobacterota_I
GCA_900319225.1	GCA_902774335.1	84.27	19.34	80-85	Bacteroidota
GCF_012676905.1	GCF_000422485.1	90.67	54.27	90-95	Firmicutes
GCF_009905735.1	GCF_002952215.1	83.05	17.66	80-85	Proteobacteria
GCF_003999415.1	GCF_900636825.1	87.25	42.06	85-90	Proteobacteria
GCF_008824185.1	GCF_003285265.1	84.50	18.08	80-85	Proteobacteria
GCA_015523185.1	GCF_012027635.1	82.43	15.91	80-85	Methanobacteriota_B
GCF_002234915.1	GCF_002259645.1	86.79	29.69	85-90	Actinobacteriota
GCF_002019635.1	GCF_000518865.1	94.57	78.16	90-95	Firmicutes
GCF_019139815.1	GCF_000282195.1	83.54	15.13	80-85	Proteobacteria
GCF_003019675.1	GCF_002356455.1	89.25	47.25	85-90	Fusobacteriota
GCF_000306765.2	GCF_000025685.1	84.10	15.76	80-85	Halobacteriota
GCF_007667275.1	GCF_001676385.1	83.27	18.24	80-85	Proteobacteria
GCF_015670745.1	GCA_900764025.1	94.50	61.73	90-95	Actinobacteriota
GCA_902629575.1	GCA_902627935.1	84.05	19.87	80-85	Proteobacteria
GCF_004785665.1	GCF_002902565.1	91.87	75.30	90-95	Firmicutes
GCF_014649815.1	GCA_016432725.1	84.75	15.01	80-85	Actinobacteriota
GCF_002778015.1	GCF_002777915.1	90.77	60.00	90-95	Proteobacteria
GCF_013359685.1	GCF_900114565.1	83.69	17.03	80-85	Actinobacteriota
GCA_905215765.1	GCA_905215725.1	94.76	70.49	90-95	Actinobacteriota
GCA_012030815.1	GCA_003569705.1	87.25	19.03	85-90	Thermoproteota
GCF_000718165.1	GCF_000717055.1	84.29	17.40	80-85	Actinobacteriota
GCF_011395035.1	GCF_900068835.1	83.30	17.43	80-85	Proteobacteria
GCF_900108365.1	GCF_003971235.1	92.05	68.19	90-95	Bacteroidota
GCF_004769575.1	GCF_004769235.1	86.29	42.27	85-90	Spirochaetota
GCF_014204515.1	GCF_016919445.1	90.79	54.22	90-95	Proteobacteria
GCA_902580765.1	GCA_902572735.1	93.76	47.66	90-95	Proteobacteria
GCA_017435045.1	GCA_017442085.1	83.97	17.22	80-85	Firmicutes_A
GCF_001507435.1	GCF_008704995.1	84.69	17.34	80-85	Actinobacteriota
GCA_903994365.1	GCA_903866255.1	84.00	18.30	80-85	Bacteroidota
GCF_002251635.1	GCF_000282375.1	86.50	36.63	85-90	Proteobacteria
GCF_014529935.1	GCF_012641275.1	84.59	25.44	80-85	Bacteroidota
GCF_002154575.1	GCF_001896135.2	93.76	58.30	90-95	Actinobacteriota
GCF_000717995.1	GCF_003112555.1	92.44	54.90	90-95	Actinobacteriota
GCA_902627595.1	GCA_902587545.1	87.51	39.13	85-90	Proteobacteria
GCA_016787135.1	GCA_016787085.1	83.30	19.61	80-85	Bacteroidota
GCF_012396365.1	GCF_000341065.1	89.34	37.57	85-90	Actinobacteriota
GCF_003324565.1	GCF_002803085.1	89.35	42.60	85-90	Actinobacteriota
GCA_902590695.1	GCA_902575815.1	93.00	42.01	90-95	Proteobacteria
GCF_002221525.1	GCF_000238395.3	83.55	18.08	80-85	Proteobacteria
GCF_002284535.1	GCF_013170705.1	83.01	15.17	80-85	Proteobacteria
GCF_018448925.1	GCF_001684335.1	94.81	77.74	90-95	Proteobacteria
GCA_902623395.1	GCA_902596205.1	84.00	25.70	80-85	Proteobacteria
GCF_000799235.1	GCA_016025055.1	82.81	15.06	80-85	Bacteroidota
GCF_015679985.1	GCA_902387145.1	94.50	84.46	90-95	Campylobacterota
GCA_002424295.1	GCA_002411615.1	91.27	59.58	90-95	Firmicutes_A
GCA_002438845.1	GCA_002297815.1	86.89	25.44	85-90	Bacteroidota
GCA_013867245.1	GCA_902514095.1	87.00	15.57	85-90	Thermoproteota
GCA_017631745.1	GCA_900768075.1	85.32	18.47	85-90	Firmicutes_A
GCA_014654235.1	GCA_902517175.1	87.53	32.02	85-90	Proteobacteria
GCF_003323735.1	GCF_017676345.1	84.81	16.55	80-85	Actinobacteriota
GCA_003152695.1	GCA_003135475.1	89.10	34.35	85-90	Acidobacteriota
GCA_004210455.1	GCF_001653795.1	90.51	51.02	90-95	Proteobacteria
GCF_001298465.1	GCF_902460545.1	94.52	80.85	90-95	Campylobacterota
GCF_000979455.1	GCF_000969965.1	86.61	27.39	85-90	Halobacteriota
GCA_902538885.1	GCA_902522385.1	89.78	43.75	85-90	Proteobacteria
GCA_017646825.1	GCA_017408205.1	90.48	44.28	90-95	Firmicutes_A
GCF_003942695.1	GCF_001281025.1	86.75	37.15	85-90	Firmicutes
GCF_000959525.1	GCF_000203915.1	88.78	42.17	85-90	Proteobacteria
GCA_014804365.1	GCA_014804655.1	93.53	52.11	90-95	Firmicutes_A
GCA_900762525.1	GCA_000613465.1	93.12	52.47	90-95	Bacteroidota
GCF_002013415.1	GCF_001632805.1	87.78	51.26	85-90	Actinobacteriota
GCF_009496285.1	GCF_009731465.1	85.26	21.66	85-90	Firmicutes
GCA_002697205.1	GCA_012960535.1	95.59	74.18	95-100	Proteobacteria
GCF_001509475.1	GCF_015712165.1	85.25	18.93	85-90	Actinobacteriota
GCA_900555035.1	GCA_900770515.1	90.11	21.29	90-95	Bacteroidota
GCA_003280895.1	GCF_002025945.1	93.02	60.50	90-95	Cyanobacteria
GCF_900105025.1	GCF_012844235.1	93.72	76.57	90-95	Actinobacteriota
GCA_003278855.1	GCF_017695975.1	92.00	72.48	90-95	Cyanobacteria
GCF_900109435.1	GCA_017542475.1	84.30	17.39	80-85	Firmicutes_A
GCA_003166375.1	GCA_003140595.1	84.43	15.15	80-85	Actinobacteriota
GCF_004343605.1	GCF_000512895.1	92.75	62.84	90-95	Firmicutes_B
GCF_005843885.1	GCF_002900365.1	91.54	67.18	90-95	Proteobacteria
GCF_000187465.1	GCF_013394695.1	91.77	65.49	90-95	Firmicutes
GCF_900167025.1	GCA_002477955.1	93.79	70.14	90-95	Spirochaetota
GCF_014697585.1	GCF_012516395.1	84.83	15.11	80-85	Cyanobacteria
GCF_007679425.1	GCF_014673495.1	94.50	63.91	90-95	Actinobacteriota
GCF_000696385.1	GCF_009665255.1	94.27	85.46	90-95	Proteobacteria
GCA_900542945.1	GCA_018380195.1	92.75	70.63	90-95	Actinobacteriota
GCF_900573885.1	GCF_003208235.1	84.75	26.38	80-85	Proteobacteria
GCA_009699265.1	GCF_004137245.1	85.54	27.89	85-90	Actinobacteriota
GCA_902594865.1	GCA_902588855.1	84.25	15.64	80-85	Proteobacteria
GCF_900220975.1	GCF_013378445.1	92.40	63.91	90-95	Proteobacteria
GCF_002798385.1	GCF_001187505.1	89.05	53.86	85-90	Actinobacteriota
GCF_000424305.1	GCF_900113655.1	89.09	37.86	85-90	Firmicutes_A
GCF_900116375.1	GCA_014837105.1	91.63	64.46	90-95	Actinobacteriota
GCF_900497695.1	GCF_018417595.1	84.00	21.11	80-85	Proteobacteria
GCF_006494415.1	GCF_002077695.1	82.58	17.42	80-85	Proteobacteria
GCF_001439685.1	GCF_003852235.1	88.00	48.58	85-90	Proteobacteria
GCF_001953745.1	GCF_000337195.1	83.88	15.72	80-85	Halobacteriota
GCF_008085905.1	GCF_004348735.1	86.29	22.62	85-90	Actinobacteriota
GCF_003579925.1	GCF_900106035.1	89.31	35.28	85-90	Actinobacteriota
GCF_005930355.1	GCF_014192395.1	83.42	15.15	80-85	Firmicutes
GCF_000473265.1	GCF_011758765.1	88.35	30.65	85-90	Actinobacteriota
GCF_016901995.1	GCA_018883555.1	90.65	39.17	90-95	Bacteroidota
GCF_003664315.1	GCF_014651055.1	84.22	15.44	80-85	Actinobacteriota
GCF_000934605.2	GCF_902459685.1	83.75	15.99	80-85	Proteobacteria
GCF_003846185.1	GCF_001715295.1	84.31	16.04	80-85	Actinobacteriota
GCA_016714685.1	GCA_903857495.1	82.80	15.26	80-85	Acidobacteriota
GCA_003216275.1	GCA_902564695.1	83.14	16.28	80-85	Cyanobacteria
GCF_900209925.1	GCF_000173975.1	87.79	20.76	85-90	Firmicutes_A
GCF_000719265.1	GCF_014650335.1	90.97	49.60	90-95	Actinobacteriota
GCF_014650815.1	GCF_014649395.1	89.28	42.64	85-90	Actinobacteriota
GCF_006494415.1	GCF_001598475.1	89.04	59.87	85-90	Proteobacteria
GCA_009929215.1	GCF_000420465.1	85.27	28.49	85-90	Desulfobacterota_I
GCF_002899455.1	GCF_019049325.1	84.26	15.10	80-85	Actinobacteriota
GCA_900540665.1	GCF_004168205.1	93.31	62.06	90-95	Firmicutes
GCA_900543415.1	GCA_000433535.1	94.21	68.20	90-95	Firmicutes_A
GCF_017874195.1	GCA_002501655.1	83.16	19.76	80-85	Halobacteriota
GCA_003215795.1	GCA_003278425.1	84.23	16.71	80-85	Cyanobacteria
GCF_002574955.1	GCF_001595725.1	89.76	47.20	85-90	Firmicutes
GCF_001580545.1	GCF_002278075.1	84.55	16.67	80-85	Proteobacteria
GCA_900541475.1	GCA_900541055.1	92.75	66.35	90-95	Actinobacteriota
GCF_900115685.1	GCF_017161115.1	92.75	68.35	90-95	Proteobacteria
GCF_001613205.1	GCA_013361595.1	88.38	24.67	85-90	Actinobacteriota
GCF_006716975.1	GCF_011927635.1	91.77	60.45	90-95	Proteobacteria
GCF_900142015.1	GCF_000513195.1	85.27	19.52	85-90	Bacteroidota
GCF_012570745.1	GCF_012570365.1	92.00	90.14	90-95	Proteobacteria
GCF_003721435.2	GCF_000337355.1	87.03	27.19	85-90	Halobacteriota
GCF_902506495.1	GCF_003008615.1	87.01	36.87	85-90	Proteobacteria
GCF_016239305.1	GCF_009914335.1	90.02	62.54	90-95	Proteobacteria
GCA_004560915.1	GCA_004552445.1	88.62	25.14	85-90	Firmicutes
GCA_005882235.1	GCA_005884335.1	90.79	29.57	90-95	Proteobacteria
GCA_017614715.1	GCA_017529425.1	87.37	43.09	85-90	Bacteroidota
GCF_014596565.1	GCF_001269885.1	87.75	43.35	85-90	Proteobacteria
GCF_003027925.1	GCF_900091605.1	89.31	43.48	85-90	Actinobacteriota
GCF_900582195.1	GCF_016650695.1	85.00	24.08	85-90	Proteobacteria
GCA_902547535.1	GCA_902516395.1	86.75	39.62	85-90	Proteobacteria
GCF_016734815.1	GCF_015694735.1	83.44	16.81	80-85	Bacteroidota
GCA_002212985.1	GCA_002212725.1	85.54	32.79	85-90	Bacteroidota
GCF_012034175.1	GCF_900142575.1	85.57	23.13	85-90	Actinobacteriota
GCA_902566705.1	GCA_902553675.1	90.00	42.85	90-95	Proteobacteria
GCF_900100115.1	GCF_003815655.1	83.07	16.20	80-85	Bacteroidota
GCF_900141825.1	GCF_000424005.1	90.83	50.36	90-95	Firmicutes_A
GCF_003061005.1	GCF_012986595.1	91.50	69.15	90-95	Proteobacteria
GCA_003211275.1	GCA_002687115.1	83.83	17.65	80-85	Cyanobacteria
GCF_001591405.1	GCF_000297495.1	86.30	28.02	85-90	Actinobacteriota
GCF_013337765.1	GCF_004362315.1	87.06	43.07	85-90	Actinobacteriota
GCA_002762865.1	GCA_018901315.1	89.66	27.78	85-90	Nanoarchaeota
GCA_002737455.1	GCA_905612275.1	88.12	30.29	85-90	Thermoproteota
GCA_902616165.1	GCA_902581605.1	91.75	45.70	90-95	Proteobacteria
GCF_003105115.1	GCF_002217435.1	83.62	15.96	80-85	Bacteroidota
GCF_013407145.1	GCF_000299395.1	85.09	33.93	85-90	Thermoproteota
GCF_002910905.1	GCF_014650075.1	89.57	41.26	85-90	Actinobacteriota
GCA_018261955.1	GCA_017986195.1	88.52	33.05	85-90	Proteobacteria
GCF_001399685.1	GCF_004000865.1	92.62	70.52	90-95	Firmicutes
GCF_902459535.1	GCF_900104795.1	90.79	54.64	90-95	Proteobacteria
GCA_013695475.1	GCA_013697825.1	84.85	16.96	80-85	Actinobacteriota
GCF_000027145.1	GCA_000183865.1	83.86	19.17	80-85	Firmicutes
GCF_001591845.1	GCF_001434975.1	83.24	15.05	80-85	Firmicutes
GCA_900557255.1	GCF_000157935.1	95.18	35.00	95-100	Bacteroidota
GCF_002112385.1	GCF_003352185.1	94.06	81.40	90-95	Proteobacteria
GCA_900547805.1	GCA_902364645.1	93.50	61.05	90-95	Actinobacteriota
GCF_000418325.1	GCF_000067165.1	88.39	30.41	85-90	Myxococcota
GCF_001545035.1	GCA_001544595.2	87.75	39.27	85-90	Proteobacteria
GCF_013409625.1	GCF_900114845.1	85.28	24.10	85-90	Actinobacteriota
GCF_000507185.2	GCF_000444135.1	87.50	42.21	85-90	Proteobacteria
GCA_003243275.1	GCA_001898835.1	85.32	24.44	85-90	Actinobacteriota
GCF_001905465.1	GCF_000716545.1	88.53	33.37	85-90	Actinobacteriota
GCF_002113045.1	GCF_014268745.2	84.00	17.94	80-85	Proteobacteria
GCF_000259195.1	GCF_014268885.2	84.00	22.66	80-85	Proteobacteria
GCF_003044425.1	GCF_000193735.1	94.52	78.99	90-95	Proteobacteria
GCF_014931395.1	GCA_905215245.1	94.27	68.43	90-95	Proteobacteria
GCA_900554455.1	GCA_900540905.1	94.50	52.46	90-95	Actinobacteriota
GCF_001735805.1	GCA_000415505.1	84.77	15.75	80-85	Actinobacteriota
GCF_000721175.1	GCF_014649875.1	91.82	51.78	90-95	Actinobacteriota
GCF_015278315.1	GCF_015277815.1	83.75	18.46	80-85	Actinobacteriota
GCF_003323735.1	GCF_000424785.1	86.35	28.86	85-90	Actinobacteriota
GCA_017549705.1	GCA_905234275.1	84.73	15.27	80-85	Bacteroidota
GCA_900318015.1	GCA_902781705.1	83.88	16.37	80-85	Bacteroidota
GCF_000238055.2	GCF_000238075.1	86.78	20.32	85-90	Firmicutes_A
GCF_004570525.1	GCF_016458205.1	84.04	15.84	80-85	Firmicutes
GCF_003752655.1	GCF_003443735.1	90.52	50.29	90-95	Actinobacteriota
GCF_016862275.1	GCF_000494755.1	84.74	20.88	80-85	Actinobacteriota
GCA_015061625.1	GCA_017508015.1	86.04	17.67	85-90	Verrucomicrobiota
GCF_900460065.1	GCF_003751445.1	84.50	16.54	80-85	Actinobacteriota
GCA_015233045.1	GCA_015233685.1	92.75	42.61	90-95	Nitrospirota
GCA_902801025.1	GCA_902761275.1	88.22	23.92	85-90	Verrucomicrobiota
GCF_002179635.1	GCF_013372105.1	89.57	61.19	85-90	Campylobacterota
GCF_004785665.1	GCF_003035445.1	83.17	15.04	80-85	Firmicutes
GCF_001276515.1	GCF_003352385.1	94.52	79.40	90-95	Proteobacteria
GCF_002237755.1	GCF_001183605.1	89.45	46.06	85-90	Firmicutes
GCF_002096615.1	GCF_016028255.1	94.00	75.19	90-95	Firmicutes
GCA_902615855.1	GCA_000384495.1	94.27	37.01	90-95	Actinobacteriota
GCF_001673535.1	GCF_002105755.1	83.31	16.89	80-85	Actinobacteriota
GCF_000721235.1	GCF_014651155.1	89.56	42.18	85-90	Actinobacteriota
GCF_002007205.1	GCF_016919405.1	90.53	64.76	90-95	Proteobacteria
GCF_900188445.1	GCF_001552135.1	84.86	16.60	80-85	Actinobacteriota
GCA_003209055.1	GCA_003279935.1	87.77	33.44	85-90	Cyanobacteria
GCF_012569925.1	GCF_012569045.1	89.50	73.52	85-90	Proteobacteria
GCA_017527625.1	GCA_017519185.1	84.90	25.14	80-85	Bacteroidota
GCF_000160675.1	GCA_905371865.1	93.82	54.74	90-95	Firmicutes
GCF_014931215.1	GCF_000816305.1	93.82	68.50	90-95	Campylobacterota
GCA_902596605.1	GCA_902581005.1	92.63	50.54	90-95	Proteobacteria
GCF_002934665.1	GCF_001952855.1	83.75	15.62	80-85	Proteobacteria
GCA_900554695.1	GCA_900553465.1	87.58	37.10	85-90	Bacteroidota
GCF_900089585.1	GCF_902825405.1	94.86	67.68	90-95	Actinobacteriota
GCF_017874715.1	GCF_001417735.1	85.82	17.98	85-90	Actinobacteriota
