pairid	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95
GCF_900109045.1__GCA_017744695.1	NZ_FNYL01000037.1	JAGIAS010000010.1	84.8298	87.8061	0.6271	0.6849	0.10454	NaN	33	0.9908	13	4.344	0.1830	87.4443	91.8442	0.5363	1.41	AlfI:88.15,AloI:87.62,BcgI:87.66,FalI:87.95	1605	33	8563	158	43.63636363636363	BELOW_DETECTION	84.8298	gamma	87.6271
GCF_001677335.1__GCF_900143235.1	NZ_LZYB01000001.1	NZ_FRDF01000025.1	84.5052	87.2136	0.6763	0.6854	0.14733	NaN	39	0.9555	31	5.239	0.1577	86.9166	91.2473	2.0067	13.03	AlfI:88.48,AloI:88.09,BcgI:86.47,FalI:87.05	830	39	4803	56	18.05128205128205	BELOW_DETECTION	84.5052	gamma	87.1727
GCF_009849585.1__GCF_001956215.1	NZ_VCRN01000010.1	NZ_MRTQ01000010.1	91.3191	91.7947	0.5859	0.6590	0.10886	89.5327	68	0.9803	29	8.183	0.4164	91.4875	93.0724	0.8194	1.87	AlfI:92.14,AloI:91.32,BcgI:91.54,FalI:91.87	1854	68	3908	113	22.191176470588236	ok	91.3191	gamma	91.6888
GCF_003863365.1__GCF_008520305.1	NZ_RQXT01000001.1	NZ_ML703253.1	87.3693	88.8799	0.4331	0.4663	0.09681	85.1618	107	0.9711	48	6.320	0.2251	88.5787	91.6835	0.7638	1.74	AlfI:89.15,AloI:88.42,BcgI:88.89,FalI:88.39	2206	107	8100	81	16.05607476635514	ok	87.3693	gamma	88.7485
GCF_000955725.1__GCF_000166775.1	NZ_LACM01000001.1	NC_014720.1	88.8020	90.5732	0.7553	0.7220	0.16639	88.9356	17	0.9778	16	3.601	0.3529	90.0489	93.2910	0.6042	0.50	AlfI:90.39,AloI:90.79,BcgI:90.18,FalI:90.70	841	17	2147	542	42.411764705882355	ok	88.8020	gamma	90.3529
GCF_012932745.1__GCA_000017645.1	NZ_JABBHL010000001.1	CP000781.1	88.0523	90.0567	0.4167	0.3855	0.11992	86.3090	105	0.9198	92	3.930	0.2888	89.6386	92.9850	1.3276	5.47	AlfI:90.55,AloI:89.61,BcgI:89.72,FalI:90.93	1615	105	4331	37	11.047619047619047	ok	88.0523	gamma	89.8528
GCF_900110955.1__GCF_001701025.1	NZ_FOFR01000054.1	NZ_CP016793.1	88.6989	91.0871	0.6476	0.6187	0.06456	87.2636	92	0.9847	59	2.781	0.3456	90.5124	94.1572	1.9016	13.70	AlfI:91.02,AloI:90.77,BcgI:91.03,FalI:92.67	4473	92	12480	401	42.16304347826087	ok	88.6989	gamma	90.6295
GCF_001692445.1__GCF_015142735.1	NZ_MAQA01000001.1	NZ_JACSPN010000010.1	90.3143	92.7117	0.6505	0.6817	0.08026	89.8833	113	0.9854	33	1.911	0.4547	91.9326	95.4450	2.9566	24.43	AlfI:92.24,AloI:92.79,BcgI:92.65,FalI:95.20	2647	113	6014	99	20.734513274336283	ok	90.3143	gamma	92.0837
GCF_004519405.1__GCF_004682045.1	NZ_SGWI01000001.1	NZ_QUZT01000001.1	89.1505	90.6840	0.6148	0.5847	0.08382	87.4214	94	0.9641	83	4.344	0.3216	90.2631	93.2821	1.0396	4.10	AlfI:90.51,AloI:91.55,BcgI:90.60,FalI:91.09	2628	94	7849	114	24.74468085106383	ok	89.1505	gamma	90.4135
GCF_001042475.2__GCF_000011645.1	NZ_LECW02000001.1	NC_006270.3	83.2544	86.4611	0.5165	0.5960	0.18389	NaN	24	0.9889	5	4.881	0.1471	86.1297	91.0948	1.6690	2.81	AlfI:86.74,AloI:85.40,BcgI:86.05,FalI:87.07	613	24	3549	44	19.625	BELOW_DETECTION	83.2544	gamma	86.4508
GCF_011516885.1__GCF_000964225.1	NZ_WOTD01000001.1	NZ_BAMZ01000094.1	84.5110	88.3141	0.5139	0.6102	0.17625	85.4538	29	0.9871	6	3.258	0.2024	87.8662	92.8128	1.3192	1.78	AlfI:87.96,AloI:89.28,BcgI:88.43,FalI:88.58	560	29	2764	55	16.82758620689655	ok	84.5110	gamma	88.1774
GCF_001072375.1__GCA_905221215.1	NZ_JVKV01000010.1	CAJNCI010000001.1	90.4182	92.4950	0.1332	0.1537	0.36033	87.7052	13	0.9880	1	2.086	0.4746	91.7112	95.0032	1.3811	0.70	AlfI:91.95,AloI:91.53,BcgI:91.87,FalI:92.91	337	13	334	18	7.3076923076923075	INCONSISTENT	90.4182	gamma	92.4057
GCF_000374025.1__GCF_002056795.1	NZ_KB893172.1	NZ_CP020104.1	85.4533	87.5635	0.5531	0.5685	0.13379	NaN	61	0.9706	25	5.962	0.1758	87.2761	90.8372	0.8586	1.69	AlfI:87.70,AloI:87.32,BcgI:87.73,FalI:86.87	1173	61	5438	53	14.524590163934427	BELOW_DETECTION	85.4533	gamma	87.5096
GCF_013410355.1__GCF_000421565.1	NZ_JACCFI010000001.1	NZ_ATXG01000001.1	87.4927	89.5629	0.7492	0.7077	0.08715	86.7061	56	0.9733	55	4.344	0.2536	89.1736	92.7260	5.9589	33.07	AlfI:90.08,AloI:86.35,BcgI:89.43,FalI:92.31	2267	56	8838	229	36.839285714285715	ok	87.4927	gamma	89.3275
GCF_000308295.2__GCA_017308595.1	NZ_HG326652.1	JAFKER010000026.1	85.4578	87.7371	0.6128	0.6863	0.10976	NaN	34	0.9761	30	5.554	0.1760	87.4313	91.4099	0.8133	2.50	AlfI:88.23,AloI:87.42,BcgI:87.55,FalI:87.88	1376	34	7829	122	37	BELOW_DETECTION	85.4578	gamma	87.6223
GCF_005844325.1__GCA_905215755.1	NZ_SPFY01000010.1	CAJMRE010000001.1	95.1833	96.6689	0.7469	0.8206	0.06179	95.4986	101	0.9787	58	0.783	0.7738	95.5715	97.7285	1.3860	9.78	AlfI:96.39,AloI:97.78,BcgI:96.63,FalI:96.90	2873	101	3989	117	27.386138613861387	ok	95.1833	gamma	95.7197
GCF_002920615.1__GCF_003074055.1	NZ_PQSU01000001.1	NZ_CP029043.1	86.0247	89.1645	0.4435	0.5448	0.10170	85.4569	56	0.9893	16	3.258	0.2424	88.6781	93.1236	3.6861	27.34	AlfI:88.78,AloI:87.79,BcgI:89.24,FalI:91.48	2104	56	7145	107	27.392857142857142	ok	86.0247	gamma	88.8586
GCF_001590925.1__GCF_000422085.1	NZ_BCTU01000001.1	NC_021741.1	87.1685	89.4953	0.7356	0.7470	0.10227	87.0244	60	0.9878	18	3.930	0.2543	89.1001	92.7706	1.1656	3.31	AlfI:89.26,AloI:90.42,BcgI:89.48,FalI:89.87	1681	60	6545	96	25.216666666666665	ok	87.1685	gamma	89.2810
GCF_002204185.1__GCF_017357245.1	NZ_MXPU01000001.1	NZ_CP071612.1	91.5262	92.1500	0.8257	0.8537	0.05621	89.5532	65	0.9938	32	6.507	0.4165	91.8131	93.5733	0.8185	4.13	AlfI:92.17,AloI:91.42,BcgI:92.24,FalI:91.80	5493	65	13129	479	79.98461538461538	ok	91.5262	gamma	91.9163
GCF_004362445.1__GCF_000745735.1	NZ_SNXH01000011.1	NZ_KN050733.1	84.8891	87.0933	0.4806	0.4602	0.10563	NaN	26	0.9863	19	6.320	0.1542	86.8278	90.6913	0.8571	0.97	AlfI:87.09,AloI:86.31,BcgI:87.17,FalI:87.04	1652	26	9521	224	53.57692307692308	BELOW_DETECTION	84.8891	gamma	87.0109
GCF_900624995.1__GCF_014207255.1	NZ_UYXQ01000001.1	NZ_JACHCZ010000001.1	89.7340	91.1924	0.6685	0.5950	0.07766	88.0294	111	0.9944	14	4.046	0.3527	90.7624	93.5344	1.0856	3.75	AlfI:91.10,AloI:92.19,BcgI:91.14,FalI:91.18	2952	111	8314	182	23.44144144144144	ok	89.7340	gamma	90.9028
GCA_900549755.1__GCA_905193585.1	URPQ01000001.1	CAJJPG010000001.1	96.2408	96.9993	0.3348	0.3439	0.11707	94.0578	81	0.9652	20	1.140	0.8024	96.2174	97.6288	0.6164	0.64	AlfI:96.98,AloI:97.47,BcgI:96.86,FalI:97.12	1042	81	972	32	7.839506172839506	ok	96.2408	gamma	96.5152
GCF_013372625.1__GCF_001552195.1	NZ_JABXFD010000561.1	NZ_BCQS01000001.1	93.3189	94.4373	0.6428	0.6423	0.05345	91.9691	358	0.9947	23	2.239	0.5922	93.7286	95.9109	0.6032	2.69	AlfI:94.17,AloI:94.36,BcgI:94.51,FalI:94.77	5609	358	9561	65	13.083798882681565	ok	93.3189	gamma	93.8362
GCF_000955745.1__GCF_000955725.1	NZ_LACO01000001.1	NZ_LACM01000001.1	89.3056	92.4642	0.1429	0.1317	0.33263	87.5079	16	0.9108	14	1.520	0.4718	91.5064	95.3990	2.2692	0.76	AlfI:92.71,AloI:91.07,BcgI:93.34,FalI:92.21	379	16	397	32	9.9375	INCONSISTENT	89.3056	gamma	92.1495
GCF_003857035.1__GCF_900090295.1	NZ_QGSY01000074.1	NZ_LT607753.1	87.9669	90.1641	0.3221	0.3696	0.12364	86.0711	76	0.9987	1	3.601	0.2909	89.7080	93.3925	3.2647	19.25	AlfI:90.12,AloI:89.97,BcgI:89.86,FalI:93.13	1566	76	3997	45	10.921052631578947	ok	87.9669	gamma	89.9289
GCF_000833605.1__GCF_001187595.1	NZ_JXTG01000001.1	NZ_CP012152.1	94.7553	95.4276	0.7986	0.8514	0.08269	94.4283	41	0.9959	8	2.444	0.6790	94.8036	96.3641	0.9957	10.06	AlfI:95.14,AloI:95.26,BcgI:95.16,FalI:96.14	2180	41	3155	312	48.146341463414636	ok	94.7553	gamma	94.9817
GCF_003265345.1__GCF_001701025.1	NZ_QFWW01000055.1	NZ_CP016793.1	85.9786	90.0629	0.6110	0.6124	0.06388	85.5220	85	0.9869	50	2.239	0.2855	89.4121	94.2827	1.2122	5.00	AlfI:90.09,AloI:89.75,BcgI:90.03,FalI:90.96	4562	85	15475	267	45.23529411764706	ok	85.9786	gamma	89.5268
GCF_014650435.1__GCA_000696115.1	NZ_BMUY01000001.1	JJOH01000001.1	87.8712	90.2775	0.4499	0.4609	0.09230	86.3488	90	0.9637	69	3.258	0.2992	89.7784	93.5501	2.7878	20.89	AlfI:89.91,AloI:89.55,BcgI:90.24,FalI:92.34	2493	90	7059	104	21.366666666666667	ok	87.8712	gamma	89.9438
GCF_000159035.1__GCF_013184985.2	NZ_DS999640.1	NZ_CP063418.1	86.1039	89.5766	0.8583	0.8496	0.14054	87.7553	16	0.9853	12	2.781	0.2589	89.0514	93.7880	3.3688	22.04	AlfI:88.83,AloI:91.30,BcgI:89.24,FalI:92.20	900	16	3460	232	51.25	ok	86.1039	gamma	89.3016
GCF_006442205.1__GCF_019091085.1	NZ_VFVR01000001.1	NZ_JAGXJY010000001.1	87.2454	88.9793	0.6045	0.5674	0.09154	85.7064	83	0.9658	64	5.554	0.2300	88.6480	91.9122	1.4686	4.58	AlfI:89.13,AloI:87.66,BcgI:89.10,FalI:88.51	2280	83	8917	255	22.795180722891565	ok	87.2454	gamma	88.8089
GCF_009720255.1__GCF_004216665.1	NZ_WJSP02000001.1	NZ_SGWY01000001.1	89.6918	90.9759	0.4016	0.4965	0.10295	87.3803	131	1.0000	0	4.741	0.3354	90.5939	93.2826	3.1257	17.95	AlfI:91.21,AloI:90.50,BcgI:90.74,FalI:93.63	1904	131	4888	34	7.900763358778626	ok	89.6918	gamma	90.7789
GCA_003522945.1__GCA_002404605.1	DPHR01000023.1	DHKA01000069.1	93.4230	94.2785	0.6038	0.5127	0.10901	91.8345	124	0.9800	20	2.948	0.5820	93.6642	95.5875	0.9412	2.06	AlfI:94.64,AloI:93.70,BcgI:94.28,FalI:93.93	1417	124	2356	24	8.919354838709678	ok	93.4230	gamma	93.8825
GCF_000341065.1__GCA_002529455.1	NZ_ANAX01000001.1	NYMS01000001.1	91.8892	93.3250	0.6167	0.6290	0.08113	90.7502	177	0.9921	16	2.516	0.5053	92.6091	95.3213	3.9940	42.58	AlfI:93.69,AloI:91.31,BcgI:93.42,FalI:95.31	2812	177	5270	63	12.310734463276836	ok	91.8892	gamma	92.7654
GCA_003216835.1__GCF_000759955.1	QCIF01000001.1	NZ_JNAL01000001.1	84.3063	86.9739	0.3570	0.3461	0.49045	NaN	7	0.9841	1	4.800	0.1866	86.6401	91.0549	3.5668	1.22	AlfI:85.85,AloI:83.99,BcgI:85.99,FalI:87.55	127	7	452	22	9.857142857142858	BELOW_DETECTION	84.3063	gamma	87.5076
GCF_000518185.1__GCF_002022665.1	NZ_JADC01000009.1	NZ_CP019788.1	92.4634	93.2317	0.9368	0.9287	0.16306	92.5832	12	0.9968	2	4.046	0.5181	92.7510	94.6050	0.6595	0.42	AlfI:93.10,AloI:93.72,BcgI:93.06,FalI:93.31	685	12	1351	153	53.583333333333336	ok	92.4634	gamma	93.0674
GCA_902586885.1__GCA_902567635.1	CACIJG010000001.1	CACFNV010000001.1	95.1349	95.6017	0.3815	0.4622	0.18021	92.9066	40	0.9685	12	3.074	0.7025	95.0940	96.2534	0.8737	1.30	AlfI:95.65,AloI:95.15,BcgI:95.00,FalI:95.88	504	40	658	40	10.225	ok	95.1349	gamma	95.4968
GCF_017599305.1__GCF_014205165.1	NZ_JAGFWR010000001.1	NZ_JACHMZ010000001.1	87.4932	90.1145	0.5000	0.5112	0.10043	86.4855	72	0.9770	35	3.165	0.2885	89.5982	93.5816	1.9174	8.71	AlfI:90.54,AloI:89.73,BcgI:89.85,FalI:91.64	2201	72	6137	103	21.694444444444443	ok	87.4932	gamma	89.7780
GCA_900540685.1__GCF_004168205.1	UQGS01000001.1	NZ_RCYB01000001.1	94.5318	95.1238	0.5278	0.4395	0.14838	92.7807	71	0.9674	19	2.948	0.6723	94.5408	95.9592	1.5548	2.19	AlfI:95.69,AloI:95.69,BcgI:94.13,FalI:95.10	962	71	1127	25	8.929577464788732	ok	94.5318	gamma	94.8629
GCF_006175905.1__GCA_905221365.1	NZ_SSNB01000001.1	CAJNCX010000001.1	91.8683	93.3598	0.8098	0.7761	0.13609	91.9888	28	0.9730	25	2.239	0.5326	92.6111	95.2831	1.0406	2.38	AlfI:93.31,AloI:93.78,BcgI:92.74,FalI:93.59	1014	28	1966	106	33.17857142857143	ok	91.8683	gamma	92.8783
GCF_014207905.1__GCF_017352115.1	NZ_JACHLB010000001.1	NZ_CP071448.1	83.4967	87.8046	0.3502	0.3560	0.22944	85.0907	25	0.9518	16	2.948	0.2087	87.2959	92.5834	2.3849	3.99	AlfI:87.29,AloI:89.68,BcgI:87.61,FalI:87.51	550	25	1811	50	13.64	INCONSISTENT	87.8046	uniform_fallback	87.7039
GCA_900555515.1__GCA_900751755.1	USLO01000001.1	CAADSP010000001.1	95.0245	96.0505	0.6715	0.6285	0.07378	94.3572	197	0.9873	23	1.392	0.7242	95.1992	97.0720	0.5196	0.66	AlfI:96.15,AloI:95.69,BcgI:96.00,FalI:96.21	2316	197	3312	31	10.091370558375635	ok	95.0245	gamma	95.3651
GCA_003280515.1__GCA_003280935.1	QCER01000001.1	QCDJ01000001.1	95.0441	95.3029	0.6041	0.6713	0.16877	93.7092	37	0.9709	14	5.239	0.6842	95.0512	95.7053	2.1665	4.54	AlfI:93.52,AloI:94.59,BcgI:94.74,FalI:95.69	582	37	804	53	13.621621621621621	ok	95.0441	gamma	95.4202
GCA_005503055.1__GCF_016613475.2	SCOX01000010.1	NZ_CP071517.1	85.0035	88.2409	0.6070	0.6292	0.11819	NaN	48	0.9745	28	3.817	0.1953	87.8456	92.4454	2.6285	8.72	AlfI:88.59,AloI:87.33,BcgI:87.96,FalI:89.96	1297	48	6187	66	23.3125	BELOW_DETECTION	85.0035	gamma	88.0527
GCF_900101175.1__GCF_009832905.1	NZ_FNFQ01000016.1	NZ_CP047135.1	83.6888	87.9077	0.7466	0.7295	0.10378	NaN	33	0.9886	16	3.258	0.1818	87.4720	92.8449	2.2462	15.44	AlfI:88.31,AloI:88.65,BcgI:87.25,FalI:89.49	1568	33	8584	307	43.06060606060606	BELOW_DETECTION	87.9077	uniform_fallback	87.6537
GCF_018613195.1__GCF_018613235.1	NZ_JAGGQQ010000009.1	NZ_JAGGQP010000009.1	92.8524	94.0280	0.7624	0.7426	0.08135	92.3867	69	0.9815	44	2.374	0.5741	93.2917	95.6059	0.5005	1.66	AlfI:94.35,AloI:93.90,BcgI:94.06,FalI:93.85	3364	69	4676	197	34.84057971014493	ok	92.8524	gamma	93.4546
GCF_000737595.1__GCA_016779825.1	NZ_CP006271.1	JADHMX010000007.1	90.8452	91.4516	0.4180	0.6061	0.14950	88.4940	66	0.9126	65	7.720	0.3707	91.1521	92.9205	0.7809	0.92	AlfI:91.44,AloI:90.98,BcgI:91.63,FalI:90.85	833	66	2120	37	11.287878787878787	ok	90.8452	gamma	91.4239
GCF_018742245.1__GCF_001595725.1	NZ_CP036132.1	NZ_CP014282.1	87.9273	91.0658	0.7772	0.6414	0.11771	88.8458	9	0.9936	8	2.086	0.3760	90.2923	94.5192	1.2848	2.69	AlfI:90.96,AloI:90.03,BcgI:90.95,FalI:91.31	2368	9	3995	606	139.55555555555554	ok	87.9273	gamma	90.5101
GCF_001431425.1__GCA_002329155.1	NZ_LDJG01000001.1	DCXY01000048.1	86.3693	89.3933	0.4911	0.5089	0.12352	85.9181	71	0.9587	41	3.258	0.2485	88.9133	93.3189	3.5371	33.11	AlfI:90.47,AloI:89.06,BcgI:88.17,FalI:91.71	1337	71	4606	68	14.408450704225352	ok	86.3693	gamma	89.1324
GCF_001189235.2__GCA_001238275.1	NZ_LFIP02000001.1	LGTB01000001.1	92.7010	93.8551	0.8077	0.8091	0.04172	90.9036	131	0.9875	108	2.548	0.5439	93.2378	95.4417	1.0075	12.65	AlfI:93.92,AloI:93.69,BcgI:93.75,FalI:94.69	9154	131	17386	417	65.90839694656489	ok	92.7010	gamma	93.3190
GCF_003027925.1__GCF_902825405.1	NZ_PYPS01000096.1	NZ_CADEAU010000001.1	94.7878	95.1109	0.3114	0.3532	0.07307	91.9982	289	0.9093	227	5.089	0.6468	94.7467	95.7267	1.3408	6.08	AlfI:95.12,AloI:94.76,BcgI:95.06,FalI:96.10	4266	289	4189	36	8.878892733564014	ok	94.7878	gamma	94.8993
GCA_009379865.1__GCF_000802205.1	WHSX01000100.1	NZ_CP012850.1	91.9101	92.5251	0.2694	0.2661	0.26175	88.6551	16	1.0000	0	5.554	0.4726	92.1397	93.9081	3.0352	3.96	AlfI:91.15,AloI:94.18,BcgI:91.70,FalI:92.89	402	16	605	20	8.3125	ok	91.9101	gamma	92.6381
GCF_000717915.1__GCF_008704935.1	NZ_JOCX01000001.1	NZ_CP023692.1	94.4625	95.5764	0.8555	0.7825	0.04600	93.8294	84	0.9950	30	1.565	0.6852	94.7098	96.8107	1.5446	32.07	AlfI:95.34,AloI:95.30,BcgI:95.53,FalI:96.85	6295	84	9890	400	72.26190476190476	ok	94.4625	gamma	94.8093
GCF_003044565.1__GCF_017753665.1	NZ_POXG01000001.1	NZ_CP072524.1	96.5898	96.7706	0.3204	0.3593	0.08505	94.0095	188	0.8790	176	4.604	0.7807	96.4412	97.0569	1.7753	5.42	AlfI:96.96,AloI:97.35,BcgI:96.70,FalI:95.58	2284	188	1855	44	7.797872340425532	ok	96.5898	gamma	96.6484
GCF_002101775.1__GCF_002101585.1	NZ_LQPI01000001.1	NZ_LQOT01000001.1	88.1187	90.0533	0.7027	0.6903	0.10132	87.4082	73	0.9854	22	4.097	0.2827	89.6563	93.0523	2.4919	15.71	AlfI:90.37,AloI:90.75,BcgI:89.61,FalI:92.11	1741	73	6019	132	21.315068493150687	ok	88.1187	gamma	89.8363
GCF_015689195.1__GCF_019056595.1	NZ_CP065044.1	NZ_CP036163.1	88.3686	90.1749	0.8884	0.8787	0.09644	88.3306	11	0.9942	10	4.219	0.2918	89.7659	93.0534	1.0651	4.22	AlfI:89.90,AloI:90.83,BcgI:90.12,FalI:90.97	1869	11	6503	376	158.0909090909091	ok	88.3686	gamma	89.9378
GCA_902571015.1__GCA_902563075.1	CACGAC010000001.1	CACEWC010000001.1	94.7638	96.1739	0.3935	0.5583	0.26347	93.5305	17	0.9756	4	0.985	0.7476	95.1156	97.2544	1.4869	1.49	AlfI:96.69,AloI:97.31,BcgI:96.37,FalI:95.82	226	17	278	25	10.411764705882353	ok	94.7638	gamma	95.7423
GCF_004342125.1__GCF_018613605.1	NZ_SLYU01000001.1	NZ_JAGGPU010000009.1	87.3919	89.8794	0.3691	0.3433	0.17240	86.2354	39	0.9679	17	3.355	0.2909	89.3598	93.0833	2.3076	3.84	AlfI:90.43,AloI:88.12,BcgI:90.18,FalI:89.31	2125	39	2190	41	14.128205128205128	INCONSISTENT	87.3919	gamma	89.6710
GCF_007673525.1__GCF_001619875.1	NZ_VDZU01000010.1	NZ_LRFC01000001.1	81.2018	87.5891	0.4556	0.4490	0.20775	NaN	18	0.9666	13	2.239	0.1999	86.9557	93.2852	1.4775	1.72	AlfI:88.50,AloI:88.00,BcgI:87.03,FalI:87.56	904	18	2309	84	21.88888888888889	BELOW_DETECTION	87.5891	uniform_fallback	87.3268
GCA_018715295.1__GCA_002314265.1	DVLY01000055.1	DCEW01000057.1	95.4454	95.7382	0.7403	0.6874	0.09171	94.4431	142	0.9835	21	4.472	0.7001	95.3926	96.1787	0.4612	0.91	AlfI:95.68,AloI:95.64,BcgI:95.86,FalI:95.40	1630	142	2261	28	9.795774647887324	ok	95.4454	gamma	95.5946
GCF_002813575.1__GCA_015206945.1	NZ_CP024785.1	JADEXV010000067.1	92.9516	93.5021	0.0811	0.0988	0.19059	88.9514	53	0.8891	50	5.089	0.5320	93.0803	94.5872	2.2758	1.69	AlfI:93.42,AloI:91.63,BcgI:93.90,FalI:93.37	1922	53	913	28	8.566037735849056	INCONSISTENT	92.9516	gamma	93.4524
