pairid	ani_gated	breakpoint_count	synteny_score	dnadiff_blocks	dnadiff_breakpoints	dnadiff_large_indels	dnadiff_synteny_score	dnadiff_blocks_min10000	dnadiff_breakpoints_min10000	dnadiff_large_indels_min10000	dnadiff_blocks_min5000	dnadiff_breakpoints_min5000	dnadiff_large_indels_min5000	mm2_blocks	mm2_breakpoints	mm2_large_indels	mm2_synteny_score	mm2_status
GCA_003280515.1__GCA_003280935.1	95.0441	14	0.9709	112	80	61	0.2792792792792793	112	71	42	112	76	52	92	80	48	0.120879	ok
GCA_005503055.1__GCF_016613475.2	85.0035	28	0.9745	1165	100	955	0.9140893470790378	1165	97	92	1165	99	292	168	109	120	0.347305	ok
GCF_900101175.1__GCF_009832905.1	87.9077	16	0.9886	1309	68	960	0.9480122324159022	1309	64	101	1309	66	330	108	66	73	0.383178	ok
GCF_018613195.1__GCF_018613235.1	92.8524	44	0.9815	921	675	481	0.2663043478260869	921	662	440	921	669	461	200	152	118	0.236181	ok
GCF_000737595.1__GCA_016779825.1	90.8452	65	0.9126	217	170	97	0.2129629629629629	217	170	94	217	170	94	138	104	120	0.240876	ok
GCF_018742245.1__GCF_001595725.1	87.9273	8	0.9936	999	128	486	0.8717434869739479	999	119	108	999	123	176	125	65	102	0.475806	ok
GCF_001431425.1__GCA_002329155.1	86.3693	41	0.9587	1170	841	606	0.2805816937553465	1170	815	525	1170	833	562	271	209	137	0.225926	ok
GCF_001189235.2__GCA_001238275.1	92.701	108	0.9875	1610	1175	830	0.2697327532628962	1610	1169	785	1610	1172	802	244	197	130	0.1893	ok
GCF_003027925.1__GCF_902825405.1	94.7878	227	0.9093	1739	1304	863	0.2497123130034522	1739	1262	773	1739	1286	821	1259	1078	506	0.143084	ok
GCA_009379865.1__GCF_000802205.1	91.9101	0	1.0	830	307	555	0.6296743063932448	830	220	96	830	260	230	456	333	247	0.268132	ok
GCF_000717915.1__GCF_008704935.1	94.4625	30	0.995	1015	144	697	0.8579881656804733	1015	137	342	1015	138	497	194	130	112	0.326425	ok
GCF_003044565.1__GCF_017753665.1	96.5898	176	0.879	907	495	576	0.4536423841059602	907	485	308	907	492	358	1040	767	541	0.26179	ok
GCF_002101775.1__GCF_002101585.1	88.1187	22	0.9854	816	606	406	0.256441717791411	816	574	321	816	587	362	214	163	97	0.234742	ok
GCF_015689195.1__GCF_019056595.1	88.3686	10	0.9942	778	85	603	0.8906048906048906	778	82	308	778	83	459	24	9	21	0.608696	ok
GCA_902571015.1__GCA_902563075.1	94.7638	4	0.9756	85	62	42	0.2619047619047618	85	58	34	85	60	38	55	47	37	0.12963	ok
GCF_004342125.1__GCF_018613605.1	87.3919	17	0.9679	1364	936	710	0.3132795304475422	1364	924	649	1364	931	672	339	251	175	0.257396	ok
GCF_007673525.1__GCF_001619875.1	87.5891	13	0.9666	779	518	434	0.3341902313624678	779	513	334	779	514	360	144	71	109	0.503497	ok
GCA_018715295.1__GCA_002314265.1	95.4454	21	0.9835	366	249	178	0.3178082191780822	366	183	47	366	205	99	257	210	118	0.179688	ok
GCF_002813575.1__GCA_015206945.1	92.9516	50	0.8891	2979	2215	1522	0.2562122229684351	2979	2215	1515	2979	2215	1516	1953	1412	1322	0.276639	ok
GCA_902543575.1__GCA_902519255.1	95.9616	2	0.9925	90	50	54	0.4382022471910112	90	45	35	90	48	41	51	43	25	0.14	ok
GCF_009758125.1__GCF_900110995.1	90.9795	36	0.9832	998	466	563	0.5325977933801405	998	458	335	998	458	383	168	115	110	0.311377	ok
GCA_003216175.1__GCA_003284445.1	91.1125	9	0.9602	153	120	72	0.2105263157894736	153	115	59	153	117	65	105	78	54	0.25	ok
GCA_902564025.1__GCA_902533965.1	96.7072	4	0.9825	81	51	42	0.3625	81	48	26	81	48	29	58	52	29	0.087719	ok
GCF_003606265.1__GCF_002327185.1	90.1777	10	0.9603	575	51	380	0.911149825783972	575	48	86	575	50	156	144	68	109	0.524476	ok
GCA_900543615.1__GCA_018368345.1	94.2575	13	0.9938	412	277	199	0.3260340632603407	412	221	77	412	239	116	227	168	118	0.256637	ok
GCF_000425445.1__GCF_015351595.1	84.6164	12	0.9452	956	632	475	0.3382198952879581	956	628	415	956	631	427	172	100	113	0.415205	ok
GCA_014804355.1__GCA_014804365.1	94.5248	23	0.9865	676	476	321	0.2948148148148148	676	437	213	676	457	268	246	200	115	0.183673	ok
GCF_004022425.1__GCF_003075375.1	88.2351	10	0.9823	757	564	363	0.2539682539682539	757	505	234	757	536	302	307	233	174	0.238562	ok
GCF_002913945.1__GCF_003048835.2	90.9409	34	0.9412	321	94	238	0.70625	321	89	104	321	91	152	125	90	66	0.274194	ok
GCA_016870175.1__GCA_009693705.1	91.9888	2	0.9775	129	90	72	0.296875	129	75	40	129	80	51	96	74	50	0.221053	ok
GCF_003344345.1__GCA_018224395.1	91.465	6	0.9613	510	230	334	0.5481335952848723	510	188	58	510	202	135	843	547	445	0.350356	ok
GCF_900460065.1__GCF_016901035.1	94.4381	248	0.9441	1994	1490	956	0.2523833416959358	1994	1464	899	1994	1478	932	770	659	352	0.143043	ok
GCA_902636075.1__GCA_902608845.1	92.8502	7	0.953	85	56	46	0.3333333333333333	85	52	38	85	54	41	61	51	39	0.15	ok
GCA_002700095.1__GCF_017353515.1	88.6835	49	0.9441	1725	1228	862	0.2877030162412993	1725	1167	687	1725	1203	756	529	399	272	0.244318	ok
GCF_003236315.1__GCF_016863535.1	90.2002	12	0.991	1484	1052	680	0.2906271072151045	1484	885	319	1484	953	485	698	519	347	0.25538	ok
GCF_001438805.1__GCF_001434275.1	88.2404	0	1.0	416	306	199	0.2626506024096385	416	291	159	416	295	172	206	157	112	0.234146	ok
GCF_003591655.1__GCA_016463275.1	95.2867	250	0.9184	826	621	407	0.2472727272727273	826	608	382	826	614	396	519	487	267	0.059846	ok
GCF_011516925.1__GCF_002153655.1	86.3575	12	0.9789	487	324	263	0.3333333333333333	487	323	216	487	323	244	104	76	50	0.262136	ok
GCA_902593235.1__GCA_902559935.1	96.3573	5	0.9632	94	73	40	0.2150537634408602	94	66	26	94	68	29	71	59	48	0.157143	ok
GCA_003279585.1__GCA_003280265.1	89.5825	2	0.9847	138	93	70	0.3211678832116789	138	87	53	138	90	61	81	70	44	0.125	ok
GCF_001675165.1__GCF_001636845.1	95.0562	30	0.9772	1014	674	519	0.3346495557749259	1014	655	436	1014	661	456	427	318	212	0.253521	ok
GCF_900110755.1__GCF_003112535.1	90.3832	37	0.9891	2249	1545	1243	0.3127224199288256	2249	1473	1010	2249	1509	1102	488	368	237	0.244353	ok
GCF_003751785.1__GCF_017833035.1	87.7335	30	0.9793	1022	81	715	0.920666013712047	1022	80	105	1022	80	234	118	74	93	0.367521	ok
GCF_003732425.1__GCF_014236655.1	86.0862	52	0.9566	1159	815	632	0.2962003454231433	1159	811	594	1159	815	607	267	189	167	0.289474	ok
GCA_902604565.1__GCA_902569245.1	93.827	3	0.9776	72	54	28	0.2394366197183098	72	51	18	72	52	22	59	48	28	0.172414	ok
GCA_004283175.1__GCF_001467695.1	85.7225	3	0.9839	862	564	463	0.3449477351916377	862	530	327	862	547	393	252	179	156	0.286853	ok
GCF_017874765.1__GCF_017874735.1	93.8283	53	0.9905	1381	951	727	0.3108695652173913	1381	925	642	1381	939	673	226	169	111	0.248889	ok
GCF_009696325.1__GCA_902363875.1	91.8808	47	0.9712	455	332	234	0.2687224669603524	455	318	188	455	325	211	151	124	69	0.173333	ok
GCA_900552935.1__GCA_900544655.1	95.4817	66	0.9508	359	264	171	0.2625698324022346	359	224	102	359	243	137	235	210	115	0.102564	ok
GCA_902628635.1__GCA_902626575.1	93.655	3	0.9851	63	34	46	0.4516129032258065	63	30	35	63	31	37	34	29	12	0.121212	ok
GCA_018366035.1__GCA_018366195.1	89.2275	16	0.9807	316	211	151	0.3301587301587302	316	203	125	316	208	135	120	92	50	0.226891	ok
GCF_016650695.1__GCF_001307155.1	86.3355	59	0.9622	1330	152	1032	0.8856282919488337	1330	151	261	1330	152	584	458	341	251	0.253829	ok
GCA_905214525.1__GCA_900764955.1	96.3223	19	0.9772	135	90	65	0.3283582089552238	135	90	55	135	90	58	114	85	62	0.247788	ok
GCA_900473915.1__GCA_012103035.1	88.8563	12	0.9946	691	233	448	0.6623188405797101	691	227	238	691	231	320	90	61	58	0.314607	ok
GCF_014224155.1__GCA_000183865.1	92.3148	3	0.9979	1276	150	508	0.8823529411764706	1276	133	113	1276	137	180	23	16	9	0.272727	ok
GCF_018688155.1__GCF_018687675.1	88.2325	5	0.9926	138	6	80	0.9562043795620438	138	6	25	138	6	38	14	8	10	0.384615	ok
GCF_001590835.1__GCA_018966865.1	88.306	3	0.9913	950	114	753	0.8798735511064278	950	112	207	950	113	427	378	248	249	0.342175	ok
GCF_014204815.1__GCF_000023205.1	87.885	3	0.9946	772	47	742	0.9390402075226978	772	41	65	772	44	274	37	21	30	0.416667	ok
GCA_015523135.1__GCF_000025665.1	88.5663	0	1.0	275	140	192	0.4890510948905109	275	102	37	275	119	90	210	147	109	0.296651	ok
GCF_014170305.1__GCF_002902905.1	88.6226	43	0.9762	1580	168	786	0.8936035465484484	1580	158	198	1580	163	336	370	239	259	0.352304	ok
GCF_001908025.1__GCF_001277805.1	91.3129	35	0.9713	897	651	438	0.2734375	897	590	321	897	619	381	531	395	233	0.254717	ok
GCA_011620045.1__GCF_003228205.1	95.9329	6	0.9889	404	271	185	0.3275434243176178	404	188	13	404	206	57	374	295	163	0.209115	ok
GCF_003722075.1__GCF_001889405.1	92.7494	6	0.9931	233	26	226	0.8879310344827587	233	24	140	233	25	186	30	18	26	0.37931	ok
GCF_004785795.1__GCF_004137255.1	88.8416	29	0.976	1116	244	757	0.7811659192825112	1116	244	241	1116	244	407	127	49	121	0.611111	ok
GCF_004211955.1__GCF_003697165.2	91.7745	15	0.9942	519	60	351	0.8841698841698842	519	56	172	519	58	251	82	56	46	0.308642	ok
GCF_003097355.1__GCF_000374925.1	90.0835	32	0.9826	1013	599	568	0.4081027667984189	1013	586	421	1013	593	477	181	133	109	0.261111	ok
GCF_900098745.1__GCF_004102025.1	85.8079	24	0.9713	1086	104	892	0.904147465437788	1086	102	136	1086	102	388	239	145	139	0.390756	ok
GCF_002288635.1__GCA_001898335.1	92.6126	36	0.9802	362	239	184	0.3379501385041551	362	239	159	362	239	168	40	31	25	0.205128	ok
GCA_902527545.1__GCA_902518505.1	94.9573	7	0.9787	89	59	48	0.3295454545454546	89	55	31	89	56	37	55	46	29	0.148148	ok
GCF_006715165.1__GCF_006517815.1	85.3419	12	0.9903	756	33	370	0.9562913907284768	756	31	57	756	33	102	16	4	14	0.733333	ok
GCF_000701385.1__GCF_007833635.1	86.461	4	0.8824	184	4	169	0.9781420765027322	184	4	73	184	4	127	25	6	23	0.75	ok
GCF_013266735.1__GCF_000523515.1	86.0928	17	0.9602	817	573	410	0.2977941176470589	817	564	365	817	571	386	266	190	159	0.283019	ok
GCA_900553215.1__GCA_900541145.1	93.9061	4	0.9973	485	350	209	0.2768595041322313	485	256	23	485	285	70	360	279	172	0.222841	ok
GCA_000432135.1__GCA_902796245.1	94.1934	64	0.923	644	481	307	0.2519440124416796	644	413	187	644	445	241	560	459	232	0.178891	ok
GCF_003053665.1__GCF_001425045.1	91.4206	41	0.9923	1204	835	576	0.3059019118869492	1204	821	507	1204	827	539	136	91	69	0.325926	ok
GCF_008868175.1__GCF_900090275.1	88.6568	5	0.9939	1676	413	1204	0.7534328358208955	1676	352	254	1676	382	518	714	549	355	0.230014	ok
GCF_006442965.1__GCF_000185905.1	86.1825	38	0.9766	1663	206	1096	0.8760529482551143	1663	200	210	1663	205	422	303	215	179	0.288079	ok
GCA_003280885.1__GCA_003279115.1	92.8528	3	0.9868	102	70	54	0.306930693069307	102	62	34	102	66	43	73	62	43	0.138889	ok
GCF_014352935.1__GCF_004299785.2	87.9162	5	0.8571	436	134	344	0.6919540229885057	436	131	99	436	131	163	239	124	204	0.478992	ok
GCF_002550035.1__GCF_002550015.1	90.5474	48	0.9101	861	615	433	0.2848837209302325	861	601	361	861	605	375	547	393	330	0.28022	ok
GCA_902578115.1__GCA_902573065.1	94.3863	8	0.9521	63	42	35	0.3225806451612903	63	42	29	63	42	31	48	44	30	0.06383	ok
GCF_900157385.1__GCF_009741445.1	85.3317	25	0.977	1234	70	1032	0.943227899432279	1234	67	192	1234	69	531	224	124	174	0.443946	ok
GCA_003209565.1__GCA_902621675.1	93.0603	3	0.9876	100	65	53	0.3434343434343434	100	59	39	100	62	45	78	68	44	0.116883	ok
GCA_905210085.1__GCA_900768265.1	93.4796	21	0.9882	388	287	172	0.2583979328165374	388	257	99	388	271	130	182	141	91	0.220994	ok
GCF_900258035.1__GCA_001580565.1	93.6285	172	0.9765	900	677	429	0.2469410456062291	900	663	387	900	673	409	864	648	364	0.249131	ok
GCF_002288225.1__GCA_002284855.1	86.5902	2	0.993	195	2	194	0.9896907216494846	195	2	97	195	2	164	3	1	2	0.5	ok
GCA_003216725.1__GCA_000634515.1	88.6507	0	1.0	235	104	138	0.5555555555555556	235	90	65	235	98	95	135	73	58	0.455224	ok
GCF_012516395.1__GCF_001277295.1	95.1968	35	0.8694	2458	839	1501	0.6585266585266585	2458	817	602	2458	825	756	972	668	628	0.312049	ok
GCA_900550745.1__GCA_902373525.1	91.8311	1	0.9958	643	446	291	0.3052959501557633	643	309	22	643	337	78	411	320	194	0.219512	ok
GCF_002949795.1__GCA_015206945.1	93.8565	145	0.8956	2345	1773	1146	0.2436006825938567	2345	1773	1138	2345	1773	1138	914	659	596	0.278204	ok
GCA_015060115.1__GCA_017628735.1	92.6789	70	0.9413	551	426	262	0.2254545454545454	551	400	213	551	416	241	338	272	143	0.192878	ok
GCF_000020665.1__GCA_002363385.1	87.0145	14	0.989	1159	549	828	0.5259067357512953	1159	549	461	1159	549	569	84	35	75	0.578313	ok
GCA_902599625.1__GCA_902599605.1	93.5151	11	0.9599	73	49	32	0.3194444444444444	73	49	28	73	49	28	43	40	19	0.047619	ok
GCA_004298295.1__GCA_001771975.1	91.2341	3	0.9891	577	407	250	0.2934027777777778	577	307	42	577	339	105	401	318	166	0.205	ok
GCF_003636935.1__GCF_000448485.1	96.2564	46	0.9059	402	298	214	0.256857855361596	402	285	192	402	295	208	296	255	119	0.135593	ok
GCF_004403985.1__GCF_002929505.1	87.3352	27	0.9795	741	519	357	0.2986486486486486	741	513	314	741	515	322	219	155	114	0.288991	ok
GCF_006716065.1__GCF_000379065.1	88.5037	30	0.9812	1073	146	633	0.8638059701492538	1073	146	221	1073	146	355	131	73	85	0.438462	ok
GCA_005801025.1__GCA_009694465.1	94.041	1	0.997	283	212	128	0.2482269503546099	283	139	3	283	160	41	256	206	121	0.192157	ok
GCF_002741105.1__GCF_900115475.1	91.6072	34	0.9922	762	529	361	0.304862023653088	762	515	312	762	523	327	60	49	36	0.169492	ok
GCA_004020645.1__GCF_000359125.1	89.8202	61	0.9785	1638	1169	806	0.2858888210140501	1638	1145	716	1638	1157	764	528	403	271	0.235294	ok
GCF_002443155.1__GCF_003076515.1	90.8126	21	0.9915	462	18	301	0.9609544468546638	462	17	164	462	18	211	7	6	3	0.0	ok
GCF_001645105.1__GCF_014863585.1	85.3259	36	0.9622	1278	155	972	0.8786217697729053	1278	145	193	1278	154	466	367	258	197	0.295082	ok
GCF_002109325.1__GCF_002101375.1	88.1039	7	0.9871	513	45	257	0.912109375	513	42	61	513	44	104	20	7	17	0.631579	ok
GCF_016900095.1__GCA_905214345.1	89.6379	28	0.9659	595	434	292	0.2693602693602693	595	406	242	595	421	266	255	207	120	0.185039	ok
GCF_003148495.1__GCF_016756495.1	89.4067	50	0.9881	1514	187	972	0.8764044943820225	1514	178	307	1514	180	558	167	114	110	0.313253	ok
GCF_900474295.1__GCF_900473935.1	95.5203	17	0.9941	233	149	139	0.3577586206896551	233	136	87	233	141	104	100	75	59	0.242424	ok
GCA_003243515.1__GCF_016889405.1	93.3298	3	0.9983	258	55	186	0.7859922178988327	258	50	100	258	52	141	93	71	49	0.228261	ok
GCF_004745075.1__GCF_012844365.1	86.6877	9	0.9944	1165	59	768	0.9493127147766324	1165	54	92	1165	56	299	157	100	97	0.358974	ok
GCF_007858795.1__GCF_002156525.1	92.6312	70	0.9697	701	513	331	0.2671428571428571	701	499	302	701	505	315	301	250	135	0.166667	ok
GCF_004361695.1__GCF_018885305.1	84.9579	12	0.9878	1000	78	809	0.921921921921922	1000	77	106	1000	78	315	158	107	97	0.318471	ok
GCF_015767435.1__GCA_001873065.1	91.5757	2	0.9718	654	465	341	0.2879019908116386	654	450	306	654	460	322	234	182	123	0.218884	ok
GCF_003675385.1__GCF_003208075.1	86.1141	43	0.925	1482	1052	769	0.2896691424713031	1482	1049	727	1482	1051	742	395	245	217	0.378173	ok
GCF_018881505.1__GCF_018687755.1	86.5585	8	0.9638	210	9	173	0.9569377990430622	210	9	86	210	9	134	46	11	42	0.755556	ok
GCA_902609915.1__GCA_902523495.1	92.953	0	1.0	85	58	48	0.3095238095238095	85	52	28	85	55	37	61	57	24	0.05	ok
GCF_003634315.1__GCA_002423035.1	90.8425	113	0.9535	1307	946	607	0.2756508422664625	1307	945	587	1307	946	591	473	343	347	0.273305	ok
GCA_902615745.1__GCA_902613275.1	95.1114	7	0.9565	68	47	40	0.2985074626865671	68	44	34	68	45	36	40	31	21	0.205128	ok
GCF_014650815.1__GCF_000414115.1	92.8212	265	0.9419	2738	1984	1410	0.2751187431494336	2738	1968	1363	2738	1975	1387	920	740	443	0.194777	ok
GCF_012568645.1__GCF_012567955.1	88.983	4	0.9111	42	1	6	0.975609756097561	42	0	0	42	1	2	2	1	1	0.0	ok
GCF_007341385.1__GCF_015351595.1	88.0772	7	0.9648	970	644	488	0.3353973168214654	970	628	350	970	632	390	184	115	99	0.371585	ok
GCF_003610555.1__GCF_003202155.1	90.5075	25	0.9864	896	604	423	0.3251396648044693	896	601	339	896	601	363	62	46	41	0.245902	ok
GCF_002217795.2__GCA_019232735.1	90.3898	65	0.8502	745	570	375	0.2338709677419355	745	569	373	745	569	373	399	326	325	0.180905	ok
GCF_003751445.1__GCA_000720535.1	85.5795	63	0.9514	1861	1331	977	0.2844086021505376	1861	1331	940	1861	1331	952	481	278	382	0.420833	ok
GCA_001602925.1__GCA_013334655.1	90.5553	35	0.9014	613	463	301	0.2434640522875817	613	457	286	613	460	295	281	213	165	0.239286	ok
GCF_010091925.1__GCF_015206995.1	92.9598	53	0.9209	2347	1792	1145	0.2361466325660699	2347	1747	1051	2347	1770	1094	1081	832	509	0.22963	ok
GCF_009709555.1__GCF_002754715.1	87.9666	24	0.9866	2154	272	1596	0.873664653971203	2154	260	294	2154	263	689	625	454	317	0.272436	ok
GCA_002730445.1__GCA_002723045.1	90.192	0	1.0	62	47	32	0.2295081967213115	62	34	9	62	42	20	41	35	20	0.125	ok
GCA_009924455.1__GCA_903861575.1	92.8525	24	0.9694	707	520	329	0.263456090651558	707	392	97	707	440	178	508	420	223	0.171598	ok
