group	label	method	n	mae	med	bias	sd	r
phylum	Firmicutes_C	skani	290	0.8142	0.5850	-0.4233	0.9995	0.9702
phylum	Firmicutes_C	fastani	290	0.8944	0.5823	-0.8033	0.9321	0.9807
phylum	Halobacteriota	syn2bani_raw	600	1.6222	1.3081	1.2997	1.6235	0.7748
phylum	Halobacteriota	syn2bani_cal	584	0.5604	0.4787	-0.2060	0.7006	0.9648
phylum	Halobacteriota	skani	600	1.1041	0.6400	-0.8630	1.2308	0.9539
phylum	Halobacteriota	fastani	600	0.9321	0.7274	-0.6601	0.9997	0.9645
phylum	Proteobacteria	syn2bani_raw	14506	1.6431	1.2466	1.4408	1.7272	0.8544
phylum	Proteobacteria	syn2bani_cal	12786	0.6952	0.5822	-0.3287	0.8613	0.9604
phylum	Proteobacteria	skani	14555	1.0852	0.8800	-0.9930	0.9326	0.9808
phylum	Proteobacteria	fastani	14555	1.0955	0.9766	-1.0436	0.8760	0.9832
phylum	Spirochaetota	syn2bani_raw	382	1.7757	1.3478	1.4554	1.9960	0.8125
phylum	Spirochaetota	syn2bani_cal	303	0.6679	0.4844	0.4161	0.8605	0.9410
phylum	Spirochaetota	skani	382	0.7563	0.5100	-0.4303	0.9545	0.9608
phylum	Spirochaetota	fastani	382	0.9535	0.8367	-0.9254	0.7557	0.9798
phylum	Thermoplasmatota	syn2bani_raw	228	2.8279	2.3701	2.7964	1.7969	0.8452
phylum	Thermoplasmatota	syn2bani_cal	220	0.6626	0.5388	0.1572	0.8658	0.9679
phylum	Thermoplasmatota	skani	231	0.6923	0.5900	-0.4641	0.7114	0.9781
phylum	Thermoplasmatota	fastani	231	1.0388	0.9634	-1.0345	0.5827	0.9946
phylum	Thermoproteota	syn2bani_raw	284	3.4897	3.3617	3.4327	2.1315	0.7226
phylum	Thermoproteota	syn2bani_cal	276	0.7556	0.5642	0.0062	1.0587	0.9320
phylum	Thermoproteota	skani	304	0.7974	0.6600	-0.4861	0.8605	0.9677
phylum	Thermoproteota	fastani	304	1.2187	1.1781	-1.2098	0.7177	0.9823
phylum	Verrucomicrobiota	syn2bani_raw	358	2.6635	2.5232	2.6312	1.4644	0.8348
phylum	Verrucomicrobiota	syn2bani_cal	357	0.6095	0.4790	0.4043	0.6804	0.9660
phylum	Verrucomicrobiota	skani	358	0.8057	0.5700	-0.5854	0.9189	0.9610
phylum	Verrucomicrobiota	fastani	358	1.2723	1.1957	-1.2511	0.9413	0.9720
