pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCA_002279345.1__GCF_000701585.1	GCA_002279345.1	GCF_000701585.1	ok	45	222	0.01077	0.39110	1634	0	0.9847	3990	0.9468	4178	53	1695	false
GCA_002320115.1__GCA_014871775.1	GCA_002320115.1	GCA_014871775.1	ok	0	309	0.00000	0.46771	478	0	0.9930	705	0.6953	1022	11	637	false
GCA_002333025.1__GCA_002477715.1	GCA_002333025.1	GCA_002477715.1	ok	48	330	0.02178	0.48639	1072	0	0.8744	1893	0.8504	2204	5	1021	false
GCA_002335285.1__GCA_002786815.1	GCA_002335285.1	GCA_002786815.1	ok	2	296	0.00091	0.46308	1016	0	0.9556	1807	0.8600	2194	35	563	false
GCA_002352305.1__GCA_002393005.1	GCA_002352305.1	GCA_002393005.1	ok	9	202	0.00649	0.47296	656	0	0.9352	1126	0.8478	1387	3	551	false
GCA_002376145.1__GCA_002477085.1	GCA_002376145.1	GCA_002477085.1	ok	4	58	0.00303	0.46177	610	0	0.9730	1263	0.9560	1321	2	278	false
GCA_002392085.1__GCA_012840325.1	GCA_002392085.1	GCA_012840325.1	ok	13	215	0.00753	0.45191	780	0	0.9441	1369	0.8648	1726	16	713	false
GCA_002396445.1__GCA_002477705.1	GCA_002396445.1	GCA_002477705.1	ok	5	190	0.00166	0.45515	1375	0	0.9643	2809	0.9366	3021	29	1756	false
GCA_002419425.1__GCA_004138125.1	GCA_002419425.1	GCA_004138125.1	ok	8	69	0.00470	0.47297	805	0	0.9903	1638	0.9594	1702	25	496	false
GCA_002422665.1__GCA_019104985.1	GCA_002422665.1	GCA_019104985.1	ok	2	151	0.00409	0.47444	232	0	0.8587	243	0.6262	489	25	125	false
GCA_002483985.1__GCA_018372705.1	GCA_002483985.1	GCA_018372705.1	ok	8	347	0.00814	0.47813	470	0	0.9796	624	0.6408	983	3	279	false
GCA_002490885.1__GCA_900540065.1	GCA_002490885.1	GCA_900540065.1	ok	5	85	0.00266	0.49416	930	0	0.9671	1762	0.9540	1882	5	602	false
GCA_002496085.1__GCA_002507035.1	GCA_002496085.1	GCA_002507035.1	ok	6	163	0.00548	0.49177	538	0	0.9025	842	0.8402	1094	7	280	false
GCA_002684675.1__GCA_002690525.1	GCA_002684675.1	GCA_002690525.1	ok	3	79	0.00305	0.38821	382	0	0.9678	842	0.9143	984	117	230	false
GCA_002689755.1__GCA_011522785.1	GCA_002689755.1	GCA_011522785.1	ok	3	157	0.00267	0.47059	528	0	0.9333	854	0.8458	1122	25	315	false
GCA_002704555.1__GCA_003212435.1	GCA_002704555.1	GCA_003212435.1	ok	0	42	0.00000	0.36364	136	0	0.8920	289	0.8761	374	19	119	false
GCA_002706995.1__GCF_014334315.1	GCA_002706995.1	GCF_014334315.1	ok	24	129	0.00768	0.33397	1044	0	0.9977	3024	0.9588	3126	129	1215	false
GCA_002710335.1__GCA_003509725.1	GCA_002710335.1	GCA_003509725.1	ok	0	84	0.00000	0.46914	266	0	0.9608	417	0.8330	567	19	237	false
GCA_002710405.1__GCA_902635265.1	GCA_002710405.1	GCA_902635265.1	ok	1	13	0.00833	0.44167	53	0	0.8860	101	0.8870	120	3	24	false
GCA_002998695.1__GCA_900176625.1	GCA_002998695.1	GCA_900176625.1	ok	2	8	0.00236	0.17473	148	0	0.9953	842	0.9906	847	37	158	false
GCA_003216875.1__GCF_000015685.1	GCA_003216875.1	GCF_000015685.1	ok	4	43	0.00787	0.48819	248	0	1.0000	472	0.9159	508	7	109	false
GCA_003218855.1__GCA_003219305.1	GCA_003218855.1	GCA_003219305.1	ok	2	219	0.00136	0.48742	717	0	0.9498	1116	0.8371	1471	27	495	false
GCA_003219305.1__GCA_003219835.1	GCA_003219305.1	GCA_003219835.1	ok	2	241	0.00127	0.48066	758	0	0.9550	1209	0.8358	1577	25	579	false
GCA_003241705.1__GCA_009996505.1	GCA_003241705.1	GCA_009996505.1	ok	19	572	0.00458	0.49795	2065	0	0.9934	3590	0.8619	4147	114	1818	false
GCA_003241705.1__GCF_018403535.1	GCA_003241705.1	GCF_018403535.1	ok	21	577	0.00475	0.48224	2132	0	0.9964	3861	0.8694	4421	128	1870	false
GCA_003281865.1__GCA_902559135.1	GCA_003281865.1	GCA_902559135.1	ok	0	43	0.00000	0.43787	148	0	0.9316	286	0.8701	338	0	56	false
GCA_003316735.1__GCF_000585195.1	GCA_003316735.1	GCF_000585195.1	ok	0	9	0.00000	0.43367	255	0	0.9965	567	0.9844	588	19	101	false
GCA_003316735.1__GCF_000648635.1	GCA_003316735.1	GCF_000648635.1	ok	0	17	0.00000	0.31261	186	0	0.9810	569	0.9710	595	8	85	false
GCA_003445605.1__GCA_012521055.1	GCA_003445605.1	GCA_012521055.1	ok	1	113	0.00198	0.45257	229	0	0.7125	280	0.7366	506	16	215	false
GCA_003445875.1__GCF_000803025.1	GCA_003445875.1	GCF_000803025.1	ok	0	90	0.00000	0.41471	141	0	0.5372	130	0.6578	340	14	109	false
GCA_003446955.1__GCA_017528775.1	GCA_003446955.1	GCA_017528775.1	ok	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	false
GCA_003455175.1__GCA_902773985.1	GCA_003455175.1	GCA_902773985.1	ok	1	160	0.00109	0.47935	441	0	0.7962	664	0.8137	920	8	214	false
GCA_003483435.1__GCA_018265295.1	GCA_003483435.1	GCA_018265295.1	ok	4	172	0.00254	0.49714	783	0	0.9093	1353	0.8877	1575	16	639	false
GCA_003526165.1__GCF_900104195.1	GCA_003526165.1	GCF_900104195.1	ok	0	177	0.00000	0.41100	254	0	0.9857	414	0.7010	618	15	146	false
GCA_003535915.1__GCF_018618775.1	GCA_003535915.1	GCF_018618775.1	ok	3	14	0.00173	0.39701	690	0	0.9983	1721	0.9919	1738	8	410	false
GCA_003535915.1__GCF_018618835.1	GCA_003535915.1	GCF_018618835.1	ok	1	29	0.00060	0.35693	595	0	0.9855	1631	0.9825	1667	10	416	false
GCA_003537795.1__GCA_900544035.1	GCA_003537795.1	GCA_900544035.1	ok	2	31	0.00735	0.38971	106	0	0.9520	238	0.8839	272	4	64	false
GCA_004213165.1__GCF_001632025.1	GCA_004213165.1	GCF_001632025.1	ok	0	86	0.00000	0.46328	574	0	0.9948	1141	0.9300	1239	17	431	false
GCA_004214085.1__GCA_018647415.1	GCA_004214085.1	GCA_018647415.1	ok	0	33	0.00000	0.33113	100	0	0.9850	262	0.8885	302	0	52	false
GCA_004214085.1__GCA_018655425.1	GCA_004214085.1	GCA_018655425.1	ok	0	35	0.00000	0.32441	97	0	0.9583	253	0.8797	299	0	52	false
GCA_004376705.1__GCA_019057855.1	GCA_004376705.1	GCA_019057855.1	ok	0	109	0.00000	0.46923	244	0	0.7346	263	0.7322	520	4	104	false
GCA_004553245.1__GCA_905211025.1	GCA_004553245.1	GCA_905211025.1	ok	15	128	0.01105	0.44952	610	0	0.9556	1227	0.9046	1357	36	509	false
GCA_004557765.1__GCA_905203325.1	GCA_004557765.1	GCA_905203325.1	ok	0	141	0.00000	0.49117	445	0	0.9594	733	0.8390	906	16	264	false
GCA_004560015.1__GCA_015655785.1	GCA_004560015.1	GCA_015655785.1	ok	13	141	0.01764	0.38942	287	0	0.8133	588	0.8084	737	21	265	false
GCA_004563465.1__GCA_018916745.1	GCA_004563465.1	GCA_018916745.1	ok	10	155	0.01572	0.46855	298	0	0.8594	379	0.7151	636	17	203	false
GCA_007096815.1__GCF_014218765.1	GCA_007096815.1	GCF_014218765.1	ok	124	477	0.10000	0.46694	579	0	0.8746	872	0.6175	1240	101	275	false
GCA_007122115.1__GCF_000337715.1	GCA_007122115.1	GCF_000337715.1	ok	8	383	0.00474	0.49882	842	0	0.7474	1225	0.7696	1688	38	875	false
GCA_007845265.1__GCA_015257495.1	GCA_007845265.1	GCA_015257495.1	ok	1	34	0.00360	0.29496	82	0	0.9840	246	0.8781	278	3	53	false
GCA_007845345.1__GCA_015257495.1	GCA_007845345.1	GCA_015257495.1	ok	1	48	0.00441	0.35683	81	0	0.7668	171	0.7867	227	4	49	false
GCA_008033035.1__GCF_009740305.1	GCA_008033035.1	GCF_009740305.1	ok	7	38	0.01728	0.34568	140	0	0.9307	376	0.9071	405	32	87	false
GCA_008662055.1__GCF_003428235.1	GCA_008662055.1	GCF_003428235.1	ok	5	224	0.00293	0.48183	822	0	1.0000	1488	0.8688	1706	30	805	false
GCA_009711595.1__GCA_017751145.1	GCA_009711595.1	GCA_017751145.1	ok	11	62	0.01370	0.28020	225	0	0.9476	760	0.9238	803	52	92	false
GCA_009835815.1__GCA_011523455.1	GCA_009835815.1	GCA_011523455.1	ok	6	267	0.00204	0.47928	1411	0	0.9363	2352	0.8995	2944	110	1094	false
GCA_009837505.1__GCA_009839875.1	GCA_009837505.1	GCA_009839875.1	ok	1	229	0.00075	0.48872	650	0	0.8344	952	0.8114	1330	72	664	false
GCA_009838445.1__GCA_009840025.1	GCA_009838445.1	GCA_009840025.1	ok	5	249	0.00265	0.48834	921	0	0.9643	1566	0.8630	1886	29	715	false
GCA_009842195.1__GCA_009844335.1	GCA_009842195.1	GCA_009844335.1	ok	4	215	0.00216	0.46890	867	0	0.9053	1511	0.8769	1849	4	477	false
GCA_009996505.1__GCF_018403535.1	GCA_009996505.1	GCF_018403535.1	ok	14	94	0.00301	0.47282	2201	0	0.9935	4579	0.9798	4655	46	1876	false
GCA_012843005.1__GCA_018432545.1	GCA_012843005.1	GCA_018432545.1	ok	2	148	0.00181	0.48235	533	0	0.9711	941	0.8641	1105	30	269	false
GCA_013139715.1__GCA_013374455.1	GCA_013139715.1	GCA_013374455.1	ok	1	110	0.00212	0.49894	235	0	0.5467	193	0.6970	471	40	165	false
GCA_013139715.1__GCA_013374465.1	GCA_013139715.1	GCA_013374465.1	ok	2	77	0.00532	0.46277	174	0	0.5412	138	0.7116	376	33	140	false
GCA_013333095.2__GCA_015263645.1	GCA_013333095.2	GCA_015263645.1	ok	0	113	0.00000	0.48284	422	0	0.9554	728	0.8663	874	4	203	false
GCA_014803995.1__GCA_014804015.1	GCA_014803995.1	GCA_014804015.1	ok	37	107	0.02759	0.41834	561	0	0.9931	1297	0.9217	1341	211	500	false
GCA_014847535.1__GCA_900066535.1	GCA_014847535.1	GCA_900066535.1	ok	10	259	0.00847	0.49746	587	0	0.7649	872	0.7771	1180	108	348	false
GCA_014865025.1__GCA_905215165.1	GCA_014865025.1	GCA_905215165.1	ok	2	218	0.00188	0.49247	523	0	0.7633	761	0.7871	1062	6	200	false
GCA_014872635.1__GCA_018370735.1	GCA_014872635.1	GCA_018370735.1	ok	3	166	0.00325	0.47397	437	0	0.8060	702	0.8149	922	12	249	false
GCA_015259595.1__GCA_905372995.1	GCA_015259595.1	GCA_905372995.1	ok	0	125	0.00000	0.49070	501	0	0.9517	847	0.8723	1021	4	182	false
GCA_015295965.1__GCF_016919485.1	GCA_015295965.1	GCF_016919485.1	ok	80	528	0.02705	0.43727	1293	0	0.8559	2530	0.8252	2957	104	1021	false
GCA_015659075.1__GCA_910595815.1	GCA_015659075.1	GCA_910595815.1	ok	0	62	0.00000	0.45679	222	0	0.9493	393	0.8640	486	6	70	false
GCA_015661595.1__GCF_004209405.1	GCA_015661595.1	GCF_004209405.1	ok	0	66	0.00000	0.46366	689	0	0.9762	1396	0.9549	1486	14	351	false
GCA_015762695.1__GCA_015762725.1	GCA_015762695.1	GCA_015762725.1	ok	5	244	0.00278	0.11457	206	0	0.9928	1517	0.8611	1798	27	649	false
GCA_015999485.1__GCF_014269035.2	GCA_015999485.1	GCF_014269035.2	ok	24	87	0.00490	0.29473	1443	0	0.9920	4856	0.9823	4896	142	2250	false
GCA_016284805.1__GCA_902778395.1	GCA_016284805.1	GCA_902778395.1	ok	3	245	0.00288	0.48322	504	0	0.7265	635	0.7380	1043	50	314	false
GCA_016285435.1__GCA_017475125.1	GCA_016285435.1	GCA_017475125.1	ok	20	476	0.00581	0.48925	1684	0	0.9388	2809	0.8554	3442	141	1247	false
GCA_016287345.1__GCA_017527275.1	GCA_016287345.1	GCA_017527275.1	ok	19	107	0.01263	0.44282	666	0	0.9923	1421	0.9291	1504	27	486	false
GCA_016702805.1__GCA_016705825.1	GCA_016702805.1	GCA_016705825.1	ok	112	263	0.02604	0.41920	1803	0	0.9960	4244	0.9402	4301	321	1901	false
GCA_016780855.1__GCA_902539465.1	GCA_016780855.1	GCA_902539465.1	ok	3	85	0.00329	0.48189	439	0	0.9228	777	0.9027	911	9	439	false
GCA_016887665.1__GCF_007679725.1	GCA_016887665.1	GCF_007679725.1	ok	10	70	0.00426	0.47528	1115	0	0.9978	2281	0.9701	2346	27	1027	false
GCA_016887665.1__GCF_015143645.1	GCA_016887665.1	GCF_015143645.1	ok	11	77	0.00478	0.43913	1010	0	0.9807	2230	0.9665	2300	34	967	false
GCA_017388425.1__GCA_902773315.1	GCA_017388425.1	GCA_902773315.1	ok	0	246	0.00000	0.49782	570	0	0.7730	688	0.7518	1145	30	369	false
GCA_017394725.1__GCA_902778865.1	GCA_017394725.1	GCA_902778865.1	ok	5	96	0.00358	0.47350	661	0	0.9667	1279	0.9300	1396	37	409	false
GCA_017400085.1__GCA_017452065.1	GCA_017400085.1	GCA_017452065.1	ok	5	217	0.00353	0.45589	646	0	0.8288	1147	0.8444	1417	30	450	false
GCA_017413135.1__GCA_902756035.1	GCA_017413135.1	GCA_902756035.1	ok	13	105	0.00788	0.42753	705	0	0.9904	1551	0.9362	1649	23	520	false
GCA_017427085.1__GCA_017429405.1	GCA_017427085.1	GCA_017429405.1	ok	7	163	0.00346	0.48047	972	0	0.9968	1849	0.9187	2023	96	742	false
GCA_017437245.1__GCA_017505835.1	GCA_017437245.1	GCA_017505835.1	ok	5	167	0.00489	0.46477	475	0	0.8517	787	0.8291	1022	24	328	false
GCA_017445735.1__GCA_902762425.1	GCA_017445735.1	GCA_902762425.1	ok	3	243	0.00306	0.47347	464	0	0.6947	635	0.7376	980	20	318	false
GCA_017452065.1__GCA_017517885.1	GCA_017452065.1	GCA_017517885.1	ok	2	215	0.00165	0.49218	598	0	0.8453	880	0.8097	1215	17	385	false
GCA_017460465.1__GCA_017470205.1	GCA_017460465.1	GCA_017470205.1	ok	1	80	0.00108	0.50000	461	0	0.9474	774	0.9070	922	10	287	false
GCA_017480725.1__GCA_017635005.1	GCA_017480725.1	GCA_017635005.1	ok	0	111	0.00000	0.40186	606	0	0.9311	1365	0.9252	1508	176	386	false
GCA_017518545.1__GCA_902803705.1	GCA_017518545.1	GCA_902803705.1	ok	0	206	0.00000	0.47777	462	0	0.7731	552	0.7441	967	15	335	false
GCA_017531355.1__GCA_902774955.1	GCA_017531355.1	GCA_902774955.1	ok	11	302	0.00525	0.46374	972	0	0.8548	1737	0.8535	2096	35	985	false
GCA_017540405.1__GCA_902780895.1	GCA_017540405.1	GCA_902780895.1	ok	0	44	0.00000	0.38032	545	0	0.9978	1381	0.9691	1433	9	614	false
GCA_017743455.1__GCA_017743655.1	GCA_017743455.1	GCA_017743655.1	ok	16	297	0.00638	0.47805	1198	0	0.9373	1885	0.8657	2506	61	809	false
GCA_017854185.1__GCA_018667975.1	GCA_017854185.1	GCA_018667975.1	ok	0	183	0.00000	0.48600	243	0	0.4690	212	0.5978	500	16	95	false
GCA_017854335.1__GCA_018667975.1	GCA_017854335.1	GCA_018667975.1	ok	0	160	0.00000	0.49901	252	0	0.5135	209	0.6226	505	14	94	false
GCA_017958655.1__GCA_900321615.1	GCA_017958655.1	GCA_900321615.1	ok	0	128	0.00000	0.46688	296	0	0.7346	357	0.7571	634	19	309	false
GCA_017960495.1__GCA_017963185.1	GCA_017960495.1	GCA_017963185.1	ok	2	183	0.00246	0.49569	403	0	0.8101	499	0.7423	813	30	258	false
GCA_017983885.1__GCA_018241285.1	GCA_017983885.1	GCA_018241285.1	ok	12	275	0.00259	0.48792	2262	0	0.9932	4374	0.9407	4636	59	2023	false
GCA_018056875.1__GCA_018434395.1	GCA_018056875.1	GCA_018434395.1	ok	2	88	0.00312	0.47508	305	0	0.9472	538	0.8599	642	15	157	false
GCA_018265115.1__GCA_905209055.1	GCA_018265115.1	GCA_905209055.1	ok	22	121	0.01326	0.42978	713	0	0.9582	1559	0.9272	1659	14	906	false
GCA_018370735.1__GCA_905212425.1	GCA_018370735.1	GCA_905212425.1	ok	3	81	0.00307	0.44729	437	0	0.9631	887	0.9161	977	3	248	false
GCA_018374455.1__GCF_001053035.1	GCA_018374455.1	GCF_001053035.1	ok	3	30	0.00361	0.43029	358	0	0.9764	785	0.9631	832	11	190	false
GCA_018374935.1__GCA_018379525.1	GCA_018374935.1	GCA_018379525.1	ok	8	98	0.00480	0.46699	778	0	0.9780	1559	0.9406	1666	19	494	false
GCA_018378165.1__GCF_003992235.1	GCA_018378165.1	GCF_003992235.1	ok	3	28	0.00461	0.39017	254	0	0.9984	623	0.9568	651	4	90	false
GCA_018381885.1__GCF_001055885.1	GCA_018381885.1	GCF_001055885.1	ok	2	43	0.00332	0.29685	179	0	0.9387	551	0.9275	603	12	140	false
GCA_018433115.1__GCF_000213235.1	GCA_018433115.1	GCF_000213235.1	ok	1	173	0.00109	0.38913	358	0	0.7922	728	0.8122	920	26	197	false
GCA_018802285.1__GCF_015555385.1	GCA_018802285.1	GCF_015555385.1	ok	12	74	0.01028	0.29392	343	0	0.9554	1114	0.9371	1167	19	242	false
GCA_018970745.1__GCA_903885105.1	GCA_018970745.1	GCA_903885105.1	ok	2	410	0.00098	0.48110	980	0	0.7674	1485	0.7918	2037	57	978	false
GCA_019104985.1__GCF_001747495.1	GCA_019104985.1	GCF_001747495.1	ok	0	196	0.00000	0.49398	287	0	0.9809	359	0.6475	581	5	138	false
GCA_019113725.1__GCA_900554045.1	GCA_019113725.1	GCA_900554045.1	ok	15	216	0.00971	0.49385	763	0	0.8747	1299	0.8579	1545	39	1461	false
GCA_019113725.1__GCA_900753105.1	GCA_019113725.1	GCA_900753105.1	ok	12	297	0.00694	0.46301	801	0	0.9082	1336	0.8192	1730	41	1540	false
GCA_019115645.1__GCA_900754825.1	GCA_019115645.1	GCA_900754825.1	ok	10	149	0.01242	0.49193	396	0	0.9803	646	0.8104	805	9	181	false
GCA_019115645.1__GCA_905204375.1	GCA_019115645.1	GCA_905204375.1	ok	8	110	0.01108	0.40166	290	0	0.8475	578	0.8424	722	5	178	false
GCA_900299445.1__GCF_000350125.1	GCA_900299445.1	GCF_000350125.1	ok	0	267	0.00000	0.42265	265	0	0.9688	342	0.5623	627	0	66	false
GCA_900321465.1__GCA_902760985.1	GCA_900321465.1	GCA_902760985.1	ok	6	175	0.00293	0.46657	956	0	0.9925	1852	0.9135	2049	30	769	false
GCA_900467455.1__GCA_900470735.1	GCA_900467455.1	GCA_900470735.1	ok	10	47	0.00313	0.45019	1437	0	0.9940	3143	0.9852	3192	12	921	false
GCA_900471525.1__GCA_900473675.1	GCA_900471525.1	GCA_900473675.1	ok	53	184	0.01216	0.43782	1908	0	0.9904	4248	0.9580	4358	35	2594	false
GCA_900472885.1__GCF_001424085.1	GCA_900472885.1	GCF_001424085.1	ok	14	97	0.00217	0.42114	2721	0	0.9962	6367	0.9850	6461	31	2654	false
GCA_900539085.1__GCA_900756475.1	GCA_900539085.1	GCA_900756475.1	ok	2	75	0.00169	0.37257	440	0	0.9964	1104	0.9363	1181	3	440	false
GCA_900539085.1__GCA_905198335.1	GCA_900539085.1	GCA_905198335.1	ok	0	10	0.00000	0.11755	142	0	0.9967	1192	0.9917	1208	3	445	false
GCA_900540325.1__GCA_905211165.1	GCA_900540325.1	GCA_905211165.1	ok	5	78	0.00543	0.45109	415	0	0.9794	807	0.9121	920	7	291	false
GCA_900540445.1__GCA_905201945.1	GCA_900540445.1	GCA_905201945.1	ok	7	87	0.00564	0.45089	560	0	0.9966	1159	0.9298	1242	8	466	false
GCA_900541005.1__GCA_900763105.1	GCA_900541005.1	GCA_900763105.1	ok	3	141	0.00192	0.48430	756	0	0.9345	1399	0.9087	1561	19	751	false
GCA_900550655.1__GCA_905206645.1	GCA_900550655.1	GCA_905206645.1	ok	5	35	0.01779	0.40569	114	0	0.9403	252	0.8759	281	2	40	false
GCA_900554055.1__GCA_905211945.1	GCA_900554055.1	GCA_905211945.1	ok	4	91	0.01527	0.41603	109	0	0.5350	107	0.5826	262	3	37	false
GCA_900557325.1__GCF_015560245.1	GCA_900557325.1	GCF_015560245.1	ok	3	167	0.00452	0.44578	296	0	0.7119	467	0.7462	664	7	169	false
GCA_900557325.1__GCF_016642415.1	GCA_900557325.1	GCF_016642415.1	ok	2	164	0.00294	0.49192	335	0	0.9961	508	0.7552	681	6	165	false
GCA_900600405.1__GCF_014841705.1	GCA_900600405.1	GCF_014841705.1	ok	6	31	0.00152	0.27524	1085	0	0.9969	3916	0.9921	3942	14	1848	false
GCA_900758725.1__GCA_905204055.1	GCA_900758725.1	GCA_905204055.1	ok	4	148	0.00279	0.49025	704	0	0.9663	1203	0.8906	1436	5	722	false
GCA_900760895.1__GCA_905204055.1	GCA_900760895.1	GCA_905204055.1	ok	4	181	0.00277	0.47787	691	0	0.8888	1119	0.8635	1446	8	668	false
GCA_900762545.1__GCA_905207685.1	GCA_900762545.1	GCA_905207685.1	ok	19	110	0.02503	0.47694	362	0	0.9088	648	0.8529	759	48	481	false
GCA_900766445.1__GCA_905213715.1	GCA_900766445.1	GCA_905213715.1	ok	0	93	0.00000	0.43478	210	0	0.7809	310	0.7827	483	0	117	false
GCA_900767575.1__GCA_905211815.1	GCA_900767575.1	GCA_905211815.1	ok	5	54	0.00933	0.39552	212	0	0.9168	485	0.8991	536	4	99	false
GCA_900770465.1__GCA_905195055.1	GCA_900770465.1	GCA_905195055.1	ok	0	134	0.00000	0.49240	162	0	0.9586	162	0.5503	329	4	45	false
GCA_900772515.1__GCA_905209655.1	GCA_900772515.1	GCA_905209655.1	ok	8	197	0.00698	0.47731	547	0	0.8512	835	0.8133	1146	13	475	false
GCA_902515425.1__GCA_902521885.1	GCA_902515425.1	GCA_902521885.1	ok	0	22	0.00000	0.42021	79	0	0.9157	152	0.8757	188	1	24	false
GCA_902515425.1__GCA_902555725.1	GCA_902515425.1	GCA_902555725.1	ok	0	27	0.00000	0.25229	55	0	0.9055	182	0.8726	218	1	30	false
GCA_902515955.1__GCA_902603005.1	GCA_902515955.1	GCA_902603005.1	ok	1	30	0.00279	0.42618	153	0	0.9644	325	0.9155	359	0	71	false
GCA_902515955.1__GCA_902604595.1	GCA_902515955.1	GCA_902604595.1	ok	2	35	0.00581	0.28488	98	0	0.9620	304	0.8964	344	0	60	false
GCA_902518535.1__GCA_902521885.1	GCA_902518535.1	GCA_902521885.1	ok	0	20	0.00000	0.41975	68	0	0.9764	124	0.8621	162	0	17	false
GCA_902533225.1__GCA_902548635.1	GCA_902533225.1	GCA_902548635.1	ok	0	48	0.00000	0.40841	136	0	0.9435	267	0.8476	333	1	59	false
GCA_902541505.1__GCA_902579505.1	GCA_902541505.1	GCA_902579505.1	ok	2	35	0.00957	0.38756	81	0	0.8677	164	0.8250	209	0	18	false
GCA_902547785.1__GCA_902612225.1	GCA_902547785.1	GCA_902612225.1	ok	2	25	0.01626	0.26016	32	0	0.8491	90	0.7863	123	0	23	false
GCA_902550055.1__GCA_902556295.1	GCA_902550055.1	GCA_902556295.1	ok	0	23	0.00000	0.46018	52	0	0.9277	77	0.7745	113	0	22	false
GCA_902561665.1__GCA_902577125.1	GCA_902561665.1	GCA_902577125.1	ok	0	28	0.00000	0.28205	44	0	0.9677	120	0.8108	156	8	21	false
GCA_902564545.1__GCA_902613265.1	GCA_902564545.1	GCA_902613265.1	ok	0	28	0.00000	0.31186	92	0	0.9422	261	0.9034	295	0	40	false
GCA_902566515.1__GCA_902593595.1	GCA_902566515.1	GCA_902593595.1	ok	0	16	0.00000	0.42675	67	0	0.9571	134	0.8933	157	1	39	false
GCA_902568715.1__GCA_902614175.1	GCA_902568715.1	GCA_902614175.1	ok	1	25	0.00439	0.20614	47	0	0.9223	190	0.8848	228	0	37	false
GCA_902572765.1__GCA_902588785.1	GCA_902572765.1	GCA_902588785.1	ok	0	29	0.00000	0.41538	81	0	0.8960	155	0.8449	195	0	37	false
GCA_902582915.1__GCA_902602995.1	GCA_902582915.1	GCA_902602995.1	ok	0	21	0.00000	0.37500	57	0	0.9316	109	0.8421	152	2	20	false
GCA_902588785.1__GCA_902597835.1	GCA_902588785.1	GCA_902597835.1	ok	0	31	0.00000	0.39925	107	0	0.8960	224	0.8808	268	0	45	false
GCA_902597955.1__GCA_902622465.1	GCA_902597955.1	GCA_902622465.1	ok	0	30	0.00000	0.42164	113	0	0.9116	227	0.8846	268	0	27	false
GCA_902623315.1__GCA_902624565.1	GCA_902623315.1	GCA_902624565.1	ok	2	24	0.01389	0.38194	55	0	0.8387	104	0.8182	144	2	28	false
GCA_902758795.1__GCA_902767815.1	GCA_902758795.1	GCA_902767815.1	ok	18	76	0.00975	0.22252	411	0	0.9840	1789	0.9589	1847	26	669	false
GCA_902759045.1__GCA_902768775.1	GCA_902759045.1	GCA_902768775.1	ok	0	241	0.00000	0.48022	619	0	0.8376	892	0.7937	1289	13	442	false
GCA_902763715.1__GCA_902779435.1	GCA_902763715.1	GCA_902779435.1	ok	21	117	0.00826	0.49705	1264	0	0.9721	2439	0.9539	2543	31	1003	false
GCA_902767675.1__GCA_902770695.1	GCA_902767675.1	GCA_902770695.1	ok	9	33	0.00594	0.39868	604	0	0.9953	1482	0.9781	1515	23	496	false
