pairid	band	phylum	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCF_001426905.1__GCA_017745235.1	85-90	Proteobacteria	1509	566	2365733	901165	0.3809242209497014
GCA_000383735.1__GCA_002323895.1	90-95	Verrucomicrobiota	366	176	1766568	777469	0.4401013716992496
GCF_000691165.1__GCF_000691145.1	85-90	Firmicutes	379	162	3330455	1320952	0.3966280883542939
GCF_004137255.1__GCF_013155335.1	80-85	Actinobacteriota	1129	792	2289521	1580774	0.6904387424269094
GCF_001068775.1__GCA_905221345.1	80-85	Firmicutes	399	226	890316	501369	0.5631360101357271
GCF_001180165.1__GCA_902571955.1	90-95	Proteobacteria	100	40	564162	197827	0.3506563717513764
GCF_000960475.2__GCF_014648255.1	85-90	Actinobacteriota	1158	484	3913346	1711860	0.437441514243821
GCA_017963805.1__GCA_017539325.1	90-95	UBA3054	365	201	1686872	899095	0.5329953902845029
GCF_001693515.2__GCF_009930815.1	90-95	Proteobacteria	1666	162	6239390	271017	0.04343645773064354
GCF_002082245.2__GCF_003600645.1	80-85	Proteobacteria	1042	716	2681799	1825832	0.6808235814839217
GCF_014298075.1__GCF_001598695.1	80-85	Proteobacteria	942	381	3166201	1295918	0.4092974514252254
GCA_005789325.1__GCA_000428345.2	80-85	Actinobacteriota	99	57	327985	189564	0.5779654557373051
GCA_900552015.1__GCF_000765235.1	90-95	Firmicutes_A	501	276	1320070	722857	0.5475899005355777
GCA_902582155.1__GCA_902553555.1	85-90	Proteobacteria	83	55	316462	197518	0.624144447042615
GCA_000831085.1__GCA_905373305.1	90-95	Firmicutes	371	155	1147840	485434	0.4229108586562587
GCF_014222285.1__GCF_013343235.1	90-95	Cyanobacteria	2091	1061	5610901	2931294	0.5224283942988835
GCA_902634305.1__GCA_902587435.1	90-95	Proteobacteria	120	69	676079	394639	0.5837172874767593
GCA_003282205.1__GCA_902617895.1	90-95	Proteobacteria	112	60	926762	506957	0.5470196231610704
GCF_000421725.1__GCF_000166355.1	90-95	Firmicutes_A	275	127	2003860	1222184	0.609914864311878
GCA_900321605.1__GCA_017542915.1	95-100	Bacteroidota	393	212	1238355	674776	0.5448970610204666
GCA_900765185.1__GCA_900765115.1	90-95	Actinobacteriota	501	257	1643534	899682	0.547406990059226
GCA_902628525.1__GCA_902591695.1	85-90	Proteobacteria	96	41	375996	175002	0.46543580250853733
GCA_902609285.1__GCA_902604835.1	90-95	Actinobacteriota	92	45	646199	231537	0.3583060326617652
GCF_004320525.1__GCF_001663775.1	85-90	Actinobacteriota	779	449	3103035	1721796	0.5548748241640845
GCF_000966285.1__GCF_016786355.1	85-90	Actinobacteriota	2122	1193	4552283	2573592	0.5653409509030963
GCF_900234795.1__GCF_014199985.1	85-90	Proteobacteria	1442	696	3960136	1874148	0.4732534438211213
GCF_000717645.1__GCF_003610995.1	85-90	Actinobacteriota	2159	1091	4565479	2214776	0.48511361020388005
GCF_014323405.1__GCA_902362365.1	90-95	Firmicutes_A	500	251	2655454	1121208	0.4222283647165419
GCF_001667185.1__GCF_002101815.1	90-95	Actinobacteriota	740	382	4807871	2519749	0.5240883126855941
GCF_001952855.1__GCF_000346755.1	85-90	Proteobacteria	1350	616	4092065	1795029	0.4386609205865498
GCF_003584685.1__GCA_910589175.1	85-90	Firmicutes	223	108	1283717	559107	0.4355375834393406
GCF_002259745.1__GCF_018555355.1	85-90	Actinobacteriota	1015	526	1339196	705038	0.5264636393776564
GCF_018207095.1__GCF_900143625.1	85-90	Actinobacteriota	1618	833	3778530	1923005	0.5089293984697753
GCF_009749465.1__GCF_003384855.1	85-90	Actinobacteriota	1099	204	2252336	402146	0.17854618493865923
GCA_017557665.1__GCA_017405965.1	80-85	Bacteroidota	895	496	1468546	808377	0.5504607959165052
GCF_003046425.1__GCF_000306675.2	90-95	Spirochaetota	1005	583	3205828	1728430	0.5391524436120715
GCF_002155975.1__GCF_017308975.1	90-95	Actinobacteriota	2183	1134	7426965	3960181	0.5332165965505425
GCA_900316525.1__GCA_902778105.1	80-85	Bacteroidota	618	325	1312394	700898	0.5340606555653257
GCF_000716535.1__GCF_014650035.1	85-90	Actinobacteriota	1941	918	4837313	2212276	0.4573357150963768
GCA_015062085.1__GCA_017939795.1	85-90	Planctomycetota	1429	632	2381928	1050805	0.44115733137189705
GCF_009858265.1__GCF_900101045.1	90-95	Actinobacteriota	876	270	4848442	1494146	0.308170335955344
GCF_003002955.1__GCF_900102815.1	85-90	Actinobacteriota	1239	446	3956575	1478608	0.3737090791909669
GCF_011039175.1__GCA_017945865.1	90-95	Actinobacteriota	536	190	1820220	818788	0.44982914153234227
GCA_000634515.1__GCA_902537445.1	85-90	Cyanobacteria	179	122	892217	709868	0.7956225895718194
GCF_018383905.1__GCF_014844035.1	80-85	Bacteroidota	992	320	2211725	653076	0.29527902429099456
GCF_014779655.1__GCF_014653115.1	85-90	Actinobacteriota	837	609	3057559	2190195	0.716321418491025
GCA_017526585.1__GCA_902756345.1	85-90	Fibrobacterota	803	369	1241023	557782	0.4494533944979263
GCA_002394865.1__GCA_902776765.1	80-85	Fibrobacterota	1218	620	1864407	926266	0.4968153412854597
GCF_014490035.1__GCF_002966795.1	85-90	Proteobacteria	1170	795	3451138	2413951	0.6994652198781967
GCF_004000745.1__GCA_900766135.1	80-85	Firmicutes	1019	443	2949748	1320475	0.4476568845881072
GCF_017114865.1__GCF_900114215.1	90-95	Actinobacteriota	783	425	4861071	2593092	0.5334404702173656
GCA_018060215.1__GCA_017302035.1	85-90	Proteobacteria	838	389	1579349	725150	0.4591448755151648
GCA_016870675.1__GCA_016783995.1	95-100	Actinobacteriota	255	126	555327	265216	0.4775852785836093
GCF_900198625.1__GCF_900198365.1	95-100	Campylobacterota	816	398	1917781	933805	0.4869195179220151
GCF_002210435.1__GCF_000145235.1	80-85	Actinobacteriota	1694	828	2983440	1472216	0.4934625801088676
GCA_017505635.1__GCA_017442085.1	85-90	Firmicutes_A	528	270	1263873	691551	0.5471681094540354
GCF_004364585.1__GCF_014874065.1	80-85	Actinobacteriota	706	199	1401242	428151	0.30555107540310666
GCF_016894385.1__GCF_003402535.1	90-95	Proteobacteria	932	402	5192557	2117324	0.407761339933293
GCF_004028635.1__GCF_003963535.1	90-95	Actinobacteriota	2091	493	6880386	1407640	0.20458735890689853
GCA_905612295.1__GCA_905612275.1	85-90	Thermoproteota	121	78	367375	249778	0.6798992854712487
GCF_002531905.1__GCF_001664485.1	90-95	Proteobacteria	1000	433	5575750	2587894	0.46413379366004576
GCF_001189365.1__GCF_018408855.1	85-90	Proteobacteria	1520	815	3084368	1652667	0.5358203041919771
GCF_000382345.1__GCF_018119395.1	85-90	Proteobacteria	1440	631	3267598	1468531	0.44942217494318454
GCF_000332515.2__GCF_000332455.1	90-95	Spirochaetota	454	316	3557292	2696189	0.757933000720773
GCA_004379115.1__GCA_903848435.1	85-90	Actinobacteriota	741	359	1479453	741286	0.501054105808025
GCA_902799355.1__GCA_902798425.1	85-90	Bacteroidota	637	255	1292314	526956	0.407761581163711
GCF_003044645.1__GCF_001618085.1	95-100	Proteobacteria	236	107	1965372	886757	0.4511904107721083
GCF_001570405.1__GCA_001570385.1	85-90	Actinobacteriota	2302	1110	5322472	2552291	0.4795311276414418
GCF_001424645.1__GCF_000878135.1	90-95	Actinobacteriota	457	228	3052535	1484987	0.48647664973538385
GCA_902799965.1__GCA_902799665.1	85-90	Spirochaetota	853	448	1203073	623770	0.5184805909533337
GCA_902591415.1__GCA_902572345.1	85-90	Proteobacteria	100	59	589873	363924	0.6169531407608079
GCF_004346385.1__GCF_001008345.1	90-95	Actinobacteriota	1496	878	6077368	3610049	0.5940152052664903
GCF_002096815.1__GCF_002087075.1	90-95	Firmicutes	507	265	1382834	663860	0.4800720838509901
GCF_009377195.2__GCF_002927275.1	80-85	Actinobacteriota	820	341	1660151	648214	0.3904548441677896
GCA_902621725.1__GCA_902514875.1	85-90	Proteobacteria	133	84	752920	466211	0.619203899484673
GCF_001691565.1__GCF_014204835.1	80-85	Actinobacteriota	589	67	1138765	140093	0.12302187018392732
GCF_003696305.1__GCF_902506505.1	80-85	Proteobacteria	1435	808	2197747	1256032	0.5715089134463612
GCA_902629695.1__GCA_902565935.1	90-95	Proteobacteria	99	39	751370	292198	0.3888869664745731
GCA_003282965.1__GCA_902569735.1	80-85	Proteobacteria	106	59	404728	208777	0.5158452096222649
GCA_014156375.1__GCA_002470465.1	80-85	Proteobacteria	842	416	2741522	1391925	0.5077197994398732
GCF_001425905.1__GCA_902826655.1	80-85	Proteobacteria	1204	677	1736164	976351	0.5623610442331485
GCF_003857035.1__GCF_015751785.1	90-95	Actinobacteriota	1207	667	5858803	3122408	0.532942991938797
GCF_018531375.1__GCF_000218545.1	80-85	Actinobacteriota	1046	618	1789886	976233	0.545416300255994
GCF_003942865.1__GCF_001072375.1	80-85	Firmicutes	418	231	909791	495193	0.5442931398529992
GCF_003185805.1__GCF_001449105.1	90-95	Proteobacteria	1731	760	3769936	1628894	0.43207470896057654
GCA_900555465.1__GCA_019113065.1	90-95	Firmicutes_A	702	349	1255767	639750	0.5094496033101682
GCF_002155915.1__GCF_001906585.1	90-95	Actinobacteriota	1856	996	4184552	2263902	0.54101418742078
GCA_003210015.1__GCA_902592325.1	80-85	Proteobacteria	136	62	464972	201624	0.43362611081957625
GCF_000876655.1__GCF_018613755.1	85-90	Actinobacteriota	890	453	2809957	1450513	0.5162046963707986
GCA_001629235.1__GCA_902601345.1	90-95	Thermoplasmatota	182	109	796822	453808	0.5695224278446127
GCA_012511235.1__GCA_002432715.1	85-90	Spirochaetota	609	299	1645497	833797	0.5067143847725034
GCF_018343775.1__GCF_000452705.1	80-85	Proteobacteria	959	607	2273253	1488168	0.6546424880996528
GCF_009696315.1__GCF_001642025.1	80-85	Actinobacteriota	450	140	1414132	482654	0.3413076007048847
GCF_014467235.1__GCF_002632465.1	90-95	Proteobacteria	625	328	3335204	1802309	0.5403894334499479
GCA_004020365.1__GCF_002284575.1	90-95	Proteobacteria	1516	794	5119961	2677051	0.522865506202098
GCA_003278165.1__GCA_902565325.1	85-90	Proteobacteria	111	51	398976	185962	0.46609821142123836
GCF_900114115.1__GCA_002412965.1	80-85	Desulfobacterota_I	777	400	1707501	915725	0.5362954399441054
GCA_902626065.1__GCA_902587025.1	85-90	Actinobacteriota	87	20	467672	85094	0.18195230845549873
GCF_000876655.1__GCF_005280255.1	85-90	Actinobacteriota	962	50	2964954	74003	0.024959240514355364
GCF_013181195.1__GCA_017744445.1	85-90	Proteobacteria	1411	896	2953332	1892887	0.6409326821366511
GCA_903857495.1__GCA_903840385.1	85-90	Acidobacteriota	1013	508	1784140	880939	0.49376113982086606
GCF_001045465.1__GCF_012927325.1	80-85	Bacteroidota	1003	604	2793438	1725983	0.6178705237059137
GCF_012641395.1__GCF_000816845.1	80-85	Proteobacteria	898	415	2952506	1269762	0.43006246219313354
GCF_001746415.1__GCF_000429085.1	90-95	Actinobacteriota	1495	662	4990864	2143954	0.42957572075696715
GCA_900318885.1__GCA_902800245.1	90-95	Bacteroidota	652	349	2255242	1124665	0.4986892759180611
GCF_003052555.1__GCF_001043555.1	90-95	Proteobacteria	1039	520	4000342	2015073	0.503725181496982
GCF_014648555.1__GCF_000269985.1	85-90	Actinobacteriota	2073	839	4297288	1775880	0.41325598842805045
GCA_902554745.1__GCA_902527415.1	90-95	Proteobacteria	96	52	507885	303045	0.5966803508668301
GCF_900176865.1__GCF_000577555.1	80-85	Actinobacteriota	676	354	1208545	574048	0.4749910015762756
GCF_013072695.1__GCF_000374425.1	80-85	Proteobacteria	662	264	1877612	757326	0.40334531308917926
GCF_001293125.1__GCA_018376445.1	90-95	Actinobacteriota	233	83	1695586	552292	0.3257233782302991
GCA_009704285.1__GCA_000383815.1	90-95	Actinobacteriota	152	82	480566	270247	0.562351477216449
GCF_900637185.1__GCF_001612825.1	85-90	Actinobacteriota	1496	1288	3498461	3029219	0.8658718790919778
GCF_014252255.1__GCF_014252055.1	80-85	Bacteroidota	156	0	359497	0	0.0
GCF_009696325.1__GCF_901212495.1	85-90	Actinobacteriota	500	245	1559356	766813	0.4917497992761114
GCF_011682075.1__GCF_000021385.1	90-95	Desulfobacterota_I	1764	856	3333567	1623861	0.48712415259690295
GCA_900319225.1__GCA_902774335.1	80-85	Bacteroidota	535	228	1083913	446993	0.4123882636337049
GCF_012676905.1__GCF_000422485.1	90-95	Firmicutes	1305	633	3969994	1890916	0.4763019792977017
GCF_009905735.1__GCF_002952215.1	80-85	Proteobacteria	908	420	1612921	754192	0.467593887115364
GCF_003999415.1__GCF_900636825.1	85-90	Proteobacteria	1168	563	4183010	1911278	0.4569145184926644
GCF_008824185.1__GCF_003285265.1	80-85	Proteobacteria	985	348	1594852	536122	0.3361578378432607
GCA_015523185.1__GCF_012027635.1	80-85	Methanobacteriota_B	371	210	903685	518699	0.5739820844652728
GCF_002234915.1__GCF_002259645.1	85-90	Actinobacteriota	1036	436	1690760	691358	0.40890368828219265
GCF_002019635.1__GCF_000518865.1	90-95	Firmicutes	599	323	4486649	2305626	0.5138859759254624
GCF_019139815.1__GCF_000282195.1	80-85	Proteobacteria	1180	696	2385133	1337290	0.5606773291049179
GCF_003019675.1__GCF_002356455.1	85-90	Fusobacteriota	557	393	2727418	2033524	0.7455857517989541
GCF_000306765.2__GCF_000025685.1	80-85	Halobacteriota	977	359	1618093	560139	0.34617231518831115
GCF_007667275.1__GCF_001676385.1	80-85	Proteobacteria	1138	598	1826273	921101	0.504361067595042
GCF_015670745.1__GCA_900764025.1	90-95	Actinobacteriota	659	305	1565598	743683	0.4750152976690057
GCA_902629575.1__GCA_902627935.1	80-85	Proteobacteria	126	83	474159	303089	0.6392138502063653
GCF_004785665.1__GCF_002902565.1	90-95	Firmicutes	392	173	2115065	977695	0.4622529331249867
GCF_014649815.1__GCA_016432725.1	80-85	Actinobacteriota	1805	977	3090001	1684913	0.5452791115601581
GCF_002778015.1__GCF_002777915.1	90-95	Proteobacteria	447	194	1668165	762861	0.45730548237134816
GCF_013359685.1__GCF_900114565.1	80-85	Actinobacteriota	783	445	1795650	974339	0.5426107537660457
GCA_905215765.1__GCA_905215725.1	90-95	Actinobacteriota	445	212	1646727	789719	0.4795688659990393
GCA_012030815.1__GCA_003569705.1	85-90	Thermoproteota	241	118	680429	327104	0.4807320087768158
GCF_000718165.1__GCF_000717055.1	80-85	Actinobacteriota	2288	899	4475877	1734114	0.38743557966405245
GCF_011395035.1__GCF_900068835.1	80-85	Proteobacteria	856	491	2690819	1603205	0.5958055893019932
GCF_900108365.1__GCF_003971235.1	90-95	Bacteroidota	720	518	4100867	3037571	0.7407143416258074
GCF_004769575.1__GCF_004769235.1	85-90	Spirochaetota	561	317	2862814	1628697	0.5689147111897594
GCF_014204515.1__GCF_016919445.1	90-95	Proteobacteria	1270	614	5069815	2404435	0.47426484003854186
GCA_902580765.1__GCA_902572735.1	90-95	Proteobacteria	99	48	725687	357674	0.49287640539240746
GCA_017435045.1__GCA_017442085.1	80-85	Firmicutes_A	470	263	682210	373634	0.5476817988595887
GCF_001507435.1__GCF_008704995.1	80-85	Actinobacteriota	1916	856	3985214	1664832	0.41775222108524157
GCA_903994365.1__GCA_903866255.1	80-85	Bacteroidota	465	225	1109634	500193	0.4507729575697933
GCF_002251635.1__GCF_000282375.1	85-90	Proteobacteria	1425	645	4282606	1825662	0.4262969789889614
GCF_014529935.1__GCF_012641275.1	80-85	Bacteroidota	1210	414	4493274	1396086	0.31070573483833835
GCF_002154575.1__GCF_001896135.2	90-95	Actinobacteriota	2032	955	6039919	2911158	0.4819862650475942
GCF_000717995.1__GCF_003112555.1	90-95	Actinobacteriota	1325	421	5637715	1778642	0.31548987488725483
GCA_902627595.1__GCA_902587545.1	85-90	Proteobacteria	90	53	719223	401904	0.5588030416157437
GCA_016787135.1__GCA_016787085.1	80-85	Bacteroidota	1038	446	2415730	1053667	0.4361691910933755
GCF_012396365.1__GCF_000341065.1	85-90	Actinobacteriota	2181	1223	4232078	2395661	0.5660720336439924
GCF_003324565.1__GCF_002803085.1	85-90	Actinobacteriota	1793	818	5387718	2451951	0.45510009989386974
GCA_902590695.1__GCA_902575815.1	90-95	Proteobacteria	88	53	675988	360762	0.53368107126162
GCF_002221525.1__GCF_000238395.3	80-85	Proteobacteria	873	459	2098612	1158915	0.5522292829736988
GCF_002284535.1__GCF_013170705.1	80-85	Proteobacteria	1468	960	2839431	1840785	0.6482936193906456
GCF_018448925.1__GCF_001684335.1	90-95	Proteobacteria	860	405	4614168	1998444	0.4331103678929766
GCA_902623395.1__GCA_902596205.1	80-85	Proteobacteria	108	70	527718	351094	0.6653060915109964
GCF_000799235.1__GCA_016025055.1	80-85	Bacteroidota	889	381	2109546	886767	0.42035916732794637
GCF_015679985.1__GCA_902387145.1	90-95	Campylobacterota	108	50	1624221	688350	0.4238031647171167
GCA_002424295.1__GCA_002411615.1	90-95	Firmicutes_A	476	227	1267883	673932	0.5315411595549432
GCA_002438845.1__GCA_002297815.1	85-90	Bacteroidota	645	334	1414902	750842	0.5306671416112211
GCA_013867245.1__GCA_902514095.1	85-90	Thermoproteota	145	89	426607	262702	0.6157939274320393
GCA_017631745.1__GCA_900768075.1	85-90	Firmicutes_A	546	274	944661	475737	0.5036060555056259
GCA_014654235.1__GCA_902517175.1	85-90	Proteobacteria	92	47	380457	221676	0.5826571728211073
GCF_003323735.1__GCF_017676345.1	80-85	Actinobacteriota	2283	1014	3512386	1653158	0.47066524009604865
GCA_003152695.1__GCA_003135475.1	85-90	Acidobacteriota	1367	668	2543154	1182552	0.4649942551650431
GCA_004210455.1__GCF_001653795.1	90-95	Proteobacteria	1266	556	4273551	1727566	0.40424602397397386
GCF_001298465.1__GCF_902460545.1	90-95	Campylobacterota	187	138	1675920	1358153	0.8103925008353621
GCF_000979455.1__GCF_000969965.1	85-90	Halobacteriota	1356	465	2355185	785429	0.3334893012650811
GCA_902538885.1__GCA_902522385.1	85-90	Proteobacteria	123	75	619641	388882	0.6275924285190941
GCA_017646825.1__GCA_017408205.1	90-95	Firmicutes_A	347	152	874401	373341	0.4269677184724171
GCF_003942695.1__GCF_001281025.1	85-90	Firmicutes	422	180	1180025	498907	0.42279358488167623
GCF_000959525.1__GCF_000203915.1	85-90	Proteobacteria	1399	137	4517064	299966	0.06640729464979907
GCA_014804365.1__GCA_014804655.1	90-95	Firmicutes_A	740	416	2696430	1453793	0.5391547342226574
GCA_900762525.1__GCA_000613465.1	90-95	Bacteroidota	747	365	3681122	1791265	0.4866084307990879
GCF_002013415.1__GCF_001632805.1	85-90	Actinobacteriota	528	268	3921031	2162707	0.5515659019273247
GCF_009496285.1__GCF_009731465.1	85-90	Firmicutes	455	218	944370	442133	0.46817772695024196
GCA_002697205.1__GCA_012960535.1	95-100	Proteobacteria	348	183	3360943	1940388	0.5773343969237205
GCF_001509475.1__GCF_015712165.1	85-90	Actinobacteriota	2401	1137	4592577	2194237	0.4777790334272022
GCA_900555035.1__GCA_900770515.1	90-95	Bacteroidota	626	298	1044570	462371	0.44264242702738926
GCA_003280895.1__GCF_002025945.1	90-95	Cyanobacteria	242	109	1011045	473357	0.46818588687941687
GCF_900105025.1__GCF_012844235.1	90-95	Actinobacteriota	283	171	1937975	1149582	0.5931872186173712
GCA_003278855.1__GCF_017695975.1	90-95	Cyanobacteria	87	36	1318900	498559	0.37801122147243915
GCF_900109435.1__GCA_017542475.1	80-85	Firmicutes_A	801	341	1517169	590139	0.3889738058186003
GCA_003166375.1__GCA_003140595.1	80-85	Actinobacteriota	787	374	1603281	830511	0.5180071366154779
GCF_004343605.1__GCF_000512895.1	90-95	Firmicutes_B	420	278	2118024	1451423	0.6852722159899982
GCF_005843885.1__GCF_002900365.1	90-95	Proteobacteria	512	350	3935301	2805924	0.7130138202897314
GCF_000187465.1__GCF_013394695.1	90-95	Firmicutes	275	189	1458277	1061928	0.7282073296088466
GCF_900167025.1__GCA_002477955.1	90-95	Spirochaetota	281	171	1903456	1025327	0.5386659843989039
GCF_014697585.1__GCF_012516395.1	80-85	Cyanobacteria	1973	970	2619626	1297787	0.49540926834593946
GCF_007679425.1__GCF_014673495.1	90-95	Actinobacteriota	1158	617	6368762	3349696	0.5259571640453827
GCF_000696385.1__GCF_009665255.1	90-95	Proteobacteria	274	127	3567073	1676766	0.47006775583230287
GCA_900542945.1__GCA_018380195.1	90-95	Actinobacteriota	425	221	1790207	904266	0.5051181232114499
GCF_900573885.1__GCF_003208235.1	80-85	Proteobacteria	1204	609	3307471	1668504	0.5044651941014752
GCA_009699265.1__GCF_004137245.1	85-90	Actinobacteriota	1120	458	2446531	999937	0.4087162598798053
GCA_902594865.1__GCA_902588855.1	80-85	Proteobacteria	112	68	456696	262412	0.5745879096817139
GCF_900220975.1__GCF_013378445.1	90-95	Proteobacteria	498	249	4565629	2556157	0.5598696258500198
GCF_002798385.1__GCF_001187505.1	85-90	Actinobacteriota	846	428	5189480	2549770	0.49133439188512146
GCF_000424305.1__GCF_900113655.1	85-90	Firmicutes_A	614	283	1909882	887592	0.46473656487678294
GCF_900116375.1__GCA_014837105.1	90-95	Actinobacteriota	605	267	3003489	1381931	0.4601085604109088
GCF_900497695.1__GCF_018417595.1	80-85	Proteobacteria	1394	624	2796101	1272361	0.45504829761156695
GCF_006494415.1__GCF_002077695.1	80-85	Proteobacteria	897	477	2120405	1099786	0.5186678959915676
GCF_001439685.1__GCF_003852235.1	85-90	Proteobacteria	968	307	4347864	1335251	0.30710505204394617
GCF_001953745.1__GCF_000337195.1	80-85	Halobacteriota	1308	639	1855099	926998	0.49970271128387217
GCF_008085905.1__GCF_004348735.1	85-90	Actinobacteriota	2312	1106	4734266	2167648	0.4578635843444369
GCF_003579925.1__GCF_900106035.1	85-90	Actinobacteriota	1789	827	4529644	2164153	0.4777755161332767
GCF_005930355.1__GCF_014192395.1	80-85	Firmicutes	1014	554	2718897	1498006	0.5509609227565443
GCF_000473265.1__GCF_011758765.1	85-90	Actinobacteriota	1215	129	4253771	370075	0.08699927664183145
GCF_016901995.1__GCA_018883555.1	90-95	Bacteroidota	599	293	2040637	987614	0.483973386741493
GCF_003664315.1__GCF_014651055.1	80-85	Actinobacteriota	2193	1109	3693646	1807201	0.4892729297826592
GCF_000934605.2__GCF_902459685.1	80-85	Proteobacteria	1344	454	2535543	878222	0.34636446709836904
GCF_003846185.1__GCF_001715295.1	80-85	Actinobacteriota	1620	767	2744093	1238612	0.45137391480536554
GCA_016714685.1__GCA_903857495.1	80-85	Acidobacteriota	911	434	1517696	741654	0.4886709854938011
GCA_003216275.1__GCA_902564695.1	80-85	Cyanobacteria	219	98	729760	361771	0.4957396952422714
GCF_900209925.1__GCF_000173975.1	85-90	Firmicutes_A	934	387	1688103	710136	0.420671013557822
GCF_000719265.1__GCF_014650335.1	90-95	Actinobacteriota	1730	1020	5160725	3203613	0.6207680122463414
GCF_014650815.1__GCF_014649395.1	85-90	Actinobacteriota	2718	685	6233797	1419602	0.22772669690719796
GCF_006494415.1__GCF_001598475.1	85-90	Proteobacteria	574	261	3641063	1581437	0.43433387447566824
GCA_009929215.1__GCF_000420465.1	85-90	Desulfobacterota_I	867	497	1849433	1076175	0.5818945590351204
GCF_002899455.1__GCF_019049325.1	80-85	Actinobacteriota	2044	1227	3383683	2006942	0.5931235284156346
GCA_900540665.1__GCF_004168205.1	90-95	Firmicutes	445	239	1807551	935540	0.5175732247665488
GCA_900543415.1__GCA_000433535.1	90-95	Firmicutes_A	252	138	1759392	909018	0.5166659846128663
GCF_017874195.1__GCA_002501655.1	80-85	Halobacteriota	561	304	1263650	692030	0.5476437304633404
GCA_003215795.1__GCA_003278425.1	80-85	Cyanobacteria	126	73	518307	317068	0.6117378310537963
GCF_002574955.1__GCF_001595725.1	85-90	Firmicutes	1044	631	4120435	2465469	0.5983516303497082
GCF_001580545.1__GCF_002278075.1	80-85	Proteobacteria	1701	690	3405101	1414269	0.41533834091852195
GCA_900541475.1__GCA_900541055.1	90-95	Actinobacteriota	371	173	1660568	747847	0.4503561431991945
GCF_900115685.1__GCF_017161115.1	90-95	Proteobacteria	869	664	5699559	4544565	0.7973537952673181
