dnadiff_blocks	dnadiff_breakpoints	dnadiff_large_indels	dnadiff_synteny_score	pairid
538	372	280	0.3072625698324022	GCA_000432775.1__GCA_902388455.1
608	456	278	0.2487644151565073	GCA_000432915.1__GCA_002441865.1
362	270	173	0.2520775623268698	GCA_000433095.1__GCA_900752845.1
560	397	290	0.2898032200357782	GCA_000433355.1__GCA_002314195.1
695	528	348	0.239193083573487	GCA_000433355.1__GCA_002321335.1
607	444	310	0.2673267326732673	GCA_000433355.1__GCA_002438845.1
554	376	314	0.3200723327305605	GCA_000433355.1__GCA_002439875.1
150	87	82	0.4161073825503355	GCA_000433455.1__GCA_900768815.1
298	213	150	0.2828282828282829	GCA_000433755.1__GCA_900772475.1
210	146	86	0.3014354066985646	GCA_000434035.1__GCA_900770415.1
470	339	223	0.2771855010660981	GCA_000434055.1__GCA_000434915.1
472	344	218	0.2696390658174098	GCA_000434055.1__GCA_002449395.1
552	364	273	0.3393829401088929	GCA_000434115.1__GCA_002431395.1
721	531	340	0.2624999999999999	GCA_000434115.1__GCA_002435545.1
454	310	221	0.3156732891832229	GCA_000434115.1__GCA_905212635.1
629	444	312	0.2929936305732484	GCA_000434235.1__GCA_019115605.1
637	469	311	0.2625786163522012	GCA_000434235.1__GCA_019119615.1
448	309	216	0.3087248322147651	GCA_000434435.1__GCA_002449145.1
456	325	211	0.2857142857142857	GCA_000434435.1__GCA_900763875.1
425	305	193	0.2806603773584906	GCA_000434535.1__GCA_900754435.1
439	314	204	0.2831050228310502	GCA_000434535.1__GCA_900757235.1
382	285	187	0.2519685039370078	GCA_000434555.1__GCA_900761555.1
424	304	208	0.2813238770685579	GCA_000434615.1__GCA_002432425.1
509	365	242	0.281496062992126	GCA_000434635.1__GCA_002436765.1
235	160	136	0.3162393162393162	GCA_000434835.1__GCA_900771805.1
246	160	120	0.3469387755102041	GCA_000434835.1__GCA_900772415.1
407	301	182	0.2586206896551724	GCA_000434895.1__GCA_900753045.1
375	241	211	0.355614973262032	GCA_000434895.1__GCA_900770955.1
467	330	241	0.2918454935622318	GCA_000434915.1__GCA_002449395.1
383	265	187	0.3062827225130889	GCA_000434995.1__GCA_000436835.1
341	250	164	0.2647058823529411	GCA_000435175.1__GCA_900761475.1
292	214	142	0.2646048109965635	GCA_000435335.1__GCA_902789345.1
812	593	402	0.2688039457459926	GCA_000435395.1__GCA_905215055.1
443	334	192	0.2443438914027149	GCA_000435555.1__GCA_002438575.1
471	349	212	0.2574468085106383	GCA_000435615.1__GCA_900754805.1
559	283	320	0.492831541218638	GCA_000435975.1__GCA_018228685.1
389	279	187	0.2809278350515464	GCA_000436095.1__GCA_905207485.1
499	364	249	0.2690763052208835	GCA_000436795.1__GCA_000432735.1
163	115	81	0.2901234567901234	GCA_000437235.1__GCA_002477825.1
658	478	311	0.2724505327245053	GCA_000437275.1__GCA_902786205.1
353	261	173	0.2585227272727273	GCA_000437315.1__GCA_002439555.1
314	237	153	0.2428115015974441	GCA_000437435.1__GCA_905212085.1
269	195	148	0.2723880597014925	GCA_000437635.1__GCA_905212345.1
321	212	155	0.3375	GCA_000437855.1__GCA_000435755.1
413	303	190	0.2645631067961165	GCA_000438255.1__GCA_900753165.1
278	189	138	0.3176895306859205	GCA_000438295.1__GCA_900758495.1
1072	780	552	0.2717086834733894	GCA_000492175.1__GCA_910585815.1
543	385	278	0.2896678966789667	GCA_000499765.1__GCA_001316325.1
546	10	464	0.981651376146789	GCA_000499765.1__GCA_003491305.1
94	66	49	0.2903225806451612	GCA_000510845.1__GCA_000371745.1
153	114	77	0.25	GCA_000513055.1__GCA_000504625.1
1300	96	959	0.9260969976905312	GCA_000620205.1__GCA_019112525.1
1265	917	637	0.2745253164556962	GCA_000620545.1__GCA_000955875.1
674	444	334	0.3402674591381872	GCA_000621425.1__GCA_002393955.1
369	282	173	0.233695652173913	GCA_000621425.1__GCA_017635395.1
509	385	242	0.2421259842519685	GCA_000622025.1__GCA_017453865.1
805	600	382	0.253731343283582	GCA_000622025.1__GCA_902803625.1
211	124	87	0.4095238095238095	GCA_000634115.1__GCA_902518475.1
227	137	98	0.3938053097345132	GCA_000634115.1__GCA_902571335.1
167	67	47	0.5963855421686747	GCA_000634195.1__GCA_902573565.1
161	99	57	0.38125	GCA_000634195.1__GCA_902574425.1
172	103	86	0.3976608187134502	GCA_000634195.1__GCA_902626525.1
75	51	37	0.3108108108108108	GCA_000634215.1__GCA_902573045.1
317	88	138	0.7215189873417722	GCA_000634415.1__GCA_000634215.1
221	135	55	0.3863636363636363	GCA_000634515.1__GCA_902525075.1
112	74	58	0.3333333333333333	GCA_000634515.1__GCA_902536455.1
179	114	75	0.3595505617977528	GCA_000634515.1__GCA_902537445.1
151	109	55	0.2733333333333333	GCA_000634515.1__GCA_902542595.1
164	103	65	0.3680981595092024	GCA_000634735.1__GCA_902571795.1
151	91	63	0.3933333333333333	GCA_000634735.1__GCA_902583265.1
162	96	52	0.4037267080745341	GCA_000634735.1__GCA_902621675.1
162	52	78	0.6770186335403727	GCA_000635015.1__GCA_017644375.1
168	33	111	0.8023952095808383	GCA_000635015.1__GCA_017644425.1
170	122	72	0.2781065088757396	GCA_000635015.1__GCA_902574405.1
175	103	57	0.4080459770114942	GCA_000635015.1__GCA_902594875.1
133	91	54	0.3106060606060605	GCA_000635495.1__GCA_902538695.1
173	105	89	0.3895348837209302	GCA_000635495.1__GCA_902574405.1
270	138	58	0.4869888475836431	GCA_000635535.1__GCA_902519235.1
374	179	52	0.5201072386058981	GCA_000635535.1__GCA_902571795.1
225	132	45	0.4107142857142857	GCA_000635535.1__GCA_902573045.1
1192	863	602	0.2753988245172124	GCA_000648925.1__GCA_001544595.2
797	578	397	0.2738693467336683	GCA_000648925.1__GCA_001544655.2
480	324	245	0.3235908141962421	GCA_000681355.2__GCA_002402825.1
567	402	270	0.2897526501766784	GCA_000681355.2__GCA_003445555.1
1589	306	1090	0.8073047858942065	GCA_000696115.1__GCA_014204745.1
816	568	432	0.3030674846625767	GCA_000701625.1__GCA_000424365.1
427	322	197	0.244131455399061	GCA_000701725.1__GCA_902761625.1
535	398	258	0.2546816479400748	GCA_000702085.1__GCA_016291475.1
419	301	192	0.2799043062200956	GCA_000702085.1__GCA_017940415.1
460	340	224	0.2592592592592593	GCA_000702085.1__GCA_017962825.1
490	350	248	0.2842535787321063	GCA_000702085.1__GCA_018056425.1
492	370	233	0.2464358452138493	GCA_000702685.1__GCA_017524035.1
599	457	289	0.2357859531772574	GCA_000702685.1__GCA_017964745.1
749	526	383	0.2967914438502673	GCA_000708525.1__GCA_903917565.1
2921	2075	1438	0.2893835616438356	GCA_000715605.1__GCA_014649575.1
3064	2178	1509	0.2889324191968658	GCA_000715605.1__GCA_014650015.1
4348	1047	2425	0.759144237405107	GCA_000715635.1__GCA_018195615.1
1387	181	873	0.8694083694083694	GCA_000716465.1__GCA_007858575.1
1832	210	1203	0.8853085745494266	GCA_000717735.1__GCA_007858575.1
1875	1258	981	0.3287086446104589	GCA_000720535.1__GCA_014649555.1
2004	1367	1135	0.3175237144283575	GCA_000720845.1__GCA_014649155.1
2104	1559	1017	0.2586780789348549	GCA_000720845.1__GCA_014655195.1
560	360	319	0.3559928443649374	GCA_000741495.1__GCA_000771265.1
678	516	341	0.2378138847858197	GCA_000743525.1__GCA_002307095.1
455	320	254	0.2951541850220264	GCA_000743525.1__GCA_017860615.1
99	70	43	0.2857142857142857	GCA_000746705.1__GCA_012964965.1
195	140	97	0.2783505154639175	GCA_000746765.1__GCA_013867245.1
432	335	205	0.222737819025522	GCA_000752675.2__GCA_900768455.1
649	482	317	0.2561728395061728	GCA_000752675.2__GCA_900770865.1
465	325	245	0.2995689655172413	GCA_000752675.2__GCA_902773995.1
111	75	60	0.3181818181818182	GCA_000817115.1__GCA_902634555.1
1266	835	655	0.3399209486166008	GCA_000824785.1__GCA_000824805.1
351	226	206	0.3542857142857143	GCA_000831085.1__GCA_905221325.1
327	184	177	0.4355828220858896	GCA_000831085.1__GCA_905221355.1
371	275	188	0.2567567567567568	GCA_000831085.1__GCA_905373305.1
982	748	488	0.237512742099898	GCA_000955875.1__GCA_013361975.1
950	686	474	0.2771338250790305	GCA_000961575.1__GCA_016841675.1
856	572	413	0.3309941520467836	GCA_000961635.1__GCA_019084245.1
771	549	377	0.287012987012987	GCA_000961695.1__GCA_014763715.1
727	519	366	0.2851239669421488	GCA_000961795.1__GCA_018830285.1
374	208	211	0.4423592493297587	GCA_000961845.1__GCA_002359215.1
362	256	175	0.2908587257617728	GCA_000980495.1__GCA_900766055.1
580	439	273	0.2417962003454231	GCA_000981645.1__GCA_002336675.1
303	210	142	0.304635761589404	GCA_000981645.1__GCA_905182895.1
353	226	173	0.3579545454545454	GCA_000981705.1__GCA_905182535.1
657	460	325	0.2987804878048781	GCA_000985895.1__GCA_000985875.1
1154	818	471	0.2905464006938422	GCA_000987445.1__GCA_000585075.1
321	223	163	0.303125	GCA_000993595.1__GCA_000992695.1
434	293	171	0.3233256351039261	GCA_001058355.1__GCA_015264885.1
515	353	191	0.3132295719844358	GCA_001058355.1__GCA_018364485.1
456	322	182	0.2923076923076922	GCA_001058355.1__GCA_905371865.1
988	588	569	0.4042553191489362	GCA_001067655.1__GCA_003028315.1
422	312	188	0.2589073634204275	GCA_001072465.1__GCA_018382595.1
439	306	227	0.3013698630136986	GCA_001072465.1__GCA_902373435.1
641	460	330	0.28125	GCA_001072465.1__GCA_902373545.1
108	65	58	0.3925233644859813	GCA_001179885.1__GCA_902555945.1
999	723	465	0.2755511022044088	GCA_001184395.1__GCA_001235855.1
502	379	241	0.2435129740518962	GCA_001189345.1__GCA_001189335.2
917	471	481	0.4858078602620087	GCA_001311545.1__GCA_002355995.1
987	685	350	0.3052738336713996	GCA_001311585.1__GCA_001311545.1
882	454	454	0.4846765039727582	GCA_001311585.1__GCA_002355995.1
475	335	238	0.2932489451476793	GCA_001316005.1__GCA_001315985.1
512	360	253	0.2954990215264188	GCA_001316125.1__GCA_001315985.1
330	233	173	0.2917933130699088	GCA_001316125.1__GCA_001316005.1
239	162	115	0.3193277310924369	GCA_001316265.1__GCA_001315985.1
437	280	285	0.3577981651376146	GCA_001316265.1__GCA_001316005.1
483	297	246	0.3838174273858921	GCA_001316265.1__GCA_001316125.1
477	322	271	0.3235294117647058	GCA_001316285.1__GCA_001315985.1
493	366	226	0.2560975609756097	GCA_001316285.1__GCA_001316265.1
611	412	243	0.3245901639344262	GCA_001412335.1__GCA_018432765.1
115	47	80	0.5877192982456141	GCA_001421175.1__GCA_002502965.1
664	499	303	0.2473604826546003	GCA_001421185.1__GCA_002498285.1
322	236	131	0.264797507788162	GCA_001437625.1__GCA_014384445.1
302	211	145	0.2990033222591362	GCA_001437625.1__GCA_018657375.1
268	203	109	0.2397003745318352	GCA_001437625.1__GCA_018674605.1
221	147	108	0.3318181818181818	GCA_001437625.1__GCA_902514095.1
220	158	93	0.2785388127853881	GCA_001437625.1__GCA_905612295.1
244	154	119	0.3662551440329218	GCA_001437625.1__GCA_905612485.1
1300	899	628	0.3079291762894534	GCA_001464165.1__GCA_018062085.1
625	373	361	0.4022435897435897	GCA_001464215.1__GCA_016713235.1
650	485	261	0.2526964560862865	GCA_001464255.1__GCA_013297625.1
615	439	301	0.2850162866449511	GCA_001464475.1__GCA_013298525.1
952	652	504	0.3144058885383807	GCA_001464505.1__GCA_016190985.1
666	355	331	0.4661654135338345	GCA_001464665.1__GCA_016716435.1
816	606	402	0.256441717791411	GCA_001464735.1__GCA_016222925.1
1234	899	588	0.2708840227088402	GCA_001464835.1__GCA_903839845.1
859	610	418	0.289044289044289	GCA_001464995.1__GCA_016463385.1
993	735	478	0.2590725806451612	GCA_001465025.1__GCA_018827205.1
309	123	222	0.6006493506493507	GCA_001507955.1__GCA_003584625.1
354	207	204	0.4135977337110481	GCA_001508595.1__GCA_016841525.1
615	444	293	0.2768729641693811	GCA_001509375.1__GCA_002502785.1
177	124	87	0.2954545454545454	GCA_001510275.1__GCA_000484975.1
185	120	94	0.3478260869565217	GCA_001510275.1__GCA_013390905.1
125	90	69	0.2741935483870967	GCA_001510275.1__GCA_016784625.1
122	98	57	0.1900826446280992	GCA_001510295.1__GCA_018691945.1
53	43	28	0.1730769230769231	GCA_001510295.1__GCA_902512865.1
78	53	45	0.3116883116883117	GCA_001510295.1__GCA_902552015.1
79	58	44	0.2564102564102564	GCA_001510295.1__GCA_902566725.1
1910	380	1431	0.8009429020429544	GCA_001510895.1__GCA_014189435.1
579	430	276	0.2560553633217993	GCA_001512485.1__GCA_012516065.1
551	395	264	0.2818181818181818	GCA_001512495.1__GCA_012728655.1
788	576	389	0.2681067344345617	GCA_001512505.1__GCA_012523755.1
586	417	253	0.2871794871794871	GCA_001512635.1__GCA_002305915.1
306	226	149	0.2590163934426229	GCA_001513285.1__GCA_018056215.1
617	473	286	0.2321428571428571	GCA_001513285.1__GCA_018432645.1
508	361	249	0.2879684418145957	GCA_001513545.1__GCA_012516535.1
488	342	237	0.297741273100616	GCA_001513545.1__GCA_012842275.1
303	162	185	0.4635761589403974	GCA_001543015.1__GCA_013215285.1
473	308	252	0.347457627118644	GCA_001543395.1__GCA_017395365.1
354	231	186	0.3456090651558073	GCA_001543395.1__GCA_017539045.1
395	255	209	0.3527918781725888	GCA_001543395.1__GCA_902786745.1
1715	1224	759	0.2858809801633606	GCA_001557035.1__GCA_013205335.1
1525	1093	687	0.2828083989501312	GCA_001557035.1__GCA_017990895.1
308	231	158	0.247557003257329	GCA_001560915.1__GCA_902787415.1
724	553	312	0.2351313969571231	GCA_001564055.1__GCA_009908945.1
396	111	280	0.718987341772152	GCA_001567185.1__GCA_013414665.1
264	184	136	0.3003802281368821	GCA_001567275.1__GCA_019136655.1
449	343	207	0.234375	GCA_001578795.1__GCA_905372115.1
482	305	283	0.3659043659043659	GCA_001578945.1__GCA_901875575.1
486	234	309	0.5175257731958762	GCA_001578945.1__GCA_905221155.1
538	380	274	0.292364990689013	GCA_001579015.1__GCA_905221035.1
568	396	277	0.3015873015873016	GCA_001579015.1__GCA_905221505.1
540	411	263	0.2374768089053803	GCA_001579015.1__GCA_905369855.1
542	329	287	0.3918669131238447	GCA_001579035.1__GCA_905221295.1
541	375	257	0.3055555555555556	GCA_001579035.1__GCA_905221345.1
539	393	260	0.2695167286245353	GCA_001579035.1__GCA_905221385.1
614	436	306	0.2887438825448614	GCA_001579035.1__GCA_905221545.1
974	696	494	0.2846865364850977	GCA_001580565.1__GCA_000648925.1
949	668	479	0.2953586497890295	GCA_001580565.1__GCA_001544655.2
241	158	129	0.3416666666666667	GCA_001587575.1__GCA_013178285.1
269	202	148	0.2462686567164179	GCA_001587595.1__GCA_012799835.1
390	282	178	0.2750642673521851	GCA_001587715.1__GCA_013329085.1
536	372	279	0.3046728971962616	GCA_001601825.1__GCA_018815245.1
714	520	354	0.270687237026648	GCA_001602645.1__GCA_002506535.1
238	163	116	0.3122362869198312	GCA_001602865.1__GCA_017438265.1
550	357	276	0.3497267759562842	GCA_001602885.1__GCA_900167895.1
613	463	301	0.2434640522875817	GCA_001602925.1__GCA_013334655.1
645	462	335	0.2826086956521739	GCA_001602925.1__GCA_013334855.1
590	449	284	0.2376910016977929	GCA_001602925.1__GCA_016931495.1
419	309	203	0.2607655502392344	GCA_001603115.1__GCA_012519125.1
863	636	425	0.2621809744779582	GCA_001603145.1__GCA_902797925.1
565	415	240	0.2641843971631206	GCA_001603415.1__GCA_011045955.1
586	426	265	0.2717948717948718	GCA_001603415.1__GCA_011367975.1
489	364	231	0.2540983606557376	GCA_001603665.1__GCA_017538795.1
301	226	133	0.2466666666666667	GCA_001603665.1__GCA_017616675.1
527	235	328	0.5532319391634981	GCA_001603665.1__GCA_902774295.1
577	376	313	0.3472222222222222	GCA_001603665.1__GCA_905234275.1
475	343	214	0.2763713080168776	GCA_001603665.1__GCA_905236635.1
818	582	433	0.2876376988984088	GCA_001603905.1__GCA_017526585.1
867	638	411	0.2632794457274826	GCA_001603905.1__GCA_902794535.1
826	600	406	0.2727272727272727	GCA_001603905.1__GCA_902799745.1
880	636	429	0.2764505119453925	GCA_001603955.1__GCA_012719415.1
527	368	274	0.3003802281368821	GCA_001604135.1__GCA_016292145.1
606	443	316	0.2677685950413223	GCA_001604135.1__GCA_016292155.1
547	381	283	0.3021978021978022	GCA_001604135.1__GCA_902764825.1
483	348	222	0.2780082987551867	GCA_001604135.1__GCA_902780785.1
932	652	394	0.2996777658431794	GCA_001604435.1__GCA_018436725.1
231	165	125	0.2826086956521739	GCA_001627235.1__GCA_018647405.1
239	170	124	0.2857142857142857	GCA_001627235.1__GCA_018691945.1
171	116	72	0.3176470588235294	GCA_001627235.1__GCA_902511735.1
182	130	74	0.2817679558011049	GCA_001627235.1__GCA_902552015.1
152	109	65	0.2781456953642384	GCA_001627235.1__GCA_902566725.1
226	167	113	0.2577777777777778	GCA_001628405.1__GCA_902509905.1
212	137	111	0.3507109004739336	GCA_001628405.1__GCA_902556205.1
89	63	51	0.284090909090909	GCA_001628485.1__GCA_902573015.1
110	79	56	0.2752293577981651	GCA_001628485.1__GCA_902573085.1
89	60	53	0.3181818181818182	GCA_001628485.1__GCA_902601345.1
109	67	62	0.3796296296296296	GCA_001628485.1__GCA_902625325.1
223	160	106	0.2792792792792793	GCA_001629235.1__GCA_001628485.1
215	156	105	0.2710280373831776	GCA_001629235.1__GCA_001629255.1
161	110	80	0.3125	GCA_001629235.1__GCA_902573015.1
189	138	94	0.2659574468085106	GCA_001629235.1__GCA_902573085.1
182	117	88	0.3535911602209944	GCA_001629235.1__GCA_902601345.1
210	155	95	0.2583732057416268	GCA_001629235.1__GCA_902625325.1
114	76	70	0.327433628318584	GCA_001629255.1__GCA_001628485.1
95	64	51	0.3191489361702128	GCA_001629255.1__GCA_902573015.1
90	70	50	0.2134831460674157	GCA_001629255.1__GCA_902601345.1
112	81	56	0.2702702702702703	GCA_001629255.1__GCA_902625325.1
491	344	220	0.2979591836734694	GCA_001648025.1__GCA_902636535.1
1022	141	842	0.861900097943193	GCA_001648575.1__GCA_001636495.1
526	386	256	0.2647619047619047	GCA_001689495.1__GCA_001701225.1
95	69	44	0.2659574468085106	GCA_001704065.1__GCA_902519325.1
99	72	43	0.2653061224489795	GCA_001704065.1__GCA_902539195.1
102	81	45	0.1980198019801979	GCA_001704065.1__GCA_902542235.1
128	92	65	0.2755905511811023	GCA_001704065.1__GCA_902543485.1
111	82	50	0.2545454545454545	GCA_001704065.1__GCA_902588975.1
1871	238	1752	0.8727272727272728	GCA_001704275.1__GCA_000963515.1
1040	781	519	0.2483156881616939	GCA_001709035.1__GCA_019100305.1
596	379	306	0.3630252100840336	GCA_001724985.1__GCA_017991675.1
920	652	445	0.2905331882480957	GCA_001724985.1__GCA_018240795.1
801	525	437	0.34375	GCA_001725255.1__GCA_001724135.1
1005	748	417	0.2549800796812749	GCA_001750925.1__GCA_002352445.1
497	370	240	0.2540322580645161	GCA_001768325.1__GCA_002383605.1
530	379	285	0.2835538752362949	GCA_001768325.1__GCA_002398565.1
823	578	415	0.2968369829683698	GCA_001770235.1__GCA_018781585.1
531	400	255	0.2452830188679244	GCA_001770775.1__GCA_017989885.1
961	690	475	0.28125	GCA_001770955.1__GCA_016192425.1
1439	1052	636	0.2684283727399166	GCA_001771285.1__GCA_016208645.1
152	25	120	0.8344370860927153	GCA_001773255.1__GCA_000503835.1
155	109	69	0.2922077922077922	GCA_001773385.1__GCA_001773135.1
572	384	273	0.3274956217162872	GCA_001773855.1__GCA_014894455.1
580	396	271	0.3160621761658031	GCA_001773955.1__GCA_003451675.1
579	412	277	0.28719723183391	GCA_001773955.1__GCA_011056645.1
518	384	248	0.2572533849129593	GCA_001773955.1__GCA_014894735.1
602	458	276	0.237936772046589	GCA_001773955.1__GCA_018903015.1
475	349	232	0.2637130801687763	GCA_001775755.1__GCA_001775715.1
695	498	314	0.2824207492795388	GCA_001775755.1__GCA_014894455.1
1277	928	580	0.2727272727272727	GCA_001788415.1__GCA_001788395.1
985	755	461	0.2327235772357723	GCA_001788495.1__GCA_001790205.1
393	184	263	0.5306122448979591	GCA_001793945.1__GCA_001793895.1
683	476	330	0.3020527859237536	GCA_001794825.1__GCA_013912005.1
945	677	491	0.2828389830508474	GCA_001794825.1__GCA_016183935.1
429	317	206	0.2593457943925233	GCA_001797445.1__GCA_011391555.1
879	643	440	0.2676537585421412	GCA_001799285.1__GCA_002347095.1
1109	797	494	0.2806859205776173	GCA_001799475.1__GCA_018817515.1
1078	758	488	0.2961931290622098	GCA_001799475.1__GCA_018822105.1
1206	850	527	0.2946058091286306	GCA_001799475.1__GCA_903843965.1
700	506	362	0.2761087267525035	GCA_001799635.1__GCA_016234365.1
781	578	396	0.2589743589743589	GCA_001799735.1__GCA_001799715.1
319	220	162	0.3081761006289308	GCA_001799795.1__GCA_003482905.1
816	608	393	0.2539877300613496	GCA_001799895.1__GCA_001799715.1
836	592	442	0.2910179640718563	GCA_001799895.1__GCA_001799735.1
802	521	473	0.3495630461922596	GCA_001799895.1__GCA_001799845.1
194	126	116	0.3471502590673575	GCA_001800905.1__GCA_002382495.1
188	136	95	0.2727272727272727	GCA_001800905.1__GCA_017984035.1
786	578	383	0.2636942675159236	GCA_001800975.1__GCA_010906935.1
874	640	429	0.2668957617411226	GCA_001800975.1__GCA_014859175.1
698	520	345	0.2539454806312768	GCA_001800975.1__GCA_016649745.1
674	500	328	0.2570579494799405	GCA_001802655.1__GCA_012274165.1
649	463	306	0.2854938271604939	GCA_001805005.1__GCA_003489165.1
822	559	393	0.3191230207064556	GCA_001805005.1__GCA_016194325.1
642	443	298	0.3088923556942278	GCA_001805105.1__GCA_016195565.1
669	492	332	0.2634730538922155	GCA_001805105.1__GCA_018896985.1
381	265	161	0.3026315789473685	GCA_001805565.1__GCA_003522725.1
703	507	279	0.2777777777777778	GCA_001828645.1__GCA_016235875.1
352	268	164	0.2364672364672364	GCA_001829005.1__GCA_017996795.1
536	395	253	0.2616822429906542	GCA_001829715.1__GCA_903903705.1
219	35	147	0.8394495412844036	GCA_001830325.1__GCA_000342265.1
1139	829	569	0.2715289982425307	GCA_001830555.1__GCA_015657575.1
887	457	493	0.4841986455981941	GCA_001830555.1__GCA_016704835.1
761	517	394	0.3197368421052632	GCA_001871085.1__GCA_016218665.1
411	270	211	0.3414634146341463	GCA_001871815.1__GCA_003485765.1
395	291	182	0.2614213197969542	GCA_001871815.1__GCA_018819285.1
231	142	143	0.3826086956521739	GCA_001871905.1__GCA_002421905.1
1692	1252	841	0.2596096984033116	GCA_001873365.1__GCA_003456035.1
1722	565	1048	0.6717024985473562	GCA_001873365.1__GCA_003609755.1
781	566	382	0.2743589743589744	GCA_001873745.1__GCA_018896355.1
456	342	195	0.2483516483516483	GCA_001873935.1__GCA_011391555.1
578	401	290	0.3050259965337955	GCA_001873935.1__GCA_017881405.1
86	60	39	0.2941176470588235	GCA_001875345.1__GCA_001875365.1
1316	968	659	0.2638783269961977	GCA_001890975.1__GCA_002340255.1
863	611	440	0.291183294663573	GCA_001896555.1__GCA_018433085.1
851	608	419	0.2847058823529411	GCA_001896555.1__GCA_018433775.1
832	597	394	0.2815884476534296	GCA_001896555.1__GCA_018436855.1
672	491	283	0.2682563338301043	GCA_001896715.1__GCA_002501655.1
677	440	322	0.3491124260355029	GCA_001896715.1__GCA_002506585.1
611	368	315	0.3967213114754098	GCA_001896715.1__GCA_016841955.1
784	599	367	0.2349936143039591	GCA_001897425.1__GCA_017848755.1
676	481	326	0.2874074074074074	GCA_001897675.1__GCA_018262815.1
783	498	428	0.3631713554987212	GCA_001897675.1__GCA_018820765.1
754	533	400	0.2921646746347941	GCA_001897755.1__GCA_017305455.1
417	229	272	0.4495192307692307	GCA_001897855.1__GCA_018267955.1
1158	835	586	0.2783059636992221	GCA_001897995.1__GCA_017307275.1
1192	789	586	0.3375314861460957	GCA_001898115.1__GCA_017308015.1
1016	608	556	0.4009852216748768	GCA_001898145.1__GCA_017744695.1
460	330	213	0.2810457516339869	GCA_001898325.1__GCA_002313585.1
1792	1320	880	0.2629815745393634	GCA_001898425.1__GCA_017304945.1
