pairid	anim_ani	anim_af_ref	anim_af_qry	aligned_bases_qry	af_tier
GCF_014647275.1__GCF_014653255.1	83.4300	12.34	6.81	391258	verylow-AF
GCF_000708185.1__GCF_014875755.1	83.1900	11.30	16.85	470549	verylow-AF
GCA_017511185.1__GCA_017533965.1	97.0900	68.07	54.78	1250044	low-AF
GCA_017511185.1__GCA_017544305.1	82.9200	1.39	1.11	25393	verylow-AF
GCA_017533965.1__GCA_017544305.1	83.0500	1.04	1.03	18838	verylow-AF
GCA_003157415.1__GCA_003170895.1	85.8200	37.94	29.08	797542	verylow-AF
GCA_000996945.1__GCA_003521685.1	99.5000	49.88	60.12	269188	strict
GCA_001817195.1__GCA_001817235.1	99.7200	90.20	94.04	591401	strict
GCA_000996945.1__GCA_001817195.1	84.9700	0.53	0.77	3429	verylow-AF
GCA_017991235.1__GCA_018062915.1	85.2200	33.50	35.01	3060412	low-AF
GCA_014584455.1__GCA_017991235.1	84.0300	18.90	22.63	1633778	verylow-AF
GCA_015075455.1__GCA_017991235.1	83.9600	19.19	18.84	1808512	verylow-AF
GCA_000991855.1__GCA_001784965.1	85.1400	21.00	16.35	177034	verylow-AF
GCA_000990805.1__GCA_001784965.1	99.8700	93.04	79.91	782136	strict
GCA_000991855.1__GCA_000991935.1	99.9400	94.64	97.66	1057112	strict
GCA_018609085.1__GCA_905181845.1	98.5400	97.21	63.66	1901627	strict
GCA_018609085.1__GCA_905478435.1	91.6300	85.29	46.65	1393556	low-AF
GCA_905181845.1__GCA_905478435.1	91.9200	62.96	52.50	1026714	low-AF
GCA_001805395.1__GCA_003529035.1	99.5500	50.42	87.87	901197	strict
GCA_001805395.1__GCA_016201705.1	85.6100	30.13	50.69	519858	low-AF
GCA_003529035.1__GCA_016201705.1	85.7000	41.06	39.77	710039	low-AF
GCA_002298105.1__GCA_903871215.1	82.7800	1.63	1.37	99621	verylow-AF
GCA_002298105.1__GCA_903919565.1	82.9200	1.53	1.29	93877	verylow-AF
GCA_903871215.1__GCA_903919565.1	99.5800	94.07	94.40	5770009	strict
GCA_003552205.1__GCA_003554165.1	84.2900	33.69	29.13	677324	verylow-AF
GCA_003552205.1__GCA_007120975.1	84.6500	40.33	42.42	986359	low-AF
GCA_003554165.1__GCA_007120975.1	99.5300	62.91	76.04	1465029	strict
GCF_001652445.1__GCF_012932945.1	84.7300	4.11	3.93	150228	verylow-AF
GCF_000940515.1__GCF_900110905.1	83.8200	9.66	10.55	230647	verylow-AF
GCF_900110905.1__GCF_900454515.1	84.3300	9.20	8.41	195304	verylow-AF
GCF_900101275.1__GCF_900110905.1	98.8700	91.66	95.52	2128093	strict
GCA_017988525.1__GCA_018059655.1	99.6300	79.84	90.93	1422757	strict
GCA_018056875.1__GCA_018434395.1	96.4300	67.54	74.57	1424737	strict
GCA_018056875.1__GCA_018059655.1	84.0500	0.30	0.27	5124	verylow-AF
GCA_010021865.1__GCA_016462855.1	83.9800	20.10	16.13	304110	verylow-AF
GCA_010029765.1__GCA_016462855.1	84.0600	18.29	14.94	276783	verylow-AF
GCA_016462855.1__GCA_903954105.1	82.7900	2.24	2.09	31636	verylow-AF
GCA_002420045.1__GCA_902500795.1	82.9000	3.76	3.01	129450	verylow-AF
GCA_002083355.1__GCA_015904025.1	84.9500	1.38	1.40	40679	verylow-AF
GCF_009859045.1__GCF_017869345.1	84.1000	44.01	42.72	516274	low-AF
GCA_017745055.1__GCF_014193045.1	87.7100	58.99	59.03	3454815	low-AF
GCA_017745055.1__GCF_014193085.1	87.7000	59.05	59.16	3462953	low-AF
GCF_014193045.1__GCF_014193085.1	98.2400	93.86	93.89	5491890	strict
GCA_002312915.1__GCA_012797395.1	83.7100	1.91	1.36	38598	verylow-AF
GCA_002312915.1__GCA_018052725.1	83.2400	2.36	1.88	53451	verylow-AF
GCA_012797395.1__GCA_018052725.1	99.8500	85.36	95.47	1927535	strict
GCA_017474185.1__GCF_003364175.1	98.7200	76.65	87.32	1342624	strict
GCA_017474185.1__GCF_003367595.1	81.8600	1.58	2.09	32063	verylow-AF
GCF_003364175.1__GCF_003367595.1	83.1400	2.03	2.32	40529	verylow-AF
GCA_900066075.1__GCA_905215415.1	86.7000	48.10	28.18	921672	verylow-AF
GCA_900066075.1__GCA_900754225.1	83.9600	1.41	1.58	51635	verylow-AF
GCA_900754225.1__GCF_900102475.1	88.4400	41.52	51.73	1870006	low-AF
GCA_007095795.1__GCF_008579565.1	94.8800	74.14	76.38	3540805	strict
GCA_007096815.1__GCF_014218765.1	95.9400	71.30	77.50	3581915	strict
GCF_000312185.1__GCF_015207115.1	95.7000	75.35	69.40	3598230	strict
GCF_001005145.1__GCF_001708125.1	89.5900	63.30	64.27	4863531	strict
GCF_001005145.1__GCF_900105175.1	89.5000	64.41	63.91	4836247	strict
GCF_001708125.1__GCF_900105175.1	95.0200	83.53	81.41	6239796	strict
GCF_002929575.1__GCF_004402515.1	87.8400	63.20	59.37	2436558	low-AF
GCF_002205495.2__GCF_004402315.1	84.5600	15.65	14.33	567575	verylow-AF
GCF_002205495.2__GCF_004564305.1	85.0200	24.69	22.09	874671	verylow-AF
GCA_017992355.1__GCA_903931985.1	92.2700	72.70	58.23	1395920	low-AF
GCA_013333485.2__GCA_905372195.1	85.4800	2.16	2.24	17564	verylow-AF
GCA_013333485.2__GCA_905372385.1	85.5800	0.71	0.79	6217	verylow-AF
GCA_015257615.1__GCA_905371785.1	94.5500	73.08	85.56	665149	strict
GCF_010686785.1__GCF_900099475.1	84.7600	5.56	6.06	136703	verylow-AF
GCF_010686785.1__GCF_902386265.1	84.6500	5.38	6.01	135513	verylow-AF
GCF_900099475.1__GCF_902386265.1	98.9700	90.65	89.57	2280019	strict
GCF_000807215.1__GCF_001675355.1	86.2700	50.81	48.16	1409749	low-AF
GCF_000807215.1__GCF_007556615.1	85.6900	40.62	38.14	1116481	low-AF
GCF_000807215.1__GCF_001481285.1	97.5400	87.03	86.50	2532116	strict
GCA_009842625.1__GCA_009844335.1	85.7700	3.01	3.14	100806	verylow-AF
GCA_009842195.1__GCA_009842625.1	85.5000	3.16	3.12	100345	verylow-AF
GCA_009842195.1__GCA_009844335.1	95.8500	87.51	88.95	2857594	strict
GCF_001315065.1__GCF_001315085.1	90.0700	3.86	3.91	177241	verylow-AF
GCF_001315045.1__GCF_001315065.1	91.9500	4.78	4.93	223452	verylow-AF
GCF_001315045.1__GCF_001591945.1	84.7900	6.80	6.68	302826	verylow-AF
GCA_001312545.1__GCF_000258535.2	83.8500	3.24	4.10	225691	verylow-AF
GCA_001312545.1__GCA_001312585.1	86.8300	7.78	7.29	401373	verylow-AF
GCF_003057575.1__GCF_900119055.1	83.3400	4.01	3.75	292929	verylow-AF
GCF_000813785.1__GCF_000813925.1	97.8900	92.19	93.45	4295106	strict
GCA_002388965.1__GCF_000813785.1	87.5500	64.78	71.97	2975814	strict
GCF_000813925.1__GCF_004535885.1	86.4300	59.32	64.96	3027545	strict
GCA_007119975.1__GCA_007129275.1	99.8600	94.81	90.25	3908080	strict
GCA_007120175.1__GCA_007125965.1	99.8900	84.70	94.93	3013788	strict
GCA_007119975.1__GCA_007125965.1	85.4800	4.11	3.33	144326	verylow-AF
GCA_001421095.1__GCA_013333165.2	86.7700	0.09	0.05	1244	verylow-AF
GCA_001421095.1__GCA_905373675.1	92.4300	87.80	74.52	1875193	strict
GCA_013333165.2__GCA_905373675.1	88.2200	0.04	0.06	883	verylow-AF
GCA_016708385.1__GCA_903828345.1	84.5800	19.88	23.22	1055613	verylow-AF
GCA_016705145.1__GCA_903828345.1	84.6500	19.34	23.54	1045870	verylow-AF
GCA_016705145.1__GCA_903880165.1	84.7400	19.33	23.85	1059714	verylow-AF
GCF_001936295.1__GCF_019134655.1	93.8400	93.69	90.01	1171993	strict
GCF_000021405.1__GCF_014525855.1	91.5300	86.04	86.15	1159155	strict
GCF_008828765.2__GCF_017911735.1	92.0800	80.49	89.97	1065819	strict
GCF_000262065.2__GCF_011319935.1	86.7000	42.84	40.01	2671867	low-AF
GCF_002196875.1__GCF_005502555.1	86.8600	62.93	56.77	3847525	low-AF
GCF_002003485.1__GCF_011320055.1	85.8900	38.26	36.50	2282406	low-AF
GCF_000227355.1__GCF_004127945.1	84.3600	2.33	2.55	30428	verylow-AF
GCF_000227355.1__GCF_009883755.1	99.9600	99.80	99.98	1194924	strict
GCF_004127945.1__GCF_009883755.1	84.3400	2.31	2.33	30417	verylow-AF
GCA_019042235.1__GCA_019042245.1	89.5100	68.08	65.61	3847363	strict
GCA_019042235.1__GCA_900066755.1	98.9300	84.22	84.65	4964369	strict
GCA_019042245.1__GCA_900066755.1	89.2300	63.38	65.97	3678884	strict
GCA_903960095.1__GCA_905181905.1	81.6600	1.14	0.45	25304	verylow-AF
GCA_903943535.1__GCA_903960095.1	83.5100	5.16	7.49	288598	verylow-AF
GCA_013297845.1__GCA_903866835.1	83.1400	0.42	0.58	18985	verylow-AF
GCA_008011925.1__GCA_017997765.1	98.7600	61.61	81.43	2385268	strict
GCA_008011925.1__GCA_017998765.1	85.3800	20.40	24.87	728566	verylow-AF
GCA_017997765.1__GCA_017998765.1	85.5000	28.99	26.50	1018014	verylow-AF
GCA_902774735.1__GCA_902794665.1	86.3100	21.55	26.99	572593	verylow-AF
GCA_905233115.1__GCA_905233635.1	85.3900	29.18	32.37	795822	low-AF
GCA_902774735.1__GCF_008271345.1	97.9900	64.97	92.73	1967311	strict
GCA_017888485.1__GCA_904379225.1	85.9800	33.48	33.47	780622	low-AF
GCF_000428085.1__GCF_000762025.1	83.7400	4.94	5.00	92234	verylow-AF
GCA_900620755.1__GCF_001868655.1	83.6000	6.32	7.07	114758	verylow-AF
GCA_900620755.1__GCF_001752515.1	83.9300	5.57	6.05	98191	verylow-AF
GCF_000747245.1__GCF_001712815.1	85.6300	29.47	30.94	642785	low-AF
GCF_002243535.1__GCF_007991535.1	84.1300	34.33	36.66	952752	low-AF
GCF_002243535.1__GCF_016760145.1	84.4500	34.78	38.74	1006952	low-AF
GCA_015657095.1__GCA_016286065.1	89.9500	0.08	0.13	1436	verylow-AF
GCA_015657095.1__GCA_017403095.1	83.2200	2.21	2.07	23236	verylow-AF
GCA_016286065.1__GCA_017403095.1	81.7200	0.72	0.45	7563	verylow-AF
GCA_002172655.2__GCA_902547125.1	94.4000	62.22	75.97	754929	strict
GCA_002172655.2__GCA_902618475.1	94.7700	56.62	65.32	649093	strict
GCA_902547125.1__GCA_902618475.1	99.0000	67.59	64.44	773567	strict
GCF_011039295.1__GCF_014645755.1	91.6100	72.01	74.71	4038980	strict
GCF_003226595.1__GCF_014645755.1	87.1700	49.02	55.21	2494556	low-AF
GCF_003226595.1__GCF_010686625.1	86.8400	50.95	51.07	2307723	low-AF
GCA_017455465.1__GCA_902774435.1	87.0100	47.07	48.58	1501912	low-AF
GCA_017455465.1__GCF_900108415.1	96.6900	61.37	72.54	2242634	strict
GCA_902774435.1__GCF_900108415.1	87.1100	44.79	51.51	1622815	low-AF
GCA_002333375.1__GCF_003337495.1	82.4200	1.63	2.70	75774	verylow-AF
GCA_002333375.1__GCA_017536985.1	82.0200	1.61	2.01	56441	verylow-AF
GCA_002333375.1__GCA_017542965.1	81.9400	2.06	2.22	62225	verylow-AF
GCA_017461305.1__GCA_900762545.1	82.7500	1.64	1.73	34716	verylow-AF
GCA_004000515.1__GCF_014230445.1	96.8900	84.50	78.60	5912923	strict
GCA_018380915.1__GCF_001005065.1	99.2000	88.39	92.39	2772749	strict
GCF_000741405.1__GCF_001005065.1	99.9900	99.95	100.00	3141725	strict
GCA_018380915.1__GCA_905371925.1	99.9700	96.14	96.94	2909316	strict
GCA_001512365.1__GCA_002496495.1	99.8400	88.64	96.71	2677267	strict
GCF_000969925.1__GCF_900116525.1	99.8200	97.35	97.65	3056614	strict
GCA_002497045.1__GCA_003584605.1	99.8300	76.20	99.10	2412163	strict
GCA_902533225.1__GCA_902548635.1	96.0700	61.44	74.73	1274144	strict
GCF_000381465.1__GCF_000428605.1	97.4400	78.42	88.43	2447051	strict
GCF_000381385.1__GCF_000420185.1	95.0800	80.23	87.06	2407979	strict
GCF_000381385.1__GCF_000428605.1	97.4400	78.41	88.41	2445412	strict
GCF_000518465.1__GCF_900177285.1	98.9100	95.79	95.40	4637208	strict
GCF_000403375.2__GCF_900177265.1	97.8400	93.86	92.29	4412401	strict
GCF_000403375.2__GCF_900177285.1	97.5800	90.46	91.83	4390634	strict
GCA_013139715.1__GCA_013374455.1	96.5300	45.66	61.41	997138	strict
GCA_013139715.1__GCA_013374465.1	96.5900	43.23	47.35	768822	low-AF
GCA_013374455.1__GCA_013374465.1	97.1100	62.25	50.97	1091261	low-AF
GCA_017859085.1__GCA_017859735.1	99.7100	97.02	95.12	1620045	strict
GCF_007989225.1__GCF_012396205.1	99.2200	91.17	82.90	3666918	strict
GCF_007989225.1__GCF_018917805.1	98.7300	91.54	85.07	3763186	strict
GCF_012396205.1__GCF_018917805.1	98.8200	85.82	87.60	3526741	strict
GCF_000278445.1__GCF_004153645.1	98.2600	87.71	93.79	4362509	strict
GCF_000278445.1__GCF_900455725.1	98.3900	90.25	93.98	4371538	strict
GCF_004153645.1__GCF_900455725.1	98.9400	92.74	90.30	4487556	strict
GCA_018655405.1__GCA_018664505.1	99.1000	77.89	85.97	2870212	strict
GCA_018664505.1__GCA_018696915.1	99.1100	87.52	79.34	2983258	strict
GCA_018658165.1__GCA_018673355.1	98.9500	75.41	81.83	2324964	strict
GCF_007748015.1__GCF_007751945.1	95.6300	86.15	89.01	7106802	strict
GCA_015656245.1__GCA_904502255.1	100.0000	100.00	100.00	1315043	strict
GCA_902788065.1__GCA_902794915.1	97.7100	81.91	77.75	2328091	strict
GCA_902755745.1__GCA_902779515.1	97.3000	73.55	71.27	1944442	strict
GCA_902762175.1__GCA_902779515.1	97.0500	77.86	75.44	2046243	strict
GCF_001280885.1__GCF_004364395.1	98.9800	90.41	91.54	7883566	strict
GCF_001280885.1__GCF_004794975.1	99.1100	87.18	92.95	8004987	strict
GCF_004364395.1__GCF_004794975.1	98.9100	84.81	89.35	7815595	strict
GCA_002323055.1__GCA_002788895.1	99.9500	96.54	96.53	731411	strict
GCA_002788895.1__GCA_002792255.1	99.9400	95.96	96.66	732174	strict
GCA_002323055.1__GCA_002792255.1	99.9800	96.92	97.63	739688	strict
GCA_900322065.1__GCF_003438725.1	98.0700	66.42	95.06	1886984	strict
GCA_003538965.1__GCA_902791515.1	98.2800	84.24	76.19	1633186	strict
GCA_900322065.1__GCA_905205725.1	97.6800	57.15	95.35	1892665	strict
GCF_001583505.1__GCF_003718685.1	96.5300	94.90	93.17	3577776	strict
GCA_017655215.1__GCF_003718675.1	99.2500	96.31	90.72	3578546	strict
