pairid	anim_ani	band	n_syn2b	n_dnadiff	n_matched	n_syn2b_only	n_dnadiff_only	median_dist	max_dist	shared_tags	spacing_bp	observable_fraction	dists
GCF_001086805.1__GCF_018279305.1		unknown	3	52	3	0	49	2802	7759	10126	444	1.0000	1208,2802,7759
GCF_001516245.2__GCF_002237425.1		unknown	10	40	10	0	30	14266	545334	9235	487	1.0000	161,298,543,1910,7940,20592,49192,77958,94646,545334
GCF_001516245.2__GCF_003319235.1		unknown	5	31	5	0	26	38048	333088	10216	440	1.0000	161,2012,38048,66820,333088
GCF_001516245.2__GCF_006364735.1		unknown	3	30	3	0	27	75621	326199	10144	444	1.0000	128,75621,326199
GCF_001516245.2__GCF_006364795.1		unknown	3	44	3	0	41	86149	315678	10153	443	1.0000	161,86149,315678
GCF_001516245.2__GCF_015697605.1		unknown	3	28	3	0	25	83488	325334	10147	443	1.0000	128,83488,325334
GCF_000026645.1__GCF_000271985.2		unknown	3	22	3	0	19	295629	313574	10291	437	1.0000	161,295629,313574
GCF_000026645.1__GCF_006364735.1		unknown	5	36	5	0	31	1566	332947	10253	439	1.0000	128,235,1566,192700,332947
GCF_000271365.1__GCF_000271985.2		unknown	3	32	3	0	29	3123	12803	10153	443	1.0000	411,3123,12803
GCF_000271365.1__GCF_001077475.1		unknown	8	39	8	0	31	12774	269505	10005	450	1.0000	855,2899,4328,12627,12921,51216,65945,269505
GCF_000271365.1__GCF_003319235.1		unknown	13	38	13	0	25	8217	164065	10158	443	1.0000	240,429,474,678,2012,2838,8217,15417,21216,24882,37936,88833,164065
GCF_000271365.1__GCF_006364735.1		unknown	4	39	4	0	35	39702	460504	9992	450	1.0000	418,1089,78316,460504
GCF_000271365.1__GCF_013255565.1		unknown	9	49	9	0	40	3458	161636	8939	503	1.0000	210,240,431,737,3458,12041,21219,94056,161636
GCF_000271365.1__GCF_018141625.1		unknown	3	43	3	0	40	44995	111547	9947	452	1.0000	240,44995,111547
GCF_000271985.2__GCF_000504045.1		unknown	4	30	4	0	26	10664	71887	9011	499	1.0000	164,2521,18806,71887
GCF_000271985.2__GCF_000508765.1		unknown	3	35	3	0	32	18253	116717	10292	437	1.0000	211,18253,116717
GCF_000271985.2__GCF_000981825.1		unknown	3	38	3	0	35	23629	334909	10086	446	1.0000	211,23629,334909
GCF_000271985.2__GCF_001516245.2		unknown	3	32	3	0	29	17379	176074	10053	448	1.0000	211,17379,176074
GCF_000271985.2__GCF_001548335.1		unknown	2	43	2	0	41	90858	106434	8990	501	1.0000	75282,106434
GCF_000271985.2__GCF_001606045.1		unknown	3	28	3	0	25	294362	357665	10250	439	1.0000	210,294362,357665
GCF_000271985.2__GCF_001792835.1		unknown	3	33	3	0	30	94979	134092	10239	439	1.0000	213,94979,134092
GCF_000271985.2__GCF_001792855.1		unknown	3	35	3	0	32	2785	94733	10241	439	1.0000	213,2785,94733
GCF_000271985.2__GCF_002075065.1		unknown	2	31	2	0	29	43878	81519	9600	469	1.0000	6236,81519
GCF_000271985.2__GCF_002411865.3		unknown	3	39	3	0	36	229404	351883	10140	444	1.0000	211,229404,351883
GCF_000271985.2__GCF_002753655.1		unknown	3	45	3	0	42	918	78712	8560	526	1.0000	618,918,78712
GCF_000271985.2__GCF_002946935.1		unknown	6	37	6	0	31	13192	205049	9843	457	1.0000	211,890,8124,18259,43187,205049
GCF_000271985.2__GCF_003052005.2		unknown	9	32	9	0	23	63558	284843	10064	447	1.0000	213,983,15979,42917,63558,78794,105003,187990,284843
GCF_000271985.2__GCF_003073795.1		unknown	8	34	8	0	26	55955	351965	10251	439	1.0000	210,439,2364,3576,108334,144622,247950,351965
GCF_000271985.2__GCF_003074115.1		unknown	3	30	3	0	27	65829	243898	9024	499	1.0000	1714,65829,243898
GCF_000271985.2__GCF_003194245.1		unknown	5	29	5	0	24	3576	374792	10255	439	1.0000	210,439,3576,229439,374792
GCF_000271985.2__GCF_003369755.1		unknown	7	33	7	0	26	392	342747	9955	452	1.0000	94,161,211,392,23628,138657,342747
GCF_000271985.2__GCF_003429185.1		unknown	2	33	2	0	31	13698	18927	10262	439	1.0000	8469,18927
GCF_000271985.2__GCF_003429205.1		unknown	3	36	3	0	33	134408	238101	10156	443	1.0000	211,134408,238101
GCF_000271985.2__GCF_004102665.1		unknown	2	33	2	0	31	940	1716	10267	438	1.0000	164,1716
GCF_000271985.2__GCF_007559105.1		unknown	3	37	3	0	34	61041	133983	10231	440	1.0000	213,61041,133983
GCF_000271985.2__GCF_009867055.1		unknown	6	35	6	0	29	135020	513564	10279	438	1.0000	211,1890,114194,155846,229390,513564
GCF_000271985.2__GCF_012935295.1		unknown	2	33	2	0	31	13698	18927	10235	440	1.0000	8469,18927
GCF_000271985.2__GCF_013305645.2		unknown	3	36	3	0	33	98585	302938	9887	455	1.0000	211,98585,302938
GCF_000271985.2__GCF_013305765.1		unknown	2	32	2	0	30	940	1716	10270	438	1.0000	164,1716
GCF_000271985.2__GCF_015697465.1		unknown	3	29	3	0	26	229405	350136	10292	437	1.0000	211,229405,350136
GCF_000271985.2__GCF_015697665.1		unknown	3	34	3	0	31	23629	334847	10088	446	1.0000	211,23629,334847
GCF_000271985.2__GCF_016745115.1		unknown	3	40	3	0	37	98585	415291	10166	443	1.0000	211,98585,415291
GCF_000271985.2__GCF_018141565.1		unknown	2	36	2	0	34	32238	56006	10036	448	1.0000	8469,56006
GCF_000271985.2__GCF_018279265.1		unknown	3	34	3	0	31	1714	65829	9040	498	1.0000	1604,1714,65829
GCF_000271985.2__GCF_900095805.1		unknown	3	43	3	0	40	52097	235943	9043	498	1.0000	1943,52097,235943
GCF_000271985.2__GCF_900149285.1		unknown	3	30	3	0	27	229410	529109	10344	435	1.0000	211,229410,529109
GCF_000271985.2__GCF_904866275.1		unknown	5	29	5	0	24	91401	229392	10263	438	1.0000	211,45372,91401,139046,229392
GCF_000359505.1__GCF_002237425.1		unknown	8	42	8	0	34	15988	48414	10135	444	1.0000	1102,2026,11998,15976,16001,18260,32666,48414
GCF_000359505.1__GCF_003319235.1		unknown	3	47	3	0	44	10169	37838	9177	490	1.0000	462,10169,37838
GCF_000359505.1__GCF_013376775.1		unknown	4	42	4	0	38	1730	38120	9235	487	1.0000	300,462,2999,38120
GCF_000496605.2__GCF_001077475.1		unknown	8	32	8	0	24	43870	709680	10234	440	1.0000	855,1908,5153,12919,74820,83911,423911,709680
GCF_000504045.1__GCF_013376775.1		unknown	9	41	9	0	32	2831	163951	9290	484	1.0000	86,415,1080,1281,2831,18549,35461,38232,163951
GCF_000508765.1__GCF_006364735.1		unknown	5	34	5	0	29	1566	389914	10255	439	1.0000	128,235,1566,332947,389914
GCF_000510305.1__GCF_006364735.1		unknown	2	28	2	0	26	1693	2628	10246	439	1.0000	758,2628
GCF_000524595.1__GCF_000981825.1		unknown	6	49	6	0	43	3600	136773	10144	444	1.0000	200,405,2132,5067,11884,136773
GCF_000524595.1__GCF_001482325.1		unknown	6	28	6	0	22	7424	87938	10275	438	1.0000	141,1180,4110,10737,18247,87938
GCF_000524595.1__GCF_001516245.2		unknown	3	36	3	0	33	68692	82362	10284	438	1.0000	95,68692,82362
GCF_000524595.1__GCF_001516265.1		unknown	13	45	13	0	32	3211	347773	10208	441	1.0000	95,200,404,775,983,1111,3211,11873,17309,22490,62129,252537,347773
GCF_000524595.1__GCF_001516325.2		unknown	3	25	3	0	22	8391	159716	10460	430	1.0000	95,8391,159716
GCF_000524595.1__GCF_001518975.1		unknown	6	31	6	0	25	6326	333235	10327	436	1.0000	200,503,1742,10910,238078,333235
GCF_000524595.1__GCF_001548335.1		unknown	6	50	6	0	44	36668	181387	9135	493	1.0000	723,919,14014,59323,64906,181387
GCF_000524595.1__GCF_002411865.3		unknown	4	40	4	0	36	8400	108265	10247	439	1.0000	95,405,16396,108265
GCF_000524595.1__GCF_002753655.1		unknown	7	38	7	0	31	21502	300529	8632	521	1.0000	724,918,18256,21502,46746,83763,300529
GCF_000524595.1__GCF_002946935.1		unknown	8	39	8	0	31	9721	474134	9966	452	1.0000	98,405,785,2132,17310,23607,86986,474134
GCF_000524595.1__GCF_003052005.2		unknown	6	34	6	0	28	22180	605861	10198	441	1.0000	95,405,660,43700,229476,605861
GCF_000524595.1__GCF_003073795.1		unknown	3	39	3	0	36	5771	82732	10479	429	1.0000	95,5771,82732
GCF_000524595.1__GCF_003194245.1		unknown	3	31	3	0	28	135513	251434	10485	429	1.0000	110,135513,251434
GCF_000524595.1__GCF_003369755.1		unknown	10	44	10	0	34	14602	130123	10060	447	1.0000	94,200,1240,2132,11883,17321,22234,22502,69869,130123
GCF_000524595.1__GCF_003429185.1		unknown	10	31	10	0	21	64697	941015	10390	433	1.0000	95,503,8469,14000,37913,91481,101335,161306,229461,941015
GCF_000524595.1__GCF_007559085.1		unknown	6	33	6	0	27	139796	357128	10361	434	1.0000	723,9408,59555,220038,229422,357128
