pairid	frame	syn2b_n	dnadiff_n	dnadiff_n_seq	report_rearrangements	report_breakpoints	report_inversions	dnadiff_inv	dnadiff_jmp	dnadiff_seq	count_diff	syn2b_pos	dnadiff_pos	dnadiff_pos_seq
GCF_001077475.1__GCF_001518975.1	genome_wide	3	39	0	46	326	4	4	35	0	-7	3962058,4096931,4182984	77804,78616,284879,287499,522545,542689,592229,849122,1190975,1194823,1650043,1995432,2376001,2427067,2815849,2818720,2881802,3019465,3029735,3529199,3565505,3761608,3943853,4097434,4516527,4684076,4700146,4762526,4837884,4970542,5302354,5498711,5507627,5576079,5593485,5896509,5949685,5970819,6039653	
GCF_001077475.1__GCF_001594325.2	genome_wide	4	30	0	30	250	2	2	28	0	0	2857827,4058743,4195263,4293532	54015,494488,562957,578929,617562,981365,1179919,1223711,1283154,2390558,2500567,2515070,2682376,2915051,3052928,3063183,3202083,3255267,4018048,4195766,4617247,5277534,5314638,5718099,5792736,6110754,6134400,6199921,6268749,6541307	
GCF_001077475.1__GCF_002411865.3	genome_wide	2	37	0	46	388	6	6	31	0	-9	6366667,6369167	6218,67004,69492,514975,535253,640959,891666,1206714,1356555,1398893,1585529,1783730,1815031,2622114,2679847,2873636,3064795,3069897,3073945,3130733,3616680,3788958,4785905,4847333,4878976,4879861,5013443,5021977,5149276,5597718,5811631,6097870,6367761,6369251,6442809,6505407,6574231	
GCF_001077475.1__GCF_002753655.1	genome_wide	6	45	0	42	535	4	4	41	0	3	1420546,3891060,4052588,4108831,4143604,4193798	64747,65468,329399,504276,572734,854406,964597,1141226,1200075,1422779,1707533,1949394,2424898,2425394,2426203,2770746,2771632,2778097,2832944,2833285,2843683,3201616,3227866,3283542,3296891,3454613,3505611,3984835,4053231,4110035,4523076,4823200,4898299,5218636,5256406,5388450,5640293,5755869,6003953,6053244,6088301,6142469,6162516,6504896,6561615	
GCF_001077475.1__GCF_002946935.1	genome_wide	2	37	0	41	384	4	4	33	0	-4	3604242,3604980	59157,503416,758935,848868,970490,1167774,1262248,1693874,2667152,2832783,2853179,2899891,2901604,2907477,2965157,3198503,3576431,3605099,3607300,3697662,3701997,4232589,4621643,4786096,5050100,5262172,5281435,5525521,6037111,6038601,6087287,6159076,6267899,6280396,6281223,6536377,6592549	
GCF_001077475.1__GCF_003369755.1	genome_wide	6	40	0	53	402	6	6	34	0	-13	3823540,3824278,4825961,5074823,5610664,5988450	51411,61125,148857,315879,561458,1014946,1261220,1411773,1461794,1592837,1840692,2808105,3096209,3097921,3102690,3158138,3295203,3409768,3473664,3514852,3516208,3824397,3826598,4145649,4240302,4242694,4826122,4827358,5076059,5274155,5354217,5489107,5610758,5849793,6535211,6536701,6585387,6620437,6668417,7029176	
GCF_001077475.1__GCF_003429185.1	genome_wide	8	32	0	52	332	4	4	28	0	-20	1267240,1309081,2472032,2913560,2916318,4048625,4196153,4283774	50960,61246,64805,502600,841226,884832,1179021,1311322,1542081,1738141,1964203,2087193,2277191,2722409,2912333,2913489,2914949,2916742,3010217,4196656,4774731,4786376,5032324,5224683,5260907,5300058,5748473,6002745,6051445,6086503,6128800,6470205	
GCF_001077475.1__GCF_009676885.1	genome_wide	3	29	0	28	266	4	4	25	0	1	4038664,4174530,4262044	50321,498584,518741,950900,1648617,1679344,2423960,2468886,2631882,2915471,2918278,3113000,3123146,4175033,4597280,4597683,4866734,5329177,5363935,5366830,5739166,5875291,6209504,6223953,6237151,6301709,6318329,6387136,6660679	
GCF_001077475.1__GCF_009905195.1	genome_wide	6	22	0	42	292	2	2	20	0	-20	1238378,1240130,3944653,5042657,5179157,5277206	366240,720937,747080,768213,1110515,1817267,1818264,2399227,2676368,2788229,2852106,3750308,3948547,4045554,4229607,4656071,5179660,5184769,5194705,5702008,5972066,6297356	
GCF_001077475.1__GCF_015697665.1	genome_wide	5	36	0	42	386	4	4	32	0	-6	1628419,3963165,3963903,4284240,4295457	73725,83439,333456,597483,1050981,1297255,1830596,1871400,2836470,3058848,3124840,3126552,3131321,3186763,3323828,3438393,3805338,3964022,3966223,4285257,4377797,4966213,4967449,5128426,5268467,5470766,5505213,5505597,5647981,5769636,6007651,6552059,6553549,6602235,6674024,7031720	
GCF_001077475.1__GCF_900618255.1	genome_wide	6	22	0	30	270	0	0	22	0	-8	3158522,3160274,3405035,3408255,4326998,5862374	546240,549096,1376039,1565858,1758523,1796238,1880710,2215820,2614873,2667999,2688046,2756870,3029421,3371352,3412875,3617837,3944542,4063226,4610192,4721090,5965590,6379154	
GCF_001077475.1__GCF_900618265.1	genome_wide	6	22	0	30	278	0	0	22	0	-8	64429,3795637,3797389,4042150,4045370,4964078	167647,581187,1181920,1184776,1681374,2012995,2202817,2395638,2433353,2852935,3251987,3305114,3325161,3393985,3666536,4008467,4049990,4254950,4581648,4700297,5358213,5410042	
GCF_001077475.1__GCF_900618325.1	genome_wide	6	22	0	28	272	0	0	22	0	-6	43974,45726,290538,293758,1212542,2748012	256855,298378,503349,830069,948756,1606677,2401918,2851261,3264828,3671187,3865556,3868412,4695402,4885231,5078053,5115768,5535364,5934417,5987544,6007591,6076415,6349005	
GCF_001077475.1__GCF_900618335.1	genome_wide	6	22	0	28	274	0	0	22	0	-6	43974,45726,290513,293733,1212508,2747934	256830,298353,503320,830040,948727,1606647,2401842,2851154,3264725,3865435,3868291,4695279,4885108,5077930,5115645,5535241,5934300,5987427,6007474,6076298,6255703,6348892	
GCF_001086805.1__GCF_013375795.1	genome_wide	5	54	0	60	571	10	10	44	0	-6	3590265,3591063,3978076,4062368,4199108	50902,54186,54664,269761,272032,527698,577342,832750,847217,979741,1129644,1195815,1489214,1611783,1642648,2365259,2574986,2576772,2583958,2652106,2815393,2815779,2817015,2818353,2823293,2879084,3026192,3055895,3096875,3141089,3300166,3316810,3381171,3593843,4062569,4291726,4292886,4553064,4717014,4947200,5174614,5182301,5191695,5248478,5254390,5359207,5415018,5482116,5547650,5572825,5581581,5969664,6184141,6418626	
GCF_001086805.1__GCF_018279305.1	genome_wide	3	52	0	64	434	12	12	40	0	-12	706520,710573,1382791	7388,604296,627547,649758,698761,711781,730754,730942,893008,903193,1015814,1346328,1379989,1483411,1591934,1657461,1682497,1688024,1756463,2029121,2029387,2078813,2257418,2399999,2491797,2625475,2629909,2830924,3125201,3473792,3857756,3917432,4264220,5014910,5015755,5038107,5048528,5105650,5189995,5369073,5375943,5383255,5589098,5595758,5597494,5685397,5781039,5791146,5858861,5930678,5967192,6164088	
GCF_001516245.2__GCF_002237425.1	genome_wide	10	40	0	54	460	2	2	38	0	-14	335597,368221,1787341,1791272,3137247,3996977,4345821,4430924,4579382,6273496	142011,290263,335895,552949,636350,667798,1029026,1789362,1795281,1853034,1929473,2183609,2252629,2443247,2693684,2784594,2816193,2935371,3005681,3186439,3228544,3548418,3751662,3797721,3800485,3800487,3976385,4431085,4484736,5076660,5229378,5287820,5569747,5768407,5770847,5812321,5931100,6124049,6274039,6303672	
GCF_001516245.2__GCF_003319235.1	genome_wide	5	31	0	39	342	8	8	23	0	-8	3773822,4633554,4974939,5059694,5199532	806134,962234,1173813,1346100,1485445,1618960,2018360,2481950,2537411,2972558,2992935,2998370,3014019,3014033,3049902,3811870,4131586,4540607,4631542,4640616,4641851,5059855,5266352,5625681,5723870,6212505,6448694,6735011,6735945,6740108,6850609	
GCF_001516245.2__GCF_006364735.1	genome_wide	3	30	0	28	312	4	4	26	0	2	1622218,1715281,1872158	269614,363319,481562,1005260,1281108,1285696,1289271,1289273,1545959,1546597,1715409,2339676,2339677,2499464,2776795,2980786,3019729,3375788,4050061,4082249,4534943,4585324,4703541,4736724,4796674,4880927,5222678,5459359,5723893,6262656	
GCF_001516245.2__GCF_006364795.1	genome_wide	3	44	0	35	399	6	6	38	0	9	2349555,2437519,2578446	47442,87148,123963,469207,484079,504458,509375,595593,933241,968130,1087295,1153507,1257848,1275171,1353831,1715211,2262768,2263406,2437680,3002039,3067455,3225806,3254801,3555727,3604026,3741529,3742375,3854199,3979347,4311173,4321307,4321309,4391427,4650176,5103155,5337758,5619923,5696330,5786974,5923561,6007201,6207523,6740868,6783639	
GCF_001516245.2__GCF_015697605.1	genome_wide	3	28	0	31	308	4	4	24	0	-3	2163913,2258685,2405121	63329,421082,525657,731071,757069,800166,1226534,1419250,1547870,2000502,2001868,2079787,2080425,2258813,2790708,2795414,3225106,3447016,3559480,4006959,4649587,4664996,4686057,4716790,5308369,5775063,6206645,6303891	
GCF_000026645.1__GCF_000271985.2	genome_wide	3	22	0	33	256	2	2	20	0	-11	3187602,3276621,3416442	336981,1016683,1094404,1331377,1556132,1557677,1829618,2024243,2054019,2109312,2439207,2459654,2874028,3276782,3712071,3805673,4010811,4863934,4879685,4881435,5640582,5671229	
GCF_000026645.1__GCF_006364735.1	genome_wide	5	36	0	39	284	10	10	26	0	-3	1622218,1715281,1872158,5666994,5669625	269402,363355,464872,492401,651931,897562,1015791,1282345,1289271,1715409,2064858,2262072,2336628,2339676,2776795,2925460,2976167,2979074,2980284,2980747,3734762,3736488,4050025,4082249,4534943,4736724,4761885,5222676,5459360,5668560,5669860,5670054,5723893,5800402,6213258,6262656	
GCF_000271365.1__GCF_000271985.2	genome_wide	3	32	0	27	282	6	6	26	0	5	4203123,4860823,4881025	113074,128661,454195,549803,1016683,1094404,1331377,1569638,1829936,1922551,2041938,2048051,2109816,2212818,2439409,3319442,3686476,3712071,4037708,4039751,4215926,4321330,4420433,4475685,4504883,4863946,4879687,4881436,4881438,5571252,5671114,5782246	
GCF_000271365.1__GCF_001077475.1	genome_wide	8	39	0	36	316	6	6	33	0	3	1742448,1906046,1989905,3013425,3046036,3123755,3140634,5881435	133777,485981,605485,613518,676235,780448,1234455,1236221,1808393,1906901,2259410,2376015,2377817,2452209,2453458,2483166,2583361,2610259,2612302,2823508,2918870,2929565,3026052,3097252,3120856,3127713,3540323,4268336,4477500,5026568,5042139,5367992,5417498,5437744,5463973,5673537,5877107,5930895,6288297	
GCF_000271365.1__GCF_003319235.1	genome_wide	13	38	0	38	370	2	2	36	0	0	111989,2490167,3773822,4536696,4633554,5621317,5622850,6296112,6328722,6404828,6419348,6571880,6860940	20910,23156,806019,962234,1593912,1968954,2064567,2273890,2481950,2537411,2613936,2972558,2992935,3049902,3149966,3499894,3674231,3811758,4131586,4536936,4588540,4631542,4640616,5102519,5268888,5622376,5624155,5723870,5774474,6106883,6202174,6311529,6349938,6351031,6379946,6420026,6735945,6861369	
GCF_000271365.1__GCF_006364735.1	genome_wide	4	39	0	29	339	4	4	35	0	10	2259856,2261360,6260852,6262927	11764,269614,363272,481562,651831,1005260,1009827,1280343,1774673,2142170,2258767,2339676,2339677,2369110,2497421,2499464,2681348,2776787,2788791,2886991,2925418,2926284,2954193,2979304,4050061,4082134,4534943,4736710,4796674,4812263,5153031,5202429,5222678,5250272,5459054,5669054,5723893,5800348,6262509	
GCF_000271365.1__GCF_013255565.1	genome_wide	9	49	0	52	508	14	14	35	0	-3	393531,455674,2884392,2905329,4148176,4848278,4870616,6379100,6893708	45962,359329,361618,393962,1117396,1121916,1352278,1353514,1645983,1937716,2049445,2282141,2348751,2375085,2589169,2799933,2863173,2905539,2936453,3444532,3507618,3979224,3986607,4048591,4151634,4167377,4202223,4522295,4535297,4651156,4848518,4882657,5109782,5322575,5415270,5791127,5908734,5909798,5913259,6055119,6379837,6418384,6438856,6532422,6542526,6671726,6672820,6701427,6732072	
GCF_000271365.1__GCF_018141625.1	genome_wide	3	43	0	17	368	2	2	41	0	26	3263271,4114860,4124692	297481,303715,391052,401220,463983,515886,796471,928252,1141025,1156613,1531641,1551622,1579216,1778301,1990994,2044950,2483688,2503171,2636860,3163439,3308266,3341728,3346863,3371654,3422984,3617019,3685588,3849558,4013145,4115100,4996156,5021575,5163701,5165480,5270143,5398459,5400502,5599021,5731490,5878679,5926798,5956778,6310759	
GCF_000271985.2__GCF_000504045.1	genome_wide	4	30	0	14	350	0	0	30	0	16	2846217,2867743,5988022,5991566	50999,263448,841517,957705,1036904,1134913,1202211,1213981,1642650,1974679,2319136,2449297,2795856,2827411,2966247,3383998,3541804,3544523,3637512,4760494,4827003,5253041,5441597,5442778,5990543,5991402,6040101,6075295,6266922,6503570	
GCF_000271985.2__GCF_000508765.1	genome_wide	3	35	0	26	256	4	4	31	0	9	4162320,4246567,4383307	98048,255164,257380,820235,1020596,1116999,1391647,1529712,1530433,1641799,1777200,1779630,2037995,2379187,2498077,2507090,2648222,3234557,3501501,3663708,3738751,3773667,3776390,3867863,3932882,4144067,4246778,4500024,4878768,5471340,6008414,6008563,6110977,6235506,6472380	
GCF_000271985.2__GCF_000981825.1	genome_wide	3	38	0	19	432	2	2	36	0	19	4668572,4757426,4893529	51706,276002,383766,701948,915170,995862,1113948,1123999,1230689,1397495,2334050,2569951,2715447,3166638,3292124,3566762,3707794,4072636,4073450,4228846,4319390,4384370,4547904,4644943,4757637,5228438,5236340,5390639,5528070,5744612,5882754,6004355,6281703,6352733,6520488,6635487,6932452,7072920	
GCF_000271985.2__GCF_001516245.2	genome_wide	3	32	0	15	298	2	2	30	0	17	3936395,4026518,4163228	101216,260593,523744,572280,948726,1027942,1151473,1973943,2315180,2336353,2603242,2605168,2816992,2846535,2855813,3005450,3445519,3548972,3640437,3919016,4026729,4339302,4516641,4991261,5183876,5221907,5440308,5704967,6025332,6078477,6167431,6203014	
GCF_000271985.2__GCF_001548335.1	genome_wide	2	43	0	22	446	2	2	41	0	21	3110130,3115459	79977,139102,317979,342805,354991,701637,993644,1106851,1137060,1216147,1313494,1380830,1682559,1919644,2184759,2527065,2641660,2776191,2903179,3190741,3216564,3330538,3865486,3868205,3870937,3962459,4249607,4455213,5117852,5311295,5541246,5742307,5743488,5916416,6279667,6279816,6329110,6352760,6381482,6436800,6561326,6797983,6870679	
GCF_000271985.2__GCF_001606045.1	genome_wide	3	28	0	17	224	6	6	22	0	11	3879149,3969370,4106097	257101,950502,1029773,1126174,1212924,1977280,2318532,2400146,2419790,2608339,2782762,2786896,2838740,2839744,2839887,2977697,2987436,3095288,3285983,3491093,3493306,3584787,3969580,4463762,5150192,5460355,6049130,6286032	
GCF_000271985.2__GCF_001792835.1	genome_wide	3	33	0	24	298	4	4	29	0	9	624859,632998,2437385	262990,498906,625072,800966,1045499,1220249,1649132,1982026,2321188,2342406,2859108,2919491,3168371,3613868,3685170,3721628,3724347,3815835,3880835,4704056,4773718,4778586,5022276,5154264,5346588,5379880,5382800,5474057,5480880,6232949,6274089,6632004,6704250	
GCF_000271985.2__GCF_001792855.1	genome_wide	3	35	0	23	308	2	2	33	0	12	624859,632998,2469366	262990,498906,625072,635783,831685,1076218,1250973,1679856,2012750,2351929,2374633,2794950,2938815,3013105,3261984,3322201,3751375,3822677,3859135,3861854,3953342,4018342,4841533,5212030,5344017,5536341,5569633,5572553,5702958,5709781,6425352,6446267,6477734,6839265,6911530	
GCF_000271985.2__GCF_002075065.1	genome_wide	2	31	0	22	322	2	2	29	0	9	2944477,2965453	262142,754278,861339,979889,1005656,1059309,1155693,1222999,1539058,1680230,2010867,2355290,2476490,2652990,2854333,2859850,2883934,2950713,3071540,3563862,3566581,3657895,3722906,3936555,4527280,5648619,5896034,5896893,6122895,6268312,6359900	
GCF_000271985.2__GCF_002411865.3	genome_wide	3	39	0	19	310	4	4	35	0	20	4210918,4297404,4434022	6218,17781,119186,275818,535073,640959,891666,1088707,1627334,1784086,1814906,2139767,2480910,2502105,2822332,3065091,3100805,3130619,3267685,3616519,3717517,3788816,3825999,3916537,3981514,4297615,4785905,4793801,4847333,4878976,5013443,5149276,5367757,5597718,6005567,6098404,6442809,6610903,6847814	
GCF_000271985.2__GCF_002753655.1	genome_wide	3	45	0	31	511	4	4	41	0	14	2424436,5255488,5287878	53472,329399,572573,854406,964597,1043784,1141064,1200075,1422779,1516819,1707533,1949394,2006601,2345724,2770743,2771928,2842247,2867895,2981849,3201616,3227866,3283542,3454613,3501198,3504130,3505610,3596655,3984835,4110035,4523076,4604485,4823200,4898299,5218636,5253314,5256406,5287260,5388450,6053244,6088301,6142470,6268048,6413200,6504787,6561615	
GCF_000271985.2__GCF_002946935.1	genome_wide	6	37	0	27	340	4	4	33	0	10	4050669,4138543,4275776,4794220,6267009,6292336	58061,60363,267613,758935,848851,970490,1049767,1304521,1579891,1694078,1726085,2093353,2434069,2667152,2832783,2905366,3547431,3576431,3607283,3697662,3701997,3821175,4032410,4138754,4232589,4621643,4631777,4786096,5050277,5281435,5473578,5525521,5675324,5790324,6087287,6267899,6592549	
GCF_000271985.2__GCF_003052005.2	genome_wide	9	32	0	17	348	0	0	32	0	15	624342,632481,1925496,2721866,3516424,3557593,5869221,6401463,6408481	103614,262476,498389,624555,711275,1013766,1258300,1433055,1861938,2194731,2533876,3151300,3411421,3842436,3913738,3950196,3952915,4047259,4112259,4927945,5206654,5338642,5530966,5564258,5567178,5774637,5828699,5853242,5992260,6402446,6451398,6809337	
GCF_000271985.2__GCF_003073795.1	genome_wide	8	34	0	22	258	0	0	34	0	12	2969849,2971145,3507012,3593897,3770245,4516911,4524946,5139591	75588,114679,757614,1115635,1209032,1503835,1529904,1846697,2142140,2199076,2239946,2453843,2820781,2970706,2973425,3277586,3594107,3615346,4122210,4172647,4527310,4661533,4888729,4891641,5695555,5719591,5837968,6172277,6496752,6919366,7015324,7105305,7148930,7265882	
GCF_000271985.2__GCF_003074115.1	genome_wide	3	30	0	23	404	0	0	30	0	7	1779128,1786446,2393563	464247,467169,558704,795802,1488275,1713299,1788160,1920022,2112342,2149665,2928981,2952636,3138743,3362125,3525947,3549873,3945288,4486996,4600121,4679328,4844637,5288819,5612709,5951859,5995351,6091231,6120988,6445075,6499407,6649687	
GCF_000271985.2__GCF_003194245.1	genome_wide	5	29	0	15	252	0	0	29	0	14	1719964,1721260,2163867,2250752,2387484	302048,554539,748443,936862,993798,1034667,1248571,1720821,1723540,1934428,2250962,2762276,3119517,3262136,3318575,3528741,3841131,3963528,4295711,4711465,5046281,5540421,5630401,5748806,5826080,5865171,6461948,6492467,6819867	
GCF_000271985.2__GCF_003369755.1	genome_wide	7	33	0	22	322	2	2	31	0	11	4266322,4355175,4491277,4825961,5075667,5610664,5988450	51411,148857,281889,315879,1014946,1094230,1634800,1840818,2203044,2544257,3030492,3409768,3722387,3789192,3826581,3917125,3982105,4145649,4242694,4355386,4826122,4834024,5024118,5076059,5274259,5354217,5489107,5610758,5849793,6173452,6288451,6585387,6620437	
GCF_000271985.2__GCF_003429185.1	genome_wide	2	33	0	21	310	2	2	31	0	12	2997160,3018686	50960,108061,420618,522699,841226,884832,1082217,1178617,1267965,1581707,1738355,1768929,2100445,2277191,2446085,2684887,2913785,2915317,2917977,2947706,2978233,3010217,3114024,3659963,3662682,3754163,3819164,4774729,5260907,5465750,5639667,6051445,6086503	
GCF_000271985.2__GCF_003429205.1	genome_wide	3	36	0	17	308	0	0	36	0	19	3974987,4064009,4200761	53828,96539,260242,262458,400198,955095,1034260,1140309,1227259,1505010,1540997,1655197,2012965,2354209,2856232,3014000,3122369,3459618,3529463,3566507,3644224,3671866,3736886,4064220,4335169,4569476,4997905,5190467,5228311,5422450,5620013,5964195,6013544,6068858,6335383,6426970	
GCF_000271985.2__GCF_004102665.1	genome_wide	2	33	0	17	256	2	2	31	0	16	5843130,5845869	98968,262435,264651,499826,521435,842947,961507,987263,1040915,1138685,1182624,1506901,1641788,1672461,2000819,2342061,2755452,2850462,2947248,2956981,3366380,3393140,3476799,4446055,4454218,4717712,5086471,5296310,5480854,5844846,5845705,5894404,6070687	
GCF_000271985.2__GCF_007559105.1	genome_wide	3	37	0	21	333	2	2	35	0	16	3126134,3134273,4979246	499944,821676,953664,1145989,1164416,1198107,1301601,1487390,1753088,1965368,2022079,2419767,2554026,2605604,2764400,3000290,3126347,3302240,3546774,3580463,3744026,4172952,4505845,4847117,4918205,5146020,5494732,5524056,5533269,5535732,5682813,5964471,6195593,6232051,6234770,6326257,6391257	
GCF_000271985.2__GCF_009867055.1	genome_wide	6	35	0	22	274	4	4	31	0	13	3854591,3937643,4073744,4695838,4746793,5266393	145001,147424,259602,516391,821898,940513,1019787,1116197,1629042,1949656,2288717,2394749,2727066,2730926,2784025,2824211,2920896,2930630,3354837,3429847,3466243,3468962,3560180,3625201,3937854,4581644,4748683,5075630,5110547,5752047,5801460,5941897,5941926,5977742,6214621	
GCF_000271985.2__GCF_012935295.1	genome_wide	2	33	0	19	312	2	2	31	0	14	2828618,2850144	50478,421372,503357,523649,841161,1041313,1137713,1610333,1640907,1972432,2149178,2318072,2745244,2746776,2749436,2779158,2809691,2841675,2945480,3384754,3489600,3492073,3583554,3648555,4266761,4456174,4620502,5207273,5209183,5380951,5792844,5827901,5939022	
GCF_000271985.2__GCF_013305645.2	genome_wide	3	36	0	25	408	4	4	32	0	11	4234154,4319662,4529283	54291,111475,270682,961649,991930,1120057,1375776,1424878,1850860,1884263,2183461,2522568,2593018,2783246,2929821,3114565,3169138,3178819,3180923,3683878,3684692,3931216,4319873,4430698,4649446,4885107,4893270,5047628,5183584,5321344,5508209,5543477,5735113,5944739,6366783,6394449	
