query	ref	truth_ani_mle_v8	ani_mle_rerun	ani_gated	dist_chainedkmer	dist_gbrt_v7	dist_af_q	dist_af_r	dist_shared_tags	dist_status
GCF_009725205.1	GCF_000374825.1	83.1017	83.1017	90.5324	NA	NA	NA	NA	NA	screened_out
GCF_003311635.1	GCF_003207895.1	81.6163	81.6163	88.6093	NA	NA	NA	NA	NA	screened_out
GCF_009569385.1	GCF_002813365.1	84.3501	84.3501	89.2683	NA	NA	NA	NA	NA	screened_out
GCF_001905465.1	GCF_014655955.1	84.9959	84.9959	84.9959	NA	NA	NA	NA	NA	screened_out
GCA_016710065.1	GCF_010499455.1	83.6014	83.6014	89.0092	NA	NA	NA	NA	NA	screened_out
GCF_014145585.1	GCF_014145455.1	82.0698	82.0698	88.3622	NA	NA	NA	NA	NA	screened_out
GCF_002902665.1	GCF_003259675.1	81.3681	81.3681	90.2459	NA	NA	NA	NA	NA	screened_out
GCF_011077955.1	GCF_014193285.1	84.8004	84.8004	84.8004	NA	NA	NA	NA	NA	screened_out
GCF_004212215.1	GCA_010671905.1	84.9160	84.9160	90.6945	NA	NA	NA	NA	NA	screened_out
GCA_902772845.1	GCA_002310055.1	83.8738	83.8738	83.8738	NA	NA	NA	NA	NA	screened_out
GCA_002973635.1	GCF_000392615.1	81.7340	81.7340	87.9873	NA	NA	NA	NA	NA	screened_out
GCA_017547655.1	GCA_017473865.1	80.8980	80.8980	90.6664	NA	NA	NA	NA	NA	screened_out
GCA_004560045.1	GCA_015066085.1	82.4318	82.4318	92.2484	NA	NA	NA	NA	NA	screened_out
GCF_008086165.1	GCF_900115185.1	84.2889	84.2889	84.2889	NA	NA	NA	NA	NA	screened_out
GCA_018398915.1	GCA_016756725.1	80.6083	80.6083	90.1128	NA	NA	NA	NA	NA	screened_out
GCF_000422425.1	GCF_002150805.1	81.7567	81.7567	88.3873	NA	NA	NA	NA	NA	screened_out
GCF_000518725.1	GCF_002843565.1	84.5114	84.5114	89.2415	NA	NA	NA	NA	NA	screened_out
GCF_002237755.1	GCA_007362955.1	83.7423	83.7423	88.8280	NA	NA	NA	NA	NA	screened_out
GCF_001266615.1	GCF_900635475.1	84.6367	84.6367	88.7250	NA	NA	NA	NA	NA	screened_out
GCA_004297335.1	GCA_016844605.1	83.9601	83.9601	89.3594	NA	NA	NA	NA	NA	screened_out
GCF_011881425.1	GCF_014197755.1	83.5799	83.5799	89.3395	NA	NA	NA	NA	NA	screened_out
GCF_017426705.1	GCF_000407285.1	80.6126	80.6126	88.9188	NA	NA	NA	NA	NA	screened_out
GCF_016918015.1	GCF_003933745.1	84.6032	84.6032	89.0387	NA	NA	NA	NA	NA	screened_out
GCF_011762155.1	GCF_011927765.1	84.8348	84.8348	91.1767	NA	NA	NA	NA	NA	screened_out
GCF_016786255.1	GCF_004799345.1	82.7854	82.7854	87.8699	NA	NA	NA	NA	NA	screened_out
GCA_007279905.1	GCA_009698745.1	88.4000	88.4000	88.4000	NA	NA	NA	NA	NA	screened_out
GCA_001799735.1	GCA_903879915.1	89.6954	89.6954	89.6954	NA	NA	NA	NA	NA	screened_out
GCA_018660505.1	GCA_018673175.1	82.9619	82.9619	90.9736	NA	NA	NA	NA	NA	screened_out
GCF_002902525.1	GCF_002901825.1	82.5167	82.5167	88.9341	NA	NA	NA	NA	NA	screened_out
GCA_902826345.1	GCA_902825995.1	83.8983	83.8983	91.0776	NA	NA	NA	NA	NA	screened_out
GCA_016298185.1	GCA_016290145.1	87.8541	87.8541	87.8541	NA	NA	NA	NA	NA	screened_out
GCF_009720625.1	GCF_003667825.1	83.7404	83.7404	83.7404	NA	NA	NA	NA	NA	screened_out
GCF_002211765.1	GCF_003987185.1	84.0221	84.0221	90.4280	NA	NA	NA	NA	NA	screened_out
GCA_009926625.1	GCA_005799495.1	81.6276	81.6276	90.8187	NA	NA	NA	NA	NA	screened_out
GCA_003023565.1	GCF_003675855.1	88.8775	88.8775	88.8775	NA	NA	NA	NA	NA	screened_out
GCF_007097525.1	GCA_002162925.1	88.8949	88.8949	88.8949	NA	NA	NA	NA	NA	screened_out
GCF_014637345.1	GCF_013282215.1	88.2145	88.2145	88.2145	NA	NA	NA	NA	NA	screened_out
GCF_900447535.1	GCF_003515945.1	81.3251	81.3251	88.6934	NA	NA	NA	NA	NA	screened_out
GCF_017876755.1	GCF_014204915.1	84.9871	84.9871	84.9871	NA	NA	NA	NA	NA	screened_out
GCF_000429765.1	GCF_004054105.1	89.7736	89.7736	89.7736	NA	NA	NA	NA	NA	screened_out
GCF_016110345.1	GCA_018883385.1	88.3602	88.3602	88.3602	NA	NA	NA	NA	NA	screened_out
GCF_013403565.1	GCF_009760905.1	81.9638	81.9638	89.5197	NA	NA	NA	NA	NA	screened_out
GCA_002753155.1	GCA_016215555.1	88.4531	88.4531	88.4531	NA	NA	NA	NA	NA	screened_out
GCA_002364085.1	GCA_017643645.1	84.4304	84.4304	90.1027	NA	NA	NA	NA	NA	screened_out
GCF_006517435.1	GCF_006517535.1	88.4466	88.4466	88.4466	NA	NA	NA	NA	NA	screened_out
GCF_000018605.1	GCF_002895525.1	89.5294	89.5294	89.5294	0.9266	0.9115	0.1069	0.1142	187	ok
GCF_005871185.1	GCF_000170915.1	82.1192	82.1192	88.3922	NA	NA	NA	NA	NA	screened_out
GCF_000023945.1	GCF_000470655.1	84.2167	84.2167	88.9233	NA	NA	NA	NA	NA	screened_out
GCA_902362975.1	GCF_004336985.1	82.6845	82.6845	88.1129	NA	NA	NA	NA	NA	screened_out
GCF_016638705.1	GCF_016925635.1	84.2259	84.2259	88.6964	NA	NA	NA	NA	NA	screened_out
GCA_016714975.1	GCF_001956855.1	88.9550	88.9550	88.9550	NA	NA	NA	NA	NA	screened_out
GCA_008373165.1	GCA_002725925.1	89.3584	89.3584	89.3584	NA	NA	NA	NA	NA	screened_out
GCA_902624425.1	GCA_902605165.1	86.3549	86.3549	86.3549	NA	NA	NA	NA	NA	screened_out
GCF_007859815.1	GCF_007859955.1	89.1384	89.1384	89.1384	NA	NA	NA	NA	NA	screened_out
GCF_003610535.1	GCF_010882175.1	83.9053	83.9053	90.8034	NA	NA	NA	NA	NA	screened_out
GCF_002891535.1	GCF_900114285.1	89.7532	89.7532	89.7532	NA	NA	NA	NA	NA	screened_out
GCF_002356455.1	GCA_900764925.1	88.6660	88.6660	88.6660	NA	NA	NA	NA	NA	screened_out
GCA_017510605.1	GCA_902801755.1	86.2037	86.2037	90.3762	NA	NA	NA	NA	NA	screened_out
GCF_900102685.1	GCF_003054245.1	88.4774	88.4774	88.4774	NA	NA	NA	NA	NA	screened_out
GCF_900454865.1	GCF_002850605.1	86.6197	86.6197	86.6197	NA	NA	NA	NA	NA	screened_out
GCA_903898725.1	GCA_903831925.1	89.8428	89.8428	89.8428	NA	NA	NA	NA	NA	screened_out
GCA_017513095.1	GCA_017405765.1	87.6563	87.6563	87.6563	NA	NA	NA	NA	NA	screened_out
GCA_002168155.1	GCA_002470305.1	88.7753	88.7753	88.7753	NA	NA	NA	NA	NA	screened_out
GCF_900115065.1	GCA_018261735.1	89.9047	89.9047	89.9047	NA	NA	NA	NA	NA	screened_out
GCF_002939305.1	GCF_000317555.1	88.3977	88.3977	88.3977	NA	NA	NA	NA	NA	screened_out
GCF_014196195.1	GCF_014196205.1	88.4265	88.4265	88.4265	NA	NA	NA	NA	NA	screened_out
GCA_016463365.1	GCA_016185345.1	85.4168	85.4168	85.4168	NA	NA	NA	NA	NA	screened_out
GCF_002007105.1	GCF_003258365.1	85.2001	85.2001	85.2001	NA	NA	NA	NA	NA	screened_out
GCF_001693815.1	GCF_001998865.1	86.4926	86.4926	86.4926	NA	NA	NA	NA	NA	screened_out
GCF_000006175.1	GCF_017875625.1	86.0177	86.0177	86.0177	NA	NA	NA	NA	NA	screened_out
GCA_018813765.1	GCA_002421915.1	89.1225	89.1225	89.1225	NA	NA	NA	NA	NA	screened_out
GCA_001802565.1	GCA_903876785.1	88.9023	88.9023	88.9023	NA	NA	NA	NA	NA	screened_out
GCF_003031585.1	GCF_000812685.1	85.5056	85.5056	85.5056	NA	NA	NA	NA	NA	screened_out
GCA_016765235.1	GCA_015485375.1	88.5178	88.5178	88.5178	NA	NA	NA	NA	NA	screened_out
GCF_000427295.1	GCA_014762705.1	87.8867	87.8867	87.8867	NA	NA	NA	NA	NA	screened_out
GCF_000526335.1	GCF_902506065.1	87.3341	87.3341	87.3341	NA	NA	NA	NA	NA	screened_out
GCF_001590905.1	GCF_013337185.1	86.0199	86.0199	86.0199	NA	NA	NA	NA	NA	screened_out
GCF_016918015.1	GCF_003265355.1	88.0457	88.0457	88.0457	NA	NA	NA	NA	NA	screened_out
GCF_000591415.1	GCF_000754225.1	87.1215	87.1215	87.1215	NA	NA	NA	NA	NA	screened_out
GCF_017353515.1	GCF_004519335.1	88.2050	88.2050	88.2050	NA	NA	NA	NA	NA	screened_out
GCF_014195655.1	GCA_003241485.1	88.7782	88.7782	88.7782	NA	NA	NA	NA	NA	screened_out
GCF_004143485.2	GCF_004765815.2	85.9124	85.9124	85.9124	NA	NA	NA	NA	NA	screened_out
GCF_000409775.1	GCF_014651875.1	85.8359	85.8359	85.8359	NA	NA	NA	NA	NA	screened_out
GCF_014489845.1	GCF_000807275.1	87.4869	87.4869	87.4869	NA	NA	NA	NA	NA	screened_out
GCF_000224415.1	GCF_005877055.1	87.1246	87.1246	87.1246	NA	NA	NA	NA	NA	screened_out
GCF_012103215.1	GCF_011040385.1	86.9227	86.9227	86.9227	NA	NA	NA	NA	NA	screened_out
GCF_000155615.1	GCF_005938655.1	89.6548	89.6548	89.6548	NA	NA	NA	NA	NA	screened_out
GCA_001555775.1	GCF_000786215.1	88.1942	88.1942	88.1942	NA	NA	NA	NA	NA	screened_out
GCF_005870025.1	GCF_013184745.1	89.9833	89.9833	89.9833	NA	NA	NA	NA	NA	screened_out
GCA_003133565.1	GCA_003132505.1	89.2199	89.2199	89.2199	NA	NA	NA	NA	NA	screened_out
GCF_000378405.1	GCA_902776415.1	88.8973	88.8973	88.8973	NA	NA	NA	NA	NA	screened_out
GCF_007004135.1	GCF_018760785.1	89.9126	89.9126	89.9126	NA	NA	NA	NA	NA	screened_out
GCF_015350805.1	GCF_013113715.1	86.1867	86.1867	86.1867	NA	NA	NA	NA	NA	screened_out
GCA_017557885.1	GCA_017650925.1	87.6650	87.6650	87.6650	NA	NA	NA	NA	NA	screened_out
GCA_018241425.1	GCA_005877705.1	89.5159	89.5159	89.5159	NA	NA	NA	NA	NA	screened_out
GCF_000482785.1	GCF_002105195.1	85.2010	85.2010	90.4174	NA	NA	NA	NA	NA	screened_out
GCA_001725945.1	GCF_016894385.1	88.4750	88.4750	88.4750	NA	NA	NA	NA	NA	screened_out
GCA_001512785.1	GCA_002398825.1	89.3414	89.3414	89.3414	NA	NA	NA	NA	NA	screened_out
GCA_901456055.1	GCA_002377245.1	85.3087	85.3087	89.6157	NA	NA	NA	NA	NA	screened_out
GCF_017837635.1	GCF_001428405.1	86.0574	86.0574	86.0574	NA	NA	NA	NA	NA	screened_out
GCA_003552625.1	GCF_016653405.1	85.7252	85.7252	90.6803	NA	NA	NA	NA	NA	screened_out
GCA_002344075.1	GCA_017303715.1	88.6302	88.6302	88.6302	NA	NA	NA	NA	NA	screened_out
GCA_016872555.1	GCA_005791575.1	89.6575	89.6575	89.6575	NA	NA	NA	NA	NA	screened_out
GCA_018812705.1	GCA_001805965.1	89.1688	89.1688	89.1688	NA	NA	NA	NA	NA	screened_out
GCA_000621185.1	GCF_000463115.2	88.0741	88.0741	88.0741	NA	NA	NA	NA	NA	screened_out
GCF_900167605.1	GCF_006016075.1	88.9740	88.9740	88.9740	NA	NA	NA	NA	NA	screened_out
GCF_002940065.1	GCF_001908725.1	89.1260	89.1260	89.1260	NA	NA	NA	NA	NA	screened_out
GCA_001768075.1	GCF_013340205.1	88.5508	88.5508	88.5508	NA	NA	NA	NA	NA	screened_out
GCA_013297625.1	GCA_002423075.1	89.7989	89.7989	89.7989	NA	NA	NA	NA	NA	screened_out
GCF_000622895.1	GCA_012927585.1	88.9727	88.9727	88.9727	NA	NA	NA	NA	NA	screened_out
GCA_902768435.1	GCA_017427945.1	89.3759	89.3759	89.3759	NA	NA	NA	NA	NA	screened_out
GCA_017441925.1	GCA_902782895.1	89.3152	89.3152	89.3152	NA	NA	NA	NA	NA	screened_out
GCF_014645015.1	GCF_002797685.1	89.8474	89.8474	89.8474	NA	NA	NA	NA	NA	screened_out
GCA_903830945.1	GCA_016212825.1	88.9300	88.9300	88.9300	NA	NA	NA	NA	NA	screened_out
GCF_003012935.1	GCF_009915765.1	85.7859	85.7859	91.0179	NA	NA	NA	NA	NA	screened_out
GCF_000971335.1	GCF_002081825.1	88.6604	88.6604	88.6604	NA	NA	NA	NA	NA	screened_out
GCF_004217665.1	GCA_002753095.1	89.8558	89.8558	89.8558	NA	NA	NA	NA	NA	screened_out
GCA_903861195.1	GCA_003508595.1	89.1294	89.1294	89.1294	NA	NA	NA	NA	NA	screened_out
GCA_002311975.1	GCA_002471705.1	89.7544	89.7544	89.7544	NA	NA	NA	NA	NA	screened_out
GCF_007830185.1	GCF_000787375.1	88.3945	88.3945	88.3945	NA	NA	NA	NA	NA	screened_out
GCF_002257705.1	GCF_007641255.1	87.1480	87.1480	94.8225	NA	NA	NA	NA	NA	screened_out
GCF_002874535.1	GCF_018613195.1	87.7563	87.7563	87.7563	NA	NA	NA	NA	NA	screened_out
GCA_017415805.1	GCA_015064415.1	88.3372	88.3372	88.3372	NA	NA	NA	NA	NA	screened_out
GCF_900129395.1	GCF_003335545.1	89.3092	89.3092	89.3092	NA	NA	NA	NA	NA	screened_out
GCF_000012725.1	GCA_001896955.1	89.7349	89.7349	89.7349	NA	NA	NA	NA	NA	screened_out
GCA_002478225.1	GCA_017992765.1	89.3231	89.3231	89.3231	NA	NA	NA	NA	NA	screened_out
GCA_012728535.1	GCA_002427505.1	86.4053	86.4053	86.4053	NA	NA	NA	NA	NA	screened_out
GCF_008764245.1	GCF_017873565.1	87.8832	87.8832	87.8832	NA	NA	NA	NA	NA	screened_out
GCF_016623615.1	GCF_008727925.1	85.4149	85.4149	85.4149	NA	NA	NA	NA	NA	screened_out
GCA_018268605.1	GCA_013821475.1	89.7941	89.7941	89.7941	NA	NA	NA	NA	NA	screened_out
GCF_900114005.1	GCF_007827365.1	86.8650	86.8650	86.8650	NA	NA	NA	NA	NA	screened_out
GCF_900116205.1	GCF_000517625.1	88.4988	88.4988	88.4988	NA	NA	NA	NA	NA	screened_out
GCA_001508335.1	GCA_002441125.1	89.8764	89.8764	89.8764	NA	NA	NA	NA	NA	screened_out
GCF_001274945.1	GCF_002813185.1	87.0244	87.0244	87.0244	NA	NA	NA	NA	NA	screened_out
GCF_008710035.1	GCF_001431505.1	87.8503	87.8503	87.8503	NA	NA	NA	NA	NA	screened_out
GCA_013329565.1	GCA_002067045.1	89.5931	89.5931	89.5931	NA	NA	NA	NA	NA	screened_out
GCA_016124635.1	GCA_003246795.1	88.5259	88.5259	88.5259	NA	NA	NA	NA	NA	screened_out
GCA_013822685.1	GCA_016219375.1	88.6782	88.6782	88.6782	NA	NA	NA	NA	NA	screened_out
GCA_004297625.1	GCA_005883675.1	86.3495	86.3495	86.3495	NA	NA	NA	NA	NA	screened_out
GCF_003259415.1	GCF_017497975.1	87.9992	87.9992	87.9992	NA	NA	NA	NA	NA	screened_out
GCA_002419215.1	GCA_018053845.1	89.5259	89.5259	89.5259	NA	NA	NA	NA	NA	screened_out
GCF_004799685.1	GCF_003665925.1	85.7850	85.7850	85.7850	NA	NA	NA	NA	NA	screened_out
GCF_900111695.1	GCA_004557505.1	86.7616	86.7616	86.7616	NA	NA	NA	NA	NA	screened_out
GCA_910585725.1	GCF_000403455.2	89.7781	89.7781	89.7781	NA	NA	NA	NA	NA	screened_out
GCA_001465015.1	GCA_016793325.1	86.8697	86.8697	86.8697	NA	NA	NA	NA	NA	screened_out
GCA_005893165.1	GCA_005893275.1	89.3976	89.3976	89.3976	NA	NA	NA	NA	NA	screened_out
GCA_011362025.1	GCA_011364305.1	89.8387	89.8387	89.8387	NA	NA	NA	NA	NA	screened_out
GCF_016428905.1	GCF_003121485.1	87.6337	87.6337	87.6337	NA	NA	NA	NA	NA	screened_out
GCA_003213115.1	GCA_002457515.1	90.3420	90.3420	90.3420	NA	NA	NA	NA	NA	screened_out
GCA_015056085.1	GCA_900769075.1	89.3197	89.3197	89.3197	NA	NA	NA	NA	NA	screened_out
GCF_016093275.1	GCF_005952805.1	86.2034	86.2034	86.2034	NA	NA	NA	NA	NA	screened_out
GCA_016926155.1	GCA_016930745.1	88.2875	88.2875	88.2875	NA	NA	NA	NA	NA	screened_out
GCA_016795425.1	GCA_903844265.1	89.6489	89.6489	89.6489	NA	NA	NA	NA	NA	screened_out
GCF_003966715.1	GCF_001402875.1	89.7008	89.7008	89.7008	NA	NA	NA	NA	NA	screened_out
GCF_002860355.1	GCF_002234915.1	88.8947	88.8947	88.8947	NA	NA	NA	NA	NA	screened_out
GCF_900100335.1	GCF_900108095.1	86.2891	86.2891	86.2891	NA	NA	NA	NA	NA	screened_out
GCA_015068645.1	GCA_017936745.1	91.9625	91.9625	91.9625	NA	NA	NA	NA	NA	screened_out
GCF_011044775.1	GCA_011058495.1	90.9101	90.9101	90.9101	NA	NA	NA	NA	NA	screened_out
GCA_003153295.1	GCA_013286675.1	90.7888	90.7888	90.7888	NA	NA	NA	NA	NA	screened_out
GCF_014647835.1	GCF_017896165.1	86.7744	86.7744	86.7744	NA	NA	NA	NA	NA	screened_out
GCA_002721705.1	GCA_002716045.1	88.2690	88.2690	88.2690	NA	NA	NA	NA	NA	screened_out
GCF_001404655.1	GCA_019119895.1	89.6010	89.6010	89.6010	NA	NA	NA	NA	NA	screened_out
GCF_000751855.1	GCF_900111845.1	92.7623	92.7623	92.7623	NA	NA	NA	NA	NA	screened_out
GCA_013373425.1	GCF_008933165.1	90.1647	90.1647	90.1647	NA	NA	NA	NA	NA	screened_out
GCA_009694735.1	GCA_016871275.1	89.3326	89.3326	89.3326	NA	NA	NA	NA	NA	screened_out
GCF_008728855.1	GCF_008728835.1	85.5652	85.5652	85.5652	NA	NA	NA	NA	NA	screened_out
