cluster	genomes	expected_pairs	rows	median_junctions	pct_pairs_ge2_junctions	median_raw_inverted_fraction
HROM_Genome_0211	235	27495	27495	0.0	5.186397526823058	0.49854
HROM_Genome_0213	4	6	6	1.0	16.666666666666668	0.48804
HROM_Genome_0214	569	161596	161596	0.0	6.816423775488103	0.49944
HROM_Genome_0215	106	5565	5565	0.0	11.55435759209344	0.4982
HROM_Genome_0216	412	84666	84666	0.0	6.418160772919472	0.49882
HROM_Genome_0217	10	45	45	0.0	6.666666666666667	0.49942
HROM_Genome_0218	9	36	36	0.0	2.7777777777777777	0.49606
HROM_Genome_0219	97	4656	4656	0.0	2.8350515463917527	0.49725
HROM_Genome_0221	3	3	3	0.0	0.0	0.54839
HROM_Genome_0223	6	15	15	0.0	0.0	0.49577
HROM_Genome_0224	56	1540	1540	0.0	7.337662337662338	0.4979
HROM_Genome_0225	48	1128	1128	0.0	17.19858156028369	0.50099
HROM_Genome_0226	14	91	91	0.0	17.582417582417584	0.5
HROM_Genome_0234	2	1	1	0.0	0.0	0.18256
HROM_Genome_0235	2	1	1	0.0	0.0	0.07927
HROM_Genome_0236	2	1	1	0.0	0.0	0.46346
HROM_Genome_0239	2	1	1	0.0	0.0	0.47105
HROM_Genome_0241	13	78	78	0.0	20.512820512820515	0.50138
HROM_Genome_0242	272	36856	36856	0.0	13.094204471456479	0.499
HROM_Genome_0244	129	8256	8256	0.0	24.503391472868216	0.49974
HROM_Genome_0245	80	3160	3160	0.0	22.436708860759495	0.49951
HROM_Genome_0246	54	1431	1431	0.0	20.82459818308875	0.49861
HROM_Genome_0247	52	1326	1326	0.0	23.378582202111613	0.4988
HROM_Genome_0248	1174	688551	688551	1.0	29.633680003369395	0.49955
HROM_Genome_0249	126	7875	7875	0.0	19.136507936507936	0.50033
HROM_Genome_0250	171	14535	14535	0.0	14.179566563467493	0.49967
HROM_Genome_0251	332	54946	54946	1.0	32.3827030175081	0.49902
HROM_Genome_0252	13	78	78	1.0	35.8974358974359	0.51284
HROM_Genome_0253	6	15	15	0.0	13.333333333333334	0.49736
HROM_Genome_0254	196	19110	19110	1.0	28.838304552590266	0.49963
HROM_Genome_0255	18	153	153	0.0	18.30065359477124	0.50125
HROM_Genome_0256	42	861	861	0.0	25.203252032520325	0.5
HROM_Genome_0257	140	9730	9730	1.0	28.95169578622816	0.5
HROM_Genome_0258	4	6	6	0.0	16.666666666666668	0.53022
HROM_Genome_0259	52	1326	1326	0.0	24.73604826546003	0.49671
HROM_Genome_0261	8	28	28	2.0	57.142857142857146	0.49033
HROM_Genome_0262	124	7626	7626	1.0	34.303697875688435	0.49767
HROM_Genome_0263	91	4095	4095	1.0	39.804639804639805	0.49915
HROM_Genome_0265	154	11781	11781	1.0	29.089211442152617	0.49949
HROM_Genome_0266	112	6216	6216	0.0	7.722007722007722	0.49895
HROM_Genome_0268	28	378	378	1.0	43.65079365079365	0.50182
HROM_Genome_0269	41	820	820	0.0	18.048780487804876	0.49524
HROM_Genome_0270	5	10	10	1.0	20.0	0.50586
HROM_Genome_0271	42	861	861	0.0	22.99651567944251	0.49947
HROM_Genome_0272	20	190	190	0.0	22.105263157894736	0.49892
HROM_Genome_0273	11	55	55	0.0	7.2727272727272725	0.49923
HROM_Genome_0274	13	78	78	0.0	17.94871794871795	0.4949
HROM_Genome_0277	2	1	1	2.0	100.0	0.381
HROM_Genome_0279	2	1	1	0.0	0.0	0.66667
HROM_Genome_0281	2	1	1	5.0	100.0	0.43333
HROM_Genome_0285	4	6	6	1.0	33.333333333333336	0.49559
HROM_Genome_0286	30	435	435	0.0	14.022988505747126	0.49693
HROM_Genome_0287	9	36	36	0.0	25.0	0.49448
HROM_Genome_0288	4	6	6	0.0	0.0	0.55206
HROM_Genome_0289	5	10	10	0.0	20.0	0.5256
HROM_Genome_0301	19	171	171	0.0	16.374269005847953	0.48997
HROM_Genome_0302	2472	3054156	3054156	0.0	19.125257231541948	0.49952
HROM_Genome_0303	129	8256	8256	0.0	12.039728682170542	0.5006
HROM_Genome_0305	2	1	1	0.0	0.0	0.10631
HROM_Genome_0306	4	6	6	0.0	33.333333333333336	0.50593
HROM_Genome_0307	40	780	780	1.0	42.82051282051282	0.5003
HROM_Genome_0308	1448	1047628	1047628	0.0	10.213549084216917	0.49904
HROM_Genome_0309	5	10	10	6.0	90.0	0.47803
HROM_Genome_0310	40	780	780	1.0	31.923076923076923	0.5
HROM_Genome_0311	169	14196	14196	0.0	19.653423499577347	0.49975
HROM_Genome_0312	10	45	45	1.0	35.55555555555556	0.50331
HROM_Genome_0313	30	435	435	0.0	11.264367816091953	0.49903
HROM_Genome_0314	173	14878	14878	0.0	22.90630461083479	0.49844
HROM_Genome_0315	227	25651	25651	0.0	10.280300962925422	0.49944
HROM_Genome_0316	200	19900	19900	0.0	22.462311557788944	0.49831
HROM_Genome_0317	2	1	1	2.0	100.0	0.49745
HROM_Genome_0318	12	66	66	2.0	51.515151515151516	0.51057
HROM_Genome_0319	45	990	990	0.0	17.97979797979798	0.4968
HROM_Genome_0320	13	78	78	0.0	10.256410256410257	0.50338
HROM_Genome_0321	21	210	210	0.0	11.904761904761905	0.49625
HROM_Genome_0322	14	91	91	1.0	39.56043956043956	0.49746
HROM_Genome_0323	97	4656	4656	1.0	30.262027491408936	0.49864
HROM_Genome_0324	213	22578	22578	0.0	20.759146071396934	0.4982
HROM_Genome_0326	8	28	28	0.0	3.5714285714285716	0.50239
HROM_Genome_0327	4	6	6	0.0	0.0	0.4959
HROM_Genome_0333	21	210	210	1.0	28.571428571428573	0.4996
HROM_Genome_0334	4	6	6	2.0	50.0	0.46587
HROM_Genome_0337	10	45	45	0.0	8.88888888888889	0.49703
HROM_Genome_0338	2	1	1	0.0	0.0	0.5786
HROM_Genome_0341	3	3	3	2.0	66.66666666666667	0.46641
HROM_Genome_0343	4	6	6	1.0	0.0	0.54484
HROM_Genome_0346	498	123753	123753	0.0	5.388152206411157	0.49921
HROM_Genome_0347	86	3655	3655	0.0	10.478796169630643	0.49983
HROM_Genome_0348	39	741	741	0.0	21.592442645074225	0.49952
HROM_Genome_0349	24	276	276	0.0	10.144927536231885	0.49647
HROM_Genome_0350	142	10011	10011	0.0	11.697133153531116	0.49943
HROM_Genome_0351	115	6555	6555	0.0	1.6781083142639206	0.49962
HROM_Genome_0353	88	3828	3828	0.0	24.268547544409614	0.5004
HROM_Genome_0355	4	6	6	0.0	0.0	0.55523
HROM_Genome_0356	36	630	630	0.0	16.50793650793651	0.49535
HROM_Genome_0357	2	1	1	0.0	0.0	0.39692
HROM_Genome_0359	5	10	10	3.0	70.0	0.47126
HROM_Genome_0360	66	2145	2145	1.0	32.30769230769231	0.5007
HROM_Genome_0361	6	15	15	3.0	80.0	0.49396
HROM_Genome_0363	154	11781	11781	0.0	24.649859943977592	0.49948
HROM_Genome_0364	6	15	15	2.0	73.33333333333333	0.49439
HROM_Genome_0365	2	1	1	1.0	0.0	0.45995
HROM_Genome_0368	990	489555	489555	0.0	5.51317012388802	0.49862
HROM_Genome_0371	2	1	1	0.0	0.0	0.54626
HROM_Genome_0376	5	10	10	3.0	90.0	0.01799
HROM_Genome_0377	4	6	6	2.0	50.0	0.52318
HROM_Genome_0380	6	15	15	0.0	6.666666666666667	0.508
HROM_Genome_0381	1813	1642578	1642578	0.0	19.16207327749428	0.49895
HROM_Genome_0382	132	8646	8646	0.0	18.181818181818183	0.4983
HROM_Genome_0383	95	4465	4465	0.0	2.038073908174692	0.50022
HROM_Genome_0384	35	595	595	0.0	4.705882352941177	0.49508
HROM_Genome_0385	2	1	1	1.0	0.0	0.47541
HROM_Genome_0387	191	18145	18145	0.0	23.764122347754203	0.49883
HROM_Genome_0388	8	28	28	1.0	32.142857142857146	0.49707
HROM_Genome_0389	155	11935	11935	0.0	21.055718475073313	0.49956
HROM_Genome_0390	10	45	45	1.0	33.333333333333336	0.50512
HROM_Genome_0391	63	1953	1953	1.0	31.336405529953918	0.4988
HROM_Genome_0392	167	13861	13861	1.0	28.966164057427314	0.49952
HROM_Genome_0393	9	36	36	0.0	13.88888888888889	0.50455
HROM_Genome_0395	6	15	15	1.0	26.666666666666668	0.50629
HROM_Genome_0397	50	1225	1225	0.0	14.857142857142858	0.50081
HROM_Genome_0398	4	6	6	1.0	16.666666666666668	0.54357
HROM_Genome_0399	58	1653	1653	0.0	22.262552934059286	0.49779
HROM_Genome_0401	3	3	3	0.0	0.0	0.49282
HROM_Genome_0402	20	190	190	0.0	13.157894736842104	0.49439
HROM_Genome_0403	41	820	820	0.0	4.7560975609756095	0.49659
HROM_Genome_0404	39	741	741	0.0	8.771929824561404	0.49708
HROM_Genome_0405	8	28	28	0.0	3.5714285714285716	0.50262
HROM_Genome_0406	5	10	10	0.0	0.0	0.46515
HROM_Genome_0407	5	10	10	1.0	30.0	0.49879
HROM_Genome_0409	360	64620	64620	0.0	7.000928505106778	0.49908
HROM_Genome_0410	8	28	28	1.0	17.857142857142858	0.48665
HROM_Genome_0411	35	595	595	0.0	16.638655462184875	0.49215
HROM_Genome_0412	2	1	1	0.0	0.0	0.40145
HROM_Genome_0414	3	3	3	0.0	33.333333333333336	0.50784
HROM_Genome_0415	2	1	1	0.0	0.0	0.44097
HROM_Genome_0416	2	1	1	2.0	100.0	0.51393
HROM_Genome_0417	2	1	1	1.0	0.0	0.47605
HROM_Genome_0418	2	1	1	0.0	0.0	0.57046
HROM_Genome_0419	2	1	1	0.0	0.0	0.42659
HROM_Genome_0420	1480	1094460	1094460	0.0	8.618862269977889	0.49922
HROM_Genome_0421	2	1	1	2.0	100.0	0.45642
HROM_Genome_0423	2	1	1	0.0	0.0	0.40703
HROM_Genome_0424	4	6	6	0.0	0.0	0.62645
HROM_Genome_0425	65	2080	2080	0.0	7.451923076923077	0.50064
HROM_Genome_0430	25	300	300	0.0	6.333333333333333	0.5
HROM_Genome_0432	2	1	1	1.0	0.0	0.45889
HROM_Genome_0455	28	378	378	0.0	7.407407407407407	0.50112
HROM_Genome_0458	2	1	1	0.0	0.0	0.56
HROM_Genome_0474	2	1	1	1.0	0.0	0.45755
HROM_Genome_0475	7	21	21	0.0	19.047619047619047	0.48307
HROM_Genome_0479	2	1	1	3.0	100.0	0.6079
HROM_Genome_0483	2	1	1	0.0	0.0	0.44686
HROM_Genome_0484	2	1	1	0.0	0.0	0.63479
HROM_Genome_0488	2	1	1	3.0	100.0	0.5078
HROM_Genome_0489	2	1	1	2.0	100.0	0.46965
HROM_Genome_0492	3	3	3	0.0	0.0	0.53049
HROM_Genome_0496	2	1	1	1.0	0.0	0.51095
HROM_Genome_0498	2	1	1	0.0	0.0	0.59554
HROM_Genome_0500	4	6	6	0.0	16.666666666666668	0.53145
HROM_Genome_0501	5	10	10	0.0	0.0	0.50122
HROM_Genome_0506	3	3	3	0.0	0.0	0.48538
HROM_Genome_0511	2	1	1	0.0	0.0	0.4661
HROM_Genome_0514	2	1	1	6.0	100.0	0.47577
HROM_Genome_0515	2	1	1	0.0	0.0	0.53289
HROM_Genome_0518	2	1	1	1.0	0.0	0.58728
HROM_Genome_0521	3	3	3	0.0	33.333333333333336	0.46956
HROM_Genome_0522	18	153	153	0.0	3.2679738562091503	0.49524
HROM_Genome_0525	2	1	1	1.0	0.0	0.49117
HROM_Genome_0534	2	1	1	0.0	0.0	0.56171
HROM_Genome_0537	2	1	1	2.0	100.0	0.55161
HROM_Genome_0540	3	3	3	0.0	0.0	0.51106
HROM_Genome_0546	2	1	1	0.0	0.0	0.42402
HROM_Genome_0550	2	1	1	0.0	0.0	0.37908
HROM_Genome_0556	2	1	1	0.0	0.0	0.53037
HROM_Genome_0560	2	1	1	3.0	100.0	0.44321
HROM_Genome_0565	2	1	1	1.0	0.0	0.48897
HROM_Genome_0572	2	1	1	0.0	0.0	0.55348
HROM_Genome_0574	5	10	10	0.0	0.0	0.53015
HROM_Genome_0575	2	1	1	0.0	0.0	0.62267
HROM_Genome_0579	2	1	1	0.0	0.0	0.57092
HROM_Genome_0582	2	1	1	0.0	0.0	0.53906
HROM_Genome_0584	2	1	1	3.0	100.0	0.51094
HROM_Genome_0592	2	1	1	0.0	0.0	0.5727
HROM_Genome_0593	2	1	1	0.0	0.0	0.52078
HROM_Genome_0597	2	1	1	1.0	0.0	0.53155
HROM_Genome_0598	2	1	1	1.0	0.0	0.69036
HROM_Genome_0600	2	1	1	1.0	0.0	0.4448
HROM_Genome_0601	2	1	1	0.0	0.0	0.54557
HROM_Genome_0602	2	1	1	0.0	0.0	0.51418
HROM_Genome_0609	2	1	1	0.0	0.0	0.54491
HROM_Genome_0612	4	6	6	0.0	0.0	0.46424
HROM_Genome_0614	3	3	3	0.0	0.0	0.4338
HROM_Genome_0616	2	1	1	0.0	0.0	0.78723
HROM_Genome_0617	2	1	1	0.0	0.0	0.40703
HROM_Genome_0618	3	3	3	2.0	66.66666666666667	0.49046
HROM_Genome_0619	2	1	1	1.0	0.0	0.49177
HROM_Genome_0621	2	1	1	0.0	0.0	0.70772
HROM_Genome_0622	2	1	1	0.0	0.0	0.54129
HROM_Genome_0624	2	1	1	0.0	0.0	0.51136
HROM_Genome_0625	2	1	1	0.0	0.0	0.46496
HROM_Genome_0627	2	1	1	0.0	0.0	0.56134
HROM_Genome_0631	2	1	1	2.0	100.0	0.44554
HROM_Genome_0632	2	1	1	0.0	0.0	0.58696
HROM_Genome_0635	2	1	1	2.0	100.0	0.49643
HROM_Genome_0636	2	1	1	0.0	0.0	0.52211
HROM_Genome_0641	3	3	3	3.0	66.66666666666667	0.5456
HROM_Genome_0643	2	1	1	0.0	0.0	0.48556
HROM_Genome_0644	2	1	1	0.0	0.0	0.49626
HROM_Genome_0649	2	1	1	0.0	0.0	0.3757
HROM_Genome_0650	3	3	3	1.0	0.0	0.4777
HROM_Genome_0654	2	1	1	0.0	0.0	0.49775
HROM_Genome_0656	2	1	1	0.0	0.0	0.57867
HROM_Genome_0666	2	1	1	0.0	0.0	0.52835
HROM_Genome_0690	3	3	3	0.0	0.0	0.47875
HROM_Genome_0698	2	1	1	2.0	100.0	0.45387
HROM_Genome_0701	2	1	1	2.0	100.0	0.50606
HROM_Genome_0709	4	6	6	0.0	16.666666666666668	0.5056
HROM_Genome_0710	4	6	6	0.0	0.0	0.51169
HROM_Genome_0711	13	78	78	0.0	8.974358974358974	0.50567
HROM_Genome_0712	16	120	120	0.0	10.833333333333334	0.50226
HROM_Genome_0713	4	6	6	0.0	16.666666666666668	0.51645
HROM_Genome_0716	3	3	3	0.0	0.0	0.53342
HROM_Genome_0722	2	1	1	0.0	0.0	0.5596
HROM_Genome_0726	3	3	3	0.0	0.0	0.5
HROM_Genome_0732	4	6	6	0.0	16.666666666666668	0.4916
HROM_Genome_0733	3	3	3	0.0	0.0	0.52866
HROM_Genome_0737	2	1	1	0.0	0.0	0.02544
HROM_Genome_0739	6	15	15	0.0	0.0	0.49077
HROM_Genome_0740	2	1	1	0.0	0.0	0.03134
HROM_Genome_0741	2	1	1	0.0	0.0	0.05613
HROM_Genome_0744	2	1	1	0.0	0.0	0.05534
HROM_Genome_0745	2	1	1	0.0	0.0	0.08416
HROM_Genome_0747	2	1	1	0.0	0.0	0.10051
HROM_Genome_0750	2	1	1	0.0	0.0	0.08253
HROM_Genome_0751	3	3	3	0.0	0.0	0.46076
HROM_Genome_0752	2	1	1	0.0	0.0	0.05456
HROM_Genome_0753	2	1	1	0.0	0.0	0.06499
HROM_Genome_0754	2	1	1	0.0	0.0	0.06064
HROM_Genome_0755	2	1	1	0.0	0.0	0.03215
HROM_Genome_0756	2	1	1	0.0	0.0	0.07069
HROM_Genome_0757	2	1	1	0.0	0.0	0.13043
HROM_Genome_0758	2	1	1	0.0	0.0	0.1283
HROM_Genome_0761	2	1	1	0.0	0.0	0.53007
HROM_Genome_0762	2	1	1	0.0	0.0	0.57901
HROM_Genome_0764	2	1	1	1.0	0.0	0.40909
HROM_Genome_0780	2	1	1	0.0	0.0	0.4304
HROM_Genome_0784	2	1	1	3.0	100.0	0.57624
HROM_Genome_0786	4	6	6	1.0	33.333333333333336	0.56237
HROM_Genome_0790	3	3	3	0.0	0.0	0.46106
HROM_Genome_0793	3	3	3	0.0	0.0	0.53219
HROM_Genome_0794	2	1	1	0.0	0.0	0.53777
HROM_Genome_0795	3	3	3	0.0	0.0	0.49235
HROM_Genome_0797	2	1	1	0.0	0.0	0.61811
HROM_Genome_0799	2	1	1	1.0	0.0	0.53988
HROM_Genome_0804	2	1	1	0.0	0.0	0.54946
HROM_Genome_0811	2	1	1	0.0	0.0	0.56794
HROM_Genome_0813	2	1	1	0.0	0.0	0.58493
HROM_Genome_0822	4	6	6	1.0	16.666666666666668	0.53056
HROM_Genome_0823	2	1	1	0.0	0.0	0.52146
HROM_Genome_0824	2	1	1	0.0	0.0	0.43122
HROM_Genome_0827	2	1	1	0.0	0.0	0.51556
HROM_Genome_0828	2	1	1	0.0	0.0	0.51847
HROM_Genome_0830	4	6	6	1.0	16.666666666666668	0.49727
HROM_Genome_0831	2	1	1	0.0	0.0	0.57836
HROM_Genome_0834	2	1	1	0.0	0.0	0.50716
HROM_Genome_0839	2	1	1	0.0	0.0	0.51246
HROM_Genome_0842	2	1	1	0.0	0.0	0.5059
HROM_Genome_0849	2	1	1	0.0	0.0	0.52564
HROM_Genome_0863	2	1	1	0.0	0.0	0.51397
HROM_Genome_0864	5	10	10	0.0	0.0	0.49242
HROM_Genome_0865	2	1	1	0.0	0.0	0.43716
HROM_Genome_0872	2	1	1	1.0	0.0	0.47019
HROM_Genome_0877	2	1	1	0.0	0.0	0.55276
HROM_Genome_0952	57	1596	1596	0.0	23.7468671679198	0.50148
HROM_Genome_0953	2	1	1	1.0	0.0	0.52396
HROM_Genome_0954	2	1	1	0.0	0.0	0.49749
HROM_Genome_0955	13	78	78	2.0	55.12820512820513	0.50365
HROM_Genome_0956	2	1	1	2.0	100.0	0.11482
HROM_Genome_0957	208	21528	21528	1.0	42.31233742103307	0.49912
HROM_Genome_0958	4	6	6	1.0	33.333333333333336	0.50741
HROM_Genome_0960	8	28	28	1.0	21.428571428571427	0.49038
HROM_Genome_0962	29	406	406	1.0	31.527093596059114	0.49519
HROM_Genome_0963	17	136	136	0.0	16.91176470588235	0.49588
HROM_Genome_0965	128	8128	8128	2.0	67.03986220472441	0.49947
HROM_Genome_0966	91	4095	4095	0.0	20.561660561660563	0.49805
HROM_Genome_0967	3	3	3	1.0	0.0	0.4988
HROM_Genome_0968	2	1	1	0.0	0.0	0.4937
HROM_Genome_0969	14	91	91	4.0	76.92307692307692	0.49366
HROM_Genome_0970	3	3	3	1.0	0.0	0.49507
HROM_Genome_0971	557	154846	154846	2.0	52.573524663213774	0.49839
HROM_Genome_0972	42	861	861	1.0	36.00464576074332	0.49561
HROM_Genome_0973	677	228826	228826	2.0	56.372090584111945	0.49873
HROM_Genome_0974	107	5671	5671	2.0	59.86598483512608	0.49899
HROM_Genome_0975	1288	828828	828828	2.0	63.98070528505311	0.49904
HROM_Genome_0976	2627	3449251	3449251	1.0	49.097093832835014	0.49932
HROM_Genome_0977	81	3240	3240	2.0	54.660493827160494	0.49962
HROM_Genome_0978	587	171991	171991	1.0	48.00541888819764	0.49872
HROM_Genome_0979	4	6	6	4.0	83.33333333333333	0.53816
HROM_Genome_0980	51	1275	1275	3.0	65.49019607843137	0.49591
HROM_Genome_0981	15	105	105	3.0	75.23809523809524	0.50683
HROM_Genome_0982	3	3	3	3.0	66.66666666666667	0.47056
HROM_Genome_0983	32	496	496	1.0	45.96774193548387	0.50035
HROM_Genome_0984	20	190	190	2.0	58.94736842105263	0.49976
HROM_Genome_0985	4	6	6	1.0	33.333333333333336	0.48539
HROM_Genome_0986	6	15	15	1.0	46.666666666666664	0.50615
HROM_Genome_0987	3	3	3	1.0	0.0	0.61951
HROM_Genome_0988	7	21	21	0.0	23.80952380952381	0.46727
HROM_Genome_0989	4	6	6	1.0	33.333333333333336	0.51791
HROM_Genome_0996	4	6	6	1.0	33.333333333333336	0.48569
HROM_Genome_0997	1087	590241	590241	3.0	72.81923824336161	0.49879
HROM_Genome_0998	167	13861	13861	2.0	50.24889979077989	0.5
HROM_Genome_0999	2151	2312325	2312325	2.0	56.11192198328522	0.49921
HROM_Genome_1000	418	87153	87153	5.0	77.051851341893	0.49883
HROM_Genome_1001	27	351	351	0.0	22.79202279202279	0.5
HROM_Genome_1002	6	15	15	2.0	60.0	0.49783
HROM_Genome_1003	205	20910	20910	1.0	41.21951219512195	0.49905
HROM_Genome_1004	1864	1736316	1736316	0.0	23.846235362687437	0.49934
HROM_Genome_1005	45	990	990	0.0	18.585858585858585	0.50103
HROM_Genome_1006	525	137550	137550	1.0	35.656125045438024	0.49855
HROM_Genome_1007	674	226801	226801	0.0	19.184659679631043	0.49884
HROM_Genome_1008	142	10011	10011	2.0	61.502347417840376	0.4987
HROM_Genome_1009	2	1	1	0.0	0.0	0.45598
HROM_Genome_1011	3	3	3	1.0	33.333333333333336	0.54024
HROM_Genome_1013	12	66	66	0.0	34.84848484848485	0.50116
HROM_Genome_1014	24	276	276	1.0	44.20289855072464	0.49932
HROM_Genome_1015	6	15	15	1.0	26.666666666666668	0.48267
HROM_Genome_1016	32	496	496	3.0	67.94354838709677	0.50349
HROM_Genome_1017	40	780	780	3.0	66.66666666666667	0.4972
HROM_Genome_1018	3	3	3	7.0	66.66666666666667	0.50339
HROM_Genome_1019	28	378	378	0.0	22.75132275132275	0.49815
HROM_Genome_1020	38	703	703	2.0	54.19630156472262	0.49863
HROM_Genome_1021	74	2701	2701	0.0	15.142539800074047	0.49898
HROM_Genome_1022	353	62128	62128	1.0	33.21368787020345	0.49861
