query	reference	kind	found	total	ani_upper95	anim_truth	covered
NC_022079.2	NZ_AYOU01000001.1	chained	101	662	86.5404	84.4248	1
NZ_JAFT01000001.1	NZ_FQZZ01000001.1	chained	557	3719	87.2855	84.3904	1
NZ_JMPJ01000001.1	NZ_RCZD01000001.1	chained	319	2215	87.1163	84.8556	1
NZ_BBJW01000056.1	NZ_CP065691.1	chained	137	886	86.8533	84.811	1
NZ_BBNB01000030.1	NZ_CP045205.1	chained	714	4058	87.9307	85.8811	1
NZ_CP009518.1	NZ_CAAGSW010000001.1	chained	403	2281	87.5651	85.6355	1
NZ_LOHX01000001.1	NZ_LKKW01000008.1	empty	96			85.0962	
NZ_BCSG01000001.1	NZ_FTOO01000028.1	chained	329	2391	86.9087	84.4346	1
NZ_LSRE01000001.1	NZ_HE997626.1	chained	1121	7368	87.2711	85.4099	1
NZ_CP010776.1	NZ_CP047897.1	chained	529	3590	86.5636	85.991	1
NZ_LZEX01000001.1	NZ_NRQY01000002.1	chained	288	1607	88.1087	85.0766	1
NZ_LKKW01000008.1	NZ_WOEI01000010.1	empty	100			85.4347	
NZ_CP019154.1	NZ_WRXL01000001.1	chained	316	1814	87.9453	85.9589	1
NZ_PYAS01000001.1	NC_013037.1	chained	889	6166	86.9115	85.1073	1
NZ_CP025785.1	NZ_CP014349.1	chained	115	814	86.1758	84.537	1
NZ_QLTS01000001.1	UQWM01000001.1	chained	67	392	88.1635	83.8735	1
NZ_CP032098.1	NZ_CP032101.1	chained	57	362	86.8974	84.0421	1
NZ_RZTZ01000010.1	WTKC01000009.1	chained	495	3640	86.0997	85.208	1
NZ_CP026530.1	NC_012115.1	chained	304	1912	86.7075	85.4338	1
NZ_RZNC01000001.1	NZ_RZGZ01000001.1	chained	602	4105	87.1757	85.5966	1
NZ_SDDX01000001.1	NZ_CP015774.2	chained	601	3965	87.2929	85.0833	1
NZ_SAYT01000001.1	NZ_CP060412.1	chained	1368	7949	87.8221	86.165	1
NZ_SMMX01000099.1	NZ_CP036524.1	chained	214	1579	86.5918	84.7519	1
NZ_SSYA01000001.1	NZ_CP076723.1	chained	973	5788	87.4618	85.8381	1
NZ_VFOU01000001.1	NZ_LXEY01000001.1	chained	415	2506	87.7458	84.906	1
NZ_VLKF01000001.1	CP077800.1	chained	844	5096	87.7213	86.1503	1
NZ_CP042862.1	NZ_CP043808.1	chained	913	5498	87.7563	86.0554	1
NZ_CP036524.1	NZ_JABFCH010000099.1	chained	197	1220	87.4288	84.4401	1
NZ_WPCU01000006.1	NZ_LT629688.1	chained	586	3304	88.0652	85.8632	1
NZ_WYDS01000001.1	NZ_FSRG01000013.1	chained	548	3202	87.4278	85.6329	1
NZ_CP049143.1	NZ_QNRR01000001.1	chained	2168	11886	87.8788	86.3309	1
NZ_CP049872.1	NZ_CP060719.1	chained	764	5555	86.9291	85.279	1
NZ_CP061170.1	NZ_CP061169.1	chained	1234	8519	87.1153	86.3238	1
NZ_JAATLJ010000001.1	NZ_JAATLK010000001.1	chained	121	1251	85.0198	84.1648	1
NZ_JABRWO010000001.1	NZ_CP036289.1	chained	1075	8376	86.3246	84.5083	1
NZ_JACHBL010000001.1	NZ_JACHDR010000001.1	chained	558	4185	86.4582	86.5765	0
NZ_BMDB01000001.1	NZ_CAJEWB010000001.1	chained	160	929	87.3779	84.8074	1
NZ_JADGMI010000001.1	DIJC01000026.1	chained	606	3931	87.3731	85.6807	1
NZ_JADDXT010000002.1	NZ_JADDXR010000002.1	chained	334	2056	86.9369	84.7452	1
NZ_JAEQNB010000001.1	NZ_JMIR01000001.1	chained	809	4729	87.6674	84.9382	1
NZ_JAFEWE010000010.1	NZ_JAFEWF010000013.1	chained	449	2730	86.9370	85.0611	1
NZ_JAGGLC010000001.1	NZ_LGUC01000001.1	chained	454	2715	87.6503	86.2887	1
NZ_LT629742.1	NZ_SHLC01000001.1	chained	1336	7404	88.0927	86.8433	1
NZ_FOAV01000037.1	NZ_QUMT01000001.1	chained	1491	8569	87.8081	86.282	1
NZ_FOGC01000030.1	NZ_JABBFP010000010.1	chained	275	1876	87.0252	84.4876	1
NZ_FOYT01000006.1	NZ_FOYS01000008.1	chained	598	3828	87.1523	85.9928	1
NZ_FOYS01000008.1	NZ_AOIV01000001.1	chained	381	2253	87.5833	85.6793	1
NZ_FOYH01000018.1	NZ_CP019113.1	chained	656	4207	87.4254	85.6096	1
NZ_LT635438.1	NZ_HE998567.1	chained	386	2854	86.6357	84.9311	1
NZ_FVZN01000013.1	NZ_JACSPZ010000010.1	chained	150	1114	86.6144	85.2285	1
