query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	query_asm	ref_asm	band	anim_ani	skani_ani
SHUQ01000018.1	BJGE01000001.1	88.9106	88.9106	0.1223	0.0934	0.43965	13	0.3214	152	inf	0.2281	88.6767	91.5753	2.7651	1.32	AlfI:87.50,AloI:90.27,BcgI:89.00,FalI:90.23	317	13	391	11	6.538461538461538	INCONSISTENT	GCA_009694585.1	GCA_014190275.1	0.8-0.85	84.4572	83.15
NZ_JAAFAN010000100.1	JACYFD010000001.1	87.7924	89.6993	0.4661	0.4573	0.1286	68	0.7513	294	4.472	0.2631	89.3214	92.7703	3.5203	11.11	AlfI:89.25,AloI:89.81,BcgI:89.61,FalI:92.77	1304	68	3982	46	14.058823529411764	INCONSISTENT	GCF_010287905.1	GCA_014803435.1	0.8-0.85	86.2973	83.86
NZ_CH672413.1	NZ_LMSA01000001.1	83.9825	87.6518	0.7538	0.8048	0.11584	23	0.8647	171	3.817	0.1718	87.2699	92.2399	4.976	24.86	AlfI:87.41,AloI:85.51,BcgI:87.56,FalI:90.48	1266	23	7196	256	48.52173913043478	BELOW_DETECTION	GCF_000152705.1	GCF_001427985.1	0.8-0.85	85.7766	83.89999999999999
UPXY01000001.1	CAPI01000135.1	87.728	90.3119	0.3565	0.3274	0.16844	54	0.671	251	3.074	0.2992	89.7931	93.6882	0.7994	1.5	AlfI:90.82,AloI:90.85,BcgI:90.05,FalI:90.59	810	54	2095	27	10.48148148148148	INCONSISTENT	GCA_900538305.1	GCA_000333815.1	0.8-0.85	87.1457	83.39
NZ_VLKF01000001.1	CP077800.1	81.5152	88.0638	0.6783	0.7379	0.13346	18	0.6966	351	2.239	0.1879	87.4852	93.835	3.6314	12.59	AlfI:88.48,AloI:87.33,BcgI:87.74,FalI:90.96	1158	18	5096	372	45.77777777777778	BELOW_DETECTION	GCF_007994135.1	GCA_019112525.1	0.8-0.85	86.1503	84.02
NZ_LSRE01000001.1	NZ_HE997626.1	83.6341	87.4391	0.7118	0.7584	0.11692	37	0.8191	229	3.817	0.1652	87.0672	92.1162	3.5355	31.25	AlfI:88.66,AloI:86.69,BcgI:86.84,FalI:90.22	1302	37	7368	160	29.027027027027028	BELOW_DETECTION	GCF_001575205.1	GCF_000312385.1	0.8-0.85	85.4099	82.73
NZ_BCWB01000001.1	NZ_KQ950180.1	86.1387	88.8978	0.5184	0.4466	0.15325	48	0.7477	215	3.817	0.2281	88.4788	92.6519	4.3261	14.78	AlfI:88.76,AloI:87.59,BcgI:88.87,FalI:91.92	928	48	3283	64	14.270833333333334	INCONSISTENT	GCF_001592045.1	GCF_001517975.1	0.8-0.85	86.0975	84.34
NZ_JAERMK010000001.1	NZ_RSEB01000001.1	84.6032	89.0387	0.574	0.5825	0.10894	47	0.7953	325	2.548	0.2345	88.4571	93.6331	1.5584	5.41	AlfI:88.69,AloI:87.84,BcgI:89.26,FalI:89.40	1636	47	6382	125	27.872340425531913	INCONSISTENT	GCF_016918015.1	GCF_003933745.1	0.8-0.85	86.3553	84.89
NZ_SAYU02000001.1	NZ_CP049935.1	87.5973	90.0096	0.3018	0.3147	0.16703	43	0.6117	325	3.454	0.281	89.5599	93.253	2.3328	3.22	AlfI:89.85,AloI:89.34,BcgI:89.94,FalI:91.68	944	43	2240	47	12.906976744186046	INCONSISTENT	GCF_004025965.2	GCF_011383005.1	0.8-0.85	85.6007	84.02
NZ_JAAOXD010000001.1	NZ_LMSB01000001.1	85.1879	88.4177	0.4401	0.3421	0.1567	41	0.6118	387	3.601	0.2107	87.9986	92.6117	2.3675	8.17	AlfI:87.94,AloI:88.17,BcgI:88.24,FalI:90.30	1004	41	3447	75	15.878048780487806	INCONSISTENT	GCF_014694315.1	GCF_001428005.1	0.8-0.85	86.0587	83.3
MNDB01000005.1	VAWH01000036.1	90.6488	90.6488	0.1435	0.0857	0.35783	18	0.4154	159	inf	0.322	90.5353	91.4389	5.2776	3.86	AlfI:90.10,AloI:87.87,BcgI:90.57,FalI:93.14	361	18	425	16	7.277777777777778	ok	GCA_001914705.1	GCA_005888315.1	0.8-0.85	85.5126	83.97
NZ_RZNC01000001.1	NZ_RZGZ01000001.1	84.9952	87.1687	0.5918	0.571	0.16021	22	0.764	177	6.32	0.1558	86.8977	91.0281	6.216	27.63	AlfI:87.38,AloI:84.98,BcgI:86.95,FalI:91.19	759	22	4105	118	27.045454545454547	BELOW_DETECTION	GCF_004078655.1	GCF_003990045.1	0.8-0.85	85.5966	82.66
NZ_WNXZ01000010.1	NZ_WNXY01000011.1	85.7618	88.425	0.6443	0.6881	0.1093	35	0.8486	222	4.344	0.2015	88.0679	92.3083	3.5832	19.45	AlfI:88.67,AloI:88.57,BcgI:88.11,FalI:91.69	1478	35	6972	113	36.542857142857144	INCONSISTENT	GCF_009733845.1	GCF_009733815.1	0.8-0.85	85.6436	83.95
NZ_VRMG01000001.1	DMKW01000003.1	90.0931	90.0931	0.1951	0.2515	0.17863	62	0.4823	496	inf	0.2855	89.9985	90.902	1.5863	1.85	AlfI:90.31,AloI:90.09,BcgI:89.90,FalI:91.48	978	62	1873	25	8.451612903225806	ok	GCF_008040105.1	GCA_003454135.1	0.8-0.85	86.149	84.82
NZ_PVTY01000001.1	NZ_JADPQH010000001.1	86.5007	88.3808	0.6414	0.6652	0.15172	26	0.8792	93	5.719	0.2046	88.0889	91.6199	3.4659	13.28	AlfI:88.53,AloI:87.56,BcgI:88.04,FalI:91.03	797	26	3648	98	27.03846153846154	INCONSISTENT	GCF_003003175.1	GCF_019173455.1	0.8-0.85	85.9887	83.41
NZ_FOND01000039.1	NZ_JAENZZ010000001.1	84.1251	89.019	0.4263	0.5115	0.14525	30	0.7044	282	2.374	0.2305	88.4312	93.8799	4.7653	16.95	AlfI:89.35,AloI:87.61,BcgI:88.77,FalI:92.38	991	30	3603	103	23.4	INCONSISTENT	GCF_900112815.1	GCF_016612865.1	0.8-0.85	85.9801	83.48
NZ_RAQA01000001.1	NZ_MPZN01000001.1	88.1086	89.6469	0.4754	0.4822	0.11831	83	0.7051	440	5.395	0.2597	89.3078	92.5407	3.7854	24.49	AlfI:90.18,AloI:88.86,BcgI:89.23,FalI:92.64	1498	83	4721	67	13.674698795180722	INCONSISTENT	GCF_003610585.1	GCF_002936985.1	0.8-0.85	86.6378	84.97
NZ_RKIE01000001.1	NZ_RKIC01000009.1	85.5057	89.2943	0.6628	0.671	0.12118	30	0.8435	190	2.781	0.2406	88.7886	93.5233	2.5608	7.48	AlfI:88.69,AloI:88.98,BcgI:89.29,FalI:91.25	1218	30	4853	133	35.13333333333333	INCONSISTENT	GCF_003751785.1	GCF_003755185.1	0.8-0.85	86.5203	83.44
NZ_VFOU01000001.1	NZ_LXEY01000001.1	80.3034	87.9894	0.5227	0.4232	0.19165	26	0.7549	126	1.968	0.1879	87.4054	93.7572	2.0586	4.1	AlfI:88.73,AloI:87.16,BcgI:87.58,FalI:89.21	520	26	2506	60	15.923076923076923	BELOW_DETECTION	GCF_006716305.1	GCF_001657475.1	0.8-0.85	84.906	83.17999999999999
NZ_WPCU01000006.1	NZ_LT629688.1	83.0638	88.2949	0.5808	0.5197	0.16197	21	0.6557	283	2.548	0.1981	87.7793	93.5805	3.8255	16.68	AlfI:88.75,AloI:88.89,BcgI:87.48,FalI:91.31	836	21	3304	184	26.666666666666668	BELOW_DETECTION	GCF_009742705.1	GCF_900101785.1	0.8-0.85	85.8632	84.11
KK211149.1	NZ_VFQB01000001.1	86.7729	89.1293	0.6781	0.6618	0.10183	32	0.8797	200	4.219	0.2332	88.7445	92.7293	4.7268	36.41	AlfI:89.33,AloI:87.60,BcgI:88.82,FalI:92.33	1679	32	7038	259	46.71875	INCONSISTENT	GCA_000620545.1	GCF_006717025.1	0.8-0.85	86.5934	84.23
NZ_PYHR01000002.1	NZ_RHPJ01000010.1	84.8185	88.5804	0.6211	0.6947	0.1305	20	0.8126	205	3.165	0.2094	88.1418	92.973	4.0919	23.33	AlfI:89.35,AloI:88.62,BcgI:88.06,FalI:92.15	1095	20	4790	312	45.45	INCONSISTENT	GCF_003121705.1	GCF_004786095.1	0.8-0.85	86.0981	83.93
NZ_LT629742.1	NZ_SHLC01000001.1	84.0406	88.3775	0.7915	0.8417	0.10689	21	0.873	195	2.948	0.1998	87.9047	93.0951	4.3421	17.62	AlfI:88.19,AloI:86.41,BcgI:88.35,FalI:90.75	1536	21	7404	330	64.80952380952381	BELOW_DETECTION	GCF_900104895.1	GCF_004217495.1	0.8-0.85	86.8433	84.61
NZ_CP061170.1	NZ_CP061169.1	84.155	87.241	0.8952	0.9041	0.11041	12	0.9208	105	4.741	0.1556	86.9238	91.5308	0.5198	0.41	AlfI:87.23,AloI:87.29,BcgI:87.20,FalI:87.72	1327	12	8519	854	102.75	BELOW_DETECTION	GCF_011751745.2	GCF_011751765.2	0.8-0.85	86.3238	84.85000000000001
NZ_CP036455.1	NZ_JROO01000001.1	86.9259	89.2941	0.601	0.5723	0.11081	57	0.7916	321	4.046	0.2433	88.8938	92.752	3.5999	23.04	AlfI:89.69,AloI:88.92,BcgI:88.87,FalI:92.47	1541	57	5795	82	22.385964912280706	INCONSISTENT	GCF_004323735.1	GCF_000826685.1	0.8-0.85	86.7749	84.72
NZ_FNVO01000073.1	NZ_RRYT01000010.1	86.5616	89.4773	0.3002	0.4449	0.13312	58	0.6326	489	3.258	0.2575	88.9929	93.1861	2.0499	8.74	AlfI:90.12,AloI:89.08,BcgI:88.96,FalI:91.01	1371	58	3938	73	15.517241379310343	INCONSISTENT	GCF_900108175.1	GCF_006363815.1	0.8-0.85	86.3843	84.32
NZ_BCWB01000001.1	NZ_LIZN01000001.1	87.2471	88.3995	0.3478	0.2494	0.19356	36	0.5902	277	8.426	0.2054	88.1833	90.8116	4.1233	7.72	AlfI:88.24,AloI:86.88,BcgI:88.46,FalI:91.00	748	36	2221	49	12.083333333333334	INCONSISTENT	GCF_001592045.1	GCF_001660385.1	0.8-0.85	85.5014	83.48
WLID01000001.1	OMIZ01000001.1	87.3521	89.0411	0.3287	0.2937	0.22387	37	0.5908	196	5.554	0.2318	88.7496	91.9731	1.55	2.25	AlfI:89.37,AloI:90.21,BcgI:88.68,FalI:90.23	492	37	1475	28	8.64864864864865	INCONSISTENT	GCA_009702325.1	GCA_900299235.1	0.8-0.85	84.9257	84.00999999999999
NZ_JACHBL010000001.1	NZ_JACHDR010000001.1	73.2616	86.9052	0.887	0.8425	0.16516	7	0.902	59	1.476	0.1568	86.1632	94.693	1.2187	3.58	AlfI:87.54,AloI:86.91,BcgI:86.32,FalI:87.39	604	7	4185	221	78.57142857142857	BELOW_DETECTION	GCF_014200305.1	GCF_014201135.1	0.8-0.85	86.5765	84.92
DBIA01000013.1	DJZU01000088.1	87.3827	87.3827	0.4297	0.4716	0.25895	34	0.5865	165	inf	0.1734	87.3955	87.8531	1.4716	1.16	AlfI:86.84,AloI:88.31,BcgI:87.13,FalI:87.86	430	34	1478	22	7.882352941176471	BELOW_DETECTION	GCA_002296525.1	GCA_002448715.1	0.8-0.85	85.6102	84.02
JACIXD010000001.1	JACVJD010000001.1	88.9766	90.4892	0.2508	0.2785	0.22476	33	0.4781	333	4.472	0.3205	90.0804	92.8928	1.0858	1.0	AlfI:91.04,AloI:89.96,BcgI:90.31,FalI:90.46	662	33	1153	22	10.242424242424242	INCONSISTENT	GCA_014360645.1	GCA_015711825.1	0.8-0.85	86.5645	84.23
NZ_QEKW01000001.1	NZ_SNYO01000001.1	87.7845	90.0741	0.6353	0.6271	0.09599	54	0.841	311	3.601	0.2821	89.6112	93.3247	4.7929	24.66	AlfI:90.14,AloI:88.51,BcgI:90.02,FalI:93.30	1991	54	6687	138	31.46296296296296	INCONSISTENT	GCF_003096675.1	GCF_004363095.1	0.8-0.85	86.2649	84.61
NZ_JADPUN010000208.1	NZ_BONX01000001.1	90.396	91.4823	0.2011	0.1907	0.12238	122	0.5687	750	4.8	0.3745	91.0816	93.5115	0.809	2.99	AlfI:91.99,AloI:91.89,BcgI:91.18,FalI:91.74	2079	122	3204	40	9.10655737704918	INCONSISTENT	GCF_015690345.1	GCF_016862935.1	0.8-0.85	87.2672	84.91
NZ_KI519516.1	NZ_FOGI01000026.1	86.4399	89.2882	0.4721	0.4627	0.10764	84	0.7089	537	3.454	0.2464	88.8426	92.9074	2.5998	10.2	AlfI:89.66,AloI:88.57,BcgI:89.13,FalI:91.17	1930	84	6202	76	16.571428571428573	INCONSISTENT	GCF_000482865.1	GCF_900111175.1	0.8-0.85	85.5727	84.14
NZ_AFXQ01000067.1	NZ_CP039424.1	87.1246	89.6066	0.5743	0.5593	0.14978	35	0.8018	173	3.601	0.2665	89.1355	93.1523	2.6475	9.47	AlfI:90.12,AloI:89.53,BcgI:89.00,FalI:91.65	923	35	3053	75	21.0	INCONSISTENT	GCF_000224415.1	GCF_005877055.1	0.8-0.85	86.5704	84.47
NZ_BCUV01000001.1	DXAR01000057.1	88.8206	89.9387	0.3061	0.3786	0.16153	60	0.5974	378	6.507	0.2756	89.6566	92.4363	4.2893	25.34	AlfI:89.25,AloI:90.44,BcgI:89.58,FalI:93.54	948	60	2391	28	10.35	INCONSISTENT	GCF_001591405.1	GCA_019116945.1	0.8-0.85	85.5958	84.54
NZ_CP042862.1	NZ_CP043808.1	84.4209	87.8942	0.8518	0.8346	0.1296	12	0.877	125	3.817	0.1799	87.5305	92.5164	4.5289	38.76	AlfI:87.35,AloI:89.11,BcgI:87.49,FalI:91.88	1017	12	5498	465	75.25	BELOW_DETECTION	GCF_008001015.1	GCF_008386315.1	0.8-0.85	86.0554	83.93
NZ_LMMO01000001.1	NZ_JXQZ01000001.1	88.1337	89.7468	0.5073	0.5003	0.13799	57	0.71	317	5.089	0.2642	89.4041	92.5999	5.2263	22.49	AlfI:89.63,AloI:88.09,BcgI:89.54,FalI:93.32	1102	57	3403	74	14.614035087719298	INCONSISTENT	GCF_001422285.1	GCF_000878135.1	0.8-0.85	86.179	83.5
JAEMSA010000006.1	ATZT02000001.1	89.7727	89.7727	0.0988	0.128	0.71659	5	0.375	55	inf	0.3007	89.6999	90.5742	2.5997	0.48	AlfI:87.89,AloI:89.27,BcgI:89.73,FalI:90.49	120	5	128	12	7.6	ok	GCA_016463095.1	GCA_000428345.2	0.8-0.85	86.6015	84.50999999999999
NZ_CH672413.1	NZ_AVPI01000001.1	84.6704	88.2943	0.4932	0.5647	0.13358	44	0.7193	313	3.454	0.1972	87.8687	92.7101	3.2133	8.73	AlfI:87.46,AloI:86.85,BcgI:88.39,FalI:90.06	1118	44	4802	72	19.227272727272727	BELOW_DETECTION	GCF_000152705.1	GCF_000768675.1	0.8-0.85	85.3434	83.48
JAGWDQ010000001.1	JAGTWP010000045.1	94.8028	94.8028	0.0069	0.0113	1.36959	1	0.0402	167	inf	0.6337	93.996	96.1571	3.4468	0.27	AlfI:96.46,AloI:93.01,BcgI:95.16,FalI:93.84	247	1	14	8	8.0	ok	GCA_018260615.1	GCA_018260755.1	0.8-0.85	87.4317	84.8
JAEOUO010000001.1	MDVT01000001.1	85.3952	85.3952	0.5791	0.5412	0.51297	3	0.7667	21	inf	0.1348	85.4318	85.1828	2.346	0.5	AlfI:84.18,AloI:83.36,BcgI:85.46,FalI:85.70	94	3	530	28	24.0	BELOW_DETECTION	GCA_016839265.1	GCA_001940665.1	0.8-0.85	83.0842	81.14
BDTG01000001.1	JAADHJ010000033.1	87.7265	88.9935	0.312	0.3232	0.308	20	0.4781	179	6.784	0.2459	88.6977	91.6196	1.124	0.5	AlfI:88.86,AloI:89.68,BcgI:88.93,FalI:88.56	386	20	801	19	9.2	INCONSISTENT	GCA_002897695.1	GCA_013151915.1	0.8-0.85	85.9986	83.49
NZ_CP059213.1	NZ_CP059211.1	87.7166	87.7166	0.8441	0.8397	0.60746	1	0.9298	4	inf	0.2262	87.6508	88.2146	9.3511	4.34	AlfI:94.49,AloI:85.14,BcgI:86.83,FalI:87.81	58	1	255	54	54.0	ok	GCF_014252255.1	GCF_014252115.1	0.8-0.85	84.6362	84.0
NZ_JAFEWE010000010.1	NZ_JAFEWF010000013.1	75.6505	87.4449	0.4215	0.4019	0.19465	28	0.6944	191	1.434	0.1953	86.5853	94.4715	1.8117	4.94	AlfI:88.53,AloI:87.51,BcgI:88.08,FalI:86.72	658	28	2730	66	16.5	BELOW_DETECTION	GCF_017355785.1	GCF_017355835.1	0.8-0.85	85.0611	84.0
CAIJMB010000001.1	SYCM01000015.1	92.553	92.553	0.0186	0.0242	0.6992	6	0.2571	78	inf	0.4496	91.9553	94.5365	9.4981	1.33	AlfI:94.06,AloI:84.56,BcgI:92.65,FalI:92.31	205	6	81	7	5.5	ok	GCA_903821715.1	GCA_005786915.1	0.8-0.85	85.5259	83.46000000000001
NZ_CP017260.1	JABHDE010000064.1	89.8701	89.8701	0.1177	0.161	0.4388	13	0.3707	146	inf	0.3031	89.6942	91.3019	3.3598	1.68	AlfI:88.89,AloI:87.43,BcgI:89.41,FalI:90.79	233	13	337	14	7.615384615384615	ok	GCF_001735745.1	GCA_018673215.1	0.8-0.85	85.5436	84.61999999999999
JABAZA010000043.1	JABHDE010000064.1	89.6275	89.6275	0.0246	0.0225	1.26008	2	0.1642	56	inf	0.3004	89.9401	86.6521	1.6825	0.07	AlfI:91.27,BcgI:90.11,FalI:89.59	131	2	41	7	6.5	ok	GCA_018608725.1	GCA_018673215.1	0.8-0.85	84.7473	83.74000000000001
NVRM01000082.1	JAESRX010000012.1	87.1621	87.1621	0.0134	0.0133	1.68142	1	0.0506	75	inf	0.185	87.5584	76.4029	4.4572	0.3	AlfI:86.40,AloI:85.23,BcgI:89.69,FalI:86.70	149	1	35	5	5.0	BELOW_DETECTION	GCA_002400885.1	GCA_016764435.1	0.8-0.85	85.3765	83.17
NZ_JADDXT010000002.1	NZ_JADDXR010000002.1	80.8368	87.1362	0.4782	0.478	0.22838	20	0.7133	125	2.444	0.1836	86.5294	92.8321	4.7866	8.22	AlfI:89.06,AloI:84.28,BcgI:86.92,FalI:86.93	437	20	2056	64	16.55	BELOW_DETECTION	GCF_015330165.1	GCF_015330125.1	0.8-0.85	84.7452	83.77
NZ_CP059191.1	NZ_CP049785.1	84.9698	87.2172	0.953	0.9499	0.53808	2	0.9706	2	5.239	0.2011	86.8889	90.6162	5.3955	1.87	AlfI:89.45,AloI:88.60,BcgI:84.06,FalI:86.59	69	2	360	59	34.0	INCONSISTENT	GCF_014251575.1	GCF_011290385.1	0.8-0.85	84.8745	84.83000000000001
NZ_VTAV01000010.1	NZ_JACOIK010000010.1	85.1965	90.3646	0.2457	0.2626	0.21756	33	0.5237	292	1.68	0.3189	89.5663	94.6452	1.2114	1.44	AlfI:91.04,AloI:89.84,BcgI:90.48,FalI:89.83	643	33	1296	36	10.727272727272728	INCONSISTENT	GCF_008180195.1	GCF_014692515.1	0.8-0.85	86.2385	84.27
NZ_FUYY01000017.1	NZ_JQNQ01000001.1	84.626	87.5239	0.4139	0.3606	0.2642	19	0.2365	778	4.219	0.2011	87.1268	91.5825	1.7892	0.71	AlfI:86.74,AloI:88.53,BcgI:87.48,FalI:87.58	1034	19	1419	35	13.68421052631579	INCONSISTENT	GCF_900168045.1	GCF_000745315.1	0.8-0.85	85.0809	83.7
PMJR01000082.1	PMND01000160.1	89.8603	89.8603	0.2813	0.2914	0.18934	48	0.6403	250	inf	0.2826	89.768	90.7212	0.7297	0.42	AlfI:89.42,AloI:90.15,BcgI:89.85,FalI:89.98	792	48	1775	31	10.270833333333334	ok	GCA_003158475.1	GCA_003161955.1	0.8-0.85	86.3485	83.67
NZ_JUGI01000001.1	NZ_PIZV01000001.1	88.0223	89.3747	0.1435	0.182	0.31715	18	0.3841	279	5.554	0.2885	89.0459	91.7899	1.6209	0.95	AlfI:88.10,AloI:88.92,BcgI:89.51,FalI:89.72	468	18	720	19	10.666666666666666	INCONSISTENT	GCF_000799235.1	GCF_002835665.1	0.8-0.85	85.6568	83.00999999999999
JAGCCZ010000004.1	DBYW01000045.1	92.963	94.0502	0.0837	0.0871	0.23936	40	0.3611	407	2.516	0.5685	93.3734	95.6138	0.682	0.39	AlfI:93.78,AloI:94.26,BcgI:93.94,FalI:94.46	700	40	523	16	6.75	INCONSISTENT	GCA_017651425.1	GCA_002311645.1	0.8-0.85	87.262	83.87
NZ_JABFHF010000100.1	NZ_LT838813.1	87.8477	90.1173	0.1467	0.1483	0.29345	26	0.3723	317	3.258	0.3212	89.5986	93.0556	1.5478	1.21	AlfI:89.70,AloI:91.25,BcgI:90.59,FalI:89.75	569	26	743	16	8.23076923076923	INCONSISTENT	GCF_015476655.1	GCF_900176595.1	0.8-0.85	86.9485	84.38
NZ_VISE01000001.1	NZ_AJLT01000001.1	87.1613	88.564	0.1051	0.146	0.40672	13	0.2933	241	6.32	0.2431	88.2789	91.4415	3.9466	4.11	AlfI:88.70,AloI:85.72,BcgI:86.11,FalI:89.66	342	13	499	16	8.692307692307692	INCONSISTENT	GCF_007827275.1	GCF_000258765.1	0.8-0.85	85.1494	82.80999999999999
VGMN01000001.1	VGGU01000001.1	88.4738	88.4738	0.0886	0.088	0.77261	3	0.2917	68	inf	0.2289	88.4136	89.2553	4.7547	0.98	AlfI:87.28,AloI:85.08,BcgI:88.37,FalI:89.83	120	3	137	18	10.333333333333334	ok	GCA_016866355.1	GCA_016868475.1	0.8-0.85	83.1014	81.36
NZ_JAASQL010000001.1	NZ_JAATJG010000001.1	84.8348	91.1767	0.0962	0.1015	0.51114	8	0.2314	196	1.189	0.3831	90.0583	95.6923	2.1548	0.77	AlfI:91.33,AloI:92.61,BcgI:91.67,FalI:90.45	266	8	214	11	8.375	INCONSISTENT	GCF_011762155.1	GCF_011927765.1	0.8-0.85	86.0897	84.34
NZ_SOAY01000010.1	NZ_FTMA01000024.1	88.0971	88.0971	0.2636	0.2572	0.29635	20	0.5727	141	inf	0.2183	87.92	90.3768	3.906	3.39	AlfI:88.17,AloI:90.60,BcgI:86.69,FalI:88.46	343	20	1005	22	10.45	INCONSISTENT	GCF_004364165.1	GCF_900155985.1	0.8-0.85	84.8797	83.24000000000001
NZ_JQNQ01000001.1	NZ_LT670848.1	85.4046	88.5483	0.4955	0.5226	0.20494	25	0.3419	795	3.355	0.2419	88.0491	92.507	1.0875	1.05	AlfI:87.82,AloI:87.74,BcgI:88.83,FalI:88.68	1209	25	1986	59	17.52	INCONSISTENT	GCF_000745315.1	GCF_900142975.1	0.8-0.85	85.9111	84.73
JABDDQ010000001.1	JABDCR010000001.1	92.2659	92.2659	0.0773	0.0688	0.47187	10	0.5349	60	inf	0.4444	92.0239	93.1758	7.0763	0.97	AlfI:93.11,AloI:86.03,BcgI:91.83,FalI:92.19	174	10	187	16	7.9	ok	GCA_013287545.1	GCA_013288015.1	0.8-0.85	86.584	84.39999999999999
NZ_CP010776.1	NZ_CP047897.1	80.5151	86.8229	0.7782	0.7638	0.17766	15	0.8249	114	2.623	0.1661	86.2479	92.7046	1.7959	5.61	AlfI:87.20,AloI:87.70,BcgI:87.53,FalI:85.90	652	15	3590	229	36.8	BELOW_DETECTION	GCF_001577755.1	GCF_009913235.1	0.8-0.85	85.991	84.78
NZ_PYAS01000001.1	NC_013037.1	82.4156	87.1182	0.4651	0.5383	0.13172	34	0.8122	197	3.355	0.1588	86.6803	92.2327	0.8091	1.34	AlfI:87.46,AloI:86.65,BcgI:87.15,FalI:86.69	1080	34	6166	136	26.058823529411764	BELOW_DETECTION	GCF_003014695.1	GCF_000023125.1	0.8-0.85	85.1073	84.04
