		cluster1	cluster2
B. lon_107	FSCDJY15M2_ctg	1	1
B. lon_121	FSCDJY6M1_ctg	1	1
B. lon_46	FSCDJY7M2_ctg	1	1
B. lon_150	FSCREG6M5-3_ctg	1	1
B. lon_3	FSDLZ51M1_ctg	1	1
B. lon_55	FSHHK16M1_ctg	1	1
B. lon_148	FSHHK18M1_ctg	1	1
B. lon_155	FSHHK22M1_ctg	1	1
B. lon_113	FSHHK25M1_ctg	1	1
B. lon_63	FXJWS23M57_ctg	1	1
B. lon_133	FYNLJ22M3_ctg	1	1
B. lon_91	GX17-A9_ctg	1	1
B. lon_172	HAN4-25_ctg	1	1
B. lon_99	HUB2-25_ctg	1	1
B. lon_45	K2_ctg	1	1
B. lon_103	C1-A13_ctg	0	1
B. lon_52	C-1-A4_ctg	0	1
B. lon_53	CCFM685_ctg	0	1
B. lon_185	CCFM760_ctg	0	1
B. lon_21	F_JS_NJ_1_M1_ctg	0	1
B. lon_79	F_ZJ_TZ_1_M1_ctg	0	1
B. lon_12	FBJ20M1_ctg	0	1
B. lon_66	FGDLZ42_ctg	0	1
B. lon_156	FGSZY16M3_ctg	0	1
B. lon_67	FGSZY56M3_ctg	0	1
B. lon_109	FGXBM15M1_ctg	0	1
B. lon_171	FGZ35I1M4_ctg	0	1
B. lon_72	FGZ35MM1_ctg	0	1
B. lon_44	FGZ6_I1_M3_ctg	0	1
B. lon_7	FGZ6_I1_M6_ctg	0	1
B. lon_11	FHeJZ28M10_ctg	0	1
B. lon_81	FHNBA16M1_ctg	0	1
B. lon_129	FGZ16MM1_ctg	0	1
B. lon_62	FHuBZX17M2_ctg	0	1
B. lon_151	FHuBZX1M1_ctg	0	1
B. lon_134	FJSNT32M4_ctg	0	1
B. lon_35	FJSWX14M1_ctg	0	1
B. lon_135	FJSWX38M1_ctg	0	1
B. lon_178	FJSWX9M2_ctg	0	1
B. lon_139	FJSWXJ13M2_ctg	0	1
B. lon_174	FJSWXJ21M1_ctg	0	1
B. lon_173	FJSWXJ37M4_ctg	0	1
B. lon_22	FJSWXJ41M1_ctg	0	1
B. lon_19	FJSWXJ5M1_ctg	0	1
B. lon_158	FSCREG2M3-3_ctg	0	1
B. lon_126	FSCREG7M3-3_ctg	0	1
B. lon_76	FSDLZ46M1_ctg	0	1
B. lon_38	FSDLZ56M1_ctg	0	1
B. lon_90	FSHHK13M1_ctg	0	1
B. lon_149	FSHHK17M1_ctg	0	1
B. lon_106	FSHHK21M1_ctg	0	1
B. lon_28	FYNDL2M1_ctg	0	1
B. lon_141	FZXDX6M3-2_ctg	0	1
B. lon_33	HAN2-1_ctg	0	1
B. lon_132	HAN42-10_ctg	0	1
B. lon_34	HUB29-14_ctg	0	1
B. lon_82	HUB36-17_ctg	0	1
B. lon_183	HUB37-A12_ctg	0	1
B. lon_58	HUB6-1_ctg	0	1
B. lon_166	M1_23_F01_M3_5_ctg	0	1
B. lon_18	M1_28_R01_M3_1_ctg	0	1
B. lon_95	M1_C_12_L4_2_ctg	0	1
B. lon_131	M1-20-R01-3_ctg	0	1
B. lon_152	RG2-3_ctg	0	1
B. lon_1	BlongumL6_ctg	1	0
B. lon_84	C57BLSB22_ctg	1	0
B. lon_108	CCFM686_ctg	1	0
B. lon_51	CCFM752_ctg	1	0
B. lon_144	CCFM756_ctg	1	0
B. lon_54	CCFM762_ctg	1	0
B. lon_123	FBJ15M2_ctg	1	0
B. lon_60	FGDLZ74M1_ctg	1	0
B. lon_56	FHeJZ25M6_ctg	1	0
B. lon_10	FJSWXJ24M1_ctg	1	0
B. lon_163	FSDLZ50M2_ctg	1	0
B. lon_170	FSDLZ59M1_ctg	1	0
B. lon_78	FSDLZ61M5_ctg	1	0
B. lon_14	FSDTA2M6_ctg	1	0
B. lon_160	FSDTA5M1_ctg	1	0
B. lon_94	FSDTA7M1_ctg	1	0
B. lon_48	FXJWS23M13_ctg	1	0
B. lon_159	FXJWS23M14_ctg	1	0
B. lon_2	FXJWS23M15_ctg	1	0
B. lon_184	FXJWS23M56_ctg	1	0
B. lon_145	FXJWS23M58_ctg	1	0
B. lon_165	FXJWS23M59_ctg	1	0
B. lon_23	FXJWS23M60_ctg	1	0
B. lon_85	FXJWS23M61_ctg	1	0
B. lon_102	FXJWS23M7_ctg	1	0
B. lon_9	FXZDX24M5-1_ctg	1	0
B. lon_115	AHWH21M4_ctg	0	0
B. lon_30	FGSYC85M1_ctg	0	0
B. lon_6	FGSZY6M4_ctg	0	0
B. lon_41	FHaNCM24GMM6_ctg	0	0
B. lon_127	FHNBO41M2_ctg	0	0
B. lon_75	FJSNT49M3_ctg	0	0
B. lon_177	FJSNT49M4_ctg	0	0
B. lon_64	FJSNTY49M10_ctg	0	0
B. lon_39	FJSWXJ39M4_ctg	0	0
B. lon_169	FJSWXJ3M1_ctg	0	0
B. lon_68	FSCREG14M4-2-1_ctg	0	0
B. lon_125	FSDJN3M1_ctg	0	0
B. lon_100	FSDJN6M3_ctg	0	0
B. lon_27	FSHHK15M2_ctg	0	0
B. lon_142	FXJWS23M10_ctg	0	0
B. lon_111	FXJWS23M55_ctg	0	0
B. lon_15	FXJWS23M8_ctg	0	0
B. lon_179	FXJWS49M11_ctg	0	0
B. lon_77	FXJWS49M12_ctg	0	0
B. lon_119	FXJWS49M14_ctg	0	0
B. lon_140	FXJWS49M16_ctg	0	0
B. lon_128	FXJWS49M17_ctg	0	0
B. lon_104	FXJWS49M18_ctg	0	0
B. lon_89	FXJWS49M20_ctg	0	0
B. lon_98	FXJWS49M23_ctg	0	0
B. lon_87	FXJWS49M30_ctg	0	0
B. lon_143	FXJWS49M32_ctg	0	0
B. lon_146	FXJWS49M36_ctg	0	0
B. lon_43	FXJWS49M40_ctg	0	0
B. lon_73	FXJWS49M47_ctg	0	0
B. lon_71	FXJWS49M9_ctg	0	0
