query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count
Ecoli_O157H7_Sakai	Ecoli_UTI89	96.5715	97.3728	0.7838	0.8583	0.04397	57	0.8776	602
Ecoli_O157H7_Sakai	Escherichia_fergusonii	91.5858	94.3300	0.5460	0.6616	0.08414	62	0.7645	595
Ecoli_O157H7_Sakai	Salmonella_Typhimurium_LT2	80.5518	87.8783	0.2042	0.2380	0.25144	14	0.2632	529
Ecoli_O157H7_Sakai	Shigella_flexneri_301	97.8158	98.3098	0.7057	0.8763	0.03504	74	0.8346	871
Ecoli_O157H7_Sakai	Shigella_sonnei_Ss046	97.8706	98.3601	0.7301	0.8909	0.03375	63	0.8424	862
Ecoli_UTI89	Ecoli_BL21_DE3	96.7540	97.4505	0.8325	0.9597	0.04341	37	0.9039	457
Ecoli_UTI89	Ecoli_CFT073	99.0212	99.3367	0.9175	0.9258	0.01910	44	0.9393	378
Ecoli_UTI89	Ecoli_K12_MG1655	96.9212	97.5185	0.8226	0.9507	0.04279	34	0.9029	464
Ecoli_UTI89	Ecoli_K12_W3110	96.9294	97.5228	0.8212	0.9471	0.04276	37	0.9031	463
Ecoli_UTI89	Ecoli_O157H7_Sakai	96.8410	97.4769	0.8249	0.8209	0.04317	54	0.8782	599
Ecoli_UTI89	Ecoli_UTI89	99.9999	99.9999	0.9994	0.9994	0.21925	12	0.9619	265
Ecoli_UTI89	Escherichia_fergusonii	91.5115	94.4448	0.6068	0.6903	0.08216	64	0.8417	382
Ecoli_UTI89	Salmonella_Typhimurium_LT2	79.1689	87.7000	0.2006	0.2152	0.26362	18	0.3043	391
Ecoli_UTI89	Shigella_flexneri_301	96.6335	97.3297	0.7485	0.8726	0.04642	64	0.8849	508
Ecoli_UTI89	Shigella_sonnei_Ss046	96.8046	97.4593	0.7522	0.8915	0.04485	57	0.8937	476
Escherichia_fergusonii	Ecoli_BL21_DE3	91.4640	94.4751	0.6691	0.6698	0.08357	54	0.7872	525
Escherichia_fergusonii	Ecoli_CFT073	92.0617	94.6505	0.6419	0.5702	0.08295	60	0.8163	438
Escherichia_fergusonii	Ecoli_K12_MG1655	91.5561	94.5256	0.6779	0.6689	0.08298	51	0.7879	529
Escherichia_fergusonii	Ecoli_K12_W3110	91.5861	94.5402	0.6731	0.6618	0.08315	52	0.7855	535
Escherichia_fergusonii	Ecoli_O157H7_Sakai	91.9924	94.5094	0.6589	0.5591	0.08372	63	0.7645	595
Escherichia_fergusonii	Ecoli_UTI89	92.1539	94.7055	0.6590	0.6096	0.08156	68	0.8367	394
Escherichia_fergusonii	Escherichia_fergusonii	99.9999	99.9999	0.9998	0.9998	0.23382	3	0.9546	280
Escherichia_fergusonii	Salmonella_Typhimurium_LT2	81.0422	87.8398	0.2099	0.2048	0.27184	17	0.3071	388
Escherichia_fergusonii	Shigella_flexneri_301	92.0535	94.5342	0.6092	0.6097	0.08615	59	0.7820	507
Escherichia_fergusonii	Shigella_sonnei_Ss046	92.3918	94.7734	0.5899	0.5847	0.08490	65	0.7837	503
Salmonella_Typhimurium_LT2	Ecoli_BL21_DE3	80.0940	88.1855	0.2206	0.2275	0.25814	16	0.2604	517
Salmonella_Typhimurium_LT2	Ecoli_CFT073	82.2207	88.6473	0.1594	0.1420	0.28619	15	0.2598	436
Salmonella_Typhimurium_LT2	Ecoli_K12_MG1655	78.8072	87.8465	0.2363	0.2394	0.25857	15	0.2625	503
Salmonella_Typhimurium_LT2	Ecoli_K12_W3110	80.4262	88.0301	0.2146	0.2176	0.26495	16	0.2610	504
Salmonella_Typhimurium_LT2	Ecoli_O157H7_Sakai	80.6674	87.9194	0.2380	0.2042	0.25129	14	0.2632	529
Salmonella_Typhimurium_LT2	Ecoli_UTI89	79.8185	87.9294	0.2152	0.2006	0.26426	18	0.3043	391
Salmonella_Typhimurium_LT2	Escherichia_fergusonii	79.3694	87.4448	0.2202	0.2260	0.27168	17	0.3125	385
Salmonella_Typhimurium_LT2	Salmonella_Typhimurium_LT2	99.9999	99.9999	0.9993	0.9993	0.23457	7	0.9562	269
Salmonella_Typhimurium_LT2	Shigella_flexneri_301	79.6593	87.7586	0.2035	0.2056	0.27537	10	0.2377	494
Salmonella_Typhimurium_LT2	Shigella_sonnei_Ss046	80.7927	87.7722	0.2287	0.2285	0.26013	15	0.2737	475
Shigella_flexneri_301	Ecoli_BL21_DE3	98.1166	98.6372	0.8608	0.8847	0.03120	45	0.8658	694
Shigella_flexneri_301	Ecoli_CFT073	96.5640	97.3582	0.8790	0.7988	0.04582	58	0.8753	566
Shigella_flexneri_301	Ecoli_K12_MG1655	98.0962	98.6193	0.8726	0.8880	0.03118	48	0.8602	738
Shigella_flexneri_301	Ecoli_K12_W3110	98.0868	98.6141	0.8704	0.8850	0.03128	50	0.8596	741
Shigella_flexneri_301	Ecoli_O157H7_Sakai	97.8552	98.3212	0.8719	0.7723	0.03484	57	0.8397	844
Shigella_flexneri_301	Ecoli_UTI89	96.6517	97.3401	0.8564	0.8083	0.04628	60	0.8872	498
Shigella_flexneri_301	Escherichia_fergusonii	91.7557	94.4104	0.6254	0.6471	0.08627	53	0.7885	492
Shigella_flexneri_301	Salmonella_Typhimurium_LT2	79.5564	87.8325	0.2056	0.2035	0.27551	10	0.2377	494
Shigella_flexneri_301	Shigella_flexneri_301	99.9999	99.9999	0.9994	0.9994	0.23343	5	0.8907	699
Shigella_flexneri_301	Shigella_sonnei_Ss046	98.2717	98.8095	0.8452	0.8807	0.02898	71	0.8683	681
Shigella_sonnei_Ss046	Ecoli_BL21_DE3	98.2421	98.8138	0.8559	0.9164	0.02824	48	0.8765	667
Shigella_sonnei_Ss046	Ecoli_CFT073	96.5006	97.3971	0.8517	0.7877	0.04535	52	0.8746	574
Shigella_sonnei_Ss046	Ecoli_K12_MG1655	98.1493	98.7645	0.8664	0.9020	0.02884	45	0.8709	701
Shigella_sonnei_Ss046	Ecoli_K12_W3110	98.1442	98.7616	0.8641	0.8988	0.02890	47	0.8700	706
Shigella_sonnei_Ss046	Ecoli_O157H7_Sakai	97.7700	98.3281	0.8703	0.7896	0.03407	53	0.8446	850
Shigella_sonnei_Ss046	Ecoli_UTI89	96.4372	97.3249	0.8586	0.8167	0.04601	50	0.8946	472
Shigella_sonnei_Ss046	Escherichia_fergusonii	92.4444	94.7614	0.5570	0.5984	0.08501	68	0.7816	508
Shigella_sonnei_Ss046	Salmonella_Typhimurium_LT2	80.6184	87.7557	0.2285	0.2287	0.25976	15	0.2737	475
Shigella_sonnei_Ss046	Shigella_flexneri_301	98.1574	98.7793	0.8147	0.8620	0.02944	79	0.8644	701
Shigella_sonnei_Ss046	Shigella_sonnei_Ss046	99.9999	99.9999	0.9968	0.9968	0.22869	4	0.8954	689
