query	reference	label	q_species	r_species	q_genus	r_genus	q_category	r_category	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags	s2b_af_q	s2b_af_r	s2b_ref_gc	ani	ani_uniform	af_query	flag	v8_gamma	v8_uniform
GCF_025449295.1	GCF_023517855.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.996214	0.996700	96.190000	0.999247	0.995497	332	0.291484	0.292254	0.443842	99.626600	99.794600	0.973100	ok	0.996266	0.997946
GCF_024730745.1	GCF_023517835.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.989968	0.989700	94.150000	0.996238	0.902628	108	0.096429	0.095830	0.443589	98.816000	99.344700	0.959300	ok	0.988160	0.993447
GCF_024730745.1	GCF_023517855.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.989757	0.989200	93.680000	0.996528	0.902942	108	0.096429	0.095070	0.443842	98.780700	99.359100	0.958500	ok	0.987807	0.993591
GCF_023517835.1	GCF_023517855.1	high	Aggregatibacter actinomycetemcomitans	Aggregatibacter actinomycetemcomitans	Aggregatibacter	Aggregatibacter	oral	oral	0.999411	0.999300	99.020000	0.999694	0.998547	1124	0.997338	0.989437	0.443842	99.949000	99.949000	0.999900	ok	0.999490	0.999490
GCF_028743275.1	GCF_000724795.2	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.986546	0.988600	85.860000	0.995402	0.988885	1998	0.839849	0.851300	0.433468	99.098800	99.283500	0.876200	ok	0.990988	0.992835
GCF_028743275.1	GCF_023702735.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.987377	0.986700	81.850000	0.994214	0.983764	956	0.401850	0.396352	0.433900	99.013800	99.231300	0.865900	ok	0.990138	0.992313
GCF_028743275.1	GCF_016889925.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.987971	0.987500	83.040000	0.975806	0.800006	31	0.013031	0.013214	0.432062	99.117300	99.269600	0.858800	ok	0.991173	0.992696
GCF_028743275.1	GCF_040687795.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.986406	0.985400	76.980000	0.994745	0.987365	2004	0.842371	0.781287	0.436733	98.991200	99.227900	0.869600	ok	0.989912	0.992279
GCF_000724795.2	GCF_023702735.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.989010	0.990300	82.950000	0.996098	0.988797	921	0.392416	0.381841	0.433900	99.180200	99.389000	0.871400	ok	0.991802	0.993890
GCF_000724795.2	GCF_016889925.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.988809	0.990800	84.000000	0.993750	0.915976	10	0.004261	0.004263	0.432062	99.268800	99.414300	0.864800	ok	0.992688	0.994143
GCF_000724795.2	GCF_040687795.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.987330	0.990200	77.860000	0.996235	0.990888	2017	0.859395	0.786355	0.436733	99.231700	99.412700	0.860900	ok	0.992317	0.994127
GCF_023702735.1	GCF_016889925.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.990280	0.990200	86.250000	0.996348	0.990949	1121	0.464760	0.477835	0.432062	99.394300	99.447200	0.862300	ok	0.993943	0.994472
GCF_023702735.1	GCF_040687795.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.989305	0.990200	78.220000	0.995746	0.988311	955	0.395937	0.372320	0.436733	99.406300	99.472200	0.831400	ok	0.994063	0.994722
GCF_016889925.1	GCF_040687795.1	high	Bacteroides fragilis	Bacteroides fragilis	Bacteroides	Bacteroides	gut	gut	0.989676	0.988600	79.290000	0.994913	0.864597	43	0.018329	0.016764	0.436733	99.315900	99.399700	0.858400	ok	0.993159	0.993997
GCF_040026365.1	GCF_025151715.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.002286	0.003021	0.426665	93.164000	93.164000	0.003000	ok	0.931640	0.931640
GCF_040026365.1	GCF_023497585.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.002286	0.003277	0.424397	97.283200	97.283200	0.006600	ok	0.972832	0.972832
GCF_040026365.1	GCF_027668125.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.001372	0.002031	0.423017	96.470200	96.470200	0.002500	ok	0.964702	0.964702
GCF_019968055.1	GCF_025151715.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.992188	0.894669	12	0.006058	0.007251	0.426665	97.188200	97.188200	0.002100	ok	0.971882	0.971882
GCF_019968055.1	GCF_023497585.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.992188	0.894645	12	0.006058	0.007864	0.424397	97.808400	97.808400	0.003100	ok	0.978084	0.978084
GCF_019968055.1	GCF_027668125.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.000505	0.000677	0.423017	98.176500	98.176500	0.003000	ok	0.981765	0.981765
GCF_049532935.1	GCF_025151715.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.003606	0.004230	0.426665	96.183000	96.183000	0.007600	ok	0.961830	0.961830
GCF_049532935.1	GCF_015554785.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.000515	0.000655	0.424524	98.652300	98.652300	0.001900	ok	0.986523	0.986523
GCF_049532935.1	GCF_015555785.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.001030	0.001259	0.420987	96.358600	96.358600	0.007900	ok	0.963586	0.963586
GCF_049532935.1	GCF_027668125.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.001546	0.002031	0.423017	97.239500	97.239500	0.010400	ok	0.972395	0.972395
GCF_003312465.1	GCF_025151715.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.003297	0.003625	0.426665	97.401600	97.401600	0.008100	ok	0.974016	0.974016
GCF_003312465.1	GCF_015554785.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.000549	0.000655	0.424524	98.375800	98.375800	0.002100	ok	0.983758	0.983758
GCF_003312465.1	GCF_015555785.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.000549	0.000629	0.420987	96.415900	96.415900	0.002700	ok	0.964159	0.964159
GCF_003312465.1	GCF_027668125.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.001648	0.002031	0.423017	98.079400	98.079400	0.010200	ok	0.980794	0.980794
GCF_051201525.1	GCF_025151715.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.003648	0.005438	0.426665	93.957800	93.957800	0.004600	ok	0.939578	0.939578
GCF_051201525.1	GCF_023497585.1	low	Faecalibacterium prausnitzii	Roseburia intestinalis	Faecalibacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.003243	0.005242	0.424397	92.919100	92.919100	0.003900	ok	0.929191	0.929191
GCF_056494015.1	GCF_010230935.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.974894	0.975500	87.430000	0.989852	0.973066	736	0.793103	0.757202	0.558759	97.799900	98.292100	0.948800	ok	0.977999	0.982921
GCF_056494015.1	GCF_010223135.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.985649	0.987300	91.950000	0.993550	0.982656	780	0.840517	0.816754	0.553506	98.681600	99.078300	0.965200	ok	0.986816	0.990783
GCF_056494015.1	GCF_010230515.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.974896	0.975500	87.430000	0.989852	0.973066	736	0.793103	0.757202	0.558757	97.799900	98.292100	0.948800	ok	0.977999	0.982921
GCF_056494015.1	GCF_018847215.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.980385	0.982800	85.870000	0.992420	0.981401	639	0.688578	0.651376	0.554588	98.376700	98.804300	0.923000	ok	0.983767	0.988043
GCF_010230935.1	GCF_010230515.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.999989	1.000000	100.000000	1.000000	0.999159	972	1.000000	1.000000	0.558757	99.999900	99.999900	0.999100	ok	0.999999	0.999999
GCF_010223135.1	GCF_018847215.1	high	Akkermansia muciniphila	Akkermansia muciniphila	Akkermansia	Akkermansia	gut	gut	0.981600	0.982600	87.510000	0.992175	0.981405	639	0.669110	0.651376	0.554588	98.329100	98.791500	0.926600	ok	0.983291	0.987915
GCF_009738515.1	GCF_004936435.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.985420	0.987100	87.000000	0.995033	0.988218	2284	0.854790	0.817759	0.601616	98.842500	99.232300	0.929800	ok	0.988425	0.992323
GCF_009738515.1	GCF_017743155.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.982627	0.983500	80.460000	0.994746	0.987394	2147	0.803518	0.755454	0.599491	98.732900	99.190100	0.889400	ok	0.987329	0.991901
GCF_009738515.1	GCF_001293145.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.986504	0.985400	82.470000	0.995743	0.989791	2305	0.862650	0.790195	0.600103	99.058200	99.346800	0.918000	ok	0.990582	0.993468
GCF_009738515.1	GCF_036419235.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.984111	0.986200	74.380000	0.994847	0.988160	2165	0.810254	0.720466	0.599507	98.750300	99.184800	0.887500	ok	0.987503	0.991848
GCF_004936435.1	GCF_017743155.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.984799	0.985900	85.410000	0.994888	0.988072	2280	0.816327	0.802252	0.599491	98.903600	99.227700	0.891400	ok	0.989036	0.992277
GCF_004936435.1	GCF_001293145.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.985602	0.987000	86.110000	0.994985	0.988239	2374	0.849982	0.813850	0.600103	98.885200	99.234100	0.906600	ok	0.988852	0.992341
GCF_004936435.1	GCF_036419235.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.983084	0.985200	75.690000	0.994288	0.985609	2183	0.781597	0.726456	0.599507	98.804900	99.166100	0.861300	ok	0.988049	0.991661
GCF_017743155.1	GCF_001293145.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.984040	0.986500	83.130000	0.994580	0.985873	2266	0.797326	0.776826	0.600103	98.773900	99.171000	0.854000	ok	0.987739	0.991710
GCF_017743155.1	GCF_036419235.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.982903	0.980400	75.860000	0.994329	0.985649	2193	0.771640	0.729784	0.599507	98.574200	99.098600	0.843100	ok	0.985742	0.990986
GCF_001293145.1	GCF_036419235.1	high	Bifidobacterium longum	Bifidobacterium longum	Bifidobacterium	Bifidobacterium	gut	gut	0.980503	0.984200	74.580000	0.993988	0.985372	2178	0.746658	0.724792	0.599507	98.563100	99.095700	0.824000	ok	0.985631	0.990957
GCF_001293145.1	GCF_027668125.1	low	Bifidobacterium longum	Roseburia intestinalis	Bifidobacterium	Roseburia	gut	gut		0.000000	0.000000	0.000000	0.000000	0	0.001371	0.002708	0.423017	99.999900	99.999900	0.003100	ok	0.999999	0.999999
GCF_025151715.1	GCF_023497585.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.986129	0.987100	84.930000	0.996418	0.990783	1265	0.764350	0.828965	0.424397	98.560900	99.259600	0.780400	ok	0.985609	0.992596
GCF_025151715.1	GCF_015554785.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.985585	0.989000	81.730000	0.996277	0.989200	638	0.385498	0.418087	0.424524	98.616400	99.266900	0.746200	ok	0.986164	0.992669
GCF_025151715.1	GCF_015555785.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.983727	0.988800	75.940000	0.995789	0.987923	564	0.340785	0.354940	0.420987	98.741900	99.298900	0.739900	ok	0.987419	0.992989
GCF_023497585.1	GCF_015554785.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.985866	0.986500	80.660000	0.997433	0.990577	633	0.414810	0.414810	0.424524	98.707600	99.344900	0.800100	ok	0.987076	0.993449
GCF_023497585.1	GCF_015555785.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.984123	0.986400	74.190000	0.996263	0.989272	577	0.378113	0.363121	0.420987	98.842400	99.347300	0.784800	ok	0.988424	0.993473
GCF_015554785.1	GCF_015555785.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.983996	0.985800	75.130000	0.995971	0.988163	605	0.396461	0.380743	0.420987	98.882200	99.308600	0.772500	ok	0.988822	0.993086
GCF_015554785.1	GCF_027668125.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.985383	0.989500	84.240000	0.996509	0.989254	546	0.357798	0.369668	0.423017	98.757700	99.329800	0.786100	ok	0.987577	0.993298
GCF_015555785.1	GCF_027668125.1	high	Roseburia intestinalis	Roseburia intestinalis	Roseburia	Roseburia	gut	gut	0.984733	0.988200	84.450000	0.995682	0.987711	550	0.346130	0.372376	0.423017	98.846200	99.344300	0.704500	ok	0.988462	0.993443
