query	reference	s2b_raw_ani	s2b_mash_ani	s2b_af_q	s2b_af_r	s2b_shared_tags	s2b_containment	s2b_ref_gc	s2b_corrected_ani	s2b_error
GCA_902797945.1	GCA_017479185.1	1.000000	0.912823	0.023108	0.017791	29	0.500000	0.440819	0.884823	
GCF_013168275.1	GCA_003402375.1	1.000000	0.846743	0.027689	0.032183	69	0.500000	0.488015	0.818743	
GCF_003350475.1	GCF_001476815.1	1.000000	0.897978	0.037619	0.042525	225	0.500000	0.701767	0.869978	
GCF_014697425.1	GCF_014697475.1	1.000000	0.853988	0.020741	0.019495	112	0.500000	0.404653	0.825988	
GCA_002404515.1	GCA_900553925.1	1.000000	0.922549	0.025969	0.030245	63	0.500000	0.455537	0.894549	
GCA_009889515.1	GCA_002898395.1	1.000000	0.852982	0.009883	0.011445	32	0.500000	0.514490	0.824982	
GCF_001422575.1	GCF_011684115.1	1.000000	0.848965	0.025176	0.023712	93	0.500000	0.523397	0.820965	
GCF_003434305.1	GCF_003236335.1	1.000000	0.876740	0.015328	0.018971	343	0.500000	0.723872	0.848740	
GCF_003095655.1	GCF_000212355.1	1.000000	0.800846	0.005956	0.006262	10	0.500000	0.372891	0.772846	
GCA_013112535.1	GCA_002292815.1	0.000000	0.000000	0.000558	0.000658	0	0.000000	0.407191	0.000000	
GCF_000518645.1	GCF_000381265.1	1.000000	0.944519	0.192548	0.178744	925	0.500000	0.655398	0.916519	
GCA_900546615.1	GCA_004553625.1	1.000000	0.859100	0.015405	0.011384	69	0.500000	0.610377	0.831100	
GCF_016587375.1	GCF_000178855.1	1.000000	0.914364	0.117027	0.090303	1855	0.500000	0.537890	0.886364	
GCF_001696685.1	GCF_000438455.1	1.000000	0.955030	0.189560	0.198276	138	0.500000	0.365333	0.927030	
GCF_004343075.1	GCF_001633165.1	1.000000	0.744240	0.003724	0.003211	23	0.500000	0.668774	0.716240	
GCF_004343075.1	GCA_011048875.1	1.000000	0.857808	0.009067	0.011438	56	0.500000	0.675875	0.829808	
GCF_003367075.1	GCF_014489415.1	1.000000	0.880489	0.216879	0.186827	902	0.500000	0.400876	0.852489	
GCA_017882065.1	GCA_903873975.1	1.000000	0.887456	0.016595	0.010283	73	0.500000	0.547497	0.859456	
GCA_000503835.1	GCA_001773385.1	1.000000	0.900487	0.028169	0.028986	32	0.500000	0.423861	0.872487	
GCA_000996895.1	GCA_001773135.1	1.000000	0.880358	0.015306	0.017301	15	0.500000	0.415552	0.852358	
GCF_003129605.1	GCA_002783385.1	1.000000	0.866405	0.021474	0.027474	88	0.500000	0.591081	0.838405	
GCA_003021335.1	GCA_003022085.1	0.000000	0.000000	0.000585	0.000528	0	0.000000	0.655348	0.000000	
GCA_902761585.1	GCF_009696445.1	1.000000	0.940185	0.184211	0.137898	854	0.500000	0.519933	0.912185	
GCA_003576915.1	GCA_019186845.1	1.000000	0.902780	0.053780	0.061318	308	0.500000	0.637681	0.874780	
GCF_009867135.1	GCF_001553955.1	1.000000	0.949317	0.259455	0.270505	343	0.500000	0.435411	0.921317	
GCA_012030815.1	GCA_005798405.1	0.000000	0.000000	0.006410	0.005445	0	0.000000	0.334157	0.000000	
GCF_009733735.1	GCA_018970445.1	1.000000	0.879064	0.008721	0.012746	24	0.500000	0.671600	0.851064	
GCF_009733735.1	GCF_002251755.1	1.000000	0.900955	0.014898	0.012849	41	0.500000	0.661563	0.872955	
GCF_000527135.1	GCF_001713355.1	1.000000	0.834638	0.014531	0.014868	50	0.500000	0.650220	0.806638	
GCF_000428925.1	GCF_009864005.1	1.000000	0.926445	0.114880	0.120258	298	0.500000	0.432991	0.898445	
GCA_000330845.1	GCF_008369545.1	1.000000	0.891874	0.086754	0.065670	224	0.500000	0.531138	0.863874	
GCA_015484985.1	GCA_015491595.1	1.000000	0.958914	0.134438	0.117505	876	0.500000	0.637295	0.930914	
GCF_001026905.1	GCF_002118315.1	1.000000	0.855492	0.014616	0.013846	67	0.500000	0.455229	0.827492	
GCF_016908015.1	GCF_900185645.1	1.000000	0.926366	0.083675	0.082373	143	0.500000	0.313067	0.898366	
GCF_000151105.2	GCA_017656495.1	1.000000	0.816429	0.015192	0.017356	34	0.500000	0.402671	0.788429	
GCF_012027325.1	GCF_000517445.1	1.000000	0.876701	0.085561	0.102455	192	0.500000	0.402965	0.848701	
GCA_002390425.1	GCA_018699075.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.409718	0.000000	
GCF_006376675.1	GCF_902825325.1	1.000000	0.907758	0.064755	0.069020	350	0.500000	0.558519	0.879758	
GCF_000264765.2	GCF_001896205.1	1.000000	0.945718	0.232591	0.274224	1149	0.500000	0.593998	0.917718	
GCF_001896205.1	GCF_000264785.1	1.000000	0.888621	0.084248	0.082438	353	0.500000	0.575583	0.860621	
GCF_000422565.1	GCA_002382645.1	1.000000	0.836841	0.012164	0.012561	100	0.500000	0.679275	0.808841	
GCF_009729545.1	GCA_003086435.1	1.000000	0.885084	0.056755	0.087224	71	0.500000	0.339853	0.857084	
GCF_002927045.1	GCF_000198775.1	1.000000	0.876939	0.091455	0.081929	350	0.500000	0.607058	0.848939	
GCF_000198775.1	GCF_900155955.1	1.000000	0.867044	0.029260	0.031336	125	0.500000	0.605934	0.839044	
GCF_006175985.1	GCA_004168015.1	1.000000	0.932353	0.108820	0.152635	1066	0.500000	0.629431	0.904353	
GCA_902789925.1	GCA_902798675.1	1.000000	0.929173	0.061049	0.078280	71	0.500000	0.372950	0.901173	
GCF_008330945.1	GCF_001676615.1	1.000000	0.851546	0.045306	0.044218	486	0.500000	0.637621	0.823546	
GCA_002348265.1	GCA_002348465.1	1.000000	0.942819	0.129813	0.138310	617	0.500000	0.536571	0.914819	
GCA_902530455.1	GCA_902605645.1	0.000000	0.000000	0.011905	0.008621	0	0.000000	0.298960	0.000000	
GCF_013170825.1	GCF_006439355.1	1.000000	0.775979	0.005079	0.006685	45	0.500000	0.637572	0.747979	
GCA_002366595.1	GCA_003453555.1	1.000000	0.906981	0.040167	0.045550	173	0.500000	0.557800	0.878981	
GCA_902782995.1	GCA_910578885.1	0.000000	0.000000	0.001482	0.000820	0	0.000000	0.432661	0.000000	
GCA_902781345.1	GCA_902773485.1	0.000000	0.000000	0.013629	0.017699	0	0.000000	0.352736	0.000000	
GCF_000469505.1	GCF_001274535.1	1.000000	0.855544	0.060079	0.054247	76	0.500000	0.314137	0.827544	
GCF_000633595.2	GCF_001038625.1	1.000000	0.861044	0.091063	0.084205	161	0.500000	0.299309	0.833044	
GCA_002732015.1	GCA_002171495.2	0.000000	0.000000	0.009597	0.010823	0	0.000000	0.291750	0.000000	
GCA_018302605.1	GCA_016203205.1	1.000000	0.885578	0.012371	0.019769	12	0.500000	0.444591	0.857578	
GCA_900539345.1	GCA_900555105.1	1.000000	0.938039	0.102301	0.164952	449	0.500000	0.612285	0.910039	
GCF_001748285.1	GCF_008974285.1	1.000000	0.893691	0.077094	0.076907	730	0.500000	0.607326	0.865691	
GCF_003268475.1	GCF_000702505.1	1.000000	0.761755	0.002110	0.002210	21	0.500000	0.608821	0.733755	
GCF_000183545.2	GCF_000184705.1	1.000000	0.751761	0.001837	0.001814	21	0.500000	0.724821	0.723761	
GCA_013180565.1	GCA_013139985.1	1.000000	0.964952	0.157637	0.201346	419	0.500000	0.428776	0.936952	
GCA_002505325.1	GCA_014240285.1	1.000000	0.900767	0.028656	0.023868	68	0.500000	0.558029	0.872767	
GCF_000559025.1	GCF_004803715.2	1.000000	0.781401	0.006504	0.010598	39	0.500000	0.691910	0.753401	
GCA_017635515.1	GCA_015058655.1	1.000000	0.897060	0.053752	0.063689	308	0.500000	0.521934	0.869060	
GCF_000526375.1	GCA_002425685.1	1.000000	0.898797	0.133865	0.127963	1393	0.500000	0.615319	0.870797	
GCA_013698135.1	GCA_013812395.1	1.000000	0.889986	0.014909	0.013195	66	0.500000	0.700715	0.861986	
GCF_000754225.1	GCF_009796845.1	1.000000	0.814793	0.022669	0.021307	89	0.500000	0.577043	0.786793	
GCA_903874275.1	GCA_903904005.1	1.000000	0.860810	0.014808	0.016070	260	0.500000	0.711438	0.832810	
GCA_902572695.1	GCA_001321855.1	1.000000	0.947970	0.157676	0.150198	38	0.500000	0.294328	0.919970	
GCA_902633855.1	GCA_002694595.1	1.000000	0.936574	0.052782	0.098667	37	0.500000	0.355507	0.908574	
GCF_017812015.1	GCF_009827545.1	0.000000	0.000000	0.000298	0.000313	0	0.000000	0.554606	0.000000	
GCF_013820765.1	GCF_000766145.1	1.000000	0.899986	0.039645	0.038095	116	0.500000	0.428799	0.871986	
GCF_004217495.1	GCF_001425085.1	1.000000	0.874571	0.032709	0.032030	145	0.500000	0.676866	0.846571	
GCF_900104895.1	GCF_002936985.1	1.000000	0.892287	0.126629	0.135488	612	0.500000	0.697851	0.864287	
GCA_002712335.1	GCA_002719885.1	1.000000	0.926606	0.132884	0.139302	375	0.500000	0.416916	0.898606	
GCA_002709005.1	GCA_002707605.1	1.000000	0.902748	0.019051	0.021334	118	0.500000	0.606709	0.874748	
GCF_000759795.1	GCF_007680145.1	1.000000	0.926948	0.121402	0.123128	485	0.500000	0.563109	0.898948	
GCF_007197735.1	GCF_001439665.1	1.000000	0.880948	0.011696	0.010563	18	0.500000	0.334044	0.852948	
GCF_012912135.1	GCF_000828085.3	1.000000	0.881598	0.149894	0.124457	916	0.500000	0.423255	0.853598	
GCA_902567855.1	GCA_902577425.1	1.000000	0.916329	0.140312	0.121387	63	0.500000	0.284146	0.888329	
GCA_002771075.1	GCA_001825335.1	1.000000	0.914931	0.048701	0.039267	15	0.500000	0.350380	0.886931	
GCF_000755145.1	GCF_000413095.1	1.000000	0.882795	0.075000	0.073323	141	0.500000	0.374381	0.854795	
GCF_007559025.1	GCF_016599145.1	1.000000	0.895864	0.028876	0.030350	295	0.500000	0.705106	0.867864	
GCA_905182735.1	GCA_002723295.1	0.000000	0.000000	0.002160	0.003774	0	0.000000	0.294527	0.000000	
GCA_900540685.1	GCA_900764725.1	1.000000	0.944602	0.088398	0.063091	80	0.500000	0.341828	0.916602	
GCA_017633865.1	GCA_017629765.1	0.000000	0.000000	0.002626	0.002809	0	0.000000	0.470678	0.000000	
GCF_900109225.1	GCF_000381065.1	1.000000	0.953670	0.232006	0.246840	664	0.500000	0.380954	0.925670	
GCF_003426945.1	GCA_002355995.1	1.000000	0.856570	0.026538	0.026675	176	0.500000	0.689900	0.828570	
GCF_000426085.1	GCF_011393025.1	1.000000	0.915960	0.094748	0.094444	442	0.500000	0.388050	0.887960	
GCA_017305815.1	GCF_014196455.1	1.000000	0.818487	0.002972	0.002040	15	0.500000	0.666953	0.790487	
GCA_003559755.1	GCA_003553185.1	1.000000	0.926856	0.089238	0.085092	738	0.500000	0.638626	0.898856	
GCA_005778045.1	GCA_903892045.1	1.000000	0.928812	0.105171	0.085894	724	0.500000	0.706011	0.900812	
GCF_900107215.1	GCA_002385485.1	1.000000	0.940284	0.158501	0.180624	440	0.500000	0.461976	0.912284	
GCF_900156175.1	GCF_900451145.1	1.000000	0.860234	0.069700	0.066546	478	0.500000	0.623867	0.832234	
GCA_905372355.1	GCF_000208405.1	1.000000	0.878496	0.178800	0.151680	474	0.500000	0.571070	0.850496	
GCF_000517425.1	GCF_000517405.1	1.000000	0.918758	0.124836	0.126414	760	0.500000	0.560596	0.890758	
GCA_016869835.1	GCA_011008935.1	1.000000	0.880079	0.008547	0.006711	29	0.500000	0.654658	0.852079	
GCF_014652915.1	GCA_018401495.1	1.000000	0.820896	0.009449	0.010466	110	0.500000	0.699112	0.792896	
GCA_007693945.1	GCA_003558175.1	0.000000	0.000000	0.000866	0.001149	0	0.000000	0.611558	0.000000	
GCA_902624765.1	GCA_902578495.1	1.000000	0.914702	0.082474	0.078049	48	0.500000	0.353977	0.886702	
GCA_012964235.1	GCA_002686675.1	1.000000	0.942086	0.056088	0.136971	123	0.500000	0.389994	0.914086	
GCF_003013695.1	GCA_002434305.1	1.000000	0.886487	0.071744	0.061456	195	0.500000	0.688259	0.858487	
GCF_006539725.1	GCF_003261575.2	1.000000	0.797957	0.013194	0.012493	68	0.500000	0.532789	0.769957	
GCA_900759445.1	GCF_009707385.1	1.000000	0.793929	0.012561	0.009296	44	0.500000	0.541150	0.765929	
GCF_015690345.1	GCF_004217235.1	1.000000	0.767168	0.014269	0.016881	399	0.500000	0.717054	0.739168	
GCF_007673525.1	GCF_005503015.1	1.000000	0.931830	0.157797	0.152773	427	0.500000	0.392456	0.903830	
GCA_017417215.1	GCA_017526725.1	1.000000	0.929799	0.025678	0.015332	18	0.500000	0.362641	0.901799	
GCF_000407445.1	GCF_002141365.1	1.000000	0.852259	0.020735	0.019089	44	0.500000	0.356767	0.824259	
GCA_016783995.1	GCA_002779205.1	1.000000	0.955686	0.098015	0.087196	79	0.500000	0.348077	0.927686	
GCA_903857165.1	GCA_903911305.1	1.000000	0.903989	0.006247	0.006188	37	0.500000	0.490102	0.875989	
GCA_003220935.1	GCA_001917665.1	1.000000	0.915830	0.064898	0.109697	741	0.500000	0.695563	0.887830	
GCA_001919865.1	GCA_003222135.1	1.000000	0.840902	0.011473	0.009161	92	0.500000	0.692230	0.812902	
GCA_019119775.1	GCA_019114465.1	1.000000	0.858636	0.016947	0.015059	111	0.500000	0.546061	0.830636	
GCF_009856415.1	GCF_900104185.1	1.000000	0.895532	0.051118	0.050677	247	0.500000	0.435472	0.867532	
GCF_000382125.1	GCA_905479615.1	1.000000	0.846077	0.004237	0.007486	12	0.500000	0.370670	0.818077	
GCF_001708505.1	GCF_012767755.2	1.000000	0.851004	0.022868	0.022796	189	0.500000	0.663571	0.823004	
GCF_002355475.1	GCF_008807375.1	1.000000	0.865882	0.028487	0.038795	336	0.500000	0.642352	0.837882	
GCA_900544395.1	GCF_008121495.1	1.000000	0.830396	0.032986	0.025613	95	0.500000	0.428711	0.802396	
GCA_002813285.1	GCF_017810075.1	1.000000	0.885930	0.059502	0.055118	98	0.500000	0.392181	0.857930	
GCA_013824165.1	GCF_015624425.1	1.000000	0.781101	0.007134	0.005253	28	0.500000	0.692758	0.753101	
GCA_900539175.1	GCA_018714325.1	0.000000	0.000000	0.001340	0.001394	0	0.000000	0.437156	0.000000	
GCF_000189775.2	GCF_000747665.1	1.000000	0.869968	0.092283	0.079019	116	0.500000	0.348346	0.841968	
GCF_009905255.1	GCF_017874545.1	1.000000	0.865040	0.018453	0.017230	26	0.500000	0.338902	0.837040	
GCF_000423645.1	GCA_011389955.1	1.000000	0.873302	0.007052	0.011891	31	0.500000	0.637324	0.845302	
GCA_001898825.1	GCA_002435715.1	1.000000	0.876473	0.028540	0.029397	232	0.500000	0.627738	0.848473	
GCF_900114005.1	GCF_007827365.1	1.000000	0.844388	0.020962	0.028099	34	0.500000	0.319968	0.816388	
GCF_003260095.1	GCF_004519515.1	1.000000	0.816547	0.026393	0.027636	27	0.500000	0.401239	0.788547	
GCA_018712435.1	GCF_002160025.1	1.000000	0.901279	0.063926	0.047973	297	0.500000	0.543115	0.873279	
GCA_902364065.1	GCF_000155955.1	1.000000	0.804619	0.012678	0.015966	41	0.500000	0.580112	0.776619	
GCF_013607875.1	GCF_003431825.1	1.000000	0.812774	0.014102	0.012622	67	0.500000	0.641656	0.784774	
GCF_003201955.1	GCF_003431825.1	1.000000	0.797025	0.014074	0.014130	75	0.500000	0.641656	0.769025	
GCF_003719295.1	GCA_002414665.1	1.000000	0.875626	0.017631	0.014719	82	0.500000	0.610740	0.847626	
GCF_000423125.1	GCA_002416125.1	1.000000	0.848158	0.011725	0.011526	59	0.500000	0.628251	0.820158	
GCA_016285615.1	GCA_017454945.1	1.000000	0.931233	0.145073	0.151573	318	0.500000	0.473992	0.903233	
GCF_008033385.1	GCF_009796805.1	1.000000	0.819536	0.017341	0.018045	24	0.500000	0.324687	0.791536	
GCA_900112395.1	GCF_009796805.1	1.000000	0.830719	0.023024	0.022556	30	0.500000	0.324687	0.802719	
GCF_002940085.1	GCF_000963005.1	1.000000	0.783979	0.008728	0.012692	47	0.500000	0.627304	0.755979	
GCF_900113485.1	GCF_001423295.1	1.000000	0.845940	0.019818	0.018683	202	0.500000	0.690028	0.817940	
GCF_018390575.1	GCF_000348905.1	1.000000	0.893328	0.064410	0.056314	392	0.500000	0.548338	0.865328	
GCF_001619585.1	GCF_900101985.1	1.000000	0.864174	0.017865	0.019117	116	0.500000	0.540816	0.836174	
GCF_902153245.2	GCF_902502825.2	1.000000	0.785992	0.008151	0.007469	61	0.500000	0.615365	0.757992	
GCA_002731655.1	GCA_003193815.1	1.000000	0.941002	0.088188	0.123318	165	0.500000	0.654138	0.913002	
GCF_000012125.1	GCF_900169085.1	1.000000	0.856639	0.029383	0.025042	30	0.500000	0.420451	0.828639	
GCA_015486915.1	GCA_015493575.1	1.000000	0.950295	0.154983	0.177320	577	0.500000	0.400637	0.922295	
GCA_005877855.1	GCA_005877505.1	1.000000	0.896095	0.024993	0.025964	167	0.500000	0.624321	0.868095	
GCA_017989485.1	GCA_017991555.1	1.000000	0.883199	0.012614	0.011436	18	0.500000	0.528330	0.855199	
GCA_900550065.1	GCA_018713805.1	1.000000	0.922783	0.009804	0.007587	21	0.500000	0.545857	0.894783	
GCF_003202035.1	GCF_005155025.1	1.000000	0.854135	0.052385	0.055948	190	0.500000	0.597154	0.826135	
GCA_002898875.1	GCA_011054265.1	1.000000	0.910867	0.029978	0.023134	137	0.500000	0.668408	0.882867	
GCF_016865425.1	GCF_017312725.1	1.000000	0.859740	0.062913	0.061338	1132	0.500000	0.728697	0.831740	
GCF_018333215.1	GCF_007991515.1	1.000000	0.857367	0.013941	0.012246	41	0.500000	0.376032	0.829367	
GCA_011372845.1	GCA_003453535.1	1.000000	0.930214	0.147669	0.075025	377	0.500000	0.660002	0.902214	
GCF_014207375.1	GCF_002009585.1	1.000000	0.882471	0.030800	0.032036	415	0.500000	0.640788	0.854471	
GCA_012963885.1	GCA_002697225.1	1.000000	0.891083	0.011793	0.023993	84	0.500000	0.415194	0.863083	
GCF_000938265.1	GCF_900177685.1	1.000000	0.878558	0.026500	0.030357	102	0.500000	0.653904	0.850558	
GCF_017874235.1	GCF_001307315.1	1.000000	0.813957	0.017525	0.016024	143	0.500000	0.676039	0.785957	
GCA_902554885.1	GCA_902631295.1	1.000000	0.918902	0.069647	0.053536	81	0.500000	0.400238	0.890902	
GCA_018902755.1	GCA_018896025.1	1.000000	0.920450	0.087238	0.094431	741	0.500000	0.638483	0.892450	
GCF_009911695.1	GCA_910589695.1	1.000000	0.890345	0.020046	0.023567	88	0.500000	0.702863	0.862345	
GCA_004554085.1	GCA_004557125.1	1.000000	0.906218	0.072620	0.067648	331	0.500000	0.613726	0.878218	
GCF_003206045.1	GCA_002695065.1	1.000000	0.893879	0.053990	0.048959	341	0.500000	0.638923	0.865879	
GCF_900107455.1	GCF_900188485.1	1.000000	0.897643	0.064612	0.071248	1241	0.500000	0.711925	0.869643	
GCF_016862515.1	GCF_900107455.1	1.000000	0.825361	0.031992	0.029312	563	0.500000	0.707829	0.797361	
GCA_017547245.1	GCA_017847995.1	1.000000	0.876981	0.021631	0.015003	26	0.500000	0.557332	0.848981	
GCA_003158475.1	GCA_003154425.1	1.000000	0.868365	0.017717	0.016009	249	0.500000	0.605009	0.840365	
GCA_003132805.1	GCA_003131685.1	1.000000	0.864459	0.011730	0.008012	71	0.500000	0.663036	0.836459	
GCF_014174395.1	GCF_014174215.1	1.000000	0.945214	0.144810	0.151742	1176	0.500000	0.651376	0.917214	
GCF_003350405.1	GCF_014174165.1	1.000000	0.935927	0.118632	0.111508	843	0.500000	0.646509	0.907927	
GCA_016178055.1	GCA_016196885.1	1.000000	0.848658	0.006457	0.006188	22	0.500000	0.443731	0.820658	
GCA_002696735.1	GCF_000260985.4	1.000000	0.852153	0.064151	0.065669	136	0.500000	0.447488	0.824153	
GCF_009908165.1	GCA_002423245.1	1.000000	0.839373	0.009940	0.012993	55	0.500000	0.688757	0.811373	
GCF_016887965.1	GCF_002846495.1	1.000000	0.800000	0.014359	0.019449	166	0.500000	0.736157	0.772000	
GCA_017610275.1	GCA_018819345.1	0.000000	0.000000	0.013089	0.015152	0	0.000000	0.331328	0.000000	
GCF_004015185.1	GCF_009928445.1	1.000000	0.887852	0.092105	0.103839	238	0.500000	0.315958	0.859852	
GCA_007693855.1	GCA_003567475.1	1.000000	0.861737	0.014066	0.013502	76	0.500000	0.666193	0.833737	
GCA_902606175.1	GCA_902542325.1	1.000000	0.927192	0.095302	0.104258	71	0.500000	0.357952	0.899192	
GCA_002313895.1	GCA_002710885.1	1.000000	0.948190	0.127494	0.200048	837	0.500000	0.548464	0.920190	
GCA_903934795.1	GCA_018970865.1	1.000000	0.926467	0.079091	0.084798	275	0.500000	0.711451	0.898467	
GCF_014334095.1	GCF_000420305.1	1.000000	0.793241	0.010145	0.011105	42	0.500000	0.623890	0.765241	
GCF_000341735.1	GCF_000968535.2	1.000000	0.937686	0.198759	0.210886	833	0.500000	0.487448	0.909686	
GCF_009380215.1	GCF_009674495.1	1.000000	0.876264	0.019729	0.022495	134	0.500000	0.639725	0.848264	
GCA_013349735.1	GCA_015654615.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.643328	0.000000	
GCA_016873905.1	GCA_005790965.1	1.000000	0.901931	0.013277	0.016105	22	0.500000	0.601067	0.873931	
GCA_011390615.1	GCA_011390635.1	1.000000	0.888194	0.029555	0.021817	170	0.500000	0.507268	0.860194	
GCA_002238605.1	GCA_009843625.1	1.000000	0.867442	0.022394	0.025697	328	0.500000	0.679244	0.839442	
GCA_016188675.1	GCA_016235875.1	1.000000	0.883096	0.010483	0.015529	43	0.500000	0.415621	0.855096	
GCA_015222355.1	GCA_013138655.1	1.000000	0.951781	0.159933	0.133352	479	0.500000	0.523346	0.923781	
GCF_013410775.1	GCA_013299175.1	1.000000	0.837680	0.022882	0.029278	155	0.500000	0.680851	0.809680	
GCA_009922685.1	GCA_903835265.1	1.000000	0.911220	0.043785	0.049589	217	0.500000	0.536860	0.883220	
GCF_003428165.1	GCF_014857925.1	1.000000	0.914935	0.051433	0.053368	61	0.500000	0.379850	0.886935	
GCF_003096555.1	GCA_017988165.1	0.000000	0.000000	0.001637	0.006129	0	0.000000	0.616830	0.000000	
GCA_900553255.1	GCA_905198295.1	1.000000	0.892661	0.019344	0.018639	89	0.500000	0.574474	0.864661	
GCF_014694315.1	GCF_001428005.1	1.000000	0.821153	0.011713	0.009053	156	0.500000	0.654119	0.793153	
GCF_018613795.1	GCF_002929275.1	1.000000	0.847290	0.014988	0.016984	232	0.500000	0.657288	0.819290	
GCF_900103845.1	GCF_000349845.1	1.000000	0.800347	0.021974	0.022281	169	0.500000	0.652394	0.772347	
