query	reference	fastani_ani	label	q_species	r_species	q_genus	r_genus	bcgi_raw_ani	bcgi_mash_ani	bcgi_af_q	bcgi_af_r	bcgi_shared_tags	cjepi_raw_ani	cjepi_mash_ani	cjepi_af_q	cjepi_af_r	cjepi_shared_tags	multi_raw_ani	multi_mash_ani	multi_af_q	multi_af_r	multi_shared_tags
GCF_001936595.1	GCA_000307955.1	0.840777	mid_high	s__Solidesulfovibrio sp001936595	s__Solidesulfovibrio magneticus_A	g__Solidesulfovibrio	g__Solidesulfovibrio	0.963440	0.904341	0.041952	0.052290	153	0.954853	0.897377	0.056729	0.069100	443	1.000000	0.838708	0.012088	0.013453	3914
GCF_014647915.1	GCF_014647895.1	0.841101	mid_high	s__Pilimelia terevasa	s__Pilimelia anulata	g__Pilimelia	g__Pilimelia	0.962520	0.920260	0.088416	0.068726	316	0.958528	0.912764	0.096347	0.093394	451	1.000000	0.859315	0.023735	0.020764	8069
GCF_014648175.1	GCF_016863135.1	0.922156	mid_high	s__Planobispora rosea	s__Planobispora longispora	g__Planobispora	g__Planobispora	0.975165	0.955430	0.240751	0.239678	1666	0.970383	0.944271	0.220472	0.223711	2421	1.000000	0.913128	0.096963	0.094232	68131
GCF_012317185.1	GCA_017161075.1	0.838698	mid_high	s__Clostridium_AQ innocuum	s__Clostridium_AQ sp000165065	g__Clostridium_AQ	g__Clostridium_AQ	0.966797	0.888057	0.023952	0.032301	48	0.961014	0.883855	0.042506	0.044435	323	1.000000	0.839939	0.012664	0.013719	3955
GCF_001611975.1	GCF_012102705.1	0.939988	mid_high	s__Haematospirillum jordaniae	s__Haematospirillum sp012102705	g__Haematospirillum	g__Haematospirillum	0.972632	0.973417	0.403042	0.452669	636	0.970260	0.975215	0.493525	0.531431	2477	1.000000	0.941047	0.195047	0.210798	36162
GCA_016278325.1	GCA_016278285.1	0.846315	mid_high	s__JADQCB01 sp016278325	s__JADQCB01 sp016278285	g__JADQCB01	g__JADQCB01	0.957489	0.911675	0.056691	0.061873	222	0.952588	0.904362	0.078822	0.072521	332	1.000000	0.843622	0.014129	0.014856	3699
GCF_904419545.1	GCA_900760275.1	0.841551	mid_high	s__Woodwardibium gallinarum	s__Woodwardibium sp900760275	g__Woodwardibium	g__Woodwardibium	0.960841	0.917399	0.066339	0.076271	162	0.950037	0.908259	0.069270	0.101846	149	1.000000	0.843602	0.013410	0.015621	2140
GCF_003589745.1	GCF_003862475.1	0.859094	mid_high	s__Lachnoanaerobaculum umeaense	s__Lachnoanaerobaculum gingivalis	g__Lachnoanaerobaculum	g__Lachnoanaerobaculum	0.978831	0.922000	0.108014	0.062880	31	0.962116	0.932449	0.158761	0.164082	656	1.000000	0.888370	0.046344	0.051391	7635
GCF_005871085.1	GCA_000017645.1	0.922506	mid_high	s__Xanthobacter autotrophicus_A	s__Xanthobacter autotrophicus	g__Xanthobacter	g__Xanthobacter	0.973952	0.941416	0.165347	0.142321	835	0.968060	0.929955	0.162221	0.140349	1119	1.000000	0.901525	0.074308	0.064968	26178
GCF_003443995.1	GCF_010915705.1	0.840191	mid_high	s__ETT8 sp003443995	s__ETT8 sp010915705	g__ETT8	g__ETT8	0.962912	0.896278	0.037181	0.035217	182	0.952862	0.894763	0.057004	0.059716	374	1.000000	0.831943	0.010373	0.010720	3623
GCA_001044335.1	GCA_000156155.1	0.945086	mid_high	s__BACL14 sp001044335	s__BACL14 sp000156155	g__BACL14	g__BACL14	0.000000	0.280442	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0
GCA_003552185.1	GCA_003552985.1	0.789907	mid_high	s__B1Sed10-166 sp003552185	s__B1Sed10-166 sp003552985	g__B1Sed10-166	g__B1Sed10-166	0.954392	0.871651	0.016738	0.016175	74	0.948584	0.852470	0.021574	0.016077	85	1.000000	0.785688	0.003220	0.002790	846
GCF_019242955.1	GCF_019243775.1	0.918730	mid_high	s__Morganella morganii_A	s__Morganella morganii	g__Morganella	g__Morganella	0.978516	0.896362	0.035975	0.036592	64	0.972526	0.892036	0.051390	0.057170	244	1.000000	0.859050	0.021096	0.022915	5831
GCF_013116765.2	GCF_002812705.1	0.859612	mid_high	s__Achromobacter deleyi_A	s__Achromobacter spanius	g__Achromobacter	g__Achromobacter	0.963037	0.928409	0.099968	0.102393	629	0.958627	0.915914	0.100889	0.105723	931	1.000000	0.872684	0.030363	0.033138	13509
GCA_902797945.1	GCA_017479185.1	0.831316	mid_high	s__UBA10281 sp902797945	s__UBA10281 sp017479185	g__UBA10281	g__UBA10281	0.970588	0.901691	0.041820	0.044271	34	0.962175	0.905074	0.083481	0.071158	94	1.000000	0.856675	0.022014	0.019538	2005
GCF_013168275.1	GCA_003402375.1	0.876170	mid_high	s__Nitrotoga sp013168275	s__Nitrotoga sp003402375	g__Nitrotoga	g__Nitrotoga	0.960069	0.926797	0.091160	0.101279	198	0.957327	0.919596	0.108629	0.119792	598	1.000000	0.865092	0.024276	0.027343	4548
GCF_003350475.1	GCF_001476815.1	0.901581	mid_high	s__Pseudacidovorax intermedius	s__Pseudacidovorax intermedius_A	g__Pseudacidovorax	g__Pseudacidovorax	0.972138	0.937687	0.128448	0.144311	950	0.965030	0.926678	0.125754	0.151684	896	1.000000	0.895019	0.054703	0.061171	21069
GCF_014697425.1	GCF_014697475.1	0.849753	mid_high	s__FACHB-152 sp014697425	s__FACHB-152 sp014697475	g__FACHB-152	g__FACHB-152	0.960677	0.906421	0.051769	0.048407	120	0.954910	0.910008	0.090657	0.085530	1113	1.000000	0.848738	0.017387	0.016022	7607
GCA_002404515.1	GCA_900553925.1	0.858204	mid_high	s__CAG-127 sp002404515	s__CAG-127 sp900553925	g__CAG-127	g__CAG-127	0.967161	0.920671	0.072215	0.086384	118	0.960890	0.910520	0.075427	0.105683	411	1.000000	0.862543	0.021560	0.027091	4396
GCA_009889515.1	GCA_002898395.1	0.834962	mid_high	s__HRBIN02 sp009889515	s__HRBIN02 sp002898395	g__HRBIN02	g__HRBIN02	0.956019	0.895667	0.031991	0.039359	27	0.950526	0.897518	0.059339	0.066568	271	1.000000	0.821187	0.007472	0.008538	1104
GCF_001422575.1	GCF_011684115.1	0.860119	mid_high	s__Rahnella sp001422575	s__Rahnella aceris	g__Rahnella	g__Rahnella	0.963325	0.919607	0.074361	0.078367	288	0.958031	0.914071	0.098454	0.098078	796	1.000000	0.862807	0.023812	0.024709	8543
GCF_003434305.1	GCF_003236335.1	0.857096	mid_high	s__Micromonospora sp003434305	s__Micromonospora deserti	g__Micromonospora	g__Micromonospora	0.964316	0.916885	0.068508	0.071463	444	0.956839	0.903012	0.073456	0.072349	629	1.000000	0.857062	0.020298	0.021644	11249
GCF_003095655.1	GCF_000212355.1	0.937484	mid_high	s__Dokdonia sp003095655	s__Dokdonia sp000212355	g__Dokdonia	g__Dokdonia	0.973558	0.875193	0.017687	0.019202	13	0.970370	0.852892	0.018332	0.019356	80	1.000000	0.821035	0.007530	0.008216	1540
GCA_013112535.1	GCA_002292815.1	0.772340	mid_high	s__UBA7359 sp013112535	s__UBA7359 sp002292815	g__UBA7359	g__UBA7359	0.000000	0.781529	0.000892	0.000949	0	0.939707	0.829509	0.009277	0.010820	43	1.000000	0.748542	0.001022	0.001210	179
GCF_000518645.1	GCF_000381265.1	0.956079	mid_high	s__Curvibacter gracilis	s__Curvibacter lanceolatus	g__Curvibacter	g__Curvibacter	0.983712	0.965240	0.331580	0.326031	2143	0.979707	0.957361	0.324342	0.308339	3006	1.000000	0.943117	0.215850	0.210763	87194
GCA_900546615.1	GCA_004553625.1	0.844599	mid_high	s__Scatomorpha pullistercoris	s__Scatomorpha merdavium	g__Scatomorpha	g__Scatomorpha	0.964461	0.912707	0.058486	0.064070	153	0.953878	0.901745	0.068943	0.071986	212	1.000000	0.851205	0.017577	0.017975	3326
GCF_016587375.1	GCF_000178855.1	0.921655	mid_high	s__Ktedonobacter sp016587375	s__Ktedonobacter racemifer	g__Ktedonobacter	g__Ktedonobacter	0.975359	0.952432	0.250035	0.190476	1792	0.970844	0.947075	0.271225	0.211577	6974	1.000000	0.915357	0.113492	0.089810	86907
GCF_001696685.1	GCF_000438455.1	0.956390	mid_high	s__Nosocomiicoccus ampullae_A	s__Nosocomiicoccus massiliensis	g__Nosocomiicoccus	g__Nosocomiicoccus	0.976496	0.958325	0.266515	0.260579	117	0.979822	0.956726	0.302821	0.319125	569	1.000000	0.930901	0.140261	0.169049	14157
GCF_004343075.1	GCF_001633165.1	0.814560	mid_high	s__Rhodovulum marinum	s__Rhodovulum sulfidophilum	g__Rhodovulum	g__Rhodovulum	0.958054	0.891450	0.035723	0.026910	149	0.948718	0.876024	0.039721	0.031154	182	1.000000	0.815910	0.007438	0.006311	2231
GCF_004343075.1	GCA_011048875.1	0.841169	mid_high	s__Rhodovulum marinum	s__Rhodovulum sp011048875	g__Rhodovulum	g__Rhodovulum	0.961080	0.910289	0.052745	0.060858	220	0.951246	0.899531	0.060017	0.073372	275	1.000000	0.841781	0.012215	0.015548	3664
GCF_003367075.1	GCF_014489415.1	0.960766	mid_high	s__Raphidiopsis raciborskii	s__Raphidiopsis curvispora_A	g__Raphidiopsis	g__Raphidiopsis	0.985189	0.965383	0.347197	0.314239	192	0.982301	0.958209	0.346547	0.302107	2509	1.000000	0.941048	0.216308	0.190220	44651
GCA_017882065.1	GCA_903873975.1	0.847553	mid_high	s__UBA877 sp017882065	s__UBA877 sp903873975	g__UBA877	g__UBA877	0.959503	0.907788	0.067961	0.040246	98	0.950899	0.899320	0.095917	0.045390	350	1.000000	0.834198	0.015494	0.008235	2047
GCA_000503835.1	GCA_001773385.1	0.823220	mid_high	s__UBA8498 sp000503835	s__UBA8498 sp001773385	g__UBA8498	g__UBA8498	0.965074	0.908831	0.052632	0.055556	17	0.959008	0.908408	0.081616	0.087140	103	1.000000	0.855813	0.019778	0.020720	1083
GCA_000996895.1	GCA_001773135.1	0.822332	mid_high	s__UBA8498 sp000996895	s__UBA8498 sp001773135	g__UBA8498	g__UBA8498	0.971875	0.896546	0.036364	0.036630	10	0.955070	0.893535	0.055304	0.057602	61	1.000000	0.838622	0.012370	0.013005	567
GCF_003129605.1	GCA_002783385.1	0.855657	mid_high	s__Hyphobacterium indicum	s__Hyphobacterium sp002783385	g__Hyphobacterium	g__Hyphobacterium	0.961661	0.923577	0.077950	0.096386	216	0.953153	0.920204	0.108429	0.124018	521	1.000000	0.862545	0.022196	0.026506	4693
GCA_003021335.1	GCA_003022085.1	0.768068	mid_high	s__Halovenus sp003021335	s__Halovenus sp003022085	g__Halovenus	g__Halovenus	0.000000	0.825515	0.004191	0.003372	0	0.935185	0.820229	0.008461	0.007188	16	1.000000	0.728925	0.000680	0.000657	100
GCA_902761585.1	GCF_009696445.1	0.948799	mid_high	s__Porcincola sp902800805	s__Porcincola intestinalis	g__Porcincola	g__Porcincola	0.978605	0.961964	0.338742	0.258781	501	0.976781	0.952093	0.321918	0.233748	1316	1.000000	0.931368	0.175647	0.139004	34914
GCA_003576915.1	GCA_019186845.1	0.900466	mid_high	s__UBA2392 sp003576915	s__UBA2392 sp002343805	g__UBA2392	g__UBA2392	0.972145	0.940641	0.144737	0.154717	451	0.967206	0.934436	0.171961	0.168639	969	1.000000	0.902195	0.069200	0.072018	17002
GCF_009867135.1	GCF_001553955.1	0.949520	mid_high	s__Moraxella_A sp002478835	s__Moraxella_A osloensis	g__Moraxella_A	g__Moraxella_A	0.980208	0.975493	0.451467	0.461538	600	0.977823	0.973075	0.471707	0.495322	1959	1.000000	0.948511	0.240950	0.253933	41063
GCA_012030815.1	GCA_005798405.1	0.838232	mid_high	s__Nitrosarchaeum sp012030815	s__Nitrosarchaeum sp005798405	g__Nitrosarchaeum	g__Nitrosarchaeum	0.000000	0.877237	0.020000	0.019355	0	0.950018	0.893407	0.064134	0.049330	103	1.000000	0.822255	0.009003	0.007333	552
GCF_009733735.1	GCA_018970445.1	0.839556	mid_high	s__Sandarakinorhabdus oryzae	s__Sandarakinorhabdus sp018970445	g__Sandarakinorhabdus	g__Sandarakinorhabdus	0.962696	0.906448	0.044543	0.056359	191	0.951429	0.894079	0.055759	0.058836	289	1.000000	0.838218	0.011614	0.013202	2605
GCF_009733735.1	GCF_002251755.1	0.842032	mid_high	s__Sandarakinorhabdus oryzae	s__Sandarakinorhabdus cyanobacteriorum	g__Sandarakinorhabdus	g__Sandarakinorhabdus	0.961236	0.901511	0.042677	0.042887	183	0.956167	0.895164	0.063091	0.055134	327	1.000000	0.839785	0.013348	0.012671	2994
GCF_000527135.1	GCF_001713355.1	0.837395	mid_high	s__Methyloversatilis discipulorum	s__Methyloversatilis sp001713355	g__Methyloversatilis	g__Methyloversatilis	0.958039	0.904549	0.046648	0.047655	318	0.951036	0.891825	0.053278	0.054519	295	1.000000	0.835575	0.011157	0.012010	3689
GCF_000428925.1	GCF_009864005.1	0.929308	mid_high	s__Furfurilactobacillus rossiae	s__Furfurilactobacillus rossiae_B	g__Furfurilactobacillus	g__Furfurilactobacillus	0.974362	0.952669	0.219474	0.220326	284	0.971196	0.951561	0.264108	0.276837	1390	1.000000	0.920115	0.110161	0.119858	20939
GCA_000330845.1	GCF_008369545.1	0.937355	mid_high	s__Pseudocitrobacter sp000330845	s__Pseudocitrobacter sp008369545	g__Pseudocitrobacter	g__Pseudocitrobacter	0.973994	0.943584	0.170965	0.158135	590	0.971549	0.937108	0.198003	0.169197	1527	1.000000	0.909134	0.091049	0.079530	27666
GCA_015484985.1	GCA_015491595.1	0.922005	mid_high	s__S139-71 sp015484985	s__S139-71 sp015491595	g__S139-71	g__S139-71	0.987347	0.944724	0.176982	0.164315	163	0.982827	0.935545	0.168996	0.182192	798	1.000000	0.923617	0.128524	0.125227	17562
GCF_001026905.1	GCF_002118315.1	0.855085	mid_high	s__Kiloniella spongiae	s__Kiloniella majae	g__Kiloniella	g__Kiloniella	0.963374	0.902709	0.045344	0.043580	93	0.957240	0.899597	0.066509	0.066446	563	1.000000	0.845168	0.014981	0.015231	4396
GCF_016908015.1	GCF_900185645.1	0.935329	mid_high	s__Clostridium_AK pascui	s__Clostridium_AK sp900185645	g__Clostridium_AK	g__Clostridium_AK	0.987216	0.923922	0.093220	0.082397	22	0.972006	0.937767	0.184078	0.188587	770	1.000000	0.908202	0.085256	0.081670	14862
GCF_000151105.2	GCA_017656495.1	0.859026	mid_high	s__Thermococcus_B barophilus	s__Thermococcus_B sp017656495	g__Thermococcus_B	g__Thermococcus_B	0.955357	0.905125	0.043933	0.052500	21	0.954824	0.911595	0.091422	0.092402	405	1.000000	0.852280	0.018375	0.018528	2262
GCF_012027325.1	GCF_000517445.1	0.898407	mid_high	s__Thermococcus_B sp012027325	s__Thermococcus_B paralvinellae	g__Thermococcus_B	g__Thermococcus_B	0.966176	0.946846	0.160681	0.207317	85	0.964242	0.952099	0.257072	0.292803	1245	1.000000	0.912083	0.086535	0.099404	11647
GCA_002390425.1	GCA_018699075.1	0.767119	mid_high	s__UBA4441 sp002390425	s__UBA4441 sp018699075	g__UBA4441	g__UBA4441	0.000000	0.787077	0.001199	0.001007	0	0.938034	0.834827	0.012637	0.010586	52	1.000000	0.740016	0.000944	0.000819	141
GCF_006376675.1	GCF_902825325.1	0.904434	mid_high	s__Ochrobactrum pecoris	s__Ochrobactrum sp003176975	g__Ochrobactrum	g__Ochrobactrum	0.970618	0.945508	0.168902	0.181040	1121	0.965890	0.937727	0.179752	0.192711	1708	1.000000	0.903296	0.070329	0.074969	27032
GCF_000264765.2	GCF_001896205.1	0.947552	mid_high	s__Edwardsiella anguillarum	s__Edwardsiella piscicida	g__Edwardsiella	g__Edwardsiella	0.976772	0.982163	0.548718	0.581943	1605	0.975496	0.978346	0.512599	0.605887	3499	1.000000	0.954974	0.278932	0.312537	87424
GCF_001896205.1	GCF_000264785.1	0.924749	mid_high	s__Edwardsiella piscicida	s__Edwardsiella ictaluri	g__Edwardsiella	g__Edwardsiella	0.970946	0.954956	0.221900	0.252267	612	0.967925	0.947927	0.253333	0.237192	1463	1.000000	0.915686	0.100781	0.103000	28191
GCF_000422565.1	GCA_002382645.1	0.851262	mid_high	s__Aminidesulfovibrio aminophilus	s__Aminidesulfovibrio sp002382645	g__Aminidesulfovibrio	g__Aminidesulfovibrio	0.964092	0.928519	0.083942	0.122807	161	0.957709	0.901677	0.059028	0.083768	289	1.000000	0.854052	0.016931	0.021912	4050
GCF_009729545.1	GCA_003086435.1	0.918833	mid_high	s__Acidianus infernus	s__Acidianus hospitalis	g__Acidianus	g__Acidianus	0.967593	0.931203	0.097473	0.125581	27	0.968346	0.944632	0.184023	0.273305	516	1.000000	0.907153	0.068000	0.097067	7863
GCF_002927045.1	GCF_000198775.1	0.914023	mid_high	s__Mycetohabitans endofungorum	s__Mycetohabitans rhizoxinica	g__Mycetohabitans	g__Mycetohabitans	0.968158	0.960784	0.301244	0.269821	1477	0.963623	0.949880	0.279074	0.239259	1459	1.000000	0.911733	0.096295	0.086163	24686
GCF_000198775.1	GCF_900155955.1	0.907343	mid_high	s__Mycetohabitans rhizoxinica	s__Mycetohabitans sp900155955	g__Mycetohabitans	g__Mycetohabitans	0.965361	0.928782	0.099379	0.105488	544	0.958997	0.918963	0.108724	0.115666	663	1.000000	0.873103	0.031078	0.032903	8904
GCF_006175985.1	GCA_004168015.1	0.948296	mid_high	s__Methylotetracoccus oryzae	s__Methylotetracoccus sp004168015	g__Methylotetracoccus	g__Methylotetracoccus	0.980362	0.955335	0.200128	0.286569	1246	0.976982	0.945779	0.192584	0.277838	1527	1.000000	0.925202	0.110359	0.157325	44384
GCA_902789925.1	GCA_902798675.1	0.920588	mid_high	s__RUG12519 sp902789925	s__RUG12519 sp902798675	g__RUG12519	g__RUG12519	0.975996	0.946052	0.161972	0.195467	69	0.968562	0.941274	0.189177	0.221764	430	1.000000	0.904207	0.068182	0.082534	5194
GCF_008330945.1	GCF_001676615.1	0.901695	mid_high	s__Labrys sp008330945	s__Labrys sp001676615	g__Labrys	g__Labrys	0.967660	0.942235	0.158963	0.156006	1778	0.961625	0.931896	0.157919	0.160103	2049	1.000000	0.891278	0.052812	0.052161	31350
GCA_002348265.1	GCA_002348465.1	0.938601	mid_high	s__UBA2589 sp002348265	s__UBA2589 sp002348465	g__UBA2589	g__UBA2589	0.976058	0.957872	0.251823	0.267900	449	0.974362	0.953479	0.275829	0.294007	1722	1.000000	0.924849	0.126480	0.135564	26176
GCA_902530455.1	GCA_902605645.1	0.861800	mid_high	s__MED727 sp902530455	s__MED727 sp902605645	g__MED727	g__MED727	0.000000	0.893578	0.034884	0.031579	0	0.954365	0.901887	0.082963	0.060280	56	1.000000	0.838381	0.014734	0.010911	435
GCF_013170825.1	GCF_006439355.1	0.841762	mid_high	s__Mesorhizobium sp013170825	s__Mesorhizobium sp006439355	g__Mesorhizobium	g__Mesorhizobium	0.959655	0.899631	0.036840	0.044050	402	0.950013	0.879515	0.033000	0.045277	429	1.000000	0.824898	0.007840	0.009620	4689
GCA_002366595.1	GCA_003453555.1	0.894016	mid_high	s__UBA7937 sp002366595	s__UBA7937 sp003453555	g__UBA7937	g__UBA7937	0.968387	0.930217	0.102625	0.111979	86	0.960262	0.926571	0.130490	0.145332	713	1.000000	0.879708	0.036754	0.040878	6273
