query	reference	s2b_raw_ani	s2b_mash_ani	s2b_af_q	s2b_af_r	s2b_shared_tags	s2b_containment	s2b_ref_gc	s2b_corrected_ani	s2b_error
GCF_011765525.1	GCF_023702735.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433900	0.000000	
GCF_011765525.1	GCF_016889925.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.432062	0.000000	
GCF_011765525.1	GCF_040687795.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.436733	0.000000	
GCF_011765525.1	GCF_040026365.1	0.000000	0.000000	0.002498	0.001100	0	0.000000	0.561708	0.000000	
GCF_011765525.1	GCF_019968055.1	0.000000	0.000000	0.003123	0.001553	0	0.000000	0.567898	0.000000	
GCF_011765525.1	GCF_049532935.1	0.000000	0.000000	0.002498	0.001029	0	0.000000	0.562804	0.000000	
GCF_011765525.1	GCF_003312465.1	0.000000	0.000000	0.001874	0.000780	0	0.000000	0.563867	0.000000	
GCF_011765525.1	GCF_051201525.1	0.000000	0.000000	0.003123	0.001071	0	0.000000	0.571346	0.000000	
GCF_011765525.1	GCF_056494015.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554615	0.000000	
GCF_011765525.1	GCF_010230935.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558759	0.000000	
GCF_011765525.1	GCF_010223135.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.553506	0.000000	
GCF_011765525.1	GCF_010230515.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558757	0.000000	
GCF_011765525.1	GCF_018847215.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554588	0.000000	
GCF_011765525.1	GCF_009738515.1	0.000000	0.000000	0.001249	0.000778	0	0.000000	0.601966	0.000000	
GCF_011765525.1	GCF_004936435.1	0.000000	0.000000	0.001249	0.000738	0	0.000000	0.601616	0.000000	
GCF_011765525.1	GCF_017743155.1	0.000000	0.000000	0.001249	0.000716	0	0.000000	0.599491	0.000000	
GCF_011765525.1	GCF_001293145.1	0.000000	0.000000	0.001249	0.000700	0	0.000000	0.600103	0.000000	
GCF_011765525.1	GCF_036419235.1	0.000000	0.000000	0.001249	0.000582	0	0.000000	0.599507	0.000000	
GCF_011765525.1	GCF_025151715.1	1.000000	0.777306	0.006246	0.002337	10	0.500000	0.426665	0.749306	
GCF_011765525.1	GCF_023497585.1	1.000000	0.779797	0.006246	0.002647	10	0.500000	0.424397	0.751797	
GCF_011765525.1	GCF_015554785.1	0.000000	0.000000	0.001249	0.000507	0	0.000000	0.424524	0.000000	
GCF_011765525.1	GCF_015555785.1	0.000000	0.000000	0.001249	0.000471	0	0.000000	0.420987	0.000000	
GCF_011765525.1	GCF_027668125.1	0.000000	0.000000	0.001249	0.000537	0	0.000000	0.423017	0.000000	
GCF_008831325.1	GCF_006739205.1	1.000000	0.927564	0.159820	0.161688	249	0.500000	0.368691	0.899564	
GCF_008831325.1	GCF_044360185.1	1.000000	0.927551	0.159820	0.161583	249	0.500000	0.368707	0.899551	
GCF_008831325.1	GCF_009738105.1	1.000000	0.868350	0.036585	0.037328	57	0.500000	0.368497	0.840350	
GCF_008831325.1	GCF_057218265.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.483640	0.000000	
GCF_008831325.1	GCF_030440475.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.480433	0.000000	
GCF_008831325.1	GCF_030144345.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482734	0.000000	
GCF_008831325.1	GCF_058684255.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482859	0.000000	
GCF_008831325.1	GCF_002754055.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482461	0.000000	
GCF_008831325.1	GCF_037889325.1	0.000000	0.000000	0.002567	0.004515	0	0.000000	0.270774	0.000000	
GCF_008831325.1	GCF_037955445.1	0.000000	0.000000	0.002567	0.004695	0	0.000000	0.271367	0.000000	
GCF_008831325.1	GCF_037889145.1	0.000000	0.000000	0.003209	0.006536	0	0.000000	0.270780	0.000000	
GCF_008831325.1	GCF_037889375.1	0.000000	0.000000	0.002567	0.004391	0	0.000000	0.270656	0.000000	
GCF_008831325.1	GCF_037951365.1	0.000000	0.000000	0.003209	0.005910	0	0.000000	0.271674	0.000000	
GCF_008831325.1	GCF_023517915.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443767	0.000000	
GCF_008831325.1	GCF_025449295.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444422	0.000000	
GCF_008831325.1	GCF_024730745.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444500	0.000000	
GCF_008831325.1	GCF_023517835.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443589	0.000000	
GCF_008831325.1	GCF_023517855.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443842	0.000000	
GCF_008831325.1	GCF_050225895.1	1.000000	0.819445	0.012195	0.009397	19	0.500000	0.430313	0.791445	
GCF_008831325.1	GCF_050225505.1	1.000000	0.833033	0.017972	0.013066	28	0.500000	0.432868	0.805033	
GCF_008831325.1	GCF_050226025.1	1.000000	0.842533	0.023107	0.016057	36	0.500000	0.433899	0.814533	
GCF_008831325.1	GCF_050225395.1	1.000000	0.833108	0.017972	0.013115	28	0.500000	0.430119	0.805108	
GCF_008831325.1	GCF_050220455.1	1.000000	0.843753	0.023107	0.017070	36	0.500000	0.431276	0.815753	
GCF_008831325.1	GCF_028743275.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433344	0.000000	
GCF_008831325.1	GCF_000724795.2	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433468	0.000000	
GCF_008831325.1	GCF_023702735.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433900	0.000000	
GCF_008831325.1	GCF_016889925.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.432062	0.000000	
GCF_008831325.1	GCF_040687795.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.436733	0.000000	
GCF_008831325.1	GCF_040026365.1	0.000000	0.000000	0.001926	0.000825	0	0.000000	0.561708	0.000000	
GCF_008831325.1	GCF_019968055.1	0.000000	0.000000	0.003209	0.001553	0	0.000000	0.567898	0.000000	
GCF_008831325.1	GCF_049532935.1	0.000000	0.000000	0.001926	0.000772	0	0.000000	0.562804	0.000000	
GCF_008831325.1	GCF_003312465.1	0.000000	0.000000	0.002567	0.001040	0	0.000000	0.563867	0.000000	
GCF_008831325.1	GCF_051201525.1	0.000000	0.000000	0.002567	0.000857	0	0.000000	0.571346	0.000000	
GCF_008831325.1	GCF_056494015.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554615	0.000000	
GCF_008831325.1	GCF_010230935.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558759	0.000000	
GCF_008831325.1	GCF_010223135.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.553506	0.000000	
GCF_008831325.1	GCF_010230515.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558757	0.000000	
GCF_008831325.1	GCF_018847215.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554588	0.000000	
GCF_008831325.1	GCF_009738515.1	0.000000	0.000000	0.001926	0.001167	0	0.000000	0.601966	0.000000	
GCF_008831325.1	GCF_004936435.1	0.000000	0.000000	0.001926	0.001107	0	0.000000	0.601616	0.000000	
GCF_008831325.1	GCF_017743155.1	0.000000	0.000000	0.001926	0.001074	0	0.000000	0.599491	0.000000	
GCF_008831325.1	GCF_001293145.1	0.000000	0.000000	0.001926	0.001049	0	0.000000	0.600103	0.000000	
GCF_008831325.1	GCF_036419235.1	0.000000	0.000000	0.001926	0.000873	0	0.000000	0.599507	0.000000	
GCF_008831325.1	GCF_025151715.1	0.000000	0.000000	0.005135	0.001870	0	0.000000	0.426665	0.000000	
GCF_008831325.1	GCF_023497585.1	0.000000	0.000000	0.005135	0.002118	0	0.000000	0.424397	0.000000	
GCF_008831325.1	GCF_015554785.1	0.000000	0.000000	0.001284	0.000507	0	0.000000	0.424524	0.000000	
GCF_008831325.1	GCF_015555785.1	0.000000	0.000000	0.001284	0.000471	0	0.000000	0.420987	0.000000	
GCF_008831325.1	GCF_027668125.1	0.000000	0.000000	0.001284	0.000537	0	0.000000	0.423017	0.000000	
GCF_006739205.1	GCF_044360185.1	1.000000	0.999987	1.000000	0.999351	1540	0.500000	0.368707	0.971987	
GCF_006739205.1	GCF_009738105.1	1.000000	0.985299	0.685714	0.691552	1056	0.500000	0.368497	0.957299	
GCF_006739205.1	GCF_057218265.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.483640	0.000000	
GCF_006739205.1	GCF_030440475.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.480433	0.000000	
GCF_006739205.1	GCF_030144345.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482734	0.000000	
GCF_006739205.1	GCF_058684255.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482859	0.000000	
GCF_006739205.1	GCF_002754055.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482461	0.000000	
GCF_006739205.1	GCF_037889325.1	0.000000	0.000000	0.002597	0.004515	0	0.000000	0.270774	0.000000	
GCF_006739205.1	GCF_037955445.1	0.000000	0.000000	0.002597	0.004695	0	0.000000	0.271367	0.000000	
GCF_006739205.1	GCF_037889145.1	0.000000	0.000000	0.001948	0.003922	0	0.000000	0.270780	0.000000	
GCF_006739205.1	GCF_037889375.1	0.000000	0.000000	0.002597	0.004391	0	0.000000	0.270656	0.000000	
GCF_006739205.1	GCF_037951365.1	0.000000	0.000000	0.001948	0.003546	0	0.000000	0.271674	0.000000	
GCF_006739205.1	GCF_023517915.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443767	0.000000	
GCF_006739205.1	GCF_025449295.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444422	0.000000	
GCF_006739205.1	GCF_024730745.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444500	0.000000	
GCF_006739205.1	GCF_023517835.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443589	0.000000	
GCF_006739205.1	GCF_023517855.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443842	0.000000	
GCF_006739205.1	GCF_050225895.1	1.000000	0.842027	0.022078	0.016815	34	0.500000	0.430313	0.814027	
GCF_006739205.1	GCF_050225505.1	1.000000	0.843151	0.023377	0.016799	36	0.500000	0.432868	0.815151	
GCF_006739205.1	GCF_050226025.1	1.000000	0.830740	0.017532	0.012043	27	0.500000	0.433899	0.802740	
GCF_006739205.1	GCF_050225395.1	1.000000	0.844657	0.024026	0.017330	37	0.500000	0.430119	0.816657	
GCF_006739205.1	GCF_050220455.1	1.000000	0.831963	0.017532	0.012802	27	0.500000	0.431276	0.803963	
GCF_006739205.1	GCF_028743275.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433344	0.000000	
GCF_006739205.1	GCF_000724795.2	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433468	0.000000	
GCF_006739205.1	GCF_023702735.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433900	0.000000	
GCF_006739205.1	GCF_016889925.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.432062	0.000000	
GCF_006739205.1	GCF_040687795.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.436733	0.000000	
GCF_006739205.1	GCF_040026365.1	0.000000	0.000000	0.003247	0.001375	0	0.000000	0.561708	0.000000	
GCF_006739205.1	GCF_019968055.1	0.000000	0.000000	0.002597	0.001243	0	0.000000	0.567898	0.000000	
GCF_006739205.1	GCF_049532935.1	0.000000	0.000000	0.003247	0.001286	0	0.000000	0.562804	0.000000	
GCF_006739205.1	GCF_003312465.1	0.000000	0.000000	0.001299	0.000520	0	0.000000	0.563867	0.000000	
GCF_006739205.1	GCF_051201525.1	0.000000	0.000000	0.003247	0.001071	0	0.000000	0.571346	0.000000	
GCF_006739205.1	GCF_056494015.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554615	0.000000	
GCF_006739205.1	GCF_010230935.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558759	0.000000	
GCF_006739205.1	GCF_010223135.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.553506	0.000000	
GCF_006739205.1	GCF_010230515.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558757	0.000000	
GCF_006739205.1	GCF_018847215.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554588	0.000000	
GCF_006739205.1	GCF_009738515.1	0.000000	0.000000	0.000649	0.000389	0	0.000000	0.601966	0.000000	
GCF_006739205.1	GCF_004936435.1	0.000000	0.000000	0.000649	0.000369	0	0.000000	0.601616	0.000000	
GCF_006739205.1	GCF_017743155.1	0.000000	0.000000	0.000649	0.000358	0	0.000000	0.599491	0.000000	
GCF_006739205.1	GCF_001293145.1	0.000000	0.000000	0.000649	0.000350	0	0.000000	0.600103	0.000000	
GCF_006739205.1	GCF_036419235.1	0.000000	0.000000	0.000649	0.000291	0	0.000000	0.599507	0.000000	
GCF_006739205.1	GCF_025151715.1	1.000000	0.778083	0.006494	0.002337	10	0.500000	0.426665	0.750083	
GCF_006739205.1	GCF_023497585.1	1.000000	0.780574	0.006494	0.002647	10	0.500000	0.424397	0.752574	
GCF_006739205.1	GCF_015554785.1	0.000000	0.000000	0.001299	0.000507	0	0.000000	0.424524	0.000000	
GCF_006739205.1	GCF_015555785.1	0.000000	0.000000	0.001299	0.000471	0	0.000000	0.420987	0.000000	
GCF_006739205.1	GCF_027668125.1	0.000000	0.000000	0.001299	0.000537	0	0.000000	0.423017	0.000000	
GCF_044360185.1	GCF_009738105.1	1.000000	0.985286	0.685269	0.691552	1056	0.500000	0.368497	0.957286	
GCF_044360185.1	GCF_057218265.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.483640	0.000000	
GCF_044360185.1	GCF_030440475.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.480433	0.000000	
GCF_044360185.1	GCF_030144345.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482734	0.000000	
GCF_044360185.1	GCF_058684255.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482859	0.000000	
GCF_044360185.1	GCF_002754055.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482461	0.000000	
GCF_044360185.1	GCF_037889325.1	0.000000	0.000000	0.002596	0.004515	0	0.000000	0.270774	0.000000	
GCF_044360185.1	GCF_037955445.1	0.000000	0.000000	0.002596	0.004695	0	0.000000	0.271367	0.000000	
GCF_044360185.1	GCF_037889145.1	0.000000	0.000000	0.001947	0.003922	0	0.000000	0.270780	0.000000	
GCF_044360185.1	GCF_037889375.1	0.000000	0.000000	0.002596	0.004391	0	0.000000	0.270656	0.000000	
GCF_044360185.1	GCF_037951365.1	0.000000	0.000000	0.001947	0.003546	0	0.000000	0.271674	0.000000	
GCF_044360185.1	GCF_023517915.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443767	0.000000	
GCF_044360185.1	GCF_025449295.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444422	0.000000	
GCF_044360185.1	GCF_024730745.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444500	0.000000	
GCF_044360185.1	GCF_023517835.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443589	0.000000	
GCF_044360185.1	GCF_023517855.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443842	0.000000	
GCF_044360185.1	GCF_050225895.1	1.000000	0.842014	0.022064	0.016815	34	0.500000	0.430313	0.814014	
GCF_044360185.1	GCF_050225505.1	1.000000	0.843138	0.023361	0.016799	36	0.500000	0.432868	0.815138	
GCF_044360185.1	GCF_050226025.1	1.000000	0.830727	0.017521	0.012043	27	0.500000	0.433899	0.802727	
GCF_044360185.1	GCF_050225395.1	1.000000	0.844644	0.024010	0.017330	37	0.500000	0.430119	0.816644	
GCF_044360185.1	GCF_050220455.1	1.000000	0.831950	0.017521	0.012802	27	0.500000	0.431276	0.803950	
GCF_044360185.1	GCF_028743275.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433344	0.000000	
GCF_044360185.1	GCF_000724795.2	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433468	0.000000	
GCF_044360185.1	GCF_023702735.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433900	0.000000	
GCF_044360185.1	GCF_016889925.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.432062	0.000000	
GCF_044360185.1	GCF_040687795.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.436733	0.000000	
GCF_044360185.1	GCF_040026365.1	0.000000	0.000000	0.003245	0.001375	0	0.000000	0.561708	0.000000	
GCF_044360185.1	GCF_019968055.1	0.000000	0.000000	0.002596	0.001243	0	0.000000	0.567898	0.000000	
GCF_044360185.1	GCF_049532935.1	0.000000	0.000000	0.003245	0.001286	0	0.000000	0.562804	0.000000	
GCF_044360185.1	GCF_003312465.1	0.000000	0.000000	0.001298	0.000520	0	0.000000	0.563867	0.000000	
GCF_044360185.1	GCF_051201525.1	0.000000	0.000000	0.003245	0.001071	0	0.000000	0.571346	0.000000	
GCF_044360185.1	GCF_056494015.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554615	0.000000	
GCF_044360185.1	GCF_010230935.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558759	0.000000	
GCF_044360185.1	GCF_010223135.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.553506	0.000000	
GCF_044360185.1	GCF_010230515.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558757	0.000000	
GCF_044360185.1	GCF_018847215.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554588	0.000000	
GCF_044360185.1	GCF_009738515.1	0.000000	0.000000	0.000649	0.000389	0	0.000000	0.601966	0.000000	
GCF_044360185.1	GCF_004936435.1	0.000000	0.000000	0.000649	0.000369	0	0.000000	0.601616	0.000000	
GCF_044360185.1	GCF_017743155.1	0.000000	0.000000	0.000649	0.000358	0	0.000000	0.599491	0.000000	
GCF_044360185.1	GCF_001293145.1	0.000000	0.000000	0.000649	0.000350	0	0.000000	0.600103	0.000000	
GCF_044360185.1	GCF_036419235.1	0.000000	0.000000	0.000649	0.000291	0	0.000000	0.599507	0.000000	
GCF_044360185.1	GCF_025151715.1	1.000000	0.778070	0.006489	0.002337	10	0.500000	0.426665	0.750070	
GCF_044360185.1	GCF_023497585.1	1.000000	0.780561	0.006489	0.002647	10	0.500000	0.424397	0.752561	
GCF_044360185.1	GCF_015554785.1	0.000000	0.000000	0.001298	0.000507	0	0.000000	0.424524	0.000000	
GCF_044360185.1	GCF_015555785.1	0.000000	0.000000	0.001298	0.000471	0	0.000000	0.420987	0.000000	
GCF_044360185.1	GCF_027668125.1	0.000000	0.000000	0.001298	0.000537	0	0.000000	0.423017	0.000000	
GCF_009738105.1	GCF_057218265.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.483640	0.000000	
GCF_009738105.1	GCF_030440475.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.480433	0.000000	
GCF_009738105.1	GCF_030144345.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482734	0.000000	
GCF_009738105.1	GCF_058684255.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482859	0.000000	
GCF_009738105.1	GCF_002754055.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.482461	0.000000	
GCF_009738105.1	GCF_037889325.1	0.000000	0.000000	0.003274	0.005643	0	0.000000	0.270774	0.000000	
GCF_009738105.1	GCF_037955445.1	0.000000	0.000000	0.003274	0.005869	0	0.000000	0.271367	0.000000	
GCF_009738105.1	GCF_037889145.1	0.000000	0.000000	0.002620	0.005229	0	0.000000	0.270780	0.000000	
GCF_009738105.1	GCF_037889375.1	0.000000	0.000000	0.003274	0.005488	0	0.000000	0.270656	0.000000	
GCF_009738105.1	GCF_037951365.1	0.000000	0.000000	0.002620	0.004728	0	0.000000	0.271674	0.000000	
GCF_009738105.1	GCF_023517915.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443767	0.000000	
GCF_009738105.1	GCF_025449295.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444422	0.000000	
GCF_009738105.1	GCF_024730745.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.444500	0.000000	
GCF_009738105.1	GCF_023517835.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443589	0.000000	
GCF_009738105.1	GCF_023517855.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.443842	0.000000	
GCF_009738105.1	GCF_050225895.1	1.000000	0.831571	0.017027	0.012859	26	0.500000	0.430313	0.803571	
GCF_009738105.1	GCF_050225505.1	1.000000	0.841139	0.022266	0.015866	34	0.500000	0.432868	0.813139	
GCF_009738105.1	GCF_050226025.1	1.000000	0.840236	0.022266	0.015165	34	0.500000	0.433899	0.812236	
GCF_009738105.1	GCF_050225395.1	1.000000	0.842733	0.022921	0.016393	35	0.500000	0.430119	0.814733	
GCF_009738105.1	GCF_050220455.1	1.000000	0.840265	0.021611	0.015647	33	0.500000	0.431276	0.812265	
GCF_009738105.1	GCF_028743275.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433344	0.000000	
GCF_009738105.1	GCF_000724795.2	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433468	0.000000	
GCF_009738105.1	GCF_023702735.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.433900	0.000000	
GCF_009738105.1	GCF_016889925.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.432062	0.000000	
GCF_009738105.1	GCF_040687795.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.436733	0.000000	
GCF_009738105.1	GCF_040026365.1	0.000000	0.000000	0.002620	0.001100	0	0.000000	0.561708	0.000000	
GCF_009738105.1	GCF_019968055.1	0.000000	0.000000	0.003274	0.001553	0	0.000000	0.567898	0.000000	
GCF_009738105.1	GCF_049532935.1	0.000000	0.000000	0.002620	0.001029	0	0.000000	0.562804	0.000000	
GCF_009738105.1	GCF_003312465.1	0.000000	0.000000	0.001965	0.000780	0	0.000000	0.563867	0.000000	
GCF_009738105.1	GCF_051201525.1	0.000000	0.000000	0.003274	0.001071	0	0.000000	0.571346	0.000000	
GCF_009738105.1	GCF_056494015.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554615	0.000000	
GCF_009738105.1	GCF_010230935.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558759	0.000000	
GCF_009738105.1	GCF_010223135.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.553506	0.000000	
GCF_009738105.1	GCF_010230515.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.558757	0.000000	
GCF_009738105.1	GCF_018847215.1	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.554588	0.000000	
GCF_009738105.1	GCF_009738515.1	0.000000	0.000000	0.001310	0.000778	0	0.000000	0.601966	0.000000	
GCF_009738105.1	GCF_004936435.1	0.000000	0.000000	0.001310	0.000738	0	0.000000	0.601616	0.000000	
GCF_009738105.1	GCF_017743155.1	0.000000	0.000000	0.001310	0.000716	0	0.000000	0.599491	0.000000	
GCF_009738105.1	GCF_001293145.1	0.000000	0.000000	0.001310	0.000700	0	0.000000	0.600103	0.000000	
GCF_009738105.1	GCF_036419235.1	0.000000	0.000000	0.001310	0.000582	0	0.000000	0.599507	0.000000	
GCF_009738105.1	GCF_025151715.1	1.000000	0.778358	0.006549	0.002337	10	0.500000	0.426665	0.750358	
GCF_009738105.1	GCF_023497585.1	1.000000	0.780848	0.006549	0.002647	10	0.500000	0.424397	0.752848	
GCF_009738105.1	GCF_015554785.1	0.000000	0.000000	0.001310	0.000507	0	0.000000	0.424524	0.000000	
GCF_009738105.1	GCF_015555785.1	0.000000	0.000000	0.001310	0.000471	0	0.000000	0.420987	0.000000	
GCF_009738105.1	GCF_027668125.1	0.000000	0.000000	0.001310	0.000537	0	0.000000	0.423017	0.000000	
GCF_057218265.1	GCF_030440475.1	1.000000	0.971011	0.498612	0.463698	1437	0.500000	0.480433	0.943011	
GCF_057218265.1	GCF_030144345.1	1.000000	0.967409	0.443442	0.434842	1278	0.500000	0.482734	0.939409	
GCF_057218265.1	GCF_058684255.1	1.000000	0.976034	0.547536	0.543950	1578	0.500000	0.482859	0.948034	
