	paf_vs_ref	paf_vs_FGDLZ73M1_ctg	paf_vs_FHNBA1M1_ctg	maxcov	abfA_status
FSCDJY7M2_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FSHHK17M1_ctg	1.0	0.6953422340361264	1.0	1.0	complete
M1-20-R01-3_ctg	0.9552034771635879	0.649066634446928	0.9551905708407434	0.9552034771635879	complete
FJSWX14M1_ctg	0.27866381576641314	0.4791276505769347	1.0	1.0	complete
FSDTA7M1_ctg	0.9628798766167759	0.9882800700779315	0.9637688740105311	0.9882800700779315	deleted
FXJWS49M20_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FXJWS49M30_ctg	0.27656069262855343	0.4769528182202622	0.281235833594867	0.4769528182202622	deleted
FGZ6_I1_M6_ctg	0.18707280311262225	0.32229807285688394	0.19224465599609444	0.32229807285688394	complete
FGZ17I1M2_ctg	0.959444775491605	0.9093819851386455	0.9592356243679604	0.959444775491605	complete
FSDLZ51M1_ctg	0.5536471660415717	0.6960671781550172	0.5869860864107124	0.6960671781550172	complete
FJSWXJ18M1_ctg	0.9851379298257913	0.9124025856340241	0.9844474666108728	0.9851379298257913	complete
BlongumL6_ctg	1.0	0.9882800700779315	1.0	1.0	deleted
FBJ9M5_ctg	0.9851379298257913	0.8992931794840814	0.9843428531575827	0.9851379298257913	complete
FXJWS23M8_ctg	0.27670090083774407	0.4767111701806319	0.28130557589706034	0.4767111701806319	deleted
FJSWXJ20M1_ctg	0.9838410038907778	0.9499184437866248	0.9782055305645639	0.9838410038907778	complete
FJSNT19M9_ctg	0.9851379298257913	0.9146982420105116	0.9850751473306134	0.9851379298257913	complete
FGSYC28M5_ctg	1.0	0.9866489458104271	1.0	1.0	complete
FSDLZ50M2_ctg	1.0	0.9147586540204192	1.0	1.0	deleted
RG2-3_ctg	1.0	0.6953422340361264	1.0	1.0	complete
FXJWS49M16_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
FSCCD5M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FJSWXJ3M1_ctg	0.27670090083774407	0.4769528182202622	1.0	1.0	deleted
FHeJZ25M6_ctg	1.0	0.9866489458104271	1.0	1.0	deleted
FJSNT19M2_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FXJWS49M40_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FXJWS23M58_ctg	0.9562900907848154	0.9500996798163475	0.9684416082574886	0.9684416082574886	deleted
C-1-A4_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	complete
FXJWS49M32_ctg	0.27656069262855343	0.4769528182202622	0.281235833594867	0.4769528182202622	deleted
FJSNT49M3_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
FSDLZ56M1_ctg	1.0	0.6978795384522443	1.0	1.0	complete
FJSWXJ13M2_ctg	0.27670090083774407	0.4769528182202622	1.0	1.0	complete
FXJWS23M15_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FJSNTY49M10_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
FHuBZX30M2_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FGDLZ42_ctg	0.27862876371411543	0.4807587748444391	0.28315374690518536	0.4807587748444391	complete
HUB6_1_ctg	0.2779627747204599	0.4803358907750861	0.28318861805628204	0.4803358907750861	complete
HUB37-A12_ctg	0.18707280311262225	0.3225397208965142	0.19217491369390102	0.3225397208965142	complete
FHaNCM24GMM6_ctg	0.27670090083774407	0.4769528182202622	1.0	1.0	deleted
FGSZY16M3_ctg	0.27670090083774407	0.4769528182202622	0.281235833594867	0.4769528182202622	complete
CCFM686_ctg	0.856987626625539	0.9569262369359028	0.8548313979844475	0.9569262369359028	deleted
HUB29-14_ctg	0.27670090083774407	0.4770132302301698	1.0	1.0	complete
FXJWS49M14_ctg	0.27670090083774407	0.4767111701806319	1.0	1.0	deleted
FSDTA2M6_ctg	1.0	0.9882800700779315	1.0	1.0	deleted
GX17-A9_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGDLZ72M1_ctg	1.0	0.9891258382166375	1.0	1.0	complete
F_FJ_ND_D11_M_1_ctg	0.8801920852465912	0.94357518274633	0.8425567527984099	0.94357518274633	complete
F_JS_CZ_D12_M_1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FJSWXJ5M1_ctg	0.27670090083774407	0.4769528182202622	0.28130557589706034	0.4769528182202622	complete
CCFM756_ctg	0.9869255844929721	0.9891258382166375	0.9862956376189979	0.9891258382166375	deleted
FHuBZX17M2_ctg	0.27656069262855343	0.4769528182202622	1.0	1.0	complete
FJSNT40M12_ctg	0.8253356234007501	0.5057089349362653	0.7135334937406284	0.8253356234007501	complete
FSDJN3M1_ctg	0.27656069262855343	0.4769528182202622	1.0	1.0	deleted
HAN4-25_ctg	1.0	0.9875551259590406	1.0	1.0	complete
FHNBA16M1_ctg	0.27729678572680433	0.4800942427354558	1.0	1.0	complete
FJSNT19M3_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGDLZ19M5_ctg	1.0	0.9882800700779315	1.0	1.0	complete
CCFM760_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	complete
FGDLZ78M2_ctg	0.9693294542395458	0.9146982420105116	0.9686508351640688	0.9693294542395458	complete
FJSWXJ21M1_ctg	1.0	0.6989669546305806	1.0	1.0	complete
FJSNT45M1_ctg	1.0	0.9900924303751586	1.0	1.0	complete
FXJWS49M23_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FXJWS23M59_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FGXBM14M6_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGDLZ74M1_ctg	0.9851379298257913	0.9146982420105116	0.9850751473306134	0.9851379298257913	deleted
FXJWS23M14_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FGZ19MM7_ctg	0.9998247397385117	0.9891258382166375	1.0	1.0	complete
FJSNT39M10_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FHuBZX1M1_ctg	0.27656069262855343	0.4770132302301698	0.28130557589706034	0.4770132302301698	complete
FHaNCM25GMM1_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FSHHK25M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FYNDL2M1_ctg	0.2779627747204599	0.4803358907750861	0.28318861805628204	0.4803358907750861	complete
FSHHK18M1_ctg	0.9846121490413263	0.9147586540204192	0.9847613069707432	0.9847613069707432	complete
FGSYC85M1_ctg	0.1869325949034316	0.32229807285688394	0.25431530494821636	0.32229807285688394	deleted
FJSNT19M6_ctg	0.9851379298257913	0.9146982420105116	0.9850751473306134	0.9851379298257913	complete
FJSWXJ10M2_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGZ16MM1_ctg	1.0	0.9867093578203346	1.0	1.0	complete
FXJWS23M7_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FHNBA3M1_ctg	0.8972624347155526	0.7902495016009182	0.8920737873557206	0.8972624347155526	complete
FGDLZ8M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
F_JS_NJ_1_M1_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	complete
FXJWS49M36_ctg	0.27670090083774407	0.4803358907750861	0.28130557589706034	0.4803358907750861	deleted
F_SD_HZ_D3_M_3_ctg	1.0	0.9875551259590406	1.0	1.0	complete
FHeJZ28M10_ctg	0.9990185425356655	0.6960671781550172	1.0	1.0	complete
FJSWXJ24M1_ctg	0.9998247397385117	0.9882800700779315	1.0	1.0	deleted
M1_C_12_L4_2_ctg	0.2758596515826002	0.4770132302301698	0.2803989259685462	0.4770132302301698	complete
FJSWX9M2_ctg	1.0	0.6953422340361264	1.0	1.0	complete
FJSWXJ11M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FXJWS23M55_ctg	0.27670090083774407	0.4767111701806319	1.0	1.0	deleted
FHNBO41M2_ctg	1.0	0.6939527578082523	1.0	1.0	deleted
FSCREG7M3-3_ctg	1.0	0.6960671781550172	1.0	1.0	complete
FGDLZ5M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FJSNT32M4_ctg	1.0	0.6953422340361264	1.0	1.0	complete
CCFM752_ctg	1.0	0.9875551259590406	1.0	1.0	deleted
F_FJ_ND_D13_M_1_ctg	1.0	0.9875551259590406	1.0	1.0	complete
FGZ35MM1_ctg	0.5594658067229836	0.6302180873557663	0.584614848136137	0.6302180873557663	complete
FXJWS49M11_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FXJWS49M9_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FXZDX24M5-1_ctg	1.0	0.9882800700779315	1.0	1.0	deleted
FBJ19M2_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FSCREG2M3-3_ctg	1.0	0.6960671781550172	1.0	1.0	complete
F_SD_HZ_D2_M_4_ctg	1.0	0.9894883102760829	1.0	1.0	complete
FSDTA5M1_ctg	0.9855235024010656	0.9894883102760829	0.9857028280503539	0.9894883102760829	deleted
FJSWXJ41M1_ctg	1.0	0.6976983024225216	1.0	1.0	complete
FGZ35I1M4_ctg	0.5594658067229836	0.6302180873557663	0.584614848136137	0.6302180873557663	complete
FBJ20M1_ctg	0.27656069262855343	0.4769528182202622	1.0	1.0	complete
FYNLJ22M3_ctg	0.9998247397385117	0.9882800700779315	1.0	1.0	complete
FGXBM15M1_ctg	1.0	0.6960671781550172	1.0	1.0	complete
FHNBA28M10_ctg	0.969294402187248	0.9147586540204192	0.9679882832932315	0.969294402187248	complete
HAN42-10_ctg	1.0	0.6960671781550172	1.0	1.0	complete
FXJWS23M10_ctg	0.27670090083774407	0.4767111701806319	0.28130557589706034	0.4767111701806319	deleted
FJSWXJ17M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
CCFM1029_ctg	0.985172981878089	0.9146982420105116	0.986051539561321	0.986051539561321	complete
FBJ14M2_ctg	0.9642118546040871	0.8621397933909262	0.9641175855214981	0.9642118546040871	complete
FXJWS49M18_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FGZ16_I1_M6_ctg	1.0	0.9867093578203346	1.0	1.0	complete
FSHHK13M1_ctg	0.27656069262855343	0.4791276505769347	1.0	1.0	complete
FJSNT19M7_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FGDLZ63M1_ctg	1.0	0.9147586540204192	1.0	1.0	complete
HAN2-1_ctg	1.0	0.6953422340361264	1.0	1.0	complete
FGXBM12M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
M1_23_F01_M3_5_ctg	1.0	0.6975170663927989	1.0	1.0	complete
FSHHK15M2_ctg	0.27656069262855343	0.4769528182202622	0.281235833594867	0.4769528182202622	deleted
FGSZY56M3_ctg	0.27670090083774407	0.4769528182202622	1.0	1.0	complete
FXJWS23M56_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FGSYC16M1_ctg	1.0	0.9875551259590406	1.0	1.0	complete
C1-A13_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	complete
C57BLSB22_ctg	1.0	0.9875551259590406	1.0	1.0	deleted
FXJWS23M60_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
HUB2-25_ctg	0.9851379298257913	0.9094423971485531	0.9850402761795167	0.9851379298257913	complete
FGZ6MM10_ctg	0.9986329699603912	0.9952878632272095	0.997001081005684	0.9986329699603912	complete
FGSZY6M4_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
FJSNT49M4_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
FGZ6_I1_M3_ctg	0.18707280311262225	0.32229807285688394	0.19224465599609444	0.32229807285688394	complete
FGDLZ4M1_ctg	0.9998247397385117	0.9882800700779315	1.0	1.0	complete
FJSWXJ43M4_ctg	1.0	0.9894883102760829	1.0	1.0	complete
FSHHK21M1_ctg	0.27670090083774407	0.47997341871564064	1.0	1.0	complete
FJSNT53M9_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FZXDX6M3-2_ctg	1.0	0.6996918987494714	1.0	1.0	complete
FJSNT19M5_ctg	0.9851379298257913	0.9146982420105116	0.9850751473306134	0.9851379298257913	complete
FJSWXJ39M4_ctg	0.27670090083774407	0.4769528182202622	1.0	1.0	deleted
FSDLZ59M1_ctg	1.0	0.9882800700779315	1.0	1.0	deleted
FXJWS49M47_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FGZ16_I1_M5_ctg	1.0	0.9867093578203346	1.0	1.0	complete
FXJWS23M61_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
FJSNT70M6_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FSDLZ46M1_ctg	1.0	0.6975774784027065	1.0	1.0	complete
FHNBA4M1_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	complete
FXJWS23M13_ctg	1.0	0.9891258382166375	1.0	1.0	deleted
HUB36-17_ctg	0.2767359528900417	0.4767111701806319	0.28130557589706034	0.4767111701806319	complete
F_FJ_ND_D15_M_1_ctg	1.0	0.9891258382166375	1.0	1.0	complete
FJSNT19M4_ctg	0.9851379298257913	0.9146982420105116	0.9850751473306134	0.9851379298257913	complete
FSDJN6M3_ctg	0.4855410284272144	0.59656859783725	0.4817449524008788	0.59656859783725	deleted
M1_28_R01_M3_1_ctg	0.7617862525850888	0.8829819368090376	0.7640269205286466	0.8829819368090376	complete
FJSNT46M2_ctg	1.0	0.9875551259590406	1.0	1.0	complete
FBJ15M2_ctg	1.0	0.9867093578203346	1.0	1.0	deleted
FJSWX30M1_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FXJWS49M12_ctg	0.27656069262855343	0.4770132302301698	0.2803989259685462	0.4770132302301698	deleted
FSCDJY15M2_ctg	1.0	0.9882800700779315	1.0	1.0	complete
FSCREG14M4-2-1_ctg	0.27656069262855343	0.4770132302301698	1.0	1.0	deleted
K2_ctg	0.9851379298257913	0.9094423971485531	0.9844125954597761	0.9851379298257913	complete
FXJWS23M57_ctg	0.8727961022117845	0.9500996798163475	0.9100324301705199	0.9500996798163475	complete
FSHHK16M1_ctg	0.0	0.9882800700779315	1.0	1.0	complete
