accession	core	periphery	downstream	abfA_status	hypba_status	phenotype
FGZ35I1M4_ctg	1.0	0.36882282040980313	0.8652211051974505	complete	deleted	unknown
FGZ35MM1_ctg	1.0	0.36882282040980313	0.8652211051974505	complete	deleted	unknown
FGZ6MM10_ctg	0.9953141895950979	1.0	0.7816545108088574	complete	complete	unknown
FGZ6_I1_M3_ctg	0.6059113300492611	0.0	0.7647808660227348	complete	deleted	unknown
FGZ6_I1_M6_ctg	0.6059113300492611	0.0	0.7647808660227348	complete	deleted	unknown
FHNBA16M1_ctg	0.9151748167727982	0.0	0.7753860306196202	complete	deleted	unknown
FHNBA1M1_ctg	1.0	1.0	0.8328799526907156	complete	complete	unknown
FHNBA28M10_ctg	0.9126516880932356	0.9925170751305745	0.8382548130626191	complete	complete	unknown
FHNBA3M1_ctg	0.6657455244503184	0.9925170751305745	0.5721926539194429	complete	complete	unknown
FHNBA4M1_ctg	0.9126516880932356	0.0	0.7541888428937512	complete	complete	unknown
FHNBO41M2_ctg	1.0	1.0	0.7718509757539918	deleted	deleted	unknown
FHaNCM24GMM6_ctg	0.9131322840321999	0.0	0.9407319797621394	deleted	deleted	unknown
FHaNCM25GMM1_ctg	1.0	1.0	0.8655102174912938	complete	complete	unknown
FHeJZ25M6_ctg	1.0	1.0	0.7818253498915829	deleted	complete	unknown
FHeJZ28M10_ctg	1.0	0.9985938127762154	0.9199684604770353	complete	deleted	unknown
FHuBZX17M2_ctg	0.9126516880932356	0.0	0.8195676457060254	complete	deleted	unknown
FHuBZX1M1_ctg	0.9126516880932356	0.0	0.8577961758328405	complete	deleted	unknown
FHuBZX30M2_ctg	1.0	1.0	0.8655102174912938	complete	complete	unknown
FJSNT19M1_ctg	1.0	1.0	0.7148827123989749	complete	complete	unknown
FJSNT19M2_ctg	1.0	1.0	0.7633221630856166	complete	complete	unknown
FJSNT19M3_ctg	1.0	1.0	0.7633221630856166	complete	complete	unknown
FJSNT19M4_ctg	1.0	0.9787063077541182	0.7635061436362441	complete	complete	unknown
FJSNT19M5_ctg	1.0	0.9787063077541182	0.7635061436362441	complete	complete	unknown
FJSNT19M6_ctg	1.0	0.9787063077541182	0.7635061436362441	complete	complete	unknown
FJSNT19M7_ctg	1.0	1.0	0.7633221630856166	complete	complete	unknown
FJSNT19M8_ctg	1.0	1.0	0.7633221630856166	complete	complete	unknown
FJSNT19M9_ctg	1.0	0.9787063077541182	0.7635061436362441	complete	complete	unknown
FJSNT32M4_ctg	1.0	1.0	0.786989946777055	complete	deleted	unknown
FJSNT39M10_ctg	1.0	1.0	0.8524475983967409	complete	complete	unknown
FJSNT40M12_ctg	0.8875405502823501	0.7967557251908397	0.7960049937578028	complete	complete	unknown
FJSNT45M1_ctg	1.0	1.0	0.9931270122872725	complete	complete	unknown
FJSNT46M2_ctg	1.0	1.0	0.7256849990143899	complete	complete	unknown
FJSNT49M3_ctg	0.9126516880932356	0.0	0.8244431302976543	deleted	deleted	unknown
FJSNT49M4_ctg	0.9126516880932356	0.0	0.8244431302976543	deleted	deleted	unknown
FJSNT53M9_ctg	1.0	1.0	0.7813391155792102	complete	complete	unknown
FJSNT54M6_ctg	1.0	1.0	0.7813391155792102	complete	complete	unknown
FJSNT70M6_ctg	1.0	1.0	0.780655759248308	complete	complete	unknown
FJSNTY49M10_ctg	0.9126516880932356	0.0	0.8244431302976543	deleted	deleted	unknown
FJSWX14M1_ctg	0.9198606271777003	0.0	0.7627439384979302	complete	deleted	unknown
FJSWX30M1_ctg	1.0	1.0	0.7872527761350943	complete	complete	unknown
FJSWX38M1_ctg	0.9131322840321999	0.0	0.9867139759511138	complete	deleted	unknown
FJSWX9M2_ctg	1.0	1.0	0.7805769104408963	complete	deleted	unknown
FJSWXJ10M2_ctg	1.0	1.0	0.7744529863985807	complete	complete	unknown
FJSWXJ11M1_ctg	1.0	1.0	0.7870687955844667	complete	complete	unknown
FJSWXJ12M2_ctg	1.0	1.0	0.7870687955844667	complete	complete	unknown
FJSWXJ13M2_ctg	0.9131322840321999	0.0	0.7628622117090479	complete	deleted	unknown
FJSWXJ17M1_ctg	1.0	1.0	0.7870687955844667	complete	complete	unknown
FJSWXJ18M1_ctg	1.0	0.9787063077541182	0.7753334647480123	complete	complete	unknown
FJSWXJ20M1_ctg	0.9446113180343626	1.0	0.7754123135554242	complete	complete	unknown
FJSWXJ21M1_ctg	1.0	1.0	0.8905578553124384	complete	deleted	unknown
FJSWXJ24M1_ctg	1.0	0.9997488951386099	0.7766213286024048	deleted	complete	unknown
FJSWXJ2M1_ctg	1.0	1.0	0.7825612720940929	complete	complete	unknown
FJSWXJ37M4_ctg	0.9131322840321999	0.0	0.7261449503909587	complete	deleted	unknown
FJSWXJ39M4_ctg	0.9131322840321999	0.0	0.8245219791050661	deleted	deleted	unknown
FJSWXJ3M1_ctg	0.9131322840321999	0.0	0.7054339969774623	deleted	deleted	unknown
FJSWXJ41M1_ctg	1.0	1.0	0.7808397397989355	complete	deleted	unknown
FJSWXJ43M4_ctg	1.0	1.0	0.7751494841973848	complete	complete	unknown
FJSWXJ5M1_ctg	0.9131322840321999	0.0	0.9439253564623168	complete	deleted	unknown
FSCCD3M1_ctg	1.0	1.0	0.8346934752611866	complete	complete	unknown
FSCCD5M1_ctg	1.0	1.0	0.7805374860371903	complete	complete	unknown
FSCDJY15M2_ctg	1.0	1.0	0.732702542874039	complete	complete	unknown
FSCDJY6M1_ctg	1.0	1.0	0.89070241145936	complete	complete	unknown
FSCDJY7M2_ctg	1.0	1.0	0.7872922005388002	complete	complete	unknown
FSCREG14M4-2-1_ctg	0.9126516880932356	0.0	0.9861094684276234	deleted	deleted	unknown
FSCREG2M3-3_ctg	1.0	1.0	0.9928247585255273	complete	deleted	unknown
FSCREG6M5-3_ctg	1.0	0.8116211329851346	0.7657664761153821	complete	complete	unknown
FSCREG7M3-3_ctg	1.0	1.0	0.7902358893488403	complete	deleted	unknown
FSDJN3M1_ctg	0.9126516880932356	0.0	0.8659307444641566	deleted	deleted	unknown
FSDJN6M3_ctg	0.8632704553646522	0.3200582563278425	0.685866351271437	deleted	deleted	unknown
FSDLZ46M1_ctg	1.0	1.0	0.9641632170313424	complete	deleted	unknown
FSDLZ50M2_ctg	1.0	1.0	0.8507523490373875	deleted	complete	unknown
FSDLZ51M1_ctg	1.0	0.3604861390116513	0.7395492476509626	complete	complete	unknown
FSDLZ56M1_ctg	1.0	1.0	0.6775215191536895	complete	deleted	unknown
FSDLZ59M1_ctg	1.0	1.0	0.890715552927262	deleted	complete	unknown
FSDLZ61M5_ctg	1.0	1.0	0.890715552927262	deleted	complete	unknown
FSDTA2M6_ctg	1.0	1.0	0.8497010316052303	deleted	complete	unknown
FSDTA5M1_ctg	1.0	0.9792587384491763	0.8540902818844865	deleted	complete	unknown
FSDTA7M1_ctg	1.0	0.9468159903575734	0.8496221827978185	deleted	complete	unknown
FSHHK13M1_ctg	0.9126516880932356	0.0	0.9440042052697286	complete	deleted	unknown
FSHHK15M2_ctg	0.9126516880932356	0.0	0.8651159734542349	deleted	deleted	unknown
FSHHK17M1_ctg	1.0	1.0	0.9882515276956436	complete	deleted	unknown
FSHHK18M1_ctg	1.0	0.9779529931699478	0.8584006833563309	complete	complete	unknown
FSHHK21M1_ctg	0.9131322840321999	0.0	0.7632301728103029	complete	deleted	unknown
FSHHK22M1_ctg	1.0	1.0	0.9503909586700835	complete	complete	unknown
FSHHK25M1_ctg	1.0	1.0	0.8656679151061174	complete	complete	unknown
FXJWS23M10_ctg	0.9131322840321999	0.0	0.7631250410670872	deleted	deleted	unknown
FXJWS23M13_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M14_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M15_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M55_ctg	0.9131322840321999	0.0	0.7631250410670872	deleted	deleted	unknown
FXJWS23M56_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M57_ctg	0.8590652408987144	0.8766572920851747	0.8567448584006834	complete	complete	unknown
FXJWS23M58_ctg	0.8501742160278746	1.0	0.8581115710624877	deleted	complete	unknown
FXJWS23M59_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M60_ctg	1.0	1.0	0.6922662461396938	deleted	complete	unknown
FXJWS23M61_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M7_ctg	1.0	1.0	0.7417307313226887	deleted	complete	unknown
FXJWS23M8_ctg	0.9131322840321999	0.0	0.7631250410670872	deleted	deleted	unknown
FXJWS49M11_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M12_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M14_ctg	0.9131322840321999	0.0	0.7631250410670872	deleted	deleted	unknown
FXJWS49M16_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M17_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M18_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M20_ctg	0.9126516880932356	0.0	0.8407779748997963	deleted	deleted	unknown
FXJWS49M23_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M30_ctg	0.9126516880932356	0.0	0.7832446284249951	deleted	deleted	unknown
FXJWS49M32_ctg	0.9126516880932356	0.0	0.7805637689729943	deleted	deleted	unknown
FXJWS49M36_ctg	0.9131322840321999	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M40_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M47_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXJWS49M9_ctg	0.9126516880932356	0.0	0.8839608384256521	deleted	deleted	unknown
FXZDX24M5-1_ctg	1.0	1.0	0.6300676785596951	deleted	complete	unknown
FYNDL2M1_ctg	0.9174576474828787	0.0	0.8128654970760234	complete	deleted	unknown
FYNLJ22M3_ctg	1.0	0.9997488951386099	0.7805637689729943	complete	complete	unknown
FZXDX6M3-2_ctg	1.0	1.0	0.7813653985150141	complete	deleted	unknown
F_FJ_ND_D11_M_1_ctg	1.0	0.8283447167537163	0.7078651685393258	complete	complete	unknown
F_FJ_ND_D13_M_1_ctg	1.0	1.0	0.8111045403771602	complete	complete	unknown
F_FJ_ND_D15_M_1_ctg	1.0	1.0	0.7828635258558381	complete	complete	unknown
F_JS_CZ_D12_M_1_ctg	1.0	1.0	0.7936132465996452	complete	complete	unknown
F_JS_NJ_1_M1_ctg	0.9126516880932356	0.0	0.7488402654576516	complete	deleted	unknown
F_SD_HZ_D2_M_4_ctg	1.0	1.0	0.7925882121032919	complete	complete	unknown
F_SD_HZ_D3_M_3_ctg	1.0	1.0	0.781417964386622	complete	complete	unknown
F_ZJ_TZ_1_M1_ctg	0.9131322840321999	0.0	0.7541362770221434	complete	deleted	unknown
GX17-A9_ctg	1.0	1.0	0.9614823575793416	complete	complete	unknown
HAN2-1_ctg	1.0	1.0	0.814863000197122	complete	deleted	unknown
HAN4-25_ctg	1.0	1.0	0.9595768447335568	complete	complete	unknown
HAN42-10_ctg	1.0	1.0	0.7743084302516591	complete	deleted	unknown
HUB2-25_ctg	1.0	0.9787063077541182	0.7809711544779552	complete	complete	unknown
HUB29-14_ctg	0.9131322840321999	0.0	0.8296997174584401	complete	deleted	unknown
HUB36-17_ctg	0.913252433016941	0.0	0.8385964912280702	complete	deleted	unknown
HUB37-A12_ctg	0.6059113300492611	0.0	0.8961298377028714	complete	deleted	unknown
HUB6_1_ctg	0.9174576474828787	0.0	0.8577961758328405	complete	deleted	unknown
K2_ctg	1.0	0.9787063077541182	0.7835994480583481	complete	complete	unknown
M1-20-R01-3_ctg	0.8464495975009011	1.0	0.7726000394244037	complete	deleted	unknown
M1_23_F01_M3_5_ctg	1.0	1.0	0.9836651553978579	complete	deleted	unknown
M1_28_R01_M3_1_ctg	1.0	0.6586982723985536	0.7641763584992444	complete	deleted	unknown
M1_C_12_L4_2_ctg	0.910248708398414	0.0	0.7660293054734214	complete	deleted	unknown
RG2-3_ctg	1.0	1.0	0.7871082199881727	complete	deleted	unknown
