accession	abfA_status	hypba_status	phenotype
FJSWXJ43M4_ctg	complete	complete	unknown
FSCCD3M1_ctg	complete	complete	unknown
FSCCD5M1_ctg	complete	complete	unknown
FSCDJY15M2_ctg	complete	complete	unknown
FSCDJY6M1_ctg	complete	complete	unknown
FSCDJY7M2_ctg	complete	complete	unknown
FSCREG6M5-3_ctg	complete	complete	unknown
FSDLZ51M1_ctg	complete	complete	unknown
FSHHK16M1_ctg	complete	complete	unknown
FSHHK18M1_ctg	complete	complete	unknown
FSHHK22M1_ctg	complete	complete	unknown
FSHHK25M1_ctg	complete	complete	unknown
FXJWS23M57_ctg	complete	complete	unknown
FYNLJ22M3_ctg	complete	complete	unknown
GX17-A9_ctg	complete	complete	unknown
HAN4-25_ctg	complete	complete	unknown
HUB2-25_ctg	complete	complete	unknown
K2_ctg	complete	complete	unknown
C1-A13_ctg	complete	deleted	unknown
C-1-A4_ctg	complete	deleted	unknown
CCFM685_ctg	complete	deleted	unknown
CCFM760_ctg	complete	deleted	unknown
F_JS_NJ_1_M1_ctg	complete	deleted	unknown
F_ZJ_TZ_1_M1_ctg	complete	deleted	unknown
FBJ20M1_ctg	complete	deleted	unknown
FGDLZ42_ctg	complete	deleted	unknown
FGSZY16M3_ctg	complete	deleted	unknown
FGSZY56M3_ctg	complete	deleted	unknown
FGXBM15M1_ctg	complete	deleted	unknown
FGZ35I1M4_ctg	complete	deleted	unknown
FGZ35MM1_ctg	complete	deleted	unknown
FGZ6_I1_M3_ctg	complete	deleted	unknown
FGZ6_I1_M6_ctg	complete	deleted	unknown
FHeJZ28M10_ctg	complete	deleted	unknown
FHNBA16M1_ctg	complete	deleted	unknown
FGZ16MM1_ctg	complete	deleted	unknown
FHuBZX17M2_ctg	complete	deleted	unknown
FHuBZX1M1_ctg	complete	deleted	unknown
FJSNT32M4_ctg	complete	deleted	unknown
FJSWX14M1_ctg	complete	deleted	unknown
FJSWX38M1_ctg	complete	deleted	unknown
FJSWX9M2_ctg	complete	deleted	unknown
FJSWXJ13M2_ctg	complete	deleted	unknown
FJSWXJ21M1_ctg	complete	deleted	unknown
FJSWXJ37M4_ctg	complete	deleted	unknown
FJSWXJ41M1_ctg	complete	deleted	unknown
FJSWXJ5M1_ctg	complete	deleted	unknown
FSCREG2M3-3_ctg	complete	deleted	unknown
FSCREG7M3-3_ctg	complete	deleted	unknown
FSDLZ46M1_ctg	complete	deleted	unknown
FSDLZ56M1_ctg	complete	deleted	unknown
FSHHK13M1_ctg	complete	deleted	unknown
FSHHK17M1_ctg	complete	deleted	unknown
FSHHK21M1_ctg	complete	deleted	unknown
FYNDL2M1_ctg	complete	deleted	unknown
FZXDX6M3-2_ctg	complete	deleted	unknown
HAN2-1_ctg	complete	deleted	unknown
HAN42-10_ctg	complete	deleted	unknown
HUB29-14_ctg	complete	deleted	unknown
HUB36-17_ctg	complete	deleted	unknown
HUB37-A12_ctg	complete	deleted	unknown
HUB6_1_ctg	complete	deleted	unknown
M1_23_F01_M3_5_ctg	complete	deleted	unknown
M1_28_R01_M3_1_ctg	complete	deleted	unknown
M1_C_12_L4_2_ctg	complete	deleted	unknown
M1-20-R01-3_ctg	complete	deleted	unknown
RG2-3_ctg	complete	deleted	unknown
BlongumL6_ctg	deleted	complete	unknown
C57BLSB22_ctg	deleted	complete	unknown
CCFM686_ctg	deleted	complete	unknown
CCFM752_ctg	deleted	complete	unknown
CCFM756_ctg	deleted	complete	unknown
CCFM762_ctg	deleted	complete	unknown
FBJ15M2_ctg	deleted	complete	unknown
FGDLZ74M1_ctg	deleted	complete	unknown
FHeJZ25M6_ctg	deleted	complete	unknown
FJSWXJ24M1_ctg	deleted	complete	unknown
FSDLZ50M2_ctg	deleted	complete	unknown
FSDLZ59M1_ctg	deleted	complete	unknown
FSDLZ61M5_ctg	deleted	complete	unknown
FSDTA2M6_ctg	deleted	complete	unknown
FSDTA5M1_ctg	deleted	complete	unknown
FSDTA7M1_ctg	deleted	complete	unknown
FXJWS23M13_ctg	deleted	complete	unknown
FXJWS23M14_ctg	deleted	complete	unknown
FXJWS23M15_ctg	deleted	complete	unknown
FXJWS23M56_ctg	deleted	complete	unknown
FXJWS23M58_ctg	deleted	complete	unknown
FXJWS23M59_ctg	deleted	complete	unknown
FXJWS23M60_ctg	deleted	complete	unknown
FXJWS23M61_ctg	deleted	complete	unknown
FXJWS23M7_ctg	deleted	complete	unknown
FXZDX24M5-1_ctg	deleted	complete	unknown
AHWH21M4_ctg	deleted	deleted	unknown
FGSYC85M1_ctg	deleted	deleted	unknown
FGSZY6M4_ctg	deleted	deleted	unknown
FHaNCM24GMM6_ctg	deleted	deleted	unknown
FHNBO41M2_ctg	deleted	deleted	unknown
FJSNT49M3_ctg	deleted	deleted	unknown
FJSNT49M4_ctg	deleted	deleted	unknown
FJSNTY49M10_ctg	deleted	deleted	unknown
FJSWXJ39M4_ctg	deleted	deleted	unknown
FJSWXJ3M1_ctg	deleted	deleted	unknown
FSCREG14M4-2-1_ctg	deleted	deleted	unknown
FSDJN3M1_ctg	deleted	deleted	unknown
FSDJN6M3_ctg	deleted	deleted	unknown
FSHHK15M2_ctg	deleted	deleted	unknown
FXJWS23M10_ctg	deleted	deleted	unknown
FXJWS23M55_ctg	deleted	deleted	unknown
FXJWS23M8_ctg	deleted	deleted	unknown
FXJWS49M11_ctg	deleted	deleted	unknown
FXJWS49M12_ctg	deleted	deleted	unknown
FXJWS49M14_ctg	deleted	deleted	unknown
FXJWS49M16_ctg	deleted	deleted	unknown
FXJWS49M17_ctg	deleted	deleted	unknown
FXJWS49M18_ctg	deleted	deleted	unknown
FXJWS49M20_ctg	deleted	deleted	unknown
FXJWS49M23_ctg	deleted	deleted	unknown
FXJWS49M30_ctg	deleted	deleted	unknown
FXJWS49M32_ctg	deleted	deleted	unknown
FXJWS49M36_ctg	deleted	deleted	unknown
FXJWS49M40_ctg	deleted	deleted	unknown
FXJWS49M47_ctg	deleted	deleted	unknown
FXJWS49M9_ctg	deleted	deleted	unknown
