accession	locus_cov_bp	locus_cov_frac	abfA_status	hypba_status	phenotype
FJSWXJ39M4_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FJSWXJ3M1_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FJSWXJ41M1_ctg	28529	1.0	complete	deleted	unknown
FJSWXJ43M4_ctg	28529	1.0	complete	complete	unknown
FJSWXJ5M1_ctg	7894	0.27670090083774407	complete	deleted	unknown
FSCCD3M1_ctg	28529	1.0	complete	complete	unknown
FSCCD5M1_ctg	28529	1.0	complete	complete	unknown
FSCDJY15M2_ctg	28529	1.0	complete	complete	unknown
FSCDJY6M1_ctg	28529	1.0	complete	complete	unknown
FSCDJY7M2_ctg	28529	1.0	complete	complete	unknown
FSCREG14M4-2-1_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FSCREG2M3-3_ctg	28529	1.0	complete	deleted	unknown
FSCREG6M5-3_ctg	24778	0.8685197518314697	complete	complete	unknown
FSCREG7M3-3_ctg	28529	1.0	complete	deleted	unknown
FSDJN3M1_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FSDJN6M3_ctg	13852	0.4855410284272144	deleted	deleted	unknown
FSDLZ46M1_ctg	28529	1.0	complete	deleted	unknown
FSDLZ50M2_ctg	28529	1.0	deleted	complete	unknown
FSDLZ51M1_ctg	15795	0.5536471660415717	complete	complete	unknown
FSDLZ56M1_ctg	28529	1.0	complete	deleted	unknown
FSDLZ59M1_ctg	28529	1.0	deleted	complete	unknown
FSDLZ61M5_ctg	28529	1.0	deleted	complete	unknown
FSDTA2M6_ctg	28529	1.0	deleted	complete	unknown
FSDTA5M1_ctg	28116	0.9855235024010656	deleted	complete	unknown
FSDTA7M1_ctg	27470	0.9628798766167759	deleted	complete	unknown
FSHHK13M1_ctg	7890	0.27656069262855343	complete	deleted	unknown
FSHHK15M2_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FSHHK17M1_ctg	28529	1.0	complete	deleted	unknown
FSHHK18M1_ctg	28090	0.9846121490413263	complete	complete	unknown
FSHHK21M1_ctg	7894	0.27670090083774407	complete	deleted	unknown
FSHHK22M1_ctg	28529	1.0	complete	complete	unknown
FSHHK25M1_ctg	28529	1.0	complete	complete	unknown
FXJWS23M10_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FXJWS23M13_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M14_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M15_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M55_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FXJWS23M56_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M57_ctg	24900	0.8727961022117845	complete	complete	unknown
FXJWS23M58_ctg	27282	0.9562900907848154	deleted	complete	unknown
FXJWS23M59_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M60_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M61_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M7_ctg	28529	1.0	deleted	complete	unknown
FXJWS23M8_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FXJWS49M11_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M12_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M14_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FXJWS49M16_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M17_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M18_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M20_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M23_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M30_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M32_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M36_ctg	7894	0.27670090083774407	deleted	deleted	unknown
FXJWS49M40_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M47_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXJWS49M9_ctg	7890	0.27656069262855343	deleted	deleted	unknown
FXZDX24M5-1_ctg	28529	1.0	deleted	complete	unknown
FYNDL2M1_ctg	7930	0.2779627747204599	complete	deleted	unknown
FYNLJ22M3_ctg	28524	0.9998247397385117	complete	complete	unknown
FZXDX6M3-2_ctg	28529	1.0	complete	deleted	unknown
F_FJ_ND_D11_M_1_ctg	25111	0.8801920852465912	complete	complete	unknown
F_FJ_ND_D13_M_1_ctg	28529	1.0	complete	complete	unknown
F_FJ_ND_D15_M_1_ctg	28529	1.0	complete	complete	unknown
F_JS_CZ_D12_M_1_ctg	28529	1.0	complete	complete	unknown
F_JS_NJ_1_M1_ctg	7890	0.27656069262855343	complete	deleted	unknown
F_SD_HZ_D2_M_4_ctg	28529	1.0	complete	complete	unknown
F_SD_HZ_D3_M_3_ctg	28529	1.0	complete	complete	unknown
F_ZJ_TZ_1_M1_ctg	7894	0.27670090083774407	complete	deleted	unknown
GX17-A9_ctg	28529	1.0	complete	complete	unknown
HAN2-1_ctg	28529	1.0	complete	deleted	unknown
HAN4-25_ctg	28529	1.0	complete	complete	unknown
HAN42-10_ctg	28529	1.0	complete	deleted	unknown
HUB2-25_ctg	28105	0.9851379298257913	complete	complete	unknown
HUB29-14_ctg	7894	0.27670090083774407	complete	deleted	unknown
HUB36-17_ctg	7895	0.2767359528900417	complete	deleted	unknown
HUB37-A12_ctg	5337	0.18707280311262225	complete	deleted	unknown
HUB6_1_ctg	7930	0.2779627747204599	complete	deleted	unknown
K2_ctg	28105	0.9851379298257913	complete	complete	unknown
M1-20-R01-3_ctg	27251	0.9552034771635879	complete	deleted	unknown
M1_23_F01_M3_5_ctg	28529	1.0	complete	deleted	unknown
M1_28_R01_M3_1_ctg	21733	0.7617862525850888	complete	deleted	unknown
M1_C_12_L4_2_ctg	7870	0.2758596515826002	complete	deleted	unknown
RG2-3_ctg	28529	1.0	complete	deleted	unknown
