genome	status	n_large_calls	largest_span	largest_span_fraction	largest_type	largest_coords	large_inv_count	large_tra_count	large_del_count	large_ins_count
GCA_002532615.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_002532675.1	complete	1	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	1	0	0
GCA_002533135.1	complete	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_002533145.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_002533525.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_002534385.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_003058755.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003058825.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003058845.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003382505.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003382515.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003382545.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003636505.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_003636905.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003637575.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003637635.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003638135.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_003638245.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003639285.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_003639365.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_003639525.1	complete	2	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	2	0	0
GCA_003639545.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003639565.1	empty	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_003639615.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003639675.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003639725.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003639795.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_003639855.1	empty	2	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	2	0	0
GCA_003640025.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_003640145.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_006337265.1	complete	5	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	3	2	0	0
GCA_006337305.1	empty	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	3	1	0	0
GCA_006337325.1	empty	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	2	1	0	0
GCA_006337445.1	empty	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	3	1	0	0
GCA_006337745.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	2	1	0	0
GCA_006338685.1	complete	5	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	3	2	0	0
GCA_006338945.1	complete	5	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	3	2	0	0
GCA_006339065.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_006874685.1	complete	1	579200	0.3472786413442657	TRA	NC_000915.1:465489-1044689	0	1	0	0
GCA_008026175.1	complete	4	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	2	2	0	0
GCA_008026375.1	complete	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	3	1	0	0
GCA_008026615.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008026815.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_008026995.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008027235.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008027395.1	complete	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	3	1	0	0
GCA_008027775.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008032475.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008032615.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	2	1	0	0
GCA_008032735.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_008032935.1	empty	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	2	2	0	0
GCA_008032955.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008032975.1	complete	3	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	2	1	0	0
GCA_008032995.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	2	1	0	0
GCA_008033015.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008033035.1	complete	3	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	2	1	0	0
GCA_008033055.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_008033075.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	2	0	0
GCA_008281125.1	complete	3	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	2	1	0	0
GCA_008681415.1	complete	3	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	1	2	0	0
GCA_008681425.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_008681455.1	complete	3	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	3	0	0
GCA_008681475.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_008681485.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_008681515.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_008681525.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_009740315.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740405.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_009740485.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740495.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_009740525.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_009740575.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740685.1	complete	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_009740705.1	empty	1	373084	0.22369493202224455	TRA	NC_000915.1:686141-1059225	0	1	0	0
GCA_009740755.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740785.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_009740805.1	empty	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_009740815.1	complete	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_009740855.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740975.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009740985.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009741025.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009741065.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_009741085.1	complete	1	1653891	0.9916454064425224	TRA	NC_000915.1:1459-1655350	0	1	0	0
GCA_009741095.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009741145.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_009741165.1	complete	1	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	1	0	0
GCA_011140365.1	empty	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_011140425.1	complete	2	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	2	0	0
GCA_011140435.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011140535.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011140555.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_011140595.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_011140625.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011140745.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_011140755.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011140795.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_011140935.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_011140995.1	complete	2	1658503	0.9944106845742209	TRA	NC_000915.1:2145-1660648	0	2	0	0
GCA_011141035.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_011141045.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011141095.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_011141115.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011141135.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_011174985.1	empty	3	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	3	0	0
GCA_011175015.1	complete	2	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	2	0	0
GCA_011175045.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011175075.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_011175085.1	empty	2	993516	0.5956955915638631	TRA	NC_000915.1:476313-1469829	0	2	0	0
GCA_011175115.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_011175145.1	complete	2	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	2	0	0
GCA_011175195.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_011175215.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_011175275.1	complete	1	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	1	0	0
GCA_011175295.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_011175315.1	complete	2	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	1	1	0	0
GCA_011175325.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_011175335.1	complete	4	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	4	0	0
GCA_011175375.1	complete	1	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	1	0	0
GCA_011175395.1	complete	1	617416	0.3701923163401436	TRA	NC_000915.1:331915-949331	0	1	0	0
GCA_014496385.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014496475.1	complete	2	1654849	0.9922198072339724	TRA	NC_000915.1:1459-1656308	0	2	0	0
GCA_014496885.1	empty	2	1404827	0.8423107939981713	TRA	NC_000915.1:1459-1406286	0	2	0	0
GCA_014497035.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_014497085.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497195.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497275.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_014497305.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497385.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497415.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_014497445.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_014497455.1	complete	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_014497485.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_014497505.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_014497525.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497595.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497605.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_014497635.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497655.1	complete	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_014497685.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_014497735.1	complete	1	1659189	0.9948219987108959	TRA	NC_000915.1:1459-1660648	0	1	0	0
GCA_014497745.1	empty	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_014497785.1	complete	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_014497985.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_014498555.1	empty	1	404597	0.24258960022784165	TRA	NC_000915.1:247340-651937	0	1	0	0
GCA_014498655.1	empty	2	1404827	0.8423107939981713	TRA	NC_000915.1:1459-1406286	0	2	0	0
GCA_014498675.1	partial	1	1662718	0.9969379281399428	TRA	NC_000915.1:2145-1664863	0	1	0	0
GCA_014498785.1	complete	2	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	2	0	0
GCA_015904205.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904305.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904325.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904335.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_015904375.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_015904385.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_015904435.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_015904485.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904535.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904565.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_015904575.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904605.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_015904765.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_015904775.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_015904825.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015904875.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_015905005.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015905025.1	complete	1	1663404	0.9973492422766177	TRA	NC_000915.1:1459-1664863	0	1	0	0
GCA_015905065.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_015905135.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_016124125.1	complete	3	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	3	0	0
GCA_016464485.1	complete	1	1125693	0.6749467120351356	TRA	NC_000915.1:131170-1256863	0	1	0	0
GCA_016464565.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_016464575.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120115.1	complete	1	885900	0.5311708362687931	TRA	NC_000915.1:181741-1067641	0	1	0	0
GCA_018120125.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120155.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_018120165.1	empty	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120195.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120215.1	partial	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_018120235.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120245.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120275.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120295.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_018120315.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120335.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120355.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120375.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120395.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120415.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120435.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120455.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120465.1	empty	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	1	1	0	0
GCA_018120495.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120515.1	partial	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120535.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120555.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120575.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120615.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018120645.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018120695.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121375.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_018121385.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121435.1	complete	1	1663845	0.9976136585073374	TRA	NC_000915.1:2361-1666206	0	1	0	0
GCA_018121475.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121485.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018121495.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121505.1	complete	1	1657535	0.9938302879498748	TRA	NC_000915.1:1459-1658994	0	1	0	0
GCA_018121615.1	complete	1	1664061	0.997743168497894	TRA	NC_000915.1:2145-1666206	0	1	0	0
GCA_018121655.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121695.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121705.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018121715.1	complete	1	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	1	0	0
GCA_018121755.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
GCA_018121795.1	complete	2	1664747	0.998154482634569	TRA	NC_000915.1:1459-1666206	0	2	0	0
