genome	n_markers	n_present	fraction_present	status	missing_markers
GCA_001433495.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_001901635.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001939315.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ
GCA_001939585.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001939635.1	28	27	0.9642857142857143	complete	HP0535|cagQ
GCA_001940015.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940025.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940035.1	28	27	0.9642857142857143	complete	HP0535|cagQ
GCA_001940085.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940095.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940115.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940145.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940175.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001940185.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_001997965.1	28	27	0.9642857142857143	complete	HP0521
GCA_001997995.1	28	27	0.9642857142857143	complete	HP0521
GCA_001998045.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_001998125.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0547|cagA
GCA_001998205.1	28	27	0.9642857142857143	complete	HP0521
GCA_001998245.1	28	27	0.9642857142857143	complete	HP0521
GCA_001998285.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_001998295.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_001998385.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_001998405.1	28	27	0.9642857142857143	complete	HP0521
GCA_001999865.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_002203985.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_002204015.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0547|cagA
GCA_002532615.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_002532675.1	28	27	0.9642857142857143	complete	HP0521
GCA_002533135.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_002533145.1	28	27	0.9642857142857143	complete	HP0521
GCA_002533525.1	28	27	0.9642857142857143	complete	HP0521
GCA_002534385.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_003058755.1	28	27	0.9642857142857143	complete	HP0521
GCA_003058825.1	28	28	1.0	complete	
GCA_003058845.1	28	28	1.0	complete	
GCA_003382505.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003382515.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003382545.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003636505.1	28	24	0.8571428571428571	complete	HP0521,HP0535|cagQ,HP0546|cagB,HP0547|cagA
GCA_003636905.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_003637575.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB
GCA_003637635.1	28	27	0.9642857142857143	complete	HP0521
GCA_003638135.1	28	27	0.9642857142857143	complete	HP0521
GCA_003638245.1	28	27	0.9642857142857143	complete	HP0527|cagY
GCA_003638565.1	28	27	0.9642857142857143	complete	HP0521
GCA_003639285.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_003639365.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_003639525.1	28	27	0.9642857142857143	complete	HP0521
GCA_003639545.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_003639565.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003639615.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003639675.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003639725.1	28	27	0.9642857142857143	complete	HP0521
GCA_003639795.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003639855.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_003640025.1	28	27	0.9642857142857143	complete	HP0521
GCA_003640145.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_006337265.1	28	27	0.9642857142857143	complete	HP0521
GCA_006337305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_006337325.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_006337445.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_006337745.1	28	28	1.0	complete	
GCA_006338685.1	28	27	0.9642857142857143	complete	HP0521
GCA_006338945.1	28	27	0.9642857142857143	complete	HP0521
GCA_006339065.1	28	27	0.9642857142857143	complete	HP0521
GCA_006874685.1	28	27	0.9642857142857143	complete	HP0521
GCA_008026175.1	28	27	0.9642857142857143	complete	HP0521
GCA_008026375.1	28	27	0.9642857142857143	complete	HP0521
GCA_008026615.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008026815.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_008026995.1	28	27	0.9642857142857143	complete	HP0521
GCA_008027235.1	28	27	0.9642857142857143	complete	HP0521
GCA_008027395.1	28	27	0.9642857142857143	complete	HP0521
GCA_008027775.1	28	27	0.9642857142857143	complete	HP0521
GCA_008032475.1	28	27	0.9642857142857143	complete	HP0521
GCA_008032615.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008032735.1	28	27	0.9642857142857143	complete	HP0521
GCA_008032935.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_008032955.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008032975.1	28	27	0.9642857142857143	complete	HP0521
GCA_008032995.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008033015.1	28	27	0.9642857142857143	complete	HP0546|cagB
GCA_008033035.1	28	28	1.0	complete	
GCA_008033055.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008033075.1	28	27	0.9642857142857143	complete	HP0521
GCA_008281125.1	28	27	0.9642857142857143	complete	HP0521
GCA_008681415.1	28	27	0.9642857142857143	complete	HP0521
GCA_008681425.1	28	27	0.9642857142857143	complete	HP0521
GCA_008681455.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_008681475.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_008681485.1	28	27	0.9642857142857143	complete	HP0521
GCA_008681515.1	28	27	0.9642857142857143	complete	HP0521
GCA_008681525.1	28	28	1.0	complete	
GCA_009740305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_009740315.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740405.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_009740485.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_009740495.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740525.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740575.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740685.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740705.1	28	3	0.10714285714285714	empty	HP0521,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_009740725.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740755.1	28	27	0.9642857142857143	complete	HP0527|cagY
GCA_009740785.1	28	27	0.9642857142857143	complete	HP0521
GCA_009740805.1	28	4	0.14285714285714285	empty	HP0521,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_009740815.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740855.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740865.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_009740975.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009740985.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009741025.1	28	24	0.8571428571428571	complete	HP0521,HP0527|cagY,HP0535|cagQ,HP0546|cagB
GCA_009741065.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009741085.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009741095.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_009741145.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0535|cagQ
GCA_009741165.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011140365.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011140425.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011140435.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011140475.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011140535.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011140555.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011140595.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0547|cagA
GCA_011140625.1	28	27	0.9642857142857143	complete	HP0527|cagY
GCA_011140745.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011140755.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011140795.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011140935.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_011140995.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011141035.1	28	27	0.9642857142857143	complete	HP0521
GCA_011141045.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011141095.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011141115.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011141135.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011174985.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011175015.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175035.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175045.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011175075.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB
GCA_011175085.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_011175115.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175145.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175195.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175215.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175275.1	28	27	0.9642857142857143	complete	HP0521
GCA_011175295.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175315.1	28	27	0.9642857142857143	complete	HP0521
GCA_011175325.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175335.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY
GCA_011175375.1	28	27	0.9642857142857143	complete	HP0521
GCA_011175395.1	28	27	0.9642857142857143	complete	HP0521
GCA_014496385.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_014496475.1	28	25	0.8928571428571429	complete	HP0521,HP0546|cagB,HP0547|cagA
GCA_014496775.1	28	26	0.9285714285714286	complete	HP0521,HP0547|cagA
GCA_014496885.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_014497035.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB
GCA_014497085.1	28	27	0.9642857142857143	complete	HP0521
GCA_014497195.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
GCA_014497275.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA
