query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
LRSL01000001.1	PJET01000001.1	90.2426	90.2426	0.1787	0.1789	0.30397	21	0.9739	4	inf	0.3285	90.0757	91.3693	1.0122	0.26	AlfI:89.56,AloI:90.57,BcgI:90.14,FalI:90.33	422	21	664	23	8.095238095238095	ok	90.2426	uniform
JZRA01000001.1	JADJWE010000001.1	88.4154	89.0929	0.5856	0.4935	0.12604	73	0.9866	12	11.233	0.2341	88.8908	90.9213	1.2008	1.85	AlfI:89.07,AloI:88.02,BcgI:89.22,FalI:89.14	1445	73	4564	86	13.10958904109589	ok	88.4154	gamma
LUCC01000065.1	QMXU01000001.1	94.2431	94.2431	0.2954	0.2135	0.27491	19	0.9688	4	inf	0.6000	94.4018	93.9571	0.7032	0.32	AlfI:94.02,AloI:93.78,BcgI:94.02,FalI:94.48	340	19	371	16	7.526315789473684	ok	94.2431	uniform
LUYE01000001.1	NC_017527.1	89.7303	91.9089	0.5751	0.6131	0.17150	44	0.9825	9	2.374	0.4180	91.2222	94.6704	1.6811	4.15	AlfI:90.96,AloI:92.39,BcgI:91.44,FalI:92.64	753	44	1593	29	12.454545454545455	ok	89.7303	gamma
LVBB01000001.1	JAAYBA010000016.1	93.0392	93.4177	0.4112	0.5055	0.07893	266	0.9145	211	6.985	0.5120	93.1347	94.2722	0.4313	0.48	AlfI:93.39,AloI:93.68,BcgI:93.41,FalI:93.25	3493	266	5201	32	9.488721804511279	ok	93.0392	gamma
LUZY01000001.1	NZ_CP035108.1	78.7054	85.1996	0.3593	0.3495	0.35608	9	0.9836	2	3.165	0.1216	84.7617	91.7336	1.5406	0.54	AlfI:85.18,AloI:86.06,BcgI:84.52,FalI:85.22	323	9	1194	33	14.333333333333334	BELOW_DETECTION	85.1996	uniform_fallback
CP014335.1	NZ_BCPV01000001.1	96.5077	97.8780	0.7473	0.7332	0.04366	100	0.9732	99	0.441	0.8645	96.6654	98.5691	0.2437	0.76	AlfI:97.83,AloI:97.68,BcgI:97.93,FalI:97.85	4078	100	4787	223	36.93	ok	96.5077	gamma
LSMY01000004.1	LSMX01000004.1	87.9278	87.9278	0.6266	0.5814	0.49505	7	0.9583	3	inf	0.2326	87.6415	90.6902	7.1494	1.25	AlfI:88.71,AloI:89.38,BcgI:82.23,FalI:87.89	124	7	376	22	10.857142857142858	ok	87.9278	uniform
LVZN01000001.1	NZ_SODD01000001.1	91.2369	93.7433	0.0553	0.0570	0.43631	10	0.9737	2	1.297	0.5600	92.8379	95.7516	2.1004	0.70	AlfI:93.38,AloI:92.58,BcgI:94.68,FalI:93.84	218	10	180	14	8.4	INCONSISTENT	91.2369	gamma
MAGU01000001.1	MAGT01000001.1	88.8062	88.8062	0.4241	0.3988	0.27233	17	1.0000	0	inf	0.2315	88.6276	91.1096	4.1464	6.48	AlfI:87.54,AloI:91.68,BcgI:88.40,FalI:89.49	328	17	1043	23	10.117647058823529	ok	88.8062	uniform
MEKM01000001.1	DSPT01000076.1	95.3279	95.8626	0.2424	0.3978	0.16763	44	0.9887	3	2.516	0.7105	95.3584	96.5016	0.9671	1.71	AlfI:96.34,AloI:95.37,BcgI:95.58,FalI:96.26	527	44	660	18	6.9772727272727275	ok	95.3279	gamma
MELI01000001.1	JAGXSZ010000001.1	90.7030	91.1947	0.6007	0.4627	0.16727	50	0.9957	2	9.312	0.3625	90.9301	92.5628	0.6224	0.74	AlfI:90.93,AloI:91.43,BcgI:91.37,FalI:90.81	683	50	1789	37	10.16	ok	90.7030	gamma
MEQB01000001.1	MEPW01000001.1	88.1475	88.1475	0.0607	0.1329	0.65782	5	1.0000	0	inf	0.2308	87.8801	91.0034	5.2996	1.93	AlfI:85.45,AloI:83.99,BcgI:86.46,FalI:89.29	173	5	205	10	7.2	INCONSISTENT	88.1475	uniform
MEUD01000001.1	JAHJKL010000012.1	81.8853	87.0629	0.1885	0.1904	0.52787	7	0.8983	6	2.948	0.1749	86.5445	92.0732	3.5905	1.90	AlfI:89.25,AloI:88.03,BcgI:87.11,FalI:85.66	250	7	388	13	8.571428571428571	BELOW_DETECTION	87.0629	uniform_fallback
MFAC01000001.1	PFAA01000050.1	92.8883	92.8883	0.1628	0.1105	0.69610	1	1.0000	0	inf	0.5075	94.0557	89.1628	5.7104	0.72	AlfI:87.69,AloI:91.29,BcgI:92.49,FalI:93.40	62	1	71	5	5	ok	92.8883	uniform
MFCJ01000001.1	CADEFK010000001.1	91.0957	91.4915	0.3963	0.3362	0.20628	35	1.0000	0	10.163	0.3831	91.2816	92.5040	1.5224	2.62	AlfI:90.93,AloI:91.75,BcgI:91.88,FalI:90.36	604	35	1120	13	7.2	ok	91.0957	gamma
MFMW01000001.1	PFHP01000028.1	93.0928	93.0928	0.1259	0.1419	0.67379	1	1.0000	0	inf	0.5042	93.3065	92.2820	3.9584	0.36	AlfI:93.96,AloI:90.01,BcgI:92.76,FalI:92.81	85	1	75	6	6	INCONSISTENT	93.0928	uniform
MGBT01000001.1	JACPIQ010000003.1	90.9411	91.7064	0.3292	0.3168	0.13911	75	0.9873	8	5.962	0.3919	91.3683	93.4530	2.1069	10.88	AlfI:91.98,AloI:91.65,BcgI:91.18,FalI:93.28	1304	75	2375	27	9.266666666666667	ok	90.9411	gamma
MGBV01000001.1	JACOVB010000014.1	94.0205	94.0205	0.1104	0.1781	0.18323	38	0.9727	6	inf	0.5622	93.9246	94.3239	1.5878	3.82	AlfI:94.26,AloI:94.03,BcgI:93.57,FalI:95.16	902	38	842	13	6.631578947368421	INCONSISTENT	94.0205	uniform
MGBV01000001.1	JACPIQ010000003.1	92.8767	93.6325	0.5280	0.4684	0.09333	141	0.9908	13	3.817	0.5307	93.1290	95.0657	1.8577	17.23	AlfI:93.20,AloI:94.08,BcgI:93.35,FalI:95.06	2049	141	3664	48	10.936170212765957	ok	92.8767	gamma
MGCF01000001.1	JACPCH010000132.1	90.1411	90.1411	0.1715	0.2217	0.22450	34	0.9775	5	inf	0.2915	90.0953	90.7478	4.4093	8.49	AlfI:88.38,AloI:89.87,BcgI:90.08,FalI:92.79	678	34	1180	14	7.382352941176471	ok	90.1411	uniform
MGCE01000001.1	MGCF01000001.1	91.2469	91.6266	0.5705	0.3540	0.13900	75	0.9961	2	10.464	0.3813	91.3599	93.0065	2.1572	5.18	AlfI:91.49,AloI:91.13,BcgI:91.52,FalI:93.29	1036	75	2372	17	7.786666666666667	ok	91.2469	gamma
MGMG01000001.1	SLTK01000002.1	92.1340	92.8687	0.7791	0.6883	0.10153	104	0.9883	17	4.741	0.4717	92.4819	94.1938	0.4469	1.21	AlfI:93.15,AloI:92.71,BcgI:92.72,FalI:92.94	1662	104	3550	52	14.759615384615385	ok	92.1340	gamma
MGPQ01000001.1	JACPGB010000046.1	88.7079	89.7198	0.5134	0.4825	0.18506	38	0.9530	24	6.985	0.2874	89.4199	91.7681	1.2954	1.38	AlfI:88.77,AloI:90.06,BcgI:89.98,FalI:89.41	696	38	1945	45	13.81578947368421	ok	88.7079	gamma
MGSI01000001.1	JACPSF010000036.1	96.5951	96.8453	0.6080	0.2215	0.08782	131	0.9786	23	3.258	0.7893	96.4839	97.1384	0.3758	1.03	AlfI:96.76,AloI:96.78,BcgI:96.99,FalI:96.61	1476	131	1741	30	9.038167938931299	ok	96.5951	gamma
MGSR01000001.1	JACPDC010000044.1	96.3792	96.5469	0.4548	0.2619	0.10763	100	0.9911	6	5.239	0.7659	96.2981	96.7719	1.2685	3.56	AlfI:96.34,AloI:95.56,BcgI:96.83,FalI:96.37	1200	100	1266	23	7.67	ok	96.3792	gamma
MGTZ01000001.1	MGUG01000001.1	86.2320	89.1018	0.3216	0.3091	0.22857	24	0.9891	3	3.454	0.2479	88.6562	92.5879	1.1357	0.73	AlfI:89.51,AloI:88.38,BcgI:89.03,FalI:89.08	592	24	1431	28	12.333333333333334	ok	86.2320	gamma
MGVW01000001.1	MGWC01000001.1	89.3194	90.4490	0.5203	0.4352	0.20113	43	0.9665	12	5.624	0.3175	90.1244	92.7195	1.9834	5.21	AlfI:90.22,AloI:91.83,BcgI:89.85,FalI:91.08	522	43	1444	28	9.046511627906977	ok	89.3194	gamma
MHDU01000001.1	JACREW010000068.1	94.1021	94.1021	0.1153	0.1395	0.24666	28	0.9667	5	inf	0.5727	93.8862	94.6295	1.1137	0.58	AlfI:94.44,AloI:94.87,BcgI:94.01,FalI:93.76	608	28	466	11	6.178571428571429	INCONSISTENT	94.1021	uniform
MHEE01000001.1	DOHC01000156.1	94.4293	94.4293	0.0472	0.0544	0.40545	17	0.8876	10	inf	0.6060	94.7142	93.8648	1.9003	1.37	AlfI:94.04,AloI:93.79,BcgI:93.49,FalI:95.39	451	17	156	9	5.647058823529412	INCONSISTENT	94.4293	uniform
MHGN01000001.1	MHHA01000001.1	93.3675	93.3675	0.2244	0.3262	0.32534	15	0.9877	1	inf	0.5278	92.9026	94.5316	2.1963	2.76	AlfI:94.86,AloI:93.51,BcgI:93.06,FalI:92.66	247	15	328	11	6.333333333333333	ok	93.3675	uniform
MHTS01000001.1	JACOZJ010000004.1	89.5256	91.6292	0.6501	0.4556	0.32109	12	1.0000	0	2.623	0.4028	90.9505	94.4023	1.3024	0.75	AlfI:92.50,AloI:91.30,BcgI:91.20,FalI:91.65	178	12	475	24	11.75	ok	89.5256	gamma
MHYW01000001.1	JACQVQ010000002.1	93.9146	94.8940	0.6840	0.5368	0.15283	61	0.9975	1	2.086	0.6456	94.1719	96.0800	0.4036	0.35	AlfI:94.88,AloI:94.93,BcgI:94.62,FalI:95.02	741	61	1117	16	7.639344262295082	ok	93.9146	gamma
MIBD01000001.1	JABLXV010000001.1	92.4744	92.8110	0.5793	0.4179	0.14748	62	0.9919	4	8.675	0.4770	92.5329	93.7536	2.0898	6.66	AlfI:92.05,AloI:93.59,BcgI:92.83,FalI:91.50	946	62	1754	31	8.85483870967742	ok	92.4744	gamma
MNYC01000059.1	LBVV01000001.1	89.1445	89.1445	0.2200	0.1864	0.59546	2	1.0000	0	inf	0.2728	89.1529	89.2522	4.7923	1.20	AlfI:86.49,AloI:84.88,BcgI:89.68,FalI:89.64	100	2	205	6	5.5	INCONSISTENT	89.1445	uniform
MNYH01000075.1	MGPO01000001.1	90.7144	90.7144	0.3604	0.4286	0.19313	47	0.9764	10	inf	0.3394	90.5424	91.9233	1.6483	3.67	AlfI:90.48,AloI:91.04,BcgI:90.15,FalI:91.80	661	47	1497	24	9.808510638297872	ok	90.7144	uniform
MNYH01000075.1	QYPW01000132.1	92.7478	92.7478	0.2113	0.3253	0.20050	52	0.9525	18	inf	0.4720	92.7508	92.8157	1.1559	0.90	AlfI:91.96,AloI:93.12,BcgI:92.57,FalI:93.06	678	52	936	18	7.9423076923076925	ok	92.7478	uniform
MIYU01000001.1	DAHL01000021.1	91.5628	91.5628	0.4548	0.4918	0.35604	12	0.9774	3	inf	0.4050	91.2796	92.9193	2.2946	1.49	AlfI:93.05,AloI:90.75,BcgI:90.84,FalI:91.84	185	12	385	26	11.833333333333334	ok	91.5628	uniform
MPOY01000017.1	JAGVUK010000243.1	92.7811	93.1295	0.2134	0.2590	0.17731	42	0.9871	3	7.948	0.4915	92.8546	94.0855	1.0709	1.39	AlfI:92.83,AloI:93.90,BcgI:93.00,FalI:93.02	818	42	1106	13	6.476190476190476	ok	92.7811	gamma
MNCR01000031.1	QHTD01000191.1	92.0116	92.0116	0.3578	0.2433	0.16692	68	0.9704	13	inf	0.4105	91.8430	92.7744	2.2758	3.22	AlfI:91.71,AloI:90.73,BcgI:92.05,FalI:93.01	943	68	1524	19	7.264705882352941	ok	92.0116	uniform
MNDB01000005.1	VAWH01000036.1	88.2185	89.6977	0.3341	0.2227	0.26357	18	1.0000	0	5.395	0.2679	89.3839	92.3277	4.0629	6.71	AlfI:88.54,AloI:88.37,BcgI:89.59,FalI:92.43	361	18	949	16	7.277777777777778	ok	88.2185	gamma
MNDG01000112.1	MNGW01000128.1	91.0441	91.0441	0.2703	0.2633	0.19662	45	0.9896	3	inf	0.3489	90.9025	91.8083	1.6324	2.72	AlfI:91.88,AloI:90.91,BcgI:90.82,FalI:90.25	653	45	1314	13	7.333333333333333	ok	91.0441	uniform
MNRZ01000053.1	URFB01000001.1	93.3724	96.0117	0.0589	0.0823	0.42454	9	0.9778	1	0.650	0.7367	94.5350	97.6067	1.7118	0.21	AlfI:95.92,AloI:94.93,BcgI:96.64,FalI:96.04	186	9	118	8	5.888888888888889	INCONSISTENT	93.3724	gamma
MNEG01000074.1	QHTB01000081.1	91.2701	91.5665	0.6375	0.4446	0.09793	142	0.9837	25	12.260	0.3774	91.3643	92.7579	2.5053	24.43	AlfI:91.39,AloI:91.83,BcgI:91.24,FalI:93.74	2079	142	4805	35	11.633802816901408	ok	91.2701	gamma
MNEL01000027.1	QHTK01000045.1	89.1930	89.1930	0.5375	0.3730	0.17055	43	0.9785	11	inf	0.2401	89.0500	90.7481	1.2673	1.26	AlfI:88.88,AloI:89.65,BcgI:89.11,FalI:90.15	768	43	2448	48	12.651162790697674	ok	89.1930	uniform
MNGO01000055.1	VBBR01000177.1	91.2898	91.2898	0.2698	0.1593	0.30464	21	0.9923	1	inf	0.3761	91.0603	92.3840	1.3522	0.72	AlfI:90.28,AloI:90.73,BcgI:91.63,FalI:91.37	317	21	539	18	7.142857142857143	ok	91.2898	uniform
MNIR01000087.1	MNEL01000027.1	88.9192	88.9192	0.3511	0.4325	0.19888	33	0.9888	4	inf	0.2277	88.8679	89.6208	1.7600	2.07	AlfI:89.11,AloI:89.36,BcgI:88.62,FalI:90.38	592	33	1882	31	11.666666666666666	ok	88.9192	uniform
MNIR01000087.1	QHUM01000011.1	88.8068	88.8068	0.4428	0.3800	0.18086	51	0.9789	9	inf	0.2220	88.6972	90.0177	1.3181	0.97	AlfI:88.50,AloI:88.54,BcgI:88.84,FalI:89.82	722	51	2331	29	9.196078431372548	ok	88.8068	uniform
MTMG01000017.1	QMVI01000001.1	95.5572	95.5572	0.3773	0.5908	0.18319	55	0.8985	40	inf	0.6930	95.6174	95.4738	0.8397	0.86	AlfI:96.14,AloI:95.56,BcgI:95.30,FalI:95.56	493	55	592	24	7.4363636363636365	ok	95.5572	uniform
MWLD01000056.1	NZ_JENA01000001.1	92.2333	92.2333	0.1095	0.0986	0.40429	11	0.9811	1	inf	0.4314	92.5027	90.8436	1.6926	0.42	AlfI:92.57,AloI:90.87,BcgI:92.12,FalI:92.41	295	11	242	8	5.7272727272727275	INCONSISTENT	92.2333	uniform
MVQN01000001.1	MVRT01000001.1	89.2622	89.9809	0.1605	0.1425	0.27979	19	1.0000	0	8.675	0.2998	89.7278	91.6257	0.7275	0.28	AlfI:90.32,AloI:90.13,BcgI:90.08,FalI:89.60	763	19	807	9	5.947368421052632	INCONSISTENT	89.2622	gamma
MVZQ01000001.1	JAAYWH010000058.1	93.6655	94.2467	0.4155	0.4958	0.13746	71	0.9917	4	4.097	0.5823	93.7415	95.2987	0.7380	1.07	AlfI:94.18,AloI:94.16,BcgI:94.46,FalI:93.72	1005	71	1501	26	7.746478873239437	ok	93.6655	gamma
