query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate
GCA_000220865.1	GCF_000227275.1	96.6326	97.2769	0.9052	0.9411	0.05312	30	0.9941	18	1.224	0.8198	96.4512	97.8747	0.7671	5.38	AlfI:97.51,AloI:97.54,BcgI:97.18,FalI:96.78	3290	30	4118	426	102.66666666666667	ok	96.6326	gamma
GCA_000220865.1	GCF_000260655.1	97.3038	97.6074	0.7857	0.8169	0.04986	158	0.9530	145	1.781	0.8442	97.1646	97.8759	0.5688	3.49	AlfI:97.78,AloI:97.84,BcgI:97.53,FalI:97.27	3404	158	3842	114	19.620253164556964	ok	97.3038	gamma
GCA_000220865.1	GCF_001815675.1	96.9279	97.4056	0.8708	0.8663	0.05164	73	0.9800	62	1.434	0.8294	96.7332	97.8619	0.4070	1.61	AlfI:97.49,AloI:97.65,BcgI:97.34,FalI:97.25	3279	73	4043	266	42.61643835616438	ok	96.9279	gamma
GCA_000220865.1	GCF_014054945.1	96.8750	97.3892	0.9475	0.9649	0.05061	29	0.9957	14	1.375	0.8282	96.6685	97.8813	0.6469	2.92	AlfI:97.50,AloI:97.68,BcgI:97.34,FalI:97.03	3516	29	4262	733	113.41379310344827	ok	96.8750	gamma
GCA_000247545.1	GCF_000016385.1	95.5424	96.9950	0.7674	0.8841	0.09140	20	0.9841	19	0.709	0.8022	95.7623	98.0022	0.3407	1.06	AlfI:97.14,AloI:97.08,BcgI:96.81,FalI:97.15	1268	20	1690	265	59.75	ok	95.5424	gamma
GCA_000257205.1	GCF_001989995.2	96.8980	97.4275	0.7905	0.6843	0.05462	147	0.9916	22	1.260	0.8333	96.7364	97.8842	0.2846	1.74	AlfI:97.27,AloI:97.54,BcgI:97.55,FalI:97.36	3022	147	3637	80	18.64625850340136	ok	96.8980	gamma
GCA_000283635.1	GCA_900478025.1	94.9719	96.0034	0.8407	0.9072	0.09777	13	0.9912	12	1.392	0.7331	95.0788	97.0378	0.4851	0.82	AlfI:96.21,AloI:95.99,BcgI:95.73,FalI:96.05	1402	13	2069	457	104.38461538461539	ok	94.9719	gamma
GCA_000283635.1	GCF_002000985.1	97.2948	97.7823	0.8010	0.8428	0.06869	16	0.9908	15	1.044	0.8608	97.1188	98.1521	0.4198	2.65	AlfI:97.68,AloI:98.06,BcgI:98.08,FalI:97.66	1676	16	2024	459	101.75	ok	97.2948	gamma
GCA_000283635.1	GCF_003337175.1	95.6409	96.3755	0.6222	0.6054	0.10085	60	0.9505	59	1.565	0.7608	95.6377	97.0927	0.4820	0.72	AlfI:96.12,AloI:96.48,BcgI:96.60,FalI:96.34	1286	60	1695	59	19.866666666666667	ok	95.6409	gamma
GCA_000336895.1	GCF_014647415.1	94.8558	96.1853	0.8661	0.8608	0.05786	42	0.9936	22	1.075	0.7338	95.1768	97.3413	0.4856	1.50	AlfI:95.90,AloI:96.39,BcgI:96.18,FalI:96.21	3558	42	5340	388	82.85714285714286	ok	94.8558	gamma
GCA_000383735.1	GCA_905181965.1	98.3048	98.6758	0.3226	0.2972	0.06347	47	0.9856	15	0.538	0.9183	98.1681	98.8708	0.5654	2.50	AlfI:98.27,AloI:98.71,BcgI:98.83,FalI:98.58	1163	47	1261	98	22.914893617021278	ok	98.3048	gamma
GCA_000384495.1	GCA_003213625.1	95.6864	96.6300	0.6663	0.3932	0.21573	12	0.9956	1	1.140	0.7807	95.7065	97.4439	1.9173	1.98	AlfI:97.68,AloI:96.00,BcgI:95.76,FalI:96.78	271	12	352	61	19.75	ok	95.6864	gamma
GCA_000384495.1	GCA_902619825.1	95.1748	95.9571	0.6465	0.3851	0.24150	12	1.0000	0	1.781	0.7316	95.1618	96.8475	0.7475	0.34	AlfI:96.20,AloI:95.72,BcgI:95.46,FalI:96.09	252	12	345	54	18.166666666666668	ok	95.1748	gamma
GCA_000434835.1	GCA_900547225.1	95.0268	96.6548	0.7287	0.7464	0.16220	23	0.9895	4	0.739	0.7846	95.3590	97.7702	0.3030	0.07	AlfI:96.73,AloI:96.55,BcgI:96.85,FalI:96.63	482	23	646	73	17.347826086956523	ok	95.0268	gamma
GCA_000440235.1	GCA_002831545.1	95.0027	96.5884	0.6811	0.7006	0.09212	61	0.9876	16	0.761	0.7743	95.4176	97.6680	0.9907	3.87	AlfI:96.95,AloI:95.96,BcgI:96.23,FalI:96.75	1526	61	1954	92	21.852459016393443	ok	95.0027	gamma
GCA_000445185.1	GCA_003722315.1	95.9631	97.6034	0.6738	0.6996	0.08447	65	0.9941	6	0.441	0.8496	96.2899	98.4202	0.7491	1.87	AlfI:97.90,AloI:97.60,BcgI:97.15,FalI:97.63	1352	65	1585	61	16.43076923076923	ok	95.9631	gamma
GCA_000445185.1	GCF_000019085.1	94.4323	97.1668	0.5976	0.6836	0.10092	61	0.9882	10	0.392	0.8196	95.5314	98.3900	0.4204	0.49	AlfI:96.98,AloI:97.39,BcgI:96.97,FalI:97.23	1103	61	1409	66	14.754098360655737	ok	94.4323	gamma
GCA_000445185.1	GCF_000147695.2	95.3296	97.0342	0.6563	0.6733	0.09660	62	0.9947	5	0.588	0.8102	95.7260	98.0388	0.8815	1.58	AlfI:97.30,AloI:97.56,BcgI:96.67,FalI:97.01	1230	62	1561	72	16.112903225806452	ok	95.3296	gamma
GCA_000484975.1	GCA_013390905.1	96.1535	96.6704	0.7588	0.6361	0.15451	31	0.9882	5	1.911	0.7821	95.9738	97.2984	1.2092	2.61	AlfI:96.08,AloI:96.60,BcgI:95.78,FalI:96.99	515	31	662	55	14.548387096774194	ok	96.1535	gamma
GCA_000508865.1	GCF_000686665.1	96.2082	96.6812	0.5316	0.5371	0.11881	71	0.9882	7	1.911	0.7831	96.1561	97.1657	1.1949	4.75	AlfI:96.32,AloI:96.79,BcgI:95.82,FalI:97.01	962	71	1084	31	9.267605633802816	ok	96.2082	gamma
GCA_000634735.1	GCA_902618795.1	95.8959	96.2275	0.4833	0.6892	0.15890	28	0.9680	15	3.355	0.7523	95.7368	96.7211	1.2653	1.14	AlfI:96.55,AloI:95.28,BcgI:95.73,FalI:96.33	563	28	708	56	17.214285714285715	ok	95.8959	gamma
GCA_000635495.1	GCA_003213375.1	95.8242	96.4203	0.4734	0.6900	0.15714	36	0.9439	27	1.888	0.7663	95.6821	97.1126	1.0296	0.90	AlfI:96.12,AloI:95.54,BcgI:96.35,FalI:96.57	565	36	698	38	13.61111111111111	ok	95.8242	gamma
GCA_000635495.1	GCA_902525075.1	96.0277	96.4364	0.6717	0.7759	0.13159	25	0.9763	16	2.444	0.7670	95.9535	96.9038	1.5932	4.44	AlfI:96.10,AloI:95.17,BcgI:95.71,FalI:96.76	756	25	965	138	27.4	ok	96.0277	gamma
GCA_000695745.1	GCF_900089835.1	97.3748	97.7806	0.4517	0.3948	0.05137	237	1.0000	0	1.260	0.8589	97.1541	98.1348	0.2221	0.64	AlfI:97.78,AloI:97.93,BcgI:97.71,FalI:97.85	3155	237	3472	20	6.810126582278481	ok	97.3748	gamma
GCA_000717735.1	GCF_000725545.1	97.2316	97.7747	0.8113	0.8531	0.02905	157	0.9945	47	1.002	0.8557	97.0387	98.2049	0.9739	31.17	AlfI:97.52,AloI:97.55,BcgI:97.79,FalI:98.50	8932	157	10816	306	54.99363057324841	ok	97.2316	gamma
GCA_000747625.2	GCA_000753945.1	97.4874	97.9584	0.1730	0.3281	0.10279	69	0.9633	19	0.973	0.8709	97.2563	98.3309	0.5882	1.17	AlfI:98.02,AloI:98.30,BcgI:97.71,FalI:98.08	915	69	800	18	8.231884057971014	ok	97.4874	gamma
GCA_000761495.1	GCA_002367455.1	95.9217	97.3468	0.5478	0.7231	0.06380	160	0.9484	107	0.588	0.8267	96.1601	98.1914	0.5168	1.41	AlfI:97.49,AloI:96.97,BcgI:97.25,FalI:97.40	2339	160	2911	67	13.28125	ok	95.9217	gamma
GCA_000761495.1	GCF_000487975.1	95.6711	97.1264	0.7228	0.8656	0.05995	66	0.9969	8	0.650	0.8106	95.9441	98.0468	0.2997	0.66	AlfI:97.17,AloI:97.33,BcgI:97.03,FalI:97.19	2777	66	3630	192	39.42424242424242	ok	95.6711	gamma
GCA_000761495.1	GCF_011058205.1	96.3080	97.3299	0.6429	0.7137	0.05879	124	0.9713	70	0.761	0.8256	96.3532	98.0200	0.1887	0.65	AlfI:97.43,AloI:97.37,BcgI:97.24,FalI:97.32	2796	124	3373	73	20.096774193548388	ok	96.3080	gamma
GCA_000761495.1	GCF_014769185.1	96.2200	97.5590	0.6907	0.7741	0.05519	93	0.9872	33	0.554	0.8424	96.3643	98.3380	0.2573	0.49	AlfI:97.64,AloI:97.39,BcgI:97.54,FalI:97.51	2864	93	3535	156	28.268817204301076	ok	96.2200	gamma
GCA_000761495.1	GCF_015602705.1	95.8281	97.0696	0.6744	0.8815	0.06201	59	0.9955	11	0.761	0.8062	95.9838	97.9292	0.1996	0.59	AlfI:97.18,AloI:96.98,BcgI:97.01,FalI:97.01	2550	59	3427	193	41.83050847457627	ok	95.8281	gamma
GCA_000814665.1	GCF_000238315.3	96.3544	96.8166	0.8831	0.9129	0.04682	47	0.9943	27	1.968	0.7892	96.2017	97.3343	0.2949	2.58	AlfI:96.89,AloI:96.73,BcgI:96.65,FalI:96.95	5038	47	6368	646	100.61702127659575	ok	96.3544	gamma
GCA_000814665.1	GCF_002289345.1	95.5130	96.0045	0.8144	0.8335	0.05508	101	0.9803	80	2.623	0.7266	95.4353	96.6680	0.5905	4.37	AlfI:96.15,AloI:95.58,BcgI:95.76,FalI:96.17	4459	101	6012	149	40.37623762376238	ok	95.5130	gamma
GCA_000814665.1	GCF_002850255.1	95.4700	96.4163	0.8601	0.8916	0.05170	47	0.9936	27	1.297	0.7587	95.4940	97.3418	0.3746	0.69	AlfI:96.35,AloI:96.73,BcgI:96.39,FalI:96.48	4602	47	6230	606	90.85106382978724	ok	95.4700	gamma
GCA_000814665.1	GCF_016695175.1	95.7436	96.4187	0.9017	0.9169	0.05017	44	0.9949	23	1.729	0.7588	95.6520	97.1780	0.4648	2.53	AlfI:96.59,AloI:96.12,BcgI:96.27,FalI:96.46	4840	44	6487	556	103.43181818181819	ok	95.7436	gamma
GCA_000824845.1	GCF_003952425.1	96.1006	96.5074	0.7663	0.7435	0.03403	196	0.9941	54	2.591	0.7605	95.9563	97.0503	0.2985	1.53	AlfI:96.60,AloI:96.31,BcgI:96.48,FalI:96.59	9529	196	12978	336	47.357142857142854	ok	96.1006	gamma
GCA_001067655.1	GCF_000227275.1	95.5750	96.2769	0.8040	0.8441	0.06436	213	0.9978	5	1.781	0.7421	95.5485	97.0698	1.7981	12.61	AlfI:96.49,AloI:97.05,BcgI:96.18,FalI:95.25	2902	213	4025	69	11.765258215962442	ok	95.5750	gamma
GCA_001067655.1	GCF_000260655.1	96.1904	96.6006	0.6830	0.7369	0.06385	240	0.9837	35	2.444	0.7676	96.0660	97.1084	1.3022	5.87	AlfI:96.67,AloI:97.18,BcgI:96.56,FalI:95.88	2914	240	3585	41	9.804166666666667	ok	96.1904	gamma
GCA_001067655.1	GCF_001809325.1	95.8202	96.5453	0.7453	0.7646	0.06296	212	0.9929	16	1.520	0.7634	95.8176	97.2574	1.6029	9.96	AlfI:96.77,AloI:97.07,BcgI:96.49,FalI:95.47	2931	212	3844	58	11.49056603773585	ok	95.8202	gamma
GCA_001067655.1	GCF_001815675.1	95.9464	96.6045	0.7685	0.7971	0.06197	213	0.9961	9	1.680	0.7681	95.8232	97.3471	1.4004	7.02	AlfI:96.69,AloI:97.06,BcgI:96.63,FalI:95.66	2910	213	3909	67	11.67605633802817	ok	95.9464	gamma
GCA_001264245.1	GCA_002282935.1	95.9486	96.6259	0.3107	0.3926	0.09018	142	0.8926	141	1.565	0.7732	95.8907	97.2832	1.4595	6.72	AlfI:96.25,AloI:95.48,BcgI:96.94,FalI:96.40	2725	142	1863	42	9.253521126760564	INCONSISTENT	95.9486	gamma
GCA_001264245.1	GCA_007095785.1	95.6554	96.5988	0.4297	0.4899	0.07923	163	0.9084	162	1.224	0.7714	95.6619	97.4594	1.3004	7.73	AlfI:96.28,AloI:95.61,BcgI:96.91,FalI:96.34	3109	163	2496	57	10.85276073619632	ok	95.6554	gamma
GCA_001264245.1	GCF_000010625.1	94.0579	96.4242	0.6899	0.6960	0.07004	112	0.9509	111	0.650	0.7581	94.9359	97.9116	1.1099	18.92	AlfI:95.90,AloI:95.81,BcgI:96.89,FalI:95.78	3904	112	3617	92	20.178571428571427	ok	94.0579	gamma
GCA_001264245.1	GCF_014696875.1	96.8355	97.3923	0.3075	0.3368	0.07627	167	0.8858	166	1.224	0.8303	96.7168	97.8218	1.5885	10.33	AlfI:97.76,AloI:96.17,BcgI:97.66,FalI:96.89	3354	167	1890	34	8.706586826347305	INCONSISTENT	96.8355	gamma
GCA_001264245.1	GCF_015206885.1	96.5509	97.2169	0.2871	0.3396	0.08245	155	0.8832	154	1.189	0.8174	96.4315	97.7721	1.1009	4.97	AlfI:97.14,AloI:96.36,BcgI:97.46,FalI:96.94	3133	155	1777	59	8.509677419354839	INCONSISTENT	96.5509	gamma
GCA_001411745.2	GCA_018448495.1	96.4179	97.1532	0.8508	0.8942	0.05784	26	0.9953	13	1.140	0.8132	96.3055	97.7840	1.2241	3.62	AlfI:97.27,AloI:96.04,BcgI:97.25,FalI:96.88	2796	26	3696	350	106	ok	96.4179	gamma
GCA_001411745.2	GCA_904846265.1	96.5103	97.2475	0.8396	0.8586	0.05684	41	0.9899	28	1.075	0.8202	96.3912	97.8626	0.9193	1.24	AlfI:97.30,AloI:96.38,BcgI:97.29,FalI:97.15	2805	41	3683	268	67.73170731707317	ok	96.5103	gamma
GCA_001411745.2	GCF_000586475.1	96.5057	97.2282	0.8422	0.8794	0.05705	42	0.9895	29	1.107	0.8188	96.3973	97.8238	1.1322	7.72	AlfI:97.43,AloI:96.30,BcgI:97.36,FalI:96.74	2809	42	3670	289	65.95238095238095	ok	96.5057	gamma
GCA_001411745.2	GCF_001435295.1	96.7171	97.3263	0.8553	0.8733	0.05528	25	0.9958	12	1.189	0.8261	96.5794	97.8387	0.8192	1.12	AlfI:97.36,AloI:96.56,BcgI:97.38,FalI:97.22	2877	25	3714	324	114.2	ok	96.7171	gamma
GCA_001411745.2	GCF_003148585.1	96.5973	97.2669	0.8312	0.9090	0.05686	43	0.9891	30	1.140	0.8217	96.4822	97.8231	0.9711	2.48	AlfI:97.35,AloI:96.38,BcgI:97.35,FalI:97.05	2770	43	3621	193	64.09302325581395	ok	96.5973	gamma
GCA_001512555.1	GCA_012518025.1	95.5023	96.4378	0.6207	0.6554	0.10181	89	0.9797	18	1.189	0.7593	95.7265	97.1336	0.3109	0.47	AlfI:96.63,AloI:96.34,BcgI:96.46,FalI:96.32	1309	89	1587	47	10.775280898876405	ok	95.5023	gamma
GCA_001543015.1	GCA_002317795.1	95.1000	96.5669	0.5566	0.6219	0.15860	35	0.9748	10	0.831	0.7751	95.3692	97.6690	1.4474	1.95	AlfI:96.33,AloI:97.22,BcgI:95.77,FalI:96.56	548	35	690	42	12.057142857142857	ok	95.1000	gamma
GCA_001610955.1	GCF_001908025.1	96.4804	97.3877	0.7926	0.7744	0.04733	109	0.9719	107	0.841	0.8293	96.4174	98.0532	0.3333	3.34	AlfI:97.24,AloI:97.19,BcgI:97.52,FalI:97.20	4189	109	5061	137	35.00917431192661	ok	96.4804	gamma
GCA_001627925.1	GCA_002457055.1	95.9846	96.2701	0.7091	0.7938	0.09579	65	0.9884	14	3.707	0.7483	95.8896	96.6721	0.6955	1.05	AlfI:96.19,AloI:95.74,BcgI:96.25,FalI:96.43	1342	65	1822	109	19.307692307692307	ok	95.9846	gamma
GCA_001704065.1	GCA_902609705.1	95.6932	96.6639	0.4343	0.5559	0.19392	29	0.9591	11	1.075	0.7823	95.7522	97.4878	1.4378	1.64	AlfI:96.16,AloI:97.37,BcgI:95.93,FalI:96.85	371	29	428	22	9.89655172413793	ok	95.6932	gamma
GCA_001704065.1	GCA_902618565.1	96.3955	97.0867	0.4620	0.5848	0.17267	25	0.9736	8	1.140	0.8123	96.3718	97.6145	0.5903	0.34	AlfI:96.73,AloI:96.95,BcgI:97.32,FalI:97.14	390	25	447	30	12.8	ok	96.3955	gamma
GCA_001704275.1	GCF_016917755.1	97.3994	97.9314	0.8004	0.8400	0.02574	69	0.9934	68	0.918	0.8668	97.1870	98.3376	0.7560	19.20	AlfI:97.90,AloI:97.81,BcgI:97.90,FalI:98.56	10864	69	12620	1317	148.8985507246377	ok	97.3994	gamma
GCA_001770325.1	GCA_016199545.1	96.4442	97.1412	0.5005	0.4637	0.04850	293	0.9784	76	1.189	0.8092	96.3555	97.7430	0.2710	0.69	AlfI:97.19,AloI:96.97,BcgI:97.16,FalI:96.92	4175	293	5164	57	12.761092150170649	ok	96.4442	gamma
GCA_001830835.1	GCA_018819165.1	97.3452	97.4819	0.2917	0.4395	0.09245	103	0.9540	39	3.601	0.8356	97.3328	97.5831	0.5794	2.01	AlfI:97.62,AloI:97.90,BcgI:97.32,FalI:97.42	1225	103	1193	44	8.844660194174757	ok	97.3452	gamma
GCA_001896545.1	GCF_000328765.2	95.1877	96.2614	0.7791	0.7492	0.09536	56	0.9926	9	1.189	0.7503	95.3763	97.1720	0.4767	1.50	AlfI:96.59,AloI:96.57,BcgI:96.20,FalI:96.12	1411	56	1966	119	22.678571428571427	ok	95.1877	gamma
GCA_001919715.1	GCA_003225295.1	96.1976	96.5343	0.7499	0.3870	0.05248	232	0.9921	29	2.948	0.7634	96.0850	96.9702	0.0787	0.05	AlfI:96.53,AloI:96.56,BcgI:96.54,FalI:96.49	4127	232	5414	74	16.74137931034483	ok	96.1976	gamma
GCA_002067325.1	GCA_002495625.1	95.3764	96.6446	0.6870	0.6249	0.12278	57	0.9940	3	0.918	0.7775	95.5331	97.6462	0.8087	1.82	AlfI:96.85,AloI:97.09,BcgI:96.28,FalI:96.55	794	57	1089	27	9.789473684210526	ok	95.3764	gamma
GCA_002082305.1	GCA_902513935.1	95.7232	96.2616	0.3496	0.5277	0.12281	67	0.9811	13	2.148	0.7469	95.6794	96.8707	0.3378	0.47	AlfI:96.12,AloI:96.23,BcgI:96.16,FalI:96.46	896	67	1141	41	11.08955223880597	ok	95.7232	gamma
GCA_002083405.1	GCA_002083565.1	96.2862	96.8241	0.5522	0.6909	0.06152	129	0.9694	80	1.729	0.7858	96.1718	97.3927	0.6266	2.47	AlfI:96.63,AloI:97.25,BcgI:96.81,FalI:96.88	2756	129	3634	100	20.62015503875969	ok	96.2862	gamma
GCA_002169115.2	GCA_902510965.1	97.7815	97.7815	0.3424	0.2726	0.22225	12	0.9918	1	inf	0.8611	97.6884	97.8398	1.1535	1.16	AlfI:97.96,AloI:98.77,BcgI:97.62,FalI:97.65	163	12	186	32	11.083333333333334	ok	97.7815	uniform
GCA_002243605.1	GCA_900450595.1	96.0688	98.3610	0.7846	0.7756	0.03818	52	0.9867	50	0.221	0.8976	96.8304	99.0926	0.5151	6.26	AlfI:98.40,AloI:98.41,BcgI:98.46,FalI:97.94	4381	52	4798	438	72.38461538461539	ok	96.0688	gamma
GCA_002243605.1	GCF_001277805.1	96.7074	98.4514	0.6324	0.8017	0.03976	113	0.9660	111	0.244	0.9036	97.0742	99.0738	0.4330	4.47	AlfI:98.50,AloI:98.11,BcgI:98.54,FalI:98.18	3524	113	4060	282	28.86725663716814	ok	96.7074	gamma
GCA_002243605.1	GCF_002809955.1	96.7699	98.5903	0.7319	0.8024	0.03551	102	0.9729	101	0.208	0.9127	97.2016	99.1841	0.3056	2.96	AlfI:98.62,AloI:98.47,BcgI:98.66,FalI:98.35	4150	102	4581	163	36.549019607843135	ok	96.7699	gamma
GCA_002254365.1	GCF_001458735.1	95.7403	96.5085	0.7728	0.7100	0.05626	174	0.9925	24	1.520	0.7619	95.6727	97.3339	0.2172	0.72	AlfI:96.36,AloI:96.45,BcgI:96.57,FalI:96.51	3583	174	5006	74	19.229885057471265	ok	95.7403	gamma
GCA_002256145.1	GCF_003063265.1	95.8607	96.8858	0.7546	0.7780	0.04491	131	0.9821	86	1.002	0.7905	95.8865	97.7438	0.4314	2.58	AlfI:97.01,AloI:96.94,BcgI:96.82,FalI:96.57	5104	131	6827	173	36.93893129770992	ok	95.8607	gamma
GCA_002282935.1	GCA_007095785.1	95.2264	96.5085	0.6020	0.5452	0.07928	153	0.9896	12	0.973	0.7644	95.4449	97.5397	0.8123	3.27	AlfI:96.30,AloI:95.90,BcgI:96.71,FalI:96.32	2442	153	2611	33	8.444444444444445	ok	95.2264	gamma
GCA_002282935.1	GCA_007096045.1	94.9953	96.0462	0.4444	0.4174	0.09545	124	0.9818	14	1.392	0.7281	95.1366	97.0794	0.9094	4.78	AlfI:95.90,AloI:96.03,BcgI:96.32,FalI:95.41	2242	124	2046	18	7.088709677419355	INCONSISTENT	94.9953	gamma
GCA_002282935.1	GCF_000010625.1	95.4118	96.7460	0.6751	0.5605	0.07282	166	0.9903	13	0.866	0.7825	95.6030	97.7556	0.8741	7.67	AlfI:96.64,AloI:96.71,BcgI:97.02,FalI:96.15	2721	166	2867	32	9.012048192771084	ok	95.4118	gamma
GCA_002282935.1	GCF_014696875.1	94.4908	95.9180	0.5181	0.4629	0.09287	131	0.9807	16	1.154	0.7180	94.8351	97.2024	1.3989	10.24	AlfI:95.76,AloI:94.93,BcgI:96.33,FalI:95.24	2312	131	2288	32	7.213740458015267	INCONSISTENT	94.4908	gamma
GCA_002291465.1	GCF_009741445.1	97.4711	97.7173	0.9663	0.8905	0.03574	35	0.9941	34	2.086	0.8518	97.2580	97.9871	0.3860	3.99	AlfI:97.76,AloI:98.02,BcgI:97.64,FalI:97.92	5845	35	7047	1031	164.62857142857143	ok	97.4711	gamma
GCA_002316805.1	GCA_002411365.1	95.7384	95.9842	0.7962	0.7312	0.09315	33	0.9893	15	4.604	0.7232	95.7053	96.3180	1.2597	1.91	AlfI:95.91,AloI:94.87,BcgI:96.08,FalI:96.13	1442	33	2037	221	43.121212121212125	ok	95.7384	gamma
GCA_002334985.1	GCA_003524565.1	96.3761	96.6009	0.5538	0.6142	0.06869	222	0.9722	53	3.930	0.7680	96.3071	96.8791	1.0412	3.79	AlfI:96.44,AloI:97.43,BcgI:96.67,FalI:96.39	2478	222	2995	26	9.346846846846846	ok	96.3761	gamma
GCA_002339125.1	GCF_003731635.1	95.3359	96.3658	0.8108	0.7345	0.05981	150	0.9905	28	1.224	0.7511	95.4666	97.3035	0.2384	0.72	AlfI:96.48,AloI:96.26,BcgI:96.34,FalI:96.24	3251	150	4634	94	20.48	ok	95.3359	gamma
GCA_002342665.1	GCA_002371695.1	98.6394	98.6394	0.3819	0.3999	0.05631	102	0.9488	70	inf	0.9161	98.4009	98.7282	0.1912	0.32	AlfI:98.57,AloI:98.50,BcgI:98.67,FalI:98.69	1485	102	1568	36	13.72549019607843	ok	98.6394	uniform
GCA_002348425.1	GCA_002712335.1	95.7360	95.9020	0.5919	0.4458	0.11888	92	0.9968	2	6.784	0.7189	95.6258	96.2264	0.3024	0.41	AlfI:95.97,AloI:95.81,BcgI:96.03,FalI:95.73	973	92	1305	19	7.836956521739131	ok	95.7360	gamma
GCA_002355995.1	GCF_000091545.1	94.2095	96.2742	0.8928	0.9013	0.10428	15	0.9877	14	0.739	0.7510	94.9080	97.6496	1.2574	9.30	AlfI:96.47,AloI:96.52,BcgI:96.95,FalI:95.69	1204	15	1748	269	75.66666666666667	ok	94.2095	gamma
GCA_002364755.1	GCA_003510825.1	96.7497	96.9896	0.5160	0.6576	0.04411	398	0.9258	359	3.165	0.7976	96.6251	97.2878	0.7790	8.44	AlfI:97.08,AloI:97.25,BcgI:96.81,FalI:97.59	5173	398	6344	48	12.261306532663317	ok	96.7497	gamma
GCA_002365025.1	GCA_900105215.1	96.5358	96.9364	0.7708	0.7250	0.05604	260	0.9978	6	2.086	0.7987	96.3777	97.3818	0.3074	1.66	AlfI:97.01,AloI:97.00,BcgI:96.70,FalI:97.01	3390	260	4353	56	11.592307692307692	ok	96.5358	gamma
GCA_002365025.1	GCF_900105615.1	96.3690	96.9004	0.7597	0.7775	0.05727	260	0.9974	7	1.680	0.7960	96.2249	97.4485	0.2582	1.00	AlfI:97.02,AloI:97.01,BcgI:96.76,FalI:96.87	3282	260	4277	51	11.196153846153846	ok	96.3690	gamma
