query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95	pairid
AHWH21M4_ctg	CCFM760_ctg	99.042	99.3823	0.86	0.8714	0.02229	98.8807	57	0.9947	21	0.166	0.9624	98.923	99.5135	0.1728	1.73	AlfI:99.32,AloI:99.33,BcgI:99.40,FalI:99.50	4067	57	4305	346	70.14035087719299	ok	99.042	gamma	99.0199	AHWH21M4_ctg__CCFM760_ctg
AHWH21M4_ctg	CCFM762_ctg	99.133	99.3903	0.8476	0.8308	0.02223	98.7785	58	0.9942	23	0.188	0.9629	99.0362	99.4902	0.0915	0.29	AlfI:99.38,AloI:99.35,BcgI:99.39,FalI:99.44	4021	58	4232	276	68.51724137931035	ok	99.133	gamma	99.1296	AHWH21M4_ctg__CCFM762_ctg
AHWH21M4_ctg	FBJ11M1_ctg	99.0494	99.3601	0.8826	0.8976	0.02234	98.9772	60	0.9941	24	0.178	0.961	98.956	99.4756	0.1264	2.02	AlfI:99.29,AloI:99.28,BcgI:99.41,FalI:99.35	4178	60	4427	478	68.81666666666666	ok	99.0494	gamma	99.0503	AHWH21M4_ctg__FBJ11M1_ctg
AHWH21M4_ctg	FBJ14M2_ctg	99.1794	99.422	0.8008	0.7531	0.02194	98.5526	88	0.9867	51	0.178	0.9648	99.0919	99.5141	0.2505	2.69	AlfI:99.40,AloI:99.34,BcgI:99.42,FalI:99.59	3914	88	4103	306	43.96590909090909	ok	99.1794	gamma	99.1844	AHWH21M4_ctg__FBJ14M2_ctg
AHWH21M4_ctg	FBJ15M2_ctg	99.0611	99.3592	0.8567	0.8974	0.02278	98.9225	54	0.9952	19	0.188	0.961	98.9509	99.4761	0.1329	2.18	AlfI:99.28,AloI:99.27,BcgI:99.40,FalI:99.40	4026	54	4266	419	73.70370370370371	ok	99.0611	gamma	99.0473	AHWH21M4_ctg__FBJ15M2_ctg
AHWH21M4_ctg	FBJ19M2_ctg	99.1654	99.4545	0.8429	0.8812	0.021	98.9547	62	0.9937	25	0.15	0.9668	99.0559	99.5652	0.0863	0.45	AlfI:99.44,AloI:99.46,BcgI:99.45,FalI:99.53	4022	62	4237	316	64.16129032258064	ok	99.1654	gamma	99.1484	AHWH21M4_ctg__FBJ19M2_ctg
AHWH21M4_ctg	FBJ20M1_ctg	98.9527	99.317	0.8951	0.9008	0.02304	98.955	56	0.9961	16	0.178	0.9584	98.8558	99.4517	0.1475	1.21	AlfI:99.25,AloI:99.32,BcgI:99.34,FalI:99.39	4212	56	4481	480	74.19642857142857	ok	98.9527	gamma	98.9531	AHWH21M4_ctg__FBJ20M1_ctg
AHWH21M4_ctg	FBJ9M5_ctg	99.2769	99.4714	0.8413	0.7909	0.02055	98.7564	61	0.9937	25	0.183	0.9679	99.1822	99.5506	0.1071	0.56	AlfI:99.45,AloI:99.42,BcgI:99.48,FalI:99.53	4082	61	4245	405	65.93442622950819	ok	99.2769	gamma	99.2691	AHWH21M4_ctg__FBJ9M5_ctg
AHWH21M4_ctg	FGDLZ19M5_ctg	99.0446	99.3206	0.8736	0.8517	0.02317	98.8104	60	0.9938	25	0.227	0.9586	98.907	99.4407	0.21	1.27	AlfI:99.33,AloI:99.22,BcgI:99.32,FalI:99.43	4124	60	4386	433	67.85	ok	99.0446	gamma	99.0035	AHWH21M4_ctg__FGDLZ19M5_ctg
AHWH21M4_ctg	FGDLZ42_ctg	99.0548	99.2558	0.8628	0.8468	0.02428	98.7412	69	0.9923	31	0.312	0.9546	98.9637	99.3411	0.1083	0.82	AlfI:99.19,AloI:99.30,BcgI:99.28,FalI:99.25	4137	69	4352	478	58.94202898550725	ok	99.0548	gamma	99.0586	AHWH21M4_ctg__FGDLZ42_ctg
AHWH21M4_ctg	FGDLZ4M1_ctg	99.0803	99.2806	0.8902	0.8683	0.02353	98.871	67	0.9935	27	0.286	0.9562	99.0145	99.3579	0.1314	1.04	AlfI:99.23,AloI:99.36,BcgI:99.28,FalI:99.35	4240	67	4468	412	62.52238805970149	ok	99.0803	gamma	99.1063	AHWH21M4_ctg__FGDLZ4M1_ctg
AHWH21M4_ctg	FGDLZ5M1_ctg	99.1447	99.4162	0.8594	0.8419	0.02155	98.8571	64	0.9933	27	0.176	0.9645	99.0287	99.525	0.0702	0.75	AlfI:99.37,AloI:99.37,BcgI:99.44,FalI:99.44	4100	64	4316	356	63.25	ok	99.1447	gamma	99.1215	AHWH21M4_ctg__FGDLZ5M1_ctg
AHWH21M4_ctg	FGDLZ63M1_ctg	99.0706	99.3543	0.8632	0.8279	0.02259	98.7854	79	0.9896	42	0.188	0.9607	98.9842	99.4603	0.1626	1.59	AlfI:99.30,AloI:99.46,BcgI:99.35,FalI:99.42	4150	79	4362	278	51.68354430379747	ok	99.0706	gamma	99.0782	AHWH21M4_ctg__FGDLZ63M1_ctg
AHWH21M4_ctg	FGDLZ72M1_ctg	99.1636	99.4637	0.823	0.8476	0.02105	98.8368	60	0.9938	24	0.141	0.9674	99.0623	99.5751	0.1008	0.67	AlfI:99.45,AloI:99.45,BcgI:99.46,FalI:99.55	3954	60	4144	357	64.96666666666667	ok	99.1636	gamma	99.1556	AHWH21M4_ctg__FGDLZ72M1_ctg
AHWH21M4_ctg	FGDLZ73M1_ctg	99.0291	99.3543	0.8788	0.8744	0.02257	98.898	55	0.9955	18	0.178	0.9607	98.9251	99.4777	0.1399	0.79	AlfI:99.38,AloI:99.30,BcgI:99.34,FalI:99.44	4129	55	4387	479	74.12727272727273	ok	99.0291	gamma	99.021	AHWH21M4_ctg__FGDLZ73M1_ctg
AHWH21M4_ctg	FGDLZ74M1_ctg	99.1618	99.4107	0.8564	0.8321	0.02163	98.8203	60	0.994	24	0.183	0.9641	99.0649	99.5077	0.1109	0.78	AlfI:99.37,AloI:99.38,BcgI:99.43,FalI:99.48	4108	60	4312	361	67.63333333333334	ok	99.1618	gamma	99.1563	AHWH21M4_ctg__FGDLZ74M1_ctg
AHWH21M4_ctg	FGDLZ78M2_ctg	99.0556	99.3578	0.851	0.8423	0.02274	98.7786	64	0.9932	27	0.183	0.9609	98.957	99.4728	0.1505	1.41	AlfI:99.34,AloI:99.40,BcgI:99.34,FalI:99.49	4056	64	4291	305	62.546875	ok	99.0556	gamma	99.0528	AHWH21M4_ctg__FGDLZ78M2_ctg
AHWH21M4_ctg	FGDLZ8M1_ctg	98.9163	99.2373	0.8681	0.847	0.02475	98.7058	65	0.9927	29	0.244	0.9535	98.7797	99.3745	0.1553	0.59	AlfI:99.23,AloI:99.16,BcgI:99.24,FalI:99.31	4084	65	4363	428	61.84615384615385	ok	98.9163	gamma	98.8807	AHWH21M4_ctg__FGDLZ8M1_ctg
AHWH21M4_ctg	FGSYC16M1_ctg	99.1249	99.4223	0.8488	0.8345	0.02158	98.8205	65	0.9924	30	0.166	0.9649	98.9995	99.5412	0.0292	0.04	AlfI:99.43,AloI:99.40,BcgI:99.42,FalI:99.42	4061	65	4268	416	61.41538461538462	ok	99.1249	gamma	99.094	AHWH21M4_ctg__FGSYC16M1_ctg
AHWH21M4_ctg	FGSYC28M4_ctg	99.0698	99.3464	0.8499	0.8696	0.02303	98.8377	61	0.9942	23	0.214	0.9602	98.9248	99.4678	0.2271	3.37	AlfI:99.33,AloI:99.36,BcgI:99.32,FalI:99.55	4039	61	4266	337	65.09836065573771	ok	99.0698	gamma	99.022	AHWH21M4_ctg__FGSYC28M4_ctg
AHWH21M4_ctg	FGSYC28M5_ctg	99.064	99.3429	0.8518	0.8808	0.02307	98.8681	63	0.9937	25	0.214	0.96	98.9198	99.4649	0.2272	3.44	AlfI:99.32,AloI:99.35,BcgI:99.32,FalI:99.55	4045	63	4276	337	63.12698412698413	ok	99.064	gamma	99.0171	AHWH21M4_ctg__FGSYC28M5_ctg
AHWH21M4_ctg	FGSYC85M1_ctg	99.1637	99.4233	0.8317	0.8593	0.02171	98.8645	72	0.991	35	0.178	0.9649	99.0504	99.5277	0.1605	1.38	AlfI:99.38,AloI:99.33,BcgI:99.45,FalI:99.49	3991	72	4195	357	54.72222222222222	ok	99.1637	gamma	99.1436	AHWH21M4_ctg__FGSYC85M1_ctg
AHWH21M4_ctg	FGSZY16M3_ctg	99.1067	99.3907	0.8726	0.8838	0.02192	98.9754	76	0.9904	39	0.194	0.9629	98.9486	99.5165	0.0872	0.55	AlfI:99.40,AloI:99.46,BcgI:99.37,FalI:99.42	4141	76	4380	370	53.81578947368421	ok	99.1067	gamma	99.0437	AHWH21M4_ctg__FGSZY16M3_ctg
AHWH21M4_ctg	FGSZY56M3_ctg	99.1487	99.4219	0.8813	0.8432	0.02119	98.9017	56	0.9954	19	0.161	0.9648	99.0694	99.5203	0.1702	1.2	AlfI:99.39,AloI:99.34,BcgI:99.44,FalI:99.51	4201	56	4404	488	73.91071428571429	ok	99.1487	gamma	99.1596	AHWH21M4_ctg__FGSZY56M3_ctg
AHWH21M4_ctg	FGSZY6M4_ctg	98.8824	99.2604	0.8513	0.8716	0.02454	98.7479	66	0.9929	28	0.194	0.9549	98.7938	99.3995	0.1903	1.51	AlfI:99.28,AloI:99.21,BcgI:99.24,FalI:99.40	4019	66	4296	460	59.93939393939394	ok	98.8824	gamma	98.8951	AHWH21M4_ctg__FGSZY6M4_ctg
AHWH21M4_ctg	FGXBM12M1_ctg	99.1082	99.3745	0.8764	0.8454	0.02224	98.8497	54	0.9955	18	0.2	0.9619	98.9864	99.485	0.1337	1.03	AlfI:99.31,AloI:99.36,BcgI:99.39,FalI:99.45	4115	54	4356	423	75.4074074074074	ok	99.1082	gamma	99.0804	AHWH21M4_ctg__FGXBM12M1_ctg
AHWH21M4_ctg	FGXBM14M6_ctg	99.208	99.4478	0.8603	0.8206	0.02093	98.8377	60	0.9945	22	0.17	0.9664	99.1072	99.5422	0.077	0.54	AlfI:99.43,AloI:99.51,BcgI:99.44,FalI:99.50	4104	60	4303	362	67.63333333333334	ok	99.208	gamma	99.1969	AHWH21M4_ctg__FGXBM14M6_ctg
AHWH21M4_ctg	FGXBM15M1_ctg	99.1663	99.4205	0.865	0.8202	0.02136	98.8278	71	0.9919	33	0.178	0.9647	99.0617	99.5209	0.1266	1.34	AlfI:99.44,AloI:99.52,BcgI:99.39,FalI:99.47	4135	71	4350	223	57.59154929577465	ok	99.1663	gamma	99.1528	AHWH21M4_ctg__FGXBM15M1_ctg
AHWH21M4_ctg	FGZ16I2M1_ctg	99.2138	99.4563	0.8598	0.8495	0.02073	98.9312	71	0.9913	35	0.166	0.9669	99.1136	99.551	0.1357	0.68	AlfI:99.46,AloI:99.40,BcgI:99.45,FalI:99.54	4134	71	4316	419	57.309859154929576	ok	99.2138	gamma	99.2028	AHWH21M4_ctg__FGZ16I2M1_ctg
AHWH21M4_ctg	FGZ16MM1_ctg	99.2147	99.4514	0.8648	0.8573	0.02079	98.9511	66	0.9926	30	0.17	0.9666	99.1158	99.5442	0.1526	0.85	AlfI:99.45,AloI:99.39,BcgI:99.45,FalI:99.54	4136	66	4327	418	61.84848484848485	ok	99.2147	gamma	99.2049	AHWH21M4_ctg__FGZ16MM1_ctg
AHWH21M4_ctg	FGZ16_I1_M5_ctg	99.2086	99.4536	0.8564	0.8488	0.0208	98.9284	79	0.9893	43	0.166	0.9668	99.1085	99.5491	0.1275	0.6	AlfI:99.46,AloI:99.40,BcgI:99.45,FalI:99.53	4128	79	4309	258	51.40506329113924	ok	99.2086	gamma	99.198	AHWH21M4_ctg__FGZ16_I1_M5_ctg
AHWH21M4_ctg	FGZ16_I1_M6_ctg	99.2063	99.4532	0.859	0.8507	0.02077	98.935	78	0.9896	42	0.166	0.9668	99.1043	99.5497	0.1261	0.59	AlfI:99.45,AloI:99.40,BcgI:99.45,FalI:99.53	4129	78	4325	412	52.23076923076923	ok	99.2063	gamma	99.1939	AHWH21M4_ctg__FGZ16_I1_M6_ctg
AHWH21M4_ctg	FGZ17I1M2_ctg	99.2196	99.4448	0.829	0.8435	0.0213	98.849	73	0.9905	37	0.176	0.9662	99.1334	99.5311	0.2591	4.62	AlfI:99.39,AloI:99.44,BcgI:99.44,FalI:99.65	3991	73	4171	358	54.02739726027397	ok	99.2196	gamma	99.2234	AHWH21M4_ctg__FGZ17I1M2_ctg
AHWH21M4_ctg	FGZ19MM7_ctg	99.2472	99.4838	0.863	0.8397	0.0202	98.9246	59	0.9946	22	0.161	0.9686	99.1273	99.5817	0.1759	2.32	AlfI:99.42,AloI:99.42,BcgI:99.51,FalI:99.59	4109	59	4310	359	69.05084745762711	ok	99.2472	gamma	99.2161	AHWH21M4_ctg__FGZ19MM7_ctg
AHWH21M4_ctg	FGZ35I1M4_ctg	99.2506	99.459	0.85	0.8978	0.02076	99.0397	70	0.9925	30	0.183	0.9671	99.1494	99.5443	0.0852	0.48	AlfI:99.46,AloI:99.47,BcgI:99.45,FalI:99.53	4079	70	4271	353	57.82857142857143	ok	99.2506	gamma	99.2375	AHWH21M4_ctg__FGZ35I1M4_ctg
AHWH21M4_ctg	FGZ35MM1_ctg	99.22	99.4498	0.8515	0.8973	0.02094	99.0243	67	0.9933	27	0.178	0.9665	99.1098	99.5439	0.0728	0.33	AlfI:99.45,AloI:99.45,BcgI:99.44,FalI:99.51	4073	67	4279	353	60.32835820895522	ok	99.22	gamma	99.1996	AHWH21M4_ctg__FGZ35MM1_ctg
AHWH21M4_ctg	FGZ6MM10_ctg	99.2651	99.4848	0.8604	0.905	0.02018	99.0977	67	0.9926	30	0.17	0.9687	99.1418	99.5788	0.1496	1.43	AlfI:99.45,AloI:99.46,BcgI:99.49,FalI:99.60	4110	67	4308	358	60.82089552238806	ok	99.2651	gamma	99.2299	AHWH21M4_ctg__FGZ6MM10_ctg
AHWH21M4_ctg	FGZ6_I1_M3_ctg	99.0459	99.3713	0.884	0.8333	0.02215	98.8432	75	0.9912	36	0.17	0.9617	98.9419	99.494	0.0429	0.09	AlfI:99.36,AloI:99.40,BcgI:99.37,FalI:99.37	4173	75	4428	316	55.02666666666666	ok	99.0459	gamma	99.0368	AHWH21M4_ctg__FGZ6_I1_M3_ctg
AHWH21M4_ctg	FGZ6_I1_M6_ctg	99.0595	99.3777	0.8779	0.8281	0.02208	98.8337	82	0.9894	43	0.17	0.9621	98.9551	99.4982	0.0408	0.09	AlfI:99.36,AloI:99.40,BcgI:99.38,FalI:99.37	4164	82	4408	270	50.1219512195122	ok	99.0595	gamma	99.0497	AHWH21M4_ctg__FGZ6_I1_M6_ctg
AHWH21M4_ctg	FHNBA16M1_ctg	98.8689	99.182	0.8206	0.8268	0.02633	98.5173	71	0.9905	36	0.266	0.95	98.7614	99.31	0.2331	1.26	AlfI:99.16,AloI:99.06,BcgI:99.20,FalI:99.29	3874	71	4139	275	53.77464788732394	ok	98.8689	gamma	98.8656	AHWH21M4_ctg__FHNBA16M1_ctg
AHWH21M4_ctg	FHNBA1M1_ctg	99.1787	99.3873	0.8714	0.8754	0.02192	98.9371	54	0.9956	18	0.221	0.9627	99.0824	99.4731	0.2088	2.99	AlfI:99.40,AloI:99.38,BcgI:99.36,FalI:99.56	4144	54	4361	412	76.11111111111111	ok	99.1787	gamma	99.1725	AHWH21M4_ctg__FHNBA1M1_ctg
AHWH21M4_ctg	FHNBA28M10_ctg	99.0463	99.308	0.8757	0.8614	0.02332	98.8276	58	0.9946	22	0.227	0.9578	98.953	99.411	0.144	0.89	AlfI:99.26,AloI:99.31,BcgI:99.31,FalI:99.41	4146	58	4399	314	70.74137931034483	ok	99.0463	gamma	99.0478	AHWH21M4_ctg__FHNBA28M10_ctg
AHWH21M4_ctg	FHNBA3M1_ctg	99.4559	99.5499	0.7215	0.5879	0.0195	98.3144	222	0.9508	186	0.221	0.9726	99.4259	99.5827	0.1074	0.88	AlfI:99.58,AloI:99.49,BcgI:99.56,FalI:99.47	4297	222	3950	119	17.18918918918919	ok	99.4559	gamma	99.5024	AHWH21M4_ctg__FHNBA3M1_ctg
AHWH21M4_ctg	FHNBA4M1_ctg	99.0609	99.3592	0.8592	0.8726	0.02274	98.8627	52	0.9965	14	0.188	0.961	98.9484	99.4771	0.1965	2.19	AlfI:99.32,AloI:99.38,BcgI:99.35,FalI:99.52	4056	52	4287	475	76.90384615384616	ok	99.0609	gamma	99.0446	AHWH21M4_ctg__FHNBA4M1_ctg
AHWH21M4_ctg	FHNBO41M2_ctg	99.0441	99.3463	0.8199	0.834	0.02332	98.6928	70	0.9911	34	0.183	0.9602	98.9633	99.4561	0.0757	0.61	AlfI:99.29,AloI:99.36,BcgI:99.37,FalI:99.37	3921	70	4147	357	55.35714285714285	ok	99.0441	gamma	99.0605	AHWH21M4_ctg__FHNBO41M2_ctg
AHWH21M4_ctg	FHaNCM24GMM6_ctg	99.1502	99.4017	0.8637	0.9072	0.02178	99.0135	57	0.9953	19	0.183	0.9636	99.0633	99.4967	0.1613	1.14	AlfI:99.37,AloI:99.35,BcgI:99.41,FalI:99.51	4111	57	4322	438	71.28070175438596	ok	99.1502	gamma	99.1546	AHWH21M4_ctg__FHaNCM24GMM6_ctg
AHWH21M4_ctg	FHaNCM25GMM1_ctg	99.2271	99.4647	0.8592	0.845	0.02051	98.9217	65	0.9931	28	0.161	0.9675	99.1356	99.5553	0.169	1.41	AlfI:99.47,AloI:99.41,BcgI:99.45,FalI:99.58	4185	65	4334	477	63.01538461538462	ok	99.2271	gamma	99.2238	AHWH21M4_ctg__FHaNCM25GMM1_ctg
AHWH21M4_ctg	FHeJZ25M6_ctg	99.0953	99.3856	0.8548	0.8106	0.02219	98.7383	66	0.9927	29	0.17	0.9626	99.0122	99.4914	0.1673	1.85	AlfI:99.37,AloI:99.42,BcgI:99.36,FalI:99.53	4062	66	4291	336	60.95454545454545	ok	99.0953	gamma	99.1059	AHWH21M4_ctg__FHeJZ25M6_ctg
AHWH21M4_ctg	FHeJZ28M10_ctg	99.2362	99.4694	0.8511	0.8461	0.02062	98.9006	54	0.9957	17	0.156	0.9677	99.159	99.5546	0.0907	0.62	AlfI:99.48,AloI:99.54,BcgI:99.45,FalI:99.49	4059	54	4243	484	74.5	ok	99.2362	gamma	99.247	AHWH21M4_ctg__FHeJZ28M10_ctg
AHWH21M4_ctg	FHuBZX17M2_ctg	99.2415	99.4441	0.8336	0.8005	0.02119	98.7431	65	0.9929	28	0.183	0.9662	99.1784	99.5173	0.0801	0.34	AlfI:99.43,AloI:99.38,BcgI:99.46,FalI:99.46	4039	65	4205	362	61.35384615384616	ok	99.2415	gamma	99.2659	AHWH21M4_ctg__FHuBZX17M2_ctg
AHWH21M4_ctg	FHuBZX1M1_ctg	99.0257	99.342	0.8579	0.8368	0.023	98.7515	56	0.995	20	0.183	0.9599	98.9341	99.4595	0.1231	1.33	AlfI:99.29,AloI:99.25,BcgI:99.38,FalI:99.36	4050	56	4304	398	71.55357142857143	ok	99.0257	gamma	99.0306	AHWH21M4_ctg__FHuBZX1M1_ctg
AHWH21M4_ctg	FHuBZX30M2_ctg	99.2257	99.4346	0.8319	0.8788	0.02149	98.9192	58	0.9944	22	0.2	0.9656	99.1152	99.5233	0.1863	2.58	AlfI:99.42,AloI:99.44,BcgI:99.41,FalI:99.60	3990	58	4177	423	68.0	ok	99.2257	gamma	99.2059	AHWH21M4_ctg__FHuBZX30M2_ctg
AHWH21M4_ctg	FJSNT19M1_ctg	99.1906	99.4334	0.8327	0.8263	0.02151	98.7827	60	0.9939	24	0.178	0.9655	99.0868	99.5299	0.0679	0.16	AlfI:99.44,AloI:99.41,BcgI:99.43,FalI:99.47	3992	60	4187	277	65.73333333333333	ok	99.1906	gamma	99.1786	AHWH21M4_ctg__FJSNT19M1_ctg
AHWH21M4_ctg	FJSNT19M2_ctg	99.1971	99.4508	0.8368	0.8323	0.02115	98.817	57	0.9946	21	0.166	0.9666	99.0883	99.5514	0.0592	0.14	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3993	57	4194	426	69.3157894736842	ok	99.1971	gamma	99.18	AHWH21M4_ctg__FJSNT19M2_ctg
AHWH21M4_ctg	FJSNT19M3_ctg	99.2036	99.4529	0.8338	0.8291	0.02112	98.8105	61	0.9936	25	0.166	0.9667	99.0985	99.551	0.0592	0.14	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3993	61	4188	426	64.72131147540983	ok	99.2036	gamma	99.1898	AHWH21M4_ctg__FJSNT19M3_ctg
AHWH21M4_ctg	FJSNT19M4_ctg	99.1976	99.4511	0.8368	0.8322	0.02114	98.8184	58	0.9944	22	0.166	0.9666	99.0887	99.5516	0.0606	0.14	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3994	58	4196	426	68.15517241379311	ok	99.1976	gamma	99.1804	AHWH21M4_ctg__FJSNT19M4_ctg
AHWH21M4_ctg	FJSNT19M5_ctg	99.1995	99.4517	0.8348	0.83	0.02114	98.8126	61	0.9936	25	0.166	0.9667	99.0919	99.5514	0.0592	0.13	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3993	61	4193	426	64.77049180327869	ok	99.1995	gamma	99.1834	AHWH21M4_ctg__FJSNT19M5_ctg
AHWH21M4_ctg	FJSNT19M6_ctg	99.1978	99.4513	0.837	0.8323	0.02114	98.819	58	0.9944	22	0.166	0.9666	99.089	99.5517	0.0606	0.14	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3995	58	4197	426	68.17241379310344	ok	99.1978	gamma	99.1805	AHWH21M4_ctg__FJSNT19M6_ctg
AHWH21M4_ctg	FJSNT19M7_ctg	99.1965	99.4503	0.8362	0.8285	0.02116	98.8101	61	0.9936	25	0.166	0.9666	99.0887	99.5506	0.051	0.1	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.47	3994	61	4196	426	64.80327868852459	ok	99.1965	gamma	99.1804	AHWH21M4_ctg__FJSNT19M7_ctg
AHWH21M4_ctg	FJSNT19M8_ctg	99.2033	99.4537	0.8348	0.8303	0.0211	98.8151	60	0.9939	24	0.166	0.9668	99.0949	99.5531	0.0425	0.1	AlfI:99.46,AloI:99.44,BcgI:99.45,FalI:99.48	3993	60	4189	426	65.8	ok	99.2033	gamma	99.1863	AHWH21M4_ctg__FJSNT19M8_ctg
AHWH21M4_ctg	FJSNT19M9_ctg	99.1976	99.4511	0.8362	0.8315	0.02114	98.8161	59	0.9941	23	0.166	0.9666	99.0887	99.5516	0.0606	0.14	AlfI:99.46,AloI:99.42,BcgI:99.45,FalI:99.48	3994	59	4196	426	67.0	ok	99.1976	gamma	99.1804	AHWH21M4_ctg__FJSNT19M9_ctg
AHWH21M4_ctg	FJSNT32M4_ctg	99.1271	99.4151	0.8442	0.9	0.02182	98.9627	57	0.9949	20	0.166	0.9644	99.0226	99.5255	0.1154	0.76	AlfI:99.40,AloI:99.43,BcgI:99.41,FalI:99.51	3998	57	4222	358	69.52631578947368	ok	99.1271	gamma	99.1167	AHWH21M4_ctg__FJSNT32M4_ctg
AHWH21M4_ctg	FJSNT39M10_ctg	99.1744	99.458	0.838	0.8854	0.02096	98.9693	69	0.9919	32	0.147	0.967	99.0751	99.5641	0.0875	0.49	AlfI:99.45,AloI:99.46,BcgI:99.45,FalI:99.53	4025	69	4221	316	57.56521739130435	ok	99.1744	gamma	99.167	AHWH21M4_ctg__FJSNT39M10_ctg
AHWH21M4_ctg	FJSNT40M12_ctg	99.4983	99.5956	0.7408	0.6584	0.01831	98.5685	219	0.9522	184	0.183	0.9754	99.456	99.6322	0.0555	0.31	AlfI:99.57,AloI:99.58,BcgI:99.61,FalI:99.62	4328	219	4018	89	17.753424657534246	ok	99.4983	gamma	99.5299	AHWH21M4_ctg__FJSNT40M12_ctg
