GCA_000007325.1	AE009951.2
GCA_001940665.1	MDVT01000001.1
GCA_002009475.1	AYTS01000001.1
GCA_002010075.1	MTMG01000017.1
GCA_002018045.1	MWLD01000056.1
GCA_002067165.1	MVQN01000001.1
GCA_002067275.1	MVQX01000001.1
GCA_002067475.1	MVRT01000001.1
GCA_002068435.1	MVZQ01000001.1
GCA_002068715.1	MWAR01000001.1
GCA_002069885.1	MWCD01000001.1
GCA_002070605.1	MWDO01000001.1
GCA_002070635.1	MWDP01000001.1
GCA_002070945.1	MWEG01000001.1
GCA_002070955.1	MWEK01000001.1
GCA_002071025.1	MWEJ01000001.1
GCA_002083555.1	MSXN01000024.1
GCA_002084585.1	NBLM01000003.1
GCA_002084825.1	NBMF01000053.1
GCA_002084865.1	NBMG01000116.1
GCA_002092835.1	CM007854.1
GCA_002155105.1	MUZD01000001.1
GCA_002159085.1	LZRU01000001.1
GCA_002159155.1	LZRQ01000001.1
GCA_002162095.1	CP021424.1
GCA_002167345.2	NHCZ02000028.1
GCA_002168105.2	NHCD02000035.1
GCA_002168155.1	NHBY01000053.1
GCA_002170005.2	NHGT02000030.1
GCA_002170235.1	NHFO01000010.1
GCA_002171125.1	NHHK01000027.1
GCA_002171975.2	NHIO02000061.1
GCA_002238415.1	MPMI01000038.1
GCA_002238425.1	MPMJ01000081.1
GCA_002238555.1	MPMO01000101.1
GCA_002238605.1	MPMR01000028.1
GCA_002238705.1	MPMW01000159.1
GCA_002238765.1	MPMZ01000093.1
GCA_002238965.1	MPNJ01000051.1
GCA_002256485.1	NNSG01000001.1
GCA_002279275.1	NCBQ01000097.1
GCA_002281415.1	NCFZ01000049.1
GCA_002282935.1	MTBT01000001.1
GCA_002292185.1	DBBL01000153.1
GCA_002294005.1	DBEH01000049.1
GCA_002295885.1	DBGM01000014.1
GCA_002296525.1	DBIA01000013.1
GCA_002299965.1	DBOM01000050.1
GCA_002303765.1	DBCB01000222.1
GCA_002304345.1	NEUU01000001.1
GCA_002304445.1	NEVA01000001.1
GCA_002305015.1	DBPW01000041.1
GCA_002305655.1	DBPZ01000063.1
GCA_002307115.1	DBTP01000113.1
GCA_002308515.1	DBVN01000021.1
GCA_002308615.1	DBWC01000083.1
GCA_002309765.1	DBXY01000021.1
GCA_002310035.1	DBYC01000036.1
GCA_002310055.1	DBXS01000011.1
GCA_002310995.1	DBYV01000039.1
GCA_002311025.1	DBYY01000001.1
GCA_002311135.1	DBZK01000004.1
GCA_002311335.1	DBZX01000095.1
GCA_002311645.1	DBYW01000045.1
GCA_002313895.1	DCAW01000147.1
GCA_002313925.1	DCAZ01000064.1
GCA_002314325.1	DCFC01000005.1
GCA_002316545.1	DCDR01000001.1
GCA_002320455.1	DCKU01000116.1
GCA_002327235.1	DCUX01000054.1
GCA_002327445.1	DCWA01000033.1
GCA_002328165.1	DCWS01000015.1
GCA_002328565.1	DCUU01000070.1
GCA_002328825.1	DCWI01000071.1
GCA_002328835.1	DCWN01000006.1
GCA_002329445.1	DCTU01000359.1
GCA_002329465.1	DCTW01000009.1
GCA_002329525.1	DCTI01000079.1
GCA_002337925.1	DDHB01000042.1
GCA_002338345.1	DDID01000052.1
GCA_002342545.1	DDQE01000016.1
GCA_002345565.1	DDVS01000006.1
GCA_002346305.1	DDZI01000007.1
GCA_002347095.1	DDWZ01000014.1
GCA_002347125.1	DDXG01000351.1
GCA_002347965.1	DDYN01000021.1
GCA_002348265.1	DEAT01000085.1
GCA_002348465.1	DEBI01000034.1
GCA_002352215.1	DEIB01000010.1
GCA_002355995.1	AP017920.1
GCA_002363035.1	DEWA01000032.1
GCA_002364085.1	DEXK01000019.1
GCA_002366595.1	DFBK01000037.1
GCA_002366675.1	DFBO01000211.1
GCA_002367355.1	DFBQ01000061.1
GCA_002371265.1	DFGT01000005.1
GCA_002371705.1	DFGI01000083.1
GCA_002373675.1	DFLF01000007.1
GCA_002376545.1	DFOH01000003.1
GCA_002381125.1	DFUT01000014.1
GCA_002382645.1	DFYP01000113.1
GCA_002382755.1	DFZT01000028.1
GCA_002383285.1	DFXU01000007.1
GCA_002383695.1	DFZX01000049.1
GCA_002385485.1	DGDP01000045.1
GCA_002385665.1	DGDX01000116.1
GCA_002386905.1	DGKB01000002.1
GCA_002387565.1	DGJT01000008.1
GCA_002389465.1	DGOT01000074.1
GCA_002390045.1	DGSB01000093.1
GCA_002392915.1	DGHQ01000046.1
GCA_002398515.1	DGZL01000079.1
GCA_002400405.1	DHFM01000038.1
GCA_002400885.1	NVRM01000082.1
GCA_002401565.1	NVTL01000090.1
GCA_002401785.1	NVUD01000017.1
GCA_002402135.1	NVVH01000032.1
GCA_002402375.1	DHFT01000031.1
GCA_002402755.1	DHGK01000259.1
GCA_002402825.1	DHGP01000037.1
GCA_002402905.1	DHGT01000047.1
GCA_002404515.1	DHJV01000067.1
GCA_002405165.1	DHLF01000001.1
GCA_002405835.1	DHMO01000010.1
GCA_002409405.1	DHNG01000031.1
GCA_002411615.1	DHOF01000093.1
GCA_002412595.1	DHVJ01000014.1
GCA_002412705.1	DHVO01000015.1
GCA_002414665.1	DIAF01000049.1
GCA_002414905.1	DIAY01000048.1
GCA_002416125.1	DIBU01000022.1
GCA_002418595.1	DIEK01000093.1
GCA_002418775.1	DIEU01000008.1
GCA_002418835.1	DIEX01000031.1
GCA_002418945.1	DIFC01000088.1
GCA_002419135.1	DIFM01000018.1
GCA_002419215.1	DIFQ01000133.1
GCA_002420185.1	DIHO01000001.1
GCA_002421005.1	DIJC01000026.1
GCA_002421585.1	DIKD01000021.1
GCA_002421805.1	DISM01000001.1
GCA_002423365.1	DIVU01000070.1
GCA_002423485.1	DIWH01000066.1
GCA_002424295.1	DIQY01000097.1
GCA_002424365.1	DIRQ01000093.1
GCA_002425685.1	DIMS01000019.1
GCA_002425765.1	DIMW01000006.1
GCA_002425885.1	DINC01000360.1
GCA_002428805.1	DIXX01000016.1
GCA_002430545.1	DJCM01000042.1
GCA_002432945.1	DJHE01000006.1
GCA_002434245.1	DJJR01000065.1
GCA_002435305.1	DJMH01000076.1
GCA_002435745.1	DIWT01000030.1
GCA_002436015.1	DIXJ01000003.1
GCA_002436185.1	DJKX01000018.1
GCA_002437495.1	DJQA01000003.1
GCA_002440745.1	DJVB01000038.1
GCA_002440765.1	DJVC01000124.1
GCA_002440975.1	DJWN01000014.1
GCA_002441125.1	DJVI01000003.1
GCA_002441395.1	DJVZ01000013.1
GCA_002448285.1	DJWX01000024.1
GCA_002448715.1	DJZU01000088.1
GCA_002450295.1	DJYX01000250.1
GCA_002450515.1	DJZM01000072.1
GCA_002451695.1	DKDC01000016.1
GCA_002452835.1	DKFO01000001.1
GCA_002455275.1	DKKO01000001.1
GCA_002457365.1	NTKP01000001.1
GCA_002457605.1	NTJT01000001.1
GCA_002470185.1	DKNG01000246.1
GCA_002470305.1	DKOB01000108.1
GCA_002471865.1	DKQU01000023.1
GCA_002474345.1	DKQD01000190.1
GCA_002474405.1	DLQW01000062.1
GCA_002477275.1	DLOU01000006.1
GCA_002479255.1	DLMJ01000040.1
GCA_002479785.1	DLPD01000035.1
GCA_002482415.1	DLFY01000102.1
GCA_002493865.1	DLAC01000020.1
GCA_002495465.1	DAFN01000008.1
GCA_002495675.1	DAGH01000017.1
GCA_002495735.1	DAGM01000033.1
GCA_002495905.1	DAHJ01000032.1
GCA_002496805.1	DALO01000002.1
GCA_002497905.1	DAFJ01000072.1
GCA_002498205.1	DAGQ01000099.1
GCA_002498365.1	DAHB01000004.1
GCA_002498375.1	DAHC01000012.1
GCA_002500485.1	DLRJ01000046.1
GCA_002501085.1	DLRL01000108.1
GCA_002501205.1	DLRW01000020.1
GCA_002501535.1	DLTY01000046.1
GCA_002501855.1	DAOM01000335.1
GCA_002502095.1	DAPJ01000017.1
GCA_002502785.1	DAQG01000119.1
GCA_002502965.1	DAQS01000002.1
GCA_002504525.1	DATD01000017.1
GCA_002504905.1	DATY01000014.1
GCA_002505325.1	DAUV01000075.1
GCA_002505345.1	DAUY01000012.1
GCA_002506255.1	DAXF01000085.1
GCA_002506515.1	DAXS01000007.1
GCA_002506595.1	DAXV01000020.1
GCA_002506825.1	DAYH01000030.1
GCA_002506875.1	DAYJ01000064.1
GCA_002507085.1	DAYW01000015.1
GCA_002507175.1	DAZE01000021.1
GCA_002508315.1	DAHE01000041.1
GCA_002508425.1	DAKU01000029.1
GCA_002509165.1	DAZP01000057.1
GCA_002509225.1	DAHL01000021.1
GCA_002509405.1	DAVO01000020.1
GCA_002509485.1	DAWO01000018.1
GCA_002509745.1	DAWK01000087.1
GCA_002563855.1	PDJQ01000001.1
GCA_002591605.1	PCDA01000021.1
GCA_002591705.1	PAAB01000063.1
GCA_002634395.1	NSJM01000146.1
GCA_002683135.1	NYSS01000070.1
GCA_002683215.1	NYSY01000009.1
GCA_002683655.1	NYTS01000001.1
GCA_002683775.1	NYTT01000007.1
GCA_002684915.1	NYWG01000001.1
GCA_002686215.1	NZAU01000034.1
GCA_002686675.1	NYYF01000001.1
GCA_002687025.1	NYZG01000001.1
GCA_002687335.1	NYZY01000001.1
GCA_002687935.1	NZBN01000001.1
GCA_002689325.1	NZFP01000046.1
GCA_002689985.1	NZDC01000001.1
GCA_002690085.1	NZDM01000001.1
GCA_002690655.1	NZFL01000010.1
GCA_002690755.1	NZFT01000008.1
GCA_002690875.1	NZGH01000051.1
GCA_002691365.1	NZHL01000021.1
GCA_002692065.1	NZJX01000005.1
GCA_002692465.1	NZKH01000001.1
GCA_002693365.1	NZPQ01000007.1
GCA_002694095.1	NZLD01000001.1
GCA_002694595.1	NZMT01000067.1
GCA_002694645.1	NZMV01000002.1
GCA_002694895.1	NZNN01000006.1
GCA_002696315.1	NZRR01000013.1
GCA_002696685.1	NZSI01000012.1
GCA_002696705.1	NZSH01000037.1
GCA_002696965.1	NZUB01000047.1
GCA_002697225.1	NZUQ01000001.1
GCA_002697665.2	NZXA02000014.1
GCA_002698965.1	PAAT01000192.1
GCA_002699425.1	PABV01000014.1
GCA_002701865.2	NZWH02000020.1
GCA_002702405.1	NZZH01000022.1
GCA_002703375.1	NZTO01000011.1
GCA_002704045.1	PAFF01000066.1
GCA_002704685.1	PAHD01000035.1
GCA_002705165.1	PAJC01000152.1
GCA_002705605.1	PAJD01000008.1
GCA_002707605.1	PANK01000001.1
GCA_002707645.1	PANN01000012.1
GCA_002707655.1	PANO01000076.1
GCA_002707765.1	PANV01000001.1
GCA_002707905.1	PAOF01000001.1
GCA_002708005.1	PAOJ01000064.1
GCA_002708085.1	PAOU01000001.1
GCA_002708145.1	PAOV01000039.1
GCA_002708885.1	PAPL01000001.1
GCA_002709005.1	PAPH01000001.1
GCA_002709185.1	PAQB01000006.1
GCA_002709225.1	PAQH01000001.1
GCA_002709695.1	PAQF01000001.1
GCA_002709705.1	PAQE01000003.1
GCA_002710885.1	PAIW01000019.1
GCA_002710905.1	PAJB01000025.1
GCA_002711995.1	PASN01000004.1
GCA_002712125.1	PASL01000001.1
GCA_002712565.1	PAUA01000023.1
GCA_002713455.1	PASX01000014.1
GCA_002713585.1	PATD01000040.1
GCA_002714165.1	PAWT01000034.1
GCA_002714425.1	PAXI01000001.1
GCA_002714785.1	PAYP01000001.1
GCA_002715375.1	PAZA01000001.1
GCA_002715445.1	PAZG01000001.1
GCA_002715585.2	PAZJ02000008.1
GCA_002716345.1	PBAP01000003.1
GCA_002716355.1	PBAU01000001.1
GCA_002716645.1	PBBR01000001.1
GCA_002717745.1	PBBF01000001.1
GCA_002718395.1	PBEG01000001.1
GCA_002718585.1	PBFG01000035.1
GCA_002718715.1	PBFJ01000001.1
GCA_002718735.1	PBFR01000002.1
GCA_002719315.1	PBHD01000001.1
GCA_002719395.1	PBHM01000001.1
GCA_002719675.1	PBID01000001.1
GCA_002720275.1	PBHR01000001.1
GCA_002720285.1	PBHT01000001.1
GCA_002720745.1	PBJO01000013.1
GCA_002720975.1	PBIX01000003.1
GCA_002721445.1	PBKN01000001.1
GCA_002721615.1	PBKW01000002.1
GCA_002722135.1	PBKJ01000001.1
GCA_002722645.1	PBML01000001.1
GCA_002722935.1	PBMX01000001.1
GCA_002723415.1	PBOA01000001.1
GCA_002724245.1	PBOG01000001.1
GCA_002724315.1	PBOJ01000001.1
GCA_002724575.1	PBPC01000001.1
GCA_002724585.1	PBPE01000011.1
GCA_002725495.1	PBPJ01000005.1
GCA_002725925.1	PBRL01000003.1
GCA_002726005.1	PBRS01000005.1
GCA_002726235.1	PBSN01000001.1
GCA_002726775.1	PBSB01000074.1
GCA_002726945.1	PBTB01000039.1
GCA_002727435.1	PBWZ01000008.1
GCA_002728715.1	PBVQ01000007.1
GCA_002728855.1	PBWA01000001.1
GCA_002728915.1	PBWE01000003.1
GCA_002729015.1	PBVO01000099.1
GCA_002729215.1	PBTV01000020.1
GCA_002729695.1	PBYQ01000001.1
GCA_002730365.1	PBZZ01000012.1
GCA_002730525.1	PCAK01000001.1
GCA_002730735.1	PCAU01000001.1
GCA_002730975.1	PCBO01000026.1
GCA_002731115.1	PBZO01000001.1
GCA_002731215.1	PCAP01000001.1
GCA_002731655.1	PCCI01000032.1
GCA_002731735.1	PCCM01000001.1
GCA_002732845.1	NVSZ01000002.1
GCA_002733685.1	NVWN01000001.1
GCA_002737275.1	NSIG01000020.1
GCA_002737305.1	NSII01000075.1
GCA_002737445.1	NSIR01000001.1
GCA_002737595.1	NSHZ01000001.1
GCA_002747145.1	PDTI01000008.1
GCA_002749975.1	PEIG01000010.1
GCA_002761215.1	CP017714.1
GCA_002771075.1	PCXM01000010.1
GCA_002772325.1	PCSL01000029.1
GCA_002773575.1	PFAT01000039.1
GCA_002778715.1	PFAA01000050.1
GCA_002779205.1	PEXF01000119.1
GCA_002782365.1	PFHP01000028.1
GCA_002782605.1	PFIF01000237.1
GCA_002786785.1	PCUD01000135.1
GCA_002825515.1	PJET01000001.1
GCA_002839335.1	PGXU01000090.1
GCA_002839355.1	PGXW01000035.1
GCA_002839705.1	PGYO01000017.1
GCA_002839825.1	PGYU01000042.1
GCA_002839855.1	PGYV01000003.1
GCA_002840975.1	PHDN01000043.1
GCA_002840985.1	PHDM01000023.1
GCA_002841435.1	PGZS01000207.1
GCA_002841495.1	PGZV01000019.1
GCA_002841685.1	PHAM01000054.1
GCA_002841765.1	PHAV01000012.1
GCA_002841785.1	PHAW01000244.1
GCA_002841825.1	PHAZ01000311.1
GCA_002841865.1	PHBD01000067.1
GCA_002842045.1	PHBX01000036.1
GCA_002842575.1	PHDJ01000032.1
GCA_002849045.2	NCRO01000001.1
GCA_002862435.1	PKDC01000057.1
GCA_002862745.1	PKDX01000021.1
GCA_002868985.1	PKTV01000353.1
GCA_002869005.1	PKTU01000140.1
GCA_002869015.1	PKTT01000062.1
GCA_002869535.1	PKUK01000007.1
GCA_002869855.2	NEWQ02000001.1
GCA_002878065.1	PNIN01000007.1
GCA_002878215.1	PNJC01000010.1
GCA_002878315.1	PNIW01000084.1
GCA_002897615.1	BDTX01000001.1
GCA_002897695.1	BDTG01000001.1
GCA_002897895.1	BDSY01000001.1
GCA_002897955.1	BDTY01000001.1
GCA_002898215.1	BEIF01000001.1
GCA_002898315.1	BEHV01000001.1
GCA_002898395.1	BEHE01000001.1
GCA_002898655.1	BEHG01000001.1
GCA_002898675.1	BEHW01000001.1
GCA_002898715.1	BEIA01000001.1
GCA_002898775.1	BEHK01000001.1
GCA_002898875.1	BEIC01000001.1
GCA_002923215.1	BDTI01000001.1
GCA_002923315.1	BEHM01000001.1
GCA_003009795.1	PXPE01000001.1
GCA_003009815.1	PXPD01000001.1
GCA_003019535.1	NEXG01000001.1
GCA_003020945.1	PXRU01000001.1
GCA_003020965.1	PXRL01000001.1
GCA_003021175.1	PXQV01000001.1
GCA_003022745.1	PXSU01000001.1
GCA_003023185.1	PXSB01000001.1
GCA_003086415.1	QEFP01000001.1
GCA_003086435.1	QEFD01000001.1
GCA_003086555.1	QEFN01000001.1
GCA_003096255.1	PIXS01000001.1
GCA_003105225.1	PQAK01000001.1
GCA_003130875.1	QEXY01000055.1
GCA_003131685.1	PKWB01000153.1
GCA_003132125.1	PKWT01000470.1
GCA_003132145.1	PKWU01000040.1
GCA_003132605.1	PKYJ01000045.1
GCA_003132645.1	PKYM01000155.1
GCA_003132805.1	PKYW01000065.1
GCA_003134375.1	PLAY01000076.1
GCA_003135135.1	PLDK01000010.1
GCA_003135255.1	PLAX01000161.1
GCA_003135895.1	PNBE01000044.1
GCA_003135935.1	PNBI01000125.1
GCA_003136095.1	PNBO01000310.1
GCA_003139355.1	PLIM01000035.1
GCA_003139695.1	PLJM01000018.1
GCA_003139855.1	PLGY01000008.1
GCA_003141195.1	PLLC01000068.1
GCA_003141695.1	PLNE01000018.1
GCA_003142035.1	PLOF01000053.1
GCA_003142215.1	PLOT01000304.1
GCA_003142295.1	PLLV01000179.1
GCA_003142355.1	PLMF01000045.1
GCA_003142375.1	PLME01000027.1
GCA_003142495.1	PLMM01000324.1
GCA_003142635.1	PLMX01000018.1
GCA_003150755.1	QAMT01000006.1
GCA_003151115.1	PLWS01000006.1
GCA_003151335.1	PLXE01000036.1
GCA_003151535.1	PLXT01000147.1
GCA_003151665.1	PLYD01000285.1
GCA_003151775.1	PLYK01000145.1
GCA_003152325.1	PLZX01000088.1
GCA_003152695.1	PMAT01000096.1
GCA_003153015.1	PMBS01000356.1
GCA_003153215.1	PLXL01000118.1
GCA_003153775.1	PMBI01000073.1
GCA_003153855.1	PMBM01000208.1
GCA_003153895.1	PMBU01000142.1
GCA_003157315.1	PMJE01000528.1
GCA_003157715.1	PMKK01000199.1
GCA_003158115.1	PMGM01000056.1
GCA_003158175.1	PMHJ01000046.1
GCA_003158275.1	PMIN01000117.1
GCA_003158475.1	PMJR01000082.1
GCA_003158895.1	PMLO01000263.1
GCA_003160265.1	PLQY01000013.1
GCA_003160755.1	QEXZ01000001.1
GCA_003161635.1	PMOA01000022.1
GCA_003161955.1	PMND01000160.1
GCA_003162175.1	PMMR01000025.1
GCA_003162245.1	PMMM01000224.1
GCA_003162415.1	PMOL01000005.1
GCA_003162425.1	PMOK01000303.1
GCA_003164415.1	PLTK01000213.1
GCA_003166375.1	PMVZ01000289.1
GCA_003166875.1	PMUN01000440.1
GCA_003167155.1	PMTY01000090.1
GCA_003167255.1	PMTR01000118.1
GCA_003170375.1	PMZN01000176.1
GCA_003170415.1	PMZJ01000005.1
GCA_003170875.1	PMYJ01000225.1
GCA_003170915.1	PMYB01000229.1
GCA_003171215.1	PMYN01000097.1
GCA_003176115.1	PSRO01000026.1
GCA_003176995.1	QHBN01000001.1
GCA_003193815.1	PSPB01000056.1
GCA_003209755.1	QCPD01000001.1
GCA_003212515.1	QCPL01000001.1
GCA_003214855.1	QCLC01000001.1
GCA_003215795.1	QCJV01000001.1
GCA_003216295.1	QCJB01000001.1
GCA_003216835.1	QCIF01000001.1
GCA_003218515.1	QHNT01000298.1
GCA_003218705.1	QHOI01000044.1
GCA_003218935.1	QHPA01000207.1
GCA_003219125.1	QHPP01000240.1
GCA_003219195.1	QHPX01000108.1
GCA_003219345.1	QHOP01000362.1
GCA_003219995.1	QHRC01000086.1
GCA_003220055.1	QHRF01000002.1
GCA_003220075.1	QHRJ01000090.1
GCA_003220225.1	QHRU01000041.1
GCA_003220315.1	QHSA01000048.1
GCA_003220335.1	QHSB01000266.1
GCA_003220495.1	QHSP01000015.1
GCA_003220615.1	QHTB01000081.1
GCA_003220675.1	QHTD01000191.1
GCA_003220685.1	QHTE01000119.1
GCA_003220795.1	QHTK01000045.1
GCA_003220935.1	QHTT01000069.1
GCA_003221695.1	QHSX01000038.1
GCA_003221995.1	QHUR01000043.1
GCA_003222115.1	QHUL01000043.1
GCA_003222135.1	QHUM01000011.1
GCA_003228105.1	QGNN01000001.1
GCA_003229935.1	QIGD01000001.1
GCA_003230355.1	QIDD01000001.1
GCA_003232715.1	QIJG01000026.1
GCA_003233295.1	QILJ01000576.1
GCA_003233545.1	QILZ01000160.1
GCA_003242675.1	QGVE01000021.1
GCA_003244185.1	QHBT01000023.1
GCA_003249025.1	QBMH01000100.1
GCA_003260325.1	MOLU01000001.1
GCA_003277985.1	QCHR01000001.1
GCA_003279015.1	QCBV01000001.1
GCA_003279445.1	QCHT01000001.1
GCA_003279455.1	QCHU01000001.1
GCA_003279705.1	QCGZ01000001.1
GCA_003280265.1	QCFJ01000001.1
GCA_003315675.1	NIZU01000001.1
GCA_003326215.1	LXQD01000001.1
GCA_003331305.1	QOQB01000001.1
GCA_003331875.1	QOQA01000001.1
GCA_003336485.1	QENH01000201.1
GCA_003352285.1	QQVN01000003.1
GCA_003445035.1	DLVV01000061.1
GCA_003445475.1	DMDP01000033.1
GCA_003445855.1	DMCG01000220.1
GCA_003446665.1	DMCT01000129.1
GCA_003447535.1	DLYY01000107.1
GCA_003451635.1	DMAT01000392.1
GCA_003451675.1	DMCY01000031.1
GCA_003453555.1	DMLA01000071.1
GCA_003454135.1	DMKW01000003.1
GCA_003454845.1	DMTB01000055.1
GCA_003456035.1	DMPJ01000405.1
