query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	skani_ani	skani_align_frac_ref	skani_align_frac_query	s2b_ani	s2b_ani_uniform	s2b_af_q	s2b_af_r	s2b_std_err	s2b_het_shape	s2b_retention	s2b_ani_from_loss	s2b_ani_from_hist	s2b_n_anchors	s2b_n_chains	s2b_n_tags	s2b_flag	fastani_ani
GCA_017649895.1	GCA_902771535.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA3830	g__UBA3830	s__UBA3830 sp017649895	s__UBA3830 sp902771535	0.907000	0.642600	0.579300	90.790200	92.862200	0.621100	0.696200	0.222890	2.026000	0.481200	92.064100	95.300700	377	19	786	INCONSISTENT	
GCA_017614525.1	GCA_017416635.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA3830	g__UBA3830	s__UBA3830 sp017614525	s__UBA3830 sp017416635						0.000000	0.000000						6	0	0	BELOW_DETECTION	
GCA_002393025.1	GCA_015062335.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA3830	g__UBA3830	s__UBA3830 sp002393025	s__UBA3830 sp015062335						0.000000	0.000000						5	0	0	BELOW_DETECTION	
GCA_002453255.1	GCA_002707155.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA6770	g__UBA6770	s__UBA6770 sp002453255	s__UBA6770 sp002707155				87.751600	87.751600	0.065100	0.071200	0.721150	inf	0.206100	87.371600	91.557300	143	5	183	INCONSISTENT	
GCA_905181875.1	GCA_002707155.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__UBA6770	g__UBA6770	s__UBA6770 sp905181875	s__UBA6770 sp002707155				86.954600	90.431200	0.032900	0.027700	0.845920	2.148000	0.338900	89.702700	94.475800	130	4	87	INCONSISTENT	
GCF_002797495.1	GCF_010994095.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mumia	g__Mumia	s__Mumia flava	s__Mumia xiangluensis						0.363300	0.351600		5.962000				576	15	3127	BELOW_DETECTION	
GCF_002797495.1	GCF_014127285.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Mumia	g__Mumia	s__Mumia flava	s__Mumia sp014127285						0.237800	0.257100		3.930000				523	17	2099	BELOW_DETECTION	
GCF_014217685.1	GCA_003454135.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Lacisediminihabitans	g__Lacisediminihabitans	s__Lacisediminihabitans sp014217685	s__Lacisediminihabitans sp003454135						0.029700	0.034000		inf				335	7	256	BELOW_DETECTION	
GCF_016634425.1	GCF_014217685.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Lacisediminihabitans	g__Lacisediminihabitans	s__Lacisediminihabitans sp016634425	s__Lacisediminihabitans sp014217685						0.238000	0.168400		5.395000				379	13	2043	BELOW_DETECTION	
GCF_008040105.1	GCA_003454135.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Lacisediminihabitans	g__Lacisediminihabitans	s__Lacisediminihabitans profunda	s__Lacisediminihabitans sp003454135	0.848200	0.162300	0.124100	90.093100	90.093100	0.195100	0.251500	0.178630	inf	0.285500	89.998500	90.902000	978	62	1873	ok	
GCA_016186175.1	GCA_009691305.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__JABFSS01	g__JABFSS01	s__JABFSS01 sp016186175	s__JABFSS01 sp009691305						0.000000	0.000000						19	0	0	BELOW_DETECTION	
GCA_016186175.1	GCA_013140485.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__JABFSS01	g__JABFSS01	s__JABFSS01 sp016186175	s__JABFSS01 sp013140485						0.000000	0.000000						21	0	0	BELOW_DETECTION	
GCF_002973605.1	GCA_004172935.1	mid_high	d__Bacteria	d__Bacteria	p__Armatimonadota	p__Armatimonadota	g__Abditibacterium	g__Abditibacterium	s__Abditibacterium utsteinense	s__Abditibacterium sp004172935						0.000000	0.000000						38	0	0	BELOW_DETECTION	
GCF_003288815.1	GCA_017508245.1	mid_high	d__Bacteria	d__Bacteria	p__Campylobacterota	p__Campylobacterota	g__NHYM01	g__NHYM01	s__NHYM01 sp003288815	s__NHYM01 sp017508245						0.000000	0.000000						12	0	0	BELOW_DETECTION	
GCA_018241645.1	GCA_016713125.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__SZAS-79	g__SZAS-79	s__SZAS-79 sp018241645	s__SZAS-79 sp016713125						0.091000	0.083800		inf				476	17	804	BELOW_DETECTION	
GCA_007118555.1	GCA_002329325.1	mid_high	d__Bacteria	d__Bacteria	p__Chloroflexota	p__Chloroflexota	g__UBA1429	g__UBA1429	s__UBA1429 sp007118555	s__UBA1429 sp002329325				89.085800	89.085800	0.006300	0.004800	1.270300	inf	0.233900	89.646300	77.604200	211	2	42	INCONSISTENT	
GCA_002329325.1	GCA_007132185.1	mid_high	d__Bacteria	d__Bacteria	p__Chloroflexota	p__Chloroflexota	g__UBA1429	g__UBA1429	s__UBA1429 sp002329325	s__UBA1429 sp007132185				93.450200	93.450200	0.007000	0.006500	0.788560	inf	0.510900	94.561600	89.199900	246	5	45	INCONSISTENT	
GCA_002084585.1	GCA_018052735.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__4572-13	g__4572-13	s__4572-13 sp002084585	s__4572-13 sp018052735						0.000000	0.000000						24	0	0	BELOW_DETECTION	
GCA_002084585.1	GCA_003644215.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__4572-13	g__4572-13	s__4572-13 sp002084585	s__4572-13 sp003644215	0.888200	0.263300	0.199900	93.035600	96.397900	0.026800	0.035700	0.423980	0.502000	0.753800	94.764500	98.112200	616	10	101	INCONSISTENT	
GCF_000007665.1	GCA_003367665.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Leifsonia	g__Leifsonia	s__Leifsonia xyli_C	s__Leifsonia sp003367665				88.614800	88.614800	0.184400	0.121200	0.284240	inf	0.214800	88.440000	90.475600	427	19	985	INCONSISTENT	
GCF_001428745.1	GCF_013359685.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Leifsonia	g__Leifsonia	s__Leifsonia sp001428745	s__Leifsonia sp013359685						0.382300	0.377700		3.355000				786	23	3657	BELOW_DETECTION	
GCF_009765225.1	GCA_001898805.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Leifsonia	g__Leifsonia	s__Leifsonia sp009765225	s__Leifsonia sp001898805						0.463900	0.410400		5.395000				754	26	3238	BELOW_DETECTION	
GCF_001647635.1	GCF_900100265.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Leifsonia	g__Leifsonia	s__Leifsonia xyli_A	s__Leifsonia sp900100265	0.858600	0.291900	0.336100	87.701000	89.682300	0.786700	0.756400	0.104410	4.344000	0.263600	89.286400	92.804700	1545	17	6072	INCONSISTENT	
GCF_013410375.1	GCF_000007665.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Leifsonia	g__Leifsonia	s__Leifsonia shinshuensis	s__Leifsonia xyli_C				85.891900	88.371400	0.169500	0.273400	0.238110	4.604000	0.203600	88.006600	92.216000	507	21	1491	INCONSISTENT	
GCA_019233755.1	GCA_003163855.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__Bog-105	g__Bog-105	s__Bog-105 sp019233755	s__Bog-105 sp003163855						0.000000	0.000000						43	0	0	BELOW_DETECTION	
GCA_003163855.1	GCA_003169195.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__Bog-105	g__Bog-105	s__Bog-105 sp003163855	s__Bog-105 sp003169195						0.000000	0.000000						56	0	0	BELOW_DETECTION	
GCA_019244945.1	GCA_019239585.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__Bog-105	g__Bog-105	s__Bog-105 sp019244945	s__Bog-105 sp019239585						0.000000	0.000000						11	0	0	BELOW_DETECTION	
GCA_019233755.1	GCA_019233375.1	mid_high	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Acidobacteriota	g__Bog-105	g__Bog-105	s__Bog-105 sp019233755	s__Bog-105 sp019233375						0.000000	0.000000						82	0	0	BELOW_DETECTION	
GCA_013823135.1	GCA_000531095.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__Gemmata	g__Gemmata	s__Gemmata sp013823135	s__Gemmata massiliana						0.000000	0.000000						294	0	0	BELOW_DETECTION	
GCA_016872595.1	GCF_901538265.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__Gemmata	g__Gemmata	s__Gemmata sp016872595	s__Gemmata massiliana_A				90.387500	90.387500	0.004600	0.003100	0.782750	inf	0.308100	90.510500	89.823200	717	4	92	ok	
GCA_901538445.1	GCA_013822345.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__Gemmata	g__Gemmata	s__Gemmata sp901538445	s__Gemmata sp013822345				92.776600	92.776600	0.002000	0.002100	1.099180	inf	0.468600	92.541500	93.602500	738	3	31	ok	
GCA_901538445.1	GCA_016872595.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__Gemmata	g__Gemmata	s__Gemmata sp901538445	s__Gemmata sp016872595						0.000000	0.000000						586	0	0	BELOW_DETECTION	
GCA_005773755.1	GCA_013822345.1	mid_high	d__Bacteria	d__Bacteria	p__Planctomycetota	p__Planctomycetota	g__Gemmata	g__Gemmata	s__Gemmata sp005773755	s__Gemmata sp013822345				93.121600	93.121600	0.000300	0.000200	2.066570	inf	0.484600	94.223400	87.407200	312	1	7	ok	
GCF_902498825.1	GCF_002750855.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Georhizobium	g__Georhizobium	s__Georhizobium sp902498825	s__Georhizobium haloflavum						0.148800	0.145300		4.741000				316	12	1633	BELOW_DETECTION	
GCA_007136165.1	GCA_003561835.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_D	p__Firmicutes_D	g__PWVN01	g__PWVN01	s__PWVN01 sp007136165	s__PWVN01 sp003561835						0.000000	0.000000						101	0	0	BELOW_DETECTION	
GCA_018712835.1	GCA_904374795.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Ventrenecus	g__Ventrenecus	s__Ventrenecus stercoripullorum	s__Ventrenecus sp904374795						0.000000	0.000000						11	0	0	BELOW_DETECTION	
GCA_905205665.1	GCA_902766135.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Ventrenecus	g__Ventrenecus	s__Ventrenecus sp905205665	s__Ventrenecus sp902766135						0.000000	0.000000						2	0	0	BELOW_DETECTION	
GCA_018712835.1	GCA_902766135.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Ventrenecus	g__Ventrenecus	s__Ventrenecus stercoripullorum	s__Ventrenecus sp902766135						0.000000	0.000000						2	0	0	BELOW_DETECTION	
GCA_905205665.1	GCA_900549625.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Ventrenecus	g__Ventrenecus	s__Ventrenecus sp905205665	s__Ventrenecus sp900549625						0.000000	0.000000						23	0	0	BELOW_DETECTION	
GCA_904374795.1	GCA_018711945.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Ventrenecus	g__Ventrenecus	s__Ventrenecus sp904374795	s__Ventrenecus avicola						0.000000	0.000000						23	0	0	BELOW_DETECTION	
GCA_001029715.1	GCA_002306345.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__UBA1364	g__UBA1364	s__UBA1364 sp001029715	s__UBA1364 sp002306345						0.000000	0.000000						21	0	0	BELOW_DETECTION	
GCA_002422765.1	GCA_002306345.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__UBA1364	g__UBA1364	s__UBA1364 sp002422765	s__UBA1364 sp002306345						0.000000	0.000000						9	0	0	BELOW_DETECTION	
GCA_002306345.1	GCA_903959355.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__UBA1364	g__UBA1364	s__UBA1364 sp002306345	s__UBA1364 sp903959355						0.000000	0.000000						23	0	0	BELOW_DETECTION	
GCA_002422765.1	GCA_001029715.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__UBA1364	g__UBA1364	s__UBA1364 sp002422765	s__UBA1364 sp001029715						0.000000	0.000000						13	0	0	BELOW_DETECTION	
GCA_903842795.1	GCA_903891335.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__UBA1364	g__UBA1364	s__UBA1364 sp903842795	s__UBA1364 sp903891335						0.000000	0.000000						12	0	0	BELOW_DETECTION	
GCA_002898315.1	GCA_011364105.1	mid_high	d__Bacteria	d__Bacteria	p__Calescibacterota	p__Calescibacterota	g__Calescibacterium	g__Calescibacterium	s__Calescibacterium sp002898315	s__Calescibacterium sp011364105	0.894900	0.665300	0.706100	90.597100	90.597100	0.591000	0.544900	0.240320	inf	0.356500	90.435600	91.608800	453	34	1008	ok	
GCA_000494225.1	GCA_011364105.1	mid_high	d__Bacteria	d__Bacteria	p__Calescibacterota	p__Calescibacterota	g__Calescibacterium	g__Calescibacterium	s__Calescibacterium nevadense	s__Calescibacterium sp011364105						0.000000	0.000000						22	0	0	BELOW_DETECTION	
GCA_018260425.1	GCF_018802765.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Paludibacterium	g__Paludibacterium	s__Paludibacterium sp018260425	s__Paludibacterium sp018802765						0.023800	0.027400		inf				196	5	173	BELOW_DETECTION	
GCF_004363805.1	GCF_018802765.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Paludibacterium	g__Paludibacterium	s__Paludibacterium purpuratum	s__Paludibacterium sp018802765						0.442800	0.490400		8.183000				588	30	3787	BELOW_DETECTION	
GCF_018802605.1	GCA_019232825.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Paludibacterium	g__Paludibacterium	s__Paludibacterium paludis	s__Paludibacterium sp019232825						0.038700	0.035800		inf				216	10	336	BELOW_DETECTION	
GCA_018260425.1	GCF_004363805.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Paludibacterium	g__Paludibacterium	s__Paludibacterium sp018260425	s__Paludibacterium purpuratum						0.012900	0.013000		inf				151	3	91	BELOW_DETECTION	
GCA_002779075.1	GCA_903916665.1	mid_high	d__Archaea	d__Archaea	p__Iainarchaeota	p__Iainarchaeota	g__0-14-0-20-30-16	g__0-14-0-20-30-16	s__0-14-0-20-30-16 sp002779075	s__0-14-0-20-30-16 sp903916665						0.000000	0.000000						6	0	0	BELOW_DETECTION	
GCF_900107735.1	GCF_001907295.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Bowdeniella	g__Bowdeniella	s__Bowdeniella nasicola_A	s__Bowdeniella nasicola				85.433200	89.386000	0.246400	0.235200	0.226620	2.623000	0.248000	88.847300	93.671400	537	34	1373	INCONSISTENT	
GCF_002939305.1	GCF_000317555.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Chroogloeocystis	g__Chroogloeocystis	s__Chroogloeocystis sp002939305	s__Chroogloeocystis sp000317555	0.884300	0.441100	0.497200	88.397700	91.279300	0.780300	0.725100	0.094900	2.239000	0.368700	90.595100	94.480400	2019	64	5672	INCONSISTENT	
GCF_002939305.1	GCF_001904655.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Chroogloeocystis	g__Chroogloeocystis	s__Chroogloeocystis sp002939305	s__Chroogloeocystis siderophila	0.872700	0.459300	0.440900	88.960500	90.155800	0.665200	0.703900	0.113180	5.791000	0.301200	89.817300	92.380000	1532	75	4750	INCONSISTENT	
GCA_002320485.1	GCA_002401195.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA1664	g__UBA1664	s__UBA1664 sp002320485	s__UBA1664 sp002401195						0.000000	0.000000						5	0	0	BELOW_DETECTION	
GCA_003151795.1	GCA_903830625.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__2-01-FULL-41-21	g__2-01-FULL-41-21	s__2-01-FULL-41-21 sp003151795	s__2-01-FULL-41-21 sp903830625						0.000000	0.000000						36	0	0	BELOW_DETECTION	
GCA_003151795.1	GCA_018062285.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__2-01-FULL-41-21	g__2-01-FULL-41-21	s__2-01-FULL-41-21 sp003151795	s__2-01-FULL-41-21 sp018062285						0.000000	0.000000						8	0	0	BELOW_DETECTION	
GCA_003151795.1	GCA_001794025.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__2-01-FULL-41-21	g__2-01-FULL-41-21	s__2-01-FULL-41-21 sp003151795	s__2-01-FULL-41-21 sp001794025						0.000000	0.000000						10	0	0	BELOW_DETECTION	
GCA_018062285.1	GCA_001794025.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__2-01-FULL-41-21	g__2-01-FULL-41-21	s__2-01-FULL-41-21 sp018062285	s__2-01-FULL-41-21 sp001794025						0.000000	0.000000						6	0	0	BELOW_DETECTION	
