genome	n_markers	n_present	fraction_present	status	missing_markers	status_extended	n_cag_sv	cag_sv_types	cag_sv_list
GCA_000274945.2	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1660648;INV:546123-579713
GCA_000277425.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_collinear	0	none	none
GCA_000348885.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	INV	INV:516717-683163
GCA_000499325.2	28	26	0.9285714285714286	complete	HP0527|cagY,HP0546|cagB	complete_rearranged	4	INV;TRA	INV:516790-556788;INV:557609-579326;TRA:1459-1666206;INV:582535-663396
GCA_000499345.2	28	28	1.0	complete		complete_rearranged	1	INV	INV:559693-659727
GCA_000521245.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	4	INS;INV;TRA	INV:555744-683253;INS:556375-556375;INV:516718-556915;TRA:1459-1666206
GCA_000709945.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0547|cagA	complete_rearranged	3	DEL;INV;TRA	TRA:1459-1666206;DEL:556320-558173;INV:559812-579479
GCA_000966875.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	4	INV;TRA	TRA:1459-1666206;TRA:456998-1057561;TRA:474832-1040281;INV:582697-695608
GCA_001433495.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	INV:516643-930744;DEL:546687-587157;TRA:474832-1044689
GCA_001901635.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	TRA	TRA:2924-1666206
GCA_001939315.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516643-675754
GCA_001939585.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	DEL;TRA	TRA:1459-1666206;DEL:556799-558751
GCA_001939635.1	28	27	0.9642857142857143	complete	HP0535|cagQ	complete_rearranged	2	INV;TRA	TRA:1459-1660648;INV:516694-613596
GCA_001940015.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	TRA	TRA:2361-1666206
GCA_001940025.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:135746-1255454;TRA:2361-1666206;INV:516694-613596
GCA_001940035.1	28	27	0.9642857142857143	complete	HP0535|cagQ	complete_rearranged	2	INV;TRA	TRA:1459-1660648;INV:516694-613596
GCA_001940085.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	TRA	TRA:2145-1666206;TRA:476313-1612825
GCA_001940095.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	TRA	TRA:476313-1612825;TRA:2145-1666206
GCA_001940115.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	INV;TRA	INV:567822-613749;TRA:2361-1666206
GCA_001940145.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	INV:516749-567151;INV:567975-613596;TRA:1459-1666206
GCA_001940175.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_001940185.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:181741-1067641;TRA:1459-1666206;INV:516749-613541
GCA_001997965.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	INV	INV:516573-657337
GCA_001997995.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:2145-1664863;INV:516527-661859
GCA_001998045.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_001998125.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0547|cagA	complete_rearranged	4	INV;TRA	INV:557609-581025;TRA:1459-1666206;INV:516580-556214;INV:582545-663386
GCA_001998205.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:531742-663502;TRA:1459-1664863
GCA_001998245.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_001998285.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	INV:516562-556747;TRA:1459-1664863
GCA_001998295.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	INV:516580-557053;TRA:1459-1666206
GCA_001998385.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	INV:557609-696484;TRA:1459-1666206
GCA_001998405.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:500754-696596
GCA_001999865.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INS;TRA	INS:584390-587772;TRA:2145-1664863
GCA_002203985.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:2361-1666206;INV:557418-663526;INV:516906-588124
GCA_002204015.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0547|cagA	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_002532615.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	4	DEL;INV;TRA	TRA:1459-1666206;TRA:499613-987673;DEL:546687-587157;INV:516790-547155
GCA_002532675.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1658994;INV:516899-613391
GCA_002533135.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	TRA:1459-1656308;INV:584011-613378;INV:557609-579326
GCA_002533145.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:541831-613596
GCA_002533525.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	TRA	TRA:335801-1319710;TRA:1459-1666206
GCA_002534385.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1664863;INV:516675-612922
GCA_003058755.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INS;INV;TRA	INV:516790-549502;TRA:1459-1666206;INS:583238-587157
GCA_003058825.1	28	28	1.0	complete		complete_rearranged	4	INS;INV;TRA	TRA:1459-1666206;INV:516694-696484;INS:566642-568539;TRA:182298-1067641
GCA_003058845.1	28	28	1.0	complete		complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:508368-606434
GCA_003382505.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_003382515.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_003382545.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_003636505.1	28	24	0.8571428571428571	complete	HP0521,HP0535|cagQ,HP0546|cagB,HP0547|cagA	complete_rearranged	2	INV;TRA	TRA:1459-1660648;INV:516718-613572
GCA_003636905.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_003637575.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516718-613572
GCA_003637635.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:1459-1666206;TRA:474832-1219037;INV:545769-579780
GCA_003638135.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1660648
GCA_003638245.1	28	27	0.9642857142857143	complete	HP0527|cagY	complete_rearranged	3	INV;TRA	INV:557609-612903;INV:516594-556814;TRA:1459-1666206
GCA_003638565.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	INV	INV:545891-579658
GCA_003639285.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:2145-1666206
GCA_003639365.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1660648
GCA_003639525.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	TRA	TRA:553197-1176357;TRA:1459-1658994
GCA_003639545.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	TRA	TRA:1459-1666206;TRA:182298-1059225
GCA_003639565.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	TRA:1459-1660648;INV:516643-657267;DEL:546687-587157
GCA_003639615.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:536928-587157
GCA_003639675.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	TRA:1459-1666206;DEL:546687-587157;TRA:456998-1067641
GCA_003639725.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_003639795.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-587157
GCA_003639855.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	TRA:2145-1666206;TRA:456998-1067641;DEL:536928-587157
GCA_003640025.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	TRA	TRA:1459-1666206;TRA:546400-1059225
GCA_003640145.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_006337265.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:481979-1040896;TRA:1459-1664863
GCA_006337305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	INV:483813-930720;DEL:546687-587157;TRA:1459-1666206
GCA_006337325.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	INV:507328-930740;DEL:546687-587157;TRA:1459-1666206
GCA_006337445.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	INV:483813-930720;DEL:546687-587157;TRA:1459-1666206
GCA_006337745.1	28	28	1.0	complete		complete_rearranged	2	INV;TRA	INV:882-1051312;TRA:1459-1666206
GCA_006338685.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:481983-1040892;TRA:1459-1664863
GCA_006338945.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:481979-1040896;TRA:1459-1664863
GCA_006339065.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:546188-579361
GCA_006874685.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:465489-1044689
GCA_008026175.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:1459-1660648;TRA:370779-1067641;INV:579814-1040928
GCA_008026375.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:508222-1040870
GCA_008026615.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	INS;TRA	TRA:1459-1666206;INS:584357-587157
GCA_008026815.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008026995.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	TRA	TRA:1459-1666206;TRA:474832-783676
GCA_008027235.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:546111-577922
GCA_008027395.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:579850-1040892
GCA_008027775.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008032475.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008032615.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	INV;TRA	INV:482001-1040874;TRA:1459-1666206
GCA_008032735.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:481979-1019582
GCA_008032935.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	4	DEL;INV;TRA	TRA:1459-1666206;INV:483815-1045278;DEL:546687-587157;TRA:484404-1059225
GCA_008032955.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008032975.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:579814-735321;TRA:1459-1660648
GCA_008032995.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008033015.1	28	27	0.9642857142857143	complete	HP0546|cagB	complete_rearranged	2	INV;TRA	INV:545769-578264;TRA:1459-1666206
GCA_008033035.1	28	28	1.0	complete		complete_rearranged	3	INS;INV;TRA	TRA:1459-1658994;INV:546111-579438;INS:566642-568539
GCA_008033055.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_008033075.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:579885-1040857
GCA_008281125.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:482001-735267;TRA:1459-1664863
GCA_008681415.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INS;INV;TRA	INV:483682-761267;INS:584390-587772;TRA:1459-1664863
GCA_008681425.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	4	INV;TRA	TRA:129500-1256863;INV:579897-764317;TRA:474832-1154575;TRA:1459-1666206
GCA_008681455.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	4	DEL;INS;TRA	TRA:1459-1664863;TRA:500417-980445;DEL:556375-558751;INS:584390-587772
GCA_008681475.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	TRA	TRA:1459-1666206;TRA:131170-1256863
GCA_008681485.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INS;TRA	INS:584390-587772;TRA:1459-1664863
GCA_008681515.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	5	DEL;INV;TRA	INV:579814-735321;DEL:553197-558173;TRA:131170-1256863;TRA:456998-1611161;TRA:1459-1666206
GCA_008681525.1	28	28	1.0	complete		complete_rearranged	3	INV;TRA	TRA:135746-1262441;INV:545769-579393;TRA:1459-1666206
GCA_009740305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	1	DEL	DEL:546687-587772
GCA_009740315.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:541423-556508
GCA_009740405.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	TRA:1459-1666206;DEL:546687-587157;TRA:476313-967853
GCA_009740485.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_009740495.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_009740525.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:2145-1666206;INV:557442-636269
GCA_009740575.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:557542-613663
GCA_009740685.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1656308;INV:558187-606555
GCA_009740705.1	28	3	0.10714285714285714	empty	HP0521,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	4	DEL;INV;TRA	TRA:474832-682820;INV:582475-613717;DEL:549034-583160;INV:516580-549712
GCA_009740725.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_collinear	0	none	none
GCA_009740755.1	28	27	0.9642857142857143	complete	HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:557609-608227
GCA_009740785.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_009740805.1	28	4	0.14285714285714285	empty	HP0521,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	INV;TRA	TRA:1459-1656308;INV:516580-549712
GCA_009740815.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INS;TRA	TRA:1459-1656308;INS:584390-587772
