query_file	ref_file	ani	af_q	af_r	query_name	ref_name	shared_tags	sv_count
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361525.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_003647065.1.s2ba	0.8563	0.0005	0.0008	GCA_013361525.1	GCA_003647065.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012270135.1.s2ba	0.8002	0.0285	0.0216	GCA_013912065.1	GCA_012270135.1	77	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002483305.1.s2ba	0.8045	0.0337	0.0213	GCA_013912065.1	GCA_002483305.1	91	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002342035.1.s2ba	0.8597	0.0037	0.0019	GCA_013912065.1	GCA_002342035.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCF_900163625.1.s2ba	0.8067	0.0385	0.0213	GCA_013912065.1	GCF_900163625.1	104	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCF_900116065.1.s2ba	0.8005	0.0326	0.0197	GCA_013912065.1	GCF_900116065.1	88	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002479495.1.s2ba	0.8060	0.0370	0.0206	GCA_013912065.1	GCA_002479495.1	100	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013912065.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013791775.1.s2ba	0.8469	0.0037	0.0012	GCA_013912065.1	GCA_013791775.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361685.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_016710385.1.s2ba	0.8521	0.0011	0.0012	GCA_013361685.1	GCA_016710385.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361685.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_010993775.1.s2ba	0.8670	0.0011	0.0007	GCA_013361685.1	GCA_010993775.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361685.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013362315.1.s2ba	0.8156	0.0927	0.0586	GCA_013361685.1	GCA_013362315.1	811	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014055465.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002869855.2.s2ba	0.8692	0.0024	0.0017	GCA_014055465.1	GCA_002869855.2	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361975.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013698185.1.s2ba	0.8721	0.0019	0.0021	GCA_013361975.1	GCA_013698185.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361975.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013696555.1.s2ba	0.8685	0.0019	0.0018	GCA_013361975.1	GCA_013696555.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013361975.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012838985.1.s2ba	0.8726	0.0019	0.0023	GCA_013361975.1	GCA_012838985.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014058405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012032965.1.s2ba	0.8532	0.0734	0.0694	GCA_014058405.1	GCA_012032965.1	257	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362295.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_017306305.1.s2ba	0.8604	0.0017	0.0011	GCA_013362295.1	GCA_017306305.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011321775.1.s2ba	0.8723	0.0023	0.0016	GCA_013362405.1	GCA_011321775.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002480525.1.s2ba	0.8767	0.0023	0.0012	GCA_013362405.1	GCA_002480525.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_014380155.1.s2ba	0.8635	0.0023	0.0008	GCA_013362405.1	GCA_014380155.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009912175.1.s2ba	0.8697	0.0023	0.0012	GCA_013362405.1	GCA_009912175.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012523465.1.s2ba	0.8603	0.0023	0.0015	GCA_013362405.1	GCA_012523465.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_007556525.1.s2ba	0.8571	0.0023	0.0017	GCA_013362405.1	GCA_007556525.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012274165.1.s2ba	0.8763	0.0023	0.0014	GCA_013362405.1	GCA_012274165.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012513825.1.s2ba	0.8667	0.0023	0.0008	GCA_013362405.1	GCA_012513825.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013823325.1.s2ba	0.8625	0.0023	0.0006	GCA_013362405.1	GCA_013823325.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002440665.1.s2ba	0.8708	0.0023	0.0012	GCA_013362405.1	GCA_002440665.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002840015.1.s2ba	0.8554	0.0023	0.0012	GCA_013362405.1	GCA_002840015.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002344285.1.s2ba	0.8559	0.0023	0.0006	GCA_013362405.1	GCA_002344285.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009908385.1.s2ba	0.8632	0.0023	0.0017	GCA_013362405.1	GCA_009908385.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013335435.1.s2ba	0.8665	0.0023	0.0013	GCA_013362405.1	GCA_013335435.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013362405.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_010671725.1.s2ba	0.8515	0.0023	0.0007	GCA_013362405.1	GCA_010671725.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002470165.1.s2ba	0.8031	0.0240	0.0178	GCA_013363835.1	GCA_002470165.1	111	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013044085.1.s2ba	0.8550	0.0022	0.0015	GCA_013363835.1	GCA_013044085.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009923475.1.s2ba	0.8548	0.0022	0.0016	GCA_013363835.1	GCA_009923475.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002840785.1.s2ba	0.8095	0.0357	0.0182	GCA_013363835.1	GCA_002840785.1	165	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011391295.1.s2ba	0.8462	0.0022	0.0019	GCA_013363835.1	GCA_011391295.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013823325.1.s2ba	0.8537	0.0022	0.0006	GCA_013363835.1	GCA_013823325.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002440665.1.s2ba	0.8573	0.0694	0.0397	GCA_013363835.1	GCA_002440665.1	321	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002386465.1.s2ba	0.8617	0.0022	0.0010	GCA_013363835.1	GCA_002386465.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002345845.1.s2ba	0.8046	0.0333	0.0142	GCA_013363835.1	GCA_002345845.1	154	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_010365105.1.s2ba	0.8591	0.0022	0.0010	GCA_013363835.1	GCA_010365105.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_017990895.1.s2ba	0.8549	0.0022	0.0008	GCA_013363835.1	GCA_017990895.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_004298605.1.s2ba	0.8625	0.0022	0.0022	GCA_013363835.1	GCA_004298605.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_006227825.1.s2ba	0.8543	0.0022	0.0016	GCA_013363835.1	GCA_006227825.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013335535.1.s2ba	0.8121	0.0294	0.0142	GCA_013363835.1	GCA_013335535.1	136	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_900469965.1.s2ba	0.8643	0.0022	0.0008	GCA_013363835.1	GCA_900469965.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002360535.1.s2ba	0.8603	0.0022	0.0018	GCA_013363835.1	GCA_002360535.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002842205.1.s2ba	0.8567	0.0022	0.0013	GCA_013363835.1	GCA_002842205.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_010671725.1.s2ba	0.8709	0.0022	0.0007	GCA_013363835.1	GCA_010671725.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012026885.1.s2ba	0.8192	0.0424	0.0254	GCA_013363835.1	GCA_012026885.1	196	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011391855.1.s2ba	0.8622	0.0022	0.0011	GCA_013363835.1	GCA_011391855.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_014879655.1.s2ba	0.8593	0.0022	0.0012	GCA_013363835.1	GCA_014879655.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013363835.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009996615.1.s2ba	0.8588	0.0022	0.0010	GCA_013363835.1	GCA_009996615.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002477755.1.s2ba	0.8625	0.0009	0.0012	GCA_014138725.1	GCA_002477755.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013695785.1.s2ba	0.8637	0.0009	0.0022	GCA_014138725.1	GCA_013695785.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_012518475.1.s2ba	0.8614	0.0009	0.0016	GCA_014138725.1	GCA_012518475.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCF_900234795.1.s2ba	0.8699	0.0009	0.0008	GCA_014138725.1	GCF_900234795.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_017306305.1.s2ba	0.8627	0.0009	0.0011	GCA_014138725.1	GCA_017306305.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_016711325.1.s2ba	0.8034	0.0013	0.0027	GCA_014138725.1	GCA_016711325.1	15	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009914615.1.s2ba	0.8558	0.0009	0.0010	GCA_014138725.1	GCA_009914615.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014138725.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_017419405.1.s2ba	0.8624	0.0009	0.0012	GCA_014138725.1	GCA_017419405.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_013372845.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013820755.1.s2ba	0.8507	0.0028	0.0015	GCA_013372845.1	GCA_013820755.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014163555.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013327885.1.s2ba	0.8004	0.0458	0.0146	GCA_014163555.1	GCA_013327885.1	126	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002869085.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002709505.1.s2ba	0.8584	0.0031	0.0011	GCA_002869085.1	GCA_002709505.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002869085.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002435715.1.s2ba	0.8549	0.0031	0.0014	GCA_002869085.1	GCA_002435715.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002869085.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_016869175.1.s2ba	0.8501	0.0031	0.0012	GCA_002869085.1	GCA_016869175.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002869085.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009694045.1.s2ba	0.8475	0.0031	0.0018	GCA_002869085.1	GCA_009694045.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_002869085.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002842935.1.s2ba	0.8521	0.0031	0.0013	GCA_002869085.1	GCA_002842935.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013519935.1.s2ba	0.8691	0.0008	0.0013	GCA_014189435.1	GCA_013519935.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013349665.1.s2ba	0.8549	0.0008	0.0018	GCA_014189435.1	GCA_013349665.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009844085.1.s2ba	0.8603	0.0008	0.0014	GCA_014189435.1	GCA_009844085.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_009908425.1.s2ba	0.8547	0.0008	0.0019	GCA_014189435.1	GCA_009908425.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002375765.1.s2ba	0.8532	0.0008	0.0012	GCA_014189435.1	GCA_002375765.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002454505.1.s2ba	0.8503	0.0008	0.0006	GCA_014189435.1	GCA_002454505.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013817365.1.s2ba	0.8630	0.0008	0.0009	GCA_014189435.1	GCA_013817365.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013361545.1.s2ba	0.8650	0.0008	0.0009	GCA_014189435.1	GCA_013361545.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_001544655.2.s2ba	0.8497	0.0008	0.0005	GCA_014189435.1	GCA_001544655.2	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013297545.1.s2ba	0.8533	0.0008	0.0012	GCA_014189435.1	GCA_013297545.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_017744495.1.s2ba	0.8615	0.0008	0.0015	GCA_014189435.1	GCA_017744495.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_011330945.1.s2ba	0.8741	0.0008	0.0014	GCA_014189435.1	GCA_011330945.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_013002595.1.s2ba	0.8679	0.0008	0.0011	GCA_014189435.1	GCA_013002595.1	10	0
/lustre1/g/aos_shihuang/data/gtdb-r207/genomes_all/GCA_014189435.1.fna	/lustre1/g/aos_shihuang/Syn2bANI-paper/results/db_scale/sketches/s2ba_n5000/GCA_002398405.1.s2ba	0.8551	0.0008	0.0019	GCA_014189435.1	GCA_002398405.1	10	0
